"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",21.491746031746,"Up",120987000,-33651000,87336000,-81666000,-56354000,-25312000,5670000,-333000,997000,-1330000,5337000,5337000,4814000,10151000,10151000,10151000,10151000,217942000,143841000,707740000,707740000,18927000,18927000,944609000,36120000,101648000,8460000,93188000,137768000,1082377000,568812000,529594000,39218000,583260000,69719000,69719000,69719000,652979000,295127000,134271000,429398000,429398000,1082377000,10151000,4456000,20893000,-25789000,9711000,-7502000,-81452000,9502000,9502000,-1152000,8350000,-63391000,-63391000,-63391000,10126000,0,-27979000,0.72186,0.04686,0.0839,0.02364,0.00938,-2.75628,1.61953,1.52068,0,0.02312,0.02145,0.27556,0.97799,-0.06372,0.02034,-0.05606,-21.52301,-38.43774
"12","2019_Q3",23.79875,"Up",159924000,-35330000,124594000,-92645000,-63193000,-29452000,31949000,1420000,1286000,134000,33369000,33369000,-5569000,27800000,27800000,27800000,27800000,231051000,130590000,830646000,830646000,22319000,22319000,1084016000,43521000,111914000,8460000,103454000,155435000,1239451000,653651000,616222000,37429000,670473000,76757000,76757000,76757000,747230000,330150000,162071000,492221000,492221000,1239451000,27800000,4821000,23755000,-45281000,11095000,-11920000,-37978000,16121000,16121000,-2489000,13632000,-13251000,-13251000,-13251000,36770000,-2.3283064365387e-10,-14862000,0.77908,0.19978,0.17383,0.05648,0.02243,-0.534599999999999,1.61679,1.51808,-2.16840434497101e-19,0.0626,0.05812,0.36012,1.10841,-0.03347,0.04886,-0.02612,-6.28368000000001,-7.23186999999999
"13","2019_Q4",22.50046875,"Down",164203000,-39932000,124271000,-102344000,-73159000,-29185000,21927000,1892000,1480000,412000,23819000,23819000,-4397000,19422000,19422000,19422000,19422000,296528000,173446000,835958000,835958000,26641000,26641000,1159127000,47734000,208178000,8460000,199718000,255912000,1415039000,688100000,647547000,40553000,704038000,175609000,175609000,175609000,879647000,353899000,181493000,535392000,535392000,1415039000,19422000,5969000,25816000,16260000,67467000,-6086000,-28438000,4936000,4936000,-1109000,3827000,42856000,42856000,42856000,27896000,0,42467000,0.75681,0.13354,0.11828,0.03628,0.01373,2.18654,1.6464,1.643,0,0.04338,0.04043,0.36673,1.19574,0.09485,0.02732,0.05973,-10.62977,-13.52342
"14","2020_Q1",25.875,"Up",215944000,-47267000,168677000,-116027000,-83224000,-32803000,52650000,1045000,956000,89000,53695000,53695000,-2750000,50945000,50945000,50945000,50945000,254988000,130876000,1166376000,1166376000,27857000,27857000,1449221000,64012000,215528000,18950000,196578000,279540000,1728761000,915796000,868618000,47178000,930373000,185871000,185871000,185871000,1116244000,380079000,232438000,612517000,612517000,1728761000,50945000,6416000,22461000,-107890000,-28068000,-10185000,-15973000,16061000,16061000,-14590000,1471000,-42570000,-42570000,-42570000,59066000,-7.45058059692383e-09,-56259000,0.78111,0.24381,0.23592,0.08317,0.02947,-1.10431,1.55768,1.82239,-3.46944695195361e-18,0.1131,0.10605,0.47942,1.35985,-0.1249,0.06381,-0.07047,-4.317,-4.84307999999999
"15","2020_Q2",30.1447619047619,"Up",160660000,-40208000,120452000,-109686000,-72892000,-36794000,10766000,-417000,817000,-1234000,10349000,10349000,13708000,24057000,24057000,24057000,24057000,445836000,325211000,947973000,947973000,48002000,48002000,1441811000,78877000,246516000,18950000,227566000,325393000,1767204000,711847000,663410000,48437000,734374000,215796000,215796000,358796000,1093170000,417769000,256107000,674034000,674034000,1767204000,24057000,6477000,35161000,-12919000,52776000,-18310000,-16026000,19478000,19478000,-4893000,157585000,194335000,194335000,194335000,17243000,1.43e+08,-27694000,0.74973,0.06701,0.14974,0.03569,0.01361,-1.15118,1.96332,1.62183,0.08092,0.05287,0.04979,0.35309,1.48136,-0.06086,0.02329,-0.02681,-17.56284,-28.12892
"16","2020_Q3",45.66640625,"Up",139355000,-42133000,97222000,-112994000,-72936000,-40058000,-15772000,-194000,158000,-352000,-15966000,-15966000,41077000,25111000,25111000,25111000,25111000,555318000,426344000,869064000,869064000,67437000,67437000,1491819000,96075000,261077000,30648000,230429000,357152000,1848971000,699315000,656168000,43147000,730700000,217920000,217920000,359920000,1090620000,476859000,281218000,758351000,758351000,1848971000,25111000,6783000,15878000,48579000,96351000,-19410000,-28908000,37526000,37526000,-2836000,33690000,101133000,101133000,101133000,-8989000,1.42e+08,-20897000,0.69766,-0.11318,0.18019,0.03311,0.01358,-0.83219,2.04163,1.43815,0.0768,0.05443,0.05161,0.30206,1.64377,-0.0453,0.02246,-0.01869,45.98042,26.20581
"17","2020_Q4",75.5134375,"Up",216113000,-44826000,171287000,-128505000,-87426000,-41079000,42782000,-223000,-235000,12000,42559000,42559000,-1312000,41247000,41247000,41247000,41247000,557280000,434371000,1139860000,1139860000,58847000,58847000,1755987000,111862000,270579000,39928000,230651000,382441000,2138428000,977418000,919694000,57724000,1012153000,221648000,221648000,293648000,1305801000,510017000,322465000,832627000,832627000,2138428000,41247000,7517000,29750000,9871000,88385000,-20001000,-15972000,12069000,12069000,-6455000,-64386000,8027000,8027000,8027000,50299000,7.2e+07,41481000,0.79258,0.19796,0.19086,0.04954,0.01929,1.00567,1.7349,1.56829,0.03367,0.08853,0.08379,0.46387,1.78718,0.08904,0.03662,0.03683,-9.64791,-11.34309
"18","2021_Q1",77.2798360655738,"Up",319905000,-51645000,268260000,-161828000,-113105000,-48723000,106432000,529000,-84000,613000,106961000,106961000,44941000,151902000,151902000,151902000,151902000,624038000,437353000,1584109000,1584109000,102170000,102170000,2310317000,115863000,327465000,50168000,277297000,443328000,2753645000,1436815000,1348480000,88335000,1474683000,265817000,265817000,265817000,1740500000,538778000,474367000,1013145000,1013145000,2753645000,151902000,7855000,38376000,-30576000,167557000,-16340000,-82365000,28744000,28744000,-38954000,-82210000,2982000.00000001,2982000.00000001,2982000.00000001,114287000,0,22430000,0.83856,0.3327,0.47483,0.14993,0.05516,0.14766,1.56665,1.71792,0,0.32373,0.30528,0.68177,2.15917,0.0478,0.11877,0.01754,-5.46027000000001,-5.86326000000001
"19","2021_Q2",63.8990476190476,"Down",219811000,-50500000,169311000,-161527000,-107609000,-53918000,7784000,308000,-45000,353000,8092000,8092000,14550000,22642000,22642000,22642000,22642000,680083000,471637000,1368668000,1368668000,121398000,121398000,2170149000,115914000,316636000,50168000,266468000,432550000,2602699000,1225788000,1142258000,83530000,1263476000,254910000,254910000,254910000,1518386000,587304000,497009000,1084313000,1084313000,2602699000,22642000,10011000,66913000,-24496000,75070000,-13120000,-36327000,12621000,12621000,-17080000,-4459000,34284000,34284000,34284000,17795000,0,-34371000,0.77026,0.03541,0.10301,0.02088,0.0087,-1.51802,1.7176,1.40032,0,0.04789,0.04547,0.46489,2.29329,-0.07269,0.01691,-0.02566,-38.21765,-87.36935
"20","2021_Q3",77.3140625,"Up",279967000,-50809000,229158000,-167210000,-113674000,-53536000,61948000,-398000,-194000,-204000,61550000,61550000,-13853000,47697000,47697000,47697000,47697000,705057000,476907000,1527651000,1527651000,114558000,114558000,2347266000,124809000,320873000,45124000,275749000,445682000,2792948000,1288979000,1222220000,66759000,1328573000,262029000,262029000,262029000,1590602000,657640000,544706000,1202346000,1202346000,2792948000,47697000,11006000,64539000,-112871000,10371000,-5379000,-27570000,36476000,36476000,-14007000,22469000,5270000,5270000,5270000,72954000,0,-31443000,0.81852,0.22127,0.17037,0.03967,0.01708,-0.65922,1.76676,1.32292,-8.67361737988404e-19,0.10088,0.09579,0.59212,2.54293,-0.0665,0.03257,-0.02147,-9.6644,-11.38143
"21","2021_Q4",87.5871875,"Up",301091000,-53400000,247691000,-167245000,-111398000,-55847000,80446000,-1470000,-317000,-1153000,78976000,78976000,-19592000,59384000,59384000,59384000,59384000,798601000,576916000,1624759000,1624759000,92557000,92557000,2515917000,137416000,335422000,46405000,289017000,472838000,2988755000,1382294000,1304971000,77323000,1427897000,258044000,258044000,258044000,1685941000,698724000,604090000,1302814000,1302814000,2988755000,59384000,8952000,42766000,18576000,129678000,-25421000,-33779000,13220000,13220000,-9110000,4110000,100009000,100009000,100009000,89398000,0,102145000,0.82264,0.26718,0.19723,0.04558,0.01987,1.72008,1.76197,1.29408,0,0.12489,0.11926,0.63321,2.73991,0.21482,0.03805,0.06544,-8.9331,-9.92717
"22","2022_Q1",72.2272580645161,"Down",395598000,-66845000,328753000,-354114000,-291278000,-62836000,-25361000,-1221000,-474000,-747000,-26582000,-26582000,34621000,8039000,8039000,8039000,8039000,958779000,754154000,2020720000,2020720000,112150000,112150000,3091649000,135856000,349835000,68244000,281591000,485691000,3577340000,1757156000,1655684000,101472000,1757156000,292878000,292878000,292878000,2050034000,915177000,612129000,1527306000,1527306000,3577340000,8039000,12250000,193992000,-50887000,163394000,-10884000,4038000,28388000,28388000,-18582000,9806000,177238000,177238000,177238000,-13111000,1.16415321826935e-10,-109503000,0.83103,-0.06411,0.02032,0.00526,0.00225,-13.62147,1.75946,1.34225,0,0.01654,0.01602,0.81413,3.14315,-0.22535,0.00442,-0.06016,73.12783,37.80525
"23","2022_Q2",54.7690322580645,"Down",315323000,-63890000,251433000,-268486000,-196487000,-71999000,-17053000,-281000,-1076000,795000,-17334000,-17334000,2736000,-14598000,-14598000,-14598000,-14598000,1104570000,844223000,1760985000,1760985000,89784000,89784000,2955339000,130640000,346742000,73548000,273194000,477382000,3432721000,1498576000,1405673000,92903000,1545802000,237816000,237816000,237816000,1783618000,1051572000,597531000,1649103000,1649103000,3432721000,-14598000,12350000,131829000,16611000,146192000,-8401000,-67103000,24408000,24408000,-13428000,10980000,90069000,90069000,90069000,-4703000,0,771000,0.79738,-0.05408,-0.0463,-0.00885,-0.00425,-0.05282,1.91185,1.08157,0,-0.03036,-0.02918,0.65573,3.42939,0.0016,-0.00774,0.00041,234.86498,64.77277
"24","2022_Q3",56.9040625,"Up",376962000,-67490000,309472000,-307729000,-224246000,-83483000,1743000,339000,656000,-317000,2082000,2082000,-21155000,-19073000,-19073000,-19073000,-19073000,1213142000,932683000,1902504000,1902504000,80531000,80531000,3196177000,139214000,337355000,66689000,270666000,476569000,3672746000,1616787000,1537448000,79339000,1665074000,227841000,227841000,227841000,1892915000,1201373000,578458000,1779831000,1779831000,3672746000,-19073000,12274000,149885000,-51320000,91766000,-4140000,-26472000,32934000,32934000,-9768000,23166000,88460000,88460000,88460000,14017000,-7.27595761418343e-12,-20288000,0.82096,0.00462,-0.0506,-0.01072,-0.00519,1.0637,1.91954,1.06354,0,-0.03922,-0.03922,0.77515,3.65987,-0.04172,-0.0095,-0.01011,-86.54791,-696.00803
