"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2017_Q3",17.9460317460317,"Down",172624000,-50728000,121896000,-113412000,-23288000,-8596000,-81528000,8484000,-654000,-654000,7830000,-10762000,-2932000,772000,-2160000,-2160000,-2160000,-2160000,4426000,4426000,9075000,9075000,2367000,13372000,12788000,29240000,239414000,157589000,123484000,5082000,397003000,426243000,35085000,18135000,16950000,94000,20779000,20779000,55958000,64039000,57444000,57444000,121483000,177441000,165365000,83437000,248802000,248802000,426243000,-2160000,8596000,8406000,8372000,23214000,-14479000,-14479000,0,-14479000,-12021000,-12021000,-3286000,-3286000,-3286000,17080000,64133000,10201000,0.70614,0.04915,-0.01251,-0.00868,-0.00507,-4.72269,0.52253,0.71318,0.15046,-0.08055,-0.08055,6.43759,9.27846,0.38042,-0.00583,3.49573,7.0376
"22","2017_Q4",17.9896825396825,"Up",158691000,-49151000,109540000,-106047000,-17942000,-8483000,-79622000,3493000,-672000,-672000,2821000,-15905000,-13084000,4827000,-8257000,-8257000,-8257000,-8257000,4244000,4244000,8864000,8864000,2552000,15558000,11869000,31218000,227686000,158893000,123484000,4146000,386579000,417797000,37542000,19126000,18416000,96000,21116000,21116000,58754000,62350000,55201000,55201000,117551000,176305000,166312000,75180000,241492000,241492000,417797000,-8257000,8483000,13878000,-1877000,12227000,-12386000,-12386000,7.27595761418343e-12,-12386000,-22999.9999999981,-22999.9999999981,-182000,-182000,-182000,11976000,62446000,-7114000,0.69027,0.02201,-0.05203,-0.03419,-0.01976,0.861570000000001,0.53133,0.73007,0.14946,-0.30757,-0.30757,5.91126,8.9956,-0.265,-0.02299,4.85989,16.66247
"23","2018_Q1",18.7606557377049,"Up",162210000,-52061000,110149000,-110772000,-21257000,-8692000,-80823000,-623000,-967000,-967000,-1590000,-2679000,-4269000,-6486000,-10755000,-10755000,-10755000,-10755000,3599000,3599000,9830000,9830000,2880000,24739000,13405000,41048000,234561000,147704000,123484000,6988000,382265000,423313000,37929000,20293000,17636000,98000,21817000,21817000,59844000,76425000,55528000,55528000,131953000,191797000,167091000,64425000,231516000,231516000,423313000,-10755000,8692000,16532000,-11302000,3167000,-17327000,-17327000,374000,-16953000,14078000,13141000,-645000,-645000,-645000,8069000,76523000,-14074000,0.67905,-0.00384,-0.0663,-0.04645,-0.02541,1.3086,0.68592,0.82844,0.18077,-0.40054,-0.40054,6.04107,8.62219,-0.52415,-0.02958,9.03755,-117.05297
"24","2018_Q2",23.30390625,"Up",169484000,-53565000,115919000,-109703000,-21132000,-8999000,-79572000,6216000,-1069000,-1069000,5147000,662000,5809000,-1625000,4184000,4184000,4184000,4184000,3791000,3791000,11011000,11011000,2688000,19624000,8601000,37114000,235038000,146932000,123484000,7564000,381970000,419084000,28668000,14152000,14516000,104000,19619000,19619000,48391000,81718000,52678000,52678000,134396000,182787000,167980000,68666000,236297000,236297000,419084000,4184000,8999000,872999.999999998,-5167000,8889000,-15168000,-15168000,1813000,-13355000,5157000,4658000,192000,192000,192000,15215000,81822000,-3495000,0.68395,0.03668,0.02469,0.01771,0.00998,-0.83533,0.76696,0.77355,0.19524,0.15569,0.15566,6.30661,8.79277,-0.13005,0.01128,5.12856,12.55325
"25","2018_Q3",28.7166666666667,"Up",176827000,-56689000,120138000,-105854000,-18181000,-9170000,-78503000,14284000,-986000,-986000,13298000,-784000,12514000,-3021000,9493000,9493000,9493000,9493000,4698000,4698000,13517000,13517000,2602000,16269000,11607000,37086000,239647000,146086000,123484000,7511000,385733000,422819000,34508000,18198000,16310000,103000,15666000,15666000,50277000,74691000,51647000,51647000,126338000,176615000,168997000,78159000,246204000,246204000,422819000,9493000,9170000,702000,-1921000,17444000,-12120000,-12120000,2863000,-9257000,-6677000,-7280000,907000,907000,907000,23454000,74794000,12434000,0.67941,0.08078,0.05369,0.03856,0.02245,1.30981,0.73763,0.71735,0.17689,0.35269,0.35264,6.56951,9.14702,0.46195,0.02547,2.98866,4.90731
"26","2018_Q4",21.7928571428571,"Down",174648000,-56021000,118627000,-114131000,-19756000,-9739000,-84636000,4496000,-924000,-924000,3572000,-6417000,-2845000,4892000,2047000,2047000,2047000,2047000,5743000,5743000,9462000,9462000,2761000,26389000,10330000,44355000,235609000,139934000,123484000,7074000,375543000,419898000,34380000,16042000,18338000,106000,15052000,15052000,49538000,71664000,51239000,51239000,122903000,172441000,169735000,80206000,247457000,247457000,419898000,2047000,9739000,11802000,-5633000,17955000,-12635000,-12635000,0,-12635000,-2743000,-4275000,1045000,1045000,1045000,14235000,71770000,-8925000,0.67923,0.02574,0.01172,0.00827,0.00487,-4.36004,0.89537,0.69685,0.17092,0.07594,0.07593,6.47942,9.18062,-0.33112,0.00553,4.63836,14.68572
"27","2019_Q1",14.7791803278689,"Down",167638000,-240802000,-73164000,75286000,-19151000,-9696000,104133000,2122000,2020000,-987000,4142000,-14605000,-10463000,2526000,-7937000,-7937000,-7937000,-7937000,5258000,5258000,8505000,8505000,2842000,27794000,9937000,44399000,231328000,142932000,123484000,9065000,374260000,418659000,32367000,16410000,15957000,108000,14086000,14086000,46561000,79636000,52403000,52403000,132039000,178600000,170560000,72268000,240059000,240059000,418659000,-7937000,9696000,14015000,-6259000,9515000,-17927000,-17927000,67000,-17860000,8145000,7860000,-485000,-485000,-485000,11818000,79744000,-14894000,-0.43644,0.01266,-0.04735,-0.03306,-0.01896,1.87653,0.95357,0.74398,0.19047,-0.29596,-0.29596,6.25102,8.95151,-0.55538,-0.02132,6.30276,35.10179
"28","2019_Q2",13.345873015873,"Down",165852000,-50510000,115342000,-109085000,-20592000,-9548000,-78944999.9999999,6257000,-1936000,-1234000,4321000,-1086000,3235000,-946000,2289000,2289000,2289000,2289000,5018000,5018000,10286000,10286000,2764000,30191000,13338000,48259000,225270000,402902000,123484000,273287000,628172000,676431000,28738000,14577000,14161000,95000,31098000,31098000,59931000,83594000,277964000,277964000,361558000,421489000,171351000,88559000,254942000,254942000,676431000,2289000,9548000,-4089000,5497013.86354807,7748000,-11537000,-11537000,1774000,-9763000,3974000,1775000,-240000,-240000,-240000,15805000,83689000,6785813.85531064,0.69545,0.03773,0.0138,0.00898000000000002,0.00337999999999999,4.72171799894983,0.80524,1.65327,0.12372,0.08527,0.0852699999999999,6.17866,9.49763,0.281545317267038,0.00371000000000001,4.9776,12.57328
"29","2019_Q3",10.4409375,"Down",171381000,-53758000,117623000,-109748000,-19379000,-9807000,-80562000,7875000,-1121000,-967000,6754000,-49571000,-42817000,-623000,-43440000,-43440000,-43440000,-43440000,5646000,5646000,10070000,10070000,2997000,12824000,12316000,31537000,225030000,353142000,76999000,270012000,578172000,609709000,30915000,15818000,15097000,157000,29361000,29361000,60433000,62793000,274246000,274246000,337039000,397472000,172086000,45119000,212237000,212237000,609709000,-43440000,9807000,65428000,21440260.3230361,31795000,-10134000,-10134000,0,-10134000,-21033000,-21033000,628000,628000,628000,17682000,62950000,36927363.0119371,0.68632,0.04595,-0.25347,-0.20468,-0.07125,2.03601191708438,0.52185,1.87277,0.10325,-1.62042,-1.62056,6.39294,7.91697,1.44648767194883,-0.07906,3.24081,7.2767
"30","2019_Q4",9.405,"Down",164248000,-52056000,112192000,-111029000,-20205000,-10165000,-80659000,1163000,-887000,-823000,276000,-25404000,-25128000,2946000,-22182000,-22182000,-22182000,-22182000,3509000,3509000,9066000,9066000,3222000,13999000,12497000,29796000,221122000,326684000,56307000,262134000,547806000,577602000,28204000,11094000,17110000,204000,29842000,29842000,58250000,70887000,266957000,266957000,337844000,396094000,172697000,22937000,181508000,181508000,577602000,-22182000,10165000,23448000,28902876.621006,11431000,-12402000,-12402000,0,-12402000,7992000,-1166000,-2137000,-2137000,-2137000,11328000,71091000,52806980.6625951,0.68306,0.00708000000000001,-0.13505,-0.12221,-0.0384,-1.57501012332327,0.51152,2.18224,0.12308,-0.83536,-0.83536,6.18546,6.83546,2.0565586906562,-0.04269,5.96593,58.11006
"31","2020_Q1",8.73903225806452,"Down",-138008000,-43704000,-181712000,180714000,5918000,7334000,167462000,-998000,2757000,2699000,1759000,72786000,74545000,-13207000,61338000,-21053000,-21053000,-21053000,13413000,13413000,7933000,7933000,3394000,14543000,10722000,39283000,211944000,317414000,56307000,261107000,529358000,568641000,31139000,14776000,16363000,212000,32269000,32269000,63620000,76823000,269962000,265203000,346785000,410405000,173403000,1884000,158236000,158236000,568641000,-21053000,9675000,10219000,15217000,14058000,-5400000,-7174000,-1732000,-7132000,5903000,2978000,9904000,9904000,9904000,8677000,77035000,31701000,1.31668,0.00723,0.15255,-0.13305,-0.03702,-1.50577,0.61746,2.59363,0.13547,-0.8161,-0.8161,-5.34978,6.1339,1.22887,-0.04167,7.33226,-63.7495
