"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",28.0673015873016,"Down",158107000,-47679000,110428000,-95502000,-48489000,-47013000,14926000,-13790000,-12005000,-2692000,907000,1136000,44694000,45830000,2345000,48175000,48175000,-5250000,42925000,42925000,295442000,295442000,18577000,18577000,314019000,4696419000,5851533000,-1155114000,1129375000,542983000,586392000,5825794000,6139813000,1419617000,124811000,1294806000,1619617000,297466000,228536000,228536000,526002000,2145619000,3725131000,-188239000,-45941000,3490951000,503243000,3994194000,6139813000,48175000,49360000,-41471000,-14148000,41916000,47480000,49994834.9890511,43917000,170137000,-13106000,85670000,171503000,171503000,171503000,64286000,497466000,95273000,0.69844,0.0944,0.27149,0.01075,0.00699,2.21952,0.19388,0.53718,0.08102,0.31905,0.31696,1.17515,25.94692,0.70813,0.01549,0.02018,3.14258,13.53504
"12","2020_Q3",25.62234375,"Down",144952000,-47008000,97944000,-99724000,-52616000,-47108000,-1780000,-29141000,-15770000,-13485000,114000,-30921000,-10230000,-41151000,888000,-40263000,-40263000,3483000,-36780000,-36780000,710677000,710677000,20356000,20356000,731033000,4719348000,5914091000,-1194743000,1045396000,464437000,580959000,5764744000,6495777000,1437957000,125433000,1312524000,1937957000,397637000,220414000,220414000,618051000,2556008000,3743543000,-255162000,-47886000,3440495000,499274000,3939769000,6495777000,-40263000,53536000,40480000,-10150000,43603000,-74219000,70818000,-10571000,417554000,-4301000,383982000,417014000,417014000,417014000,51756000,897637000,-33501000,0.6757,-0.01228,-0.25374,-0.00934,-0.00566,0.91085,0.37722,0.64877,0.13819,-0.27527,-0.27711,1.08486,25.74951,-0.25073,-0.00131,-0.00662,3.61233,-105.03371
"13","2020_Q4",26.54609375,"Up",151035000,-48658000,102377000,-102042000,-56481000,-45561000,335000,-17850000,-16885000,-965000,0,-17515000,-7978000,-25493000,488000,-25005000,-25005000,2212000,-22793000,-22793000,455111000,455111000,37602000,37602000,492713000,4713628000,5940655000,-1227027000,1070983000,463026000,607957000,5784611000,6277324000,1802163000,111440000,1690723000,1802163000,397808000,216494000,216494000,614302000,2416465000,3722384000,-307975000,-44650000,3369759000,491100000,3860859000,6277324000,-25005000,57499000,16248000,-6406000,42336000,-64224000,-37551000,-91042000,-117547000,-8805000,-189614000,-238320000,-238320000,-238320000,57834000,397808000,-13284000,0.67784,0.00222,-0.15091,-0.0059,-0.00363,0.58281,0.2734,0.62589,0.06337,-0.17059,-0.17059,1.13037,25.21973,-0.09942,0.00161,-0.00297,-0.99082,-171.05373
"14","2021_Q1",29.4713114754098,"Up",148629000,-48914000,99715000,-110275000,-64170000,-46105000,-10560000,-22501000,-17661000,-3194000,-1646000,-33061000,-17651000,-50712000,544000,-50168000,-50168000,4513000,-45655000,-45655000,225600000,225600000,37736000,37736000,319239000,4767941000,6000631000,-1232690000,992367000,461369000,530998000,5760308000,6079547000,1696840000,103102000,1593738000,1696840000,397979000,247774000,247774000,645753000,2342593000,3658962000,-412944000,-39979000,3206039000,530915000,3736954000,6079547000,-50168000,65202000,42457000,-16325000,41166000,-107729000,-2265000,-109994000,-97652999.9999999,-3720000,-160549000,-229377000,-229377000,-229377000,54642000,397979000,-69956000,0.6709,-0.07105,-0.30717,-0.01222,-0.00751,1.53227,0.18814,0.62687,0.06546,-0.34579,-0.34579,1.1257,24.28229,-0.52984,-0.00365,-0.01596,3.1547,-16.32377
"15","2021_Q2",30.4460317460317,"Up",165289000,-47206000,118083000,-111972000,-64726000,-47246000,6111000,-17230000,-16296000,-943000,9000,-11119000,-8635000,-19754000,-4315000,-24069000,-24069000,3338000,-20731000,-20731000,208708000,208708000,39839000,39839000,248547000,4729356000,5978969000,-1249613000,1041414000,455476000,585938000,5770770000,6019317000,1687696000,95813000,1591883000,1687696000,398151000,203697000,203697000,601848000,2289544000,3632591000,-433675000,-30800000,3168116000,561657000,3729773000,6019317000,-24069000,65747000,15292000,9532000,66502000,-28499000,-1016000,-29515000,-2234000,-689000,-51776000,-14789000,-14789000,-14789000,71858000,398151000,57206000,0.7144,0.03697,-0.12542,-0.00556,-0.00344,-2.75944,0.14727,0.61386,0.06615,-0.1576,-0.1576,1.25657,24.08481,0.43489,0.00206,0.01321,2.63635,31.00033
"16","2021_Q3",29.0303125,"Down",154644000,-48895000,105749000,-100793000,-56678000,-44115000,4956000,-12858000,-16773000,3953000,-38000.0000000002,-7902000,4579000,-3323000,5000.00000000093,-3318000,-3318000,345000,-2973000,-2973000,201150000,201150000,37543000,37543000,238693000,4689227000,5986633000,-1297406000,1080291000,497770000,582521000,5769518000,6008211000,1690453000,99310000,1591143000,1690453000,398322000,201556000,201556000,599878000,2290331000,3651536000,-466230000,-28605000,3156701000,561179000,3717880000,6008211000,-3318000,57697000,459000,2216000,57054000,-24539000,-16391000,-40930000,-1108000,3832000,-25978000,-9854000,-9854000,-9854000,62653000,398322000,40325000,0.68382,0.03205,-0.01922,-8e-04,-0.00049,-13.56374,0.1412,0.61603,0.0663,-0.0226,-0.0226,1.17564,23.99803,0.30656,0.00616,0.00934,3.14705,39.7845
"17","2021_Q4",27.776875,"Down",157022000,-52303000,104719000,-100527000,-56726000,-43801000,4192000,3452000,-17243000,20503000,192000,7644000,-6431000,1213000,-217000,996000,996000,-103000,893000,893000,194277000,194277000,34900000,34900000,280305000,4680028000,6026135000,-1346107000,1048645000,486052000,562593000,5728673000,6008978000,1779592000,105307000,1674285000,1779592000,398493000,200204000,200204000,598697000,2378289000,3607760000,-495033000,-25446000,3087281000,543408000,3630689000,6008978000,996000,57773000,-9644000,-18269000,30856000,-40953000,14647000,-26306000,83880000,-5153000,-14066000,-9516000,-9516000,-9516000,61965000,398493000,2960000,0.66691,0.0267,0.00569,0.00025,0.00015,3.31467,0.15751,0.65505,0.06632,0.00679,0.00679,1.19448,23.48528,0.02252,0.00723,7e-04,3.29567,48.71565
"18","2022_Q1",26.9959677419355,"Down",157407000,-56053000,101354000,-100993000,-58173000,-42820000,361000,-34560000,-17649000,-25583000,8672000,-34199000,-30121000,-64320000,986000,-63334000,-63334000,6888000,-56446000,-56446000,264356000,264356000,37739000,37739000,346591000,4868473000,6236476000,-1368003000,1171142000,462885000,506301000,6039615000,6386206000,1883835000,106136000,1777699000,1883835000,698664000,342565000,342565000,1041229000,2925064000,3541191000,-609331000,-15950000,2915910000,545232000,3461142000,6386206000,-63334000,59237000,60153000,7154000,63210000,-273158000,1168000,-271990000,383881000,1676000,281698000,72918000,72918000,72918000,59598000,698664000,-207392000,0.6439,0.00228999999999999,-0.3586,-0.01631,-0.00884,3.67417000000003,0.18398,0.84512,0.1094,-0.43077,-0.43077,1.20125,22.25274,-1.58271,-0.00605,-0.04606,7.28729,1203.06925
"19","2022_Q2",24.9175806451613,"Down",161965000,-56459000,105506000,-103297000,-58062000,-45235000,2209000,1113000,-16278000,3145000,14246000,3322000,-3870000,-548000,471000,-77000,-77000,45000,-32000,-32000,189140000,189140000,30073000,30073000,264915000,4313223000,5529625000,-1216402000,1737742000,461444000,1114159000,6050965000,6315880000,1721518000,108436000,1613082000,1721518000,698332000,474935000,474935000,1173267000,2894785000,3446036000,-609363000,9935000,2846608000,574487000,3421095000,6315880000,-77000,59162000,-5500000,16013000,69598000,-49537000,-1210000,-32951000,-1178000,1462000,-119529000,-82882000,-82882000,-82882000,61371000,698332000,27376000,0.65141,0.01364,-2e-04,-1e-05,-1e-05,-855.5,0.15388,0.84616,0.11057,-0.00024,-0.00024,1.23307,21.67176,0.20842,0.00623,0.00596,8.29695,230.50792
"20","2022_Q3",22.27734375,"Down",145505000,-50227000,95278000,-88568000,-49479000,-39089000,6710000,-16476000,-16041000,-2107000,1672000,-9766000.00000001,154165000,144399000,-2905000,141494000,141494000,-18219000,123275000,123275000,162270000,162270000,212848000,212848000,421723000,4348716000,5606587000,-1257871000,809463000,414349000,237295000,5158179000,5579902000,1724953000,112784000,1612169000,1724953000,398500000,111852000,111852000,510352000,2235305000,3286671000,-513746000,18640000,2791565000,553032000,3344597000,5579902000,141494000,50535000,-144017000,-9961000,38051000,844531000,-27510000,818255000,-465954000,-1697000,-700401000,155905000,155905000,155905000,57245000,398500000,894720000,0.65481,0.04612,0.84722,0.03686,0.02209,7.25792000000001,0.24448,0.66833,0.07142,1.07796,1.07796,1.27234,24.41033,7.82371,0.03915,0.2321,4.12665,35.2056600000001
