"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.90578125,"Down",22484000,-13052000,9432000,-9391000,-8458000,-933000,41000,-65000,15000,-80000,-24000,-24000,3000,-21000,-21000,-21000,-21000,15201000,15157000,37504000,37504000,603000,4719000,3016000,58027000,13693000,31940000,21051000,4696000,2659000,45633000,103660000,16728000,11725000,5003000,2110000,2110000,18838000,689000,689000,689000,19527000,134001000,-49149000,-579000,84133000,84133000,103660000,-21000,749000,697000,-9825000,-8400000,-555000,-555000,-101000,-9056000,-9056000,-240000,-9296000,790000,0,-9593000,0.4195,0.00182,-0.00093,-0.00025,-2e-04,456.80952,3.08032,0.2321,0,-0.00095,-0.00095,1.01682,3.80486,-0.43384,-0.00025,-19.24177,-370.7561
"12","2013_Q3",3.97765625,"Up",29092000,-17227000,11865000,-9737000,-9307000,-430000,2128000,-125000,4000,-129000,2003000,2003000,-767000,1236000,1236000,1236000,1236000,23137000,23113000,41418000,41418000,719000,3533000,1716000,68807000,13811000,30454000,21051000,4574000,2372000,44265000,113072000,22907000,13026000,9881000,3184000,3184000,26898000,701000,701000,701000,27599000,133827000,-47913000,-51000,85473000,85473000,113072000,1236000,778000,733000,5161000,7908000,-771000,-771000,549000,7686000,7686000,270000,7956000,2906000,807000,8062999.99999999,0.40784,0.07315,0.04249,0.01446,0.01093,6.52345999999989,2.55807,0.3229,0.00714,0.05568,0.05117,1.31063,3.85066,0.36325,0.01421,-7.6841,-10.49342
"13","2013_Q4",6.09375,"Up",33555000,-18455000,15100000,-9765000,-9304000,-461000,5335000,-87000,-5000,-82000,5248000,5248000,-1768000,3480000,3480000,3480000,3480000,23700000,23672000,43430000,43430000,538000,3110000,2555000,70778000,13484000,27915000,21051000,4420000,2438000,41399000,112177000,18906000,12521000,6385000,3830000,3830000,24362000,8e+05,8e+05,8e+05,25162000,131725000,-44433000,113000,87015000,87015000,112177000,3480000,771000,236000,-4611000,-124000,-285000,-285000,809000,4e+05,4e+05,159000,559000,6106000,1626000,2978000,0.45001,0.15899,0.10371,0.03999,0.03102,0.85575,2.90526,0.28917,0.01449,0.15551,0.16487,1.49946,3.88842,0.13308,0.03891,-3.61513,-4.13758
"14","2014_Q1",6.43540983606557,"Up",24207000,-13787000,10420000,-9924000,-9306000,-618000,496000,142000,-12000,154000,638000,638000,-232000,406000,406000,406000,406000,27768000,27738000,36974000,36974000,443000,4080000,2196000,69265000,13027000,27766000,21051000,4305000,2410000,40793000,110058000,14550000,9920000,4630000,4460000,4460000,20646000,789000,730000,789000,21435000,133023000,-44027000,113000,88623000,88623000,110058000,406000,716000,2091000,245000,3458000,-143000,-143000,788000,4103000,4103000,-37000,4066000,1212000,1636000,1546000,0.43045,0.02049,0.01677,0.00458,0.00369,3.80788000000001,3.35489,0.24187,0.01486,0.01808,0.0177,1.07793,3.94634,0.0688399999999999,0.00446,-21.56106,-52.68548
"15","2014_Q2",5.62285714285714,"Down",18661000,-10810000,7851000,-8988000,-8744000,-244000,-1137000,-48000,-18000,-30000,-1185000,-1185000,99000,-1086000,-1086000,-1086000,-1086000,24994000,24918000,35638000,35638000,916000,5591000,2668000,67139000,12797000,27589000,21051000,4167000,2371000,40386000,107525000,15182000,9453000,5729000,2110000,2110000,18914000,1214000,725000,1214000,20128000,133625000,-45113000,-368000,87397000,87397000,107525000,-1086000,689000,814000,-2258000,-1841000,-322000,-322000,-89000,-2252000,-2252000,-568000,-2820000,-448000,1622000,-3127000,0.42072,-0.06093,-0.0582,-0.01243,-0.0101,2.87937,3.5497,0.23031,0.01508,-0.04797,-0.04797,0.82421,3.86012,-0.13811,-0.01204,52.16964,20.55585
"16","2014_Q3",4.778125,"Down",20190000,-11677000,8513000,-9184000,-8959000,-225000,-671000,-67000,-28000,-39000,-738000,-738000,18000.0000000001,-720000,-720000,-720000,-720000,16960000,16906000,36344000,36344000,1360000,5665000,2959000,60329000,13407000,34453000,28519000,4063000,1871000,47860000,108189000,15681000,8509000,7172000,1758000,1758000,19794000,653000,509000,653000,20447000,134558000,-45833000,-230000,87742000,87742000,108189000,-720000,645000,355000,-350000,-70000,-871000,-8950000,859000,-8161000,-8161000,149000,-8012000,-26000,2355000,-1265000,0.42164,-0.03323,-0.03566,-0.00821,-0.00666,1.75694,3.04784,0.23304,0.02177,-0.03156,-0.03156,0.88498,3.84597,-0.05545,-0.00793,561.73077,21.76602
"17","2014_Q4",3.990625,"Down",21482000,-11582000,9900000,-8459000,-8080000,-379000,1441000,-312000,-27000,-285000,1129000,1129000,63000,1192000,1192000,1192000,1192000,15578000,15543000,34816000,34816000,1118000,6802000,4150000,58314000,13579000,38049000,26139000,10616000,1294000,51628000,109942000,15603000,9073000,6530000,1641000,1641000,18868000,1841000,531000,1841000,20709000,135004000,-44641000,-377000,89233000,89233000,109942000,1192000,1072000,238000,812000,3314000,-3958000,-3958000,-733000,-1377000,-1377000,14000,-1363000,2513000,1624000,-696000,0.46085,0.06708,0.05549,0.01336,0.01084,-0.58389,3.09063,0.23208,0.01477,0.0522,0.05134,0.94075,3.90773,-0.03048,0.01286,-5.55273,-9.68355
"18","2015_Q1",3.28180327868852,"Down",18684000,-9820000,8864000,-10260000,-9649000,-611000,-1396000,-213000,-23000,-190000,-1609000,-25009000,7898000,-17111000,-17111000,-17111000,-17111000,18673000,18637000,31910000,31910000,1111000,6644000,4094000,58338000,13527000,19606000,2116000,10464000,1377000,33133000,91471000,15018000,7310000,7708000,2007000,2007000,18650000,520000,520000,520000,19170000,135215000,-61752000,-372000,72301000,72301000,91471000,-17111000,1900000,15553000,3690000,4032000,-667000,-667000,-37000,3328000,3328000,-234000,3094000,504000,1625000,-4371000,0.47442,-0.07472,-0.91581,-0.23666,-0.18706,0.25545,3.12804,0.26514,0.01777,-0.74923,-0.76195,0.81811,3.16582,-0.19139,-0.22984,-33.8254,12.21203
"19","2015_Q2",2.62206349206349,"Down",15103000,-8437000,6666000,-9075000,-8203000,-872000,-2409000,-116000,-20000,-96000,-2525000,-2525000,871000,-1654000,-1654000,-1654000,-1654000,18346000,18310000,26982000,26982000,1645000,7671000,4130000,54644000,13239000,18580000,2116000,9960000,1364000,31819000,86463000,13061000,6363000,6698000,1876000,1876000,15755000,487000,487000,487000,16242000,135123000,-63406000,-533000,70221000,70221000,86463000,-1654000,1063000,31000,1675000,1115000,-251000,-251000,-988000,-124000,-124000,-203000,-327000,-1346000,818000,-793000,0.44137,-0.1595,-0.10951,-0.02355,-0.01913,0.47944,3.46836,0.2313,0.00946,-0.07214,-0.07214,0.65874,3.06281,-0.03459,-0.02312,13.02229,7.27605
"20","2015_Q3",2.02359375,"Down",18683000,-11547000,7136000,-9382000,-8400000,-982000,-2246000,-61000,4000,-65000,-2307000,-2307000,936000.000000001,-1371000,-1371000,-1371000,-1371000,15004000,14967000,29539000,29539000,1390000,8352000,3919000,54285000,12740000,17266000,2116000,9507000,1368000,30006000,84291000,13769000,8964000,4805000,1625000,1625000,15394000,5e+05,5e+05,5e+05,15894000,134652000,-64777000,-436000,68397000,68397000,84291000,-1371000,1061000,609000,-2721000,-2422000,-106000,-106000,-9e+05,-3428000,-3428000,85000,-3343000,-1185000,0,-4948000,0.38195,-0.12022,-0.07338,-0.02004,-0.01627,3.60904,3.52637,0.23238,0,-0.05925,-0.0592500000000001,0.80739,2.95579,-0.21383,-0.0199,12.6616,6.68032
"21","2015_Q4",2.06671875,"Up",21677000,-13829000,7848000,-8408000,-6887000,-1521000,-560000,-97000,3000,-1e+05,-657000,-892000,603000,-289000,-289000,-289000,-289000,14429000,14398000,29294000,29294000,1428000,8510000,3660000,53661000,12301000,16971000,2116000,9033000,1344000,29272000,82933000,12776000,8094000,4682000,1680000,1680000,14456000,527000,527000,527000,14983000,135139000,-65066000,-1081000,67950000,67950000,82933000,-289000,1043000,-223000,-298000,233000,-140000,-140000,13000,106000,106000,-675000,-569000,483000,0,-558000,0.36204,-0.02583,-0.01333,-0.00425,-0.00348,1.9308,3.71202,0.2205,0,-0.01247,-0.01247,0.93568,2.93305,-0.02409,-0.00422,-29.87371,25.76607
"22","2016_Q1",1.71377049180328,"Down",18201000,-11294000,6907000,-5479000,-7407000,1928000,1428000,-92000,7000,-99000,1336000,-73000,-6167000,-6240000,-9066000,-9066000,-9066000,21703000,21684000,23060000,23060000,1653000,5985000,3889000,52401000,12001000,11609000,2116000,7144000,1357000,23610000,76011000,14891000,8942000,5949000,1645000,1645000,16536000,501000,501000,501000,17037000,135628000,-74132000,-1480000,58974000,58974000,76011000,-6240000,436000,7707000,8323000,8002000,-279000,-279000,2.3283064365387e-10,7723000,7723000,-437000,7286000,1864000,0,16075000,0.37948,0.07846,-0.4981,-0.15373,-0.11927,-1.77311,3.1689,0.28889,-2.16840434497101e-19,-0.39128,-0.39128,0.78554,2.54527,0.69379,-0.15243,-11.64324,-15.19818
"23","2016_Q2",1.6046875,"Down",17822000,-11774000,6048000,-8320000,-7162000,-1158000,-2272000,-253000,10000,-263000,-2525000,-2842000,205000,-2637000,-2637000,-2637000,-2637000,9397000,9383000,26546000,26546000,1436000,8614000,2960000,45993000,11568000,15218000,2116000,6748000,6354000,26786000,72779000,13579000,8615000,4964000,1620000,1620000,15199000,510000,510000,510000,15709000,135988000,-76769000,-1054000,57070000,57070000,72779000,-2637000,920000,264000,-4135000,-5588000,-90000,-90000,-7073000,-12751000,-12751000,450000,-12301000,-1352000,0,-5782000,0.33936,-0.12748,-0.14796,-0.04621,-0.03623,2.19264,3.02605,0.27526,0,-0.11374,-0.11374,0.76872,2.46161,-0.2494,-0.0458,6.95044,4.136
"24","2016_Q3",1.51109375,"Down",15175000,-9595000,5580000,-6368000,-6760000,392000,-788000,-215000,6000,-221000,-1003000,-1003000,-111000,-1114000,-2628000,-2628000,-2628000,12433000,12426000,22429000,22429000,1498000,10069000,2390000,46429000,11247000,11022000,2116000,6381000,1320000,22269000,68698000,11754000,7267000,4487000,1556000,1556000,13310000,503000,503000,503000,13813000,136667000,-79398000,-1170000,54885000,54885000,68698000,-1114000,566000,944000,4206000,3389000,-211000,-211000,-118999.999999998,3059000,3059000,-16000,3043000,-222000,0,3884000,0.36771,-0.05193,-0.17318,-0.04788,-0.03825,-1.47793,3.48828,0.25167,0,-0.1124,-0.1124,0.64903,2.34742,0.16612,-0.04745,56.0045,15.77792
"25","2016_Q4",1.26888888888889,"Down",12596000,-7281000,5315000,-6461000,-5789000,-672000,-1146000,-249000,5000,-254000,-1395000,-2503000,114000,-2389000,-3019000,-3019000,-3019000,13347000,13332000,19804000,19804000,992000,9226000,2473000,43369000,10889000,10573000,2116000,6e+06,1259000,21462000,64831000,10143000,5802000,4341000,1879000,1879000,12022000,401000,401000,401000,12423000,137147000,-82416000,-1109000,52408000,52408000,64831000,-2389000,707000,511000,1668000,17000,-150000,-150000,1e+06,867000,867000,39000,906000,-439000,0,965000,0.42196,-0.09098,-0.23968,-0.05761,-0.04657,-0.31964,3.60747,0.23704,0,-0.12876,-0.12876,0.53723,2.23526,0.04116,-0.05717,30.40319,11.6466
"26","2017_Q1",1.17209677419355,"Down",9568000,-7717000,1851000,-6167000,-5853000,-314000,-4316000,-183000,4000,-187000,-4499000,-6576000,-1872000,-8448000,-9104000,-9104000,-9104000,11835000,11826000,18790000,18790000,1012000,8998000,2891000,40635000,10517000,6636000,2116000,1796000,666000,17153000,57788000,12660000,6303000,6357000,1390000,1390000,14050000,346000,346000,346000,14396000,137618000,-91520000,-1492000,43392000,43392000,57788000,-8448000,705000,4316000,3376000,-556000,-487000,-6507000,6020000,-1043000,-1043000,-463000,-1506000,-3611000,5.6843418860808e-14,1150000,0.19346,-0.45109,-0.95151,-0.20981,-0.15754,-0.12632,2.89217,0.33177,0,-0.38825,-0.38825,0.40803,1.85048,0.04904,-0.20815,3.27749,2.74212
"27","2017_Q2",0.872857142857143,"Down",8491000,-4769000,3722000,-5438000,-5154000,-284000,-1716000,1000,3000,-2000,-1715000,-1776000,0,-1776000,-2506000,-2506000,-2506000,10214000,10203000,15363000,15363000,1244000,8888000,2796000,35709000,10362000,6083000,2116000,3283000,684000,16445000,52154000,9649000,4480000,5169000,1170000,1170000,10819000,365000,365000,365000,11184000,137608000,-94026000,-1375000,40970000,40970000,52154000,-1776000,459000,0,276000,-1620000,-97000,-97000,-23000,-1740000,-1740000,117000,-1623000,-1257000,0,-1078000,0.43835,-0.2021,-0.29514,-0.06117,-0.04805,0.43017,3.30058,0.27298,0,-0.10677,-0.10677,0.36175,1.74548,-0.04593,-0.06063,8.1257,5.95221
"28","2017_Q3",0.884920634920635,"Up",9741000,-6116000,3625000,-6203000,-5923000,-280000,-2578000,1000,3000,-2000,-2577000,-5600000,15000.0000000002,-5585000,-6854000,-6854000,-6854000,6587000,6576000,18969000,18969000,1560000,4069000,2984000,31185000,6601000,11272000,2116000,1722000,5595000,17873000,49058000,11929000,4737000,7192000,1189000,1189000,13118000,512000,512000,512000,13630000,138775000,-100880000,-995000,35428000,35428000,49058000,-5585000,405000,4493000,-2208000,-3632000,-135000,-135000,-235000,-4002000,-4002000,375000,-3627000,-2173000,0,-4531000,0.37214,-0.26465,-0.70362,-0.19346,-0.13971,0.66107,2.37727,0.38472,5.29395592033938e-23,-0.28874,-0.28874,0.41035,1.49246,-0.19088,-0.19071,3.03129,2.55508
"29","2017_Q4",1.01031746031746,"Up",13548000,-8498000,5050000,-5184000,-4968000,-216000,-134000,-39000,2000,-41000,-173000,-173000,-5000,-178000,-417000,-417000,-417000,6137000,6130000,21323000,21323000,926000,3819000,2738000,32205000,6491000,11324000,2116000,1700000,5669000,17815000,50020000,13159000,9281000,3878000,1133000,1133000,14292000,477000,477000,477000,14769000,138826000,-101296000,-807000,35251000,35251000,50020000,-178000,372000,65000,-135000,-283000,-278000,-278000,0,-561000,-561000,115000,-446000,238000,0,-170000,0.37275,-0.00989,-0.03078,-0.01183,-0.00834,0.40767,2.25336,0.41897,0,-0.01728,-0.01728,0.56139,1.4607,-0.00704,-0.01167,-25.78571,45.79851
"30","2018_Q1",1.16688524590164,"Up",13386000,-7761000,5625000,-5178000,-4888000,-290000,447000,-13000,2000,-15000,434000,434000,36000,470000,-1206000,-1206000,-1206000,8372000,8366000,19690000,19690000,945000,4741000,3592000,33748000,6272000,10464000,2116000,1671000,6192000,16736000,50484000,14236000,9065000,5171000,1487000,1487000,15723000,420000,420000,420000,16143000,139008000,-102503000,-692000,34341000,34341000,50484000,470000,291000,328000,1023000,1967000,20000,20000,2.91038304567337e-11,1987000,1987000,249000,2236000,738000,0,1745000,0.42022,0.03339,-0.09009,-0.03512,-0.02389,-1.44693,2.14641,0.47008,-1.32348898008484e-23,-0.04995,-0.04995,0.5544,1.42228,0.07227,-0.03469,-11.34417,-18.72931
"31","2018_Q2",1.2325,"Up",12791000,-7766000,5025000,-5209000,-4921000,-288000,-184000,-6000,2000,-8000,-190000,-190000,-1000,-191000,-216000,-216000,-216000,5671000,5667000,20164000,20164000,1026000,5196000,3548000,32057000,6111000,10462000,2116000,1640000,6221000,16573000,48630000,12036000,9430000,2606000,1518000,1518000,13554000,4e+05,4e+05,4e+05,13954000,138949000,-102514000,-277000,34676000,34676000,48630000,-191000,248000,-106000,-2487000,-2561000,-60000,-60000,-11000,-2632000,-2632000,433000,-2199000,64000,0,-2482000,0.39285,-0.01439,-0.01689,-0.00623,-0.00444,11.49074,2.36513,0.40241,0,-0.00895,-0.00895,0.52974,1.4361,-0.10279,-0.00616,-88.60938,30.82065
"32","2018_Q3",1.1015873015873,"Down",11847000,-8125000,3722000,-5024000,-4763000,-261000,-1302000,-59000,0,-59000,-1361000,-1678000,-1000,-1679000,-1753000,-1753000,-1753000,3914000,3912000,21294000,21294000,725000,10479000,3819000,36412000,6066000,4479000,2116000,1234000,644000,10545000,46957000,12685000,9766000,2919000,1484000,1484000,14169000,367000,367000,367000,14536000,139045000,-104267000,-873000,32421000,32421000,46957000,-1679000,213000,416000,117000,-951000,-152000,-152000,-2000,-1105000,-1105000,-650000,-1755000,-1089000,3.5527136788005e-15,-1123000,0.31417,-0.1099,-0.14797,-0.05407,-0.03733,0.64062,2.56984,0.44835,0,-0.07253,-0.07253,0.49015,1.34137,-0.04646,-0.05346,3.59412,3.00613999999999
"33","2018_Q4",1.26142857142857,"Up",16070000,-10654000,5416000,-4370000,-4105000,-265000,1046000,9000,1000,8000,1055000,1055000,0,1055000,1045000,1045000,1045000,4201000,4198000,26437000,26437000,647000,9003000,2348000,40288000,6117000,4275000,2116000,1184000,490000,10392000,50680000,15999000,12874000,3125000,1055000,1055000,17054000,325000,325000,325000,17379000,139143000,-103222000,-1136000,33301000,33301000,50680000,1055000,199000,69000,-184000,848000,-179000,-179000,1000,670000,670000,-384000,286000,1245000,0,882000,0.33703,0.06509,0.06503,0.03138,0.02062,0.84402,2.36238,0.52188,0,0.04323,0.0425,0.66485,1.37773,0.03649,0.03108,-3.3743,-4.01625
