"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",19.20546875,"Up",30608000,-17131000,-4521000,-12610000,5518000,-3654000,-3716000,1864000,10928000,12792000,12792000,12792000,-418000,12374000,-75000,12299000,29177000,29177000,3010000,3010000,50166000,1291834000,1409424000,-117590000,66311000,37789000,28522000,1362348000,1412514000,20089000,10877000,9212000,10918000,10918000,31007000,13769000,13769000,518723000,549730000,898648000,-58061000,840587000,22197000,862784000,1412514000,12792000,12610000,-12268000,-2909000,10225000,-212868000,-192433000,-7514000,57398000,174350000,174439000,-89000,-1272000,222962000,40754000,40754000,40754000,18128000,504954000,0.18028,0.40182,0.01426,0.00871,1.61789,0.63716,0.35749,0.19198,0.19126,0.47778,13.12119,0.11729,0.01434,0.61094,26.24542,86.22273
"12","2016_Q4",19.1449206349206,"Down",33303000,-18408000,-5067000,-13341000,5917000,-2476000,-3804000,3441000,-380000.000000002,3061000,3061000,3061000,-62999.9999999999,2998000,-731000,2267000,55263000,55263000,8450000,2633000,63713000,1371268000,1497869000,-126601000,69203000,38093000,31110000,1440471000,1504184000,27647000,18433000,9214000,9883000,9883000,37530000,14946000,14946000,521096000,558626000,899012000,-62415000,923261000,22297000,945558000,1504184000,3061000,13341000,-2935000,6188000,19655000,-88528000,-88698000,-8915000,86799000,-434000.00000003,-136999.99999997,-297000,-3e+05,77150000,8106999.99999999,8106999.99999999,8106999.99999999,19258000,506150000,0.17767,0.06807,0.0024,0.00151,1.69766,0.59079,0.33649,0.0345,0.03335,0.50684,12.73214,0.13568,0.00762,3.93251,23.41297,76.20196
"13","2017_Q1",20.0253225806452,"Up",34777000,-18467000,-4225000,-14242000,7171000,-4074000,-4074000,3097000,5449000,8546000,8546000,8546000,-217000,8329000,-1401000,6928000,15525000,15525000,8683000,2749000,24208000,1416989000,1552129000,-135140000,73811000,36365000,37446000,1490800000,1515008000,22867000,13585000,9282000,5500000,5500000,28367000,15187000,15187000,524501000,552868000,908496000,-55832000,939315000,22825000,962140000,1515008000,8546000,14242000,-7586000,-2780000,12422000,-67585000,-49115000,-10900000,-681000,8838000,9084000,-246000,-302000,-3045000,-39738000,-39738000,-39738000,21413000,509314000,0.2062,0.19921,0.0072,0.00457,0.85339,0.57462,0.33618,0.10521,0.10799,0.52811,12.94825,0.16552,0.01199,1.57333,23.06024,68.85915
"14","2017_Q2",23.0252380952381,"Up",35354000,-18685000,-5086000,-13599000,7447000,-3987000,-3998000,3460000,2261000,5721000,5721000,5721000,-132000,5589000,-1413000,4176000,11676000,11676000,9011000,2921000,27224000,1427998000,1571197000,-143199000,74731000,33050000,41681000,1502729000,1529953000,28013000,18005000,10008000,6141000,6141000,34154000,15311000,15311000,533657000,567811000,912711000,-60506000,938856000,23286000,962142000,1529953000,5721000,13599000,-2925000,2682000,19077000,-23192000,-17144000,-10293000,10029000,3463000,3739999.99999999,-277000,-2444000,755000,2688000,2688000,2688000,21046000,518346000,0.21064,0.11812,0.00434,0.00273,0.7971,0.59015,0.3388,0.06295,0.06268,0.53291,12.8458,0.15515,0.00967,2.4648,24.07441,68.03679
"15","2017_Q3",25.7953968253968,"Up",36782000,-19638000,-5123000,-14515000,7608000,-4302000,-4302000,3306000,16549000,19855000,19855000,19855000,-531000,19324000,-1478000,17846000,13118000,13118000,2644000,2644000,15762000,1603895000,1757058000,-153163000,85595000,41087000,44508000,1689490000,1705252000,24940000,14298000,10642000,6298000,6298000,31238000,16721000,16721000,589036000,620274000,1027990000,-53776000,1060865000,24113000,1084978000,1705252000,19855000,14515000,-16868000,-5299000,12203000,-234138000,-172019000,-10994000,51737000,114487000,114614000,-127000,-509000,154721000,-5095000,-5095000,-5095000,22123000,572315000,0.20684,0.48518,0.01645,0.01047,0.50458,0.57169,0.33562,0.26275,0.26117,0.54154,14.34339,0.16187,0.01723,0.616050000000001,25.27673,73.50118
"16","2017_Q4",27.2488888888889,"Up",43339000,-23814000,-5843000,-17971000,8296000,-6271000,-6271000,2025000,-15999.9999999981,2009000,2009000,2009000,-21000,1988000,-1402000,586000,12918000,12918000,3040000,3040000,15958000,1.892e+09,2057385000,-165385000,95043000,49147000,45896000,1987043000,2003001000,33770000,22190000,11580000,6523000,6523000,40293000,19149000,19149000,701505000,741798000,1213896000,-63708000,1236839000,24364000,1261203000,2003001000,2009000,17971000,-1918000,8787000,26849000,-303960000,-302785000,-11634000,102737000,185120000,185514000,-394000,-487000,275736000,-2e+05,-2e+05,-2e+05,26267000,682356000,0.19142,0.01352,0.000460000000000002,0.00029,0.39605,0.58817,0.34067,0.00807000000000008,0.00802000000000003,0.59678,15.83818,0.1602,0.00623,19.85324,25.48589,80.69407
"17","2018_Q1",25.69,"Down",45880000,-24325000,-5558000,-18767000,9403000,-5638000,-5638000,3765000,10350000,14115000,14115000,14115000,-304000,13811000,-1992000,11819000,6620000,6620000,3664000,3664000,10534000,1988424000,2161965000,-173541000,112415000,49239000,63176000,2100839000,2111373000,32861000,21134000,11727000,6729000,6729000,39590000,19521000,19521000,706529000,746119000,1240592000,-60259000,1340046000,25208000,1365254000,2111373000,14115000,18767000,-13227000,-1134000,18521000,-145384000,-114952000,-12574000,77154000,26262000,27032000,-770000,-459000,90383000,-6048000,-6048000,-6048000,28170000,687008000,0.20495,0.25761,0.00866,0.0056,0.26608,0.54651,0.32538,0.1517,0.15081,0.58887,15.1495,0.16139,0.01177,1.06388,24.15293,72.35861
"18","2018_Q2",27.9371875,"Up",48536000,-25614000,-6162000,-19452000,10962000,-5852000,-5852000,5110000,9974000,15084000,15084000,15084000,-318000,14766000,-2520000,12246000,15625000,15625000,3328000,3328000,23164000,2029950000,2216184000,-186234000,112750000,45876000,66874000,2142700000,2165864000,34735000,21441000,13294000,5672000,5672000,40407000,19936000,19936000,697136000,737543000,1298195000,-56608000,1400681000,27640000,1428321000,2165864000,15084000,19452000,-11414000,2078000,25200000,-67614000,-44768000,-14392000,-9232000,56953000,57371000,-418000,-795000,32534000,12966000,12966000,12966000,30414000,677200000,0.22585,0.25231,0.00857,0.00565,0.57327,0.51637,0.31267,0.15562,0.15463,0.61677,15.77737,0.18289,0.01253,1.17524,21.75232,60.35167
"19","2018_Q3",28.8426984126984,"Up",51756000,-26281000,-6506000,-19775000,12700000,-6452000,-6452000,6248000,1571000,7819000,7819000,7819000,-129000,7690000,-2518000,5172000,162704000,162704000,3920000,3920000,166624000,2327040000,2527046000,-200006000,118715000,57054000,61661000,2445755000,2612379000,34635000,19683000,14952000,6374000,6374000,41009000,20534000,20534000,831537000,872546000,1615558000,-64173000,1710479000,29354000,1739833000,2612379000,7819000,19775000,-2867000,-4803000,19924000,-288620000,-275414000,-15331000,98766000,316609000,316734000,-125000,-1686000,398358000,142868000,142868000,142868000,32475000,811003000,0.24538,0.09993,0.00297,0.00198,4.06311,0.50151,0.31045,0.06237,0.06194,0.62414,18.70847,0.18488,0.00797,2.96423,19.96302,51.04717
"20","2018_Q4",29.2130158730159,"Up",55194000,-26373000,-6229000,-20144000,15527000,-6456000,-6456000,9071000,-106000,8965000,8965000,8965000,-141000,8824000,-2517000,6307000,183904000,183904000,5042000,5042000,188946000,2362967000,2577647000,-214680000,116925000,53402000,63523000,2479892000,2668838000,45625000,30411000,15214000,6424000,6424000,52049000,21888000,21888000,831395000,883444000,1667263000,-71800000,1754557000,30837000,1785394000,2668838000,8965000,20144000,-1482000,8194000,35821000,-48586000,-48311000,-16993000,-37000,51102000,51132000.0000001,-30000,-382000,33690000,21200000,21200000,21200000,35671000,809507000,0.28132,0.11427,0.00353,0.00236,3.63016,0.49482,0.30332,0.06896,0.0686,0.60345,17.44369,0.18579,0.0089,2.69431,17.53814,40.2913
"21","2019_Q1",31.2232786885246,"Up",57008000,-26968000,-6297000,-20671000,16398000,-6656000,-6656000,9742000,5465000,15207000,15207000,15207000,-277000,14930000,-2517000,12413000,180601000,180601000,4944000,4944000,185545000,2487341000,2716083000,-228742000,114799000,55683000,59116000,2602140000,2787685000,37012000,21074000,15938000,8890000,8890000,45902000,23262000,23262000,833360000,879262000,1799079000,-82079000,1876094000,32329000,1908423000,2787685000,15207000,20671000,4044000,-18092000,21830000,-102393000,-138720000,-17256000,-38000,131262000,131283000,-21000,-381000,113587000,-3303000,-3303000,-3303000,37069000,810098000,0.28764,0.21774,0.0065,0.00445,4.0422,0.46073,0.2906,0.13175,0.13107,0.60508,18.22428,0.18316,0.01082,1.39016,16.98176,38.38864
"22","2019_Q2",35.5169841269841,"Up",60363000,-29340000,-7344000,-21996000,17211000,-6471000,-6471000,10740000,-23000.0000000009,10717000,10717000,10717000,-201000,10516000,-2537000,7979000,276575000,276575000,4548000,4548000,281123000,2625777000,2870810000,-245033000,130216000,56122000,74094000,2755993000,3037116000,53502000,33728000,19774000,11432000,11432000,64934000,24396000,24396000,834346000,899280000,2043256000,-98454000,2103896000,33940000,2137836000,3037116000,10717000,21996000,1350000,2121000,36184000,-154965000,-165440000,-17913000,-38000.0000000075,243629000,244420000,-791000,-448000,225230000,95974000,95974000,95974000,39207000,809950000,0.28512,0.13218,0.00373,0.00263,4.32937,0.42065,0.26668,0.08113,0.08092,0.6138,19.77577,0.18215,0.00871,2.24502,13.60408,30.99036
"23","2019_Q3",40.05828125,"Up",64390000,-31823000,-7301000,-24522000,17428000,-6255000,-6255000,11173000,4781000,15954000,15954000,15954000,-569000,15385000,-2537000,12848000,172209000,172209000,3614000,3614000,186878000,2948222000,3209453000,-261231000,130241000,61664000,68577000,3078463000,3265341000,46888000,26065000,20823000,14960000,14960000,61848000,26123000,26123000,838884000,900732000,2256944000,-114157000,2301881000,62728000,2364609000,3265341000,15954000,24522000,-3365000,-11747000,25364000,-326257000,-308942000,-21669000,-40000,212775000,212800000,-25000,-799000,190267000,-93311000,-93311000,-93311000,41950000,812761000,0.27066,0.19953,0.00543,0.00393,3.02157,0.38092,0.24891,0.12133,0.12089,0.60809,20.23616,0.20464,0.01077,1.68657,15.26942,36.75419
"24","2019_Q4",43.499375,"Up",68061000,-32936000,-7440000,-25496000,18960000,-6785000,-6785000,12175000,773000,12948000,12948000,12948000,-518000,12430000,-2684000,9746000,197508000,197508000,4376000,4376000,201884000,3158183000,3436909000,-278726000,142327000,67110000,75217000,3300510000,3502394000,55703000,34669000,21034000,18621000,18621000,74324000,27688000,27688000,941527000,1015851000,2307388000,-127843000,2422074000,64469000,2486543000,3502394000,12948000,25496000,-410000,8063000,46097000,-238246000,-241248000,-22726000,183248000,49837000,49852000,-15000,-964000,209395000,14244000,14244000,14244000,44456000,913839000,0.27857,0.1432,0.00392,0.00278,2.71627,0.40854,0.26092,0.08882,0.08847,0.62027,19.86317,0.20711,0.00947,2.33183,16.11326,37.78117
"25","2020_Q1",43.4709677419355,"Down",74399000,-98535000,-8215000,-26877000,20980000,-7364000,-7364000,13616000,10766000,24382000,24382000,24382000,-734000,23648000,-3744000,19904000,78857000,78857000,5889000,5889000,84746000,3401613000,3698390000,-296777000,152263000,73090000,79173000,3553876000,3638622000,52736000,31112000,21624000,76816000,76816000,129552000,28779000,28779000,886621000,1016173000,2440143000,-126293000,2556177000,66272000,2622449000,3638622000,24382000,26877000,-17222000,-2168000,31869000,-238748000,-257112000,-24297000,-83328000,215038000,215061000,-23000,-821000,106592000,-118651000,-118651000,-118651000,47857000,857842000,0.28199,0.26753,0.00759,0.00547,0.65415,0.38749,0.23576,0.17824,0.17747,0.66624,20.72052,0.21758,0.0126,1.22071,16.27735,37.12989
"26","2020_Q2",38.151746031746,"Down",77680000,-36840000,-9317000,-27523000,22726000,-7449000,-7449000,15277000,-4999.99999999814,15272000,15272000,15272000,-717000,14555000,-3767000,10788000,112432000,112432000,5859000,5859000,118337000,3602596000,3919408000,-316812000,151498000,76138000,75360000,3754094000,3872431000,64931000,3.9e+07,25931000,30764000,30764000,95695000,30342000,30342000,998058000,1093753000,2525436000,-154793000,2612970000,165708000,2778678000,3872431000,15272000,27523000,-177000,3875000,46493000,-63138000,-63138000,-24688000,-50000,78224000,79431000,-1207000,-3220000,50266000,33621000,33621000,33621000,50249000,967716000,0.29256,0.13888,0.00388,0.00279,1.23661,0.39362,0.2499,0.09459,0.09437,0.68108,20.78519,0.21646,0.00939,2.28847,17.02092,37.6346
"27","2020_Q3",43.25328125,"Up",79950000,-74351000,-8972000,-28381000,23713000,-7428000,-7428000,16285000,-14000,16271000,16271000,16271000,-1084000,15187000,-3766000,11421000,254373000,254373000,4790000,4790000,259230000,3678447000,4016385000,-337938000,217357000,71513000,145844000,3895804000,4155034000,61263000,33731000,27532000,34079000,34079000,95342000,26158000,26158000,993953000,1089295000,2821452000,-170121000,2893658000,172081000,3065739000,4155034000,16271000,28381000,-4850000,-15116000,24686000,-147179000,-147179000,-28648000,-175000,294922000,294951000,-29000,-1644000,264455000,141962000,141962000,141962000,52094000,967795000,0.2966,0.14285,0.00373,0.00275,2.71895,0.35531,0.23292,0.09533,0.09512,0.6673,22.12941,0.23911,0.00987,2.50836,13.6949,30.08569
"28","2020_Q4",46.69375,"Up",83856000,-58959000,-9464000,-28811000,24897000,-7299000,-7299000,17598000,13599000,31197000,31197000,31197000,-1531000,29666000,-3765000,25901000,243619000,243619000,5838000,5838000,291844000,3723597000,4077800000,-354203000,154801000,67304000,87497000,3878398000,4170242000,72744000,45212000,27532000,31839000,31839000,104583000,27683000,27683000,995439000,1100022000,2822363000,-168723000,2895967000,174253000,3070220000,4170242000,31197000,28811000,-16099000,31560000,75469000,-12656000.0000001,-11781000,-30250000,-205000.000000015,-41000.0000000596,-23000.0000000596,-18000,-1626000,-32122000.0000001,31566000,31566000,31566000,53708000,967756000,0.2969,0.30887,0.00844,0.00621,2.79055,0.35829,0.23206,0.20956,0.20906,0.67846,21.47005,0.24475,0.01381,1.16791,13.48285,29.08531
"29","2021_Q1",47.3340983606557,"Up",88649000,-61754000,-9042000,-30554000,26895000,-8673000,-8673000,18222000,-67000,18155000,18155000,18155000,-1160000,16995000,-3247000,13239000,176293000,176293000,10208000,10208000,187731000,4572532000,4947955000,-375423000,190911000,97328000,93583000,4763443000,4951174000,75131000,45384000,29747000,97689000,97689000,1388980000,31602000,31602000,31602000,1420582000,3183912000,-181098000,3245141000,285451000,3530592000,4951174000,18155000,30554000,-1159000,-11204000,36346000,-760483000,-765425000,-30251000,296603000,359713000,359737000,-24000,-5469000,620596000,-108483000,-108483000,-108483000,57449000,1216160000,0.30339,0.14934,0.00375,0.00267,0.13516,0.40236,0.24563,0.10504,0.10471,0.70338,23.82571,0.24003,0.0091,2.28499,18.1007,38.66395
"30","2021_Q2",53.8634920634921,"Up",99763000,-70228000,-11480000,-35144000,29535000,-9752000,-9752000,19783000,10860000,30643000,30643000,30643000,-1969000,28674000,-3777000,24897000,123933000,123933000,7737000,7737000,131717000,4734900000,5136022000,-401122000,203282000,92743000,110539000,4938182000,5069899000,75684000,41871000,33813000,92205000,92205000,1387314000,34367000,34367000,34367000,1421681000,3301671000,-184483000,3359515000,288703000,3648218000,5069899000,30643000,35144000,-12682000,-16729000,36376000,-162326000,-172401000,-31892000,-319000.00000006,116892000,118247000,-1355000,-2199000,82482000,-53543000,-53543000,-53543000,64679000,1219425000,0.29605,0.24956,0.00682,0.00491,0.0949400000000001,0.38969,0.24052,0.18917,0.18896,0.758,23.68452,0.24232,0.01158,1.28096,16.93737,37.09132
"31","2021_Q3",58.63828125,"Up",104360000,-71480000,-10695000,-36228000,32880000,-9593000,-9593000,23287000,2750000,26037000,26037000,26037000,-1710000,24327000,-3776000,20551000,64219000,64219000,8228000,8228000,72473000,4981495000,5408882000,-427387000,211758000,94716000,117042000,5193253000,5265726000,84380000,49699000,34681000,91064000,91064000,1394465000,38489000,38489000,38489000,1432954000,3.501e+09,-195170000,3548157000,284615000,3832772000,5265726000,26037000,36228000,-5684000,8720000,65301000,-272292000,-276757000,-35773000,-333000,191187000,191197000,-10000.0000000005,-3360000,151721000,-59735000,-59735000,-59735000,69108000,1219021000,0.31506,0.19692,0.00536,0.0039,0.05197,0.37387,0.2315,0.15615,0.15597,0.79293,25.11783,0.2718,0.01107,1.74069,16.71011,35.12172
"32","2021_Q4",67.66015625,"Up",115403000,-77983000,-11806000,-38676000,37420000,-10431000,-10427000,26989000,13197000,40186000,40186000,40186000,-2173000,38013000,-6468000,31545000,60154000,60154000,9863000,9863000,70067000,5903565000,6355584000,-452019000,250125000,130853000,119272000,6153690000,6223757000,115938000,77968000,37970000,138007000,138007000,1640594000,55487000,55487000,55487000,1696081000,4285114000,-200744000,4240046000,287630000,4527676000,6223757000,40186000,38676000,-20605000,20009000,78266000,-908493000,-903563000,-36030000,170526000,782676000,782714000,-38000,-95916000,821256000,-4041000,-4041000,-4041000,76096000,1386649000,0.32426,0.27335,0.00697,0.00507,0.04271,0.3746,0.2228,0.22733,0.22592,0.83166,29.43436,0.25965,0.01132,1.14218,17.43186,35.44882
