"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",30.7577419354839,"Up",2.6918e+10,-2.5711e+10,1.207e+09,-6.57e+08,-6.83e+08,2.6e+07,5.5e+08,-1.6e+07,-2.4e+07,8e+06,5.34e+08,-2.4e+07,5.1e+08,-1.77e+08,3.33e+08,3.33e+08,3.33e+08,3.33e+08,2410400000,2410400000,6495400000,6495400000,8220100000,944300000,944300000,18070200000,1517400000,5054500000,4370800000,683700000,6571900000,24642100000,14500600000,12572500000,1928100000,345500000,14846100000,2207900000,1.348e+09,3555900000,1.8402e+10,2921500000,-691900000,3938800000,71700000,6240100000,6240100000,24642100000,3.33e+08,8.3e+07,-1e+07,2.1e+07,-3.1e+07,4.87e+08,-4.77e+08,6.83e+08,9.4e+07,1.87e+08,8.93e+08,-5.7e+07,-5.7e+07,-5.7e+07,1.1e+07,1.1e+07,-1.36e+08,-1.82e+08,-7.4e+07,-4e+07,-4.4e+07,-4.4e+07,1.2e+07,0,3e+06,-9.9e+07,6.12e+08,6.12e+08,6.12e+08,6.33e+08,2553400000,1.24e+09,0.04484,0.02043,0.01237,0.05336,0.01351,3.72372,1.21717,2.94899,0.10362,0.96522,0.95415,78.02319,18.08725,3.5942,0.21449,0.04013,0.12227,0.22222,0.22591,0.26
"12","2013_Q1",33.8095,"Up",2.6764e+10,-2.5628e+10,1.136e+09,-7.21e+08,-7.11e+08,-1e+07,4.15e+08,-2.7e+07,-2.5e+07,-2e+06,3.88e+08,-1.1e+07,3.77e+08,-1.41e+08,2.36e+08,2.37e+08,2.37e+08,2.37e+08,2.274e+09,2.274e+09,6.355e+09,6.355e+09,7.864e+09,1.017e+09,1.017e+09,1.751e+10,1.551e+09,5.199e+09,4.392e+09,8.07e+08,6.75e+09,2.426e+10,1.3698e+10,1.1726e+10,1.972e+09,4.76e+08,1.4174e+10,2.418e+09,1.424e+09,3.842e+09,1.8016e+10,2.93e+09,-8.16e+08,4.093e+09,3.7e+07,6.244e+09,6.244e+09,2.426e+10,2.36e+08,8.6e+07,1.79e+08,2.2e+07,-1e+06,-6.08e+08,1.81e+08,3.75e+08,-8.93e+08,-2.71e+08,-1.07e+08,-1.02e+08,-1.02e+08,-1.02e+08,4.6e+07,4.6e+07,-3.1e+07,-1.11e+08,-7.4e+07,2.95e+08,2.9e+08,-2.06e+08,-1.31e+08,-1.5e+08,-7e+06,83000000.0000001,-1.35e+08,-1.35e+08,-1.35e+08,5.01e+08,2.894e+09,-6.8e+07,0.04245,0.01551,0.00886,0.03796,0.00977,-0.286919999999999,1.23536,2.88533,0.11929,0.68696,0.67908,77.57681,18.09855,-0.197099999999999,0.21449,0.02945,-0.00643999999999999,0.31224,1.23752,1.49398
"13","2013_Q2",34.90140625,"Up",2.5889e+10,-2.473e+10,1.159e+09,-7.18e+08,-6.9e+08,-2.8e+07,4.41e+08,-1.8e+07,-2.6e+07,8e+06,4.23e+08,1.6e+07,4.39e+08,-1.67e+08,2.72e+08,2.71e+08,2.71e+08,2.71e+08,2.44e+09,2.44e+09,6.449e+09,6.449e+09,8.105e+09,1.013e+09,1.013e+09,1.8007e+10,1.511e+09,5.302e+09,4.441e+09,8.61e+08,6.813e+09,2.482e+10,1.4198e+10,1.2215e+10,1.983e+09,4.71e+08,1.4669e+10,2.408e+09,1.462e+09,3.87e+09,1.8539e+10,2.927e+09,-9.89e+08,4.282e+09,6.1e+07,6.281e+09,6.281e+09,2.482e+10,2.72e+08,8.8e+07,2.6e+07,2.4e+07,2e+06,1.82e+08,-7.1e+07,-2.07e+08,4.64e+08,-4e+06,5.68e+08,-2.6e+07,-2.6e+07,-2.6e+07,2.3e+07,2.3e+07,-1e+08,-1.03e+08,-8.4e+07,-1.4e+07,-4e+06,-4e+06,-1.79e+08,-2e+08,-2.2e+07,-2.99e+08,1.66e+08,1.66e+08,1.66e+08,5.29e+08,2.879e+09,8.52e+08,0.04477,0.01703,0.01047,0.04315,0.01092,3.14391,1.22755,2.9516,0.116,0.79472,0.78779,75.92082,18.41935,2.49853,0.24633,0.03342,0.08021,0.30996,0.82987,0.99546
"14","2013_Q3",39.0684375,"Up",2.5232e+10,-2.4009e+10,1.223e+09,-7.23e+08,-6.98e+08,-2.5e+07,5e+08,-2.3e+07,-2.7e+07,4e+06,4.77e+08,6000000.00000001,4.83e+08,-1.8e+08,3.03e+08,3.04e+08,3.04e+08,3.04e+08,2.255e+09,2.255e+09,6.158e+09,6.158e+09,8.452e+09,9.96e+08,9.96e+08,1.7861e+10,1.475e+09,5.306e+09,4.428e+09,8.78e+08,6.781e+09,2.4642e+10,1.3728e+10,1.1796e+10,1.932e+09,4.74e+08,1.4202e+10,2.423e+09,1.475e+09,3.898e+09,1.81e+10,2.929e+09,-9.52e+08,4.491e+09,7.4e+07,6.542e+09,6.542e+09,2.4642e+10,3.03e+08,8.8e+07,3.5e+07,2.2e+07,1.3e+07,-5.56e+08,2.99e+08,-3.29e+08,-4.33e+08,-93000000.0000001,-1.3e+08,-3.6e+07,-3.6e+07,-3.6e+07,4.8e+07,4.8e+07,-26000000.0000001,-1.4e+07,-8.1e+07,2.5e+07,-2e+06,-1999999.99999997,5e+06,0,1e+07,-4.1e+07,-1.85e+08,-1.85e+08,-1.85e+08,5.88e+08,2.897e+09,1.76e+08,0.04847,0.01982,0.01205,0.04647,0.01234,0.57895,1.25764,2.76674,0.11756,0.89412,0.88372,74.21176,19.24118,0.517649999999999,0.23824,0.03528,0.01613,0.26645,1.09184,1.284
"15","2013_Q4",47.29734375,"Up",2.4552e+10,-2.3261e+10,1.291e+09,-7.64e+08,-7.11e+08,-5.3e+07,5.27e+08,-2.9e+07,-3.4e+07,5e+06,4.98e+08,-5.1e+07,4.47e+08,-1.01e+08,3.46e+08,3.45e+08,3.45e+08,3.45e+08,2.305e+09,2.305e+09,6.416e+09,6.416e+09,8.328e+09,8.78e+08,8.78e+08,1.7927e+10,1.47e+09,7.326e+09,6.413e+09,9.13e+08,8.796e+09,2.6723e+10,1.4028e+10,1.2049e+10,1.979e+09,4.46e+08,1.4474e+10,3.714e+09,1.705e+09,5.419e+09,1.9893e+10,2.936e+09,-9.04e+08,4.742e+09,5.6e+07,6.83e+09,6.83e+09,2.6723e+10,3.46e+08,9.9e+07,5.2e+07,2.2e+07,3e+07,4.92e+08,-1.47e+08,1.93e+08,1.83e+08,2.63e+08,9.89e+08,-4.1e+07,-4.1e+07,-4.1e+07,7.45058059692383e-09,0,-2.093e+09,-2.14e+09,-9.3e+07,1.258e+09,1.286e+09,0,3.7e+07,0,-1e+06,1.201e+09,5e+07,5e+07,5e+07,6.26e+08,4.16e+09,1.178e+09,0.05258,0.02146,0.01405,0.05051,0.01291,3.41449,1.23857,2.91259,0.15567,1.01173,1.00291,72,20.02933,3.45455,0.27273,0.0345,0.09279,0.26957,2.96326,3.51992
"16","2014_Q1",54.0293442622951,"Up",2.542e+10,-2.4172e+10,1.248e+09,-8.28e+08,-7.76e+08,-5.2e+07,4.2e+08,-3.8e+07,-3.6e+07,-2e+06,3.82e+08,-8.63e+08,-4.81e+08,-1.05e+08,-5.86e+08,-5.86e+08,-5.86e+08,-5.86e+08,1.901e+09,1.901e+09,6.304e+09,6.304e+09,8.373e+09,1.192e+09,1.192e+09,1.777e+10,1.489e+09,6.56e+09,5.574e+09,9.86e+08,8.049e+09,2.5819e+10,1.4422e+10,1.2295e+10,2.127e+09,1.68e+08,1.459e+10,3.686e+09,1.568e+09,5.254e+09,1.9844e+10,2.953e+09,-1.084e+09,4.038e+09,6.8e+07,5.975e+09,5.975e+09,2.5819e+10,-5.86e+08,1.22e+08,8.91e+08,2.5e+07,8.45e+08,-1.27e+08,1.35e+08,-2.7e+07,2.12e+08,-4.47e+08,3e+08,-9.2e+07,-9.2e+07,-9.2e+07,0,0,-2e+07,-1.18e+08,-9.5e+07,-2.89e+08,-2.99e+08,-2.99e+08,-1.92e+08,-2.5e+08,-1e+07,-5.86e+08,-4.04e+08,-4.04e+08,-4.04e+08,5.42e+08,3.854e+09,4.28e+08,0.0491,0.01652,-0.02305,-0.09808,-0.0227,-0.730380000000001,1.21796,3.32117,0.14927,-1.71345,-1.70349,74.32749,17.47076,1.25146,0.27778,-0.04308,0.03755,-0.16212,3.60332,4.65
"17","2014_Q2",53.1246031746032,"Down",2.4523e+10,-2.3259e+10,1.264e+09,-7.81e+08,-7.32e+08,-4.9e+07,4.83e+08,-2.9e+07,-3.3e+07,4e+06,4.54e+08,-1.2e+07,4.42e+08,-1.02e+08,3.4e+08,3.39e+08,3.39e+08,3.39e+08,2.753e+09,2.753e+09,4.898e+09,4.898e+09,7.275e+09,1.111e+09,1.111e+09,1.6037e+10,1.445e+09,6.334e+09,5.57e+09,7.64e+08,7.779e+09,2.3816e+10,1.2317e+10,1.0442e+10,1.875e+09,1.9e+08,1.2507e+10,3.693e+09,1.319e+09,5.012e+09,1.7519e+10,2.941e+09,-1.009e+09,4.273e+09,9.2e+07,6.297e+09,6.297e+09,2.3816e+10,3.4e+08,1.17e+08,3.6e+07,2.4e+07,1.2e+07,4.58e+08,1.395e+09,1.098e+09,-1.852e+09,-1.83e+08,9.51e+08,-2.6e+07,-2.6e+07,-2.6e+07,0,0,-2.5e+07,-5.1e+07,-1.05e+08,2e+07,-622831718.199978,-232444103.541352,2.5e+07,-5e+07,1.2e+07,-4.8e+07,8.52e+08,8.52e+08,8.52e+08,6e+08,3.883e+09,1.134e+09,0.05154,0.0197,0.01382,0.05384,0.01423,3.34513,1.28224,2.78212,0.16304,0.99706,0.98547,72.12647,18.52059,3.33529,0.30882,0.03861,0.09862,0.30973,1.88333,2.33954
"18","2014_Q3",57.0596875,"Up",2.224e+10,-2.0896e+10,1.344e+09,-8.21e+08,-7.65e+08,-5.6e+07,5.23e+08,-2.7e+07,-3.3e+07,6e+06,4.96e+08,-4e+06,4.92e+08,-2.18e+08,2.74e+08,2.78e+08,2.78e+08,2.78e+08,2.741e+09,2.741e+09,4.876e+09,4.876e+09,8.478e+09,1.153e+09,1.153e+09,1.7248e+10,1.407e+09,6.354e+09,5.556e+09,7.98e+08,7.761e+09,2.5009e+10,1.3107e+10,1.1221e+10,1.886e+09,2.55e+08,1.3362e+10,3.679e+09,1.379e+09,5.058e+09,1.842e+10,2.961e+09,-9.17e+08,4.446e+09,9.9e+07,6.589e+09,6.589e+09,2.5009e+10,2.74e+08,1.17e+08,5e+07,2.4e+07,26000000.0000001,-4.04e+08,2.5e+07,-1.198e+09,7.64e+08,4999999.99999994,37000000.0000001,-6.4e+07,-6.4e+07,-6.4e+07,0,0,-24999999.9999999,-8.9e+07,-1.03e+08,5.2e+07,-999999.999999523,-1e+06,6.4e+07,0,2.7e+07,4e+07,-11999999.9999995,-11999999.9999995,-1.2e+07,6.4e+08,3.934e+09,3.9e+08,0.06043,0.02352,0.0125,0.04219,0.01112,1.40288,1.29082,2.79557,0.1573,0.81287,0.80347,65.02924,19.26608,1.14035,0.30117,0.03201,0.03277,0.3705,1.86406,2.28107
"19","2014_Q4",62.20609375,"Up",2.1427e+10,-2.013e+10,1.297e+09,-7.91e+08,-7.36e+08,-5.5e+07,5.06e+08,-1e+06,-3.4e+07,3.3e+07,5.05e+08,2e+06,5.07e+08,-1.92e+08,3.15e+08,3.15e+08,3.15e+08,3.15e+08,3.041e+09,3.041e+09,4.812e+09,4.812e+09,8.03e+09,1.053e+09,1.053e+09,1.6936e+10,1.404e+09,6.361e+09,5.593e+09,7.68e+08,7.765e+09,2.4701e+10,1.2906e+10,1.0919e+10,1.987e+09,2.41e+08,1.3147e+10,3.679e+09,1.343e+09,5.022e+09,1.8169e+10,2.959e+09,-1.154e+09,4.657e+09,7e+07,6.532e+09,6.532e+09,2.4701e+10,3.15e+08,1.1e+08,-5e+06,2.4e+07,-2.9e+07,4e+08,5.3e+07,4.5e+08,-3.04e+08,2.01e+08,8.2e+08,-4.8e+07,-4.8e+07,-4.8e+07,4.7e+07,4.7e+07,-1.18e+08,-1.46e+08,-1.04e+08,-8e+06,0,0,-2.59e+08,-3.39e+08,-3e+06,-3.74e+08,3e+08,3e+08,3e+08,6.16e+08,3.92e+09,1.16e+09,0.06053,0.02362,0.0147,0.04822,0.01275,3.68254,1.2882,2.78154,0.1587,0.92105,0.90778,62.65205,19.09942,3.39181,0.30409,0.03552,0.09835,0.33016,1.42695,1.73715
"20","2015_Q1",68.0995081967213,"Up",2.2894e+10,-2.1638e+10,1.256e+09,-8.58e+08,-7.95e+08,-6.3e+07,3.98e+08,-3e+07,-3.3e+07,3e+06,3.68e+08,-1.1e+07,3.57e+08,-1.23e+08,2.34e+08,2.34e+08,2.34e+08,2.34e+08,2.865e+09,2.865e+09,5.38e+09,5.38e+09,8.266e+09,1.428e+09,1.428e+09,1.7939e+10,1.459e+09,6.635e+09,5.87e+09,7.65e+08,8.094e+09,2.6033e+10,1.4314e+10,1.2149e+10,2.165e+09,8.01e+08,1.5115e+10,3.171e+09,1.346e+09,4.517e+09,1.9632e+10,2.98e+09,-1.423e+09,4.774e+09,7e+07,6.401e+09,6.401e+09,2.6033e+10,2.34e+08,1.15e+08,6.6e+07,2.4e+07,1.6e+07,3.01e+08,-5.48e+08,-2.08e+08,1.196e+09,-1.39e+08,7.16e+08,-1.11e+08,-1.11e+08,-1.11e+08,0,0,-3.51e+08,-5.64e+08,-1.03e+08,4.8e+07,-999999.999999985,-999999.999999985,-2.76e+08,-2.84e+08,3e+06,-3.28e+08,-1.76e+08,-1.76e+08,-1.76e+08,5.13e+08,3.972e+09,8.26e+08,0.05486,0.01738,0.01022,0.03656,0.00899,3.52991,1.18683,3.06702,0.15258,0.68824,0.68222,67.33529,18.82647,2.42941,0.30294,0.02876,0.07048,0.44017,2.15789,2.78141
"21","2015_Q2",70.1038095238095,"Up",2.407e+10,-2.2729e+10,1.341e+09,-8.28e+08,-7.75e+08,-5.3e+07,5.13e+08,-3.1e+07,-3.4e+07,3e+06,4.82e+08,-4.7e+07,4.35e+08,-1.69e+08,2.66e+08,2.66e+08,2.66e+08,2.66e+08,2.469e+09,2.469e+09,5.662e+09,5.662e+09,8.069e+09,1.338e+09,1.338e+09,1.7538e+10,1.434e+09,6.739e+09,5.923e+09,8.16e+08,8.173e+09,2.5711e+10,1.4053e+10,1.1995e+10,2.058e+09,8.43e+08,1.4896e+10,3.164e+09,1.395e+09,4.559e+09,1.9455e+10,2.948e+09,-1.663e+09,4.925e+09,4.6e+07,6.256e+09,6.256e+09,2.5711e+10,2.66e+08,1.08e+08,3.2e+07,2.5e+07,7e+06,-3.45e+08,-2.91e+08,1.99e+08,-1.57e+08,-9.6e+07,6.1e+07,-3.6e+07,-3.6e+07,-3.6e+07,9.1e+07,9.1e+07,-6.1e+07,-8.1e+07,-1.19e+08,4e+07,0,0,-3.35e+08,-3.6e+08,3.8e+07,-3.76e+08,-3.96e+08,-3.96e+08,-3.96e+08,6.21e+08,4.007e+09,4.09e+08,0.05571,0.02131,0.01105,0.04252,0.01035,1.53759,1.17736,3.10981,0.15585,0.79167,0.78235,71.6369,18.61905,1.21726,0.35417,0.03302,0.03508,0.44737,2.47665,2.99805
"22","2015_Q3",66.65953125,"Down",2.5537e+10,-2.4084e+10,1.453e+09,-8.74e+08,-8.15e+08,-5.9e+07,5.79e+08,-3.5e+07,-3.6e+07,1e+06,5.44e+08,-9.3e+07,4.51e+08,-1.62e+08,2.89e+08,2.89e+08,2.89e+08,2.89e+08,2.881e+09,2.881e+09,5.653e+09,5.653e+09,9.408e+09,1.213e+09,1.213e+09,1.9155e+10,1.415e+09,6.678e+09,5.876e+09,8.02e+08,8.093e+09,2.7248e+10,1.576e+10,1.3602e+10,2.158e+09,2.7e+08,1.603e+10,3.706e+09,1.412e+09,5.118e+09,2.1148e+10,2.973e+09,-1.97e+09,5.1e+09,-3e+06,6.1e+09,6.1e+09,2.7248e+10,2.89e+08,1.12e+08,8.4e+07,2.8e+07,5.6e+07,4.68e+08,0,-1.336e+09,1.595e+09,2.09e+08,9.53e+08,5999999.99999999,-4.7e+07,-4.7e+07,3.2e+07,3.2e+07,-2.5e+07,-18999999.9999999,-1.14e+08,-9.6e+07,-3.8e+07,-1.22e+09,-3.16e+08,-3.26e+08,4e+06,-5.22e+08,4.12e+08,4.12e+08,4.12e+08,6.91e+08,3.976e+09,1.327e+09,0.0569,0.02267,0.01132,0.04738,0.01061,4.5917,1.19495,3.46689,0.14592,0.87311,0.86527,77.15106,18.429,4.00906,0.34441,0.03508,0.11551,0.39446,1.58466,1.89119
"23","2015_Q4",68.07859375,"Up",2.5376e+10,-2.3916e+10,1.46e+09,-8.81e+08,-8.03e+08,-7.8e+07,5.79e+08,-3.3e+07,-3.5e+07,2e+06,5.46e+08,1.2e+07,5.58e+08,-1.93e+08,3.65e+08,3.65e+08,3.65e+08,3.65e+08,3.183e+09,3.183e+09,6.095e+09,6.095e+09,9.163e+09,1.19e+09,1.19e+09,1.9631e+10,1.407e+09,6.85e+09,6.033e+09,8.17e+08,8.257e+09,2.7888e+10,1.6112e+10,1.3851e+10,2.261e+09,2.83e+08,1.6395e+10,3.72e+09,1.404e+09,5.124e+09,2.1519e+10,2.992e+09,-1.923e+09,5.353e+09,-5.3e+07,6.369e+09,6.369e+09,2.7888e+10,3.65e+08,1.16e+08,4.2e+07,2.7e+07,1.5e+07,1.35e+08,-4.27e+08,2.87e+08,2.19e+08,5.6e+07,6.58e+08,-5.6e+07,-5.6e+07,-5.6e+07,3e+07,3e+07,-2.33e+08,-2.86e+08,-1.13e+08,8e+06,-1e+06,-1e+06,2.4e+07,0,1.1e+07,-7e+07,3.02e+08,3.02e+08,3.02e+08,6.95e+08,4.003e+09,9.67e+08,0.05753,0.02282,0.01438,0.05731,0.01309,2.64932,1.19738,3.37871,0.14354,1.10606,1.09281,76.89697,19.3,2.9303,0.34242,0.04059,0.08212,0.30959,1.17986,1.41623
"24","2016_Q1",65.4632786885246,"Down",2.7548e+10,-2.609e+10,1.458e+09,-9.38e+08,-8.47e+08,-9.1e+07,5.2e+08,-3.5e+07,-3.6e+07,1e+06,4.85e+08,3.8e+07,5.23e+08,-2.31e+08,2.92e+08,2.95e+08,2.95e+08,2.95e+08,4.616e+09,4.616e+09,6.523e+09,6.523e+09,9.211e+09,1.402e+09,1.402e+09,2.1752e+10,1.506e+09,6.884e+09,6.018e+09,8.66e+08,8.39e+09,3.0142e+10,1.6962e+10,1.4368e+10,2.594e+09,2.81e+08,1.7243e+10,5.211e+09,1.432e+09,6.643e+09,2.3886e+10,3.003e+09,-2.245e+09,5.521e+09,-2.3e+07,6.256e+09,6.256e+09,3.0142e+10,2.92e+08,1.15e+08,2.67e+08,3e+07,1.8e+07,1.94e+08,-1.52e+08,7.1e+07,2.91e+08,-1.6e+07,8.68e+08,-1.61e+08,-1.61e+08,-1.61e+08,9e+07,9e+07,-1.84e+08,-4.63e+08,-1.14e+08,1.487e+09,1.49e+09,1.19209289550781e-07,-3.37e+08,-3.5e+08,-8e+06,1.028e+09,1.433e+09,1.433e+09,1.433e+09,6.35e+08,5.492e+09,8.99e+08,0.05293,0.01888,0.01071,0.04715,0.00979,3.04746,1.2615,3.81809,0.1822,0.89124,0.88855,83.22659,18.9003,2.71601,0.34441,0.03103,0.06821,0.38644,1.37953,1.68462
"25","2016_Q2",64.4934375,"Down",2.8055e+10,-2.6476e+10,1.579e+09,-9.47e+08,-8.42e+08,-1.05e+08,6.32e+08,-5.2e+07,-4.4e+07,-8e+06,5.8e+08,-1.2e+07,5.68e+08,-1.84e+08,3.84e+08,3.84e+08,3.85e+08,3.85e+08,2.974e+09,2.974e+09,6.996e+09,6.996e+09,9.758e+09,1.49e+09,1.49e+09,2.1218e+10,1.546e+09,8.458e+09,7.564e+09,8.94e+08,1.0004e+10,3.1222e+10,1.7463e+10,1.4868e+10,2.595e+09,3.19e+08,1.7782e+10,5.231e+09,1.563e+09,6.794e+09,2.4576e+10,2.957e+09,-2.158e+09,5.774e+09,-6.8e+07,6.505e+09,6.646e+09,3.1222e+10,3.84e+08,1.37e+08,4.6e+07,3e+07,1.6e+07,-6.19e+08,-3.48e+08,-4.95e+08,4.25e+08,-2.01e+08,-5.2e+07,-8.3e+07,-8.3e+07,-8.3e+07,3e+07,3e+07,-1.399e+09,-1.478e+09,-1.31e+08,3.2e+07,-4e+06,-4e+06,-2.1e+07,-213684633.535474,8e+06,-1.12e+08,-1.642e+09,-1.642e+09,-1.642e+09,7.69e+08,5.55e+09,2.51e+08,0.05628,0.02253,0.01372,0.05793,0.01233,0.65195,1.19323,3.69786,0.17776,1.17378,1.16314,85.53354,19.83232,0.76524,0.39939,0.0375,0.01824,0.34026,3.3498,4.07595
"26","2016_Q3",65.7559375,"Up",3.1444e+10,-2.9835e+10,1.609e+09,-1.036e+09,-9.22e+08,-1.14e+08,5.73e+08,-4.4e+07,-4.6e+07,2e+06,5.29e+08,-1e+07,5.19e+08,-1.93e+08,3.26e+08,3.26e+08,3.26e+08,3.26e+08,2.324e+09,2.324e+09,6.98e+09,6.98e+09,1.1007e+10,1.518e+09,1.518e+09,2.1829e+10,1.651e+09,1.0027e+10,9.113e+09,9.14e+08,1.1678e+10,3.3507e+10,1.8525e+10,1.6919e+10,1.606e+09,3.54e+08,1.8879e+10,5.171e+09,2.609e+09,7.78e+09,2.6659e+10,2.973e+09,-2.137e+09,5.972e+09,-9.7e+07,6.711e+09,6.848e+09,3.3507e+10,3.26e+08,1.69e+08,47999999.9999999,2.6e+07,2.2e+07,9.2e+08,-44999999.9999999,-1.07e+09,2.006e+09,2.9e+07,1.463e+09,-9.2e+07,-9.2e+07,-9.2e+07,4.6e+07,4.6e+07,-1.885e+09,-1.993e+09,-1.28e+08,3e+06,0,-7.45058059692383e-09,1.4e+07,0,1e+06,-1.1e+08,-6.4e+08,-6.4e+08,-6.5e+08,7.42e+08,5.525e+09,1.763e+09,0.05117,0.01822,0.01037,0.04761,0.00973,5.40798,1.15626,3.89296,0.16489,0.99088,0.98193,95.57447,20.39818,5.35866,0.38906,0.0303,0.11767,0.39264,4.31402,5.58639
"27","2016_Q4",59.1692063492063,"Down",3.0663e+10,-2.8974e+10,1.689e+09,-1.022e+09,-9.14e+08,-1.08e+08,6.67e+08,-4.3e+07,-4.4e+07,1e+06,6.24e+08,-1.1e+07,6.13e+08,-2.27e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,2.598e+09,2.598e+09,7.292e+09,7.292e+09,1.091e+10,1.491e+09,1.491e+09,2.2291e+10,1.683e+09,1.0081e+10,9.15e+09,9.31e+08,1.1764e+10,3.4055e+10,1.9034e+10,1.734e+10,1.694e+09,3.51e+08,1.9385e+10,5.195e+09,2.628e+09,7.823e+09,2.7208e+10,2.995e+09,-2.429e+09,6.231e+09,-8.4e+07,6.713e+09,6.847e+09,3.4055e+10,3.86e+08,1.59e+08,4e+07,2.6e+07,1.4e+07,3.34e+08,-3.28e+08,1.08e+08,4.08e+08,1.46e+08,9.19e+08,-1.09e+08,-1.09e+08,-1.09e+08,6e+07,6e+07,-9.9e+07,-2.1e+08,-1.27e+08,-6e+06,-1e+06,-1e+06,-2.96e+08,-3e+08,-9e+06,-4.38e+08,2.71e+08,2.71e+08,2.74e+08,8.26e+08,5.546e+09,1.278e+09,0.05508,0.02175,0.01259,0.05638,0.01133,3.31088,1.14991,3.97371,0.16285,1.17683,1.16616,93.48476,20.46646,3.89634,0.3872,0.03415,0.08508,0.32902,3.56901,4.41979
"28","2017_Q1",64.8179032258064,"Up",3.1384e+10,-2.9718e+10,1.666e+09,-1.102e+09,-9.7e+08,-1.32e+08,5.64e+08,-4.4e+07,-4.4e+07,0,5.2e+08,5.6e+07,5.76e+08,-2.41e+08,3.35e+08,3.35e+08,3.3e+08,3.3e+08,2.356e+09,2.356e+09,7.405e+09,7.405e+09,1.0615e+10,1.58e+09,1.58e+09,2.1956e+10,1.796e+09,1.037e+10,9.426e+09,9.44e+08,1.2166e+10,3.4122e+10,1.9114e+10,1.7306e+10,1.808e+09,5.87e+08,1.9701e+10,4.952e+09,2.781e+09,7.733e+09,2.7434e+10,3.01e+09,-2.759e+09,6.419e+09,-1.16e+08,6.554e+09,6.688e+09,3.4122e+10,3.35e+08,1.76e+08,1.42e+08,2.9e+07,2.6e+07,-1.2e+07,-1.45e+08,2.78e+08,-23999999.9999998,-1.21e+08,6.41e+08,-1.68e+08,-1.81e+08,-1.81e+08,5e+07,5e+07,-2.31e+08,-3.99e+08,-1.26e+08,-9000000.00000001,-1e+06,-1e+06,-3.42e+08,-3.51e+08,-2e+06,-4.79e+08,-2.37e+08,-2.37e+08,-2.42e+08,7.4e+08,5.539e+09,8.01e+08,0.05308,0.01797,0.01051,0.04934,0.00967,2.42727,1.11446,4.10197,0.16233,1.02167,1.01227,97.16409,20.29102,2.47988,0.39009,0.03038,0.05337,0.38182,4.30135,5.64362
