"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q4",13.19625,"Up",3656000,2923000,3213000,-290000,733000,101000,301000,331000,-90000,3566000,-2799000,-83000,-2716000,767000,767000,767000,-139000,628000,628000,628000,628000,7530000,15036000,108560000,210237000,-2377000,212614000,5738000,2306000,349407000,299274000,227260000,72014000,12483000,8456000,320213000,5354000,-1650000,23986000,1504000,29194000,29194000,349407000,1040000,-89000,7071000,-6028000,954000,-249000,-2221000,7033000,4613000,6607000,6607000,6607000,12483000,0.20979,0.17177,0.02151,0.0018,10.96845,0.03573,0.30399,0.30399,1.7697,14.13146,0.12053,0.00251,0.3965,6.45763
"12","2014_Q1",15.077868852459,"Up",3588000,2982000,3251000,-269000,606000,33000,349000,224000,-166000,3422000,-2707000,-69000,-2638000,715000,715000,836000,-157000,679000,679000,679000,679000,6922000,6609000,107204000,214544000,-2496000,217040000,5708000,2502000,343489000,294107000,222959000,71148000,12490000,8749000,315346000,5393000,-1650000,24416000,-16000,28143000,28143000,343489000,2156000,-105000,-1220000,-3003000,-4328000,-249000,-16000,-5167000,-5393000,-7565000,-7565000,-7565000,12490000,0.19928,0.18924,0.02413,0.00198,11.20513,0.03636,0.32828,0.32828,1.7347,13.60638,0.12038,0.0027,0.36672,7.78741
"13","2014_Q2",15.2560317460317,"Up",3728000,3033000,3288000,-255000,695000,0,363000,332000,-133000,3595000,-2849000,-111000,-2738000,746000,746000,746000,-125000,621000,621000,621000,621000,8932000,6168000,123029000,213919000,-2486000,216405000,6055000,3125000,361228000,298714000,228353000,70361000,16041000,8601000,323356000,14630000,-1650000,24709000,183000,37872000,37872000,361228000,1023000,-483000,-15803000,763000,-15523000,-328000,12770000,4607000,17049000,2549000,2549000,2549000,16041000,0.20011,0.16658,0.0164,0.00172,8.53813,0.04441,0.23759,0.23759,1.42633,14.48981,0.12549,0.00263,0.52818,9.52949
"14","2014_Q3",15.02921875,"Down",3902000,3165000,3411000,-246000,737000,32000,336000,369000,-35000,3867000,-2924000,-130000,-2794000,943000,943000,943000,-188000,755000,755000,755000,755000,6855000,3980000,126600000,217327000,-2487000,219814000,6304000,3113000,364179000,299592000,226667000,72925000,15457000,11244000,326293000,14630000,-1650000,25136000,-230000,37886000,37886000,364179000,1472000,-386000,-4356000,-1976000,-6718000,-328000,1898000,878000.000000001,2448000,-2798000,-2798000,-2798000,15457000,0.24167,0.19349,0.01993,0.00207,8.6125,0.04244,0.27596,0.27596,1.4262,13.84756,0.11989,0.00297,0.43444,9.12195
"15","2014_Q4",14.27421875,"Down",3827000,3178000,3422000,-244000,649000,4000,302000,343000,0,3827000,-2994000,-92000,-2902000,833000,833000,823000,-145000,678000,678000,678000,678000,9926000,6010000,134586000,215596000,-2337000,217933000,6668000,2967000,375753000,309656000,239095000,70561000,18441000,8763000,336860000,14630000,-1650000,25486000,427000,38893000,38893000,375753000,83000,-501000,-6413000,511000,-6403000,-328000,465000,10064000,10201000,3881000,3881000,3881000,18441000,0.21766,0.17716,0.01743,0.0018,8.6612,0.04908,0.24881,0.24881,1.40444,14.27303,0.12037,0.00268,0.48378,10.22209
"16","2015_Q1",14.4681967213115,"Up",3850000,3285000,3535000,-250000,565000,13000,320000,232000,-81000,3769000,-2915000,-133000,-2782000,854000,854000,979000,-196000,783000,783000,783000,783000,9049000,4779000,136756000,222561000,-2405000,224966000,6713000,2619000,382477000,313897000,238544000,75353000,19489000,8888000,342274000,14630000,-1650000,25940000,1283000,40203000,40203000,382477000,1411000,-186000,-1028000,-7005000,-8219000,-329000,1033000,4241000,4945000,-1863000,-1863000,-1863000,19489000,0.22182,0.20338,0.01948,0.00205,8.51364,0.05095,0.28661,0.28661,1.40928,14.71616,0.12043,0.00291,0.42018,12.22482
"17","2015_Q2",14.6296825396825,"Up",4057000,3288000,3533000,-245000,769000,37000,320000,412000,-67000,3990000,-3072000,-97000,-2975000,918000,918000,940000,-184000,756000,756000,756000,756000,7537000,7381000,143732000,220764000,-2419000,223183000,7895000,2524000,389833000,316201000,239389000,76812000,21564000,11522000,349287000,14630000,-1652000,26370000,1198000,40546000,40546000,389833000,1766000,-1328000,-7115000,227000,-8216000,-328000,4061000,2304000,6037000,-413000,-413000,-413000,21564000,0.22628,0.18634,0.01865,0.00194,8.61459,0.05532,0.27777,0.27777,1.49062,14.89733,0.12051,0.00278,0.43386,15.27996
"18","2015_Q3",14.6153125,"Down",4141000,3348000,3585000,-237000,793000,85000,320000,388000,-57000,4084000,-3061000,-121000,-2940000,1023000,1023000,1023000,-215000,808000,808000,808000,808000,8487000,8999000,143959000,225622000,-2452000,228074000,9112000,2168000,398347000,324638000,241003000,83635000,16435000,15953000,357026000,14630000,-1652000,26850000,1493000,41321000,41321000,398347000,1268000,-1364000,113000,-6165000,-7416000,-328000,-643000,8437000,7466000,1318000,1318000,1318000,16435000,0.24704,0.19512,0.01955,0.00203,8.6403,0.04126,0.29611,0.29611,1.51758,15.14319,0.1202,0.00285,0.40594,7.76931
"19","2015_Q4",14.76234375,"Up",3949000,3301000,3534000,-233000,648000,-4000,286000,366000,-90000,3859000,-3100000,-91000,-3009000,759000,759000,759000,-127000,632000,632000,632000,632000,6909000,13219000,139884000,228782000,-2425000,231207000,10473000,2374000,401641000,330819000,247426000,83393000,19189000,9659000,359667000,14630000,-1652000,27154000,1842000,41974000,41974000,401641000,928000,-1509000,4380000,-2011000,860000,-328000,-3760000,6181000,2093000,3881000,3881000,3881000,19189000,0.1922,0.16004,0.01506,0.00157,8.5688,0.04778,0.23166,0.23166,1.44754,15.3859,0.12023,0.00239,0.51899,16.17918
"20","2016_Q1",14.1870491803279,"Down",3974000,3471000,3705000,-234000,503000,42000,303000,158000,-216000,3758000,-3043000,-129000,-2914000,715000,715000,954000,-192000,762000,762000,762000,762000,8028000,6986000,148821000,226087000,-2432000,228519000,11605000,2440000,403967000,332996000,246345000,86651000,19838000,9667000,362501000,14630000,-1652000,27589000,899000,41466000,41466000,403967000,1644000,-1266000,-10456000,2226000,-9496000,-327000,635000,2177000,2485000,-5367000,-5367000,-5367000,19838000,0.17992,0.19175,0.01838,0.00189,8.74213,0.04911,0.27945,0.27945,1.45741,15.2071,0.11992,0.0027,0.42913,16.51748
"21","2016_Q2",13.44828125,"Down",4128000,3393000,3620000,-227000,735000,35000,314000,386000,-92000,4036000,-3137000,-97000,-3040000,899000,899000,899000,-172000,727000,727000,727000,727000,7543000,12018000,149396000,231400000,-2514000,233914000,12435000,2263000,415055000,340891000,247460000,93431000,22229000,9556000,372676000,14630000,-1656000,27992000,1413000,42379000,42379000,415055000,1021000,-962000,-12000,-6886000,-7860000,-328000,2376000,7895000,9943000,3104000,3104000,3104000,22229000,0.21778,0.17611,0.01715,0.00175,8.79388,0.05356,0.26685,0.26685,1.51521,15.55551,0.12039,0.00254,0.45117,16.33593
"22","2016_Q3",13.26765625,"Down",4159000,3437000,3658000,-221000,722000,0,320000,402000,-192000,3967000,-3206000,-177000,-3029000,761000,761000,761000,-122000,639000,639000,639000,639000,7143000,8160000,148914000,238414000,-2555000,240969000,13317000,2275000,418223000,342667000,246583000,96084000,19654000,13482000,375803000,14630000,-1657000,28305000,1142000,42420000,42420000,418223000,1047000,-1005000,-154000,-6708000,-7867000,-327000,1611000,1776000,3060000,-3760000,-3760000,-3760000,19654000,0.18298,0.15364,0.01506,0.00153,8.8591,0.04699,0.23451,0.23451,1.52637,15.56826,0.12001,0.00231,0.51174,16.44021
"23","2016_Q4",13.7349206349206,"Up",4185000,3449000,3672000,-223000,736000,87000,298000,351000,-130000,4055000,-3191000,-87000,-3104000,864000,864000,864000,-156000,708000,708000,708000,708000,7761000,11547000,146823000,243531000,-2663000,246194000,13504000,2707000,425873000,346309000,251270000,95039000,24573000,11398000,382280000,14630000,-1658000,28686000,1935000,43593000,43593000,425873000,1194000,-386000,3183000,-5259000,-2462000,-328000,2204000,3642000,5518000,4250000,4250000,4250000,24573000,0.20645,0.16918,0.01624,0.00166,8.7693,0.0577,0.25976,0.25976,1.53547,15.99424,0.12034,0.00243,0.46328,19.45833
"24","2017_Q1",14.6440322580645,"Up",4033000,3426000,3657000,-231000,607000,80000,337000,190000,-1084000,2949000,-3235000,-86000,-3149000,-286000,-286000,-98000,171000,73000,73000,73000,73000,8164000,7923000,145078000,252712000,-3566000,256278000,13585000,2928000,430390000,346648000,248424000,98224000,19129000,20820000,386597000,14630000,-1658000,28432000,2389000,43793000,43793000,430390000,589000,-281000,2326000,-10744000,-8699000,-327000,4141000,339000,4153000,-3957000,-3957000,-3957000,19129000,-0.07091,0.0181,0.00167,0.00017,8.82783,0.04445,0.0267800000000001,0.02678,1.47923,16.06248,0.11994,0.00093,4.47945,-38.33916
"25","2017_Q2",15.7065079365079,"Up",4575000,3727000,3967000,-240000,848000,103000,330000,415000,-136000,4439000,-3286000,-132000,-3154000,1153000,1153000,1153000,-252000,901000,901000,901000,901000,8526000,9663000,140972000,256803000,-3684000,260487000,13588000,3872000,433424000,352971000,248942000,104029000,20546000,15887000,389404000,14630000,-1658000,29006000,2042000,44020000,44020000,433424000,581000,-191000,3451000,-3987000,-727000,-327000,-3498000,6323000,2498000,2352000,2352000,2352000,20546000,0.25202,0.19694,0.02047,0.00208,8.84607,0.0474,0.33077,0.33077,1.67957,16.16056,0.12005,0.00283,0.36293,10.42498
"26","2017_Q3",16.6103174603175,"Up",4336000,3536000,3786000,-250000,8e+05,22000,314000,464000,-140000,4196000,-3326000,-146000,-3180000,870000,870000,867000,-145000,722000,722000,722000,722000,8139000,7627000,145907000,261681000,-3123000,264804000,13451000,4630000,441435000,355445000,255284000,100161000,19352000,24428000,399225000,14630000,-1662000,29405000,-163000,42210000,42210000,441435000,1571000,-61000,-8478000,-4278000,-12817000,-327000,7416000,2474000,9563000,-1683000,-1683000,-1683000,19352000,0.20065,0.16651,0.0171,0.00164,9.45807,0.04384,0.26505,0.26505,1.59174,15.49525,0.12004,0.00238,0.452910000000001,12.88851
"27","2017_Q4",17.91,"Up",4298000,3530000,3812000,-282000,768000,17000,296000,455000,-255000,4043000,-3415000,-156000,-3259000,628000,628000,628000,-62000,566000,566000,566000,566000,10068000,6328000,145560000,268954000,-3371000,272325000,13279000,3988000,448177000,366849000,263674000,103175000,21901000,16768000,405518000,14630000,-1662000,29644000,47000,42659000,42659000,448177000,1943000,-26000,492000,-7014000,-6548000,-327000,-5092000,11404000,5985000,1380000,1380000,1380000,21901000,0.14611,0.13169,0.01327,0.00126,9.50604,0.04887,0.20775,0.20775,1.57758,15.65802,0.12003,0.00199,0.57774,18.84236
"28","2018_Q1",17.9798360655738,"Up",4277000,3666000,4002000,-336000,611000,67000,305000,239000,-65000,4212000,-3451000,-174000,-3277000,761000,761000,987000,-182000,805000,805000,805000,805000,9439000,4394000,156835000,269781000,-3086000,272867000,13398000,4036000,457883000,374471000,271788000,102683000,23986000,15891000,414348000,14630000,-1662000,30122000,445000,43535000,43535000,457883000,1284000,-318000,-10793000,-856000,-11967000,-327000,1070000,7622000,8365000,-2318000,-2318000,-2318000,23986000,0.17793,0.18822,0.01849,0.00176,9.51758,0.05238,0.29544,0.29544,1.56967,15.97745,0.12001,0.00247,0.40621,19.11564
"29","2018_Q2",19.5315625,"Up",4658000,3786000,4143000,-357000,872000,38000,535644.451453737,834000,-90000,4568000,-3393000,-117000,-3276000,1175000,1175000,1175000,-246000,929000,929000,929000,929000,9896000,8204000,151104000,284524000,-3194000,287718000,13287000,4632000,471647000,383840000,273433000,110407000,27905000,15631000,427376000,14630000,-1576000,30728000,489000,44271000,44271000,471647000,503000,-86000,5738000,-14833000,-9181000,-327000,3903000,9369000,12945000,4267000,4267000,4267000,27905000,0.25225,0.19944,0.02098,0.00197,9.65363,0.05917,0.34092,0.34092,1.70936,16.24626,0.12,0.00266,0.35199,15.32681
"30","2018_Q3",20.7247619047619,"Up",4766000,3927000,4291000,-364000,839000,0,609000,230000,-60000,4706000,-3560000,-122000,-3438000,1146000,1146000,1146000,-489000,657000,657000,657000,657000,8910000,4152000,150425000,290369000,-3225000,293594000,13137000,3289000,470282000,382989000,274486000,108503000,22507000,20615000,426111000,14630000,-1576000,31044000,73000,44171000,44171000,470282000,2981000,-43000,-135999.999999996,-6134000,-6313000,-341000,-514000,-850999.999999998,-1706000,-5038000,-5038000,-5038000,22507000,0.24045,0.13785,0.01487,0.0014,9.64685,0.04786,0.24087,0.24087,1.74728,16.1937,0.12502,0.00212,0.51903,11.86475
"31","2018_Q4",19.6239682539683,"Down",4771000,3967000,4394000,-427000,804000,-5000,286000,523000,-1e+05,4671000,-3581000,-131000,-3450000,1090000,1090000,1088000,-175000,913000,913000,913000,913000,8727000,12079000,150920000,300118000,-3323000,303441000,13039000,3627000,488510000,404056000,296521000,107535000,25829000,15318000,445203000,14630000,-1576000,31601000,-1348000,43307000,43307000,488510000,1486000,-88000,-2493000,-8844000,-11425000,-342000,-2094000,21067000,18631000,8692000,8692000,8692000,25829000,0.22846,0.19136,0.02108,0.00187,10.28016,0.05287,0.3347,0.3347,1.749,15.87595,0.12537,0.00257,0.37459,15.68991
"32","2019_Q1",16.2603333333333,"Down",4717000,4206000,4729000,-523000,511000,2.91038304567337e-11,305000,206000,-60000,4657000,-3703000,-153000,-3550000,954000,954000,1321000,-239000,1082000,1082000,1082000,1082000,7615000,3130000,158846000,315087000,-3422000,318509000,13315000,4626000,502619000,429963000,322044000,107919000,13367000,15528000,458858000,14630000,-1576000,32342000,-1635000,43761000,43761000,502619000,881000,-465000,-8455000,-15110000,-24030000,-341000,-12478000,25907000,13088000,-10061000,-10061000,-10061000,13367000,0.20225,0.22938,0.02473,0.00215,10.48555,0.02659,0.39674,0.39674,1.72961,16.0461,0.12504,0.00283,0.31516,6.02935
"33","2019_Q2",16.7939344262295,"Up",5794000,4299000,4895000,-596000,1495000,587000,696803.322756714,908000,-115000,5679000,-3684000,-170000,-3514000,1995000,1995000,1995000,-322000,1673000,1673000,1673000,1673000,8579000,5179000,152460000,325144000,-3538000,328682000,13474000,5953000,510789000,440539000,327416000,113123000,2902000,23378000,466819000,14628000,-1515000,33660000,-2803000,43970000,43970000,510789000,533000,-350000,5338000,-10247000,-5259000,-355000,-2482000,10576000,7739000,3013000,3013000,3013000,2902000,0.34432,0.28875,0.03805,0.00328,10.61676,0.00568,0.61302,0.61301,2.12304,16.11152,0.13008,0.00397,0.21219,-2.84561
"34","2019_Q3",16.21484375,"Down",5318000,4374000,5063000,-689000,944000,-27000,1057562.69754944,971000,775000,6093000,-3880000,-171000,-3709000,2213000,2213000,2213000,-364000,1849000,1849000,1849000,1849000,9579000,2643000,158588000,329993000,-3569000,333562000,13473000,3679000,517955000,442530000,330642000,111888000,3777000,24752000,471059000,14628000,-1515000,35154000,-1371000,46896000,46896000,517955000,3510000,-193000,-4473000,-3574000,-8240000,-355000,2058000,1991000,3694000,-1036000,-1036000,-1036000,3777000,0.41613,0.34769,0.03943,0.00357,10.04476,0.00729,0.67689,0.6769,1.94684,17.16792,0.12996,0.00426,0.192,-2.62178
"35","2019_Q4",16.9515625,"Up",5102000,4242000,5119000,-877000,860000,1000,935000,-76000,-105000,4997000,-3812000,-140000,-3672000,1185000,1185000,1185000,-150000,1035000,1035000,1035000,1035000,8147000,2188000,156473000,343806000,-3656000,347462000,14260000,3559000,528433000,459289000,342616000,116673000,4025000,16008000,479322000,14628000,-1515000,35834000,164000,49111000,49111000,528433000,1232000,-985000,3948000,-13428000,-10465000,-355000,-8568000,16759000,7836000,-1397000,-1397000,-1397000,4025000,0.23226,0.20286,0.02107,0.00196,9.75997,0.00762,0.37885,0.37887,1.86753,17.97653,0.12994,0.00263,0.343,-3.47848
"36","2020_Q1",16.9325806451613,"Down",4985000,4474000,5468000,-994000,511000,0,329000,182000,-115000,4870000,-4142000,-318000,-3824000,728000,728000,1186000,-177000,1009000,1009000,1009000,1009000,9322000,2122000,159125000,365387000,-3788000,369175000,14155000,3825000,553936000,472174000,355935000,116239000,3686000,26910000,502770000,14656000,-1543000,36487000,1566000,51166000,51166000,553936000,1111000,-97999.9999999999,-992000,-21696000,-22786000,-356000,10255000,12885000,22784000,1109000,1109000,1109000,3686000,0.14604,0.20241,0.01972,0.00182,9.82625,0.00665,0.36928,0.36927,1.82445,18.72616,0.13029,0.00246,0.35282,-7.74176
"37","2020_Q2",13.3768253968254,"Down",6015000,4681000,5716000,-1035000,1334000,106000,373000,855000,-130000,5885000,-4305000,-257000,-4048000,1580000,1580000,1715000,-212000,1503000,1503000,1503000,1503000,11642000,2353000,152257000,379911000,-3909000,383820000,14539000,4485000,565187000,487434000,365238000,122196000,3754000,21006000,512194000,14697000,-1454000,37621000,2129000,52993000,52993000,565187000,806000,-48000,7135000,-14164000,-6324000,-369000,-6332000,15260000,8559000,3041000,3041000,3041000,3754000,0.26268,0.24988,0.02836,0.00266,9.66531,0.00664,0.54963,0.54963,2.19961,19.37886,0.13494,0.00331,0.24551,-4.99241
"38","2020_Q3",13.88171875,"Up",5680000,4796000,5778000,-982000,884000,4000,360000,520000,-185000,5495000,-3935000,-133000,-3802000,1560000,1560000,1701000,-261000,1440000,1440000,1440000,1440000,12586000,2436000,147696000,392298000,-4095000,396393000,14422000,5134000,574572000,487645000,366584000,121061000,3870000,29021000,520536000,14697000,-1454000,38691000,2102000,54036000,54036000,574572000,1408000,-171000,4405000,-12073000,-7839000,-370000,8116000,211000,7957000,1526000,1526000,1526000,3870000,0.27465,0.25352,0.02665,0.00251,9.63313,0.00674,0.52537,0.52537,2.07229,19.71446,0.13499,0.00315,0.25694,-5.58718
"39","2020_Q4",16.1559375,"Up",6977000,5594000,6606000,-1012000,1383000,121000,355000,510000,-445000,6532000,-5074000,-414000,-4660000,1458000,1458000,1182000,-164000,1018000,1018000,1018000,1018000,12452000,1.2e+07,154811000,463336000,-4468000,467804000,15154000,4425000,663277000,563022000,425468000,137554000,6386000,32541000,601949000,19974000,-1454000,39300000,3508000,61328000,61328000,663277000,2810000,-234000,-1123000,-15254000,-20867000,-409000,2456000,14526000,16573000,-1484000,-1484000,-1484000,6386000,0.20897,0.14591,0.0166,0.00153,9.81524,0.00963,0.33823,0.33823,2.31812,20.3763,0.13589,0.00215,0.40177,-4.16049
