"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q1",30.7073770491803,"Down",1472000,-50102000,-14444000,-35658000,-48630000,1684000,-46946000,-47275000,-47275000,-47275000,-47275000,-47275000,517949000,164269000,6016000,6016000,523965000,82614000,47944000,10360000,478372000,1002337000,6334000,6334000,34034000,34034000,40368000,49572000,49572000,111473000,151841000,1166954000,-314167000,850496000,850496000,1002337000,-47275000,2038000,11423000,729000,-33085000,-3437000,-221173000,1200000,1200000,1017000,-253241000,-253241000,-253241000,-46592000,61901000,-33.03668,-32.11617,-0.05559,-0.04716,12.97971,0.17853,0.06176,-0.8325,-0.8325,0.02592,14.97701,-0.04914,9.78812,9.37791
"12","2016_Q2",28.31734375,"Down",1499000,-57866000,-15955000,-41911000,-56367000,961000,-55406000,-56419000,-56274000,-56274000,-56274000,-56274000,553103000,192588000,7871000,7871000,560974000,96638000,47330000,10686000,417730000,978704000,3136000,3136000,35832000,35832000,38968000,58815000,58815000,133229000,172197000,1177920000,-370441000,806507000,806507000,978704000,-56274000,2283000,12024000,5201000,-36766000,-3894000,64446000,639000,639000,639000,28319000,28319000,28319000,-54084000,74414000,-37.60307,-37.54103,-0.06977,-0.0575,14.39576,0.21351,0.07603,-0.98719,-0.98719,0.0263,14.14813,-0.05988,8.85084,8.49236
"13","2016_Q3",36.21734375,"Up",1552000,-60123000,-18363000,-41760000,-58571000,905000,-57666000,-59070000,-58844000,-58844000,-58844000,-58844000,575799000,222629000,7087000,7087000,582886000,109299000,46279000,10576000,358781000,941667000,2363000,2363000,38019000,38019000,40382000,55369000,55369000,141995000,182377000,1189217000,-429285000,759290000,759290000,941667000,-58844000,2464000,11466000,580000,-44334000,-2163000,75686000,714000,714000,-1311000,30041000,30041000,30041000,-56107000,86626000,-37.73905,-37.91495,-0.0775,-0.06249,14.4343,0.24019,0.09199,-1.03132,-1.03132,0.0272,13.30758,-0.06529,8.71857,8.3518
"14","2016_Q4",39.6162903225806,"Up",1552000,-78594000,-14623000,-63971000,-77042000,937000,-76105000,-77203000,-77025000,-77025000,-77025000,-77025000,600960000,245154000,7875000,7875000,608835000,131737000,51009000,16247000,309427000,918262000,6710000,6710000,60881000,60881000,67591000,56167000,56167000,156158000,223749000,1201659000,-506310000,694513000,694513000,918262000,-77025000,2385000,11606000,23593000,-39441000,-8948000,59533000,2433000,2433000,2433000,22525000,22525000,22525000,-74657000,99991000,-49.64046,-49.62951,-0.11091,-0.08388,9.00763,0.32217,0.10889,-1.341,-1.341,0.02702,12.09145,-0.09055,6.71027,6.50254
"15","2017_Q1",50.9998387096774,"Up",1552000,-73311000,-16178000,-57133000,-71759000,908000,-70851000,-71427000,-71364000,-71364000,-71364000,-71364000,704378000,278887000,19836000,8209000,724214000,156955000,56501000,22679000,393908000,1118122000,13664000,13664000,60869000,60869000,74533000,54009000,54009000,174149000,248682000,1448263000,-577674000,869440000,869440000,1118122000,-71364000,2516000,10160000,-10418000,-69106000,-13024000,-132555000,3148000,3148000,239773000,38112000,38112000,38112000,-69243000,120140000,-46.23647,-45.98196,-0.08208,-0.06382,9.71669,0.28603,0.10745,-1.21437,-1.21437,0.02641,14.7949,-0.06838,8.4375,8.14167
"16","2017_Q2",60.3346031746032,"Up",6832000,-75312000,-20284000,-55028000,-68480000,1201000,-67279000,-68712000,-68712000,-68712000,-68712000,-68712000,634068000,216001000,33243000,8730000,667311000,181720000,57738000,24857000,405259000,1072570000,8769000,8769000,63867000,63867000,72636000,3.7e+07,3.7e+07,184555000,257191000,1463507000,-646876000,815379000,815379000,1072570000,-68712000,2844000,13752000,-23187000,-75303000,-26024000,-4453999.99999997,3040000,3040000,16871000,-62885999.9999999,-62885999.9999999,-62885999.9999999,-65636000,147555000,-10.02342,-10.05738,-0.08427,-0.06406,9.18706,0.31543,0.13757,-1.08979,-1.08979,0.10836,12.9321,-0.06872,7.41229,7.10445
"17","2017_Q3",69.8552380952381,"Up",16716000,-85088000,-21197000,-63891000,-68792000,-3077000,-71869000,-70899000,-70899000,-70899000,-70899000,-70899000,1095434000,686334000,23184000,15036000,1118618000,180419000,56468000,24528000,338512000,1457130000,14424000,14424000,63414000,63414000,77838000,25311000,25311000,179273000,257111000,1919209000,-717775000,1200019000,1200019000,1457130000,-70899000,3437000,14016000,-88000,-53534000,-13485000,59015000,5599000,5599000,464852000,470333000,470333000,470333000,-65355000,153962000,-4.11534,-4.24139,-0.05908,-0.04866,14.3711,0.21426,0.10566,-1.11902,-1.11902,0.26383,18.94028,-0.0514,14.40551,13.68578
"18","2017_Q4",101.507777777778,"Up",7711000,-84527000,-22982000,-61545000,-77916000,-1146000,-79062000,-78804000,-78804000,-78804000,-78804000,-78804000,728774000,237962000,29933000,13893000,758707000,182358000,50835000,19835000,647049000,1405756000,12309000,12309000,64492000,64492000,76801000,33397000,33397000,187637000,264438000,1939995000,-796580000,1141318000,1141318000,1405756000,-78804000,3618000,12270000,6579000,-56337000,-3899000,-398783000,5767000,5767000,6119999.99999994,-4.49e+08,-4.49e+08,-4.49e+08,-74298000,154240000,-10.10453,-10.21969,-0.06905,-0.05606,9.87887,0.2317,0.10972,-1.1181,-1.1181,0.10941,16.19338,-0.0593,7.73283,7.37376
"19","2018_Q1",127.176885245902,"Up",4168000,-121663000,-29087000,-92576000,-117502000,-246000,-117748000,-117018000,-117228000,-117228000,-117228000,-117228000,1290109000,758505000,32660000,21171000,1322769000,199606000,53999000,23940000,577798000,1900567000,12873000,12873000,82739000,82739000,95612000,26774000,26774000,181523000,277135000,2541445000,-913808000,1623432000,1623432000,1900567000,-117228000,3639000,14208000,4002000,-95379000,-18834000,27592000,18825000,18825000,588331000,520544000,520544000,520544000,-113863000,154749000,-28.19146,-28.12572,-0.07221,-0.06168,13.83476,0.17071,0.08142,-1.62856,-1.62856,0.0579,22.55305,-0.06495,9.97128,9.66247
"20","2018_Q2",113.96640625,"Down",15957000,-132035000,-34926000,-97109000,-116095000,1503000,-114592000,-115126000,-115126000,-115126000,-115126000,-115126000,1121576000,456535000,42532000,28267000,1164108000,204230000,53688000,24569000,702700000,1866808000,12028000,12028000,95728000,95728000,107756000,34306000,34306000,188851000,296607000,2633558000,-1058308000,1570201000,1570201000,1866808000,-115126000,4020000,25932000,-23648000,-108822000,-7452000,-264725000,19984000,19984000,71677000,-301870000,-301870000,-301870000,-112075000,154545000,-7.27548999999999,-7.21476,-0.07332,-0.06167,10.80318,0.1889,0.08279,-1.49357,-1.49357,0.20702,20.37076,-0.06545,8.62843,8.32965
"21","2018_Q3",103.293492063492,"Down",7851000,-156182000,-41168000,-115014000,-148350000,2618000,-145732000,-145994000,-145994000,-145994000,-145994000,-145994000,1076959000,333949000,28785000,24053000,1105744000,219226000,56257000,28079000,655767000,1761511000,17936000,17936000,98326000,98326000,116262000,33612000,33612000,187715000,303977000,2667231000,-1204303000,1457534000,1457534000,1761511000,-145994000,4179000,28749000,12666000,-100400000,-13237000,-27487000,5640000,5640000,5301000,-122586000,-122586000,-122586000,-144171000,154103000,-18.89568,-18.59559,-0.10017,-0.08288,9.51079,0.20856,0.08748,-1.88534,-1.88534,0.10139,18.82238,-0.08874,6.40112,6.2208
"22","2018_Q4",76.6947619047619,"Down",11528000,-161271000,-44527000,-116744000,-149774000,4339000,-145435000,-145482000,-145482000,-145482000,-145482000,-145482000,1675278000,952137000,50070000,24133000,1725348000,232863000,69806000,42569000,626441000,2351789000,12891000,12891000,118752000,118752000,131643000,65640000,65640000,219356000,350999000,3356038000,-1349785000,2000790000,2000790000,2351789000,-145482000,4414000,30117000,36478000,-74473000,-22155000,33867999.9999999,58410000,58410000,658793000,618188000,618188000,618188000,-145360000,153716000,-12.99219,-12.61988,-0.07271,-0.06186,13.10626,0.17543,0.06536,-1.76857,-1.76857,0.14014,24.32285,-0.06553,10.46754,10.15905
"23","2019_Q1",88.044262295082,"Up",19243000,-173230000,-53508000,-119722000,-154805000,8125000,-146680000,-148836000,-149023000,-149023000,-149023000,-149023000,1385304000,402579000,33693000,19762000,1418997000,246622000,71102000,44805000,823847000,2242844000,17831000,17831000,128600000,128600000,146431000,58024000,58024000,211343000,357774000,3387505000,-1498808000,1885070000,1885070000,2242844000,-149023000,4545000,21003000,-6256000,-129731000,-12893000,-421091000,2209000,2209000,1921000,-548901000,-548901000,-548901000,-150260000,153319000,-8.04474,-7.74427,-0.07905,-0.06644,9.69055,0.18979,0.06836,-1.76207,-1.76207,0.22753,22.28937,-0.07108,8.19902,7.9583
"24","2019_Q2",86.4996825396825,"Down",12471000,-182919000,-60279000,-122640000,-170878000,6713000,-164165000,-164461000,-164446000,-164446000,-164446000,-164446000,1321817000,221738000,43215000,23766000,1365032000,114030000,250604000,225248000,773583000,2138615000,30241000,30241000,116450000,116450000,146691000,51625000,51625000,219825000,366516000,3430581000,-1656690000,1772099000,1772099000,2138615000,-164446000,3783000,32266000,-25757000,-154154000,-19321000,-36913000.0000001,10223000,10223000,10223000,-180844000,-180844000,-180844000,-167095000,168200000,-13.70203,-13.18627,-0.0928,-0.07689,9.30549,0.20683,0.07865,-1.938,-1.938,0.14697,20.88419,-0.08256,6.90396,6.75111
"25","2019_Q3",76.35546875,"Down",13296000,-215171000,-68631000,-146540000,-202488000,6451000,-196037000,-196251000,-195782000,-195782000,-195782000,-195782000,1253880000,280995000,46900000,25427000,1300780000,129135000,305507000,275899000,722564000,2023344000,29458000,29458000,132651000,132651000,162109000,49511000,49511000,224861000,386970000,3489665000,-1852472000,1636374000,1636374000,2023344000,-195782000,4048000,54816000,-955000,-137873000,-18604000,232426000,4781000,4781000,4781000,99334000,99334000,99334000,-198440000,175350000,-15.22924,-14.72488,-0.11964,-0.09676,8.02411,0.23648,0.08666,-2.29851,-2.29851,0.1561,19.21126,-0.10519,5.43504,5.32639
"26","2019_Q4",54.35171875,"Down",8910000,-217662000,-66250000,-151412000,-209614000,4119000,-205495000,-206297000,-206033000,-206033000,-206033000,-206033000,1179955000,300426000,40077000,26932000,1220032000,144097000,302157000,273632000,672186000,1892218000,41874000,41874000,154157000,154157000,196031000,48451000,48451000,224477000,420508000,3533066000,-2058505000,1471710000,1471710000,1892218000,-206033000,4547000,40644000,47461000,-113381000,-24937000,129041000,4178000,4178000,4178000,19838000,19838000,19838000,-205067000,176026000,-23.5257,-23.12379,-0.14,-0.10888,6.22367,0.28573,0.09303,-2.41334,-2.41334,0.10437,17.23871,-0.12147,4.89561,4.78942
"27","2020_Q1",48.7274193548387,"Down",-34677000,52789000,-40684000,93473000,20017000,-9887000,10130000,11442000,11239000,-223347000,-223347000,-223347000,1106460000,327214000,45714000,32888000,1152174000,151176000,292568000,265114000,575250000,1727424000,184551000,42995000,39029000,39029000,223580000,218851000,218851000,218851000,442431000,3568738000,-2281852000,1284993000,1284993000,1727424000,-223347000,5056000,33947000,25368000,-158976000,-13390000,183253000,2005000,2005000,2005000,26282000,26282000,26282000,25073000,0,-0.57724,6.44078,-0.17381,-0.12929,5.1533,0.34431,0,-2.6136,-2.6136,-0.40579,15.03694,-0.14852,-44.12954,-55.27602
"28","2020_Q2",37.7036507936508,"Down",21863000,-227371000,-73248000,-154123000,-206533000,907999.999999998,-205625000,-202517000,-202611000,-202611000,-202611000,-202611000,910683000,346629000,56784000,40209000,967467000,153920000,300043000,273661000,561637000,1529104000,30527000,30527000,153895000,153895000,184422000,44287000,44287000,224249000,408671000,3607695000,-2484463000,1120433000,1120433000,1529104000,-202611000,4880000,36318000,-44708000,-206121000,-10676000,224578000,963000,963000,963000,19420000,19420000,19420000,-201653000,179962000,-9.44668999999999,-9.2673,-0.18083,-0.1325,5.24594,0.36474,0.11769,-2.36058,-2.36058,0.25472,13.05395,-0.15068,3.62366,3.53804
"29","2020_Q3",38.9946875,"Up",198890000,-224936000,-68628000,-156308000,-27600000,4490000,-23110000,-21455000,-21465000,-21465000,-21465000,-21465000,1549382000,1198768000,64063000,39358000,1613445000,155376000,289558000,264247000,494345000,2107790000,26181000,26181000,1.71e+08,1.71e+08,197181000,228578000,228578000,228578000,425759000,4190359000,-2505928000,1682031000,1682031000,2107790000,-21465000,4550000,45243000,11415000,39743000,-4802000,269276000,543122000,543122000,543122000,852141000,852141000,852141000,-23050000,0,-0.13877,-0.10792,-0.01276,-0.01018,8.18256,0.25312,0,-0.23023,-0.23023,2.13326,18.04118,-0.01123,67.21831,56.13703
"30","2020_Q4",31.688125,"Down",19273000,-208477000,-68046000,-140431000,-190522000,-4722000,-195244000,-194416000,-194745000,-194745000,-194745000,-194745000,1230255000,324164000,62939000,35422000,1293194000,157681000,286994000,262754000,652290000,1945484000,25309000,25309000,171598000,171598000,196907000,225556000,225556000,225556000,422463000,4227917000,-2700673000,1523021000,1523021000,1945484000,-194745000,4948000,44018000,-3001000,-148780000,-5620000,-727015000,1198000.00000012,1198000.00000012,1198000,-874597000,-874597000,-874597000,-185574000,-2.98023223876953e-08,-9.88544,-10.10455,-0.12787,-0.1001,6.56754,0.27738,0,-1.90207,-1.90207,0.18824,14.87533,-0.11137,6.62946,6.45729
"31","2021_Q1",24.6209836065574,"Down",-240026000,101525000,-30028000,131553000,-134604000,-1787000,-136391000,-141982000,-142235000,-199874000,-199874000,-199874000,680228000,260629000,524611000,25718000,1215537000,17373000,486897000,133290000,565715000,1781252000,112001000,13811000,91587000,9711000,203588000,222608000,222608000,222608000,426196000,4261108000,-2900547000,1355056000,1355056000,1781252000,-199874000,4978000,32259000,7444000,-155193000,-7888000,148816000,1432000,1432000,1432000,-4945000,-4945000,-4945000,-129626000,0,0.56079,0.83272,-0.1475,-0.11221,5.97057,0.31452,0,-1.94882,-1.94882,-2.34031,13.2121,-0.12669,5.24762,5.05355
"32","2021_Q2",19.808253968254,"Down",894000,-146412000,-63569000,-82843000,-146094000,24656000,-121438000,-121438000,-121504000,-205808000,-205808000,-205808000,1012436000,439714000,67020000,42258000,1097535000,165198000,293431000,268834000,539744000,1637279000,167023000,20232000,39292000,39292000,206315000,230631000,230631000,230631000,436946000,4312137000,-3106355000,1200333000,1200333000,1637279000,-205808000,5360000,17037000,-19916000,-203327000,-7626000,321352000,3796000,3796000,3795999.99999999,121821000,121821000,121821000,-140734000,1.86264514923096e-09,-163.41611,-230.21029,-0.17146,-0.1257,5.31971,0.36402,8.67361737988404e-19,-1.9902,-1.9902,0.00865000000000027,11.60741,-0.14382,7.19397,6.93003
"33","2021_Q3",14.2934375,"Down",143000,-139629000,-54984000,-84645000,-154701000,-1056000,-155757000,-155757000,-155973000,-241702000,-241702000,-241702000,839701000,353468000,50323000,33726000,903526000,158820000,290186000,260795000,550933000,1454459000,207329000,39294000,40436000,40436000,247765000,222133000,222133000,222133000,469898000,4338395000,-3348057000,984561000,984561000,1454459000,-241702000,5993000,50092000,39969000,-145648000,-3578000,60368000,396000,396000,396000,-84884000,-84884000,-84884000,-148708000,0,-1081.82517,-1690.22378,-0.24549,-0.16618,3.64671,0.47727,0,-2.3373,-2.3373,0.00138,9.52086,-0.2003,5.64664,5.4279
"34","2021_Q4",11.79875,"Down",1019000.00000001,-115908000,-42229000,-73679000,-134274000,1502000,-132772000,-152947000,-152834000,-216816000,-216816000,-216816000,777601000,402461000,53958000,30712000,832325000,45745000,268445000,245380000,507319000,1339644000,225458000,21668000,41101000,41101000,266559000,202558000,202558000,202558000,469117000,4441306000,-3564873000,870527000,870527000,1339644000,-216816000,5982000,49469000,14426000,-146939000,100560000,119905000,75868000,75868000,75868000,48834000,48834000,48834000,-128292000,0,-131.77036,-212.77331,-0.24906,-0.16185,3.12248,0.53889,-1.0842021724855e-19,-3.20255,-3.20255,0.01505,12.85841,-0.20205,6.06118,5.79115
"35","2022_Q1",6.59806451612903,"Down",1606000,-127966000,-49187000,-78779000,-130041000,3429000,-126612000,-132238000,-132327000,-155052000,-155052000,-155052000,299503000,161160000,37017000,25628000,336520000,9706000,150455000,144809000,257275000,593795000,129841000,25883000,23152000,23152000,152993000,66525000,66525000,66525000,219518000,4097113000,-3719925000,374277000,374277000,593795000,-155052000,2314000,29507000,-16494000,-139725000,-112359000,-113352000,270000,270000,270000,-252807000,-252807000,-252807000,-127727000,0,-80.97198,-96.54545,-0.41427,-0.26112,2.19958,0.58651,0,-2.17217,-2.17217,0.0225,5.24337,-0.35175,2.34487,2.30314
"36","2022_Q2",3.87274193548387,"Down",1945000,-113981000,-36106000,-77875000,-120346000,-1806000,-122152000,-122152000,-122152000,-122152000,-122152000,-122152000,211588000,106260000,43329000,31798000,254917000,11234000,169871000,164225000,236154000,491071000,117382000,28350000,25510000,25510000,142892000,84920000,84920000,84920000,227812000,4109795000,-3842077000,263259000,263259000,491071000,-122152000,1014000,22606000,-26764000,-125296000,-857000.00000003,69926000,8999.99999999255,8999.99999999255,8999.99999999255,-55361000.0000001,-55361000.0000001,-55361000.0000001,-119332000,0,-61.87455,-62.80308,-0.464,-0.24875,1.78398,0.86535,0,-1.7801,-1.7801,0.02834,3.83642,-0.35083,1.7731,1.75816
"37","2022_Q3",5.656875,"Up",1519000,-100535000,-36694000,-63841000,-100761000,7262000,-93499000,-100138000,-100138000,-100138000,-100138000,-100138000,132509000,81499000,34949000,24473000,167458000,14566000,350927000,345281000,406134000,573592000,100415000,24865000,48446000,48446000,148861000,244615000,244615000,244615000,393476000,4126747000,-3942215000,180116000,180116000,573592000,-100138000,1344000,10007000,-5571000,-94358000,-5979000,61676000,8034000,8034000,8034000,-24648000,-24648000,-24648000,-99417000,0,-66.33377,-65.92363,-0.55596,-0.17458,1.12493,2.18457,0,-1.35895,-1.35895,0.02061,2.44431,-0.23577,1.33286,1.31508
