"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",56.5532786885246,"Up",602200000,-296500000,305700000,-282700000,-148700000,-58700000,-75300000,2.3e+07,-22900000,-23800000,9e+05,1e+05,85900000,8.6e+07,12300000,98300000,94800000,-2200000,92600000,92600000,5.95e+08,582700000,18400000,446100000,59900000,386200000,1059500000,297900000,4380900000,1.326e+09,2859900000,180800000,14200000,4678800000,5738300000,529200000,59600000,469600000,16700000,1264800000,1264800000,1810700000,2410800000,970300000,596800000,2.28e+08,3381100000,5191800000,484400000,87700000,-85700000,486400000,6e+07,546400000,5738200000,94800000,58700000,-77100000,27900000,104300000,-7.5e+07,-1200000,4e+06,-72200000,-7900000,12400000,13500000,45600000,45600000,2e+05,45800000,81700000,2427500000,22300000,0.50764,0.03819,0.15377,0.16947,0.01614,0.24082,0.58513,9.50183,0.42303,0.7185,0.36166,4.67256,3.77405,0.17303,0.02094,0.00565,22.42962,79.67391
"12","2018_Q2",68.0153125,"Up",633200000,-317300000,315900000,-289100000,-150900000,-57800000,-80400000,26800000,-22800000,-23800000,1e+06,4e+06,-1e+05,3900000.00000001,3e+05,4200000,4199999.99999999,-899999.999999999,3300000.00000001,3300000.00000001,729500000,710700000,2.4e+07,467800000,60700000,407100000,1221300000,295300000,4414400000,1317400000,2898300000,184900000,13800000,4709700000,5.931e+09,550200000,57900000,492300000,16700000,1345600000,1345600000,1912500000,2406600000,1015600000,622900000,245700000,3422200000,5334700000,537600000,9.1e+07,-80400000,548200000,4.8e+07,596200000,5930900000,4199999.99999999,57800000,33400000,5.3e+07,148400000,-16100000,-10899999.9999998,-6500000,-33500000.0000001,-8800000,20700000,11900000.0000001,126800000,126800000,1200000,1.28e+08,84600000,2423300000,121200000,0.49889,0.04232,0.00521000000000002,0.00553999999999996,0.000559999999999996,36.72727,0.63859,8.94784,0.40858,0.0239399999999999,0.01846,4.5937,3.97705,0.87927,0.000819999999999998,0.03004,20.02128,63.20149
"13","2018_Q3",78.0769841269841,"Up",651600000,-326400000,325200000,-281700000,-148400000,-5.7e+07,-76300000,43500000,-24500000,-24700000,2e+05,1.9e+07,0,1.9e+07,1200000,20200000,20200000,-2100000,18100000,18100000,828500000,809700000,23600000,498700000,79100000,419600000,1350800000,2.81e+08,4296100000,1251300000,2837500000,184500000,22800000,4577100000,5927900000,452200000,51900000,400300000,16700000,1385200000,1385200000,1854100000,2402500000,9.97e+08,628700000,231800000,3399500000,5253600000,590100000,109100000,-67800000,631400000,42700000,674100000,5927700000,20200000,5.7e+07,19900000,31800000,128900000,-19800000,-7500000,-1e+07,-37300000,-7700000,5800000,1e+07,101600000,101600000,-2600000,9.9e+07,100500000,2419200000,111300000,0.49908,0.06676,0.02778,0.02685,0.00305,6.14917,0.72855,7.7935,0.4081,0.11863,0.10007,4.27063,4.13824,0.72947,0.00442,0.02721,15.82786,36.56782
"14","2018_Q4",68.4053968253968,"Down",679500000,-339100000,340400000,-302900000,-159800000,-61300000,-81800000,37500000,-24300000,-2.5e+07,7e+05,13200000,-3.72529029846191e-09,13200000,9e+05,14100000,14100000,-9e+05,13200000,13200000,852200000,851200000,22500000,470500000,75300000,395200000,1345200000,273100000,4.419e+09,1252800000,2966600000,184200000,15400000,4692100000,6037300000,484500000,45700000,438800000,16700000,1399700000,1399700000,1900900000,2398400000,1008200000,629800000,252700000,3406600000,5307500000,639200000,122300000,-6.6e+07,695500000,34100000,729600000,6037100000,14100000,61300000,27200000,51400000,1.54e+08,-19400000,-133100000,2.8e+07,-124500000,-16200000,28300000,12100000,41600000,41600000,-1e+05,41500000,98800000,2415100000,129900000,0.50096,0.05519,0.01943,0.01809,0.00219,9.84091,0.70766,7.27453,0.40003,0.0813,0.07237,4.18517,4.28372,0.80008,0.00318,0.03128,15.81883,41.67733
"15","2019_Q1",70.322131147541,"Up",695800000,-345100000,350700000,-308900000,-166300000,-5.8e+07,-84600000,41800000,-19900000,-24900000,5e+06,21900000,1.5e+07,36900000,6600000,43500000,43500000,-1e+06,42500000,42500000,951300000,932400000,26400000,449600000,58100000,391500000,1427300000,2.99e+08,4357100000,1211500000,2.948e+09,183600000,1.4e+07,4656100000,6083400000,475900000,61600000,414300000,16600000,1393700000,1393700000,1886200000,2394200000,978500000,623800000,237500000,3372700000,5258900000,699800000,164800000,-72100000,792500000,31800000,824300000,6083200000,43500000,5.8e+07,18700000,8300000,128500000,-41700000,4300000,-22100000,-59500000,7700000,-71900000,1.3e+07,8.2e+07,8.2e+07,-8e+05,81200000,99800000,2410800000,59800000,0.50402,0.06007,0.06108,0.05156,0.00699,1.40706,0.75671,6.37984,0.39629,0.25274,0.23179,4.13775,4.7128,0.35562,0.01009,0.01419,14.62425,34.91627
"16","2019_Q2",75.414126984127,"Up",7.1e+08,-360400000,349600000,-330800000,-183300000,-57200000,-90300000,18800000,-18200000,-24400000,6200000,600000.000000004,8700000,9300000.00000001,3900000,13200000,13200000,-3e+05,12900000,12900000,1.109e+09,1090300000,35400000,467400000,61500000,405900000,1611800000,2.7e+08,4468800000,1179900000,2948300000,188500000,152100000,4738800000,6350600000,479400000,99500000,379900000,16500000,1474600000,1474600000,1970500000,2.39e+09,1066700000,648100000,305500000,3456700000,5427200000,815500000,1.81e+08,-86300000,910200000,1.3e+07,923200000,6350400000,13200000,57200000,42400000,86900000,199700000,-29400000,0,4e+05,-2.9e+07,10300000,-22200000,-11900000,158800000,158800000,-9e+05,157900000,7.6e+07,2406500000,129600000,0.49239,0.02648,0.01817,0.01397,0.00203,10.04651,0.81796,5.87868,0.37894,0.07544,0.07043,4.15202,5.32278,0.75789,0.00293,0.02948,17.07237,69.01596
"17","2019_Q3",67.77015625,"Down",737200000,-381800000,355400000,-336500000,-195100000,-53800000,-87600000,18900000,-17900000,-23100000,5200000,1e+06,-14500000,-13500000,8e+05,-12700000,-12700000,1e+05,-12600000,-12600000,1222400000,1198800000,24800000,473200000,63300000,409900000,1720400000,260100000,4468400000,1153100000,2965800000,185700000,163800000,4728500000,6448900000,479600000,82900000,396700000,19200000,1521300000,1521300000,2020100000,2387700000,1084400000,652400000,324500000,3472100000,5492200000,894100000,168400000,-117600000,944900000,11600000,956500000,6448700000,-12700000,53800000,63300000,56900000,161300000,-16500000,-3.7e+07,-6e+06,-59500000,12100000,-22200000,6500000,108300000,108300000,2e+05,108500000,72700000,2406900000,112300000,0.48209,0.02564,-0.01709,-0.01317,-0.00195,-8.9127,0.85164,5.74198,0.37323,-0.07158,-0.06826,4.18785,5.36774,0.63795,-0.00283,0.02525,16.29298,62.67196
"18","2019_Q4",66.1103125,"Down",760500000,-381400000,379100000,-287699999,-151800000,-49900000,-85999999,91400001,-17300000,-22900000,5600000,74100001,0,74100001,2700000,76800001,76800001,-6e+05,76200001,76200001,990200000,966700000,2.9e+07,465400000,60200000,405200000,1484600000,255400000,4427600000,1108600000,2932200000,182100000,204700000,4.683e+09,6167600000,410300000,71400000,338900000,19100000,1539900000,1539900000,1969300000,2383100000,1135300000,656200000,378700000,3518400000,5487700000,921200000,-1.55e+08,-98500000,667700000,1.2e+07,679700000,6167400000,76800000,49900000,27700000,45800000,200200000,-25200000,-3299999.99999999,-399999,-28899999,-11300000,8900000,-4.02e+08,-230699999,-230699999,-1400000,-232099999,141300001,2402200000,159200001,0.49849,0.12018,0.1002,0.11211,0.01235,2.08924,0.75387,8.07371,0.38949,0.43583,0.42092,4.34977,3.81899,0.91056,0.01807,0.03775,9.99292,15.44858
"19","2020_Q1",66.1737096774194,"Up",780400000,96800000,877200000,-803700001,-177500000,-48800000,-84800001,73499999,-16700000,-21700000,5e+06,56799999,-3e+05,56499999,4600000,61099999,61099999,-6e+05,60499999,60499999,1086400000,1062800000,30200000,458700000,48900000,409800000,1575300000,258600000,4467300000,1097700000,2976500000,179300000,213800000,4725900000,6301200000,438300000,72300000,3.66e+08,18400000,1544400000,1544400000,2001100000,2376800000,1141200000,654400000,385900000,3.518e+09,5519100000,1003700000,-153500000,-78200000,7.72e+08,10100000,782100000,6301200000,61100000,48800000,52400000,-1e+05,162200000,-21200000,0,3300000,-17900000,-36100000,-3.7e+07,-49500000,94800000,94800000,1300000,96100000,122299999,2395200000,96399999,1.12404,0.09418,0.07752,0.07736,0.0096,1.59339,0.78722,7.05677,0.38012,0.35205,0.33969,4.54109,4.49221,0.56094,0.01401,0.02232,10.70155,17.8068
"20","2020_Q2",71.8174603174603,"Up",7.92e+08,-411600000,380400000,-3.16e+08,-178600000,-52200000,-85200000,64400000,-22600000,-21200000,-1400000,41800000,-531456582.087068,41799999.9999999,1400000,43200000,43200000,-3e+05,42900000,42900000,851400000,851400000,31600000,482600000,69600000,4.13e+08,1365600000,254400000,4542200000,1151900000,2994600000,181500000,214200000,4796600000,6162200000,499200000,92200000,4.07e+08,18400000,1606400000,1606400000,2.124e+09,2372300000,1176800000,6.85e+08,397800000,3549100000,5673100000,1066900000,-509200000,-77200000,480500000,8400000,488900000,6.162e+09,43199999.9999999,52200000,52500000,85400000,233300000,-13500000,-146400000,2.4e+07,-135900000,-6200000,-699999.999999993,-307300000,-209900000,-209900000,-1500000,-211400000,116600000,2390700000,187100000,0.4803,0.08131,0.05417,0.0877499999999999,0.00696,4.36131,0.64294,11.6038,0.38796,0.24782,0.24121,4.57505,2.77564,1.0808,0.01058,0.04612,13.20154,23.90217
"21","2020_Q3",75.3878125,"Up",806400000,-425300000,381100000,-318800000,-186600000,-48400000,-83800000,62300000,-20500000,-19400000,-1100000,41800000,-714100000,-672300000,-9e+05,-673200000,-673200000,0,-673200000,-673200000,772700000,772700000,33400000,498400000,6.9e+07,429400000,1304500000,248800000,4538800000,1136700000,3044300000,181500000,176300000,4787600000,6092100000,445200000,7.6e+07,369200000,18100000,2.509e+09,1.659e+09,2972300000,2.368e+09,1006300000,697500000,219400000,3374300000,6346600000,1164500000,-1326100000,-99900000,-261500000,6800000,-254700000,6091900000,-673200000,48400000,763600000,29300000,168100000,-17200000,-43500000,0,-60700000,-6300000,-1100000,-186700000,-79300000,-79300000,6e+05,-78700000,110700000,2386100000,123700000,0.47259,0.07726,-0.83482,2.64311,-0.1105,-0.18375,0.43889,-24.91794,0.39167,-4.05921,-4.17875,4.86237,-1.57677,0.74588,-0.21454,0.03942,14.57453,25.89727
"22","2020_Q4",78.5190625,"Up",844400000,-19800000.0000001,824600000,-727900000,-191800000,-50700000,-73600000,96700000,-22700000,-23900000,1200000,7.4e+07,-4300000,69700000,-4599999,65100001,65100000.9999999,-4e+05,64700001,64700001,621800000,621800000,38700000,475400000,62600000,412800000,1135900000,246700000,4825200000,1254700000,3221300000,176200000,1.73e+08,5071900000,6207800000,514900000,49600000,465300000,22600000,1.7e+09,1.7e+09,2237500000,3097400000,1036700000,715700000,2.24e+08,4134100000,6371600000,1228200000,-1261400000,-1.31e+08,-164200000,400000.000000001,-163800000,6207800000,65099999.9999999,50700000,60300000,21200000,197300000,-8400000,-230800000,-1e+05,-239300000,738200000,-12700000,-110100000,-152100000,-152100000,1200000,-150900000,147400000,3.12e+09,164799999,0.97655,0.11452,0.07662,-0.39499,0.01042,2.54714,0.50766,-38.89866,0.50259,0.386860000000001,0.386859999999999,5.04891,-0.9818,0.98539,0.22903,0.04127,16.94844,25.83454
"23","2021_Q1",80.4755737704918,"Up",873900000,-301900000,5.72e+08,-479600000,-205300000,-51400000,-74300000,92400000,-27100000,-26800000,-3e+05,65300000,1e+05,65400000,5399999,70799999,70799999,-3e+05,70499999,70499999,765200000,765200000,41800000,484300000,453200000,31100000,1291300000,257300000,4884300000,1255100000,3275100000,176100000,1.78e+08,5141600000,6432900000,578600000,5.1e+07,527600000,24300000,1711300000,1711300000,2314200000,3090100000,1040400000,725100000,223300000,4130500000,6444700000,1.309e+09,-1190900000,-1.31e+08,-12900000,1100000,-11800000,6432900000,70800000,51400000,51500000,-7800000,165900000,-42400000,-4e+06,0,-46400000,-8100000,-850400000,22400000,141900000,141900000,1500000,143400000,143800000,3114400000,88200001,0.65454,0.10573,0.08067,-5.97458,0.01096,1.25106,0.55799,-546.16102,0.48414,0.41879,0.41879,5.19122,-0.07663,0.52393,-0.1881,0.02129,16.33658,25.42424
"24","2021_Q2",83.5326984126984,"Up",901100000,-321200000,579900000,-541899999,-227899999,-4.9e+07,-78600000,38000001,-2.8e+07,-28700000,7e+05,10000001,-72955035.2324649,10000001,8e+05,10800001,10800001,-120088.84892509,10800001,10800001,1293100000,1293100000,48300000,550300000,521400000,28900000,1891700000,246500000,5121100000,1262600000,3496200000,183200000,179100000,5367600000,7259300000,564700000,70500000,494200000,24100000,1806200000,1806200000,2.395e+09,3874900000,1060400000,762300000,215500000,4935300000,7330300000,1373600000,-1375200000,-71200000,-72800000,1800000,-7.1e+07,7259300000,10800000,4.9e+07,5.9e+07,102500000,221300000,-9000000.00000001,-298500000,1e+06,-306500000,791900000,-9700000,613700000,528500000,528500000,-6e+05,527900000,87000001,3.899e+09,179700001,0.64355,0.04217,0.01199,-0.152110000000001,0.00149,16.63889,0.78985,-103.24366,0.5371,0.0637399999999999,0.0624100000000001,5.31826,-0.42966,1.06058,0.00220999999999993,0.03676,29.95287,68.57631
"25","2021_Q3",77.40390625,"Down",931300000,-3.32e+08,599300000,-511300001,-211000001,-5e+07,-78300000,87999999,-33500000,-32600000,-9e+05,54499999,-28458438.2831904,54499999,-7600000,46899999,46899999,-1e+05,46799999,46799999,1375200000,1375200000,54600000,5.61e+08,5.3e+08,3.1e+07,1990800000,241800000,5129499999,1242400000,3525200000,1.83e+08,178899999,5371299999,7362099999,5.61e+08,77400000,483600000,24100000,1871400000,1871400000,2456500000,3869300000,1067700000,7.67e+08,215800000,4.937e+09,7393500000,1458200000,-1409200000,-82300000,-33300000,1900000,-31400000,7362100000,46900000,5e+07,61800000,50700000,209400000,-12100000,-21600000,-19700000,-53400000,-8100000,-2800000,-74100000,81900000,81900000,2e+05,82100000,137999999,3893400000,184199999,0.64351,0.09449,0.05025,-1.49045,0.00636,3.9359,0.81042,-235.46178,0.52884,0.27621,0.27044,5.4965,-0.19654,1.08714,0.00949,0.03737,18.24783,28.61591
