"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",45.4627419354839,"Down",2645700000,-1871100000,774600000,-130900000,-114800000,-16100000,643700000,-22200000,5100000,-27300000,621500000,-6e+05,-6e+05,620900000,-1.89e+08,431900000,4.19e+08,-1600000,417400000,417400000,3201900000,3201900000,656300000,656300000,1327300000,744900000,594900000,5930400000,7379500000,2626800000,1874200000,94200000,438400000,2.2e+08,10006300000,15936700000,1458400000,800500000,657900000,82700000.0000001,81600000,1100000,1614800000,1010600000,1.481e+09,611200000,869800000,2491600000,4106400000,1459300000,4300000,1.455e+09,9687400000,664200000,11810900000,19400000,11830300000,15936700000,4.19e+08,140600000,2200000,17700000,3e+05,-15800000,-2.18e+08,-8.1e+07,-213100000,20300000,55800000,343800000,-384600000,-384600000,-384600000,9100000,-375500000,-106600000,4600000,4900000,-3e+05,-2e+05,8e+05,-102900000,-134600000,-134600000,26900000,-107700000,784300000,1093300000,370700000,0.29278,0.2433,0.15777,0.03528,0.02619,0.88812,3.67253,0.34711,0.0686,0.98073,0.97798,6.2164,27.75117,0.87101,0.25047,0.03638,0.02573,0.25539,-2.68851,-3.27575
"12","2013_Q1",50.8933333333333,"Up",2364300000,-1783300000,5.81e+08,-140200000,-93600000,-46600000,440800000,-799999.999999985,4400000,-5200000,4.4e+08,-17100000,-17100000,422900000,-86600000,336300000,359800000,3400000,363200000,363200000,3.811e+09,3.811e+09,751600000,751600000,1237600000,780900000,543100000,6581100000,7545900000,2563400000,1844400000,50600000,454200000,214200000,10109300000,16690400000,1812300000,912400000,899900000,4.3e+07,42500000,5e+05,1917700000,1.01e+09,1763300000,787900000,975400000,2773300000,4.691e+09,1463800000,4300000,1459500000,10141300000,3.78e+08,11983100000,16300000,11999400000,16690400000,359800000,1.27e+08,172200000,-11300000,116100000,67400000,6.31e+08,213300000,162400000,312900000,-57600000,1.29e+09,-476200000,-476200000,-476200000,1400000,-474800000,31800000,-501500000,9500000,-5.11e+08,-512400000,1300000,-4.69e+08,346200000,346200000,-55100000,291100000,567800000,1.053e+09,809200000,0.24574,0.18644,0.15362,0.03027,0.02176,2.22797,3.43177,0.39094,0.06309,0.85419,0.85138,5.56044,28.18227,1.9031,-0.07479,0.02237,0.05462,-0.08756,-4.85734,-6.25681
"13","2013_Q2",50.674375,"Down",2312400000,-1670600000,641800000,-150700000,-91900000,-58800000,491100000,20600000,3700000,16900000,511700000,-4e+05,-4e+05,511300000,-133700000,377600000,379900000,-1e+05,379800000,379800000,3594800000,3594800000,7.32e+08,7.32e+08,1484400000,729700000,491900000,6540900000,7944300000,2584900000,1889500000,46400000,445200000,203800000,10529200000,17070100000,1596900000,801300000,795600000,18200000,17600000,599999.999999985,1676100000,1010900000,1803300000,817600000,985700000,2814200000,4490300000,1480600000,4300000,1476300000,10464100000,617700000,12562400000,17400000,12579800000,17070100000,379900000,1.55e+08,42700000,3e+06,4400000,35300000,1800000,-73500000,16700000,1.41e+08,-82400000,579400000,-367500000,-367500000,-367500000,4e+06,-378500000,-106400000,19400000,1.9e+07,4e+05,-2e+05,2200000,-84800000,116100000,116100000,-1e+07,106100000,646100000,1029100000,414100000,0.27755,0.21238,0.16424,0.03019,0.02225,1.09031,3.90245,0.35695,0.06029,0.89218,0.89009,5.43199,29.50998,0.97275,0.24994,0.03155,0.02687,0.28015,-3.97106,-5.22439
"14","2013_Q3",39.8415625,"Down",2618800000,-1953600000,665200000,-139500000,-1.16e+08,-23500000,525700000,22800000,5e+05,22300000,548500000,2599999.99999999,2600000,551100000,-126300000,424800000,4.3e+08,-2e+05,429800000,429800000,3420700000,3420700000,797500000,797500000,1518500000,796400000,558600000,6533100000,8246100000,2661500000,1889400000,115300000,441400000,215400000,10907600000,17440700000,1559500000,913700000,645800000,21900000,21200000,7e+05,1647400000,1010600000,1681900000,827600000,854300000,2692500000,4339900000,1485100000,4300000,1480800000,10986200000,611100000,13082400000,18400000,13100800000,17440700000,4.3e+08,167700000,271600000,2600000,200900000,68100000,1.13e+08,133400000,6100000.00000003,-9700000,-16800000,982300000,-3.74e+08,-3.74e+08,-3.74e+08,-599999.999999999,-381400000,-106800000,-48000000.0000001,-47500000,-5e+05,-6e+05,2500000,-152300000,448600000,448600000,-44500000,404100000,693400000,1032500000,558700000,0.25401,0.20074,0.16412,0.03281,0.02464,1.29991,3.9657,0.33127,0.0592,1.00916,1.00656,6.14886,30.71707,1.31181,0.25076,0.03393,0.03533,0.24849,-3.44419,-4.5429
"15","2013_Q4",39.85625,"Up",1908700000,-1521800000,386900000,-1.2e+08,-94400000,-25600000,266900000,-27800000,1800000,-29600000,239100000,-122400000,4e+05,116700000,6600000,123300000,125800000,-1400000,124400000,124400000,3338600000,3338600000,478700000,478700000,1.495e+09,9.79e+08,897800000,6291300000,8.513e+09,2852300000,1833200000,212500000,562100000,244500000,11365300000,17656600000,1200400000,611700000,588700000,15300000,14500000,8e+05,1302300000,1011500000,1791700000,960900000,830800000,2803200000,4105500000,1512100000,4300000,1507800000,11707600000,312900000,13532600000,18500000,13551100000,17656600000,125800000,166100000,1.1e+08,14100000,0,95900000,-446900000,131700000,-2500000,-325100000,-2.51e+08,-4.5e+07,-332500000,-332500000,-332500000,1300000,-465700000,-106800000,16300000,14300000,2e+06,-7e+05,-3300000,-89500000,-600200000,-600200000,23300000,-576900000,4.33e+08,1026800000,-3.53e+08,0.2027,0.13983,0.06518,0.00918,0.00705,-2.83762,4.83091,0.30296,0.05815,0.29216,0.29127,4.48262,31.78159,-0.82903,0.25082,0.01412,-0.02156,0.85852,-5.33903,-8.66167
"16","2014_Q1",41.1427868852459,"Up",3134200000,-2067900000,1066300000,-140400000,-1.25e+08,-15400000,925900000,-12700000,12800000,-25500000,913200000,122200000,-6e+05,1035400000,-87600000,947800000,956100000,-1400000,954700000,954700000,5293100000,5293100000,543100000,543100000,1432900000,836700000,706800000,8105800000,8576600000,2871600000,1794400000,152200000,576400000,348600000,11448200000,1.9554e+10,1236500000,570200000,666300000,2.3e+07,22600000,4e+05,3265900000,3008900000,1958600000,1031500000,927100000,4967500000,8233400000,5900000,4300000,1600000,11182100000,114300000,11302300000,18300000,11320600000,1.9554e+10,956100000,1.16e+08,-101500000,8500000,-5300000,-104700000,-606800000,-488300000,-335800000,30600000,186700000,363800000,-514300000,-514300000,-514300000,8800000,-364200000,-106600000,38700000,40200000,-1500000,3.72529029846191e-09,8e+06,-64199999.9999999,-64600000.0000005,-64600000.0000005,17400000,-47200000,1041900000,3031900000,8400000,0.34021,0.29542,0.30461,0.08433,0.04882,0.00880000000000081,2.48195,0.72729,0.15505,2.24424,2.23688,7.36765,26.56864,0.0197500000000003,0.25059,0.06507,0.00051,0.11166,-2.17027,-2.44216
"17","2014_Q2",42.7687301587302,"Up",1986200000,-1574600000,411600000,-1.45e+08,-1.2e+08,-2.5e+07,266600000,-43300000,-26700000,43400000,223300000,-4900000,-4900000,218400000,2600000,2.21e+08,217700000,-2e+05,217500000,217500000,2490700000,2490700000,597400000,597400000,1606600000,660700000,504200000,5355400000,9551900000,3.205e+09,1764700000,189200000,579600000,671500000,12756900000,18112300000,1.346e+09,592800000,753200000,41700000,41300000,4e+05,2163300000,3009100000,2088800000,993200000,1095600000,5097900000,7261200000,36099999.9999999,3700000,32400000.0000001,10916700000,-120700000,10832100000,18800000,10850900000,18112100000,217700000,174300000,61700000,34900000,-58900000,85700000,173300000,-84900000,-27300000,1.64e+08,121500000,6.27e+08,-274900000,-274900000,-274900000,0,-1634300000,-99700000,7400000,7500000,-1e+05,-3e+05,-3e+05,-1770300000,-2777600000,-2777600000,-24800000,-2802400000,440900000,3050800000,336700000,0.20723,0.13423,0.10951,0.02004,0.01201,1.54805,2.47557,0.66918,0.16844,0.54226,0.54226,4.95188,27.00598,0.83944,0.24857,0.01984,0.02106,0.45839,1.27036,2.1009
"18","2014_Q3",41.01796875,"Down",2440300000,-1919100000,521200000,-1.18e+08,-87400000,-30600000,403200000,-68800000,-24600000,-38700000,334400000,-1300000.00000001,-1300000,333100000,-82700000,250400000,248200000,3e+05,248500000,248500000,2.367e+09,2.367e+09,604200000,604200000,1579600000,637600000,476600000,5188400000,9694500000,3410600000,1792900000,192300000,720800000,704600000,13105100000,18293500000,1582400000,750200000,832200000,13300000,12700000,6e+05,1922300000,3012900000,2093700000,1.009e+09,1084700000,5106600000,7028900000,46100000,3800000,42300000,11069200000,130600000,11245900000,18700000,11264600000,18293500000,248200000,229900000,-37200000,8600000,-33100000,-12700000.0000001,355400000,14800000,-8900000,273600000,75900000,796300000,-2.14e+08,-2.14e+08,-2.14e+08,-2500000,-360300000,-95100000,-25400000,-28600000,3200000.00000006,-7e+05,-3e+05,-574500000,-138500000,-138500000,14800000,-123700000,633100000,3026200000,857200000,0.21358,0.16523,0.10183,0.02206,0.01358,3.4495,2.69906,0.62398,0.16542,0.64714,0.64714,6.35495,29.2862,2.23229,0.24766,0.02097,0.05232,0.3827,1.04123,1.63492
"19","2014_Q4",38.8834375,"Down",2250700000,-1.836e+09,414700000,-96400000,-83900000,-12500000,318300000,7100000,-25300000,27100000,325400000,-40800000,1e+05,284600000,-77600000,2.07e+08,202900000,-1e+06,201900000,201900000,2970600000,2970600000,573900000,573900000,1471500000,642500000,470700000,5658500000,9413700000,3383300000,1741300000,187500000,8.4e+08,614500000,1.2797e+10,18455500000,1488700000,762200000,726500000,41400000,4e+05,4.1e+07,1549600000,3774200000,2169200000,963900000,1205300000,5943400000,7.493e+09,4200000,3700000,499999.999999993,11153200000,-212800000,10944600000,17900000,10962500000,18455500000,202900000,193700000,75700000,5700000,-5400000,75400000,-115800000,6100000,74500000,-229600000,33200000,356500000,-188400000,-188400000,-188400000,-1e+05,-158100000,-93800000,790300000,-12300000,802600000,-5e+05,132900000,455400000,653800000,653800000,-50200000,603600000,5.12e+08,3815600000,285400000,0.18425,0.14142,0.08971,0.01842,0.01094,1.41357,3.65159,0.68351,0.20675,0.5384,0.5384,6.00187,29.1856,0.76107,0.25013,0.01745,0.01684,0.46459,1.65039,2.65473
"20","2015_Q1",43.0506557377049,"Up",2378600000,-1799500000,579100000,-146400000,-91100000,-55300000,432700000,16300000,-3.1e+07,47300000,4.49e+08,-67800000,3e+05,381200000,-2.7e+07,354200000,361600000,-9e+05,360700000,360700000,2374600000,2374600000,754400000,754400000,1718300000,368200000,368200000,5215500000,9313900000,3753600000,1806500000,543100000,849800000,554200000,13067500000,1.8283e+10,1542200000,559600000,982600000,54500000,13500000,4.1e+07,1596700000,3.778e+09,2187700000,987700000,1.2e+09,5965700000,7562400000,7900000,3700000,4200000,11168900000,-473700000,10703100000,17500000,10720600000,1.8283e+10,361600000,2.02e+08,6.2e+07,5100000,-56400000,113300000,-283300000,-162500000,-1.68e+08,-7.2e+07,119200000,342300000,-251800000,-251800000,-251800000,-8800000,-586400000,-93900000,17400000,13200000,4200000.00000024,-6e+05,47400000,-2.79e+08,-523100000,-523100000,-72900000,-5.96e+08,634700000,3832500000,126600000,0.24346,0.18191,0.15164,0.03365,0.01973,0.35098,3.26642,0.70541,0.20962,1.07255,1.07255,7.07285,31.82605,0.37645,0.27921,0.02716,0.00756,0.26033,2.29699,3.36931
