"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2014_Q1",13.9647540983607,"Up",37419000,-12699000,24720000,-17575000,-4508000,-18653000,5586000,7145000,-5449000,-5449000,1696000,4271000,5967000,5967000,5210000,-337000,4873000,2097000,6690000,6690000,13790000,13790000,23517000,16526000,6991000,43997000,1007393000,1079046000,218891000,218891000,1226284000,1270281000,23740000,18574000,5166000,23740000,556091000,15886000,15886000,571977000,595717000,599609000,603049000,71515000,674564000,1270281000,5210000,21089000,-2457000,3631000,27473000,-144934000,-90341000,-28167000,129432000,-694000.000000001,45649000,-17219000,-17219000,-17219000,28234000,556091000,0.66063,0.19095,0.05604,0.00311,0.00165,1.85329,0.88311,0.43777,0.0495,0.0495,0.88327,14.2349,0.66488,0.02428,13.43205,19.45884,76.89307
"12","2014_Q2",15.1866666666667,"Up",39743000,-7985000,31758000,-25566000,-5475000,-19854000,-237000,6192000,-5662000,-5662000,530000,-508999.999999999,21000,21000,20999.9999999991,364000,385000,-2415000,28726000,28726000,13978000,13978000,18426000,4987000,13439000,61130000,1030178000,1109755000,221632000,216709000,1251810000,1312940000,18637000,12819000,5818000,18637000,546464000,16811000,9168000,563275000,581912000,716326000,655086000,75942000,731028000,1312940000,21000,19854000,1841000,-7188000,14528000,-31467000,-38840000,-18838000,-10770000,-1270000,46348000,22036000,22036000,22036000,26046000,546464000,0.79908,0.1558,-0.06077,-0.0033,-0.00184,3.28003,0.79602,0.41621,-0.05701,-0.05701,0.93813,13.81088,0.44467,0.01269,-7.80041,19.87783,83.61402
"13","2014_Q3",14.81515625,"Down",41682000,-8606000,33076000,-29245000,-8283000,-20769000,-193000,3831000,-5809000,-5809000,-1978000,-688000,-2666000,-2666000,-2666000,402000,-2264000,-5059000,6031000,6031000,14387000,14387000,11212000,4687000,6525000,31630000,1087929000,1176067000,230594000,225671000,1318523000,1350153000,23389000,17386000,6003000,247132000,335500000,17626000,17626000,353126000,600258000,727888000,728377000,21518000,749895000,1350153000,-2666000,20769000,4537000,3646000,26286000,-89923000,-81769000,-20511000,12176000,-674000,32788000,-22695000,-22695000,-22695000,24600000,558831000,0.79353,0.09191,-0.12137,-0.00675,-0.00375,0.12799,0.80046,0.4139,-0.0957,-0.0957,0.78845,13.77785,0.38798,0.01165,-4.05436,22.47154,144.29653
"14","2014_Q4",15.3846875,"Up",42358000,-7694000,34664000,-27868000,-5704000,-21983000,-181000,6796000,-6459000,-6459000,337000,-87000,250000,250000,250000,18000,268000,-2531000,5290000,5290000,15371000,15371000,28474000,21656000,6818000,49135000,1214437000,1311286000,237418000,237418000,1451855000,1500990000,30869000,24304000,6565000,253061000,4.56e+08,17819000,17819000,473819000,726880000,746239000,747866000,26244000,774110000,1500990000,250000,21983000,229000,3121000,25583000,-167552000,-167599000,-21314000,119055000,-1178000,141275000,-741000,-741000,-741000,28779000,678192000,0.81836,0.16044,-0.05975,-0.00327,-0.00169,0.19416,0.93899,0.45183,-0.04572,-0.04572,0.76522,13.51057,0.38505,0.01278,-8.42118,23.3817,99.01442
"15","2015_Q1",16.623606557377,"Up",50033000,-9103000,40930000,-32223000,-6934000,-25097000,-192000,8707000,-7164000,-7164000,1543000,-3833000,-2290000,-2290000,-2290000,208000,-2082000,-4881000,23878000,23878000,16833000,16833000,277471000,22661000,254810000,318182000,1310176000,1310176000,959000,959000,1311135000,1629317000,28913000,21558000,7355000,28913000,686347000,22533000,22533000,708880000,737793000,725645000,864156000,27368000,891524000,1629317000,-2290000,25097000,5805000,1667000,30279000,-132798000,-133505000,-23977000,1145000,-6610000,121814000,18588000,18588000,18588000,33804000,686347000,0.81806,0.17403,-0.09756,-0.00547,-0.003,11.00481,0.82756,0.42125,-0.09024,-0.09024,0.92506,13.40738,0.44331,0.01193,-4.91231,19.59736,76.08464
"16","2015_Q2",14.5769841269841,"Down",50989000,-10246000,40743000,-33845000,-7530000,-26129000,-186000,6898000,-8007000,-8007000,-1109000,-318000,-1427000,-1427000,-1427000,198000,-1229000,-4042000,11688000,11688000,18554000,18554000,287906000,26397000,261509000,318148000,1374090000,1374090000,110999.99999997,111000,1374201000,1692349000,25239000,17543000,7696000,25239000,747131000,25927000,25927000,773058000,798297000,1089116000,855808000,38244000,894052000,1692349000,-1427000,26129000,2918000,-5804000,21816000,-66540000,-66705000,-25314000,48128000,-184000,32699000,-12190000,-12190000,-12190000,33027000,747131000,0.79905,0.13528,-0.07927,-0.00452,-0.00239,12.60541,0.8929,0.44148,-0.06288,-0.06288,0.79316,13.31247,0.39377,0.01276,-6.26274,22.26793,106.61685
"17","2015_Q3",12.84140625,"Down",52836000,-10070000,42766000,-35231000,-7494000,-27257000,-480000,7535000,-8931000,-8931000,-1396000,-3832000,-5228000,-5228000,-5228000,394000,-4834000,-7641000,11530000,11530000,19407000,19407000,289281000,24810000,264471000,320218000,1427627000,1427627000,1897000,1897000,1429524000,1749742000,31810000,23778000,8032000,31810000,764904000,23292000,23292000,788196000,820006000,1150058000,891258000,38478000,929736000,1749742000,-5228000,27257000,5564000,4539000,32132000,-78759000,-79704000,-26025000,12710000,-965000.000000001,47414000,-158000,-158000,-158000,34792000,764904000,0.80941,0.14261,-0.14462,-0.00822,-0.00437,10.06658,0.88198,0.43715,-0.11886,-0.11886,0.82189,13.86391,0.40483,0.0107,-3.40597,21.65366,99.98328
"18","2015_Q4",13.5309375,"Up",55921000,-10949000,44972000,-35311000,-6429000,-28656000,-226000,9661000,-9315000,-9315000,346000,-5026000,-4680000,-4680000,-4680000,359000,-4321000,-7128000,12496000,12496000,20475000,20475000,299173000,26518000,272655000,332144000,1492063000,1492063000,-1886947.75255466,-1908123.21627425,1492063000,1824207000,38077000,29849000,8228000,38077000,860318000,30876000,20164000,891194000,929271000,1085808000,858230000,36706000,894936000,1824207000,-4680000,28656000,8785000,3348000,36109000,-97943000,-98450000,-27202000,87523000,-79000,63307000,966000.000000002,966000.000000002,966000.000000002,38317000,860318000,0.80421,0.17276,-0.12747,-0.00796,-0.00391,8.72296,1.03837,0.47161,-0.1075,-0.1075,0.84335,11.90249,0.41024,0.01124,-3.81622,22.12652,87.75717
"19","2016_Q1",12.5159016393443,"Down",58887000,-11362000,47525000,-35832000,-7297000,-28379000,-156000,11693000,-9836000,-9836000,1857000,-19867000,-18010000,-18010000,-18010000,1011000,-16999000,-19805000,12011000,12011000,21478000,21478000,302731000,18064000,284667000,336220000,1563695000,1563695000,1867000,1867000.00000001,1565562000,1901782000,33896000,25662000,8234000,33896000,980248000,29781000,18394000,1010029000,1043925000,1018078000,822457000,35400000,857857000,1901782000,-18010000,28379000,21276000,5000,31650000,-126782000,-127179000,-27351000,122396000,-999.999999999767,95044000,-485000,-485000,-485000,40072000,980248000,0.80705,0.19857,-0.33632,-0.02309,-0.01041,9.91916,1.2169,0.51544,-0.29868,-0.29868,0.88808,10.30731,0.41248,0.00404,-1.38101,24.16243,82.80484
"20","2016_Q2",15.32890625,"Up",60872000,-12655000,48217000,-41028000,-11019000,-29749000,-260000,7189000,-10844000,-10844000,-3655000,15987000,12332000,12332000,12332000,-482000,11850000,8838000,15469000,15469000,22425000,22425000,299166000,26896000,272270000,337060000,1557890000,1557890000,2996000,2996000,1560886000,1897946000,36666000,28139000,8527000,36666000,919890000,37880000,27050000,957770000,994436000,1086446000,867998000,35512000,903510000,1897946000,12332000,29749000,-11311000,-5553000,25217000,562000.000000015,600000.000000015,-27597000,-66185000,-3577000,-22359000,3458000,3458000,3458000,36938000,919890000,0.7921,0.1181,0.14519,0.00978,0.00466,9.19271,1.10064,0.48468,0.13018,0.13004,0.89664,10.64967,0.4065,0.01958,3.12254,24.48484,125.80623
"21","2016_Q3",17.8896875,"Up",60242000,-11759000,48483000,-38556000,-7751000,-30487000,-318000,9927000,-10488000,-10488000,-561000,-9380000,-9941000,-9941000,-9941000,714000,-9227000,-13323000,8005000,8005000,21702000,21702000,291700000,20741000,270959000,321407000,1574537000,1574537000,6617000,6617000,1581154000,1902561000,37993000,29666000,8327000,37993000,956684000,47486000,33343000,1004170000,1042163000,1087787000,827108000,33290000,860398000,1902561000,-9941000,30487000,11895000,4102000,36543000,-49516000,-55359000,-29763000,42157000,-1042000,11352000,-7464000,-7464000,-7464000,40414000,956684000,0.8048,0.16479,-0.22116,-0.01548,-0.007,8.45964,1.21126,0.50284,-0.19625,-0.19603,0.88736,10.04737,0.43841,0.00882,-2.23396,23.47402,95.56553
"22","2016_Q4",17.0933333333333,"Down",62595000,-11258000,51337000,-39371000,-7603000,-31489000,-279000,11966000,-10501000,-10501000,1465000,-1335000,130000.000000004,130000.000000004,130000,192000,322000,-3773000,12273000,12273000,23302000,23302000,311132000,24978000,286154000,346707000,1695220000,1695220000,6617000,6617000,1701837000,2048544000,43808000,34994000,8814000,43808000,1024796000,45998000,31099000,1070794000,1114602000,1186770000,899561000,34381000,933942000,2048544000,130000.000000004,31489000,2480000,2046000,36145000,-170593000,-165257000,-29530000,63804000,-1608000,133380000,4268000,4268000,4268000,43455000,1024796000,0.82015,0.19117,-0.06028,-0.00404,-0.00184,7.91424,1.19344,0.50026,-0.0534099999999999,-0.05325,0.88615,10.68223,0.41805,0.01285,-7.82666,23.30049,84.61666
"23","2017_Q1",18.3833870967742,"Up",66534000,-13232000,53302000,-41033000,-7022000,-33719000,-292000,12269000,-11080000,-11080000,1189000,31878000,33067000,33067000,33067000,-1493000,31574000,28496000,12192000,12192000,25223000,25223000,324967000,20821000,304146000,362382000,1822303000,1822303000,1471000,1471000,1823774000,2186156000,45117000,35389000,9728000,45117000,1036139000,37974000,17633000,1074113000,1119230000,1369510000,1027036000,39890000,1066926000,2186156000,33067000,33719000,-29021000,118000,37883000,-126554000,-126243000,-30551000,11065000,-72972000,89497000,1137000,1137000,1137000,45988000,1036139000,0.80112,0.1844,0.42829,0.02671,0.01303,8.03205,1.04902,0.47395,0.40341,0.40218,0.94191,13.54865,0.43251,0.02758,1.07212,22.26553,83.45807
"24","2017_Q2",20.4304761904762,"Up",69480000,-13276000,56204000,-44918000,-8771000,-35953000,-194000,11286000,-10472000,-10472000,814000,-745000,68999.9999999925,68999.9999999925,69000,103000,172000,-2358999.99999999,7082000,7082000,26555000,26555000,324219000,26224000,297995000,357856000,1889364000,1889364000,3985000,3985000,1893349000,2251205000,40788000,30639000,10149000,40788000,1067251000,39196000,19522000,1106447000,1147235000,1436784000,1064119000,39851000,1103970000,2251205000,69000.0000000037,35953000,3067000,-7681000,31408000,-102528000,-102089000,-32723000,30798000,-1940000,64678000,-6003000,-6003000,-6003000,47239000,1067251000,0.80892,0.16244,-0.0339499999999999,-0.00214,-0.00105,8.77356,1.03919,0.47408,-0.02884,-0.0288399999999999,0.84931,12.15187,0.4,0.01374,-13.87156,22.44266,93.93665
"25","2017_Q3",21.385873015873,"Up",72193000,-13635000,58558000,-45336000,-7939000,-36147000,-1250000,13222000,-10631000,-10631000,2591000,-1223000,1368000,1368000,1368000,42000,1410000,-1122000,7676000,7676000,26695000,26695000,355897000,24611000,331286000,390268000,2111153000,2111153000,5262000,5262000,2116415000,2506683000,48700000,37547000,11153000,48700000,1121696000,44157000,22260000,1165853000,1214553000,1648857000,1242320000,49810000,1292130000,2506683000,1368000,36147000,1137000,6293000,44945000,-266987000,-266787000,-34665000,54124000,-2802000.00000001,222499000,657000,657000,657000,49369000,1121696000,0.81113,0.18315,-0.01554,-0.00087,-0.00045,8.01372,0.93996,0.44748,-0.01272,-0.01272,0.81837,13.28918,0.39296,0.01365,-30.89572,22.56517,84.25503
"26","2017_Q4",21.8896825396825,"Up",78144000,-15401000,62743000,-46624000,-8380000,-38186000,-57999.9999999998,16119000,-10444000,-10444000,5675000,16164000,21839000,21839000,21839000,-818000,21021000,18489000,11040000,11040000,30591000,30591000,350183000,27721000,322462000,391814000,2201715000,2201715000,7943000,7943000,2209658000,2601472000,66055000,54539000,11516000,66055000,1147929000,42765000,21638000,1190694000,1256749000,1714248000,1293961000,50762000,1344723000,2601472000,21839000,38186000,-15440000,-904000,43681000,-99636000,-99418000,-36267000,25866000,-973000,53865000,-1872000,-1872000,-1872000,54305000,1147929000,0.80292,0.20627,0.2366,0.01375,0.00711,5.93163,0.93458,0.44126,0.20649,0.20542,0.87275,13.66974,0.40505,0.0216,1.96154,20.93525,70.53099
"27","2018_Q1",19.3437704918033,"Down",81270000,-15389000,65881000,-49138000,-8259000,-40595000,-284000,16743000,-10910000,-10910000,5833000,3091000,8924000,8924000,8924000,-268000,8656000,6123000,24562000,24562000,33602000,33602000,342184000,25364000,316820000,400348000,2254324000,2254324000,25995000,25995000,2280319000,2680667000,55096000,43216000,11880000,55096000,1173781000,41483000,20262000,1215264000,1270360000,1801795000,1359040000,51267000,1410307000,2680667000,8924000,40595000,-2883000,-4572000,42064000,-104280000,-103341000,-37351000,25533000,4731000,74819000,13542000,13542000,13542000,57338000,1173781000,0.81064,0.20602,0.07534,0.00434,0.00228,7.26637,0.90077,0.43787,0.06838,0.06803,0.90766,14.39657,0.41715,0.01656,6.10011,20.04289,68.63877
"28","2018_Q2",20.5934375,"Up",83283000,-17499000,65784000,-49004000,-8748000,-39965000,-291000,16780000,-11386000,-11386000,5394000,19755000,25149000,25149000,25149000,-954000,24195000,21676000,10455000,10455000,34013000,34013000,342223000,29776000,312447000,386691000,2283166000,2283166000,26075000,26075000,2309241000,2695932000,52754000,38294000,14460000,52754000,1195583000,42596000,21876000,1238179000,1290933000,1800599000,1351923000,53076000,1404999000,2695932000,25149000,39965000,-18568000,-4572000,41974000,-36112000,-36112000,-36200000,21535000,-1612000,-16277000,-10415000,-10415000,-10415000,56745000,1195583000,0.78989,0.20148,0.26027,0.01543,0.00804,7.33008,0.91881,0.44348,0.24209,0.24083,0.93014,14.31708,0.4043,0.0219,1.67005,20.88515,70.62741
"29","2018_Q3",22.7333333333333,"Up",85474000,-16124000,69350000,-49229000,-7978000,-40901000,-350000,20121000,-11505000,-11505000,8616000,6348000,14964000,14964000,14964000,-380000,14584000,9276000,11932000,11932000,35236000,35236000,352553000,28699000,322345000,399721000,2415810000,2415810000,15596000,15596000,2431406000,2831127000,60777000,45381000,15396000,60777000,1168459000,42264000,21436000,1210723000,1271500000,1981044000,1506224000,53403000,1559627000,2831127000,14964000,40901000,-5403000,4885000,55347000,-162823000,-162823000,-39542000,-27530000,88000.0000000075,107818000,342000,342000,342000,61022000,1168459000,0.81136,0.2354,0.10852,0.00595,0.00328,6.57685,0.81526,0.41272,0.09397,0.09366,0.86588,14.54949,0.40058,0.01762,4.26283,18.95262,57.4786
"30","2018_Q4",21.6036507936508,"Down",88946000,-17112000,71834000,-53489000,-8911000,-44355000,-223000,18345000,-12695000,-12695000,5650000,3226000,8876000,8876000,8876000,-255000,8621000,7263000,6024000,6024000,39170000,39170000,368087000,35122000,332965000,413281000,2558345000,2558345000,17649000,17649000,2575994000,2989275000,67975000,53445000,14530000,67975000,1320467000,40036000,19328000,1360503000,1428478000,2080061000,1506761000,54036000,1560797000,2989275000,8876000,44355000,-2065000,123000,51289000,-193763000,-194315000,-41404000,149165000,-7e+07,136225000,-6801000,-6801000,-6801000,62700000,1320467000,0.80761,0.20625,0.08166,0.00465,0.00243,6.0799,0.91522,0.44173,0.07024,0.06997,0.8602,14.57202,0.40042,0.01666,5.70067,20.964,71.65129
"31","2019_Q1",23.1386885245902,"Up",93290000,-18286000,75004000,-51224000,-8415000,-42396000,-413000,23780000,-13211000,-13211000,10569000,36687000,47256000,47256000,47256000,-1730000,45526000,44170000,7968000,7968000,42236000,42236000,393491000,36902000,356589000,443695000,2649686000,2649686000,9151000,9151000,2658837000,3102532000,59261000,45507000,13754000,59261000,1325908000,47731000,26164000,1373639000,1432900000,2119301000,1613803000,55829000,1669632000,3102532000,47256000,42396000,-35726000,-4767000,49159000,-113951000,-113951000,-41723000,5022000,1.49011611938477e-08,76079000,11287000,11287000,11287000,66176000,1325908000,0.80399,0.2549,0.47347,0.02645,0.01424,7.48713,0.85821,0.42736,0.42717,0.4255,0.90222,14.8819,0.40351,0.02822,0.9446,19.91568,55.4222
"32","2019_Q2",25.2063492063492,"Up",95702000,-19511000,76191000,-51914000,-9212000,-42303000,-399000,24277000,-12818000,-12818000,11459000,-4070000,7388999.99999999,7388999.99999999,7388999.99999999,-214000,7175000.00000001,5807000,7857000,7857000,44928000,44928000,395393000,42503000,352890000,448178000,2770077000,2770077000,21219000,21219000,2791296000,3239474000,57227000,41381000,15846000,57227000,1340838000,66568000,46100000,1407406000,1464633000,2342877000,1719399000,55442000,1774841000,3239474000,7388999.99999999,42303000,5677000,-8219000,47150000,-175767000,-176816000,-42288000,14519000,-1444000,119432000,-10234000,-10234000,-10234000,66580000,1340838000,0.79613,0.25367,0.0606799999999999,0.00327,0.00179,7.83158,0.82522,0.41391,0.05616,0.05594,0.92554,16.62846,0.40897,0.01511,7.28225,20.02074,54.90715
