"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"11","2013_Q4",15.0953125,"Up",278034000,-239141000,38893000,-33453000,-14847000,-18606000,5440000,-140000,-142000,2000,5300000,5300000,1740000,7040000,7040000,7040000,7040000,7040000,1926000,-864000,-136000,7966000,-1556000,-1951000,-713000,666000,666000,57000,10000,6025000,6025000,-449000,5576000,7366000,35978000,3934000,0.13989,0.01957,0.02532,0.55881,0.16703,0.15946,6.59677,0.09334
"12","2014_Q1",19.5496721311475,"Up",322333000,-276310000,46023000,-33595000,-14038000,-19557000,12428000,-137000,-161000,24000,12291000,12291000,-3865000,8426000,8426000,8426000,8426000,8426000,1935000,-24142000,13795000,13999.9999999963,-655000,-660000,-709000,399000,399000,-15000.0000000001,-325000,-971000,-971000,35000,-936000,14363000,35171000,31368000,0.14278,0.03856,0.02614,3.72276,0.19938,0.19205,7.6272,0.74224
"13","2014_Q2",20.7022222222222,"Up",309016000,-262224000,46792000,-34749000,-14513000,-20236000,12043000,-178000,-195000,17000,11865000,11865000,-4166000,7699000,7699000,7699000,7699000,7699000,1393000,17327000,-8112000,18307000,-1948000,-1962000,-705000,1535000,1535000,967000,1797000,18142000,18142000,278000,18420000,13436000,34749000,7542000,0.15142,0.03897,0.02491,0.97961,0.18117,0.17262,7.27165,0.17748
"14","2014_Q3",25.9221875,"Up",356362000,-301270000,55092000,-34888000,-14460000,-20428000,20204000,-138000,-184000,46000,20066000,20066000,-6731000,13335000,13335000,13335000,13335000,13335000,1527000,-23203000,8429000,88000.0000000037,-32008000,-32002000,7866000,3250000,3250000,-493000,10623000,-21291000,-21291000,-284000,-21575000,21731000,42341000,4883000,0.1546,0.0567,0.03742,0.366179999999999,0.31073,0.29608,8.3039,0.11378
"15","2014_Q4",31.21078125,"Up",373755000,-316491000,57264000,-35792000,-15222000,-20570000,21472000,-146000,-156000,10000,21326000,21326000,-4752000,16574000,16574000,16574000,16574000,16574000,1670000,-23102000,-1063000,-5921000,-2823000,-2414000,4547000,14369000,14369000,1586000,20502000,12167000,12167000,-336000,11831000,23142000,46563000,24008000,0.15321,0.05745,0.04434,1.44853,0.37675,0.34949,8.49598,0.54574
"16","2015_Q1",36.7944262295082,"Up",428069000,-361672000,66397000,-39857000,-16834000,-23023000,26540000,-203000,-222000,19000,26337000,26337000,-9788000,16549000,16549000,16549000,16549000,16549000,1774000,-24127000,-132000,-5936000,-3788000,-3783000,-721000,4774000,4774000,247000,4300000,-5419000,-5419000,577000,-4841999.99999999,28314000,46287000,34182000,0.15511,0.062,0.03866,2.0655,0.36781,0.33785,9.51412,0.75972
"17","2015_Q2",32.9087301587302,"Down",443322000,-374129000,69193000,-37567000,-16058000,-21509000,31626000,-161000,-196000,35000,31465000,31465000,-10602000,20863000,20863000,20863000,20863000,20863000,1847000,23041000,-18705000,27046000,-2766000,-2756000,-8528000,4485000,4485000,701000,-3342000,20948000,20948000,-308000,20640000,33473000,37479000,22604000,0.15608,0.07134,0.04706,1.08345,0.4588,0.41989,9.74913,0.49709
"18","2015_Q3",26.59203125,"Down",503014000,-418562000,84452000,-41567000,-16102000,-25465000,42885000,-147000,-183000,36000,42738000,42738000,-11496000,31242000,31242000,31242000,31242000,31242000,1998000,-62717000,-6256000,-35733000,-8265000,-8937000,-730000.000000001,8260000,8260000,2999000,10529000,-34141000,-34141000,-170000,-34311000,44883000,35792000,41858000,0.16789,0.08526,0.06211,1.3398,0.67725,0.6115,10.90403,0.90737
"19","2015_Q4",26.115625,"Down",471225000,-394405000,76820000,-45372000,-19830000,-25542000,31448000,-256000,-277000,21000,31192000,31192000,-8136000,23056000,23056000,23056000,23056000,23056000,2085000,33021000,-40411000,17751000,-13606000,-14023000,10262000,8326000,8326000,4198000,22786000,26514000,26514000,-470000,26044000,33533000,46469000,-12348000,0.16302,0.06674,0.04893,-0.53557,0.4924,0.44332,10.06375,-0.26371
"20","2016_Q1",29.9206557377049,"Up",536792000,-460673000,76119000,-49432000,-20546000,-28886000,26687000,555000,-309000,864000,27242000,27242000,-9848000,17394000,17394000,17394000,17394000,17394000,2164000,-63537000,-11210000,-55189000,-10463000,-10461000,47762000,2267000,2267000,6000,50035000,-15615000,-15615000,680000,-14935000,28851000,94412000,17026000,0.1418,0.04972,0.0324,0.97884,0.36768,0.3655,11.34675,0.3599
"21","2016_Q2",27.44140625,"Down",539104000,-461629000,77475000,-52270000,-24123000,-28147000,25205000,1744000,-324000,2068000,26949000,26949000,-9598000,17351000,17351000,17351000,17351000,17351000,2753000,18320000,-17265000,21159000,-7662000,-7665000,1761000,951000,951000,-99000,2613000,16107000,16107000,-197000,15910000,27958000,94807000,12629000,0.14371,0.04675,0.03218,0.72785,0.36515,0.33788,11.3455,0.26578
"22","2016_Q3",22.2528125,"Down",641235000,-538048000,103187000,-55573000,-24914000,-30659000,47614000,-1042000,-4e+05,-642000,46572000,46572000,-13368000,33204000,33204000,33204000,33204000,33204000,3200000,-2849999.99999999,32895000,66449000,-7573000,-7974000,-746999.999999993,1488000,1488000,-68000,673000,59148000,59148000,-130000,59018000,50814000,94233000,89504000,0.16092,0.07425,0.05178,2.69558,0.69682,0.64488,13.45691,1.87832
"23","2016_Q4",25.1750793650794,"Up",513468000,-434485000,78983000,-55275000,-23549000,-31726000,23708000,-270000,-417000,147000,23438000,23438000,-7392000,16046000,16046000,16046000,16046000,16046000,3585000,59621000,-72674000,6578000,-9885000,-10499000,-747000,8222000,8222000,2400000,9875000,5954000,5954000,259000,6213000,27293000,93795000,-47874000,0.15382,0.04617,0.03125,-2.98355,0.33396,0.30717,10.68679,-0.9964
"24","2017_Q1",26.4758064516129,"Up",531215000,-460359000,70856000,-59892000,-26201000,-33691000,10964000,-519000,-453000,-66000,10445000,10445000,-4965000,5480000,5480000,5480000,5480000,5480000,3744000,-3349000,7926000.00000003,13801000,-8988000,-8990000,-356000,1525000,1525000,-1228000,-59000.0000000019,4752000,4752000,7000.00000000012,4759000,14708000,93589000,18611000,0.13338,0.02064,0.01032,3.39617,0.1131,0.10485,10.96351,0.3841
"25","2017_Q2",24.4293650793651,"Down",528968000,-448904000,80064000,-59862000,-26671000,-33191000,20202000,-301000,-330000,29000,19901000,19901000,-6369000,13532000,13532000,13532000,13532000,13532000,3802000,-31715000,3338000,-11043000,-11646000,-11530000,3827000,-15522000,2939000,-339000,-12034000,-34607000,-34607000,339000,-34268000,24004000,98195000,22065000,0.15136,0.03819,0.02558,1.63058,0.28095,0.26471,10.98241,0.45811
"26","2017_Q3",25.5449206349206,"Up",651954000,-558576000,93378000,-61615000,-27582000,-34033000,31763000,-452000,-497000,45000,31311000,31311000,-9315000,21996000,21996000,21996000,21996000,21996000,3909000,-34929000,-34803000,-43827000,-5726000,-6129000,29619000,2934000,2934000,329000,32882000,-17074000,-17074000,-870000,-17944000,35672000,127175000,4458000,0.14323,0.04872,0.03374,0.20267,0.45707,0.42693,13.54738,0.09264
"27","2017_Q4",21.4606349206349,"Down",631124000,-542798000,88326000,-65911000,-30041000,-35870000,22415000,-609000,-558000,-51000,21806000,21806000,-5140000,16666000,16666000,16666000,16666000,16666000,4057000,-21101000,-35024000,-35402000,-5898000,-5897000,16934000,3250000,3250000,-569000,19615000,-21684000,-21684000,711000,-20973000,26472000,145511000,-9310000,0.13995,0.03552,0.02641,-0.55862,0.34402,0.32101,13.02764,-0.19218
"28","2018_Q1",20.0318032786885,"Down",672883000,-584693000,88190000,-67695000,-26797000,-40898000,20495000,-2225000,-915000,-1310000,18270000,18270000,-3610000,14660000,14660000,14660000,14660000,14660000,4589000,-32452000,6984000,-6219000,-6095000,-5846000,15944000,1755000,1755000,-438000,17261000,5196000,5196000,-225000,4971000,25084000,161447000,29583000,0.13106,0.03046,0.02179,2.01794,0.30042,0.28107,13.78915,0.60623
"29","2018_Q2",21.8265625,"Up",716737000,-630683000,86054000,-76735000,-36067000,-40668000,9319000,-1879000,-1083000,-796000,7440000,7440000,-726000,6079000,6079000,6079000,6079000,6079000,4602000,3513000,-2356000,11838000,-4956000,-5056000,18232000,3043000,3043000,-1224000,20051000,26833000,26833000,25000,26858000,13921000,0,7335000,0.12006,0.013,0.00848,1.20661,0.12382,0.1159,14.59839,0.1494
"30","2018_Q3",21.137619047619,"Down",826983000,-721289000,105694000,-82999000,-43455000,-39544000,22695000,-1482000,-1088000,-394000,21213000,21213000,-20840000,-783000,-783000,-783000,-783000,-783000,5602000,-2225000,1783000,4377000,-7145000,-9145000,-2567000,0,0,-965000,-3531999.99999999,-8300000,-8300000,71000,-8229000,28297000,-1.49011611938477e-08,43775000,0.12781,0.02744,-0.000950000000000001,-55.90677,-0.01587,-0.01506,16.7626,0.8873
"31","2018_Q4",14.284126984127,"Down",835110000,-729193000,105917000,-84732000,-42448000,-42284000,21185000,-1714000,-1326000,-388000,19471000,19471000,-4159000,14595000,14595000,14595000,14595000,14595000,5982000,15016000,-32423000,3170000,-4534000,-3534000,7869000,0,0,-963000,6906000,6542000,6542000,169000,6711000,27167000,0,-5631000,0.12683,0.02537,0.01748,-0.38582,0.29531,0.28159,16.89719,-0.11393
"32","2019_Q1",17.6011475409836,"Up",981662000,-849333000,132329000,-90814000,-48206000,-42608000,41515000,-1424000,-2229000,805000,40091000,40091000,-12718000,26274000,26274000,26274000,26274000,26274000,5660000,-90920000,123948000,64962000,-8189000,-8189000,-72523000,1.16415321826935e-10,0,-1734000,-74257000,-17484000,-17484000,-271000,-17755000,47175000,116181000,175652000,0.1348,0.04229,0.02676,6.68539,0.53052,0.50204,19.82154,3.54673
"33","2019_Q2",20.447619047619,"Up",971118000,-847879000,123239000,-94746000,-51752000,-42994000,28493000,-2209000,-2378000,169000,26284000,26284000,-5523000,19342000,19342000,19342000,19342000,19342000,5946000,47020000,-34646000,37662000,-3171000,-3171000,-36594000,7314.94736360639,12480.1533336945,-1059000,-37653000,-3162000,-3162000,-72000,-3234000,34439000,79299000,2145000,0.1269,0.02934,0.01992,0.1109,0.38914,0.37041,19.53803,0.04316
"34","2019_Q3",18.79484375,"Down",931509000,-803587000,127922000,-102181000,-56257000,-45924000,25741000,-1207000,-1831000,624000,24534000,24534000,-4520000,18220000,18220000,18220000,18220000,18220000,6163000,29386000,-10329000,43440000,-6135000,-6135000,-31129000,-5.82076609134674e-11,0,-542000,-31671000,5634000,5634000,-29000,5605000,31904000,48172000,19960000,0.13733,0.02763,0.01956,1.0955,0.36554,0.35868,18.68849,0.40045
"35","2019_Q4",21.14890625,"Up",743499000,-631172000,112327000,-99468000,-54668000,-44800000,12859000,-1357000,-1271000,-86000,11502000,11502000,-497000,10646000,10646000,10646000,10646000,10646000,6076000,117054000,-34178000,99598000,-6475000,-6475000,-25522000,0,0,-1097000,-26619000,66504000,66504000,13000,66517000,18935000,22660000,-21221000,0.15108,0.0173,0.01432,-1.99333,0.21298,0.2061,14.87385,-0.42453
"36","2020_Q1",25.261935483871,"Up",854234000,-722200000,132034000,-101894000,-55705000,-46189000,30140000,-2937000,-1210000,-1727000,27203000,27203000,-4344000,23710000,23710000,23710000,23710000,23710000,6017000,-143570000,195697000,81854000,15781000,-9068000,1093000,-1.16415321826935e-10,1.16415321826935e-10,-978000,115000,72901000,72901000,-31000,72870000,36157000,23647000,251979000,0.15456,0.03528,0.02776,10.62754,0.47294,0.45428,17.03936,5.02621
"37","2020_Q2",25.1646031746032,"Down",799804000,-668875000,130929000,-98064000,-48492000,-49572000,32865000,1037000,-552000,1589000,33902000,33902000,-8568000,26345000,26345000,26345000,26345000,26345000,6826000,48910000,-76521000,5560000,-13325000,-13325000,-1116000,-3555219.24010031,-3978444.01005193,-599000,-1715000,-9480000,-9480000,-38000,-9518000,39691000,22544000,-41587000,0.1637,0.04109,0.03294,-1.57855,0.52403,0.50954,15.9089,-0.82721
"38","2020_Q3",27.31953125,"Up",870943000,-732539000,138404000,-110589000,-55017000,-55572000,27815000,-976000,-560000,-416000,26839000,26839000,-2113000,23706000,23706000,23706000,23706000,23706000,7063000,8942000,41882000,81593000,-10764000,-10014000,0,2704000,2704000,-3065000,-361000,71218000,71218000,213000,71431000,34878000,23250000,68109000,0.15891,0.03194,0.02722,2.87307,0.47427,0.45754,17.42444,1.36262
"39","2020_Q4",28.19921875,"Up",772408000,-639048000,133360000,-117814000,-68228000,-49586000,15546000,419000,-518000,937000,15965000,15965000,899000,15807000,15807000,15807000,15807000,15807000,7083000,-1201000,-43126000,-21437000,-10797000,-10797000,1e+07,20349000,20349000,-2892000,27457000,-4777000,-4777000,-12000,-4789000,22629000,33158000,-32193000,0.17265,0.02013,0.02046,-2.03663,0.30684,0.29446,14.99385,-0.62492
"40","2021_Q1",34.016393442623,"Up",896126000,-772609000,123517000,-114089000,-47341000,-66748000,9428000,-1306000,-606000,-7e+05,8122000,8122000,6860000,18450000,18450000,18450000,18450000,18450000,7500000,-34972000,-87028000,-96050000,-9452000,-9452000,-4538000,5290000,5290000,-2337000,-1585000,-107087000,-107087000,213000,-106874000,16928000,29401000,-86412000,0.13783,0.01052,0.02059,-4.68358,0.35362,0.34069,17.17539,-1.6562
"41","2021_Q2",36.7679365079365,"Up",762250000,-632335000,129915000,-99469000,-44671000,-54798000,30446000,-1515000,-674000,-841000,28931000,28931000,-3660000,26601000,26601000,26601000,26601000,26601000,7517000,85494000,943000,120555000,-11918256.7625246,-11851000,6137000,-23433000,5020000,-2031000,-19327000,89377000,89377000,185000,89562000,37963000,36027000,-140841427.617317,0.17044,0.03994,0.0349,-7.45577833847882,0.50834,0.48876,14.56649,-2.72650623576628
"42","2021_Q3",36.27125,"Down",830306000,-694211000,136095000,-98730000,-46001000,-52729000,37365000,-3108000,-569000,-2539000,34257000,34257000,-5108000,27674000,27674000,27674000,27674000,27674000,6910000,-69139000,97802000,63247000,-16890999.7579702,-13700000,7941000,-40624000,5747000,-1687000,-34370000,15177000,15177000,355000,15532000,44275000,45498000,-186295899.392838,0.16391,0.045,0.03333,-9.78324957903198,0.53737,0.51646,16.12276,-3.65498633185127
"43","2021_Q4",40.5340625,"Up",895881000,-772864000,123017000,-105962000,-48050000,-57912000,17055000,1410000,-607000,2017000,18465000,18465000,227000,18428000,18428000,18428000,18428000,18428000,6877000,3929000,-153644000,-124410000,-19076000,-19076000,40881000,-33567000,9577000,-2062000,5252000,-138234000,-138234000,-178000,-138412000,23932000,85370000,-149015000,0.13731,0.01904,0.02057,-8.08634,0.36443,0.34619,17.71671,-2.94688
"44","2022_Q1",41.3803225806452,"Up",1068985000,-923474000,145511000,-106430000,-47500000,-58930000,39081000,-2106000,-635000,-1471000,36975000,36975000,1605000,39162000,39162000,39162000,39162000,39162000,6881000,7124999.99999999,10395000,63563000,-13389000,-13389000,11496000,-3989000,8043000,-3502000,4004999.99999999,54179000,54179000,198000,54377000,45962000,98190000,41363000,0.13612,0.03656,0.03663,1.0562,0.77961,0.74189,21.28053,0.82342
"45","2022_Q2",45.6106451612903,"Up",1032730000,-894591000,138139000,-109011000,-43868000,-65143000,29128000,-754000,-804000,50000,28374000,28374000,-3325000,25437000,25437000,25437000,25437000,25437000,7548000,10050000,-177606000,-134571000,4414371.73975256,-11902000,180330000,6018000,6018000,-2086000,184262000,37789000,37789000,-11000,37778000,36676000,278808000,441605086.494923,0.13376,0.0282,0.02463,20.4320035412446,0.50077,0.48071,20.33093,8.80490871619122
"46","2022_Q3",56.956875,"Up",1172419000,-1008676000,163743000,-112694000,-47223000,-65471000,51049000,-1757000,-1150000,-607000,49292000,49292000,-7599000,41932000,41932000,41932000,41932000,41932000,8133000,8327000,-111543000,-53151000,38368515.2192577,-12404000,40094000,5570000,5570000,-2753000,42911000,-22644000,-22644000,1999.99999999994,-22642000,59182000,315936000,1105079559.48477,0.13966,0.04354,0.03577,52.6702996237338,0.8255,0.79243,23.08093,22.0774281485737
