"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",28.331875,"Up",57356000,-32201000,25155000,-31361000,-26965000,-4396000,-6206000,-4328000,-4328000,-4355000,-10534000,-10534000,-131000,-10665000,-10665000,-10665000,-10665000,148065000,148065000,31110000,31110000,9199000,6383000,6383000,194757000,24982000,61160000,37536000,2056000,86142000,280899000,26566000,8544000,18022000,42980000,106186000,2186000,2186000,108372000,151352000,621763000,-492216000,129547000,129547000,280899000,-10665000,2904000,7230000,-669000,-1200000,-1069000,-1069000,94361000,94361000,-1320000,93041000,90772000,90772000,90772000,-3302000,120919000,-4909000,0.43858,-0.1082,-0.18594,-0.08233,-0.03797,0.46029,4.53134,1.16832,0.43047,-0.20103,-0.20103,1.08112,2.44187,-0.09253,-0.04221,-0.01943,8.22108,4.37415
"12","2013_Q3",33.5578125,"Up",60092000,-33259000,26833000,-32655000,-27481000,-5174000,-5822000,-4254000,-4254000,-4291000,-10076000,-10401000,-118000,-10519000,-10519000,-10519000,-10519000,150944000,150944000,33650000,33650000,5979000,6556000,6556000,197129000,29334000,59689000,37536000,1886000,89023000,286152000,31717000,11441000,20276000,33853000,111718000,2246000,2246000,113964000,147817000,641070000,-502735000,138335000,138335000,286152000,-10519000,2859000,8315000,3717000,4372000,-1626000,-1626000,3244000,3244000,-1111000,132999.999999985,2879000,2879000,2879000,-2963000,112954000,-754000,0.44653,-0.09688,-0.17505,-0.07604,-0.03676,0.07168,5.82309,1.06854,0.39473,-0.19539,-0.19539,1.11623,2.56962,-0.01401,-0.04149,-0.00297,12.82146,6.52525
"13","2013_Q4",36.94015625,"Up",61103000,-33708000,27395000,-44708000,-38937000,-5771000,-17313000,-3972000,-3972000,-3999000,-21285000,-21285000,-5000,-21290000,-21290000,-21290000,-21290000,153905000,153905000,34465000,34465000,5395000,5921000,5921000,199686000,31399000,58411000,37536000,1721000,89810000,289496000,45134000,15117000,30017000,48294000,117209000,2567000,2567000,119776000,168070000,645451000,-524025000,121426000,121426000,289496000,-21290000,3096000,9434000,12454000,3694000,-1822000,-1822000,1559000,1559000,-134000,1089000,2961000,2961000,2961000,-14217000,119802000,-3580000,0.44834,-0.28334,-0.34843,-0.17533,-0.07354,0.16815,4.1348,1.38414,0.41383,-0.39094,-0.39094,1.12201,2.2297,-0.06574,-0.08733,-0.01468,2.39875,1.96979
"14","2014_Q1",44.2396721311475,"Up",68533000,-35515000,33018000,-32812000,-26388000,-6424000,206000,-2860000,-4335000,-4244000,-2653999.99999999,-2654000,154000,-2500000,-2500000,-2500000,-2500000,149727000,149727000,33067000,33067000,9464000,5940000,5940000,198198000,32356000,57401000,37536000,1825000,89757000,287955000,38837000,19359000,19478000,42374000,119041000,1943000,1943000,120984000,163358000,651122000,-526525000,124597000,124597000,287955000,-2500000,2947000,5012000,-8977000,-3518000,-2790000,-2790000,3488000,3488000,-7e+05,2130000,-4178000,-4178000,-4178000,3153000,121678000,-8768000,0.48178,0.00301000000000001,-0.03648,-0.02006,-0.00867999999999999,3.5072,4.67735,1.31109,0.42256,-0.04571,-0.04571,1.25293,2.2779,-0.1603,-0.01007,-0.03532,-8.89597,-136.16019
"15","2014_Q2",38.431746031746,"Down",69161000,-36353000,32808000,-34694000,-27915000,-6779000,-1886000,-4193000,-4458000,-4489000,-6079000,-6079000,-65000,-6144000,-6144000,-6144000,-6144000,145614000,145614000,36679000,36679000,10449000,7115000,7115000,199857000,32556000,56115000,37536000,1652000,88671000,288528000,39754000,20983000,18771000,43118000,120934000,1984000,1984000,122918000,166036000,655161000,-532669000,122492000,122492000,288528000,-6144000,3070000,7779000,-5722000,-1017000,-2157000,-2157000,3561000,3561000,-3882000,-939000,-4113000,-4113000,-4113000,1184000,123686000,-6630000,0.47437,-0.02727,-0.08884,-0.05016,-0.02129,1.0791,4.63512,1.35548,0.42868,-0.11153,-0.11153,1.25544,2.22353,-0.12035,-0.02476,-0.02672,-18.52027,11.62672
"16","2014_Q3",36.50765625,"Down",72013000,-36248000,35765000,-41045000,-34368000,-6677000,-5280000,-4836000,-3946000,-3975000,-10116000,-29059000,-52000,-29111000,-29111000,-29111000,-29111000,175545000,175545000,41797000,41797000,8765000,5725000,5725000,231832000,34159000,59337000,37536000,5919000,93496000,325328000,43198000,18610000,24588000,71199000,169763000,6482000,6482000,176245000,247444000,639664000,-561780000,77884000,77884000,325328000,-29111000,3030000,27414000,-825000,508000,-3588000,-3588000,1778000,1778000,-2008000,33011000,29931000,29931000,29931000,-2250000,196509000,-6611000,0.49665,-0.07332,-0.40425,-0.37377,-0.08948,0.2271,3.25611,3.17708,0.60403,-0.52522,-0.52522,1.29927,1.40519,-0.11928,-0.10364,-0.02354,-9.31733000000001,-3.97044999999999
"17","2014_Q4",42.76984375,"Up",74985000,-36943000,38042000,-40918000,-33760000,-7158000,-2876000,-3688000,-3011000,-3043000,-6564000,-10824000,-21000,-10845000,-10845000,-10845000,-10845000,146372000,146372000,47145000,47145000,9662000,3434000,3434000,206613000,36582000,58002000,37536000,5493000,94584000,301197000,42940000,17726000,25214000,47764000,170513000,2580000,2580000,173093000,220857000,652965000,-572625000,80340000,80340000,301197000,-10845000,3068000,17323000,-4724000,4822000,-3108000,-3108000,1538000,1538000,-2683000,-30887000,-29173000,-29173000,-29173000,192000,174503000,-7619000,0.50733,-0.03835,-0.14463,-0.13499,-0.03601,0.70254,4.32571,2.74903,0.57937,-0.19429,-0.19429,1.34335,1.43929,-0.13649,-0.04213,-0.0296,146.51562,-9.78129
"18","2015_Q1",33.7539344262295,"Down",15162000,5349000,20511000,-19343000,-12057000,-7286000,1168000,-3086000,-3163000,-3071000,-1918000,-1918000,78000,-1840000,-5400000,-5400000,-5400000,151193000,151193000,39882000,39882000,13099000,4022000,4022000,208196000,37069000,51917000,37536000,317000,88986000,297182000,39362000,14659000,24703000,44296000,166283000,2774000,2774000,169057000,213353000,661867000,-578025000,83829000,83829000,297182000,-5400000,3055000,6710000,238999.999999999,4604000,-2633000,-2633000,4709000,4709000,-92000.0000000009,2847000,4818000,4818000,4817999.99999999,4223000,169663000,1751000,1.35279,0.07703,-0.35615,-0.06442,-0.01817,-0.32426,4.70011,2.5451,0.57091,-0.09612,-0.0961200000000001,0.26988,1.49215,0.03117,-0.02107,0.00683,4.37367,15.81336
"19","2015_Q2",29.4752380952381,"Down",48148000,-18955000,29193000,-36459000,-28252000,-8207000,-7266000,-3152000,-3179000,-3179000,-10418000,-10418000,-24000,-10442000,-11834000,-11834000,-11834000,145608000,145608000,36093000,36093000,20065000,3661000,3661000,205427000,44612000,55677000,37536000,4986000,100289000,305716000,39513000,14246000,25267000,47376000,174560000,3038000,3038000,177598000,224974000,670601000,-589859000,80742000,80742000,305716000,-11834000,3433000,7516000,-2603000,-3488000,-4346000,-4346000,4876000,4876000,-1434000,2249000,-5585000,-5585000,-5585000,-3833000,180556000,-10758000,0.60632,-0.15091,-0.24578,-0.14657,-0.03871,0.90908,4.3361,2.78633,0.5906,-0.20946,-0.20946,0.85223,1.42915,-0.19042,-0.04477,-0.0407,-9.11766,-4.8098
"20","2015_Q3",30.33046875,"Up",60551000,-30036000,30515000,-44574000,-32505000,-12069000,-14059000,-3193000,-3221000,-3221000,-17252000,-17252000,-15000,-17267000,-15432000,-15432000,-15432000,145137000,145137000,31826000,31826000,23435000,3431000,3431000,203829000,42040000,54524000,37536000,4687000,96564000,300393000,44359000,17916000,26443000,52682000,174535000,2921000,2921000,177456000,230138000,675546000,-605291000,70255000,70255000,300393000,-15432000,3681000,7083000,5453000,785000,-255000,-255000,1613000,1613000,-993000,-1001000,-471000,-471000,-471000,-10378000,180770000,-5165000,0.50396,-0.23218,-0.25486,-0.21966,-0.05137,0.33469,3.86904,3.27575,0.60178,-0.27165,-0.27165,1.06588,1.2367,-0.09092,-0.06077,-0.02034,-3.43351000000001,-2.53453
"21","2015_Q4",33.6634375,"Up",71393000,-39823000,31570000,-46365000,-36330000,-10035000,-14795000,-3146000,-3167000,-3167000,-17941000,-17941000,-44000,-17985000,-18927000,-18927000,-18927000,145467000,145467000,31803000,31803000,13019000,4049000,4049000,194338000,41536000,57246000,39823000,4384000,98782000,293120000,51161000,15614000,35547000,59437000,174931000,3619000,3619000,178550000,237987000,679818000,-624218000,55133000,55133000,293120000,-18927000,4292000,7736000,15645000,8746000,-2525000,-7240000,554000,554000,-41000,-956000,550000,550000,330000,-10503000,180951000,2661000,0.4422,-0.20723,-0.26511,-0.3433,-0.06457,-0.14059,3.26965,4.3166,0.61733,-0.33265,-0.33265,1.25475,0.96897,0.04677,-0.07896,0.0111,-3.37846,-2.39838
"22","2016_Q1",31.3986885245902,"Down",83801000,-41808000,41993000,-54609000,-41712000,-12897000,-12616000,-3163000,-3145000,-3145000,-15779000,-15779000,-129000,-15908000,-27327000,-27327000,-27327000,122672000,122672000,42530000,42530000,12024000,13535000,4283000,190761000,41793000,42572000,39607000,76000,84365000,275126000,51957000,15213000,36744000,65156000,171967000,3952000,3952000,175919000,241075000,686250000,-651545000,34051000,34051000,275126000,-27327000,4432000,14791000,-10491000,-18595000,-3482000,-3482000,808000,808000,-178000,-663000,-22740000,-22740000,-22795000,-8184000,177486000,-22028000,0.5011,-0.15055,-0.32609,-0.80253,-0.09933,0.80609,2.92776,7.07982,0.64511,-0.47993,-0.47993,1.47176,0.59802,-0.38687,-0.12681,-0.10222,-6.6977,-4.3448
"23","2016_Q2",31.1090625,"Down",81213000,-37162000,44051000,-51750000,-38761000,-12989000,-7699000,-2926000,-3096000,-3096000,-10625000,-10625000,-64000,-10689000,-12481000,-12481000,-12481000,111635000,111635000,40474000,40474000,14024000,5712000,5712000,171845000,41695000,41234000,39761000,588000,82929000,254774000,43867000,13482000,30385000,49775000,173681000,4922000,4922000,178603000,228378000,690676000,-664026000,26396000,26396000,254774000,-12481000,3422000,8049000,-9507000,-10517000,-3160000,1454000,796000,796000,-1640000,-2184000,-11247000,-11247000,-11037000,-4277000,178128000,-16880000,0.54241,-0.0948,-0.15368,-0.47284,-0.04899,1.35246,3.45244,8.65199,0.69916,-0.21885,-0.21885,1.42405,0.46285,-0.29599,-0.05959,-0.08059,-15.54664,-8.63658
"24","2016_Q3",39.5375,"Up",87330000,-36873000,50457000,-51745000,-38792000,-12953000,-1288000,-2998000,-3127000,-3127000,-4286000,-4286000,-65000,-4351000,-4198000,-4198000,-4198000,111266000,75661000,38700000,38700000,24486000,6838000,6838000,181290000,41131000,40624000,39763000,88000.0000000002,81755000,263045000,51543000,21605000,29938000,55181000,175690000,4730000,4730000,180420000,235601000,695911000,-668224000,27444000,27444000,263045000,-4198000,3423000,7933000,-3477000,3681000,-2745000,-37242000,694000,694000,-970000,-2408000.00000001,-35969000,-35969000,-35974000,2135000,178005000,-4022000,0.57777,-0.01475,-0.04807,-0.15297,-0.01596,0.95808,3.28537,8.58479,0.67671,-0.0734,-0.0734,1.52686,0.47982,-0.07032,-0.01997,-0.01914,31.25948,-51.81599
"25","2016_Q4",37.2520634920635,"Down",94871000,-39230000,55641000,-53223000,-39489000,-13734000,2418000,-2818000,-3029000,-3029000,-4e+05,-2951000,-66000,-3017000,-3081000,-3081000,-3081000,282695000,215402000,38548000,38548000,32663000,7901000,7901000,361807000,50911000,40479000,39730000,98000,91390000,453197000,51944000,18212000,33732000,54252000,328962000,4888000,4888000,333850000,388102000,736787000,-671305000,65095000,65095000,453197000,-3081000,3629000,11564000,-9435000,2677000,-13300000,-45039000,3358000,3358000,-229000,182150000,139788000,139788000,139741000,6047000,330023000,-16622000,0.58649,0.02549,-0.03248,-0.04733,-0.0068,5.395,6.66901,5.96209,0.72821,-0.05373,-0.05373,1.6545,1.13522,-0.28988,-0.0077,-0.04155,7.82669,19.5732
"26","2017_Q1",42.8908064516129,"Up",103575000,-42638000,60937000,-65072000,-49038000,-16034000,-4135000,-4821000,-5136000,-5136000,-8956000,-8956000,-197000,-9153000,-9119000,-9119000,-9119000,298570000,137174000,28803000,28803000,35514000,7073000,7073000,369960000,44753000,41934000,39677000,216000,86687000,456647000,54388000,13160000,41228000,55697000,332768000,5032000,5032000,337800000,393497000,744300000,-680424000,63150000,63150000,456647000,-9119000,3359000,16994000,8836000,20070000,-2910000,-97183000,6000,6000,-27000,-991000,-78104000,-78104000,-78228000,-776000,332768000,5347000,0.58834,-0.03992,-0.08804,-0.1444,-0.01997,-0.58636,6.64237,6.23115,0.72872,-0.15876,-0.15876,1.80322,1.09943,0.09309,-0.02274,0.01334,-44.06959,-8.27037
"27","2017_Q2",43.4196825396825,"Up",101713000,-42315000,59398000,-64706000,-47206000,-17500000,-5308000,-4573000,-5007000,-5007000,-9881000,-9881000,-96000,-9977000,-9977000,-9977000,-9977000,254028000,76038000,40648000,40648000,34333000,8159000,8159000,337168000,65279000,42510000,39697000,605000,107789000,444957000,38252000,6413000,31839000,39379000,336762000,5231000,5231000,341993000,381372000,754643000,-690401000,63585000,63585000,444957000,-9977000,3323000,11413000,-26594000,-21835000,-25679000,-42286000,6335000,6335000,-3139000,2927000,-61194000,-61194000,-61136000,-1985000,336762000,-54162000,0.58398,-0.05219,-0.09809,-0.15691,-0.02242,5.42869,8.56213,5.99783,0.75684,-0.17293,-0.17293,1.76298,1.10211,-0.93878,-0.0246,-0.13354,-41.6796,-15.58666
"28","2017_Q3",54.6022222222222,"Up",109756000,-45117000,64639000,-67997000,-49968000,-18029000,-3358000,-4308000,-4796000,-4796000,-7666000,-7666000,-101000,-7767000,-7767000,-7767000,-7767000,258605000,73488000,37753000,37753000,33956000,8431000,8431000,338745000,75878000,44704000,39759000,1559000,120582000,459327000,46891000,12243000,34648000,48018000,340836000,5748000,5748000,346584000,394602000,763422000,-698168000,64725000,64725000,459327000,-7767000,3384000,12405000,9942000,17964000,-13389000,-21980000,1556000,1556000,-289000,1267000,-2749000,-2749000,-2549999.99999999,26000,340836000,-3320000,0.58893,-0.0306,-0.07077,-0.12,-0.01691,0.42745,7.05454,6.09659,0.74203,-0.13397,-0.13397,1.8931,1.11639,-0.05726,-0.01888,-0.00807,3162.73077,-24.48809
"29","2017_Q4",65.6290476190476,"Up",121775000,-48151000,73624000,-71577000,-51436000,-20141000,2047000,-4153000,-4709000,-4709000,-2106000,-2106000,-121000,-2227000,-2227000,-2227000,-2227000,275756000,102233000,47173000,47173000,35054000,8037000,8037000,366020000,88491000,45837000,39854000,1614000,134328000,500348000,73545000,28648000,44897000,74940000,344953000,6201000,6201000,351154000,426094000,774772000,-700395000,74254000,74254000,500348000,-2227000,3826000,13939000,7740000,23278000,-8745000,2781000,2844000,2844000,-388000,2456000,28515000,28515000,28745000,5873000,344953000,4989000,0.60459,0.01681,-0.01829,-0.02999,-0.00445,-2.24023,4.88417,5.73833,0.68943,-0.03833,-0.03833,2.09596,1.27804,0.08587,-0.00523,0.01173,11.78222,33.8041
"30","2018_Q1",77.6803278688525,"Up",130524000,-51016000,79508000,-80276000,-61494000,-18782000,-768000,-5544000,-6699000,-6699000,-6312000,-6921000,61000,-6860000,-6860000,-6860000,-6860000,440056000,272577000,53373000,53373000,33793000,9949000,9949000,537171000,107864000,46160000,39840000,1969000,279573000,816744000,83669000,24413000,59256000,86025000,566173000,6030000,6030000,572203000,658228000,866264000,-707255000,158516000,158516000,816744000,-6860000,3321000,14812000,10527000,21800000,-29413000,-149312000,5069000,5069000,-238000,297897000,170385000,170385000,170344000,2553000,566173000,-16394000,0.60914,-0.00588,-0.05256,-0.04328,-0.0084,2.3898,6.24436,4.15244,0.69321,-0.11778,-0.11778,2.24103,2.72164,-0.28148,-0.00939,-0.02244,49.3995300000001,-164.21484
