"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.4395161290323,"Down",162125000,-82153000,79972000,-69696000,-34113000,-35583000,10276000,3438000,1276000,-588000,1864000,-368000,13714000,13714000,-4443000,9271000,9271000,9271000,9271000,233868000,43535000,190333000,102693000,102693000,107183000,25343000,4354000,8260000,469087000,81905000,327106000,24160000,3492000,6843000,13825000,433171000,902258000,83675000,52285000,4186000,27204000,31672000,31672000,115347000,15162000,15162000,81467000,196814000,222953000,-397078000,864258000,15311000,705444000,705444000,902258000,9271000,3751000,3142000,11595000,27759000,-2972000,-2972000,-2972000,1753000,-1219000,-5697000,-14542000,604000,-20173000,6367000,6367000,2e+05,6567000,14027000,66305000,27093000,0.49327,0.06338,0.05718,0.01314,0.01028,2.92234,4.06675,0.27899,0.07349,0.14705,0.14678,2.57158,11.18953,0.42974,0.09036,0.01902,0.03443,0.6145,-11.94575,-16.30625
"12","2013_Q1",16.9706666666667,"Up",139756000,-72373000,67383000,-64509000,-31393000,-33116000,2874000,3530000,1415000,-591000,2006000,-82000.0000000001,6404000,6404000,-2443000,3961000,3961000,3961000,3961000,228938000,68457000,160481000,79675000,79675000,101377000,33456000,4148000,16253000,443446000,80246000,332729000,27235000,3492000,10261000,13482000,440210000,883656000,70141000,42173000,1211000,26757000,35326000,35326000,105467000,17406000,17406000,85783000,191250000,225314000,-405641000,861465000,11268000,692406000,692406000,883656000,3961000,3713000,-384000,13828000,21118000,-1561000,-1561000,-1561000,21088000,19527000,-5640000,-9667000,1117000,-15763000,24882000,24882000,40000,24922000,6587000,68377000,21297000,0.48215,0.02056,0.02834,0.00572,0.00448,5.37667,4.20459,0.27621,0.07738,0.06332,0.0632,2.23427,11.06946,0.34047,0.09017,0.01234,0.02737,1.42388,-24.37544,-55.86674
"13","2013_Q2",18.00546875,"Up",143013000,-73336000,69677000,-63114000,-30603000,-32511000,6563000,3160000,1187000,-581000,1768000,-1672000,9723000,9723000,-1833000,7890000,7890000,7890000,7890000,247876000,58640000,189236000,82102000,82102000,95767000,33555000,4419000,16164000,459300000,77781000,310484000,26771000,3492000,10680000,12599000,415036000,874336000,78114000,48933000,1585000,27596000,33563000,33563000,111677000,18541000,18541000,89531000,201208000,227545000,-427820000,863456000,9947000,673128000,673128000,874336000,7890000,3663000,1073000,13530000,26156000,-643000,-643000,-643000,-7278000,-7921000,-5586000,-22491000,55000,-28077000,-9842000,-9842000,25000,-9817000,10226000,70990000,24946000,0.48721,0.04589,0.05517,0.01172,0.00902,3.16172,4.11275,0.29891,0.08119,0.12757,0.1272,2.31237,10.88376,0.40335,0.09032,0.01767,0.03271,0.70798,-17.29767,-26.952
"14","2013_Q3",21.1721875,"Up",162233000,-82435000,79798000,-65745000,-32685000,-33060000,14053000,2781000,1099000,-575000,1674000,129000,16834000,16834000,-6975000,9859000,9859000,9859000,9859000,190140000,37559000,152581000,103516000,103516000,87773000,36860000,4926000,18820000,418289000,77670000,292660000,27709000,3492000,12171000,12046000,398039000,816328000,90527000,62097000,2317000,26113000,25808000,25808000,116335000,19042000,19042000,90308000,206643000,229675000,-494228000,867702000,6536000,609685000,609685000,816328000,9859000,3710000,1551000,-12311000,2809000,-2558000,-2558000,-2558000,51711000,49153000,-5396000,-66607000,764000,-71982000,-20020000,-20020000,-1061000,-21081000,17763000,71266000,9869000,0.49187,0.08662,0.06077,0.01617,0.01208,1.00101,3.59556,0.33893,0.0873,0.16699,0.16628,2.7479,10.32682,0.16716,0.0914,0.02179,0.0141,0.54732,-6.69223,-8.45898
"15","2013_Q4",20.6184375,"Down",177404000,-94857000,82547000,-65337000,-32794000,-32543000,17210000,2771000,998000,-581000,1579000,22000,19981000,19981000,-3776000,16205000,16205000,16205000,16205000,190951000,54311000,136640000,108018000,108018000,92972000,38455000,4693000,20268000,430396000,77658000,298122000,26808000,3492000,11605000,11711000,402588000,832984000,107341000,73672000,548000,33121000,19658000,19658000,126999000,20459000,20459000,93332000,220331000,231943000,-506664000,878384000,8990000,612653000,612653000,832984000,16205000,3648000,348000,2436000,22637000,-2922000,-2922000,-2922000,15019000,12097000,-5238000,-12717000,1513000,-17870000,16864000,16864000,-112000,16752000,20858000,72873000,24148000,0.46531,0.09701,0.09135,0.02645,0.01945,1.49016,3.38897,0.35963,0.08748,0.28038,0.27716,3.06943,10.60008,0.41781,0.09063,0.03037,0.0342,0.32323,-5.66104,-6.86101
"16","2014_Q1",21.2491803278689,"Up",159094000,-82230000,76864000,-66225000,-33284000,-32941000,10639000,3678000,1403000,-588000,1991000,610000,14317000,14317000,-2477000,11840000,11840000,11840000,11840000,164058000,58298000,105760000,85814000,85814000,90111000,39657000,4325000,18249000,379640000,76739000,309225000,24294000,3492000,9622000,11180000,410258000,789898000,80100000,48282000,5002000,26816000,22205000,22205000,102305000,22144000,22144000,82987000,185292000,234308000,-524906000,884451000,10753000,604606000,604606000,789898000,11840000,3607000,-601000,-6684000,8162000,-2050000,-2050000,-2050000,22490000,20440000,-5192000,-18823000,1297000,-23963000,4639000,4639000,-652000,3987000,14246000,60843000,7989000,0.48314,0.06687,0.07442,0.01958,0.01499,0.67475,3.71086,0.30647,0.07703,0.20656,0.20446,2.77549,10.54772,0.13937,0.09058,0.02477,0.01162,0.43851,-7.24519,-9.70157
"17","2014_Q2",18.7477777777778,"Down",147004000,-69214000,77790000,-66492000,-33939000,-32553000,11298000,3381000,1067000,-227000,1294000,122000,14679000,14679000,-5072000,9607000,9607000,9607000,9607000,141975000,52815000,89160000,100524000,100524000,87396000,49153000,5005000,28967000,379048000,75885000,309452000,26916000,3492000,11491000,11933000,412253000,791301000,92500000,59097000,5272000,28131000,27533000,27533000,120033000,23476000,23476000,68592000,188625000,236421000,-531950000,888121000,10084000,602676000,602676000,791301000,9607000,3580000,1626000,-4914000,9899000,-2041000,-2042000,-2042000,15890000,13849000,-5102000,-7886000,1541000,-29433000,-5685000,-5685000,202000,-5483000,14878000,45116000,12995000,0.52917,0.07686,0.06535,0.01594,0.01214,1.35266,3.15786,0.31298,0.05701,0.16928,0.16746,2.59033,10.61965,0.22898,0.0899,0.02191,0.01936,0.53107,-6.51022,-8.57311
"18","2014_Q3",18.604375,"Down",176129000,-89332000,86797000,-67458000,-33788000,-33670000,19339000,2472000,906000,-148000,1054000,-774000,21811000,21811000,-7416000,14395000,14395000,14395000,14395000,104833000,58903000,45930000,115538000,115538000,89239000,44190000,5295000,23841000,353800000,75265000,311622000,26671000,3492000,11092000,12087000,413558000,767358000,99298000,62103000,9400000,27795000,26364000,26364000,125662000,24424000,24424000,69637000,195299000,238524000,-575316000,897414000,11437000,572059000,572059000,767358000,14395000,3887000,686000,-5888000,13080000,-2877000,-2877000,-2877000,44222000,41345000,-5035000,-43424000,240000,-48456000,5969000,5969000,119000,6088000,23226000,45213000,21877000,0.4928,0.1098,0.08173,0.02516,0.01876,1.51976,2.81549,0.3414,0.05892,0.25982,0.25821,3.17905,10.32542,0.39487,0.09088,0.03028,0.03409,0.34977,-2.56695,-3.08289
"19","2014_Q4",17.1234375,"Down",162892000,-84635000,78257000,-65762000,-32438000,-33324000,12495000,2566000,842000,-150000,992000,-963000,15061000,15061000,-3735000,11326000,11326000,11326000,11326000,114002000,58415000,55587000,99341000,99341000,86879000,48538000,5579000,27262000,348760000,75201000,298542000,28231000,3492000,12991000,11748000,401974000,750734000,93569000,49972000,13650000,29947000,23418000,23418000,116987000,23548000,23548000,67370000,184357000,240675000,-583760000,903741000,5721000,566377000,566377000,750734000,11326000,3660000,133000,2922000,18041000,-3243000,-3243000,-3243000,-173000,-3416000,-4923000,-8523000,530000,-13451000,1174000,1174000,-1662000,-488000,16155000,43822000,19569000,0.48042,0.07671,0.06953,0.02,0.01509,1.72779,2.98119,0.3255,0.05837,0.20781,0.20664,2.98873,10.39186,0.35905,0.09033,0.02564,0.03088,0.43466,-4.34417,-5.61665
"20","2015_Q1",17.8260655737705,"Up",143982000,-75499000,68483000,-64504000,-31793000,-32711000,3979000,4376000,1527000,-152000,1679000,2790000,8355000,8355000,937000,9292000,9292000,9292000,9292000,120358000,73439000,46919000,88502000,88502000,85948000,56281000,5891000,33295000,351089000,74828000,280649000,32128000,3492000,17694000,10942000,387605000,738694000,96247000,56414000,14901000,24932000,22762000,22762000,119009000,30924000,30924000,70672000,189681000,242626000,-601289000,907751000,-75000,549013000,549013000,738694000,9292000,3718000,-2166000,3973000,14817000,-3094000,-3094000,-3094000,27385000,24291000,-4887000,-17904000,528000,-22781000,16327000,16327000,-1303000,15024000,7697000,39748000,7639000,0.47564,0.02764,0.06454,0.01692,0.01258,0.82211,2.9501,0.34549,0.05381,0.17264,0.17207,2.67505,10.20015,0.14193,0.0908,0.02288,0.01233,0.52594,-10.47291,-20.25886
"21","2015_Q2",14.4506349206349,"Down",142835000,-77272000,65563000,-63600000,-31064000,-32536000,1963000,3547000,785000,-148000,933000,-353000,5510000,5510000,-2193000,3317000,3317000,3317000,3317000,165769000,87009000,78760000,90869000,90869000,93123000,51351000,5092000,29962000,401112000,73987000,236678000,32403000,3492000,18831000,10080000,343068000,744180000,115162000,73696000,13088000,28378000,16815000,16815000,131977000,30646000,30646000,69534000,201511000,244273000,-603660000,905884000,-3828000,542669000,542669000,744180000,3317000,3728000,-1251000,7221000,13015000,-2442000,-2442000,-2442000,13491000,11049000,-4811000,-2755000,280000,-7557000,16507000,16507000,-2937000,13570000,5691000,38888000,12663000,0.45901,0.01374,0.02322,0.00611,0.00446,3.81761,3.03926,0.37133,0.05226,0.06212,0.06185,2.67486,10.16253,0.23714,0.0901,0.01328,0.02068,1.45041,-22.29503,-64.63627
"22","2015_Q3",13.378125,"Down",160138000,-91892000,68246000,-67602000,-32123000,-35479000,644000,3467000,759000,-149000,908000,-547000,4111000,4111000,-1567000,2544000,2544000,2544000,2544000,141342000,87215000,54127000,89088000,89088000,100048000,54297000,5817000,31442000,384775000,73347000,216665000,34201000,3492000,20473000,10236000,324213000,708988000,126581000,85456000,10072000,31053000,17495000,17495000,144076000,31268000,31268000,69512000,213588000,245717000,-649098000,903448000,-4667000,495400000,495400000,708988000,2544000,3528000,-1995000,4122000,8199000,-2942000,-2950000,-2950000,44305000,41363000,-4698000,-45719000,553000,-50464000,-902000,-902000,1108000,206000,4172000,38244000,6919000,0.42617,0.00402,0.01589,0.00514,0.00359,2.71973,2.67064,0.43114,0.05394,0.0491,0.04906,3.09057,9.56094,0.13353,0.09067,0.01282,0.01225,1.8467,-24.71189,-160.09006
"23","2015_Q4",13.57265625,"Up",158078000,-87429000,70649000,-62577000,-30016000,-32561000,8072000,2800000,688000,-151000,839000,52000,10872000,10872000,-3805000,7067000,7067000,7067000,7067000,125768000,83687000,42081000,86176000,86176000,100705000,44310000,5935000,20858000,356959000,73656000,204513000,36726000,3492000,23341000,9893000,314895000,671854000,110564000,69372000,12923000,28269000,16484000,16484000,127048000,29680000,29680000,67165000,194213000,247374000,-665423000,905928000,-10238000,477641000,477641000,671854000,7067000,3509000,-497000,-8024000,2055000,-2337000,-2451000,-2451000,18705000,16368000,-4480000,-16427000,74000,-20866000,-2443000,-2443000,-1085000,-3528000,11581000,37485000,5025000,0.44692,0.05106,0.04471,0.0148,0.01052,0.71105,2.80964,0.40661,0.05579,0.14182,0.14165,3.17222,9.58503,0.10084,0.0899,0.02119,0.00922,0.63393,-7.62309,-10.93694
"24","2016_Q1",15.8493442622951,"Up",139013000,-76574000,62439000,-59639000,-30339000,-29300000,2800000,2415000,1125000,-148000,1273000,-617000,5215000,5215000,503000,5718000,5718000,5718000,5718000,118946000,84550000,34396000,71917000,71917000,91533000,29466000,10145000,19321000,311862000,73233000,198026000,49783000,3492000,37015000,9276000,321042000,632904000,76028000,48668000,2395000,24965000,16615000,16615000,92643000,24236000,24236000,60101000,152744000,247676000,-665319000,906772000,-8969000,480160000,480160000,632904000,5718000,3480000,2432000,-16349000,-4719000,-3849000,-3910000,-3910000,15013000,11164000,-4460000,-298000,54000,-5861000,584000,584000,279000,863000,6280000,35865000,-14421000,0.44916,0.02014,0.04113,0.01191,0.00903,-2.52204,3.36628,0.31811,0.05667,0.11544,0.11507,2.80642,9.69354,-0.29113,0.09004,0.01884,-0.02669,0.77999,-13.22946,-29.67179
"25","2016_Q2",16.4040625,"Up",142204000,-76410000,65794000,-60273000,-30785000,-29488000,5521000,2557000,710000,-145000,855000,119000,8078000,8078000,-3064000,5014000,5014000,5014000,5014000,120912000,91609000,29303000,67492000,67492000,92107000,40262000,13096000,9199000,320773000,73511000,195683000,31527000,3492000,18878000,9157000,300721000,621494000,69951000,42635000,2739000,24577000,18683000,18683000,88634000,25283000,25283000,60471000,149105000,249102000,-675582000,906820000,-7951000,472389000,472389000,621494000,5014000,3347000,488000,6827000,15676000,-3166000,-3166000,-3166000,8533000,5367000,-4453000,-10756000,247000,-15209000,5834000,5834000,1225000,7059000,8868000,35188000,15593000,0.46267,0.03882,0.03526,0.01061,0.00807,3.10989,3.61907,0.31564,0.05662,0.10187,0.10152,2.88915,9.5975,0.3168,0.09047,0.01777,0.02926,0.88811,-9.66667,-15.5269
"26","2016_Q3",15.95015625,"Down",162701000,-83746000,78955000,-64143000,-32866000,-31277000,14812000,1644000,785000,-142000,927000,-251000,16456000,16456000,-6228000,10228000,10228000,10228000,10228000,121781000,70914000,50867000,89386000,89386000,86936000,46132000,13563000,11676000,344235000,74115000,186249000,31959000,3492000,19127000,9340000,292323000,636558000,87039000,59211000,3140639.59356165,27828000,15982000,15982000,103021000,25476000,25476000,59813000,162834000,250648000,-680765000,912536000,-8695000,473724000,473724000,636558000,10228000,3342000,-190000,-8439000,4941000,-3513000,-3513000,-3513000,-11443000,-14956000,-4407000,-5282000,294000,-9689000,-19704000,-19704000,-991000,-20695000,18154000,34337000,12430000,0.48528,0.09104,0.06286,0.02159,0.01607,1.21529,3.34141,0.34373,0.05394,0.20945,0.20853,3.33185,9.7011,0.25455,0.09025,0.02743,0.0233,0.43088,-4.81679,-5.90359
"27","2016_Q4",17.5831746031746,"Up",168890000,-93082000,75808000,-65678000,-33716000,-31962000,10130000,1837000,767000,-143000,910000,-246000,11967000,15517000,-3102000,12415000,12415000,12415000,12415000,121808000,66292000,55516000,101822000,101822000,96034000,45139000,14477000,12159000,364803000,78078000,178379000,34303000,3492000,17263000,13548000,290760000,655563000,99877000,67399000,1148389.16620525,32478000,15744000,15744000,115621000,26740000,26740000,61745000,177366000,252014000,-686386000,920395000,-7826000,478197000,478197000,655563000,12415000,3571000,-3354000,-5417000,7215000,-6005000,-6005000,-6005000,4832000,-2116000,-4370000,-5803000,535000,-10173000,-5074000,-5074000,452000,-4622000,13701000,35005000,5381000,0.44886,0.05998,0.07351,0.02596,0.01894,0.43343,3.15516,0.37091,0.0534,0.25616,0.25507,3.48478,9.86685,0.11103,0.09017,0.03109,0.00997,0.35199,-6.33552,-8.5689
