"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",42.74703125,"Down",323000,-33411000,-12449000,-20962000,-33088000,-930000,-829000,-34018000,-34085000,-34085000,-34085000,-34085000,-34085000,191634000,85898000,9181000,9181000,9744000,9744000,210559000,227815000,35534000,8083000,27451000,2212000,2212000,37746000,16731000,32156000,32156000,48887000,86633000,495513000,-354345000,141182000,141182000,227815000,-34085000,3100000,8477000,-21608000,-21600000,-22362000,53708000,53708000,53708000,9738000,9738000,9738000,16731000,-102.43963,-105.52632,-0.24143,-0.14962,5.57831,0.61363,0.07344,-6.90259,-6.90259,0.06541,28.59093,-0.17933,5.28599
"12","2013_Q3",22.8984375,"Down",324000,-23527000,-7324000,-16203000,-23203000,-841000,-790000,-24044000,-31913000,-31913000,-31913000,-31913000,-31913000,156170000,33822000,7897000,7897000,9217000,9217000,173284000,190410000,31253000,7230000,24023000,3435000,3435000,34688000,14184000,32632000,32632000,46816000,81504000,495199000,-386258000,108906000,108906000,190410000,-31913000,-108000,-817999.999999998,-31868000,-16996000,-18209000,295000,295000,-1999000.00000001,-52076000,-52076000,-52076000,14184000,-71.6142,-98.49691,-0.29303,-0.1676,4.9955,0.74839,0.07449,-6.21819,-6.21819,0.0631300000000002,21.22014,-0.20494,6.11929
"13","2013_Q4",20.02421875,"Down",323000,-23854000,-4440000,-19414000,-23531000,-698000,-730000,-24229000,-24306000,-24306000,-24306000,-24306000,-24306000,130362000,50420000,8893000,8893000,7232000,7232000,146487000,163114000,28334000,6137000,22197000,3396000,3396000,31730000,11549000,34025000,34025000,45574000,77304000,496366000,-410564000,85810000,85810000,163114000,-24306000,1449000,-382000,-22271000,42252000,41216000,19000,19000,-2347000,16598000,16598000,16598000,11549000,-72.85139,-75.25077,-0.28325,-0.14901,4.61667,0.90087,0.0708,-4.72374,-4.72374,0.06277,16.67671,-0.185,5.04921
"14","2014_Q1",17.9598360655738,"Down",323000,-16388000,-4499000,-11889000,-16065000,-656000,-653000,-16721000,-16725000,-16725000,-16725000,-16725000,-16725000,118506000,50826000,984000.000000001,984000.000000001,9429000,2998000,128919000,146346000,27884000,4238000,23646000,3524000,3524000,31408000,8822000,36178000,36178000,4.5e+07,76408000,497229000,-427289000,69938000,69938000,146346000,-16725000,978000,6156000,-8655000,12082000,11425000,80000,80000,-2364000,406000.000000007,406000.000000007,406000,8822000,-49.73684,-51.78019,-0.23914,-0.11428,4.10465,1.09251,0.06028,-3.24411,-3.24411,0.0626500000000001,13.56571,-0.14551,6.82751
"15","2014_Q2",13.0055555555556,"Down",15289000,-17322000,-5555000,-11767000,-2033000,-558000,-565000,-2591000,-6450000,-6450000,-6450000,-6450000,-6450000,88322000,46335000,1254000,1254000,16001000,2044000,105577000,127805000,27112000,4031000,23081000,5532000,5532000,32644000,6001000,24894000,24894000,30895000,63539000,497998000,-433739000,64266000,64266000,127805000,-6450000,3394000,-17598000,-19816000,25574000,17820000,29000,29000,-2495000,-4491000,-4491000,-4491000,6001000,-0.13297,-0.42187,-0.10036,-0.05047,3.23419,0.98869,0.04695,-1.24918,-1.24918,2.96103,12.44645,-0.06778,40.49238
"16","2014_Q3",12.709375,"Down",1846000,-14145000,-4845000,-9300000,-12299000,-494000,-492000,-12793000,-17959000,-17959000,-17959000,-17959000,-17959000,64937000,43362000,1235000,1235000,19252000,3665000,85424000,104247000,30789000,3500000,27289000,2208000,2208000,32997000,3088000,21204000,21204000,24292000,57289000,498654000,-451698000,46958000,46958000,104247000,-17959000,5933000,-4230000,-15404000,20337000,16258000,1000,1000,-3827000,-2973000,-2973000,-2973000,3088000,-6.66251,-9.72860000000001,-0.38245,-0.17227,2.58884,1.22001,0.02962,-3.47618,-3.47618,0.35732,9.08929,-0.25206,5.02878
"17","2014_Q4",9.14421875,"Down",872000,-13570000,-5085000,-8485000,-12698000,-337000,-435000,-13035000,-14436000,-14436000,-14436000,-14436000,-14436000,63393000,59980000,1658000,1658000,6452000,3259000,71503000,86233000,16710000,1654000,15056000,22171000,22171000,38881000,12491000,591000,591000,13082000,51963000,500404000,-466134000,34270000,34270000,86233000,-14436000,1684000,3675000,-8003000,18140000,17281000,161000,161000,7340000,16618000,16618000,16618000,12491000,-14.56193,-16.55505,-0.42124,-0.16741,1.83902,1.51628,0.14485,-2.78843,-2.78843,0.16843,6.61954,-0.30487,4.00866
"18","2015_Q1",10.9260655737705,"Up",116000,-11806000,-3104000,-8702000,-11690000,-901000,-864000,-12591000,-13894000,-13894000,-13894000,-13894000,-13894000,52306000,52306000,2341000,2341000,4481000,1484000,59128000,70662000,24268000,3245000,21023000,16087000,16087000,40355000,8930000,770999.999999998,770999.999999998,9701000,50056000,500634000,-480028000,20606000,20606000,70662000,-13894000,436000,-1022000,-11025000,3410000,3351000,0,0,0,-7674000,-7674000,-7674000,8930000,-100.77586,-119.77586,-0.67427,-0.19663,1.4652,2.4292,0.12638,-2.56878,-2.56878,0.0214499999999999,3.80972,-0.45844,3.71052
"19","2015_Q2",17.9936507936508,"Up",134000,-5950000,-3255000,-2695000,-5816000,-725000,-711000,-6541000,-10874000,-10874000,-10874000,-10874000,-10874000,39069000,34535000,947000,947000,4400000,1440000,44416000,50001000,18890000,2619000,16271000,7665000,7665000,26555000,8139000,713000,713000,8852000,35407000,505496000,-490902000,14594000,14594000,50001000,-10874000,1014000,-10448000,-15820000,-4548000,-3620000,4426000,4426000,1669000,-17771000,-17771000,-17771000,8139000,-43.40299,-81.14925,-0.7451,-0.21748,1.6726,2.42613,0.16278,-2.06581,-2.06581,0.02546,2.77252,-0.46379,5.31809
"20","2015_Q3",14.4515625,"Down",133999.999999999,-4730000,-2889000,-1841000,-4596000,-835000,-626000,-5431000,-5456000,-5456000,-5456000,-5456000,-5456000,26766000,26766000,2320000,2320000,4290000,1428000,33376000,33695000,14103000,1567000,12536000,384000,384000,14487000,7316000,656000,656000,7972000,22459000,507594000,-496358000,11236000,11236000,33695000,-5456000,937000,-11887000,-11430000,4515000,4808000,1689000,1689000,-1147000,-7769000,-7769000,-7769000,7316000,-34.29851,-40.71642,-0.48558,-0.16192,2.30386,1.99884,0.21712,-0.98905,-0.98905,0.02429,2.03684,-0.28405,4.23194
"21","2015_Q4",11.8875,"Down",15158000,-6689000,-2223000,-4466000,8469000,-551000,-529000,7918000,7918000,7918000,7918000,7918000,7918000,37239000,34739000,2334000,2334000,4227000,1364000,43800000,44016000,9960000,290000,9670000,457000,457000,10417000,8260000,1461000,1461000,9721000,20138000,512317000,-488440000,23878000,23878000,44016000,7918000,427000,567000,9009000,-2498000,-2492000,4380000,4380000,1456000,7973000,7973000,7973000,8260000,0.55871,0.52236,0.3316,0.17989,4.20467,0.84337,0.18766,1.39416,1.38873,2.66894,4.20432,0.23566,-3.42177
"22","2016_Q1",9.90114754098361,"Down",3598000,-9723000,-1850000,-3873000,-6125000,-464000,-420000,-6589000,-6589000,-6589000,-6589000,-6589000,-6589000,34135000,26634000,4641000,4641000,1600000,1133000,40376000,40542000,7584000,1425000,6159000,4814000,4814000,12398000,7418000,3499000,3499000,10917000,23315000,512259000,-495029000,17227000,17227000,40542000,-6589000,2925000,3669000,11000.0000000037,-5004000,-5012000,-8999.99999999907,-8999.99999999907,-3104000,-8105000,-8105000,-8105000,7418000,-1.70233,-1.8313,-0.38248,-0.16252,3.25665,1.3534,0.18297,-1.13197,-1.13631,0.61813,2.95956,-0.23412,4.36196
"23","2016_Q2",9.64203125,"Down",1203000,-8435000,-2463000,-5972000,-7232000,-378000,-369000,-7610000,-7610000,-7710000,-7710000,-7710000,-7710000,23805000,18056000,1736000,1736000,5123000,1123000,30664000,30806000,6202000,340000,5862000,4660000,4660000,10862000,6537000,3492000,3492000,10029000,20891000,512652000,-502739000,9915000,9915000,30806000,-7710000,479000,-3093000,-10319000,1754000,1754000,2000,2000,-13000,-8578000,-8578000,-8578000,6537000,-6.01164,-6.40898,-0.77761,-0.25028,2.82305,2.10701,0.2122,-1.32552,-1.32552,0.20682,1.7046,-0.38658,2.38772
"24","2016_Q3",9.41375,"Down",193000,-7344000,-1740000,-5604000,-7151000,-459000,-468000,-7610000,-8606000,-8606000,-8606000,-8606000,-8606000,39531000,25331000,1302000,1302000,1421000,1421000,42254000,42686000,6304000,2079000,4225000,660000,660000,6964000,13735000,13696000,13696000,27431000,34395000,519626000,-511345000,8291000,8291000,42686000,-8606000,1350000,2664000,-4590000,-8453000,-8453000,15418000,15418000,20318000,7275000,7275000,7275000,13735000,-37.05181,-44.59067,-1.03799,-0.20161,6.06749,4.14847,0.32177,-1.28607,-1.28607,0.0288400000000001,1.239,-0.24092,3.60733
"25","2016_Q4",6.66603174603175,"Down",992000,-6585000,-2141000,-4444000,-5593000,-551000,-551000,-6144000,-4966000,-4966000,-4966000,-4966000,-4966000,30831000,12370000,990000,990000,2203000,2203000,34024000,35118000,6294000,1179000,5115000,510000,510000,6804000,13103000,11676000,11676000,24779000,31583000,519818000,-516311000,3535000,3535000,35118000,-4966000,-845000,-2893000,-8704000,-4236000,-4243000,-14000,-14000,-14000,-12961000,-12961000,-12961000,13103000,-5.6381,-5.00605,-1.40481,-0.14141,5.00059,8.93437,0.37311,-0.65462,-0.65462,0.13077,0.46598,-0.17539,3.16968
"26","2017_Q1",7.22387096774194,"Up",127000,-9544000,-1861000,-7683000,-9417000,-756000,-561000,-10173000,-5604000,-5605000,-5605000,-5605000,-5605000,23348000,15096000,1027000,1027000,1940000,238000,26315000,27285000,9839000,2186000,7653000,510000,510000,10349000,11879000,6980000,6980000,18859000,29208000,519987000,-521916000,-1923000,-1923000,27285000,-5605000,-4257000,2386000,-7453000,10178000,10178000,1000,1000,1000.00000000373,2726000,2726000,2726000.00000001,11879000,-74.14961,-44.13386,2.91472,-0.20542,2.54276,-15.18877,0.43537,-0.73626,-0.73626,0.01668,-0.2526,-0.33095,1.2179
"27","2017_Q2",7.87301587301587,"Up",2532000,-10287000,-2331000,-7956000,-7755000,-551000,-551000,-8306000,-8790000,-8840000,-8840000,-8840000,-8840000,33411000,33411000,676000,676000,1812000,110000,35899000,36584000,13228000,3277000,9951000,1021000,1021000,14249000,10599000,6825000,6825000,17424000,31673000,535694000,-530784000,4911000,4911000,36584000,-8840000,822000,2610000,-5408000,8252000,8252000,15471000,15471000,15471000,18315000,18315000,18315000,10599000,-3.0628,-3.49131,-1.80004,-0.24164,2.5194,6.4494,0.28972,-1.15941,-1.15941,0.33208,0.6441,-0.39579,2.94159
"28","2017_Q3",30.9293650793651,"Up",350999.999999999,-9183000,-2302000,-6881000,-8832000,-530000,-530000,-9362000,-33287000,-33287000,-33287000,-33287000,-33287000,40127000,30860000,445000,445000,1568000,294000,42140000,42492000,14019000,3361000,10658000,935000,935000,14954000,16067000,30801000,30801000,46868000,61822000,544743000,-564071000,-19330000,-19330000,42492000,-33287000,24350000,1898000,-7039000,-9286000,-9286000,8774000,8774000,13774000,-2551000,-2551000,-2551000,16067000,-25.16239,-94.83476,1.72204,-0.78337,2.81798,-3.19824,0.37812,-3.01104,-3.01104,0.0317499999999999,-1.74853,-1.20877,2.72418
"29","2017_Q4",31.0444444444444,"Up",4614000,-6767000,-2101000,-4666000,-2153000,-655000,-655000,-2808000,-26346000,-26397000,-26397000,-26397000,-26397000,37409000,16354000,2375000,2375000,1744000,470000,41528000,41711000,15978000,1941000,14037000,1870000,1870000,17848000,14324000,54113000,54113000,68437000,86285000,545892000,-590468000,-44574000,-44574000,41711000,-26397000,23976000,-547000,-2968000,-11809000,-11809000,271000,271000,271000,-14506000,-14506000,-14506000,14324000,-0.46662,-5.72107,0.59221,-0.63285,2.32676,-1.93577,0.34341,-2.23692,-2.23692,0.391,-3.77727,-1.10619,10.72225
"30","2018_Q1",29.2573770491803,"Down",81999.9999999981,-10153000,-2404000,-5676000,-10071000,-637000,-637000,-10708000,3499000,3499000,3499000,3499000,3499000,33525000,14949000,402000,402000,16256000,229000,50183000,50198000,13215000,2436000,10779000,18909000,18909000,32124000,18477000,40360000,40360000,58837000,90961000,546210000,-586969000,-40763000,-40763000,50198000,3499000,-11664000,4416000,-3749000,2441000,2441000,3000,3000,-97000,-1405000,-1405000,-1405000,18477000,-122.81707,42.67073,-0.0858400000000002,0.0697000000000001,1.56217,-2.23146,0.36808,0.29424,0.29424,0.00690000000000007,-3.42782,0.19359,1.49419
"31","2018_Q2",23.709375,"Down",1026000,-8056000,-2610000,-5404000,-7030000,-493000,-493000,-7523000,-8988000,-8988000,-8988000,-8988000,-8988000,26995000,16160000,6e+05,6e+05,16007000,171000,43602000,43613000,13265000,3380000,9885000,19163000,19163000,32428000,18002000,43428000,43428000,61430000,93858000,548427000,-598668000,-50245000,-50245000,43613000,-8988000,2206000,264000,-6518000,7736000,7736000,533000,533000,-7000,1211000,1211000,1211000,18002000,-6.85185,-8.76023,0.17888,-0.20609,1.34458,-1.86801,0.41277,-0.75631,-0.75631,0.08633,-4.22795,-0.80358,1.27923
"32","2018_Q3",25.7007936507937,"Up",433000,-7005000,-2827000,-4887000,-6572000,-549000,-549000,-7121000,4004000,4004000,4004000,4004000,4004000,18089000,18089000,973000,973000,937000.000000002,370000,19999000,20006000,13885000,2822000,11063000,3282000,3282000,17167000,16342000,31942000,31942000,48284000,65451000,549218000,-594664000,-45445000,-45445000,20006000,4004000,-11074000,-2014000,-9084000,10843000,10843000,170000,170000,170000,1929000,1929000,1929000,16342000,-15.17783,9.24710999999999,-0.0881099999999999,0.20014,1.16497,-1.44022,0.81685,0.33664,0.31113,0.0364,-3.82083,1.41036,0.26582
"33","2018_Q4",22,"Down",2467000,-7879000,-2719000,-5160000,-5412000,-579000,-579000,-5991000,-22163000,-22163000,-22163000,-22163000,-22163000,20408000,20408000,344000,344000,686000,402000,21438000,21442000,17682000,2983000,14699000,1805000,1805000,19487000,14621000,47726000,47726000,62347000,81834000,556435000,-616827000,-60392000,-60392000,21442000,-22163000,17003000,2353000,-2807000,0,0,5126000,5126000,5126000,2319000,2319000,2319000,14621000,-2.19376,-8.98379,0.36699,-1.03363,1.10012,-1.35505,0.68189,-1.8448,-1.8448,0.20535,-5.02689,-11.33657,1.06929
"34","2019_Q1",10.3234426229508,"Down",1483000,-8493000,-2625000,-5201000,-7010000,1730000,-570000,-5280000,21818000,21818000,21818000,21818000,21818000,24427000,24427000,3026000,3026000,482000,356000,27935000,27935000,15705000,3499000,12206000,2412000,2412000,18117000,15779000,21266000,21266000,37045000,55162000,567781000,-595009000,-27227000,-27227000,27935000,21818000,-25616000,-2819000,-6617000,1.86264514923096e-09,9.31322574615479e-10,10636000,10636000,10636000,4019000,4019000,4019000,15779000,-4.7269,14.71207,-0.80134,0.78103,1.54192,-2.026,0.56485,1.75315,1.40531,0.11916,-2.18779,2.22224,1.23367
"35","2019_Q2",8.56603174603175,"Down",1611000,-9307000,-2455000,-6852000,-7696000,-564000,-564000,-8260000,555000,555000,555000,555000,555000,23483000,23483000,2571000,2571000,241000,199000,26295000,26507000,16281000,2109000,14172000,2610000,2610000,18891000,13511000,12681000,12681000,26192000,45083000,575877000,-594454000,-18576000,-18576000,26507000,555000,-8065000,-946000,-8456000,-9546613.74299092,-9513026.49818279,7512000,7512000,7512000,-944000,-944000,-944000,13511000,-4.77716,0.34451,-0.02988,0.02094,1.39193,-2.42695,0.50971,0.04195,0.04178,0.12177,-1.40404,0.07287,1.29574
"36","2019_Q3",7.44125,"Down",703000,-5597000,-2986000,-2611000,-4894000,-451000,-451000,-5345000,-3135000,-3135000,-3135000,-3135000,-3135000,40232000,40232000,611000,611000,819000,801000,41662000,41662000,16404000,1963000,14441000,2481000,2481000,18885000,11166000,9978000,9978000,21144000,40029000,599221000,-597589000,1633000,1633000,41662000,-3135000,-1481000,-1395000,-6011000,-25088628.3870571,-25014080.0866994,22760000,22760000,22760000,16749000,16749000,16749000,11166000,-6.96159,-4.45946,-1.91978,-0.0752500000000001,2.20609,24.51255,0.26801,-0.19696,-0.19762,0.04417,0.1026,-0.137639999999999,5.93911
"37","2019_Q4",7.3625,"Down",25717000,-6867000,-2884000,-3983000,18850000,-467000,-467000,18383000,16429000,16429000,16429000,16429000,16429000,57654000,57654000,1090000,1090000,1016000,816000,59760000,59760000,18344000,2183000,16161000,2487000,2487000,20831000,8714000,11458000,11458000,20172000,41003000,599917000,-581160000,18757000,18757000,59760000,16429000,2773000,-283000,18919000,-32565578.8375947,-32487343.6318663,10000,10000,-1497000,17422000,17422000,17422000,8714000,0.73298,0.63884,0.87589,0.27492,2.8688,2.18601,0.14582,1.02101,1.01158,1.59822,1.16568,0.42202,-2.59629
"38","2020_Q1",4.96338709677419,"Down",764000,-7398000,-2886000,-4512000,-6634000,-333000,-333000,-6966999.99999999,-4461000,-4461000,-4461000,-4461000,-4461000,47745000,29785000,1631000,1631000,1224000,635000,50600000,50600000,19051000,1466000,17585000,2067000,2067000,21118000,6197000,8439000,8439000,14636000,35754000,600467000,-585621000,14846000,14846000,50600000,-4461000,-528000,-2382000,-7370999.99999999,-17917000,-17917000,45999.9999999963,45999.9999999963,-2581000,-27869000,-27869000,-27869000,6197000,-8.68325,-5.83901,-0.30048,-0.08816,2.39606,2.40833,0.12247,-0.27733,-0.27681,0.0475000000000001,0.92293,-0.15131,6.26289
"39","2020_Q2",6.31190476190476,"Up",784000,-11498000,-3672000,-7826000,-10714000,-315000,-315000,-11029000,-8381000,-8381000,-8381000,-8381000,-8381000,33620000,23457000,2779000,2779000,665000,263000,37064000,38547000,19417000,2965000,16452000,2622000,2622000,22039000,3610000,5890000,5890000,9500000,31539000,601010000,-594002000,7008000,7008000,38547000,-8381000,-2047000,-1259000,-11687000,7848000,7748000,36734768.1280024,36734768.1280024,-2389000,-6328000,-6328000,-6328000,3610000,-13.66582,-10.69005,-1.19592,-0.21742,1.68175,4.50043,0.09365,-0.52117,-0.52117,0.04875,0.43579,-0.50769,2.80101
"40","2020_Q3",4.9475,"Down",749000,-8156000,-3737000,-4419000,-7407000,-349000,-349000,-7756000,-7306000,-7306000,-7306000,-7306000,-7306000,71449000,45670000,1208000,1208000,1571000,1047000,74228000,75602000,19099000,1785000,17314000,2275000,2275000,21374000,940000,5236000,5236000,6176000,27550000,649361000,-601308000,48052000,48052000,75602000,-7306000,612000,-839000,-7529000,-15587000,-15587000,47773000,47773000,45329000,22213000,22213000,22213000,940000,-9.88919,-9.75434,-0.15204,-0.09664,3.47282,0.57334,0.01243,-0.42078,-0.420759999999989,0.04314,2.76749,-0.13473,9.51924
