"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2014_Q3",8.11,"Down",93634000,-55463000,38171000,-38887000,-25452000,-13435000,-716000,-3775000,-3775000,-4491000,-4491000,-950000,-5441000,-5441000,-5441000,-5441000,159649000,70447000,73777000,73777000,88153000,28782000,13304000,15478000,350361000,35569000,99273000,27494000,58163000,13616000,134842000,485203000,56407000,15111000,41296000,117766000,96527000,21239000,174173000,201082000,14771000,9168000,5603000,215853000,390026000,433333000,-340620000,2464000,95177000,95177000,485203000,-5441000,5128000,5047000,-6390000,-1656000,-3693000,-3693000,-3693000,5893000,3434000,3434000,3235000,7471999.99999997,7471999.99999997,539000,8011000.00000001,4412000,201082000,-4721000,0.40766,-0.00764999999999999,-0.05811,-0.05717,-0.01121,0.86767,2.01157,4.0979,0.41443,-0.07228,-0.07228,1.24381,1.26431,-0.06271,-0.01749,-0.01518,9.39098,-57.86732
"15","2014_Q4",7.0525,"Down",97144000,-57440000,39704000,-40179000,-26416000,-13763000,-475000,-3312000,-3312000,-3787000,-3787000,-878000,-4665000,-4665000,-4665000,-4665000,174022000,88013000,59264000,59264000,95088000,31307000,17939000,13368000,359681000,34539000,96852000,25506000,58102000,13244000,131391000,491072000,65430000,18139000,47291000,112943000,90602000,22341000,178373000,202287000,14584000,8985000,5599000,216871000,395244000,438738000,-345285000,2375000,95828000,95828000,491072000,-4665000,4970000,5586000,7853000,13744000,-2716000,-2716000,-2716000,143000,3351000,3351000,3330000,17217000,17217000,349000,17566000,4495000,202287000,10510000,0.40871,-0.00489,-0.04802,-0.04868,-0.0095,-2.25295,2.01645,4.12451,0.41193,-0.06107,-0.06107,1.27182,1.25459,0.1376,-0.01492,0.03361,6.2881,-59.50526
"16","2015_Q1",7.96065573770492,"Up",1.02e+08,-63553000,38447000,-43114000,-29538000,-13576000,-4667000,-4669000,-4669000,-9336000,-9336000,-473000,-9809000,-9809000,-9809000,-9809000,171899000,92346000,72152000,72152000,87752000,32667000,17873000,14794000,364470000,34391000,96327000,23517000,58091000,14719000,130718000,495188000,72672000,15639000,57033000,111897000,92093000,19804000,184569000,195612000,16459000,9866000,6593000,212071000,396640000,451827000,-355094000,1815000,98548000,98548000,495188000,-9809000,5018000,6560000,-2257000,-488000.000000002,-2316000,-2316000,-2316000,3936000,1640000,1640000,1183000,4631000,4631000,-298000,4333000,351000,195612000,-3749000,0.37693,-0.04575,-0.09617,-0.09954,-0.01981,0.382200000000001,1.97471,4.02484,0.39503,-0.12763,-0.12763,1.32719,1.28228,-0.04878,-0.03158,-0.01207,67.5584,-5.08099
"17","2015_Q2",7.44619047619048,"Down",82381000,-54580000,27801000,-43073000,-28924000,-14149000,-15272000,-5461000,-5461000,-20733000,-20733000,-917000,-21650000,-21650000,-21650000,-21650000,152710000,107295000,52943000,52943000,99994000,30140000,16266000,13874000,335787000,32733000,91117000,21529000,58066000,11522000,123850000,459637000,55491000,14695000,40796000,109374000,89340000,20034000,164865000,197371000,16908000,9483000,7425000,214279000,379144000,456005000,-376744000,1232000,80493000,80493000,459637000,-21650000,4978000,5793000,-3840000,-14719000,-2691000,-2691000,-2691000,31040000,1886000,1886000,1886000,18207000,18207000,-3258000,14949000,-10294000,197371000,-15908000,0.33747,-0.18538,-0.2628,-0.26897,-0.0471,0.73478,2.03674,4.71027,0.42941,-0.28011,-0.28011,1.06587,1.04144,-0.20582,-0.07345,-0.05397,-4.33855,-2.92437000000001
"18","2015_Q3",6.42234375,"Down",98155000,-59666000,38489000,-42080000,-28163000,-13917000,-3591000,-5528000,-5528000,-9119000,-9119000,-873000,-9992000,-9992000,-9992000,-9992000,150790000,97273000,62987000,62987000,104490000,28472000,15076000,13396000,346739000,30830000,89996000,19541000,58015000,12440000,120826000,467565000,59940000,15980000,43960000,112168000,92495000,19673000,172108000,199152000,20358000,9875000,10483000,219510000,391618000,462073000,-386736000,610000,75947000,75947000,467565000,-9992000,4982000,6790000,-45999.9999999991,1734000,-1479000,-1479000,-1479000,-9800999.99999999,1148000,1148000,754000,-7313000,-7313000,-2709000,-10022000,1391000,199152000,739000.000000002,0.39212,-0.03658,-0.1018,-0.13157,-0.02137,-0.07396,2.01466,5.15646,0.42593,-0.12823,-0.12823,1.25962,0.97463,0.00947999999999999,-0.03382,0.0025,34.76779,-13.46756
"19","2015_Q4",6.42546875,"Up",97515000,-58855000,38660000,-37488000,-24652000,-12836000,1172000,-3618000,-3618000,-2446000,-2446000,-521000,-2967000,-2967000,-2967000,-2967000,149634000,95449000,61376000,61376000,109705000,27251000,15650000,11601000,347966000,29856000,85837000,17552000,58020000,10265000,115693000,463659000,53337000,13656000,39681000,112451000,93500000,18951000,165788000,200989000,20400000,9946000,10454000,221389000,387177000,466031000,-389703000,154000,76482000,76482000,463659000,-2967000,4904000,4656000,-6211000,382000,-1755000,-1755000,-1755000,-2613000,2173000,2173000,2072000,-159000,-159000,-1665000,-1824000,6076000,200989000,-1369000,0.39645,0.01202,-0.03043,-0.03879,-0.0064,0.46141,2.09886,5.06233,0.43348,-0.03768,-0.03768,1.23835,0.97125,-0.01739,-0.00996,-0.0046,8.45211,43.81826
"20","2016_Q1",5.53639344262295,"Down",101750000,-61298000,40452000,-41930000,-27080000,-14850000,-1478000,-4014000,-4014000,-5492000,-5492000,-108000,-5600000,-5600000,-5600000,-5600000,143857000,79551000,77727000,77727000,106151000,26594000,15991000,10603000,354329000,31829000,80615000,15564000,58054000,6997000,112444000,466773000,53750000,13096000,40654000,116165000,96780000,19385000,169915000,199655000,21423000,10489000,10934000,221078000,390993000,471509000,-395303000,-426000,75780000,75780000,466773000,-5600000,4629000,8672000,-9507000,-1806000,-4520000,-4520000,-4520000,-14937000,1348000,1348000,1183000,-15560000,-15560000,1875000,-13685000,3151000,199655000,-10768000,0.39756,-0.01453,-0.05504,-0.0739,-0.012,1.92286,2.08533,5.15958,0.42773,-0.07075,-0.07075,1.28557,0.95745,-0.13605,-0.01886,-0.03627,17.70803,-37.75237
"21","2016_Q2",5.4634375,"Down",89631000,-55733000,33898000,-41129000,-26833000,-14296000,-7231000,-5091000,-5091000,-12322000,-12322000,-704000,-13026000,-13026000,-13026000,-13026000,153097000,85584000,56636000,56636000,113798000,27121000,16527000,10594000,350652000,29482000,81668000,13576000,57965000,10127000,111150000,461802000,54532000,13652000,40880000,113668000,90719000,22949000,263334000,109639000,24699000,13938000,10761000,134338000,397672000,473105000,-408329000,-646000,64130000,64130000,461802000,-13026000,4559000,5575000,15148000,12256000,-1544000,-1544000,-1544000,-4983000,1034000,1034000,-26000,7247000,7247000,-1214000,6033000,-2672000,204773000,11636000,0.3782,-0.08068,-0.14533,-0.20312,-0.02821,-0.89329,1.33159,6.20103,0.44342,-0.16331,-0.16331,1.12376,0.80404,0.14589,-0.04437,0.03963,-19.33982,-7.14645000000003
"22","2016_Q3",5.45296875,"Down",108912000,-66341000,42571000,-42695000,-27764000,-14931000,-123999.999999999,-5070000,-5070000,-5194000,-5194000,-833000,-6027000,-6027000,-6027000,-6027000,155755000,88451000,66044000,66044000,111513000,25028000,13598000,11430000,358340000,29550000,85435000,11587000,57892000,15956000,114985000,473325000,63884000,19561000,44323000,113763000,94386000,19377000,274198000,110172000,28086000,17257000,10829000,138258000,412456000,476468000,-414356000,-1243000,60869000,60869000,473325000,-6027000,4502000,7296000,2253000,8024000,-2581000,-2581000,-2581000,-2767000,1021000,1021000,-760000,4497000,4497000,-1630000,2867000,4378000,206723000,4883000,0.39088,-0.00114,-0.05534,-0.09902,-0.01273,-0.810189999999999,1.30687,6.77613,0.43675,-0.07501,-0.07501,1.35554,0.75759,0.06077,-0.02038,0.01651,11.64185,-411.03226
"23","2016_Q4",5.18666666666667,"Down",105284000,-60340000,44944000,-39502000,-26232000,-13270000,5442000,-3963000,-3963000,1479000,1479000,-723000,756000,756000,756000,756000,149805000,79155000,89319000,89319000,117122000,24400000,14688000,9712000,380646000,29061000,80313000,9599000,57936000,12778000,109374000,490020000,65686000,21737000,43949000,124667000,104935000,19732000,229631000,170395000,27647000,16722000,10925000,198042000,427673000,476246000,-413600000,-299000,62347000,62347000,490020000,756000,4583000,6350000,-20875000,-9186000,-1760000,-1760000,-1760000,-5152000,895000,895000,-208000,-14546000,-14546000,2600000,-11946000,10025000,209673000,-11887000,0.42688,0.05169,0.00718,0.01213,0.00154,-15.72354,1.65764,6.85956,0.42789,0.00935,0.00921,1.30205,0.77105,-0.14701,0.00252,-0.03967,5.97187,11.0011
"24","2017_Q1",5.20983870967742,"Up",94973000,-57673000,37300000,-40260000,-26105000,-14155000,-2960000,-4171000,-4171000,-7131000,-7131000,-76000,-7207000,-7207000,-7207000,-7207000,167010000,119771000,56810000,56810000,115987000,21873000,16098000,5775000,361680000,27878000,79475000,7611000,57848000,14016000,107353000,469033000,56138000,15229000,40909000,114174000,92051000,22123000,210212000,170512000,28649000,17665000,10984000,199161000,409373000,481427000,-420807000,-960000,59660000,59660000,469033000,-7207000,4652000,5552000,16834000,19831000,-2181000,-2181000,-2181000,21164000,899000,899000,237000.000000001,41232000,41232000,-762000,40470000,1692000,210412000,16421000,0.39274,-0.03117,-0.07588,-0.1208,-0.01537,-2.27848,1.72055,6.86177,0.44861,-0.0889,-0.09025,1.17149,0.73591,0.20255,-0.02413,0.05497,25.6513,-14.66284
"25","2017_Q2",4.39269841269841,"Down",86506000,-55162000,31344000,-37891000,-25662000,-12229000,-6547000,-4005000,-4005000,-10552000,-10552000,626000,-9926000,-9926000,-9926000,-9926000,124422000,83616000,56939000,56939000,117358000,20119000,14655000,5464000,318838000,26579000,77316000,5622000,57844000,13850000,103895000,422733000,56155000,17049000,39106000,112563000,91265000,21298000,172218000,171524000,25621000,16167000,9454000,197145000,369363000,484945000,-430733000,-842000,53370000,53370000,422733000,-9926000,4655000,5009000,-6501000,-6763000,-1299000,-1299000,-1299000,5091000,1227000,1227000,-35480000,-37152000,-37152000,584000,-36568000,-1892000,175024000,-10318000,0.36233,-0.07568,-0.11474,-0.18598,-0.02348,1.03949,1.85136,6.9208,0.41403,-0.12168,-0.12168,1.06043,0.65424,-0.12648,-0.03908,-0.04062,-26.74524,-7.72903999999999
"26","2017_Q3",4.2947619047619,"Down",87502000,-56115000,31387000,-36210000,-24266000,-11944000,-4823000,-4120000,-4120000,-8943000,-8943000,-426000,-9369000,-9369000,-9369000,-9369000,108380000,69472000,71673000,71673000,116902000,19768000,14516000,5252000,316723000,24967000,73473000,3634000,57712000,12127000,98440000,415163000,60565000,25154000,35411000,115748000,91032000,24716000,179813000,166668000,22029000,11497000,10532000,188697000,368510000,488991000,-440102000,-2236000,46653000,46653000,415163000,-9369000,4625000,4281000,-3796000,-4259000,-1837000,-1837000,-1837000,-29000,823000,823000,-5689999.99999999,-9978000,-9978000,-4230000,-14208000,-198000,170168000,-5405000,0.3587,-0.05512,-0.10707,-0.20082,-0.02257,0.5769,1.7614,7.89896,0.40988,-0.1138,-0.1138,1.06285,0.56667,-0.06565,-0.03923,-0.02263,-312.06061,-12.81111
"27","2017_Q4",4.59142857142857,"Up",97312000,-61887000,35425000,-36693000,-24209000,-12484000,-1268000,-2919000,-2919000,-4187000,-4187000,-842000,-5029000,-5029000,-5029000,-5029000,84076000,60170000,87091000,87091000,116573000,22583000,17704000,4879000,310323000,23353000,83171000,1646000,57742000,23783000,106524000,416847000,66408000,23633000,42775000,114103000,95250000,18853000,296213000,54335000,20843000,10301000,10542000,75178000,371391000,492394000,-445131000,-1807000,45456000,45456000,416847000,-5029000,4568000,5118000,-17154000,-12497000,-483000,-483000,-483000,14506000,1025000,1025000,-254000,1755000,1755000,1297000,3052000,3300000,170037000,-13495000,0.36404,-0.01303,-0.05168,-0.11063,-0.01206,2.68344,1.04763,8.17034,0.40791,-0.06065,-0.06065,1.17366,0.54824,-0.16276,-0.02128,-0.0571,26.04879,-67.79259
