"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2017_Q4",5.34380952380952,"Down",194709000,-141928000,52781000,-51103000,-5105000,-45998000,1678000,-876000,-876000,802000,802000,-204000,598000,598000,598000,598000,5123000,5123000,3285000,3285000,92864000,2226000,2226000,103498000,186993000,7302000,5653000,1649000,194295000,297793000,73559000,57489000,16070000,74080000,58987000,32025000,11478000,91012000,165092000,55896000,77610000,132701000,132701000,297793000,598000,7525000,-857000,6147000,13413000,-13129000,-13129000,1e+06,605000,889000,889000,889000,9203000,59508000,2425000,0.27108,0.00862,0.00307,0.00451,0.00201,4.05518,1.39711,1.24409,0.19983,0.02662,0.02662,8.66705,5.9069,0.10794,0.00267,0.01081,5.90949,32.41061
"22","2018_Q1",6.22180327868852,"Up",198541000,-145297000,53244000,-50505000,-5142000,-45363000,2739000,-1055000,-1055000,1684000,1684000,-448000,1236000,1236000,1236000,1236000,6521000,6521000,4860000,4860000,93612000,3222000,3222000,108215000,184417000,7359000,5655000,1704000,191776000,299991000,71013000,56849000,14164000,71561000,61272000,33275000,12419000,94547000,166108000,55701000,78846000,133883000,133883000,299991000,1236000,7546000,6770000,-10560000,4992000,-4336000,-4336000,365000,742000,1398000,1398000,1398000,10285000,61820000,-4163000,0.26818,0.0138,0.00623,0.00923,0.00412,-3.36812,1.51221,1.2407,0.20607,0.05503,0.05503,8.84003,5.96113,-0.18536,0.0054,-0.01818,5.37667,20.18949
"23","2018_Q2",7.84359375,"Up",202480000,-149321000,53159000,-50966000,-5257000,-45709000,2193000,-1089000,-1089000,1104000,1104000,4077000,5181000,5181000,5181000,5181000,8089000,8089000,4477000,4477000,91422000,2761000,2761000,106749000,185189000,7401000,5673000,1728000,192590000,299339000,69340000,52163000,17177000,69944000,61712000,29043000,7973000,90755000,160699000,55849000,84026000,138640000,138640000,299339000,5181000,7415000,-2023000,396000,10969000,-4878000,-4884000,-3936000,-4517000,1568000,1568000,1568000,9608000,62316000,1049000,0.26254,0.01083,0.02559,0.03737,0.01731,0.20247,1.52621,1.15911,0.20818,0.23164,0.23164,9.05272,6.19849,0.0469,0.02253,0.00456,5.64394,24.72731
"24","2018_Q3",13.4780952380952,"Up",215911000,-157630000,58281000,-52635000,-5458000,-47177000,5646000,-1122000,-1122000,4524000,4524000,-1120000,3404000,3404000,3404000,3404000,8071000,8071000,5692000,5692000,96873000,2789000,2789000,113425000,184053000,7395000,5667000,1728000,191448000,304873000,76004000,60564000,15440000,76637000,56545000,29452000,8248000,85997000,162634000,55917000,87431000,142239000,142239000,304873000,3404000,7410000,-5704000,5659000,10769000,-5618000,-5641000,-5146000,-5146000,-18000,-18000,-18000,13056000,57178000,14217000,0.26993,0.02615,0.01577,0.02393,0.01117,4.17656,1.48003,1.14339,0.18755,0.15148,0.15148,9.60827,6.32979,0.63267,0.01487,0.06212,3.76126,8.69766
"25","2018_Q4",14.3492063492063,"Up",213130000,-156299000,56831000,-53073000,-5630000,-47443000,3758000,-1170000,-1170000,2588000,2588000,-597000,1991000,1991000,1991000,1991000,7204000,7204000,4913000,4913000,97247000,3210000,3210000,112574000,187649000,7386000,5659000,1727000,195035000,307609000,75841000,58211000,17630000,76540000,56811000,29844000,8682000,86655000,163195000,56100000,89422000,144414000,144414000,307609000,1991000,7344000,-297000,-470000,8568000,-5989000,-5990000,-3445000,-3445000,-867000,-867000,-867000,11102000,57510000,5240000,0.26665,0.01763,0.00934,0.01379,0.00647,2.63184,1.47079,1.13005,0.18696,0.08856,0.08856,9.48021,6.42367,0.23308,0.00859,0.02261,4.53126,13.38638
"26","2019_Q1",11.4768852459016,"Down",217521000,-160219000,57302000,-53846000,-5161000,-48685000,3456000,-1179000,-1179000,2277000,2277000,-192000,2085000,2085000,2085000,2085000,9398000,9398000,4738000,4738000,94228000,2590000,2590000,110954000,188768000,7361000,5648000,1713000,196129000,307083000,78955000,61104000,17851000,79691000,53598000,27068000,6447000,80666000,160357000,56259000,91507000,146726000,146726000,307083000,2085000,7261000,3459000,-248000,12557000,-7168000,-7028000,-3246000,-3335000,2194000,2194000,2194000,10717000,54334000,3493000,0.26343,0.01589,0.00959,0.01421,0.00679,1.6753,1.3923,1.0929,0.17694,0.09336,0.09336,9.74012,6.57007,0.15641,0.00914,0.01531,4.19296,13.00231
"27","2019_Q2",9.30412698412698,"Down",221515000,-162369000,59146000,-55110000,-5315000,-49795000,4036000,-1255000,-1255000,2781000,2781000,-584000,2197000,2197000,2197000,2197000,4536000,4536000,4876000,4876000,95197000,2716000,2716000,107325000,194696000,8111000,6390000,1721000,202807000,310132000,76011000,54420000,21591000,76816000,57541000,26607000,6183000,84148000,160964000,56360000,93704000,149168000,149168000,310132000,2197000,7286000,-1129000,-827000,7527000,-11492000,-11560000,-829000,-829000,-4862000,-4862000,-4862000,11322000,58346000,-413000,0.26701,0.01822,0.00992,0.01473,0.00708,-0.18798,1.39717,1.07908,0.18813,0.09723,0.09723,9.8033,6.60153,-0.01828,0.00938,-0.00176,4.75269,13.33251
"28","2019_Q3",8.061875,"Down",230447000,-168233000,62214000,-56093000,-5761000,-50332000,6121000,-1280000,-1280000,4841000,4841000,-981000,3860000,3860000,3860000,3860000,11283000,11283000,4501000,4501000,95335000,2544000,2544000,113663000,191439000,8159000,6464000,1695000,199598000,313261000,78872000,61547000,17325000,79715000,54972000,25393000,5901000,80365000,160080000,56215000,97564000,153181000,153181000,313261000,3860000,7290000,77000.0000000005,3839000,15066000,-5338000,-5521000,-2798000,-2798000,6747000,6747000,6747000,13411000,55815000,12893000,0.26997,0.02656,0.01675,0.0252,0.01232,3.34016,1.42587,1.04504,0.17817,0.17107,0.17107,10.21326,6.78888,0.57141,0.01647,0.05501,3.32056,7.27528
"29","2019_Q4",7.47703125,"Down",224411000,-165986000,58425000,-54590000,-5953000,-48637000,3835000,-1256000,-1256000,2579000,2579000,-581000,1998000,1998000,1998000,1998000,11659000,11659000,3956000,3956000,96092000,3298000,3298000,115005000,195499000,9809000,8122000,1687000,205308000,320313000,80228000,61025000,19203000,81211000,59337000,24444000,5047000,83781000,164992000,56185000,99562000,155321000,155321000,320313000,1998000,7207000,-1870000,-1633000,5702000,-3122000,-4907000,-419000,-419000,376000,376000,376000,11042000,60320000,6868000,0.26035,0.01709,0.0089,0.01286,0.00624,3.43744,1.41613,1.06226,0.18832,0.08866,0.08866,9.95849,6.89254,0.30478,0.00832,0.02861,4.4069,12.68866
"30","2020_Q1",7.06129032258065,"Down",227209000,-168241000,58968000,-56194000,-203600000,147406000,2774000,-1161000,-1161000,1613000,1613000,-252000,1361000,1361000,1361000,1361000,6214000,6214000,5059000,5059000,96179000,7728000,7728000,115180000,201635000,10299000,8644000,1655000,211934000,327114000,82223000,63162000,19061000,83268000,57167000,29773000,10420000,86940000,170208000,56342000,100923000,156906000,156906000,327114000,1361000,7194000,8342000,-7810000,9087000,-9242000,-9877000,-4234000,-4655000,-5445000,-5445000,-5445000,9968000,58212000,-6832000,0.25953,0.01221,0.00599,0.00867,0.00416,-5.01984,1.38324,1.08478,0.17796,0.06042,0.06042,10.08728,6.96608,-0.30332,0.00556,-0.0279,5.21649,18.74477
"31","2020_Q2",10.0784126984127,"Up",230030000,-169506000,60524000,-57676000,-5819000,-51857000,2848000,-536000,-536000,2312000,2312000,-444000,1868000,1868000,1868000,1868000,5157000,5157000,4681000,4681000,98145000,8071000,8071000,116054000,155619000,397659000,9476000,388183000,553278000,669332000,84252000,62220000,22032000,118045000,381085000,11110000,11110000,392195000,510240000,56477000,102878000,159092000,159092000,669332000,1868000,7707000,707000,198000,10480000,-10982000,-11973000,2081000,436000,-1057000,-1057000,-1057000,10555000,414878000,215000,0.26311,0.01238,0.00812,0.01174,0.00279,0.1151,0.98313,3.2072,0.61984,0.08286,0.08286,10.20407,7.05728,0.00954,0.00588,0.000369999999999999,38.81772,143.86271
"32","2020_Q3",10.883125,"Up",277524000,-199701000,77823000,-64566000,-115343000,50777000,13257000,-516000,-516000,12741000,12741000,-3023000,9718000,9718000,9718000,9718000,29374000,29374000,5594000,5594000,88411000,3253000,3253000,126632000,154739000,395221000,9661000,385560000,549960000,676592000,93430000,70767000,22663000,127745000,370251000,11161000,11161000,381412000,509157000,56462000,111022000,167435000,167435000,676592000,9718000,7888000,326000.000000001,24948000,42880000,-7777000,-8158000,-8855000,-10505000,24217000,24217000,24217000,21145000,404566000,41339000,0.28042,0.04777,0.03502,0.05804,0.01436,4.25386,0.99129,3.04092,0.59795,0.43111,0.43111,12.3116,7.4278,1.83389,0.01937,0.07089,17.74377,28.30143
"33","2020_Q4",10.9775,"Up",265110000,-192729000,72381000,-65695000,-65395000,-3e+05,6686000,-505000,-505000,6181000,6181000,-1490000,4691000,4691000,4691000,4691000,29855000,29855000,5174000,5174000,96347000,4688000,4688000,136064000,151927000,387392000,10278000,377114000,539319000,675383000,94025000,69558000,24467000,128582000,362202000,13969000,13969000,376171000,504753000,56495000,114135000,170630000,170630000,675383000,4691000,7913000,3010000,-7517000,8097000,-6736000,-5337000,-587000,-2279000,481000,481000,481000,14599000,396759000,1836000,0.27302,0.02522,0.01769,0.02749,0.00695,0.39139,1.05819,2.95817,0.58746,0.20951,0.2078,11.84012,7.62054,0.082,0.01078,0.00316,25.13213,54.87646
"34","2021_Q1",15.0209836065574,"Up",264178000,-191765000,72413000,-67455000,-67292000,-163000,4958000,-491000,-491000,4467000,4467000,-735000,3732000,3732000,3732000,3732000,28534000,28534000,8519000,8519000,100175000,6185000,6185000,143413000,147929000,390450000,10499000,379951000,538379000,681792000,94158000,69163000,24995000,129150000,365147000,14429000,14429000,379576000,508726000,56775000,116291000,173066000,173066000,681792000,3732000,7685000,1410000,-7781000,5046000,-1257000,-4089000,-602000,-2278000,-1321000,-1321000,-1321000,12643000,400139000,4339999.99999999,0.27411,0.01877,0.01413,0.02156,0.00547,1.16292,1.11044,2.93949,0.58689,0.16563,0.16476,11.72475,7.68101,0.19262,0.00903,0.00739,29.39215,74.95058
