"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",49.9491935483871,"Down",124260000,-72997000,51263000,-43427000,-36940000,7836000,-1055000,6781000,6781000,-2679000,4102000,4102000,4102000,4102000,45609000,45609000,24109000,22219000,14255000,91937000,122620000,17057000,4642000,139677000,231614000,40362000,40362000,1444000,71806000,22315000,22315000,94815000,166621000,9353000,56185000,64993000,64993000,231614000,4102000,6108000,2387000,1988000,14585000,-8294000,-8294000,-8294000,-8294000,-9372000,-3081000,-3081000,-3081000,13944000,102500000,10317000,0.41255,0.06306,0.03301,0.06311,0.01771,2.51511,1.28035,2.56368,0.44255,0.35875,0.35713,10.86759,5.68419,0.90231,7,0.08416,0.05435,4.07996,7.26021
"12","2013_Q1",47.4245,"Down",141933000,-77685000,64248000,-35523000,-28882000,28725000,-1243000,27482000,27482000,-10855000,16627000,16627000,16627000,16627000,47517000,47517000,23262000,18876000,14422000,89655000,121520000,16617000,6538000,138137000,227792000,39124000,39124000,775000,43024000,21905000,21905000,143780000,186804000,413000.000000002,41311000,40988000,40988000,227792000,16627000,6116000,-830000,2903000,24816000,-6568000,-6568000,-6568000,-6568000,-16340000,1908000,1908000,1908000,34841000,1.25e+08,42031000,0.45266,0.20238,0.11715,0.40566,0.07299,2.52788,2.08384,4.55753,0.54875,1.47455,1.4696,12.58718,3.63498,3.72747,5,0.15086,0.2237,2.2239,2.69741
"13","2013_Q2",44.36703125,"Down",137506000,-73427000,64079000,-34160000,-28809000,29919000,-1296000,28623000,28623000,-11392000,17231000,17231000,17231000,17231000,50762000,50762000,22181000,12052000,12052000,84995000,117912000,13120000,6320000,131032000,216027000,35782000,31082000,510000,39417000,23193000,23193000,144287000,183704000,485000,32435000,32323000,32323000,216027000,17231000,6190000,1741000,6231000,31393000,-2368000,-2368000,-2368000,-2368000,-25780000,3245000,3245000,3245000,36109000,124219000,51364000,0.46601,0.21758,0.12531,0.53309,0.07976,2.98091,2.1563,5.68338,0.57502,1.59354,1.58811,12.71673,2.98927,4.75021,5,0.09587,0.28578,2.03431,2.4552
"14","2013_Q3",39.31875,"Down",131980000,-71305000,60675000,-34418000,-29206000,26257000,-1337000,24920000,24920000,-9918000,15002000,15002000,15002000,15002000,67540000,67540000,23336000,11383000,11383000,102259000,114198000,13365000,6565000,127563000,229822000,32328000,31617000,508000,35961000,22593000,22593000,142906000,178867000,3232000,47437000,50955000,50955000,229822000,15002000,6244000,2180000,-3241000,20185000,-2626000,-2626000,-2626000,-2626000,-781000,16778000,16778000,16778000,32501000,123438000,36552000,0.45973,0.19895,0.11367,0.29442,0.06528,2.43648,2.84361,3.51029,0.5371,1.42835,1.42388,12.56593,4.85147,3.48015,5,0.07616,0.18556,1.71989,2.12888
"15","2013_Q4",34.2615625,"Down",110031000,-63673000,46358000,-39737000,-34549000,6621000,-1390000,5231000,5231000,-2082000,3149000,3149000,3149000,3149000,85220000,85220000,19686000,13410000,12503000,118316000,109958000,12677000,5872000,122635000,240951000,39058000,39058000,866000,43049000,21406000,21406000,140937000,183986000,6398000,50586000,56965000,56965000,240951000,3149000,6127000,1133000,10174000,20583000,-2121000,-2121000,-2121000,-2121000,-782000,17680000,17680000,17680000,12748000,122656000,22883000,0.42132,0.06017,0.02862,0.05528,0.01307,7.26675,2.7484,3.22981,0.50905,0.29968,0.29843,10.47116,5.42111,2.17767,6,0.01566,0.11383,2.93662,5.65413
"16","2014_Q1",36.3526229508197,"Up",124083000,-102041000,22042000,-52138000,-47499000,-30096000,-1394000,-31490000,-31490000,12533000,-18957000,-18957000,-18957000,-18957000,94760000,94760000,15842000,16738000,16738000,127340000,94421000,32505000,8576000,126926000,254266000,41096000,38527000,937000,45158000,51456000,51456000,170206000,215364000,7245000,31629000,38902000,38902000,254266000,-18957000,17002000,-19161000,33048000,11932000,-1611000,-1611000,-1611000,-1611000,-781000,9540000,9540000,9540000,-13094000,121875000,5810000,0.17764,-0.24255,-0.15278,-0.4873,-0.07456,-0.30648,2.81988,5.53606,0.47932,-1.80337,-1.79551,11.80394,3.70072,0.5527,5,-0.08932,0.02738,-2.0708,-0.90095
"17","2014_Q2",44.7215873015873,"Up",116468000,-59113000,57355000,-31446000,-27327000,25909000,-1352000,24557000,24557000,-9774000,14783000,14783000,14783000,14783000,126200000,126200000,15481000,16095000,16095000,157776000,90528000,29310000,7520000,119838000,277614000,49440000,38503000,2228000,55574000,50685000,50685000,167873000,223447000,7652000,46412000,54167000,54167000,277614000,14783000,5803000,1285000,11346000,33217000,-996000,-996000,-996000,-996000,-781000,31440000,31440000,31440000,31712000,121094000,51836000,0.49245,0.22246,0.12693,0.27292,0.05325,3.50646,2.83903,4.12515,0.4362,1.40403,1.39713,11.06164,5.14455,4.92316,7,0.06543,0.22942,-0.16101,-0.19707
"18","2014_Q3",49.895625,"Up",112747000,-59799000,52948000,-28950000,-24517000,23998000,-1279000,22719000,22719000,-9042000,13677000,13677000,13677000,13677000,136076000,136076000,15009000,15398000,15398000,166483000,87097000,28613000,6938000,115710000,282193000,40915000,33174000,3653000,49256000,47349000,47349000,162974000,212230000,9941000,60089000,69963000,69963000,282193000,13677000,5024000,2643000,-9364000,11980000,-1323000,-1323000,-1323000,-1323000,-781000,9876000,9876000,9876000,29022000,120313000,27377000,0.46962,0.21285,0.12131,0.19549,0.04847,2.00168,3.37995,3.03346,0.42635,1.29456,1.28749,10.67175,6.62215,2.59129,5,0.05756,0.11521,-0.54314,-0.65685
"19","2014_Q4",62.545625,"Up",100756000,-55927000,44829000,-35613000,-31542000,9216000,-1269000,7947000,7947000,-2994000,4953000,4953000,4953000,4953000,150471000,150471000,15712000,16497000,16497000,182680000,84403000,28401000,6392000,112804000,295484000,48753000,47713000,4539000,58761000,44942000,44942000,159005000,217766000,12492000,65042000,77718000,77718000,295484000,4953000,4955000,2237000,4771000,16916000,-1739000,-1739000,-1739000,-1739000,-782000,14395000,14395000,14395000,14171000,119532000,20197000,0.44493,0.09147,0.04916,0.06373,0.01676,4.07773,3.10886,2.802,0.40453,0.46855,0.46455,9.53136,7.352,1.9106,7,0.02045,0.08339,-2.18326,-3.3571
"20","2015_Q1",56.8332786885246,"Down",116070000,-61464000,54606000,-31982000,-27944000,22624000,-1231000,21393000,21393000,-8450000,12943000,12943000,12943000,12943000,162283000,162283000,16942000,17426000,17426000,196651000,82266000,28898000,5857000,111164000,307815000,45122000,43836000,4963000,56335000,46248000,46248000,158748000,215083000,14659000,77985000,92732000,92732000,307815000,12943000,4848000,1660000,-3587000,15864000,-2844000,-2844000,-2844000,-2844000,-1208000,11812000,11812000,11812000,27472000,118750000,29491000,0.47046,0.19492,0.11151,0.13957,0.04205,2.27853,3.49074,2.3194,0.38578,1.22346,1.20579,10.97174,8.76567,2.78769,7,0.05022,0.11443,-1.58463,-1.9242
"21","2015_Q2",43.3271428571429,"Down",111885000,-59697000,52188000,-32329000,-28336000,19859000,-1195000,18664000,18664000,-7279000,11385000,11385000,11385000,11385000,188279000,188279000,14962000,14342000,14342000,217583000,80804000,29391000,5578000,110195000,327778000,51444000,42905000,5864000,63558000,46919000,46919000,157857000,221415000,17110000,89370000,106363000,106363000,327778000,11385000,4713000,1870000,12724000,30692000,-2834000,-2834000,-2834000,-2834000,-1862000,25996000,25996000,25996000,24572000,117188000,41741000,0.46644,0.17749,0.10176,0.10704,0.03473,3.66632,3.42338,2.08169,0.35752,1.07619,1.06025,10.57614,10.05416,3.94565,5,0.04209,0.15433,-2.89317,-3.57979
"22","2015_Q3",45.25359375,"Up",109750000,-59245000,50505000,-29576000,-25514000,20929000,-1172000,19757000,19757000,-7883000,11874000,11874000,11874000,11874000,195557000,195557000,15222000,14520000,14520000,225299000,80336000,30368000,5471000,110704000,336003000,44969000,40733000,9255000,60474000,45498000,45498000,154873000,215347000,19557000,101244000,120656000,120656000,336003000,11874000,4579000,1258000,-4647000,13064000,-4223000,-4223000,-4223000,-4223000,-1563000,7278000,7278000,7278000,25508000,115625000,24521000,0.46018,0.1907,0.10819,0.09841,0.03534,2.0651,3.72555,1.7848,0.34412,1.12156,1.1093,10.36649,11.39662,2.31614,5,0.04214,0.08702,-3.13361,-3.8192
"23","2015_Q4",50.0796875,"Up",99142000,-55281000,43861000,-36607000,-32518000,7254000,-1100000,6154000,6154000,-2431000,3723000,3723000,3723000,3723000,86917000,86917000,17064000,15745000,15745000,119726000,78589000,31958000,5687000,110547000,230273000,45513000,44459000,12022000,57535000,45561000,45561000,45561000,103096000,22210000,104967000,127177000,127177000,230273000,3723000,4419000,1626000,947000,10715000,-2530000,-2530000,-2530000,-2530000,-116825000,-108640000,-108640000,-108640000,11673000,0,12521000,0.44241,0.07317,0.03755,0.02927,0.01617,3.36315,2.08092,0.81065,0,0.35149,0.34678,9.36008,12.00689,1.18212,5,0.02155,0.07249,-7.44599,-11.98194
"24","2016_Q1",43.5993442622951,"Down",113660000,-59874000,53786000,-32130000,-27970000,21656000,-1e+05,21556000,21556000,-8515000,13041000,13041000,13041000,13041000,106889000,106889000,18519000,6944000,6944000,132352000,77139000,38943000,5694000,116082000,248434000,44937000,42253000,12654000,57591000,47987000,47987000,47987000,105578000,24848000,118008000,142856000,142856000,248434000,13041000,4393000,2057000,3586000,23077000,-3105000,-3105000,-3105000,-3105000,-1.49011611938477e-08,19972000,19972000,19972000,26049000,0,35045000,0.47322,0.19053,0.11474,0.09129,0.05249,2.68729,2.29814,0.73905,0,1.23098,1.20952,10.72871,13.48461,3.308,6,0.06833,0.18363,-4.10338,-4.93577
"25","2016_Q2",41.821875,"Down",111166000,-58098000,53068000,-32976000,-28627000,20092000,-60000,20032000,20032000,-7612000,12420000,12420000,12420000,12420000,117498000,117498000,18613000,8383000,8383000,144494000,74954000,58248000,14276000,133202000,277696000,45339000,38108000,17149000,62488000,57091000,57091000,57091000,119579000,27689000,130428000,158117000,158117000,277696000,12420000,4425000,2201000,-4366000,14680000,-2031000,-2031000,-2031000,-3666000,-405000,10609000,10609000,10609000,24517000,0,25732000,0.47738,0.18074,0.11172,0.07855,0.04473,2.07182,2.31235,0.75627,0,1.17214,1.15192,10.49132,14.92233,2.42846,6,0.05771,0.11957,-4.79251,-5.848
"26","2016_Q3",42.5015625,"Up",108487000,-61782000,46705000,-33809000,-29678000,12896000,-48000,12848000,12848000,-5062000,7786000,7786000,7786000,7786000,117422000,117422000,19053000,9306000,8409000,145781000,72577000,59193000,13891000,131770000,277551000,42127000,42127000,17413000,59540000,50073000,50073000,50073000,109613000,29724000,138214000,167938000,167938000,277551000,7786000,4448000,112000,-4601000,7745000,-1821000,-1821000,-1821000,-7821000,3.72529029846191e-09,-76000,-76000,-76000.0000000075,17344000,-9.31322574615479e-10,15984000,0.43051,0.11887,0.07177,0.04636,0.02805,2.05292,2.44845,0.6527,-1.73472347597681e-18,0.73384,0.72106,10.22498,15.82828,1.5065,3,0.03571,0.07332,-6.77018,-9.1053
"27","2016_Q4",57.7473015873016,"Up",102156000,-56295000,45861000,-41031000,-36340000,4830000,-46000,4784000,4784000,-1906000,2878000,2878000,2878000,2878000,120502000,120502000,18925000,13275000,10838000,152702000,71725000,62077000,13390000,133802000,286504000,44818000,44818000,16836000,61654000,51631000,51631000,51631000,113285000,32127000,141092000,173219000,173219000,286504000,2878000,4403000,-1459000,1860000,7682000,-3649000,-3649000,-3649000,-3649000,-953000,3080000,3080000,3080000,9233000,0,9350000,0.44893,0.04728,0.02817,0.01661,0.01005,3.24878,2.47676,0.654,0,0.27105,0.26577,9.62102,16.31371,0.88058,6,0.0128,0.04158,-13.05123,-24.94865
"28","2017_Q1",70.8856451612903,"Up",119279000,-65924000,53355000,-36914000,-32253000,16441000,-26000,16415000,19628000,-7910000,11718000,11718000,11718000,11718000,129245000,129245000,20532000,10766000,10766000,160543000,73124000,65029000,13189000,138153000,298696000,43015000,41132000,16824000,59839000,50483000,50483000,50483000,110322000,35564000,152810000,188374000,188374000,298696000,11718000,4541000,-3457000,1614000,14416000,-5660000,-5660000,-5660000,-5660000,0,8756000,8756000,8756000,20982000,1.16415321826935e-10,24846000,0.44731,0.13784,0.09824,0.06221,0.03923,2.12033,2.68292,0.58565,0,1.10381,1.06809,11.23578,17.74435,2.34043,5,0.04906,0.10402,-6.1598,-7.86114
"29","2017_Q2",77.8873015873016,"Up",114912000,-61416000,53496000,-35053000,-30337000,18443000,22000,18465000,18465000,-7887000,10578000,10578000,10578000,10578000,147099000,147099000,20323000,9978000,9978000,177400000,72803000,63771000,12908000,136574000,313974000,46996000,38398000,19235000,66231000,49217000,49217000,49217000,115448000,37991000,160535000,198526000,198526000,313974000,10578000,4370000,2707000,6880000,24535000,-3841000,-3841000,-3841000,-3841000,-2853000,17841000,17841000,17841000,22813000,0,33739000,0.46554,0.1605,0.09205,0.05328,0.03369,3.18954,2.6785,0.58153,0,0.99511,0.95117,10.81016,18.67601,3.17394,5,0.05421,0.13619,-6.44803,-7.97587
"30","2017_Q3",74.4890476190476,"Down",112720000,-63650000,49070000,-37210000,-32431000,11860000,93000,11953000,13947000,-3645000,10302000,10302000,10302000,10302000,147867000,147867000,20342000,11842000,10357000,180051000,72706000,65725000,12540000,138431000,318482000,41286000,41286000,20017000,61303000,47978000,47978000,47978000,109281000,41218000,167983000,209201000,209201000,318482000,10302000,4605000,-1468000,-5208000,8231000,-4594000,-4594000,-4594000,-4594000,-2854000,783000,783000,783000,16465000,0,10308000,0.43533,0.10522,0.09139,0.04924,0.03235,1.00058,2.93707,0.52237,0,0.96461,0.92073,10.55431,19.58811,0.96517,6,0.05116,0.04008,-8.98069,-12.46771
"31","2017_Q4",82.7461904761905,"Up",108512000,-59755000,48757000,-42637000,-37809000,6120000,141000,6261000,8365000,-2138000,6227000,6227000,6227000,6227000,150483000,150483000,20626000,15651000,12917000,186760000,74335000,67480000,12127000,141815000,328575000,50514000,50514000,21784000,72298000,40788000,40788000,40788000,113086000,44133000,171356000,215489000,215489000,328575000,6227000,4743000,-5197000,5829000,11602000,-6138000,-6138000,-6138000,-6138000,-2854000,2610000,2610000,2610000,10863000,0,12692000,0.44932,0.0564,0.05739,0.0289,0.01895,2.03822,2.5832,0.52479,0,0.5818,0.55539,10.13847,20.13351,1.18584,6,0.03543,0.04952,-13.8528,-24.58873
"32","2018_Q1",85.0088524590164,"Up",118707000,-84122000,34585000,-14432000,-28755000,20153000,181000,20334000,11869000,-18364000,-6495000,-6495000,-6495000,-6495000,155933000,155933000,23122000,11293000,11293000,190348000,73763000,57167000,4711000,130930000,321278000,47215000,46177000,21851000,69066000,43015000,43015000,43015000,112081000,47191000,162006000,209197000,209197000,321278000,-6495000,5015000,14631000,-1362000,11789000,-3478000,-3478000,-3478000,-3478000,-2855000,5456000,5456000,5456000,25168000,0,38692000,0.29135,0.16977,-0.05471,-0.03105,-0.02022,-5.9572,2.75603,0.53577,0,-0.60707,-0.5761,11.09515,19.55295,3.61641,3,-0.01443,0.15341,-6.19568,-7.73746
"33","2018_Q2",96.30078125,"Up",116469000,-68452000,48017000,-31342000,-31342000,16675000,289000,16964000,11617000,-2150000,9467000,9467000,9467000,9467000,165867000,165867000,24997000,10558000,10558000,201422000,73686000,56702000,12155000,130388000,331810000,48347000,45806000,23931000,72278000,41240000,41240000,41240000,113518000,49879000,168413000,218292000,218292000,331810000,9467000,5035000,912000,1635000,17049000,-4233000,-4233000,-4233000,-4233000,-2889000,9927000,9927000,9927000,21710000,0,21262000,0.41227,0.14317,0.08128,0.04337,0.02853,2.24591,2.78677,0.52003,0,0.88106,0.83697,10.83937,20.31568,1.97878,4,0.04761,0.08192,-7.64012,-9.94705
"34","2018_Q3",115.900952380952,"Up",114668000,-69299000,45369000,-32176000,-32176000,13193000,447000,13640000,4631000,557000,5188000,5188000,5188000,5188000,171600000,171600000,25595000,16977000,11385000,214172000,72125000,50468000,9698000,122593000,336765000,46657000,46657000,22547000,69204000,43721000,43721000,43721000,112925000,53128000,170712000,223840000,223840000,336765000,5188000,4880000,9760000,-6851000,12977000,-4363000,-4363000,-4363000,-4362999.99999999,-2889000,5725000,5725000,5725000,18073000,-5.6843418860808e-14,6302000,0.39566,0.11505,0.04524,0.02318,0.01541,1.21473,3.09479,0.50449,0,0.47688,0.45585,10.54031,20.57542,0.57928,4,0.03019,0.02355,-9.49483,-13.0069
"35","2018_Q4",115.428888888889,"Down",160945000,-103079000,57866000,-72254000,-61976000,-14388000,1110000,-13278000,-56017000,3236000,-52781000,-52781000,-52781000,-52781000,314521000,276382000,52527000,24362000,17367000,391410000,124613000,1096349000,23143000,1254286000,1645696000,78092000,78092000,38025000,116117000,121249000,50123000,121249000,237366000,1301445000,106907000,1408330000,1408330000,1645696000,-52781000,19192000,16311000,-27395000,-44673000,-7432000,-7432000,-7432000,155284000,-5814000,104797000,104797000,104797000,4804000,0,-33259000,0.35954,-0.0894,-0.32794,-0.03748,-0.03207,0.63013,3.37082,0.16854,0,-2.96539,-3.15468,9.04236,79.12411,-1.86859,2,-0.0273,-0.02174,-65.47065,21.85995
"36","2019_Q1",110.770327868852,"Down",242103000,-130712000,111391000,-83957000,-68541000,27434000,1755000,29189000,20630000,1825000,22455000,22455000,22455000,22455000,348853000,311732000,55694000,15814000,15814000,420361000,122677000,1080313000,19429000,1240668000,1661029000,86398000,85979000,38733000,125131000,110674000,51316000,110674000,235805000,1306870000,118322000,1425224000,1425224000,1661029000,22455000,25436000,-7274000,20897000,61514000,-11519000,-11519000,-11519000,-16551000,-9623000,35340000,35340000,35340000,52870000,0,60423000,0.4601,0.11332,0.09275,0.01576,0.01352,2.69085,3.35937,0.16545,-2.11758236813575e-22,1.0524,1.0524,11.34663,66.79589,2.83184,6,0.02181,0.03934,-6.59832000000001,-12.71608
