"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",10.8247619047619,"Down",306837000,-172972000,133865000,-117067000,-100052000,-17015000,16798000,-7329000,-7391000,62000,9469000,-6171000,3298000,-503000,2795000,2795000,2795000,2795000,54520000,54520000,125485000,125485000,17279000,38217000,17540000,235501000,379449000,574078000,346385000,219971000,7722000,953527000,1189028000,97235000,12483000,73350000,73350000,184094000,339918000,43479000,25531000,12283000,383397000,567491000,607549000,17502000,-3097000,621537000,621537000,1189028000,2795000,17015000,2e+06,14678000,36488000,-2130000,158000,-2288000,-2288000,-27023000,-877000,-15634000,-6169000,-6169000,-6169000,33813000,353427000,46864000,0.43627,0.05475,0.00911,0.0045,0.00235,16.76708,1.27924,0.91304,0.29724,0.06276,0.0635,6.89002,13.95661,1.05233,0.01717,0.04602,8.84,17.7942
"12","2017_Q1",10.8614516129032,"Up",333585000,-179330000,154255000,-127021000,-109611000,-17410000,27234000,-9303000,-7366000,-1937000,17931000,-1059000,16872000,-2376000,14496000,14496000,14496000,14496000,172246000,172246000,138115000,138115000,18167000,41820000,18720000,370348000,381319000,584363000,351477000,227954000,4932000,965682000,1336030000,103494000,19105000,77987000,77987000,195868000,338860000,46329000,25946000,12597000,385189000,581057000,743074000,16293000,-3977000,754973000,754973000,1336030000,14496000,17410000,5940000,-10358000,27488000,-2850000,49999.9999999981,-2900000,-2900000,-32624000,-960000,119301000,114165000,114165000,114165000,44644000,353247000,33812000,0.46242,0.08164,0.04346,0.0192,0.01085,2.33251,1.8908,0.76964,0.2644,0.30587,0.30539,7.03885,15.9304,0.71345,0.02606,0.02929,4.05432,6.64614
"13","2017_Q2",9.81396825396825,"Down",307524000,-177790000,129734000,-123806000,-106202000,-17604000,5928000,-7001000,-7218000,217000,-1073000,-8943000,-10016000,6331000,-3685000,-3685000,-3685000,-3685000,135886000,135886000,126811000,126811000,17786000,45906000,22795000,326389000,382235000,583287000,348227000,229389000,5671000,965522000,1291911000,93645000,23005000,81597000,81597000,179629000,338679000,40894000,25507000,12666000,379573000,559202000,735786000,1896000,-3949000,732709000,732709000,1291911000,-3685000,17604000,2613000,1716000,18248000,-2108000,292000,-2400000,-2400000,-23817000,-11308000,-30791000,-36360000,-36360000,-36360000,23532000,343066000,16809000,0.42187,0.01928,-0.01198,-0.00503,-0.00285,-4.56147,1.81702,0.7632,0.26555,-0.06928,-0.06928,5.78197,13.77616,0.31604,0.0136,0.01505,8.80418,34.94939
"14","2017_Q3",10.3757142857143,"Up",322873000,-177021000,145852000,-125421000,-106661000,-18760000,20431000,-7112000,-7217000,105000,13319000,-27051000,-13732000,-7955000,-21687000,-21687000,-21687000,-21687000,154327000,154327000,125631000,125631000,17218000,47099000,22824000,344275000,361529000,547516000,340790000,200735000,5991000,909045000,1253320000,95975000,25492000,78658000,78658000,179020000,338498000,47555000,25038000,13640000,386053000,565073000,720484000,-27272000,-3921000,688247000,688247000,1253320000,-21687000,18760000,4777000,29541000,31391000,11947000,14371000,-2424000,-2424000,11596000,-876999.999999998,-24546000,18441000,18441000,18441000,39191000,342885000,88634000,0.45173,0.06328,-0.06717,-0.03151,-0.0173,-4.08696,1.92311,0.82103,0.27358,-0.40827,-0.40827,6.07824,12.95657,1.66858,-0.00282,0.08217,4.81126,9.22901
"15","2017_Q4",12.5646031746032,"Up",317176000,-177724000,139452000,-125225000,-106968000,-18257000,14227000,-7602000,-7848000,246000,6625000,-7663000,-1038000,-933000,-1971000,-1971000,-1971000,-1971000,160541000,160541000,127652000,127652000,18282000,46118000,21683000,352593000,366710000,545744000,337473000,202388000,5883000,912454000,1265047000,107229000,24905000,80375000,80375000,192131000,356536000,47932000,24106000,14053000,404468000,596599000,702620000,-29205000,-3894000,668448000,668448000,1265047000,-1971000,18257000,4087000,10756000,31129000,-2376000,6000,-2382000,-2382000,-22016000,19122000,-2899000,6214000,6214000,6214000,32484000,361063000,41797000,0.43967,0.04486,-0.00621,-0.00295,-0.00156,-21.20599,1.83517,0.89251,0.28541,-0.03728,-0.03728,5.99931,12.64354,0.79058,0.01536,0.03879,6.17295,14.09447
"16","2018_Q1",13.1429508196721,"Up",394431000,-210287000,184144000,-147075000,-127302000,-19773000,37069000,-7788000,-8193000,405000,29281000,-4929000,24352000,2076000,26428000,26428000,26428000,26428000,43056000,43056000,151692000,151692000,18654000,49795000,23378000,263197000,373123000,647226000,403493000,236555000,7178000,1020349000,1283546000,112777000,15750000,88164000,88164000,203657000,357195000,48301000,25462000,14759000,405496000,609153000,683702000,-2767000,-5461000,674393000,674393000,1283546000,26428000,19773000,415000,-16878000,29738000,-3581000,303000,-3884000,-3884000,-126036000,-1811000,-21487000,-117785000,-117785000,-117785000,56842000,359911000,34307000,0.46686,0.09398,0.067,0.03919,0.02059,1.29813000000001,1.29235,0.90326,0.2804,0.4999,0.4999,7.46086,12.75649,0.64893,0.04248,0.03169,5.57431,8.54771
"17","2018_Q2",14.00375,"Up",340765000,-196389000,144376000,-138066000,-118819000,-19247000,6310000,-7832000,-8352000,520000,-1522000,741000,-781000,116000,-665000,-665000,-665000,-665000,67026000,67026000,133852000,133852000,22273000,56621000,27920000,279772000,358539000,666559000,413756000,243673000,9130000,1025098000,1304870000,97018000,19263000,95215000,95215000,204357000,396510000,49423000,25177000,16258000,445933000,650290000,665341000,-3417000,-5528000,654580000,654580000,1304870000,-665000,19247000,-1965000,2046000,18663000,7278000,9207000,-1929000,-1929000,-22131000,48719000,27438000,23970000,23970000,23970000,25557000,408634000,34765000,0.42368,0.01852,-0.00195,-0.00102,-0.00051,-52.2782,1.36904,0.99345,0.31316,-0.01256,-0.01256,6.43747,12.36582,0.65675,0.01742,0.03125,13.36651,54.13756
"18","2018_Q3",13.8361904761905,"Down",388802000,-217775000,171027000,-146772000,-126837000,-19935000,24255000,-8662000,-8999000,337000,15593000,-941000,14652000,-2946000,11706000,11706000,11706000,11706000,73755000,73755000,150994000,150994000,24853000,49933000,28988000,299535000,356287000,774235000,476913000,288432000,8890000,1130522000,1430057000,110044000,16367000,105570000,105570000,227738000,396053000,50981000,24644000,15993000,447034000,674772000,759071000,3644000,-5596000,755285000,755285000,1430057000,11706000,19935000,2176000,5123000,38940000,266000.000000002,3378000,-3112000,-3112000,-119929000,-1183000,87718000,6729000,6729000,6728999.99999999,44190000,408177000,52525000,0.43988,0.06238,0.03011,0.0155,0.00819,4.48702000000001,1.31526,0.8934,0.28543,0.19747,0.19498,6.55883,12.74116,0.88606,0.0279,0.04325,7.56782,13.78776
"19","2018_Q4",11.8161904761905,"Down",380419000,-220771000,159648000,-145076000,-119982000,-25094000,14572000,-8682000,-9115000,433000,5890000,-12001000,-6111000,239000,-5872000,-5872000,-6104000,-6104000,56691000,56691000,149874000,149874000,27478000,47741000,25915000,281784000,343281000,776535000,466740000,300909000,8886000,1119816000,1401600000,110880000,13152000,103449000,103449000,225422000,396569000,49775000,23557000,16290000,446344000,671766000,739486000,-4509000,-5663000,727449000,729834000,1401600000,-5872000,25094000,639000,-5481000,14380000,-2398000,590000,-2988000,-2988000,-7960000,-1248000,-23473000,-17053000,-17053000,-17053000,39666000,407662000,31548000,0.41966,0.03831,-0.01605,-0.00836,-0.00436,-5.16841,1.25003,0.92044,0.29085,-0.10187,-0.10089,6.34886,12.14049,0.52651,0.01355,0.02657,8.84816,24.0853
"20","2019_Q1",11.073606557377,"Down",416038000,-230299000,185739000,-157508000,-136993000,-20515000,28231000,-10058000,-9606000,-452000,18173000,-5914000,12259000,679000,12938000,12938000,13259000,13259000,48651000,48651000,174274000,174274000,25022000,49662000,49662000,297609000,339608000,806647000,486054000,310737000,9856000,1146255000,1443864000,126209000,16612000,109240000,105187000,247844000,428180000,49070000,24326000,16462000,477250000,725094000,722210000,3767000,-6881000,717223000,718770000,1443864000,12938000,20515000,1349000,2774000,37576000,-1745000,1865000,-3610000,-3610000,-51456000,30294000,6842000,-7038000,-7038000,-7038000,48746000,440575000,49096000,0.44645,0.06786,0.03187,0.01845,0.00918,3.70284,1.20079,1.0088,0.30514,0.22127,0.22054,6.94288,11.96909,0.81932,0.02982,0.04063,8.04013,13.88275
"21","2019_Q2",9.01333333333333,"Down",387599000,-229495000,158104000,-149973000,-129050000,-20923000,8131000,-9874000,-10134000,260000,-1743000,-9566000,-11309000,1954000,-9355000,-9355000,-9106000,-9106000,24597000,24597000,153222000,153222000,24972000,55358000,30155000,258149000,347766000,914753000,485026000,316208000,113519000,1262519000,1520668000,118509000,28219000,129936000,116521000,259741000,435426000,138505000,24094000,106746000,573931000,833672000,700395000,-5224000,-6911000,685698000,686996000,1520668000,-9355000,20923000,4200000,15974000,31742000,223000,2465000,-2242000,-2242000,-37730000,5803000,-18131000,-24119000,-24119000,-24119000,29054000,446722000,43297000,0.40791,0.02098,-0.02349,-0.01325,-0.00599,-4.75478,0.99387,1.2135,0.29377,-0.15186,-0.15186,6.46375,11.43496,0.72204,0.01111,0.03403,14.52898,51.91551
"22","2019_Q3",8.54109375,"Down",404388000,-233407000,170981000,-149954000,-126626000,-23328000,21027000,-9901000,-10212000,311000,11126000,-8854000,2272000,342999.999999998,2615000,2615000,2815000,2815000,20029000,20029000,150675000,150675000,19647000,54394000,30506000,244745000,330942000,912191000,474900000,317151000,120140000,1243133000,1487878000,111318000,12454000,127751000,113259000,242365000,434672000,143481000,23747000,113248000,578153000,820518000,678182000,-2409000,-6938000,666262000,667360000,1487878000,2615000,23328000,2889000,-2921000,25911000,1950000,4642000,-2692000,-2692000,550000.000000007,-9099000,-31931000,-5470000,-5470000,-5467000,44355000,437968000,43041000,0.42281,0.052,0.00696000000000001,0.00422,0.00189,15.28988,1.00982,1.2295,0.29436,0.04689,0.04689,6.73632,11.09864,0.71698,0.02053,0.03447,9.42259,19.8763
"23","2019_Q4",7.2084375,"Down",376649000,-218369000,158280000,-144303000,-119821000,-24482000,13977000,-9800000,-10030000,230000,4177000,-15919000,-11742000,-7226000,-18968000,-18968000,-18463000,-18463000,28641000,28641000,143311000,143311000,21070000,49816000,25221000,242838000,314133000,914782000,465063000,328488000,121231000,1228915000,1471753000,126204000,20667000,132969000,117837000,263568000,433718000,148416000,23303000,112916000,582134000,845702000,655890000,-20872000,-6971000,625458000,626051000,1471753000,-18968000,24482000,-1298000,36661000,40877000,860000,3207000,-2347000,-2347000,-9453000,0,-22836000,8588000,8588000,8585000,38459000,438113000,83206000,0.42023,0.03711,-0.04902,-0.02949,-0.01254,-4.50663,0.92135,1.35085,0.29768,-0.30754,-0.30754,6.27393,10.4184,1.38598,0.00359,0.06862,10.64697,29.29613
"24","2020_Q1",4.93854838709677,"Down",699273000,-398322000,300951000,-330376000,-226609000,-43149000,-29425000,-24574000,-33284000,8710000,-53999000,-132406000,-186405000,90923000,-95482000,-95482000,-95088000,-95088000,156042000,156042000,438523000,438523000,55090000,129460000,129460000,779115000,815807000,2425180000,1012564000,914331000,421988000,3240987000,4020102000,453628000,453628000,261525000,218823000,718453000,1639635000,678808000,235906000,433850000,2318443000,3036896000,1091988000,-115958000,8202000,981356000,983206000,4020102000,-95482000,43149000,-37889000,17227000,-72995000,10475000,17172000,-6697000,-6697000,-738427000,995065000,971811000,160389000,160389000,156895000,13724000,1642935000,-49497000,0.43038,-0.04208,-0.13598,-0.09671,-0.02365,0.52054,1.08443,3.08877,0.40868,-1.04889,-1.04889,7.71351,10.8251,-0.54599,-0.0218,-0.01498,108.34254,-50.5316199999999
"25","2020_Q2",1.31809523809524,"Down",948682000,-566463000,382219000,-383130000,-299137000,-78024000,-911000,-4.1e+07,-57899000,16899000,-41911000,-29716000,-71627000,-8979000,-80606000,-80606000,-80152000,-80152000,199651000,199651000,379862000,379862000,47775000,135608000,135608000,762896000,7.64e+08,2384315000,981966000,909741000,428221000,3148315000,3911211000,449833000,449833000,274441000,225609000,724274000,1636768000,659217000,219803000,429008000,2295985000,3020259000,1095032000,-196110000,-4875000,889556000,890952000,3911211000,-80606000,78024000,38654000,24417000,60489000,-3383000,10400000,-13783000,-13783000,-3419000,-12701000,-14679000,42391000,42391000,43945000,77113000,1636768000,107126000,0.40289,-0.00096,-0.08449,-0.08996,-0.02049,-1.33654,1.05333,3.38992,0.41848,-0.61387,-0.61387,7.26581,6.81297,0.82046,-0.02515,0.03361,18.63651,-1577.51592
"26","2020_Q3",1.52390625,"Up",767001000,-476736000,290265000,-295192000,-226485000,-66328000,-4927000,-34112000,-57928000,23816000,-39039000,-433068000,-472107000,34276000,-437831000,-437831000,-436893000,-436893000,158603000,158603000,288509000,288509000,40468000,125208000,125208000,612788000,718590000,2006539000,920525000,559623000,421340000,2725129000,3337917000,327071000,327071000,261005000,213988000,588076000,1636749000,660549000,214084000,440209000,2297298000,2885374000,1103268000,-633003000,-13362000,452085000,452543000,3337917000,-437831000,66328000,345376000,-9722000,-35849000,-981999.999999996,7392000,-8374000,-8374000,393000,-6283999.99999988,-5651999.99999988,-41108000,-41108000,-43442000,61401000,1636749000,16421000,0.37844,-0.00642,-0.56961,-0.96542,-0.13089,-0.0375899999999991,1.04202,6.37591,0.49035,-3.32415,-3.32415,5.83581,3.43974,0.12494,-0.15888,0.00597,24.07365,-300.00934
"27","2020_Q4",2.064375,"Up",814540000,-492340000,322200000,-304920000,-241653000,-61354000,17280000,-29357000,-58063000,28706000,-12077000,-16274000,-28351000,-3097000,-31448000,-31448000,-31260000,-31260000,188960000,188960000,288400000,288400000,33776000,115137000,115137000,626273000,704931000,1983099000,893721000,560215000,431794000,2688030000,3314303000,340840000,340840000,254155000,207597000,610174000,1619284000,654568000,198220000,450092000,2273852000,2884026000,1101644000,-664263000,-6411000,426129000,430277000,3314303000,-31448000,61354000,-15599000,35333000,49640000,1607000,8394000,-6787000,-6787000,1047000,-8634000,-17140000,33547000,33547000,34766000,78634000,1634463000,118671000,0.39556,0.02121,-0.03838,-0.07265,-0.00943,-3.79626,1.02638,6.70272,0.49315,-0.23632,-0.23632,6.15784,3.22149,0.89714,-0.0115,0.04364,18.38267,83.65179
"28","2021_Q1",4.89655737704918,"Up",875447000,-498733000,376714000,-291518000,-232514000,-58113000,85196000,-35401000,-54623000,19222000,49795000,-183557000,-133762000,11250000,-122512000,-122512000,-122174000,-122174000,170725000,170725000,314305000,314305000,35075000,116581000,116581000,636686000,590272000,1881956000,824650000,534088000,432978000,2472228000,3108914000,378246000,378246000,234609000,186007000,741300000,1471728000,532927000,99765000,426307000,2004655000,2745955000,1105276000,-786437000,50173000,364109000,362959000,3108914000,-122512000,58113000,51192000,-3302999.99999999,-16510000,162127000,170158000,-8031000,-8031000,162115000,-158644000,-163871000,-18266000,-18266000,-17207000,143309000,1600173000,290883000,0.43031,0.09732,-0.13956,-0.33661,-0.0393,-2.38089,0.85888,7.56547,0.5147,-0.92073,-0.92073,6.59754,2.744,2.19215,-0.04895,0.11654,9.97459,16.77835
"29","2021_Q2",5.10587301587302,"Up",777084000,-477798000,299286000,-272363000,-203684000,-58103000,26923000,-13750000,-39503000,25753000,13173000,-164983000,-151810000,9109000,-142701000,-142701000,-142316000,-142316000,163505000,163505000,275933000,275933000,32457000,118082000,118082000,589977000,552462000,1912012000,797862000,534211000,476670000,2464474000,3054451000,377370000,377370000,239095000,190699000,697522000,1282232000,534706000,95542000,422884000,1816938000,2514460000,1423421000,-928753000,53596000,541652000,539991000,3054451000,-142701000,58103000,112582000,33332000,61316000,2516000,10123000,-7607000,-7607000,2516000,-38791000,-74699000,-10867000,-10867000,-10553000,85026000,1363289000,111765000,0.38514,0.03465,-0.18314,-0.26355,-0.04659,-0.78533,0.84582,4.65649,0.44633,-1.06147,-1.06147,5.79589,4.03992,0.8336,-0.05837,0.04584,14.11079,44.56353
