"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.70765625,"Up",20189812,-15159948,5029864,-3146608,-1093787,-2052821,1883256,-2206902,-2676641,-323646,-2769065,-3092711,-263055,-3355766,-3355766,760850,-2594916,-2594916,7234053,7234053,2311898,2311898,5508312,2389409,3118903,15054263,175453822,175453822,189596041,204650304,8945382,8488698,456684,8679348,8679348,21649950,136923431,136923431,158573381,12395744,57404666,-30128693,39671717,6405206,46076923,204650304,-3355766,2052821,2550384,832071,2079510,-1101117,-1101117,-1101117,203173,-897944,1248998,-1983048,-1123229,58337,58337,58337,3936077,140948651,3930086,0.24913,0.09328,-0.12853,-0.05632,-0.01268,-1.51453,0.69535,3.44149,0.68873,-0.25742,-0.25742,2.00288,2.70585,0.38987,-0.01179,0.02101,33.97154,71.00182
"12","2013_Q3",2.8725,"Up",25250642,-17130282,8120360,-3154734,-1123684,-2031050,4965626,-2241614,-2328991,2724012,88855,2812867,-1111818,1701049,1701049,-390458,1310591,1310591,6561784,6561784,2168730,2168730,6551084,2294047,4257037,15281598,174718233,174718233,187008794,202290392,7859802,7403468,456334,8531154,8531154,20041176,134893689,134893689,154934865,12457552,57485171,-29173594,40769129,6586398,47355527,202290392,1701049,2031050,174638,981329,4888066,-2066723,-2066723,-2066723,388970,-1677753,-2404742,-1021156,-3882582,-672268.999999999,-672268.999999999,-672268.999999999,6996676,138543909,7023100,0.32159,0.19665,0.0519,0.02768,0.00647999999999999,5.35873,0.76251,3.27174,0.68488,0.12903,0.12903,2.48595,2.7873,0.69143,0.00951,0.03778,18.86355,26.57915
"13","2013_Q4",3.2984375,"Up",21458638,-16218998,5239640,-2904552,-866552,-2038000,2335088,-4018185,-3895548,-1683097,-340750,-2023847,-93962,-2117809,-2117809,468086,-1649723,-1649723,23785009,23785009,1968484,1968484,7252545,1985343,5267202,33006038,174024365,174024365,187422545,220428583,8249862,7728337,521525,8880152,8880152,20780234,167384729,167384729,188164963,0,57602916,-31231594,26371322,5892298,32263620,220428583,-2117809,2038000,1140702,-31060,1029833,-1086518,-1086518,-1086518,-292169,-1378687,31811041,-13782627,17572079,17223225,17223225,17223225,4373088,171034949,3349472,0.24417,0.10882,-0.07688,-0.05113,-0.00748,-2.03032,1.58834,5.83211,0.77592,-0.16216,-0.16216,2.1093,2.5922,0.32924,-0.00587,0.01648,33.67184,63.0597
"14","2014_Q1",3.91852459016393,"Up",22475435,-17019009,5456426,-3621917,-1276560,-2345357,1834509,-672364,-687385,1162145,-1835950,-673805,-27260.9999999998,-701065.999999999,-701065.999999999,151145,-549921,-549921,9376628,9376628,2021973,2021973,6057444,2261303,3796141,17456045,202645633,202645633,210713036,228169081,8683979,8095782,588197,666758,666758,9350737,187963549,187963549,197314286,-9.31322574615479e-10,57636182,-32450773,25185409,5669386,30854795,228169081,-701065.999999999,2345357,355683,-402632,1597342,-31377601,-31377601,-31377601,5804396,-25573205,17608600,-7519593,9567482,-14408381,-14408381,-14408381,4179866,187963549,-27573106,0.24277,0.08162,-0.02447,-0.01782,-0.00241,50.14012,1.86681,6.39493,0.82379,-0.05383,-0.05383,2.19986,2.46511,-2.69881,-0.000129999999999996,-0.12601,42.72551,97.34862
"15","2014_Q2",4.67761904761905,"Up",25010389,-18507276,6503113,-3742118,-1307790,-2434328,2760995,-2494000,-2881550,266995,-2573755.94291296,266995,735319,1002314,1002314,-219312,783002,783002,13008035,13008035,3445257,3445257,8899185,3459365,5439820,25352477,262204677,262204677,271456480,296808957,10267091,9677240,589851,1573335,1573335,30840426,234154064,234154064,264994490,0,57866807,-31888880,25977927,5836540,31814467,296808957,1002314,2434328,-264234,441573,3613981,-62428762,-62428762,-62428762,1056103,-61372659,63690515,-1712233,61390085,3631407,3631407,3631407,5195323,253154064,-57527185,0.26002,0.11039,0.03131,0.02461,0.00264,-73.47004,0.82205,8.32937,0.85292,0.07657,0.07657,2.44583,2.54045,-5.62574,0.00481,-0.20187,46.2235,86.97807
"16","2014_Q3",5.18765625,"Up",36339701,-24740446,11599255,-4380175,-1391207,-2988968,7219080,-3902743,-3920161,3316337,-2838535.89875498,3316337,-563782,2752555,2752555,-585866,2166689,2166689,17925684,17925684,4309857,4309857,9622350,3258668,6363682,31857891,261179261,261179261,269539276,301397167,14558711,13903321,655390,1570393,1570393,35129104,232351451,232351451,267480555,0,58129020,-30239875,27889145,6027467,33916612,301397167,2752555,2988968,-309912,3320216,8751827,-1236409,-1236409,-1236409,-230922.999999999,-1467331.99999999,-1802611.99999999,25618,-2366846,4917649,4917649,4917649,10208048,251351451,12855637,0.31919,0.19866,0.05962,0.06388,0.00719,5.93331000000002,0.90688,7.88642,0.83395,0.20927,0.20927,3.50984,2.69365,1.24165,0.00966,0.04507,22.86684,32.33456
"17","2014_Q4",5.03015625,"Down",31764452,-24110762,7653690,-4512078,-1039317,-3472761,3141612,-4143796,-3987631,-1002184,-3102267.40521951,-1002184,722169,-280015,-280015,65113,-214902,-214902,16916480,16916480,3042394,3042394,10720959,3535636,7185323,30679833,260580066,260580066,269018098,299697931,15097594,14244465,853129,1519127,1519127,35616721,231164851,231164851,266781572,0,58261964,-31128942,27133022,5783337,32916359,299697931,-280015,3472761,786959,442840,4422545,-2705920,-2705920,-2705920,-943361,-3649281,-1186601,-68387,-1782468,-1009204,-1009204,-1009204,6614373,250164851,3629124,0.24095,0.0989,-0.00677,-0.00653,-0.00072,-16.88734,0.86139,8.10483,0.83472,-0.02076,-0.02076,3.06785,2.62054,0.3505,0.00156,0.01282,35.26387,74.24481
"18","2015_Q1",5.03868852459016,"Up",29825377,-22845871,6979506,-4420862,-1347635,-3073227,2558644,-3769096,-3827663,-1210452,-3836928,-5047380,834017,-4213363,-4213363,893903,-3319460,-3319460,16634499,16634499,2106436,2106436,9956265,3334401,6621864,28697200,260192153,260192153,271122843,299820043,12897800,12044886,852914,1220729,1220729,14118529,258191657,258191657,272310186,-7.27595761418343e-12,58765508,-35388313,23377195,4132662,27509857,299820043,-4213363,3073227,4236617,-5033579,-1937098,-4536012,-4536012,-4536012,-71294,-4607306,8026806,-908256,6262423,-281981,-281981,-281981,5631871,258191657,-4771737,0.23401,0.08579,-0.1113,-0.12066,-0.01107,1.4375,2.03259,9.89864,0.86116,-0.31389,-0.31389,2.82033,2.21058,-0.45122,-0.00863,-0.0167,42.8911,94.40827
"19","2015_Q2",5.38539682539683,"Up",30975630,-23054847,7920783,-4355615,-1451224,-2904391,3565168,-3290084,-3764433,275084,-4521158.14512957,275084,438775,713859,713859,-138523,575336,575336,16083091,16083091,3958979,3958979,8367663,4149439,4218224,28409733,261129988,261129988,272074468,300484201,14106319,13185243,921076,1772219,1772219,15878538,257031986,257031986,272910524,0,59036545,-35555470,23481075,4092602,27573677,300484201,713859,2904391,-76409,-204440,3337401,-4485857,-4485857,-4485857,3227133,-1258724,-1159671,-617500,-2630085,-551408,-551408,-551408,6469559,257031986,1340487,0.25571,0.1151,0.01857,0.02087,0.00191,2.32992,1.78919,9.8975,0.85539,0.0543,0.0543,2.92339,2.21607,0.12651,0.00502,0.00471,37.24348,67.58416
"20","2015_Q3",4.741875,"Down",36865108,-24894169,11970939,-4795286,-1490380,-3304906,7175653,-3800760,-3825128,3374893,-660250,2714643,-955535,1759108,1759108,-328000,1431108,1431108,17274676,17274676,4360278,4360278,10609628,3792347,6817281,32244582,263831439,263831439,273178490,305423072,13434633,12439225,995408,1628919,1628919,15063552,261334927,261334927,276398479,0,59963300,-34938539,25024761,3999832,29024593,305423072,1759108,3304906,820437,144259,6028710,-6216713,-6216713,-6216713,-2367115,-8583828,4302941,-317397,3746703,1191585,1191585,1191585,10480559,261334927,5363640,0.32472,0.19465,0.03882,0.04931,0.00469,3.74789,2.14057,9.52291,0.85565,0.13289,0.13289,3.42335,2.32384,0.49808,0.0081,0.01847,23.28695,34.01227
"21","2015_Q4",4.335,"Down",33941875,-25957165,7984710,-5811637,-2437428,-3374209,2173073,-4222027,-4230200,-2048954,6172091,4123137,513505,4636642,4636642,-764250,3872392,3872392,15470385,15470385,5036664,5036664,11233554,4893091,6340463,31740603,354933161,354933161,363303402,395044005,15926435,14591112,1335323,2222728,2222728,18149163,321994175,321994175,340143338,0,82911838,-32209407,50702431,4198236,54900667,395044005,4636642,3374209,-6318517,-1723572,-31238,-28490104,-30517217,-30517217,2122021,-26368083,3412430,-391766,24595030,-1804291,-1804291,-1804291,5547282,321994175,-25179899,0.23525,0.06402,0.11409,0.07053,0.0098,-6.50241,1.74887,6.19561,0.81508,0.27179,0.27179,2.38228,3.55865,-1.7673,0.01291,-0.06681,55.25657,141.05545
"22","2016_Q1",3.76819672131148,"Down",36750863,-27978929,8771934,-5897213,-1889224,-4007989,2874721,-4676981,-4645605,-1802260,-248984,-2051244,1339288,-711956,-711956,189786,-522170,-522170,11493914,11493914,4297727,4297727,12826982,4432431,8394551,28618623,354963242,354963242,360353616,388972239,13670201,12334878,1335323,1651840,1651840,15322041,320791830,320791830,336113871,977.671790031396,82893965,-33890834,49003131,3855237,52858368,388972239,-711956,4007989,1988234,-3241766,2042501,-4067394,-4442394,-4442394,-854573,-4921967,289536,-51219,-1097005,-3976471,-3976471,-3976471,6882710,320791830,-1765738,0.23869,0.07822,-0.01421,-0.00988000000000001,-0.00134,3.38154,1.86781,6.35876,0.82472,-0.0358800000000001,-0.03588,2.52544,3.36739,-0.12134,0.00218,-0.00473000000000001,44.93839,107.59232
"23","2016_Q2",3.72515625,"Down",37810144,-27750058,10060086,-5275932,-1607294,-3668638,4784154,-4623802,-4623802,160352,-50557,109795,436079,545874,545874,-62779,483095,483095,14985925,14985925,4057187,4057187,8334940,4704666,3630274,27378052,356277837,356277837,362155681,389533733,15656675,14234813,1421862,2321530,2321530,17978205,319373174,319373174,337351379,-4.54747350886464e-13,83938402,-34675230,49263172,2919182,52182354,389533733,545874,3668638,433537,1973031,6621080,-4956359,-4956359,-4956359,2284260,-2672099,1154023,-278899,-456970,3492011,3492011,3492011,8452792,319373174,5033385,0.26607,0.12653,0.01278,0.00926,0.00124,10.41904,1.52285,6.46486,0.81989,0.03266,0.03266,2.55596,3.33019,0.34026,0.00489,0.01355,36.01026,63.62405
"24","2016_Q3",4.19671875,"Up",41824954,-29347383,12477571,-5158231,-1356754,-3801477,7319340,-4602957,-4602957,2716383,-226003,2490380,-512826,1977554,1977554,-216444,1761110,1761110,26085488,26085488,4274940,4274940,9523152,5039136,4484016,39883580,355968880,355968880,361366869,401250449,16111190,14605689,1505501,2197892,2197892,18309082,330285216,330285216,348594298,0,83946163,-34262825,49683338,2972813,52656151,401250449,1977554,3801477,695660,397593,6872284,-3870954,-3870954,-3870954,-1011502,-4882456,10799946,-265116,9109735,11099563,11099563,11099563,11120817,330285216,8160282,0.29833,0.175,0.04211,0.03345,0.00439,4.6336,2.17835,6.6202,0.82314,0.1178,0.1178,2.79772,3.32338,0.54585,0.00832,0.02131,27.35408,41.56109
"25","2016_Q4",4.06539682539683,"Down",37275314,-28191927,9083387,-5158720,-1367848,-3790872,3924667,-4581847,-4581847,-657180,-1277156,-1934336,385145,-1549191,-1549191,172846,-1376345,-1716234,26432532,26432532,4743649,4743649,10789489,4923258,5866231,41965670,354137772,354137772,359984335,401950005,17492730,15563701,1929029,2439097,2439097,19931827,295061039,295061039,314992866,16100,121709271,-37399276,84326095,2631044,86957139,401950005,-1549191,3790872,-857420,432836,1817097,-2184555,-2395955,-2395955,1064103,-1120452,-35706698,-911630,-349601,347044,347044,347044,7715539,295061039,5578675,0.24368,0.10529,-0.04604,-0.01974,-0.00427,-3.25053,2.10546,3.62239,0.73407,-0.1148,-0.1148,2.49339,5.6396,0.37316,-0.00055,0.0146,34.81656,68.44619
"26","2017_Q1",5.15612903225806,"Up",35935340,-27543803,8391537,-5447253,-1689169,-3758084,2944284,-3810716,-3810716,-866432,-266892,-1133324,1059236,-74088,-74088,132944,58856.0000000005,-746144,31766775,31766775,4131923,4131923,9244614,4648469,4596145,45143312,353926912,353926912,360876252,406019564,15347487,12970960,2376527,2315787,2315787,17663274,307017002,307017002,324680276,16100,118539767,-39545754,79010113,2329175,81339288,406019564,-74088,3758084,2883695,-3901926,2665765,-3687409,-3689409,-3689409,-2336861,-6024270,11833876,-2742002,7495054,4136549,4136549,4136549,6702368,307017002,-1946203,0.23352,0.08193,-0.02076,-0.00917,-0.00184,2.60835,2.55577,3.99168,0.75616,-0.05009,-0.05009,2.41245,5.30312,-0.13065,0.00217,-0.00501,41.06761,93.4863
"27","2017_Q2",4.86555555555556,"Down",38694886,-27216003,11478883,-5773179,-1712082,-4061097,5705704,-3774012,-3774012,1931692,1126277,3057969,-171937,2886032,2886032,-229942,2656090,1851090,21743744,21743744,6077459,6077459,10307044,5662512,4644532,38128247,355997751,355997751,362829041,400957288,16875975,14445106,2430869,3405606,3405606,20281581,303661875,303661875,323943456,16100,118633907,-39142720,74632529,2381303,77013832,400957288,2886032,4061097,-823950,-103204,6019975,-4853707,-10291518,-10291518,776815,-4076892,-3566914,-5676158,-11917728,-9974645,-9974645,-9974645,9766801,303661875,4981827,0.29665,0.14745,0.04784,0.02404,0.00462,2.69129,1.87994,4.2063,0.75734,0.13198,0.13198,2.7589,5.32006,0.3552,0.00899,0.01309,28.86494,49.40988
"28","2017_Q3",4.79793650793651,"Down",40642632,-29124075,11518557,-6054642,-1834930,-4219712,5463915,-3840856,-3840856,1623059,-290855,1332204,-196483,1135721,1135721,-33869.0000000001,1101852,296852,34438950,34438950,3851023,3851023,10545248,5927753,4617495,48835221,357466632,357466632,364157976,412993197,15910942,13468659,2442283,2270227,2270227,18181169,318914509,318914509,337095678,16100,118635548,-40229144,73669051,2228468,75897519,412993197,1135721,4219712,607639,148097,6111169,-6175138,-6175538,-6175538,265000,-5910138,15419312,-1393604,12467140,12668171,12668171,12668171,9683627,318914509,3853069,0.28341,0.13444,0.0073,0.00391,0.00072,12.97976,2.68603,4.44146,0.7722,0.02149,0.02149,2.94231,5.33208,0.27894,0.0047,0.00976,29.37696,52.06442
"29","2017_Q4",5.00936507936508,"Up",36769469,-28780357,7989112,-5763268,-1335529,-4427739,2225844,-4085952,-4085952,-1860108,-26204,-1886312,950310,-936002,-936002,190445,-745557,-1550557,32651893,32651893,6074790,6074790,12344656,6228659,6115997,51071339,357645087,357645087,365374198,416445537,18630770,16110521,2520249,2317658,2317658,20948428,322990690,322990690,343939118,16100,118640528,-43293677,70669669,1836750,72506419,416445537,-936002,4427739,287209,-502496,3276450,-5003050,-5003050,-5003050,0,-5003050,3880327,-805000,1438044,-288556,-288556,-288556,6653583,322990690,197727,0.21728,0.06054,-0.04217,-0.02139,-0.00372,-0.12752,2.43796,4.74357,0.77559,-0.11218,-0.11218,2.66011,5.11147,0.0143,0.00022,5e-04,43.63646,130.43987
"30","2018_Q1",4.98049180327869,"Down",38159706,-28156933,10002773,-5744456,-1453385,-4291071,4258317,-3808152,-3808152,450165,-1186733,-736568,-2319694,-3056262,-3056262,486380,-2569882,-3936521,29777845,29777845,5981103,5981103,10943762,7292565,3651197,46702710,357799512,357799512,363250630,409953340,16887106,13813623,3073483,1572388,1572388,18459494,297318816,297318816,315778310,29100,146390127,-48765860,93020255,1154775,94175030,409953340,-3056262,4291071,1405733,-2205059,435483,-5570435,-5672481,-5672481,1233851,-4336584,-26522996,-5328517,-1437747,-5338848,-5338848,-5338848,8549388,297318816,3093588,0.26213,0.11159,-0.10316,-0.0418,-0.0096,-0.785870000000013,2.53001,3.3531,0.72525,-0.28828,-0.28832,2.79452,6.80994,0.22655,-0.00705,0.0079,31.29358,62.82787
