"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.6509375,"Down",22877000,-13715000,9162000,-1757000,-1757000,7405000,-197000,-197000,-197000,7208000,7208000,-2739000,4469000,4469000,4469000,4469000,1437000,1437000,6517000,6517000,51534000,2394000,2160000,61882000,4742000,3778000,68000,319000,9730000,71612000,11731000,9251000,2480000,17230000,28961000,4845000,0,0,4845000,33806000,44604000,-6798000,37806000,37806000,71612000,4469000,203000,551000,-12558000,-7335000,-173000,-245000,4419000,5026000,-2554000,-2554000,-2554000,7608000,22075000,-2384000,0.40049,0.32369,0.19535,0.11821,0.06241,-0.53345,2.13674,0.8942,0.30826,0.18365,0.16705,0.94009,1.55357,-0.09797,0.07463,-0.03981,2.71267,2.78704
"12","2013_Q3",2.13984375,"Down",15768000,-13220000,2548000,-1774000,-1774000,774000,-243000,-243000,-243000,530999.999999998,530999.999999998,-197000,334000,334000,334000,334000,2374000,2374000,11866000,11866000,51298000,3225000,2991000,68763000,4903000,3744000,62000,291000,9812000,78575000,10634000,9117000,1517000,24475000,35109000,4824000,-2.91038304567337e-11,2.91038304567337e-11,4824000,39933000,45107000,-6465000,38642000,38642000,78575000,334000,185000,43000,-7057000,-6495000,-340000,-295000,7224000,7727000,937000,937000,937000,959000,29299000,-6241000,0.16159,0.04909,0.02118,0.00864,0.00425,-18.68563,1.95856,1.03341,0.37288,0.01343,0.01256,0.63386,1.55338,-0.25088,0.00491999999999999,-0.09186,28.07612,34.78682
"13","2013_Q4",2.46078125,"Up",15171000,-27784000,-12613000,-1833000,-1833000,-14446000,-247000,-247000,-247000,-14693000,-14693000,5578000,-9115000,-9115000,-9115000,-9115000,3943000,3943000,6866000,6866000,32378000,5366000,5132000,48553000,4745000,5270000,59000,270000,11008000,59561000,6647000,6216000,431000,18076000,24723000,4748000,542000,542000,5290000,30013000,45127000,-15579000,29548000,29548000,59561000,-9115000,212000,5210000,11807000,8114000,-50000,-70000,-6475000,-6475000,1569000,1569000,1569000,-14234000,22824000,-8055000,-0.83139,-0.95221,-0.60082,-0.30848,-0.15304,0.88371,1.96388,1.01574,0.3832,-0.36396,-0.43582,0.60578,1.17985,-0.32163,-0.17226,-0.15223,-1.32647,-1.30701
"14","2014_Q1",3.32262295081967,"Up",4818000,-4645000,172999.999999996,-2391000,-2391000,-2218000,-246000,-246000,-246000,-2464000,-2464000,934000.000000002,-1530000,-1530000,-1530000,-1530000,669000,669000,3706000,3706000,33967000,3524000,608000,41866000,4536000,5966000,57000,546000,10502000,52368000,4244000,3955000,289000,15367000,19611000,4671000,0,-1.16415321826935e-10,4671000,24282000,45195000,-17109000,28086000,28086000,52368000,-1530000,208000,-1290000,1911000,-700999.999999996,2000,213000,-2786000,-2786000,-3274000,-3274000,-3274000,-2010000,20038000,-1031000,0.03591,-0.46036,-0.31756,-0.05448,-0.02922,0.673860000000004,2.13482,0.86456,0.38264,-0.06108,-0.06108,0.19234,1.12123,-0.04116,-0.03179,-0.02142,-9.63631999999999,-8.73264
"15","2014_Q2",2.92968253968254,"Down",15584000,-13782000,1802000,-1335000,-1335000,467000,-209000,-209000,-209000,258000,258000,-98000,160000,160000,160000,160000,2489000,2489000,10221000,10221000,26104000,6019000,3103000,44833000,4417000,5409000,51000,93000,10250000,55083000,7965000,7577000,388000,14242000,22207000,4597000,0,0,4597000,26804000,45228000,-16949000,28279000,28279000,55083000,160000,205000,132000,2562000,3059000,-80000,-64000,-1199000,-1175000,1820000,1820000,1820000,672000,18839000,3252000,0.11563,0.02997,0.01027,0.00566,0.0029,20.325,2.01887,0.94784,0.34201,0.00638,0.00596,0.62111,1.12709,0.12961,0.0034,0.06902,24.33036,35.01071
"16","2014_Q3",3.0221875,"Up",16875000,-14672000,2203000,-1546000,-1546000,657000,-186000,-186000,-186000,471000,471000,-163000,308000,308000,308000,308000,1893000,1893000,10163000,10163000,24517000,5248000,3342000,41821000,4422000,5242000,44000,111000,10041000,51862000,6845000,6558000,287000,278000.000000002,7123000,528000,0,1.45519152283669e-11,528000,7651000,60852000,-16641000,44211000,44211000,51862000,308000,206000,212000,1253000,1979000,-204000,-157000,-18033000,-2418000,-595999.999999999,-595999.999999999,-595999.999999999,863000,806000,2075000,0.13055,0.03893,0.01825,0.00697,0.00594,6.73701,5.87126,0.17306,0.01554,0.01173,0.01106,0.64242,1.68309,0.07899,0.00684,0.04609,-1.25956000000001,-1.65449000000001
"17","2014_Q4",3.689375,"Up",15296000,-13801000,1495000,-1622000,-1622000,-127000,-99000,-99000,-99000,-226000,-226000,118000,-108000,-108000,-108000,-108000,1173000,1173000,9036000,9036000,27653000,5045000,4838000,42907000,4462000,5369000,48000,150000,10208000,53115000,8271000,7834000,437000,272000,8543000,458000,0,0,458000,9001000,60863000,-16749000,44114000,44114000,53115000,-108000,215000,7000,-498000,-384000,-260000,-260000,-76000,-76000,-720000,-720000,-720000,88000,730000,-788000,0.09774,-0.0083,-0.00706,-0.00245,-0.00203,7.2963,5.02247,0.20404,0.01374,-0.00337,-0.00337,0.47753,1.37721,-0.0246,-0.00241,-0.01757,-5.03409,3.48819
"18","2015_Q1",3.80639344262295,"Up",8055000,-7109000,946000,-2928000,-2928000,-1982000,-147000,-147000,-147000,-2129000,-2129000,1049000,-1080000,-1080000,-1080000,-1080000,935000,935000,3968000,3968000,37017000,1408000,1011000,43328000,7887000,8720000,2322000,102000,16607000,59935000,4894000,2529000,2365000,6320000,11214000,4389000,333000,333000,4722000,15936000,61828000,-17829000,43999000,43999000,59935000,-1080000,353000,57000,-2283000,-2953000,-182000,-7550000,9979000,10265000,-238000,-238000,-238000,-1629000,10709000,-5143000,0.11744,-0.24606,-0.13408,-0.02455,-0.01802,4.76204,3.86374,0.36219,0.17868,-0.03263,-0.03629,0.24334,1.32922,-0.15537,-0.01962,-0.09344,-6,-4.93138
"19","2015_Q2",3.98031746031746,"Up",22103000,-16578000,5525000,-2255000,-2255000,3270000,-207000,-207000,-207000,3063000,3063000,-1170000,1893000,1893000,1893000,1893000,461000,461000,8135000,8135000,41532000,1536000,1139000,51664000,7708000,11247000,3672000,106000,18955000,70619000,9265000,8702000,563000,9163000,18428000,4318000,1833000,1833000,6151000,24579000,61976000,-15936000,46040000,46040000,70619000,1893000,544000,1297000,-4546000,-812000,-59000,-2483000,2751000,2821000,-474000,-474000,-474000,3814000,13481000,379000,0.24997,0.14794,0.08564,0.04112,0.02681,0.20021,2.80356,0.53386,0.1909,0.05855,0.05522,0.6836,1.42391,0.01172,0.03085,0.00618,3.41374,3.98165
"20","2015_Q3",3.1453125,"Down",28637000,-21425000,7212000,-2451000,-2451000,4761000,-236000,-236000,-236000,4525000,4525000,-1714000,2811000,2811000,2811000,2811000,1483000,1483000,14675000,14675000,44953000,5198000,4801000,66309000,7808000,9437000,3522000,1e+05,17245000,83554000,18193000,17792000,401000,10290000,28483000,4441000,1533000,1533000,5974000,34457000,62222000,-13125000,49097000,49097000,83554000,2811000,539000,1709000,-4745000,314000,-490000,-490000,1251000,1198000,1022000,1022000,1022000,5300000,14731000,1779000,0.25184,0.16625,0.09816,0.05725,0.03364,0.63287,2.32802,0.70181,0.17631,0.08629,0.08212,0.87911,1.5072,0.05461,0.04301,0.02722,2.49962,2.78261
"21","2015_Q4",3.09125,"Down",21682000,-17298000,4384000,-2482000,-2482000,1902000,-157000,-157000,-157000,1745000,1745000,-663000,1082000,1082000,1082000,1082000,1040000,1040000,9614000,9614000,48964000,5881000,5484000,65499000,7518000,8674000,3379000,83000,16192000,81691000,10498000,10257000,241000,14983000,25481000,4377000,1502000,1502000,5879000,31360000,62374000,-12043000,50331000,50331000,81691000,1082000,539000,695000,-7317000,-5001000,-105000,-105000,4627000,4663000,-443000,-443000,-443000,2441000,19360000,-4318000,0.2022,0.08772,0.0499,0.0215,0.01325,-3.99076,2.5705,0.62308,0.23699,0.03315,0.03196,0.66429,1.54203,-0.13229,0.0152,-0.06065,7.50512,9.63197
"22","2016_Q1",3.15311475409836,"Up",7300000,-5932000,1368000,-3120000,-3120000,-1752000,126000,126000,-176000,-1626000,-1626000,603000,-1023000,-1023000,-1023000,-1023000,1258000,1258000,4414000,4414000,61897000,1900000,1524000,69469000,7536000,8006000,3787000,76000,15542000,85011000,10387000,5792000,4595000,20573000,30960000,4293000,333000,333000,4626000,35586000,62491000,-13066000,49425000,49425000,85011000,-1023000,450000,-858000,-3573000,-5004000,-247000,-247000,5507000,5469000,218000,218000,218000,-1302000,24866000,-5725000,0.1874,-0.24,-0.14014,-0.0207,-0.01203,5.59629,2.24383,0.72,0.2925,-0.03134,-0.03065,0.22365,1.51427,-0.1754,-0.01371,-0.07672,-18.1321,-13.47489
"23","2016_Q2",3.41453125,"Up",28167000,-20645000,7522000,-2503000,-2503000,5019000,-271000,-271000,-271000,4748000,4748000,-1804000,2944000,2944000,2944000,2944000,1167000,1167000,15840000,15840000,55284000,4104000,3728000,76395000,7216000,6122000,3634000,70000,13338000,89733000,6723000,3799000,2924000,26141000,32864000,4212000,0,0,4212000,37076000,62779000,-10122000,52657000,52657000,89733000,2944000,606000,1807000,-11080000,-5723000,-133000,-133000,5487000,5765000,-91000,-91000,-91000,5625000,30353000,-3784000,0.26705,0.17819,0.10452,0.05591,0.03281,-1.28533,2.32458,0.7041,0.33826,0.08951,0.08673,0.85644,1.60107,-0.11505,0.03547,-0.04558,5.18862,5.8151
"24","2016_Q3",5.2778125,"Up",34605000,-24114000,10491000,-2347000,-2347000,8144000,-352000,-352000,-352000,7792000,7792000,-2962000,4830000,4830000,4830000,4830000,1544000,1544000,21931000,21931000,57774000,2743000,2367000,83992000,7147000,6416000,3549000,68000,13563000,97555000,9673000,4906000,4767000,315000,35584000,4146000,-1.81898940354586e-12,0,4146000,39730000,63118000,-5293000,57825000,57825000,97555000,4830000,537000,-281000,-3511000,1575000,-384000,-384000,-296000,-813999.999999999,377000,377000,377000,8681000,4461000,7748000,0.30316,0.23534,0.13958,0.08353,0.04951,1.60414,2.36039,0.68707,0.0457299999999999,0.1458,0.14145,1.04457,1.74548,0.23388,0.07755,0.12439,0.336020000000001,0.35818
"25","2016_Q4",7.05809523809524,"Up",34929000,-22890000,12039000,-4022000,-3657000,8017000,-296000,-296000,-296000,7721000,7721000,-2933000,4788000,4788000,4788000,4788000,3976000,3976000,9232000,9232000,66584000,1046000,670000,80838000,7055000,6056000,3422000,75000,13111000,93949000,9303000,4150000,5153000,254000,24579000,4149000,0,0,4149000,28728000,65726000,-505000,65221000,65221000,93949000,4788000,580000,1383000,4838000,11589000,-360000,-360000,-10633000,-8797000,2432000,2432000,2432000,8597000,4403000,16008000,0.34467,0.22952,0.13708,0.07341,0.05096,3.34336,3.28891,0.44047,0.04687,0.14135,0.13565,1.03116,1.92543,0.47258,0.06877,0.22992,0.04967,0.05326
"26","2017_Q1",7.27629032258065,"Up",7780000,-6746000,1034000,-3267000,-3144000,-2233000,-763000,-763000,-199000,-2996000,-2996000,1071000,-1925000,-1925000,-1925000,-1925000,33931000,33931000,4797000,4797000,68601000,847000,847000,108176000,7532000,6762000,3299000,75000,14294000,122470000,10102000,5110000,4992000,198999.999999999,10301000,152000,-1.81898940354586e-12,-1.81898940354586e-12,152000,10453000,114447000,-2430000,112017000,112017000,122470000,-1925000,502000,-573000,3903000,1907000,-856000,-856000,-19073000,28904000,29955000,29955000,29955000,-1731000,351000.000000001,245000.000000002,0.1329,-0.28702,-0.24743,-0.01718,-0.01572,-0.12727,10.5015,0.09332,0.00286999999999998,-0.0527,-0.05029,0.21299,3.06667,0.00670999999999988,-0.01713,0.00217999999999999,19.39919,15.03807
"27","2017_Q2",7.6531746031746,"Up",38830000,-26363000,12467000,-3074000,-2952000,9393000,-85000,-85000,-85000,9308000,9308000,-3574000,5734000,5734000,5734000,5734000,40159000,40159000,20731000,20731000,72352000,8342000,6306000,141584000,7418000,4105000,3177000,72000,11523000,153107000,34822000,29016000,5806000,138000,34960000,129000,0,0,129000,35089000,114714000,3304000,118018000,118018000,153107000,5734000,605000,353000,251000,6943000,-369000,-369000,-85000,-346000,6228000,6228000,6228000,9998000,267000,13454000,0.32107,0.2419,0.14767,0.04859,0.03745,2.34636,4.04989,0.29732,0.00174,0.13814,0.1318,0.93548,2.84326,0.32413,0.04848,0.11374,-3.99,-4.24699
"28","2017_Q3",8.66333333333333,"Up",52231000,-34811000,17420000,-3520000,-3399000,13900000,-60999.9999999998,-61000.0000000001,-61000,13839000,13839000,-5314000,8525000,8525000,8525000,8525000,33673000,33673000,24522000,24522000,64612000,6331000,6331000,129138000,7203000,6036000,3056000,88000,13239000,142377000,15550000,9746000,5804000,90000,15640000,107000,0,0,106999.999999999,15747000,114801000,11829000,126630000,126630000,142377000,8525000,604000,236000,-15601000,-6236000,-268000,-268000,-70000,17999.9999999963,-6486000,-6486000,-6486000,14504000,196999.999999998,3949000,0.33352,0.26613,0.16322,0.06732,0.05988,0.46323,8.25691,0.12435,0.00138000000000001,0.20509,0.19575,1.25652,3.04634,0.0949999999999999,0.06722,0.03114,-2.30805,-2.40835
"29","2017_Q4",6.08603174603175,"Down",24705000,-19637000,5068000,-3593000,-3472000,1475000,-24000,-24000,-24000,1451000,1451000,652000,2103000,2103000,2103000,2103000,43994000,43994000,13948000,13948000,63810000,6555000,6555000,128307000,7069000,5753000,2935000,88000,12822000,141129000,13056000,8528000,4528000,97000,13153000,83000,0,0,83000,13236000,113960000,13933000,127893000,127893000,141129000,2103000,479000,220000,8628000,11430000,-224000,-224000,-17000,-885000,10321000,10321000,10321000,1954000,180000,9706000,0.20514,0.0597,0.08512,0.01644,0.0149,4.61531,9.75496,0.10349,0.00128,0.05023,0.04838,0.59005,3.05456,0.23182,0.01642,0.07578,-22.42272,-29.70441
"30","2018_Q1",5.89049180327869,"Down",24614000,-21585000,3029000,-12665000,-11922000,-9636000,-2958000,-2958000,-2986000,-12594000,-12594000,7389000,-5205000,-5205000,-5205000,-5205000,5002000,5002000,14831000,14831000,172485000,16598000,6934000,208916000,30461000,82067000,32419000,184000,112528000,321444000,29158000,10885000,18273000,66202000,95360000,101158000,1473000,1473000,102631000,197991000,114726000,8727000,123453000,123453000,321444000,-5205000,1691000,5881000,3862000,6229000,-161000,-209130000,1.7e+08,163909000,-38992000,-38992000,-38992000,-7945000,167360000,-11633000,0.12306,-0.39148,-0.21147,-0.04216,-0.01619,2.23497,2.19081,1.60378,0.52065,-0.1236,-0.12836,0.58449,2.93157,-0.27624,-0.01781,-0.0398,-20.43524,-16.84911
"31","2018_Q2",3.24109375,"Down",42428000,-34523000,7905000,-8819000,-8077000,-914000,-3206000,-3206000,-3206000,-4120000,-4120000,1064000,-3056000,-3056000,-3056000,-3056000,978000,978000,26852000,26852000,170933000,13568000,3904000,212331000,29655000,81325000,31677000,184000,110980000,323311000,48318000,29248000,19070000,53148000,101466000,100996000,410000,410000,101406000,202872000,114769000,5670000,120439000,120439000,323311000,-3056000,1754000,288000,10517000,9503000,-206000,-206000,-13338000,-13321000,-4024000,-4024000,-4024000,840000,154144000,10087000,0.18632,-0.02154,-0.07203,-0.02537,-0.00945,-3.30072,2.09263,1.68444,0.47677,-0.07207,-0.07207,1.00059,2.84034,0.23788,-0.01111,0.03668,182.34048,-167.57768
"32","2018_Q3",1.77285714285714,"Down",57831000,-83913000,-26082000,-11346000,-10605000,-37428000,-3346000,-3346000,-3346000,-40774000,-40774000,10158000,-30616000,-30616000,-30616000,-30616000,2334000,2334000,37938000,37938000,116448000,6957000,3119000,163677000,29163000,88170000,30936000,176000,117333000,281010000,34026000,10774000,23252000,56132000,90158000,100842000,0,1.16415321826935e-10,100842000,1.91e+08,114955000,-24945000,90010000,90010000,281010000,-30616000,1809000,23143000,4890000,-773999.999999996,-576000,-575999.99999997,2706000,2706000.00000003,1356000,1356000,1356000,-35619000,156974000,-41463000,-0.451,-0.6472,-0.5294,-0.34014,-0.10895,1.35429,1.81545,2.12199,0.55861,-0.72202,-0.72202,1.36384,2.12272,-0.97783,-0.12396,-0.16788,-4.3415,-4.13166999999996
"33","2018_Q4",1.10063492063492,"Down",40545000,-32816000,7729000,-8098000,-7356000,-369000,-4064000,-4064000,-4064000,-4433000,-4433000,-9447000,-13880000,-13880000,-13880000,-13880000,1378000,1378000,23166000,23166000,106508000,3560000,3560000,134612000,28330000,78069000,30194000,72000,106399000,241011000,34297000,10836000,23461000,30115000,64412000,99675000,372000,372000,100047000,164459000,115377000,-38825000,76552000,76552000,241011000,-13880000,1785000,6085000,32595000,26585000,-210000,-210000,-26286000,-27331000,-956000,-956000,-956000,1416000,129790000,43248000,0.19063,-0.0091,-0.34234,-0.18131,-0.05759,-3.11585,2.08986,2.14833,0.53852,-0.32635,-0.32635,0.95332,1.79993,1.01687,-0.06715,0.20922,90.68644,-348
