"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2013_Q4",29.32625,"Up",65347000,-30053000,35294000,-26638000,-13891000,-12643000,-104000,8656000,-59000,8597000,8597000,-1187000,7410000,7410000,7410000,7410000,204348000,110446000,93902000,21957000,21957000,42975000,1670000,1651000,270950000,67221000,2022000,669000,1353000,79090000,350040000,17114000,10406000,6708000,26359000,6350000,6350000,6350000,32709000,235993000,75439000,5899000,317331000,317331000,350040000,7410000,3249000,5347000,-7985000,8021000,-4623000,-4398000,-9021000,9475000,17448000,-411841.020375608,9475000,8475000,8475000,236000,8711000,11905000,0,484000,0.5401,0.13246,0.11339,0.02335,0.02117,0.06532,10.27922,0.10308,0,0.19546,0.18996,1.72374,8.37064,0.01277,0.02289,0.0015,-17.16489,-23.60767
"14","2014_Q1",32.3475409836066,"Up",63560000,-29266000,34294000,-26254000,-13682000,-12489000,-82999.9999999995,8040000,-57000,7983000,7983000,-483000,7500000,7500000,7500000,7500000,226339000,101213000,125126000,23730000,23730000,39737000,2280000,2280000,292086000,64837000,2125000,481000,1644000,76822000,368908000,21113000,10694000,10419000,38489000,7020000,7020000,7020000,45509000,234201000,82938000,6260000,323399000,323399000,368908000,7499000,3200000,5693000,14056000,30448000,-252000,-31690000,-31942000,-7419000,5223000,-557000,-7976000,-9470000,-9470000,237000,-9233000,11240000,0,25527000,0.53955,0.12649,0.118,0.02319,0.02033,3.4036,7.58882,0.14072,0,0.19569,0.18976,1.6584,8.43811,0.66605,0.0227,0.07726,-20.13692,-28.15162
"15","2014_Q2",35.5785714285714,"Up",60061000,-27964000,32097000,-23012000,-16109000,-15603000,8700000,9085000,190000,9275000,9275000,-257000,9018000,9018000,9018000,9018000,228635000,88885000,139750000,22057000,22057000,39829000,2736000,2444000,293257000,65897000,5635000,476000,5159000,81375000,374632000,22080000,11748000,10332000,30639000,9326000,9326000,9326000,39965000,237059000,91956000,5652000,334667000,334667000,374632000,9018000,3182000,7669000,-7884000,11985000,-4516000,-14725000,-19241000,-4751000,6607000,-516794.850626179,-4751000,-12007000,-12007000,-321000,-12328000,12267000,0,124000,0.53441,0.15126,0.15015,0.02695,0.02407,0.01375,9.57136,0.11942,0,0.23442,0.22821,1.56124,8.69943,0.00322,0.02622,0.00036,-18.63822,-25.16621
"16","2014_Q3",40.5075,"Up",68436000,-31337000,37099000,-30495000,-16853000,-13368000,-273999.999999996,6604000,295000,6899000,6899000,-502000,6397000,6397000,6397000,6397000,240875000,107863000,133012000,21420000,21420000,41198000,2804000,2509000,306297000,64447000,6062000,476000,5586000,80357000,386654000,26365000,13759000,12606000,41970000,10056000,10056000,10056000,52026000,236519000,92269000,5840000,334628000,334628000,386654000,6397000,3118000,8478000,7610000,25603000,-1442000,4273000,2831000,-9369000,3069000,-250000,-9619000,18815000,18815000,163000,18978000,9722000,0,16392000,0.5421,0.0965,0.09347,0.01912,0.01654,2.56245,7.298,0.15547,0,0.16537,0.16151,1.7691,8.65029,0.42374,0.01856,0.04756,-24.77628,-36.47411
"17","2014_Q4",41.49921875,"Up",78335000,-35872000,42463000,-32017000,-17006000,-14679000,-332000,10446000,202000,10648000,10648000,573000,11221000,11221000,11221000,11221000,228661000,101812000,126849000,24274000,24274000,41587000,2788000,2788000,297310000,63428000,22166000,477000,7940000,95389000,392699000,21400000,14793000,6607000,36928000,14110000,14110000,14110000,51038000,238602000,97398000,5661000,341661000,341661000,392699000,11220000,3388000,8922000,-7521000,16009000,-1772000,3638000,-9724000,-6375000,2805000,0,-12192000,-5907000,-5907000,-144000,-6051000,13834000,0,3968000,0.54207,0.13335,0.14324,0.03284,0.02857,0.35362,8.05107,0.14938,0,0.28931,0.28245,2.01972,8.8091,0.10231,0.04789,0.01115,-16.52891,-21.88981
"18","2015_Q1",46.712131147541,"Up",75703000,-34744000,40959000,-31794000,-16787000,-14940000,-66999.9999999998,9165000,405000,9570000,9570000,-711000,8859000,8859000,8859000,8859000,238718000,126266000,112452000,25630000,25630000,40918000,2646000,2646000,307912000,62942000,23123000,1283000,8457000,91454000,399366000,22158000,13138000,9020000,36861000,16080000,16080000,16080000,52941000,240500000,100114000,5811000,346425000,346425000,399366000,8860000,3442000,8488000,-254000,20536000,-1781000,18548000,16767000,-6684000,1538000,-140000,-12665000,24638000,24638000,-184000,24454000,12607000,0,11283000,0.54105,0.12107,0.11702,0.02557,0.02218,1.27362,8.35333,0.15282,0,0.2283,0.21972,1.95086,8.92733,0.29076,0.04055,0.03113,-18.93535,-26.0467
"19","2015_Q2",49.2420634920635,"Up",73538000,-33855000,39683000,-33826000,-17518000,-16038000,-270000,5857000,642000,6499000,6499000,-536000,5963000,5963000,5963000,5963000,233757000,95966000,137791000,25343000,25343000,53396000,2727000,2727000,315223000,64256000,24757000,1052000,10689000,94407000,409630000,27266000,19900000,7366000,45892000,18286000,18286000,18286000,64178000,241737000,97619000,6096000,345452000,345452000,409630000,5963000,3621000,9114000,-3017000,15681000,-4703000,-27404000,-32107000,-7992000,2413000,1386705.77095071,-13851000,-30277000,-30277000,-23000,-30300000,9478000,0,2294000,0.53963,0.07965,0.08109,0.01726,0.01456,0.38471,6.8688,0.18578,0,0.15249,0.14689,1.88053,8.83396,0.05866,0.0325,0.00631,-24.66311,-39.91071
"20","2015_Q3",46.29578125,"Down",81416000,-37287000,44129000,-34018000,-17964000,-15743000,-311000,10111000,235000,10346000,10346000,-2447000,7899000,7899000,7899000,7899000,231034000,80868000,150166000,26765000,26765000,64964000,2554000,2554000,325317000,62163000,24768000,1053000,11066000,92306000,417623000,27832000,16596000,11236000,46234000,16627000,16627000,16627000,62861000,251553000,97023000,6186000,354762000,354762000,417623000,7899000,3471000,7210000,-10912000,7668000,-1952000,-13072000,-15024000,-2336000,5388000,2498000,-7821000,-15177000,-15177000,79000.0000000001,-15098000,13582000,0,3165000,0.54202,0.12419,0.09702,0.02227,0.01891,0.40068,7.03632,0.17719,0,0.19962,0.19386,2.05752,8.96543,0.07998,0.04276,0.00852,-17.01031,-22.84977
"21","2015_Q4",58.22671875,"Up",91194000,-41754000,49440000,-36130000,-18722000,-17272000,-136000,13310000,-6000,13304000,13304000,-2103000,11201000,11201000,11201000,11201000,229663000,76616000,153047000,30475000,30475000,67309000,2521000,2521000,329968000,60088000,24659000,1031000,11491000,90111000,420079000,29917000,15661000,14256000,48620000,17346000,17346000,17346000,65966000,251298000,99731000,3084000,354113000,354113000,420079000,11201000,3386000,9556000,-2093000,22050000,-1755000,-4605000,-6360000,-12304000,1302000,1573000,-18742000,-3052000,-3052000,-1200000,-4252000,16696000,0,14951000,0.54214,0.14595,0.12283,0.03163,0.02666,1.33479,6.78667,0.18629,0,0.28291,0.27528,2.30334,8.94405,0.37763,0.05172,0.04025,-13.75557,-17.25492
"22","2016_Q1",56.0481967213115,"Down",86919000,-40002000,46917000,-35125000,-18108000,-16734000,-283000,11792000,550000,12342000,12342000,-2233000,10109000,10109000,10109000,10109000,234963000,90860000,144103000,30830000,30830000,63209000,2926000,2926000,331928000,65359000,28637000,672000,16341000,99357000,431285000,23299000,13487000,9812000,43283000,19486000,19486000,19486000,62769000,265763000,101287000,1466000,368516000,368516000,431285000,10109000,3305000,7547000,3376000,24337000,-7274000,3568000,-3706000,317000,868000,1557000,-6238000,14393000,14393000,-149000,14244000,15097000,0,13432000,0.53978,0.13567,0.1163,0.02743,0.02344,1.32872,7.66878,0.17033,0,0.25519,0.24391,2.1942,9.30291,0.33908,0.04696,0.03462,-15.56356,-19.92563
"23","2016_Q2",61.7975,"Up",84512000,-39002000,45510000,-35134000,-17768000,-17321000,-45000,10376000,543000,10919000,10919000,-344000,10575000,10575000,10575000,10575000,251501000,77808000,173693000,28836000,28836000,62318000,2909000,2909000,345564000,66527000,29668000,663000,17894000,101548000,447112000,25283000,15731000,9552000,45323000,19803000,19803000,19803000,65126000,276450000,103362000,2174000,381986000,381986000,447112000,10575000,3320000,8917000,6058000,28870000,-5346000,-30480000,-35826000,1749000,1749000,0,-6225000,-13181000,-13181000,129000,-13052000,13696000,0,14752000,0.5385,0.12278,0.12513,0.02768,0.02365,1.39499,7.62447,0.17049,0,0.26419,0.25393,2.11132,9.54297,0.36854,0.04617,0.03672,-18.3631,-24.23872
"24","2016_Q3",69.92578125,"Up",94079000,-43153000,50926000,-39399000,-21531000,-17876000,7999.99999999997,11527000,597000,12124000,12124000,-926000,11198000,11198000,11198000,11198000,243864000,82046000,161818000,31351000,31351000,69919000,3980000,3980000,349114000,74293000,39940000,644000,28698000,119527000,468641000,33256000,19140000,14116000,52111000,21390000,21390000,21390000,73501000,289129000,105883000,128000,395140000,395140000,468641000,11198000,3553000,11274000,-11027000,14998000,-13332000,10772000,-2559999.99999999,576000,576000,211000,-7719000,4719000,4719000,-481000,4238000,15080000,0,-8353000,0.54131,0.12252,0.11903,0.02834,0.02389,-0.74594,6.69943,0.18601,0,0.27727,0.26843,2.32944,9.78384,-0.20682,0.04731,-0.02005,-16.17135,-21.15589
"25","2016_Q4",76.174126984127,"Up",106456000,-48531000,57925000,-42924000,-22397000,-20472000,-55000,15001000,780000,15781000,15781000,-1408000,14373000,14373000,14373000,14373000,259063000,109479000,149584000,33335000,33335000,70692000,3720000,3720000,366810000,82097000,40567000,644000,29837000,128046000,494856000,33643000,17332000,16311000,55516000,23042000,23042000,23042000,78558000,304700000,111535000,63000,416298000,416298000,494856000,14373000,3669000,12564000,2313000,32919000,-10358000,11072000,714000,1329000,1329000,717000,-6108000,27525000,27525000,-92000,27433000,18670000,0,12033000,0.54412,0.14091,0.13501,0.03453,0.02904,0.83719,6.60728,0.18871,0,0.3541,0.34307,2.62271,10.25617,0.29645,0.05127,0.02739,-13.8759,-17.26972
"26","2017_Q1",84.2725806451613,"Up",103618000,-47106000,56512000,-38969000,-21316000,-17974000,321000,17543000,897000,18440000,18440000,-1866000,16574000,16574000,16574000,16574000,268224000,112703000,155521000,34248000,34248000,71469000,9043000,9043000,382984000,85171000,37617000,633000,27411000,128142000,511126000,30005000,17427000,12578000,52921000,27089000,27089000,27089000,80010000,315969000,119362000,-4215000,431116000,431116000,511126000,16574000,4132000,10583000,-290000,30999000,-8076000,-9978000,-18054000,153000,153000,237000,-8075000,4870000,4870000,-1649000,3221000,21675000,0,15175000,0.54539,0.1693,0.15995,0.03844,0.03243,0.91559,7.2369,0.18559,0,0.40683,0.39087,2.54346,10.58239,0.37249,0.05465,0.03312,-12.37481,-15.28952
"27","2017_Q2",90.8361904761905,"Up",100362000,-45520000,54842000,-41272000,-22092000,-18894000,-286000,13570000,1381000,14951000,14951000,-474000,14477000,14477000,14477000,14477000,278641000,76826000,201815000,38115000,38115000,78535000,11045000,11045000,406336000,85617000,39509000,641000,29808000,130468000,536804000,33091000,22637000,10454000,56008000,29668000,29668000,29668000,85676000,334222000,119613000,-2707000,451128000,451128000,536804000,14477000,4044000,11433000,-8062000,21892000,-3421000,-47822000,-51243000,1443000,1443000,-250000,-6986000,-36337000,-36337000,460000,-35877000,17614000,0,6605000,0.54644,0.13521,0.14425,0.03209,0.02697,0.45624,7.25496,0.18992,0,0.35269,0.33459,2.44505,10.99052,0.16091,0.04712,0.01374,-15.81929,-20.5336
"28","2017_Q3",96.9738095238095,"Up",112198000,-50773000,61425000,-46455000,-25873000,-20292000,-290000,14970000,1237000,16207000,16207000,-1194000,15013000,15013000,15013000,15013000,277671000,71110000,206561000,41982000,41982000,92666000,14894000,14894000,427213000,100562000,34923000,650000,25725000,140833000,568046000,39793000,25232000,14561000,62786000,31467000,31467000,31467000,94253000,349447000,125726000,-1380000,473793000,473793000,568046000,15013000,4019000,15095000,-9249000,24878000,-17107000,-5361000,-22468000,68000,68000,0,-8568000,-6158000,-6158000,449000,-5709000,18989000,0,-6173000,0.54747,0.13342,0.13381,0.03169,0.02643,-0.41118,6.80427,0.19893,0,0.36331,0.34595,2.71515,11.4656,-0.14938,0.04681,-0.01222,-14.62273,-18.5485
"29","2017_Q4",111.069206349206,"Up",128939000,-58084000,70855000,-47024000,-25254000,-21443000,-327000,23831000,1255000,25086000,25086000,-1444000,23642000,23642000,23642000,23642000,299598000,104424000,195174000,50757000,50757000,99887000,13560000,13560000,463802000,100629000,35214000,661000,26518000,141211000,605013000,39289000,21831000,17458000,66168000,33322000,33322000,33322000,99490000,364726000,140455000,342000,505523000,505523000,605013000,23642000,4029000,13823000,-7816000,33678000,-4580000,10463000,5883000,1319000,1319000,0,-7130000,32431000,32431000,881000,33312000,27860000,0,16908000,0.54952,0.18482,0.18336,0.04677,0.03908,0.71517,7.00946,0.19681,0,0.57026,0.54367,3.11011,12.19362,0.40783,0.05956,0.03138,-10.7537,-12.57178
"30","2018_Q1",113.614754098361,"Up",129430000,-58269000,71161000,-46108000,-24038000,-21730000,-340000,25053000,1647000,26700000,26700000,-14629000,12071000,12071000,12071000,12071000,299090000,82759000,216331000,38037000,38037000,99281000,12762000,12762000,449170000,144636000,53507000,15917000,30068000,203399000,652569000,38410000,22813000,15597000,65917000,64645000,64645000,64645000,130562000,376586000,143608000,1813000,522007000,522007000,652569000,12071000,4009000,-3530000,40823000,53373000,-40662000,-25570000,-66232000,20999.9999999998,21000.0000000002,4.65661287307739e-10,-8641000,-21500000,-21500000,-165000,-21665000,29062000,0,43852000,0.5498,0.19356,0.09326,0.02312,0.0185,3.63284,6.81418,0.25012,0,0.29036,0.27334,3.11339,12.5567,1.05484,0.03534,0.07475,-10.29145,-11.93829
"31","2018_Q2",122.41234375,"Up",129150000,-57655000,71495000,-49458000,-27318000,-21609000,-531000,22037000,440000,22477000,22477000,-621000,21856000,21856000,21856000,21856000,307259000,76016000,231243000,48241000,48241000,111897000,16707000,16707000,484104000,153770000,54643000,15840000,31531000,213663000,697767000,40571000,27511000,13060000,73301000,66160000,66160000,66160000,139461000,401007000,152257000,5042000,558306000,558306000,697767000,21856000,2755000,15531000,-23850000,16292000,-7400000,-17802000,-25202000,1579000,1579000,7793000,1033000,-7877000,-7877000,1137000,-6740000,24792000,0,-5837000,0.55358,0.17063,0.16923,0.03915,0.03132,-0.26707,6.60433,0.24979,0,0.52135,0.49356,3.08072,13.31773,-0.13923,0.04835,-0.00935,-12.39347,-13.94287
"32","2018_Q3",134.261428571429,"Up",139761000,-62197000,77564000,-52683000,-28561000,-23482000,-640000,24881000,2233000,27114000,27114000,-2908000,24206000,24206000,24206000,24206000,313503000,83075000,230428000,53460000,53460000,128909000,13974000,13974000,509846000,150658000,54201000,15791000,31335000,210106000,719952000,42293000,26689000,15604000,75326000,65606000,65606000,65606000,140932000,417866000,162859000,-1705000,579020000,579020000,719952000,24206000,3075000,15977000,-17840000,25418000,-5598000.00000001,948000,-4650000,42000,42000.0000000005,915999.999999998,-12170000,8598000,8598000,-1544000,7054000,27956000,0,7426000,0.55498,0.17803,0.1732,0.04181,0.03362,0.30678,6.76853,0.2434,0,0.5731,0.54518,3.30897,13.70883,0.17582,0.05792,0.01152,-11.21416,-12.6001
