"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","premium_reserve_unearned","life_policy_benefits","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",19.3411290322581,"Up",1.6503e+10,9.096e+09,5.517e+09,1.89e+09,2.131e+09,2.2e+07,-2.63e+08,-1.14e+10,-4.245e+09,8.58e+08,8.58e+08,-1.01e+09,5.3e+07,-9.57e+08,-9.57e+08,3e+06,-9.54e+08,-3e+07,-9.84e+08,5.21556e+11,3.92683e+11,2.803e+09,1.2607e+11,1.695e+10,2.2939e+10,2.4604e+10,2.60236e+11,8.46285e+11,4.1795e+11,2.26882e+11,1.91068e+11,6.615e+09,5.6424e+10,1.9621e+10,2.81125e+11,7.81735e+11,2.6975e+10,1.1e+07,2.6964e+10,-1.72e+08,2.592e+10,1.1325e+10,6.4049e+10,5.01e+08,6.455e+10,8.46285e+11,3.186e+09,-1.503e+09,2.05e+08,-1.298e+09,-3e+07,6.65e+08,-2.98023223876953e-08,-1.674e+09,-1.039e+09,8.49e+08,8.49e+08,6.6e+07,9.15e+08,2.6236e+10,0.05199,-0.05963,-0.01524,-0.00116,12.11053,0.031,-0.82359,-0.81902,13.81273,53.60708,0.02511,-0.00121,-0.03049,10.82284
"12","2013_Q1",21.5478333333333,"Up",1.7333e+10,1.0589e+10,5.548e+09,1.196e+09,2.25e+09,-2e+08,-8.54e+08,-1.3396e+10,-4.414e+09,-4.77e+08,-4.77e+08,-4.77e+08,5.82e+08,1.05e+08,1.36e+08,-9e+06,1.27e+08,-3.1e+07,96000000.0000005,5.17052e+11,3.91172e+11,2.891e+09,1.22989e+11,1.5738e+10,2.1634e+10,2.4761e+10,2.57596e+11,8.36781e+11,4.18172e+11,2.25821e+11,1.92351e+11,6.516e+09,5.0897e+10,1.9062e+10,2.77176e+11,7.71823e+11,2.8022e+10,1.1e+07,2.8011e+10,-1.72e+08,2.5205e+10,1.1397e+10,6.4453e+10,5.05e+08,6.4958e+10,8.36781e+11,1.872e+09,9.71e+09,-7.564e+09,2.146e+09,-8.42e+08,-5.96e+08,1e+09,-4.779e+09,-5.217e+09,-1.199e+09,-1.199e+09,-1.3e+07,-1.212e+09,2.5578e+10,-0.02752,0.00554,0.00148,0.000109999999999999,11.88188,0.03057,0.0784200000000002,0.0779600000000001,14.15916,52.65022,0.68782,0.00119,8.77083,-20.62893
"13","2013_Q2",24.103125,"Up",1.7683e+10,9.151e+09,6.077e+09,2.455e+09,2.291e+09,3.14e+08,-1.5e+08,-1.2298e+10,-4.138e+09,1.247e+09,1.247e+09,1.247e+09,-2.52e+08,9.95e+08,9.92e+08,-6e+06,9.86e+08,-3e+07,9.56e+08,5.12472e+11,3.87947e+11,3.188e+09,1.21337e+11,9.983e+09,2.3052e+10,2.4645e+10,2.71533e+11,8.41685e+11,4.14098e+11,2.24044e+11,1.90054e+11,1e+08,5.1247e+10,1.8721e+10,2.92551e+11,7.76717e+11,2.8083e+10,1.1e+07,2.8072e+10,-1.72e+08,2.5958e+10,1.058e+10,6.445e+10,5.18e+08,6.4968e+10,8.41685e+11,2.733e+09,-2.304e+09,-7.415e+09,-9.719e+09,-2.33e+08,-2.4e+08,398062686.568461,1.797e+09,1.324e+09,-5.662e+09,-5.662e+09,-9.3e+07,-5.755e+09,1.8821e+10,0.07052,0.05406,0.01471,0.00114,11.95538,0.02236,0.77676,0.77186,14.36766,52.36561,0.18932,0.0015,0.24372,7.08741
"14","2013_Q3",28.40625,"Up",1.5721e+10,9.158e+09,5.282e+09,1.281e+09,2.371e+09,1.1e+08,-1.2e+09,-1.1135e+10,-4.025e+09,5.61e+08,5.61e+08,5.61e+08,-5.3e+07,5.08e+08,5.1e+08,-8e+06,5.02e+08,-3.1e+07,4.71e+08,4.91206e+11,3.69504e+11,3.231e+09,1.18471e+11,9.184e+09,2.3283e+10,2.4782e+10,2.67207e+11,8.15662e+11,3.99892e+11,2.15195e+11,1.84697e+11,1e+08,4.8099e+10,1.8577e+10,2.88456e+11,7.55124e+11,2.8148e+10,1.1e+07,2.8137e+10,-1.72e+08,2.5824e+10,6.202e+09,6.0003e+10,5.35e+08,6.0538e+10,8.15662e+11,4.581e+09,6.071e+09,-4.205e+09,1.866e+09,-3.33e+08,-1.16e+08,-2.38418579101562e-07,-6.665e+09,-7.114e+09,-6.67e+08,-6.67e+08,-1.32e+08,-7.99e+08,1.8677e+10,0.03568,0.02996,0.00778,0.00058,12.47355,0.0229,0.38236,0.37973,12.76229,48.70957,0.27033,0.00105,0.70701,16.92157
"15","2013_Q4",29.7246875,"Up",1.6337e+10,9.094e+09,5.026e+09,2.217e+09,2.372e+09,-8.5e+07,-7e+07,-1.1384e+10,-3.977e+09,9.76e+08,9.76e+08,9.76e+08,-3e+06,9.73e+08,9.75e+08,-3e+06,9.72e+08,-3e+07,9.42e+08,4.84925e+11,3.61451e+11,3.241e+09,1.20233e+11,1.1376e+10,2.3473e+10,2.5639e+10,2.7723e+11,8.22643e+11,4.0104e+11,2.14512e+11,1.86528e+11,1e+08,4.6178e+10,1.8252e+10,2.95695e+11,7.61265e+11,2.9232e+10,1.1e+07,2.9221e+10,-1.72e+08,2.6766e+10,5.1e+09,6.0927e+10,4.51e+08,6.1378e+10,8.22643e+11,2.67e+09,6.656e+09,-5.378e+09,1.278e+09,-3.33e+08,-4.09e+08,1e+09,-2.052e+09,-1.794e+09,2.154e+09,2.154e+09,3.8e+07,2.192e+09,1.8352e+10,0.05974,0.05766,0.01535,0.00115,12.4029,0.02231,0.75987,0.75146,13.1783,49.14618,0.26862,0.00164,0.3535,7.14754
"16","2014_Q1",30.6540983606557,"Up",1.8458e+10,1.0271e+10,5.847e+09,2.34e+09,2.417e+09,-1.78e+08,1.01e+08,-1.2728e+10,-4.462e+09,1.268e+09,1.268e+09,1.268e+09,-3.53e+08,9.15e+08,9.16e+08,-8e+06,9.08e+08,-3.1e+07,8.77e+08,4.88779e+11,3.64142e+11,3.402e+09,1.21235e+11,7.585e+09,2.1859e+10,2.6706e+10,3.40367e+11,8.85296e+11,4.00827e+11,2.12885e+11,1.87942e+11,1.75e+08,4.5304e+10,1.8653e+10,3.57354e+11,8.22313e+11,2.9288e+10,1.1e+07,2.9277e+10,-1.72e+08,2.7332e+10,5.104e+09,6.1553e+10,1.43e+09,6.2983e+10,8.85296e+11,6.147e+09,1.937e+09,-1.0527e+10,-8.59e+09,-3.42e+08,4.66e+08,-2.38418579101562e-07,-1.447e+09,-1.323e+09,-3.766e+09,-3.766e+09,-2.5e+07,-3.791e+09,1.8828e+10,0.0687,0.04751,0.01392,0.00099,13.05611,0.02127,0.69627,0.68675,14.65421,48.86748,0.27152,0.00145,0.38997,8.86672
"17","2014_Q2",31.4096825396825,"Up",1.7085e+10,9.219e+09,5.035e+09,2.831e+09,2.421e+09,-4.11e+08,8.21e+08,-1.1096e+10,-4.163e+09,1.826e+09,1.826e+09,1.826e+09,-4.84e+08,1.342e+09,1.339e+09,-1.1e+07,1.328e+09,-3e+07,1.298e+09,4.93247e+11,3.68977e+11,3.693e+09,1.20577e+11,8.573e+09,2.3031e+10,2.6352e+10,3.397e+11,8.90903e+11,3.99468e+11,2.09498e+11,1.8997e+11,1e+08,4.9659e+10,1.6793e+10,3.58444e+11,8.24464e+11,2.9395e+10,1.1e+07,2.9384e+10,-1.72e+08,2.8319e+10,8.215e+09,6.5758e+10,6.81e+08,6.6439e+10,8.90903e+11,2.484e+09,5.786e+09,-3.622e+09,2.164e+09,-3.41e+08,-1.535e+09,0,-1.783e+09,-3.659e+09,9.89e+08,9.89e+08,-1e+06,9.88e+08,1.6893e+10,0.10688,0.07597,0.01954,0.00146,12.40934,0.01896,1.02657,1.01438,13.51226,52.00619,0.26969,0.00195,0.26271,4.55641
"18","2014_Q3",32.82625,"Up",1.8266e+10,9.873e+09,5.259e+09,3.134e+09,2.458e+09,-1.25e+08,8.01e+08,-1.2094e+10,-4.222e+09,1.95e+09,1.95e+09,1.95e+09,-5.74e+08,1.376e+09,1.376e+09,-1e+07,1.366e+09,-3.1e+07,1.335e+09,5.05305e+11,3.79422e+11,3.863e+09,1.2202e+11,7.393e+09,2.373e+10,2.5915e+10,3.48777e+11,9.1112e+11,4.03474e+11,2.13799e+11,1.89675e+11,1e+08,5.1943e+10,1.6783e+10,3.68538e+11,8.40838e+11,2.9449e+10,1.1e+07,2.9438e+10,-1.76e+08,2.9259e+10,1.1058e+10,6.9591e+10,6.91e+08,7.0282e+10,9.1112e+11,4.437e+09,-5.411e+09,-3.453e+09,-8.864e+09,-4.26e+08,-2.4e+07,-4e+06,3.679e+09,3.225e+09,-1.202e+09,-1.202e+09,2.2e+07,-1.18e+09,1.6883e+10,0.10676,0.07309,0.01899,0.00147,11.96377,0.01853,1.05484,1.04165,14.43268,54.98576,0.3366,0.00205,0.3191,4.86667
"19","2014_Q4",32.3240625,"Down",1.8846e+10,9.703e+09,5.41e+09,3.733e+09,2.628e+09,1.09e+08,9.96e+08,-1.1676e+10,-4.218e+09,2.952e+09,2.952e+09,2.952e+09,-8.58e+08,2.094e+09,2.094e+09,0,2.094e+09,-3e+07,2.064e+09,5.07551e+11,3.8031e+11,3.689e+09,1.23552e+11,8.783e+09,2.3814e+10,2.5503e+10,3.42976e+11,9.08627e+11,4.04508e+11,2.15226e+11,1.89282e+11,1e+08,5.3525e+10,1.6389e+10,3.62704e+11,8.37226e+11,2.9499e+10,1.1e+07,2.9488e+10,-6.15e+08,3.0928e+10,1.0992e+10,7.0805e+10,5.96e+08,7.1401e+10,9.08627e+11,4.029e+09,1.644e+09,-6.613e+09,-4.969e+09,-4.25e+08,-3.18e+08,-4.39e+08,3.593e+09,2.411e+09,1.471e+09,1.471e+09,-8.1e+07,1.39e+09,1.6489e+10,0.15664,0.10952,0.02891,0.00227,11.72569,0.01815,1.63493,1.61218,14.92828,56.08522,0.33665,0.00291,0.20591,2.61043
"20","2015_Q1",30.7881967213115,"Down",1.9119e+10,1.0272e+10,5.449e+09,3.398e+09,2.439e+09,2.3e+08,7.29e+08,-1.2555e+10,-4.488e+09,2.076e+09,2.076e+09,2.076e+09,-5.49e+08,1.527e+09,1.527e+09,-6e+06,1.521e+09,-3.1e+07,1.49e+09,5.05995e+11,3.74046e+11,3.631e+09,1.28318e+11,1.0808e+10,2.2244e+10,2.4442e+10,3.38848e+11,9.02337e+11,3.9888e+11,2.09294e+11,1.89586e+11,1e+08,5.5404e+10,1.6286e+10,3.59008e+11,8.29678e+11,3.0555e+10,1.2e+07,3.0543e+10,-1.172e+09,3.202e+10,1.0649e+10,7.2053e+10,6.06e+08,7.2659e+10,9.02337e+11,5.426e+09,3.98e+08,-3.784e+09,-3.386e+09,-4.29e+08,-6e+07,4.43e+08,3.25e+08,2.79e+08,2.319e+09,2.319e+09,-2.94e+08,2.025e+09,1.6386e+10,0.10858,0.07793,0.02051,0.00165,11.41879,0.01816,1.17031,1.15857,15.01694,56.59295,0.33696,0.00227,0.28792,2.6869
"21","2015_Q2",32.6719047619048,"Up",1.871e+10,9.253e+09,5.461e+09,3.996e+09,2.394e+09,2.86e+08,1.316e+09,-1.1591e+10,-4.06e+09,3.059e+09,3.059e+09,3.059e+09,-8.96e+08,2.163e+09,2.163e+09,-5e+06,2.158e+09,-3e+07,2.128e+09,5.16751e+11,3.80405e+11,3.713e+09,1.32633e+11,8.127e+09,2.419e+10,2.4003e+10,3.46719e+11,9.1979e+11,3.97808e+11,2.06591e+11,1.91217e+11,1e+08,5.8926e+10,1.7714e+10,3.70833e+11,8.45381e+11,3.0644e+10,1.2e+07,3.0632e+10,-2.158e+09,3.3754e+10,1.1529e+10,7.377e+10,6.39e+08,7.4409e+10,9.1979e+11,2.686e+09,5.012e+09,-1.1912e+10,-6.9e+09,-4.24e+08,1.485e+09,-9.86e+08,1.648e+09,1.723e+09,-2.491e+09,-2.491e+09,-1.9e+08,-2.681e+09,1.7814e+10,0.1635,0.11374,0.0286,0.00231,11.36127,0.01937,1.68482,1.66991,14.81347,58.40594,0.3357,0.00296,0.19925,3.16672
"22","2015_Q3",32.4496875,"Down",1.6166e+10,9.312e+09,4.947e+09,1.907e+09,2.434e+09,-1.33e+08,-3.94e+08,-1.0981e+10,-4.072e+09,1.113e+09,1.113e+09,1.113e+09,6000000.00000012,1.119e+09,1.119e+09,-4e+06,1.115e+09,-7.3e+07,1.042e+09,5.00384e+11,3.65947e+11,3.677e+09,1.3076e+11,8.074e+09,2.4872e+10,2.4379e+10,3.407e+11,8.98409e+11,3.9319e+11,2.04262e+11,1.88928e+11,1e+08,5.4421e+10,1.677e+10,3.63939e+11,8.2842e+11,3.073e+10,1.2e+07,3.0718e+10,-2.172e+09,3.4376e+10,6.443e+09,6.9377e+10,6.12e+08,6.9989e+10,8.98409e+11,4.202e+09,6.412e+09,-6.272e+09,139999999.999999,-4.51e+08,-1.045e+09,5.66e+08,-3.357e+09,-4.287e+09,54999999.9999995,54999999.9999995,-1.08e+08,-5.3e+07,1.687e+10,0.06885,0.06446,0.01489,0.00116,11.83643,0.01878,0.83082,0.82303,12.8897,55.31662,0.3596,0.00177,0.43282,7.90296
"23","2015_Q4",30.770625,"Down",1.8031e+10,1.0375e+10,3.959e+09,3.697e+09,2.346e+09,3.82e+08,9.69e+08,-1.1335e+10,-4.533e+09,2.163e+09,2.163e+09,2.163e+09,-9.65e+08,1.198e+09,1.198e+09,5e+06,1.203e+09,-6e+06,1.197e+09,5.01577e+11,3.66535e+11,3.399e+09,1.31643e+11,1.0216e+10,2.5808e+10,2.3996e+10,3.20863e+11,8.8246e+11,3.93045e+11,2.02291e+11,1.90754e+11,1e+08,5.7437e+10,1.6755e+10,3.44056e+11,8.11393e+11,3.0738e+10,1.2e+07,3.0726e+10,-2.279e+09,3.5153e+10,6.891e+09,7.0503e+10,5.64e+08,7.1067e+10,8.8246e+11,2.639e+09,2.578e+09,-2.725e+09,-1.47e+08,-4.26e+08,1.6e+07,-6.64e+08,7.86e+08,-2.88e+08,2.204e+09,2.204e+09,-6.2e+07,2.142e+09,1.6855e+10,0.11996,0.06639,0.01684,0.00136,11.4173,0.0191,0.95351,0.94416,14.36325,56.16174,0.33935,0.00197,0.35589,3.06935
