"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"21","2016_Q2",3.72375,"Up",2699218,-1240676,1458542,-945465,-945465,513077,-117207,395870,395870,-240822,155048,155048,29110,184158,184158,1018463,1018463,2914193,2914193,4968409,1293885,3674524,8901065,195582,3196296,2751640,3391878,12292943,1703930,339325,1364605,25832,25832,1729762,-7760,-7760,-7760,1722002,18080433,-2368713,218,15339411,-4768470,10570941,12292943,155048,15352,212710,-646993,-263883,-927,-927,367454,367454,-79313,288141,528429,0,0.54036,0.19008,0.06823,0.01742,0.01498,5.14583,0.1629,0,0.11065,0.11065,1.62175,9.21626,0.01743,-1.98501
"22","2016_Q3",6.94015625,"Up",1596951,-707127,889824,-1992904,-1992904,-1103080,-200397,-1303477,-1303477,-332533,-1636010,-1636010,136911,-1499099,-1499099,1094576,1094576,2554660,2554660,7140089,3904181,3235908,10789325,180853,77548,34439,258401,11047726,1798675,294890,1503785,25831,25831,1824506,-7760,-7760,-7760,1816746,18335433,-3867811,-112038,13941787,-4710807,9230980,11047726,-1636010,13724,1414122,-219729,-427893,330038,330038,-79788.9999999998,-79788.9999999998,155902,76113.0000000002,-1089356,-1.6940658945086e-21,0.5572,-0.69074,-0.93873,-0.1624,-0.13569,5.91356,0.19681,0,-0.88879,-0.88879,0.94681,8.26588,-0.16254,0.99229
"23","2016_Q4",12.1488888888889,"Up",1173769,-620542,553227,-1213967,-1213967,-660740,71585,-589155,-589155,-265721,-854876,-854876,116667,-738209,-738209,4076107,4076107,1688340,1688340,2474618,1089121,1385497,8239065,182647,226591,38323,409238,8648303,2135704,312009,1823695,24376,24376,2160080,-7760,-7760,-7760,2152320,16465233,-4606020,-94913,11348322,-4852339,6495983,8648303,-854876,14941,-175340,4178051,3162776,-20203,-20203,3140392,3140392,-158861,2981531,-645799,0,0.47133,-0.56292,-0.62892,-0.11364,-0.08536,3.81424,0.33133,-1.61558713389263e-27,-0.4427,-0.4427,0.7039,6.80549,-0.11378,6.16899999999996
"24","2017_Q1",14.4508064516129,"Up",1840602,-1169644,670958,-669442,-669442,1516,6317,7833,7833,26483,34316,34316,52905,87221.0000000002,87221.0000000002,1385994,1385994,2333024,2333024,4932967,826631,4106336,8651985,176367,225792,46810,402159,9054144,2413009,489490,1923519,24373,24373,2437382,0,0,0,2437382,16641353,-4518799,-280907,11424109,-4807347,6616762,9054144,34316,15491,643483,-3285338,-2592048,-14532,-14532,-2608140,-2608140,-81973,-2690113,17007,-2.71050543121376e-20,0.36453,0.000820000000000043,0.04739,0.01318,0.00963,3.5497,0.36836,0,0.0458399999999999,0.04584,0.96736,6.00413,0.01318,-914.24406
"25","2017_Q2",14.8301587301587,"Up",1944402,-306339,1638063,-925223,-925223,712840,-3434,709406,709406,-71621,637785,637785,7935,645720,645720,2896265,2896265,778491,778491,5486845,562723,4924122,9161601,162759,169981,47061,332740,9494341,2210657,6832.00000000006,2203825,24377,24377,2235034,0,0,-9.09494701772928e-13,2235034,16660683,-3873079,-306021,12064045,-4804738,7259307,9494341,637785,13342,308633,564614,1524374,0,0,1524374,1524374,-14103,1510271,726182,0,0.84245,0.36661,0.33209,0.08895,0.06801,4.09909,0.30789,-2.58493941422821e-26,0.3899,0.3899,1.17408,7.28458,0.08895,-4.06299000000001
"26","2017_Q3",15.5879365079365,"Up",2128548,-350796,1777752,-823159,-823159,954593,-88470,866123,866123,-73391,792732,792732,100169,892901,892901,3293453,3293453,1788489,1788489,5620942,334535,5286407,10702884,146386,132874,40360,279260,10982144,2577644,167525,2410119,383631,383631,2961275,0,0,0,2961275,16733825,-2980178,-532014,12804095,-4783226,8020869,10982144,792732,12065,205064,-611777,398084,0,-1.81898940354586e-12,398084,398084,-896,397188.000000001,966658,4.33680868994202e-19,0.83519,0.44847,0.41949,0.11132,0.0813,3.61428,0.3692,0,0.53916,0.53513,1.28527,7.73144,0.11132,-3.45011
"27","2017_Q4",13.8690476190476,"Down",2747611,-1132213,1615398,-653686,-653686,961712,34167,995879,995879,303196,1299075,1299075,-4021,1295054,1295054,8840189,8840189,1883119,1883119,6190225,355442,5834783,16913533,196845,498080,60481,694925,17608458,3377426,784411,2593015,501311,501311,3878737,0,0,0,3878737,21138731,-1685124,-503703,18532366,-4802645,13729721,17608458,1299075,11025,-384747,127120,1052473,-55474,101367,5556328,5556328,-9592,5546736,972737,0,0.58793,0.35002,0.47134,0.09432,0.07355,4.36058,0.28251,2.06795153138257e-25,0.71994,0.71717,1.52744,10.30246,0.09432,-9.19214
"28","2018_Q1",10.1959016393443,"Down",4625052,-3191243,1433809,-961772,-961772,472037,88015,560052,560052,313900,873952,873952,-82735,791217,791217,8733742,8733742,2569141,2569141,2118967,311136,1807831,16754888,187373,873760,117478,1061133,17816021,2510456,206211,2304245,576040,576040,3086496,0,0,0,3086496,21224313,-893907,-414564,19498304,-4768779,14729525,17816021,873952,12935,-3504603,2431232,-186484,-6938,42544,-143940,-143940,37493,-106447,484972,-6.93889390390723e-18,0.31001,0.10206,0.17107,0.05372,0.04441,5.42845,0.20954,0,0.39205,0.38986,2.29173,9.66146,0.05372,-18.50224
"29","2018_Q2",6.22328125,"Down",5380011,-3665918,1714093,-785823,-785823,928270,84796,1013066,1013066,-296429,716637,716637,-99448,617189,617189,7927386,7927386,4318818,4318818,2776398,358069,2418329,18418596,182105,772448,119442,954553,19373149,3290454,872117,2418337,526441,526441,3816895,0,0,-3.5527136788005e-15,3816895,21286687,-276718,-308145,20284286,-4728032,15556254,19373149,716637,13203,137738,-1614605,-747027,-5077,-78539,-825566,-825566,19210,-806356,941473,0,0.3186,0.17254,0.11472,0.03967,0.03186,4.82554,0.24536,0,0.30537,0.30381,2.66191,10.03623,0.03967,-8.53996
"30","2018_Q3",5.69761904761905,"Down",5220481,-3375878,1844603,-2162275,-2162275,-317672,137799,-179873,-179873,571121,391248,391248,-93545,297703,297703,7219848,7219848,4248363,4248363,2937155,230721,2706434,17879083,217335,2126881,119059,2344216,20223299,3565693,506989,2618485,360744,360744,3926437,0,0,0,3926437,21567395,20985,-134637,21036205,-4739343,16296862,20223299,726268.726338228,46940.4996968679,2433582.03759622,-2227606.58224398,979184.681387336,-563356.014675464,7219848,7219848,7219848,95977.010326693,7219848,1464338.5266212,-5.55111512312578e-17,0.35334,-0.06085,0.05703,0.01827,0.01472,4.55351,0.24093,0,0.14358,0.14291,2.51772,10.14527,0.01827,22.72737
