"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",8.936875,"Down",541848000,-396922000,144926000,-65211000,-27558000,-37653000,79715000,-1825000,-1750000,-75000,77890000,-31153000,46737000,-12340000,34397000,34397000,34397000,34397000,109191000,109191000,275749000,275749000,1850000,5938000,4417000,1521000,392728000,1050039000,13276000,3851000,1063315000,1456043000,280949000,249087000,31293000,284160000,97783000,96906000,877000,227783000,511943000,824200000,119900000,944100000,944100000,1456043000,34397000,37653000,43552000,41176000,156778000,-63235000,5227000,5227000,-68462000,-68462000,-63235000,-20720000,-20631000,72912000,72912000,72912000,117368000,132917000,107649000,0.26747,0.14712,0.06348,0.03643,0.02362,3.1296,1.38207,0.54226,0.09129,0.34188,0.33201,5.38557,9.38367,1.06995,0.02928,0.09163,0.20215,0.29764
"12","2020_Q1",8.03354838709677,"Down",434793000,-305693000,129100000,-70156000,-31104000,-39052000,58944000,-1641000,-1463000,-178000,57303000,-28638000,28665000,-5990000,22675000,22675000,22675000,22675000,149036000,149036000,212183000,212183000,2436000,11936000,10815000,1121000,375591000,1047535000,12985000,3560000,1060520000,1436111000,229833000,193096000,36343000,232966000,103840000,103041000,799000,233840000,466806000,826730000,142575000,969305000,969305000,1436111000,22675000,39052000,37915000,48019000,147661000,-107730000,820999.999999999,820999.999999999,-108551000,-108551000,-107730000,-86000,-86000,39845000,39845000,39845000,97996000,132831000,44275000,0.29692,0.13557,0.05215,0.02339,0.01579,1.95259,1.61221,0.48159,0.09249,0.22536,0.22007,4.32118,9.63342,0.44003,0.0188,0.03671,-0.16536,-0.27492
"13","2020_Q2",4.60888888888889,"Down",395069000,-300848000,94221000,-65142000,-24937000,-40205000,29079000,-1284000,-1281000,-3000,27795000,-36508000,-8713000,909000,-7804000,-7804000,-7804000,-7804000,143717000,143717000,222378000,222378000,3296000,8571000,7934000,637000,377962000,1018660000,3268000,3268000,1021928000,1399890000,225616000,198437000,26916000,225925000,102449000,101729000,720000,212449000,438374000,826745000,134771000,961516000,961516000,1399890000,-7804000,40205000,40093000,-10770000,61724000,-46557000,733000,733000,-47290000,-47290000,-46557000,-20030000,-20486000,-5319000,-5319000,-5319000,69284000,1.1e+08,11048000,0.23849,0.0736,-0.01975,-0.00812,-0.00557,-1.41568,1.67295,0.45592,0.07858,-0.07751,-0.07751,3.92373,9.54955,0.10973,-0.00665,0.00941,-0.48665,-1.1595
"14","2020_Q3",5.4378125,"Up",106109000,-68192999.9999999,37916000,-60504000,-20332000,-40172000,-22588000,-1059000,-791000,-268000,-23647000,-8734000,-32381000,6461000,-25920000,-25920000,-25920000,-25920000,37306000,37306000,65554000,65554000,2805000,6164000,5061000,1103000,111829000,978749000,3024000,3024000,981773000,1093602000,58952000,31233000,27719000,59269000,95904000,95268000,636000,95904000,155173000,829578000,108851000,938429000,938429000,1093602000,-25920000,40172000,1527000,19407000,35186000,-31468000,1944000,1944000,-33412000,-33412000,-31468000,-1.1e+08,-110129000,-106411000,-106411000,-106411000,17584000,0,-938000,0.35733,-0.21288,-0.24428,-0.02762,-0.0237,0.0361899999999995,1.8868,0.16535,0,-0.25709,-0.25709,1.05245,9.30787,-0.00929999999999999,-0.02506,-0.000909999999999999,-2.12159,1.65158
"15","2020_Q4",5.56203125,"Up",133710000,-99592000,34118000,-59284000,-21817000,-37467000,-25166000,-448000,-136000,-312000,-25614000,-11287000,-36901000,7717000,-29184000,-29184000,-29184000,-29184000,54255000,54255000,94663000,94663000,1849000,6306000,6189000,117000,157073000,936283000,2781000,2781000,939064000,1096137000,95941000,71577000,24364000,96267000,88103000,87551000,552000,88103000,184370000,832100000,79667000,911767000,911767000,1096137000,-29184000,37467000,6242000,6591000,21116000,-4154000,1653000,1653000,-5807000,-5807000,-4154000,0,-13000,16949000,16949000,16949000,12301000,0,7021000,0.25516,-0.18821,-0.21826,-0.03201,-0.02662,-0.24058,1.63164,0.20221,0,-0.28924,-0.28924,1.3252,9.03652,0.06959,-0.02919,0.00702,-4.41062,2.15588
"16","2021_Q1",9.92114754098361,"Up",154344000,-115646000,38698000,-55128000,-19682000,-35446000,-16430000,-466000,-175000,-291000,-16896000,-39609000,-56505000,12393000,-44112000,-44112000,-44112000,-44112000,68772000,68772000,84244000,84244000,2729000,11981000,11199000,782000,167726000,880477000,2536000,2536000,883013000,1050739000,103829000,79153000,24676000,104163000,75805000,75340000,465000,75805000,179968000,835216000,35555000,870771000,870771000,1050739000,-44112000,35446000,30666000,-901999.999999998,21098000,-12038000,2056000,2056000,-14094000,-14094000,-12038000,5472999.99999999,5456999.99999999,14517000,14517000,14517000,19016000,0,-6317000,0.25073,-0.10645,-0.2858,-0.05066,-0.04198,0.1432,1.61023,0.20668,0,-0.43714,-0.43714,1.52952,8.62918,-0.0626,-0.0466,-0.00667,-3.61653,4.18576
"17","2021_Q2",10.3646031746032,"Up",161458000,-123378000,38080000,-53679000,-20201000,-33478000,-15599000,1613000,-176000,1789000,-13986000,-13052000,-27038000,6663000,-20375000,-20375000,-20375000,-20375000,55859000,55859000,110386000,110386000,2329000,7867000,7853000,14000,176441000,866050000,2292000,2292000,868342000,1044783000,128117000,108931000,19186000,128459000,69055000,68677000,378000,69055000,197514000,832089000,15180000,847269000,847269000,1044783000,-20375000,33478000,9010000,-5105000,17008000,-22270000,224000,224000,-22494000,-22494000,-22270000,-2037000,-7651000,-12913000,-12913000,-12913000,17879000,0,-16159000,0.23585,-0.09661,-0.12619,-0.02405,-0.0195,0.79308,1.37352,0.23312,0,-0.20064,-0.20064,1.58994,8.34337,-0.15912,-0.02224,-0.01763,-3.12428,3.58093
"18","2021_Q3",7.81484375,"Down",216887000,-162837000,54050000,-50773000,-17530000,-33243000,3277000,-461000,-159000,-302000,2816000,-15024000,-12208000,3697000,-8511000,-8511000,-8511000,-8511000,72701000,72701000,138309000,138309000,2641000,3483000,3469000,14000,217134000,847512000,2140000,2140000,849652000,1066786000,156426000,136364000,20062000,156777000,65266000,64980000,286000,65266000,222043000,838074000,6669000,844743000,844743000,1066786000,-8511000,33243000,14511000,5229000,44472000,-28650000,1043000,1043000,-29693000,-29693000,-28650000,-2056000,1020000,16842000,16842000,16842000,36520000,-2.3283064365387e-10,9402000,0.24921,0.01511,-0.03924,-0.01008,-0.00798,-1.10469,1.38499,0.26285,0,-0.08381,-0.08381,2.13577,8.31849,0.09258,-0.00935,0.01033,-1.99072,-22.18523
"19","2021_Q4",9.0996875,"Up",250099000,-188690000,61409000,-54879000,-21348000,-33531000,6530000,-452000,-143000,-309000,6078000,-12424000,-6346000,1279000,-5067000,-5067000,-5067000,-5067000,84601000,84601000,149650000,149650000,3477000,5211000,5197000,14000,242939000,853928000,1883000,1883000,855811000,1098750000,191682000,167085000,24597000,192042000,63893000,63701000,192000,63893000,255935000,841213000,1602000,842815000,842815000,1098750000,-5067000,33532000,14432000,4882000,47779000,-34629000,1067913.17952078,1067913.17952078,-39098233.6408304,-39098233.6408304,-34629000,-1380000,-1250000,11900000,11900000,11900000,40062000,0,9036000,0.24554,0.02611,-0.02026,-0.00601,-0.00461,-1.7833,1.26503,0.30367,0,-0.04907,-0.04907,2.4221,8.1623,0.08751,-0.00559,0.00997,-2.11175,-12.95574
"20","2022_Q1",11.9466129032258,"Up",246070000,-187361000,58709000,-56967000,-23842000,-33125000,1742000,-441000,-136000,-305000,1301000,-24146000,-22845000,2613000,-20232000,-20232000,-20232000,-20232000,111918000,111918000,128148000,128148000,3949000,7049000,6752000,297000,251064000,808494000,1678000,1678000,810172000,1061236000,173416000,152649000,20767000,173785000,61149000,61052000,97000,61149000,234934000,844932000,-18630000,826302000,826302000,1061236000,-20232000,33124000,24748000,7815000,45455000,-18743000,260599.296058676,260599.296058676,-50631712.316892,-50631712.316892,-18743000,0,605000,27317000,27317000,27317000,34866000,1.45519152283669e-11,21325000,0.23859,0.00708,-0.08222,-0.02448,-0.01906,-1.05402,1.44468,0.28432,1.35525271560688e-20,-0.19594,-0.19594,2.38308,8.00238,0.20652,-0.0228,0.02403,-3.20995,-64.24684
"21","2022_Q2",13.1485483870968,"Up",282680000,-197271000,85409000,-63561000,-31707000,-31854000,21848000,10223000,-134000,10357000,32071000,-16117000,15954000,-4137000,11817000,11817000,11817000,11817000,70768000,70768000,172180000,172180000,2297000,5583000,5092000,491000,250828000,831625000,1998000,1998000,833623000,1084451000,171406000,151668000,19738000,172091000,65148000,64878000,270000,65148000,237239000,854025000,-6813000,847212000,847212000,1084451000,11817000,31854000,31441000,-49942000,25170000,-64048000,275000,275000,-64323000,-64323000,-64048000,1980686.90585079,-2272000,-41150000,-41150000,-41150000,53702000,0,-56151000,0.30214,0.07729,0.0418,0.01395,0.0109,-4.75171,1.45753,0.28002,0,0.1143,0.1143,2.73411,8.19433,-0.5431,0.01295,-0.06154,-1.31779,-3.23911
"22","2022_Q3",8.9396875,"Down",315083000,-218812000,96271000,-56598000,-25135000,-31463000,39673000,-662000,-669000,6999.99999999627,39011000,-79940000,-40929000,8069000,-32860000,-32860000,-32860000,-32860000,69789000,69789000,182026000,182026000,3491000,3695000,3493000,202000,259001000,806513000,2109000,2109000,808622000,1067623000,193070000,170145000,22925000,193658000,56929000,56732000,197000,56929000,250587000,856709000,-39673000,817036000,817036000,1067623000,-32860000,31463000,75772000,3763000,78138000,-77520000,2676000,2676000,-80196000,-80196000,-77520000,4571060.71755237,-1597000,-979000,-979000,-979000,71136000,0,-10690000,0.30554,0.12591,-0.10429,-0.04022,-0.03078,0.32532,1.33741,0.3067,0,-0.31525,-0.31525,3.02278,7.83833,-0.10256,-0.0376,-0.01223,-0.98106,-1.75910999999998
