"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.21983870967742,"Down",28190000,-12840000,15350000,-17093000,-9519000,-6260000,-1314000,-1743000,-204000,13000,-217000,-1947000,31000,-1916000,813000,-1103000,516000,516000,516000,79838000,79838000,51923000,51923000,18192000,4401000,2863000,154354000,15231000,34186000,15922000,14259000,4005000,49417000,203771000,55726000,42298000,13428000,342000,23717000,79785000,10337000,5186000,5151000,10765000,90550000,-5437000,-2840000,122248000,-750000,113221000,113221000,203771000,-1103000,516000,508000,845000,4384000,-793000,-691000,-1689000,-38000,-14000,-52000,2643000,2535000,-24000,2511000,-1235000,770000,0.54452,-0.06183,0.0183,0.00456,0.00253,1.93462,0.79976,0.00378,0.02356,0.02356,1.28727,5.17014,0.00415,64.02267,45.36317
"12","2013_Q1",9.1385,"Up",19197000,-5845000,13352000,-16052000,-7157000,-5927000,-1304000,-2700000,399000,-30000,429000,-2301000,117000,-2184000,1143000,-1041000,330000,330000,330000,82444000,82444000,15591000,15591000,809000,47452000,3699000,146296000,13791000,37411000,16862000,14128000,4179000,51202000,197498000,22698000,9860000,12838000,58000,51418000,74174000,9440000,3727000,4621000,9468000,83642000,-4785000,-2838000,122578000,-1099000,113856000,113856000,197498000,-1041000,330000,498000,2327000,6683000,-1002000,-2162000,-3264000,-32000,-130000,-162000,3257000,3168000,-75000,3093000,-2202000,86000,0.69553,-0.14065,0.01719,0.0029,0.00167,1.97234,0.73463,0.00044,0.01507,0.01507,0.87654,5.19867,0.00267,37.40145,30.50296
"13","2013_Q2",11.6353125,"Up",23700000,-8063000,15637000,-15103000,-7596000,-6232000,-1275000,534000,-20000,-48000,28000,514000,-55000,459000,330000,789000,1316000,1316000,1316000,70611000,70611000,18757000,18757000,1462000,32320000,3228000,123150000,14394000,43998000,20118000,17507000,4217000,58392000,181542000,20422000,9804000,10618000,73000,35773000,56268000,10200000,3900000,5531000,10215000,66483000,-5027000,-2760000,123894000,-1048000,115059000,115059000,181542000,789000,1316000,481000,713000,-6464000,-1377000,-1857000,-5131000,-23000,-571000,-594000,-12189000,-12269000,-51000,-12320000,1015000,88000,0.65979,0.02253,0.05553,0.01144,0.00724999999999999,2.18863,0.57782,0.00048,0.05976,0.05903,1.0762,5.22473,0.0105,-69.48079,-132.06554
"14","2013_Q3",11.69640625,"Up",24846000,-8258000,16588000,-17154000,-9133000,-6714000,-1307000,-566000,-64000.0000000001,-25000,-39000.0000000001,-630000,-580000,-1210000,-1e+05,-1310000,20452000,20452000,20452000,100432000,100432000,19619000,19619000,1666000,3274000,3120000,124991000,14190000,45298000,22679000,17701000,4918000,59488000,184479000,21858000,9389000,12469000,52000,16066000,37976000,10520000,3907000,6613000,10565000,48541000,-4740000,-2753000,144346000,-915000,135938000,135938000,184479000,-1310000,20452000,513000,1258000,-2214000,-1048000,-3e+06,31999000,-15000,-67000,-18000,29767000,29767000,54000,29821000,-53000,97000,0.66763,-0.02278,0.82315,0.15045,0.11086,3.29132,0.35708,0.00053,0.92426,0.92438,1.12283,6.14326,0.13955,1893.11321,177.27032
"15","2013_Q4",12.27375,"Up",24965000,-9810000,15155000,-17608000,-8894000,-5772000,-2942000,-2453000,203000,-25000,228000,-2250000,-515000,-2765000,1054000,-1711000,-2662000,-2662000,-2662000,96357000,96357000,24459000,24459000,2408000,4752000,3103000,127976000,13850000,45933000,24560000,17747000,3626000,59783000,187759000,23521000,11341000,12180000,43000,19958000,43522000,10108000,3904000,6204000,10146000,53668000,-3970000,-2756000,141684000,-867000,134091000,134091000,187759000,-1711000,-2662000,577000,2988000,157000,-783000,-3463000,-4331000,-15000,118000,103000,-4071000,-4071000,-4000,-4075000,-1876000,81000,0.60705,-0.09826,-0.10663,-0.01985,-0.01418,2.94049,0.40024,0.00043,-0.12018,-0.12018,1.12709,6.05377,-0.01845,51.3198299999995,39.24827
"16","2014_Q1",14.0618032786885,"Up",27750000,-11090000,16660000,-18644000,-9186000,-6494000,-2964000,-1984000,683000,37000,646000,-1301000,-569000,-1870000,1207000,-663000,-2009000,-2009000,-2009000,99566000,99566000,23615000,23615000,481000,6192000,3300000,129854000,12251000,48790000,27847000,17158000,3785000,61041000,190895000,25305000,11073000,14232000,43000,22795000,48143000,9587000,3422000,6165000,9879000,58022000,-3927000,-2741000,139675000,-134000,132873000,132873000,190895000,-663000,-2009000,503000,2939000,8594000,-815000,-3967000,-4968000,-124000,-355000,-374000,3252000,3252000.00000001,-43000,3209000,-1481000,335000,0.60036,-0.0715,-0.0724,-0.01512,-0.01052,2.69726,0.43667,0.00175,-0.09033,-0.0914299999999998,1.24775,5.97451,-0.01407,67.0027,50.01562
"17","2014_Q2",13.3125396825397,"Down",23746000,-9072000,14674000,-17413000,-9002000,-5865000,-2397000,-2739000,85000,40000,45000,-2654000,-370000,-3024000,795000,-2229000,-2229000,-2229000,-2229000,87998000,77862000,22302000,22302000,905000,3651000,2934000,114856000,11818000,52016000,31093000,17158000,3765000,63834000,178690000,16863000,9636000,7227000,141000,21995000,38999000,8522000,3406000,5116000,8702000,47701000,-3620000,-2697000,137446000,-140000,130989000,130989000,178690000,-2229000,-2229000,614000,594000,-8187000,-1231000,-1968000,-13157000,-13000,-373000,-386000,-21730000,-21730000,26000,-21704000,-2125000,321000,0.61796,-0.11535,-0.09387,-0.01702,-0.01247,2.9451,0.36416,0.0018,-0.09985,-0.09985,1.0637,5.86763,-0.01594,41.25976,32.01059
"18","2014_Q3",12.8134375,"Down",26318000,-9649000,16669000,-17275000,-9904000,-6191000,-1126000,-606000,7999.99999999994,7000,1000,-598000,-448000,-1046000,-81000,-1127000,-1127000,-1127000,-1127000,77245000,67168000,23519000,23519000,720000,3486000,2901000,104970000,13670000,57956000,34483000,19622000,3851000,71626000,176596000,19699000,10144000,9555000,141000,17295000,37135000,8634000,3444000,5190000,8804000,45939000,-2881000,-2638000,136319000,-143000,130657000,130657000,176596000,-1127000,-1127000,532000,1944000,-1317000,-2519000,-5887000,-9473000,-10000,0,92000.0000000001,-10698000,-10698000,4000,-10694000,-74000.0000000002,311000,0.63337,-0.02303,-0.04282,-0.00863,-0.00638,2.82671,0.3516,0.00176,-0.05045,-0.05045,1.17807,5.84857,-0.00807,1039.64865,126.9538
"19","2014_Q4",11.6353125,"Down",24742000,-10614000,14128000,-16713000,-8870000,-6670000,-1173000,-2585000,-98000,16000,-114000,-2683000,-95000,-2778000,63000,-2715000,-2715000,-2715000,-2715000,74124000,69109000,21248000,21248000,643000,3071000,2969000,99086000,13743000,61788000,38210000,19622000,3956000,75531000,174617000,19022000,10333000,8689000,141000,18226000,37389000,8358000,3306000,5052000,8519000,45908000,-2108000,-2636000,133603000,-150000,128709000,128709000,174617000,-2715000,-2715000,556000,1343000,2035000,-106000,-2760000,85000,-9000,14000,5000,2125000,2125000,-184000,1941000,-2029000,302000,0.57101,-0.10448,-0.10973,-0.02109,-0.01555,2.65014,0.35668,0.00173,-0.12151,-0.12151,1.10737,5.7606,-0.01976,36.3834400000001,28.55783
"20","2015_Q1",10.3896721311475,"Down",28708000,-14098000,14610000,-17829000,-10249000,-6590000,-990000,-3219000,-79000,-999.999999999996,-78000,-3298000,-2405000,-5703000,277000,-5426000,-5426000,-5426000,-5426000,75067000,75067000,25481000,25481000,641000,3828000,3828000,105017000,11929000,64579000,40824000,19622000,4133000,76508000,181525000,26587000,16586000,10001000,142000,23881000,50610000,6680000,3053000,3627000,6727000,57337000,-1193000,-2646000,128178000,-151000,124188000,124188000,181525000,-5426000,-5426000,523000,4030000,5283000,-794000,-3293000,913000,-112000,-2.91038304567337e-11,-112000,6084000,6084000,-126000,5958000,-2696000,189000,0.50892,-0.11213,-0.18901,-0.04369,-0.02989,2.07502,0.4617,0.00104,-0.24283,-0.24283,1.28476,5.55775,-0.0414,27.77374,23.26126
"21","2015_Q2",9.60095238095238,"Down",27491000,-11092000,16399000,-16722000,-9638000,-6268000,-816000,-323000,68000,36000,32000,-255000,46000,-209000,24000,-185000,-185000,-185000,-185000,66034000,66034000,19242000,19242000,523000,3669000,3661000,89468000,12267000,68905000,45102000,19622000,4181000,81172000,170640000,16896000,9053000,7843000,141000,22501000,39538000,6670000,3093000,3577000,6709000,46247000,-834000,-2605000,127993000,-161000,124393000,124393000,170640000,-185000,-185000,518000,689000,-1865000,-1212000,-5593000,-6805000,-10000,-412000,-422000,-9092000,-9092000,59000,-9033000,195000,180000,0.59652,-0.01175,-0.00673,-0.00149,-0.00108,2.26284,0.37178,0.00105,-0.00833,-0.00833,1.23722,5.59824,-0.00141,-337.71282,203.88235
"22","2015_Q3",9.77578125,"Up",29644000,-12054000,17590000,-18160000,-10517000,-6784000,-859000,-570000,-10000,-1000,-8999.99999999999,-580000,191000,-389000,20000,-369000,-369000,-369000,-369000,62101000,62101000,17034000,17034000,1219000,3706000,3706000,84060000,13777000,71398000,47394000,19622000,4382000,85175000,169235000,18549000,8514000,10035000,139000,18109000,36797000,7419000,3129000,4290000,7450000,44247000,133000,-2599000,127624000,-170000,124988000,124988000,169235000,-369000,-369000,541000,1296000,1641000,-1068000,-4359000,-5427000,-10000,-23000,-32999.9999999999,-3819000,-3819000,-114000,-3933000,-29000,170000,0.59337,-0.01923,-0.01245,-0.00295,-0.00218,2.28443,0.35401,0.001,-0.01642,-0.01642,1.31892,5.56095,-0.00278,2135.55172,108.65088
"23","2015_Q4",11.04140625,"Up",31307000,-14798000,16509000,-18181000,-10138000,-6969000,-889000,-1672000,-48000,15000,-63000,-1720000,-9000,-1729000,56000,-1673000,-1673000,-1673000,-1673000,65652000,65652000,20907000,20907000,2331000,6587000,6587000,95477000,13857000,74543000,50251000,19622000,4670000,88400000,183877000,22509000,11402000,11107000,136000,29371000,52016000,7612000,3049000,4563000,7637000,59653000,1049000,-2598000,125951000,-178000,124224000,124224000,183877000,-1673000,-1673000,568000,1651000,8538000,-1337000,-3601000,-4938000,-9000,0,-9000,3591000,3591000,-40000,3551000,-1104000,161000,0.52733,-0.05341,-0.05344,-0.01347,-0.0091,1.83553,0.48021,0.00088,-0.07438,-0.07438,1.39186,5.52278,-0.01267,59.3215599999999,39.16926
"24","2016_Q1",10.1249180327869,"Down",31924000,-14316000,17608000,-18893000,-11265000,-6667000,-878000,-1285000,544000,13000,531000,-741000,-691000,-1432000,-106000,-1538000,-1538000,-1538000,-1538000,60608000,60608000,22017000,22017000,2692000,10184000,10184000,95501000,15252000,74404000,51736000,19622000,3046000,89656000,185157000,20741000,7761000,12980000,118000,33241000,54100000,7369000,3075000,4294000,7584000,61684000,1837000,-2600000,124413000,-177000,123473000,123473000,185157000,-1538000,-1538000,572000,1906000,-1096000,-2283000,-1560000,-3843000,-113000,0,-113000,-5052000,-5052000,8000,-5044000,-713000,333000,0.55156,-0.04025,-0.04818,-0.01246,-0.00831,1.76527,0.49957,0.0018,-0.06763,-0.06763,1.40368,5.42906,-0.01172,84.53717,46.90661
"25","2016_Q2",10.79359375,"Up",30953000,-14762000,16191000,-18296000,-10507000,-6855000,-934000,-2105000,-61000,29000,-90000,-2166000,-89000,-2255000,-42000,-2297000,-2297000,-2297000,-2297000,55312000,55312000,17312000,17312000,2280000,8930000,8930000,83834000,13976000,77316000,54818000,19622000,2876000,91292000,175126000,17191000,7501000,9690000,122000,28781000,46094000,7369000,3139000,4230000,7563000,53657000,2139000,-2601000,122116000,-185000,121469000,121469000,175126000,-2297000,-2297000,598000,1521000,-1016000,-818000,-2871000,-3689000,-24000,-543000,-567000,-5272000,-5272000,-21000,-5293000,-1507000,316000,0.52308,-0.06801,-0.07421,-0.01891,-0.01312,1.81876,0.44173,0.0018,-0.10164,-0.10164,1.36966,5.37497,-0.01778,36.4937,26.12637
"26","2016_Q3",10.8728125,"Up",32676000,-16797000,15879000,-18221000,-10255000,-6944000,-937000,-2342000,23999.9999999999,12000,12000,-2318000,0,-2318000,-82000,-2400000,-2400000,-2400000,-2400000,51629000,51629000,16139000,16139000,2317000,8992000,8992000,79077000,14001000,78287000,56022000,19622000,2643000,92288000,171365000,18795000,9250000,9545000,120000,25412000,44327000,7366000,3184000,4182000,7531000,51858000,2512000,-2537000,119716000,-184000,119507000,119507000,171365000,-2400000,-2400000,595000,3196000,832000,-1454000,-2954000,-4408000,-32000,-57999.9999999999,-90000,-3666000,-3666000,-20000,-3686000,-1747000,285000,0.48595,-0.07167,-0.07345,-0.02008,-0.01401,1.78395,0.43393,0.00166,-0.10617,-0.10617,1.44546,5.28652,-0.01887,29.38981,21.92314
"27","2016_Q4",10.3150793650794,"Down",33447000,-17207000,16240000,-16475000,-8676000,-6848000,-951000,-235000,21000,83000,-62000,-214000,-1395000,-1609000,-128000,-1737000,-1737000,-1737000,-1737000,52713000,52713000,15308000,15308000,2084000,8593000,8593000,78698000,13829000,79178000,57079000,19622000,2477000,93007000,171705000,19245000,8623000,10622000,119000,27243000,46607000,7256000,3180000,4076000,7392000,53999000,2437000,-2521000,117979000,-189000,117706000,117706000,171705000,-1737000,-1737000,598000,3838000,5577000,-1055000,-3350000,-4405000,-30000,0,-30000,1142000,1142000,-58000,1084000,363000,255000,0.48554,-0.00703,-0.05193,-0.01476,-0.01012,1.68854,0.45876,0.00149,-0.07682,-0.07682,1.47924,5.2057,-0.01387,-144.5124,223.22553
"28","2017_Q1",9.59548387096774,"Down",30602000,-15127000,15475000,-20640000,-11260000,-8401000,-979000,-5165000,-61000,23000,-84000,-5226000,-77000,-5303000,16000,-5287000,-5287000,-5287000,-5287000,49255000,49255000,15598000,15598000,2211000,6456000,6456000,73520000,1.6e+07,77785000,55529000,19622000,2634000,93785000,167305000,17033000,8702000,8331000,121000,29183000,46337000,7183000,3181000,4002000,7299000,53636000,3700000,-2519000,112692000,-204000,113669000,113669000,167305000,-5287000,-5287000,618000,3146000,-1960000,-831000,-532000,-1363000,-31000,-129000,-160000,-3483000,-3483000,25000,-3458000,-4547000,237000,0.50569,-0.16878,-0.17277,-0.04651,-0.0316,1.58664,0.47186,0.00142,-0.23348,-0.23348,1.35144,5.01983,-0.04366,10.78029,9.49042
"29","2017_Q2",9.69428571428571,"Up",33865000,-17195000,16670000,-19652000,-11930000,-6626000,-1096000,-2982000,139000,26000,113000,-2843000,-37000,-2880000,-78000,-2958000,-2958000,-2958000,-2958000,43408000,43408000,18730000,18730000,1915000,5240000,5240000,69293000,16862000,78090000,55961000,19622000,2507000,94952000,164245000,17971000,8993000,8978000,116000,26944000,45031000,7209000,3287000,3922000,7299000,52330000,5554000,-2472000,108993000,-160000,111915000,111915000,164245000,-2958000,-2958000,611000,4099000,-484000,-2125000,-2992000,-5117000,-31000,-265000,-296000,-5897000,-5897000,50000,-5847000,-2371000,206000,0.49225,-0.08806,-0.08735,-0.02643,-0.01801,1.53878,0.46759,0.00125,-0.13019,-0.13019,1.49054,4.92584,-0.02479,18.221,14.48759
"30","2017_Q3",10.4966666666667,"Up",30129000,-14755000,15374000,-17746000,-9768000,-6812000,-1166000,-2372000,55000,21000,34000,-2317000,-826000,-3143000,-105000,-3248000,-3248000,-3248000,-3248000,38532000,38532000,14742000,14742000,2299000,5428000,5428000,61001000,16858000,77838000,55692000,19622000,2524000,94696000,155697000,16630000,8860000,7770000,116000,22172000,38918000,7274000,3349000,3925000,7351000,46269000,6353000,-2488000,105745000,-182000,109428000,109428000,155697000,-3248000,-3248000,701000,3996000,-1164000,-981000,-2487000,-3468000,-30000,-254000,-284000,-4916000,-4916000,40000,-4876000,-1671000,193000,0.51027,-0.07873,-0.1078,-0.02968,-0.02086,1.56742,0.42283,0.00124,-0.14271,-0.14271,1.32377,4.80791,-0.02779,22.94375,16.16315
