"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"11","2012_Q4",12.8738709677419,"Up",338533000,-51270000,287263000,-227765000,-108811000,-115078000,-3876000,59498000,-8868000,-8737000,-131000,50630000,-57000,50573000,8011000,58584000,58584000,58584000,58584000,58584000,23435000,5745000,4166000,91930000,-7663000,-117919000,15692000,15692000,-1845000,13847000,-12142000,-12142000,-417000,-12559000,82933000,441623000,71425000,0.84855,0.17575,0.17305,1.21919,0.21598,0.20684,1.24805,0.26332
"12","2013_Q1",14.0053333333333,"Up",345585000,-43790000,301795000,-245470000,-123316000,-118382000,-3772000,56325000,-3533000,-8902000,5369000,52792000,-64000,52728000,261146000,313874000,313874000,313874000,313874000,313874000,22046000,-211154000,-28890000,95876000,-10034000,-14858000,3932000,3932000.00000001,-6241000,-2309000,78709000,78709000,-1451000,77258000,78371000,447011000,-221699000,0.87329,0.16298,0.90824,-0.70633,1.14978,1.09597,1.26594,-0.81212
"13","2013_Q2",14.07515625,"Up",354266000,-48191000,306075000,-248087000,-120212000,-124084000,-3791000,57988000,-7087000,-9262000,2175000,50901000,148000,51049000,27560000,78609000,78609000,78609000,78609000,78609000,21682000,26773000,-51728000,75336000,-6569000,-1821000,21801000,21801000,-6607000,15194000,88709000,88709000,-4914000,83795000,79670000,452571000,-6187000,0.86397,0.16368,0.22189,-0.07871,0.28592,0.26907,1.28854,-0.0225
"14","2013_Q3",14.3534375,"Up",362481000,-43243000,319238000,-271440000,-129718000,-136395000,-5327000,47798000,-7510000,-9528000,2018000,40288000,-2656000,37632000,-28203000,9429000.00000003,9429000.00000003,9429000.00000003,9429000.00000003,9429000.00000003,25295000,8316000,31855000,74895000,-17170000,-409087000,8426000,8426000,-959000,107467000,-226725000,-226725000,-6194000,-232919000,73093000,458179000,115981000,0.8807,0.13186,0.0260100000000002,12.30046,0.03402,0.0320300000000001,1.30791,0.41848
"15","2013_Q4",13.411875,"Down",366647000,-49736000,316911000,-268895000,-125676000,-138078000,-5141000,48016000,-7048000,-9583000,2535000,40968000,-86000,40882000,-2382000,38500000,38500000,38500000,38500000,38500000,25704000,23223000,10783000,98210000,-12211000,-6147000,10464000,10464000,-5604000,-45218000,46845000,46845000,-3675000,43170000,73720000,463837000,74674000,0.86435,0.13096,0.10501,1.93958,0.138,0.12961,1.31426,0.26767
"16","2014_Q1",14.8311475409836,"Up",243030000,-49953000,193077000,-135094000,-78748000,-55528000,-818000,57983000,-1756000,-6369000,4613000,56227000,2481000,58708000,254702000,313410000,313410000,313410000,313410000,313410000,16536000,-230452000,-31941000,67553000,-16000,215815000,-8004000,-8004000,-3684000,-61610000,221758000,221758000,8951000,230709000,74519000,324826000,-212140000,0.79446,0.23858,1.28959,-0.67688,1.11882,1.06362,0.86758,-0.7573
"17","2014_Q2",15.9892063492063,"Up",354266000,-48191000,306075000,-248087000,-120212000,-124084000,-3791000,57988000,-7087000,-9262000,2175000,50901000,148000,51049000,27560000,78609000,78609000,78609000,78609000,78609000,21682000,26773000,-51728000,75336000,-6569000,-1821000,21801000,21801000,-6607000,15194000,88709000,88709000,-4914000,83795000,79670000,0,-6187000,0.86397,0.16368,0.22189,-0.07871,0.27914,0.26113,1.25798,-0.02197
"18","2014_Q3",17.35515625,"Up",362481000,-43243000,319238000,-271440000,-129718000,-136395000,-5327000,47798000,-7510000,-9528000,2018000,40288000,-2656000,37632000,-28203000,9429000.00000003,9429000.00000003,9429000.00000003,9429000.00000003,9429000.00000003,25295000,8315999.99999997,31855000,74895000,-17170000,-409087000,8426000,8426000,-959000,107467000,-226725000,-226725000,-6194000,-232919000,73093000,2.98023223876953e-08,115981000,0.8807,0.13186,0.02601,12.30046,0.0332799999999999,0.03084,1.2793,0.40933
"19","2014_Q4",17.94765625,"Up",366647000,-49736000,316911000,-268895000,-125676000,-138078000,-5141000,48016000,-7048000,-9583000,2535000,40968000,-86000,40882000,-2382000,38500000,38500000,38500000,38500000,38500000,25704000,23223000,10783000,98210000,-12211000,-6147000,10464000,10464000,-5604000,-45218000,46845000,46845000,-3675000,43170000,73720000,0,74674000,0.86435,0.13096,0.10501,1.93958,0.13534,0.1242,1.28891,0.26251
"20","2015_Q1",18.205737704918,"Up",497538000,-82536000,415002000,-351908000,-137701000,-204449000,-9758000,63094000,-3997000,-5748000,1751000,59097000,-7658000,51439000,-19079000,32360000,32360000,32360000,32360000,32360000,42953000,60634000,-67666000,68281000,-3860000,219040000,-74895000,25222000,-12309000,211522000,498843000,498843000,3012000,501855000,106047000,324826000,53600000,0.83411,0.12681,0.06504,1.65637,0.11395,0.10428,1.75205,0.18875
"21","2015_Q2",19.3839682539683,"Up",411366000,-60585000,350781000,-297137000,-127910000,-162996000,-6231000,53644000,-6973000,-11754000,4781000,46671000,-4359000,42312000,-6053000,36259000,36259000,36259000,36259000,36259000,29433000,29329000,-48333000,46688000,-7520000,-8416000,-12188000,24609000,-7632000,-73682000,-35410000,-35410000,-9015000,-44425000,83077000,329058000,33277000,0.85272,0.1304,0.08814,0.91776,0.12744,0.11627,1.44581,0.11696
"22","2015_Q3",20.37484375,"Up",415883000,-51755000,364128000,-288222000,-124129000,-157974000,-6119000,75906000,-6833000,-8180000,1347000,69073000,498000,69571000,-11411000,58160000,58160000,58160000,58160000,58160000,29530000,29855000,4209000,121754000,-16547000,-19688000,-42721000,13558000,1915000,-336943000,-234877000,-234877000,-5008000,-239885000,105436000,333333000,104509000,0.87555,0.18252,0.13985,1.79692,0.20386,0.18542,1.45772,0.36632
"23","2015_Q4",21.70203125,"Up",433763000,-65211000,368552000,-290348000,-130034000,-154627000,-5687000,78204000,-2338000,-4177000,1839000,75866000,-303000,75563000,2061000,77624000,77624000,77624000,77624000,77624000,29043000,17892000,-37652000,86907000,-10026000,-6423000,-98778000,21281000,-9138000,-107916000,-27432000,-27432000,-4328000,-31760000,107247000,337711000,57508000,0.84966,0.18029,0.17895,0.74085,0.27254,0.24785,1.52295,0.20191
"24","2016_Q1",20.9429508196721,"Down",441079000,-60902000,380177000,-297990000,-130341000,-161970000,-5679000,82187000,-1690000,-4200000,2510000,80497000,-347000,80150000,223999.999999998,80374000,80374000,80374000,80374000,80374000,30159000,10041000,2276999.99999999,122851000,-10715000,-9977000,-104564000,15490000,-3205000,-107769000,5104999.99999999,5104999.99999999,-4510000,594999.999999985,112346000,343288000,103684000,0.86192,0.18633,0.18222,1.29002,0.27022,0.25885,1.48295,0.34859
"25","2016_Q2",23.95390625,"Up",447862000,-62054000,385808000,-313186000,-127500000,-179906000,-5780000,72622000,-594000,-5357000,4763000,72028000,-14586000,57442000,-6880000,50562000,50562000,50562000,50562000,50562000,31231000,24102000,-22704000,83191000,-12116000,-13911000,-215800000,24200000,-15767000,118433000,187713000,187713000,6001000,193714000,103853000,642862000,75913000,0.86144,0.16215,0.1129,1.50138,0.17046,0.16663,1.50991,0.25593
"26","2016_Q3",25.0109375,"Up",453021000,-61783000,391238000,-324406000,-137498000,-182371000,-4537000,66832000,-3054000,-5896000,2842000,63778000,73999.9999999981,63852000,-14517000,49335000,49335000,49335000,49335000,49335000,31528000,34150000,-34647000,80366000,-16171000,7338000,-228004000,12096000,-2345000,-230349000,-142645000,-142645000,1818000,-140827000,98360000,643073000,62059000,0.86362,0.14753,0.1089,1.25791,0.17119,0.16712,1.57195,0.21534
"27","2016_Q4",25.7187301587302,"Up",446220000,-56607000,389613000,-322670000,-127234000,-191547000,-3889000,66943000,-3217000,-6053000,2836000,63726000,-101000,63625000,1087000,64712000,64712000,64712000,64712000,64712000,26967000,28500000,-35719000,84460000,-13683000,13144000,-226099000,13997000,-18042000,-244141000,-146537000,-146537000,1297000,-145240000,93910000,643277000,43421000,0.87314,0.15002,0.14502,0.67099,0.2306,0.22511,1.59011,0.15473
"28","2017_Q1",29.181935483871,"Up",468980000,-76048000,392932000,-313473000,-128068000,-181516000,-3889000,79459000,-883000,-6364000,5481000,78576000,-26342000,52234000,-13757000,38477000,38477000,38477000,38477000,38477000,29862000,17352000,111171000,196862000,-10819000,-5214000,-234946000,5147000,-1693999.99999999,-236640000,-44992000,-44992000,-14109000,-59101000,109321000,643493000,223430000,0.83784,0.16943,0.08204,5.80685,0.14116,0.13795,1.72052,0.81969
"29","2017_Q2",33.2760317460317,"Up",476911000,-61792000,415119000,-337305000,-135163000,-198286000,-3856000,77814000,-5420000,-6479000,1059000,72394000,1788000,74182000,-5923000,68259000,68259000,68259000,68259000,68259000,28894000,29907000,-34630000,92430000,-14843000,-14736000,22715000,22715000,-23263000,-548000,77146000,77146000,1750000,78896000,106708000,643709000,63158000,0.87043,0.16316,0.14313,0.92527,0.25265,0.24577,1.76521,0.23377
"30","2017_Q3",36.8426984126984,"Up",479001000,-60832000,418169000,-336408000,-136671000,-195901000,-3836000,81761000,-5324000,-6248000,924000,76437000,929000.000000004,77366000,-8239000,69127000,69127000,69127000,69127000,69127000,29410000,33531000,30072000,162140000,-12645000,-12563000,7252000,7252000,-3349000,-46097000,103480000,103480000,8390000,111870000,111171000,643927000,136837000,0.873,0.17069,0.14431,1.9795,0.25425,0.2473,1.76176,0.50329
"31","2017_Q4",42.9838095238095,"Up",485398000,-54482000,430916000,-350586000,-140565000,-206568000,-3453000,80330000,6162000,-6225000,12387000,86492000,55000,86547000,-5390000,81157000,81157000,81157000,81157000,81157000,28301000,24462000,-44606000,89314000,-12188000,-3398000,-34561000,15452000,-28311000,-62872000,23044000,23044000,-758000,22286000,108631000,644146000,57227000,0.88776,0.16549,0.1672,0.70514,0.29711,0.2884,1.777,0.2095
"32","2018_Q1",40.7759016393443,"Down",501722000,-60284000,441438000,-347982000,-140943000,-203468000,-3571000,93456000,-4327000,-6712000,2385000,89129000,-12178000,76951000,-91393000,-14442000,-14442000,-14442000,-14442000,-14442000,28919000,117090000,-4711000,126856000,-18225000,-160512000,-46466000,3546000,835999.999999996,39370000,5714000.00000001,5714000.00000001,4089000,9803000,122375000,644369000,190832000,0.87985,0.18627,-0.02878,-13.21368,-0.0528699999999999,-0.05117,1.83665,0.69858
"33","2018_Q2",41.12078125,"Up",517313000,-63209000,454104000,-370262000,-142447000,-224185000,-3630000,83842000,-7664000,-6975000,-689000,76178000,1991000,78169000,-5284000,72885000,72885000,72885000,72885000,72885000,29389000,39056000,16317000,157647000,-13128000,-13128000,-26674000,23339000,-30382000,-97056000,47463000,47463000,11418000,58881000,113231000,644592000,121704000,0.87781,0.16207,0.14089,1.66981,0.26622,0.25878,1.88957,0.44454
"34","2018_Q3",45.515873015873,"Up",518391000,-58960000,459431000,-366822000,-144175000,-219129000,-3518000,92609000,-3031000,-6669000,3638000,89578000,447000,90025000,-14876000,75149000,75149000,75149000,75149000,75149000,29893000,41392000,58832000,205266000,-17977000,-17977000,-47695000,2317000,-3610000,-96305000,90984000,90984000,-18412000,72572000,122502000,644818000,178233000,0.88626,0.17865,0.14497,2.37173,0.2747,0.26765,1.89495,0.65152
"35","2018_Q4",43.4177777777778,"Down",532468000,-60454000,472014000,-368556000,-141855000,-223231000,-3470000,103458000,-4071000,-5177000,1106000,99387000,172000,99559000,-241000,99318000,99318000,99318000,99318000,99318000,29721000,46164000,-65249000,109954000,-10656000,-10656000,-37477000,12534000,-29494000,-366971000,-267673000,-267673000,-7282000,-274955000,133179000,345113000,57515000,0.88646,0.1943,0.18652,0.5791,0.36285,0.35263,1.94533,0.21013
"36","2019_Q1",52.9760655737705,"Up",569850000,-76124000,493726000,-366337000,-144598000,-218271000,-3468000,127389000,-5053000,-4318000,-735000,122336000,-13699000,108637000,-10212000,98425000,98425000,98425000,98425000,98425000,29718000,35600000,-31859000,131884000,-19742000,-132084000,-97305000,2718000,-10302000,-7607000.00000006,-7806999.99999994,-7806999.99999994,-3480000,-11286999.9999999,157107000,345291000,115718000,0.86641,0.22355,0.17272,1.1757,0.3594,0.35089,2.08078,0.42254
"37","2019_Q2",66.8530158730159,"Up",576742000,-70585000,506157000,-378450000,-146932000,-228210000,-3308000,127707000,-150000,-5391000,5241000,127557000,689000,128246000,-7691000,120555000,120555000,120555000,120555000,120555000,29740000,34827000,292000,185414000,-15275000,-45987000,-51256000,29858000,-32822000,-134078000,5349000,5349000,251000,5600000,157447000,345470000,150155000,0.87761,0.22143,0.20903,1.24553,0.44149,0.42961,2.1121,0.54989
"38","2019_Q3",70.32734375,"Up",580419000,-61469000,518950000,-385588000,-150615000,-231814000,-3159000,133362000,-5086000,-4976000,-110000,128276000,313000,128589000,-21354000,107235000,107235000,107235000,107235000,107235000,31457000,46558000,61110000,246360000,-15287000,-15678000,-72009000,2997000,-12876000,-134885000,95797000,95797000,-1280000,94517000,164819000,345652000,231996000,0.8941,0.22977,0.18475,2.16344,0.39245,0.38143,2.12418,0.84904
"39","2019_Q4",67.05703125,"Down",579603000,-60975000,518628000,-397988000,-154572000,-240542000,-2874000,120640000,-4118000,-4240000,122000,116522000,186000,116708000,-15194000,101514000,101514000,101514000,101514000,101514000,30203000,49992000,-43179000,138530000,-16965000,-16965000,-58739000,16272000,-29318000,-88057000,33508000,33508000,-11707000,21801000,150843000,345833000,105893000,0.8948,0.20814,0.17514,1.04314,0.37135,0.36165,2.12028,0.38737
"40","2020_Q1",69.3712903225806,"Up",599555000,-73328000,526227000,-407519000,-169360000,-235372000,-2787000,118708000,-3474000,-4222000,748000,115234000,-9809000,105425000,554250000,659675000,659675000,659675000,659675000,659675000,31389000,-520417000,-11351000,159296000,-27078000,-27078000,-71302000,3715000,-15564000,-86866000,45352000,45352000,4642000,49994000,150097000,346019000,-442582000,0.8777,0.19799,1.10027,-0.67091,2.41388,2.35928,2.19389,-1.61949
"41","2020_Q2",83.7052380952381,"Up",617957000,-74463000,543494000,-405210000,-159336000,-241668000,-4206000,138284000,-9171000,-4637000,-4534000,129113000,1067000,130180000,-6192000,123988000,123988000,123988000,123988000,123988000,33321000,54667000,5743000,217719000,-22179000,-215999000,-66710000,33312000,-37528000,245762000,247482000,247482000,-6407000,241075000,171605000,346205000,161361000,0.8795,0.22378,0.20064,1.30142,0.45338,0.44398,2.25964,0.59004
"42","2020_Q3",105.20796875,"Up",638418000,-75215000,563203000,-411528000,-156117000,-250821000,-4590000,151675000,-1284000,-5914000,4630000,150391000,275000.000000002,150666000,-19378000,131288000,131288000,131288000,131288000,131288000,36581000,42878999.9999999,134376000,345124000,-21356000,-22654000,-64659000,10355000,-16129000,-80788000,241682000,241682000,1219000,242901000,188256000,346394000,320654000,0.88219,0.23758,0.20565,2.44237,0.48003,0.47032,2.33425,1.17241
"43","2020_Q4",117.29765625,"Up",666607000,-82284000,584323000,-415038000,-159666000,-250934000,-4438000,169285000,-3559000,-5325000,1766000,165726000,-13000,165713000,-4083000,161630000,161630000,161630000,161630000,161630000,37117000,29596000,-21786000,206557000,-20210000,-22654000,-47227000,27784000,-31858000,-79085000,104818000,104818000,12560000,117378000,206402000,346584000,168489000,0.87656,0.25395,0.24247,1.04244,0.59006,0.57735,2.43356,0.6151
"44","2021_Q1",134.174918032787,"Up",759909000,-73536000,686373000,-490850000,-195766000,-290309000,-4775000,195523000,1210000,-4873000,6083000,196733000,-10544000,186189000,-12451000,173738000,173738000,173738000,173738000,173738000,38634000,52417000,-129267000,135522000,-31068000,-30851000,-126665000,3352000,-24513000,-501178000,-396507000,-396507000,18375000,-378132000,234157000,346793000,86273000,0.90323,0.2573,0.22863,0.49657,0.63405,0.62005,2.77326,0.31485
"45","2021_Q2",132.501428571429,"Down",736028000,-83967000,652061000,-448401000,-172778000,-270992000,-4631000,203660000,-1516000,-4217000,2701000,202144000,277000,202421000,-15252000,187169000,187169000,187169000,187169000,187169000,36218000,54516000,-69461000,208442000,-16968000,-206230000,-125883000,46384000,-56385000,-182268000,-180056000,-180056000,-5395000,-185451000,239878000,346988000,168701000,0.88592,0.2767,0.2543,0.90133,0.68305,0.66813,2.68603,0.61565
"46","2021_Q3",152.38921875,"Up",728285000,-76759000,651526000,-466557000,-176300000,-285227000,-5030000,184969000,-2173000,-4316000,2143000,182796000,469000,183265000,-27365000,155900000,155900000,155900000,155900000,155900000,35581000,50625000,138270000,380376000,-14171000,-45569000,-214155000,5868000,-22953000,-237108000,97699000,97699000,6480000,104179000,220550000,347186000,372014000,0.8946,0.25398,0.21406,2.38623,0.56893,0.55651,2.65777,1.35761
"47","2021_Q4",174.31875,"Up",750895000,-76587000,674308000,-480496000,-186391000,-289105000,-5e+06,193812000,-5339000,-4196000,-1143000,188473000,222000,188695000,-12388000,176307000,176307000,176307000,176307000,176307000,35163000,17155000,67658000,296283000,-18838000,-18076000,-78631000,31380000,-30132000,-108763000,169444000,169444000,-2785000,166659000,228975000,347385000,290183000,0.89801,0.25811,0.2348,1.6459,0.64535,0.63349,2.74858,1.06219
"48","2022_Q1",153.408064516129,"Down",773036000,-69693000,703343000,-507743000,-213811000,-288953000,-4979000,195600000,-1626000,-4251000,2625000,193974000,79999.9999999999,194054000,-17475000,176579000,176579000,176579000,176579000,176579000,35346000,46207000,-42275000,215857000,-16904000,-23079000,-105856000,4140000,-9796999.99999999,-115653000,77125000,77125000,-2004000,75121000,230946000,347588000,189242000,0.90985,0.25303,0.22842,1.07171,0.64635,0.63447,2.82962,0.6927
"49","2022_Q2",150.987096774194,"Down",901766000,-97843000,803923000,-484982000,-189123000,-290895000,-4964000,318941000,-9008000,-4108000,-4900000,309933000,-12000,309921000,-74586000,235335000,235335000,235335000,235335000,235335000,34825000,36599000,29849000,336608000,-18880000,-19880000,-204343000,45673000,-56343000,-260686000,56042000,56042000,-10230000,45812000,353766000,347792000,439321000,0.8915,0.35368,0.26097,1.86679,0.86182,0.84576,3.30237,1.60885
"50","2022_Q3",171.95921875,"Up",857521000,-92665000,764856000,-481952000,-190722000,-286597000,-4633000,282904000,-10243000,-4281000,-5962000,272661000,-16000,272645000,-85725000,186920000,186920000,186920000,186920000,186920000,32865000,49427000,55329000,324541000,-24072000,-49072000,-345482000,4551000,-7201000,-352683000,-77214000,-77214000,-27994000,-105208000,315769000,347999000,432751000,0.89194,0.32991,0.21798,2.31517,0.68842,0.67928,3.15822,1.59381
