"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",2063.953125,"Down",10141000,-11760000,-1619000,-7293000,-3570000,-3723000,-8912000,-2017000,-2017000,0,-10929000,9991000,-938000,-938000,-938000,-938000,-938000,14010000,14010000,2042000,2042000,4027000,861000,861000,20940000,82510000,4031000,4031000,86541000,107481000,7433000,7433000,2877000,10563000,39045000,348000,348000,39393000,49956000,349744000,-292219000,57525000,57525000,107481000,-938000,1610000,-8704000,646000,-7386000,-716000,-716000,-8102000,-8102000,-8102000,-7302000,39298000,-0.15965,-0.87881,-0.0925,-0.01631,-0.00873,1.98239,0.86842,0.36563,-64.44297,-64.44297,696.71234,3952.11296,4,-0.00965,-3.46316,-2.83752
"12","2015_Q1",1490.64590163934,"Down",9501000,-10873000,-1372000,-7539000,-4833000,-2706000,-8911000,-2027000,-2028000,1000,-10938000,-141000,-11079000,-11079000,-11079000,-11079000,-11079000,6359000,6359000,2361000,2361000,4292000,732000,732000,13744000,81240000,3944000,3944000,85184000,98928000,8588000,8588000,3149000,12025000,39624000,315000,315000,39939000,51964000,350262000,-303298000,46964000,46964000,98928000,-11079000,1666000,2188000,841000,-6384000,-341000,-341000,21504000,21504000,21504000,-7245000,39912000,-0.14441,-0.9379,-1.16609,-0.2359,-0.11199,1.14295,1.10646,0.40344,-672.09956,-672.09956,576.37132,2849.03724,4,-0.12707,-4.63119,-3.76535
"13","2015_Q2",1335.54603174603,"Down",5899000,-9234000,-3335000,-6201000,-4479000,-1722000,-9536000,-2024000,-2035000,11000,-11560000,4217000,-7343000,-7343000,-7343000,-7343000,-7343000,4353000,4353000,2148000,2148000,4499000,553000,553000,11553000,79597000,3867000,3867000,83464000,95017000,7445000,7445000,5959000,13702000,35567000,305000,305000,35872000,49574000,356084000,-310641000,45443000,45443000,95017000,-7343000,1662000,-2945000,-863000,-9489000,-126000,-126000,-9615000,-9615000,-9615000,-7874000,35865000,-0.56535,-1.61655,-1.24479,-0.16159,-0.07728,0.84316,1.09091,0.37746,-353.3517,-353.3517,283.86514,2186.75766,3,-0.08997,-4.00203,-3.30453
"14","2015_Q3",933.03125,"Down",8924000,-9898000,-974000,-5557000,-3792000,-1765000,-6531000,-2027000,-2029000,2000,-8558000,-5812000,-14370000,-14370000,-14370000,-14370000,-14370000,22528000,22528000,2319000,2319000,2902000,571000,571000,28320000,77899000,3828000,3828000,81727000,110047000,6614000,6614000,8114000,15037000,36672000,150000,150000,36822000,51859000,383199000,-325011000,58188000,58188000,110047000,-14370000,1619000,7005000,350000,-5396000,95000,95000,25784000,25784000,25784000,-4912000,36981000,-0.10914,-0.73185,-1.61026,-0.24696,-0.13058,1.88335,0.89123,0.33605,-440.95364,-440.95364,273.83927,1785.54003,5,-0.15076,-2.94239,-2.21298
"15","2015_Q4",597.968125,"Down",8017000,-10629000,-2612000,-6662000,-5135000,-1527000,-9274000,-2121000,-2122000,999.999999999998,-11395000,4876000,-6519000,-6519000,-6519000,-6519000,-6519000,16203000,16203000,1134000,1134000,2703000,618000,618000,20658000,76505000,3790000,3790000,80295000,100953000,6811000,6811000,3395000,10526000,37362000,147000,147000,37509000,48035000,384448000,-331530000,52918000,52918000,100953000,-6519000,1616000,-2648000,1424000,-6127000,-96000,-96000,-6325000,-6325000,-6325000,-7658000,37682000,-0.32581,-1.15679,-0.81315,-0.12319,-0.06457,1.96257,0.90773,0.37326,-155.63348,-155.63348,191.39647,1263.35517,1,-0.07184,-2.80478,-2.31604
"16","2016_Q1",164.36393442623,"Down",7297000,-9001000,-1704000,-4882000,-3286000,-1596000,-6586000,-2051000,-2057000,6000,-8637000,675000,-7962000,-7962000,-7962000,-7962000,-7962000,17031000,17031000,1391000,1391000,3487000,731000,731000,22640000,76777000,3414000,3414000,80191000,102831000,7476000,7476000,10493000,18299000,36059000,147000,147000,36206000,54505000,387818000,-339492000,48326000,48326000,102831000,-7962000,1676000,1044000,-1906000,-7148000,-1193000,-1193000,828000,828000,828000,-4910000,36389000,-0.23352,-0.90256,-1.09113,-0.16476,-0.07743,1.23723,1.12786,0.35387,-250.75499,-250.75499,229.8115,1521.97759,4,-0.09382,-3.94257,-2.93927
"17","2016_Q2",150.99375,"Down",6320000,-9223000,-2903000,-2963000,-1919000,-1044000,-5866000,-2151000,-2151000,158101.05306676,-8017000,4412000,-3605000,-3605000,-3605000,-3605000,-3605000,8672000,8672000,869000,869000,2987000,1008000,1008000,13536000,78562000,3414000,3414000,81976000,95512000,6159000,6159000,3566000,32468000,15455000,146000,146000,15601000,48069000,390540000,-343097000,47443000,47443000,95512000,-3605000,1621000,-2997000,-523000,-5504000,-2247000,-2247000,-8359000,-8359000,-8359000,-4245000,38198000,-0.45934,-0.92816,-0.57041,-0.07599,-0.03774,0.4169,1.01319,0.39993,-113.53576,-113.53576,199.04189,1494.16842,4,-0.04202,-6.95548,-5.03341
"18","2016_Q3",217.644375,"Up",8113000,-9989000,-1876000,-3616000,-2147000,-1469000,-5492000,-2039000,-2245000,206000,-7531000,-13954000,-21485000,-21485000,-21485000,-21485000,-21485000,22617000,22617000,1674000,1674000,2885000,884000,884000,28060000,77773000,3414000,3414000,81187000,109247000,4703000,4703000,6150000,34517000,16545000,42197.8768328794,42197.8768328794,16545000,51062000,422768000,-364583000,58185000,58185000,109247000,-21485000,1661000,15211000,-1248000,-5861000,-2600000,-2600000,13945000,13945000,13945000,-3831000,40209000,-0.23123,-0.67694,-2.64822,-0.36925,-0.19666,0.81293,0.87758,0.36806,-37.09236,-37.09236,14.00653,100.45237,2,-0.21836,-4.59201,-3.2032
"19","2016_Q4",135.732698412698,"Down",6944000,-9650000,-2706000,-3428000,-2271000,-1157000,-6134000,-2100000,-2101000,1000,-8234000,-1615000,-9849000,-9849000,-9849000,-9849000,-9849000,31063000,31063000,1079000,1079000,3203000,844000,844000,36189000,76507000,3414000,3414000,79921000,116110000,4360000,4360000,10767000,40321000,8779000,18000,18000,8797000,49118000,441423000,-374431000,66992000,66992000,116110000,-9849000,1756000,3094000,159000,-4840000,-673000,-673000,8446000,8446000,8446000,-4378000,33973000,-0.38969,-0.88335,-1.41835,-0.14702,-0.08482,0.89752,0.73319,0.29259,-17.00362,-17.00362,11.98833,115.65704,2,-0.09753,-0.66469,-0.4744
"20","2017_Q1",42.3158064516129,"Down",5836000,-8155000,-2319000,-4174000,-2628000,-1546000,-6493000,-1332000,-1340000,8000,-7825000,5536000,-2289000,-2289000,-2289000,-2289000,-2289000,27888000,27888000,1122000,1122000,3458000,850000,850000,33318000,75592000,3414000,3414000,79006000,112324000,6193000,6193000,2698000,34660000,8221000,179000,179000,8400000,43060000,445984000,-376720000,69264000,69264000,112324000,-2289000,1709000,-4825000,1094000,-4311000,-418000,-418000,-3175000,-3175000,-3175000,-4784000,33990000,-0.39736,-1.11258,-0.39222,-0.03305,-0.02038,0.96128,0.62168,0.30261,-3.9518,-3.9518,10.07545,119.57949,2,-0.02213,-1.2755,-0.93978
"21","2017_Q2",17.1753968253968,"Down",5616000,-9408000,-3792000,-3390000,-2173000,-1217000,-7182000,-708000,-714000,6000,-7890000,1956000,-5934000,-5934000,-5934000,-5934000,-5934000,20393000,20393000,1204000,1204000,4178000,860000,860000,26635000,74538000,3414000,3414000,77952000,104587000,4998000,4998000,4942000,26432000,1088000,167000,167000,1255000,27687000,459554000,-382654000,76900000,76900000,104587000,-5934000,1676000,-1748000,-2041000,-8047000,-673000,-673000,-7495000,-7495000,-7495000,-5506000,17580000,-0.67521,-1.27885,-1.05662,-0.07717,-0.05674,1.00768,0.36004,0.16809,-10.24464,-10.24464,9.69563,132.76252,2,-0.0627,0.5109,0.39167
"22","2017_Q3",12.3273015873016,"Down",7541000,-9705000,-2164000,-4015000,-2124000,-1891000,-6179000,-607000,-627000,20000,-6786000,-3371000,-10157000,-10157000,-10157000,-10157000,-10157000,16303000,16303000,1363000,1363000,4295000,964000,964000,22925000,73243000,803000,803000,74046000,96971000,4744000,4744000,11028000,15772000,13435000,154000,154000,13589000,29361000,460421000,-392811000,67610000,67610000,96971000,-10157000,1665000,3584000,-429000,-5337000,-642000,-642000,-6701000,-6701000,-6701000,-4514000,13435000,-0.28696,-0.81939,-1.3469,-0.15023,-0.10474,1.45353,0.43427,0.13855,-13.19653,-2.7016,9.79768,87.84258,4,-0.12509,0.63536,0.46415
"23","2017_Q4",12.7703174603175,"Up",7699000,-9709000,-2010000,-3103000,-1893000,-1210000,-5113000,-811000,-811000,0,-5924000,1771000,-4153000,-4153000,-4153000,-4153000,-4153000,14764000,14764000,1243000,1243000,4331000,828000,828000,21166000,71917000,803000,803000,72720000,93886000,5129000,5129000,8592000,13721000,13623000,142000,142000,13765000,27486000,463364000,-396964000,66400000,66400000,93886000,-4153000,1653000,-1289000,732000,-3057000,-367000,-367000,-1539000,-1539000,-1539000,-3460000,13623000,-0.26107,-0.66411,-0.53942,-0.06255,-0.04423,1.5426,0.41395,0.1451,-5.02136,-2.65547,9.3088,80.2837,5,-0.05181,0.32977,0.22316
"24","2018_Q1",10.4011475409836,"Down",6680000,-9343000,-2663000,-2145000,-1281000,-864000,-4808000,-802000,-799000,-3000,-5610000,1224000,-4386000,-4386000,-4386000,-4386000,-4386000,11553000,11553000,1054000,1054000,4362000,712000,712000,17681000,70369000,803000,803000,71172000,88853000,4011000,4011000,7175000,11186000,14006000,130000,130000,14136000,25322000,464881000,-401350000,63531000,63531000,88853000,-4386000,1647000,-744000,-703000,-4186000,-224000,-224000,-3211000,-3211000,-3211000,-3161000,14006000,-0.39865,-0.71976,-0.65659,-0.06904,-0.04936,1.58064,0.39858,0.15763,-4.04904,-5.38294,6.1668,58.65019,3,-0.05647,-0.77602,-0.51019
"25","2018_Q2",6.9434375,"Down",8243000,-10583000,-2340000,-2659000,-1870000,-789000,-4999000,-817000,-825000,8000,-5816000,3314000,-2502000,-2502000,-2502000,-2502000,-2502000,7029000,7029000,1288000,1288000,4356000,633000,633000,13306000,68764000,803000,803000,69567000,82873000,3467000,3467000,3840000,7307000,13893000,117000,117000,14010000,21317000,465408000,-403852000,61556000,61556000,82873000,-2502000,1646000,-2814000,-680000,-4350000,-67000,-67000,-4524000,-4524000,-4524000,-3353000,13893000,-0.28388,-0.60645,-0.30353,-0.04065,-0.03019,1.82099,0.3463,0.16764,-2.22057,-1.41612,7.31582,54.63209,4,-0.03311,-2.04712,-1.37307
"26","2018_Q3",3.9668253968254,"Down",9420000,-10693000,-1273000,-3106000,-1637000,-1469000,-4379000,-904000,-904000,0,-5283000,-6209000,-11492000,-11492000,-11492000,-11492000,-11492000,27030000,27030000,1443000,1443000,3846000,15258000,15258000,47577000,67180000,1273000,1273000,68453000,116030000,3520000,3520000,770000,4290000,11731000,414000,414000,12145000,16435000,514939000,-415344000,99595000,99595000,116030000,-11492000,1639000,6836000,-438000,-3455000,-30000,-30000,20001000,20001000,20001000,-2740000,11731000,-0.13514,-0.46486,-1.21996,-0.11539,-0.09904,11.09021,0.16502,0.1011,-7.18227,-15.90991,5.88731,62.24489,7,-0.10285,5.58358,3.49372
"27","2018_Q4",3.06396825396825,"Down",8575000,-10628000,-2053000,-4055000,-2190000,-1865000,-6108000,-770000,-767000,-3000,-6878000,-2000,-6880000,-6880000,-6880000,-6880000,-6880000,38316000,38316000,637000,637000,3301000,949000,949000,43203000,66853000,1310000,1310000,68163000,111366000,4808000,4808000,772000,5580000,12155000,407000,407000,12562000,18142000,515448000,-422224000,93224000,93224000,111366000,-6880000,1618000,508000,2405000,-2349000,-836000,-836000,11286000,11286000,11286000,-4490000,12155000,-0.23942,-0.7123,-0.80233,-0.0738,-0.06178,7.74247,0.19461,0.10914,-0.843,-3.06941,1.05069,11.42266,5,-0.06504,5.8265,4.28307
"28","2019_Q1",2.45737704918033,"Down",6625000,-9664000,-3039000,-3676000,-2425000,-1251000,-6715000,-743000,-741000,-2000,-7458000,356000.000000001,-7102000,-7102000,-7102000,-7102000,-7102000,33734000,33734000,526000,526000,3166000,1284000,1284000,38710000,67462000,863000,863000,68325000,107035000,4896000,4896000,394000,5290000,12554000,404000,404000,12958000,18248000,518113000,-429326000,88787000,88787000,107035000,-7102000,1617000,405999.999999998,-618000,-5697000,-1300000,-1300000,-4582000,-4582000,-4582000,-5098000,12554000,-0.45872,-1.01358,-1.072,-0.07999,-0.06635,7.31758,0.20553,0.11729,-0.82395,-0.480609999999997,0.76861,10.30074,4,-0.0698,4.15457,3.15413
"29","2019_Q2",2.10412698412698,"Down",6403000,-8961000,-2558000,-3070000,-2092000,-978000,-5628000,-755000,-755000,16055.8913716582,-6383000,247000,-6136000,-6136000,-6136000,-6136000,-6136000,35466000,35466000,1125000,1125000,3187000,1902000,1902000,41680000,68045000,1738000,1738000,69783000,111463000,5147000,5147000,169000,18280000,10423267.0076708,654000,654000,654000,18934000,527991000,-435462000,92529000,92529000,111463000,-6136000,1612000,438000,-1622000,-5708000,-2204000,-2204000,1732000,1732000,1732000,-4016000,12964000,-0.3995,-0.87896,-0.9583,-0.06631,-0.05505,2.28009,0.20463,0.11631,-0.6043,-4.03877,0.6306,9.11268,4,-0.05781,5.60309,3.99822
"30","2019_Q3",2.72796875,"Up",5086000,-8452000,-3366000,-3127000,-2182000,-945000,-6493000,-747000,-767000,20000,-7240000,150000,-7090000,-7090000,-7090000,-7090000,-7090000,29155000,29155000,166000,166000,3329000,1470000,1470000,34120000,67998000,1675000,1675000,69673000,103793000,4286000,4286000,19000,17691000,6609260.52466396,505000,505000,504999.999999999,18196000,528149000,-442552000,85597000,85597000,103793000,-7090000,1609000,393000,1143000,-3945000,-2352000,-2352000,-6311000,-6311000,-6311000,-4884000,13386000,-0.66182,-1.27664,-1.39402,-0.08283,-0.06831,1.92866,0.21258,0.12897,-0.59604,-1.78137,0.42757,7.19599,3,-0.07126,3.22871,2.42862
"31","2019_Q4",2.54859375,"Down",6110000,-9893000,-3783000,-4220000,-2431000,-1789000,-8003000,-614000,-605000,-9000,-8617000,-2000,-8619000,-8619000,-8619000,-8619000,-8619000,20944000,20944000,378000,378000,2962000,1558000,1558000,25842000,67148000,978000,978000,69626000,95468000,4434000,4434000,21000,18098000,2687373.77932511,450000,450000,450000,18548000,528091000,-451171000,76920000,76920000,95468000,-8619000,1628000,808000,1038000,-5145000,-1204000,-2704000,-8211000,-8211000,-8211000,-6375000,13643000,-0.61915,-1.30982,-1.41064,-0.11205,-0.09028,1.42789,0.24113,0.14291,-0.66353,-0.29178,0.47038,5.92165,2,-0.0947,1.14525,0.91228
"32","2020_Q1",1.71741935483871,"Down",6888000,-2980000,3908000,-10135000,-3118000,-156000,-6227000,-583000,-578000,-5000,-6810000,-5000.00000000006,-6815000,-6815000,-6815000,-6815000,-6815000,16302000,16302000,1135000,1135000,3201000,3590000,3590000,24228000,66696000,935000,935000,69131000,93359000,5678000,5678000,18560.434297995,20094000,233000.000000002,528000,528000,761000,20855000,530490000,-457986000,72504000,72504000,93359000,-6815000,1807000,714000,-1747000,-6041000,-197000,-197000,-4642000,-4642000,-4642000,-4420000,14649000,0.56736,-0.90404,-0.9894,-0.09399,-0.073,1.20573,0.28764,0.15691,-0.49843,-0.49843,0.50377,5.3027,5,-0.07772,0.37398,0.26546
"33","2020_Q2",1.08539682539683,"Down",3825000,-8139000,-4314000,-3363000,-2627000,-580000,-7677000,-515000,-545000,30000,-8192000,-1061000,-9253000,-9253000,-9253000,-9253000,-9253000,9289000,9289000,152000,152000,2680000,3838000,3838000,15959000,65855000,848000,848000,68203000,84162000,4477000,4477000,1e+05,19002000,232000,435000,435000,667000,19669000,531732000,-467239000,64493000,64493000,84162000,-9253000,1649000,430000,199000,-6975000,-790000,-790000,-7013000,-7013000,-7013000,-6028000,14657000,-1.12784,-2.00706,-2.41908,-0.14347,-0.10994,0.83986,0.30498,0.17415,-0.63934,-1.34051,0.26429,4.45615,1,-0.11627,-0.89051,-0.69923
"34","2020_Q3",0.80265625,"Down",988000,-2644000,-1656000,-3596000,-2698000,-677000,-5252000,-516000,-541000,25000,-5768000,-275000,-6043000,-6043000,-6043000,-6043000,-6043000,6337000,6337000,746000,746000,2480000,3793000,3793000,13356000,64689000,556000,556000,66745000,80101000,3999000,3999000,276000,19171000,774000,269000,269000,1043000,20214000,533169000,-473282000,59887000,59887000,80101000,-6043000,1629000,971000,-4e+05,-3843000,-817000,-817000,-2952000,-2952000,-2952000,-3623000,15670000,-1.67611,-5.31579,-6.1164,-0.10091,-0.07544,0.69668,0.33754,0.19563,-0.40097,-0.8597,0.06556,3.97363,1,-0.0797,-2.57604,-1.77704
"35","2020_Q4",1.66703125,"Up",192000,-2260000,-2068000,-4047000,-2854000,-870000,-6115000,-475000,-473000,-2000,-6590000,-246000,-6836000,-6836000,-6836000,-6836000,-6836000,80621000,80621000,370000,370000,2551000,4614000,4614000,88156000,63324000,507000,507000,65331000,153487000,4904000,4904000,29000,18143000,583000,172000,172000,755000,18898000,614707000,-480118000,134589000,134589000,153487000,-6836000,1476000,1199000,398000,-3763000,-149000,-149000,74284000,74284000,74284000,-4639000,13793000,-10.77083,-31.84896,-35.60417,-0.05079,-0.04454,4.85895,0.14041,0.08986,-0.0882,-0.07341,0.00248,1.73653,3,-0.04602,14.40569,10.92854
"36","2021_Q1",9.58754098360656,"Up",531000,3730000,4261000,-11299000,-3013000,-1384000,-7038000,-464000,-433000,-31000,-7502000,-10552000,-18054000,-18054000,-18054000,-18054000,-18054000,78338000,78338000,527000,527000,2491000,1914000,1914000,83270000,66408000,2421000,2307000,68829000,152099000,3943000,3943000,182000,4932000,447000,341000,341000,787999.999999999,5720000,644551000,-498172000,146379000,146379000,152099000,-18054000,1150000,11496000,651000,-4757000,-4149000,-4148999.99999999,-2282999.99999997,-2282999.99999997,-2282999.99999997,-5888000,1254000,8.02448,-13.25424,-34,-0.12334,-0.1187,16.88362,0.03908,0.00824,-0.14985,-0.14985,0.00441,1.21499,3,-0.12201,13.09171,10.95254
