"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2020_Q1",6.08225806451613,"Down",172479000,-120345000,52134000,-43639000,-40134000,8495000,589000,9084000,9084000,-2811000,6273000,6273000,6273000,6273000,139917000,70137000,69780000,7485000,56901000,4561000,4561000,208864000,66176000,271600000,271600000,337776000,546640000,78184000,20562000,27945000,67082000,11761000,145266000,241473000,241473000,241473000,386739000,153407000,6280000,214000,159901000,159901000,546640000,6273000,5618000,-4425000,4464000,11930000,-3663000,-6904000,-10567000,1178000,2541000,2541000,2541000,14113000,0,17725000,0.30226,0.04925,0.03637,0.03923,0.01148,2.8256,1.4378,2.41862,0,0.21172,0.20968,5.82129,5.39677,0.59823,0.01563,0.04416,-9.91405,-16.47051
"32","2020_Q2",4.55492063492064,"Down",77289000,-75695000,1594000.00000001,-29995000,-29995000,-28401000,409000,-27992000,-27992000,10597000,-17395000,-17395000,-17395000,-17395000,111114000,65133000,45981000,13421000,67650000,2092000,2092000,194277000,61941000,259976000,259976000,321917000,516194000,43526000,24837000,18689000,76314000,10719000,143515000,229685000,229685000,229685000,373200000,153908000,-11115000,201000,142994000,142994000,516194000,-17395000,5024000,1095000,-8290000,-19566000,-3548000,24112000,20564000,-6002000,-5003999.99999999,-5003999.99999999,-5003999.99999999,-23377000,23675000,-45812000,0.02062,-0.36746,-0.22506,-0.12165,-0.0337,2.63363,1.35371,2.6099,0.04586,-0.58614,-0.58614,2.60434,4.81834,-1.54369,0.03099,-0.11558,3.74039,3.07873
"33","2020_Q3",5.5596875,"Up",135845000,-94171000,41674000,-33965000,-33965000,7709000,311000,8020000,8020000,-2754000,5266000,5266000,5266000,5266000,148894000,132955000,15939000,13287000,68067000,3956000,3956000,234204000,56805000,253462000,253462000,310267000,544471000,75017000,48710000,26307000,74252000,9443000,172944000,222959000,222959000,222959000,395903000,154416000,-5849000,1000,148568000,148568000,544471000,5266000,4963000,-286000,28466000,38409000,-702000,30115000,29413000,0,67822000,67822000,67822000,12672000,23675000,43190000,0.30678,0.05675,0.03876,0.03545,0.00967,8.20167,1.35422,2.66479,0.04348,0.17734,0.17734,4.57468,5.00313,1.45445,0.01332,0.10929,-9.88155,-16.24322
"34","2020_Q4",6.683125,"Up",140275000,-99615000,40660000,-37122000,-37122000,3538000,-28000,3510000,3510000,-1397000,2113000,2113000,2113000,2113000,125296000,99309000,25987000,11397000,65936000,5557000,5557000,208186000,54756000,245593000,245593000,300349000,508535000,68325000,36245000,32080000,74114000,11051000,142439000,214890000,214890000,214890000,357329000,154924000,-3736000,18000,151206000,151206000,508535000,2113000,4584000,-123000,-4384000,2189999.99999999,-2145000,-10016000,-12161000,-23675000,-33646000,-33646000,-33646000,8122000,0,2990000.00000001,0.28986,0.0252199999999999,0.01506,0.01397,0.00416000000000001,1.41505,1.46158,2.36319,0,0.0711300000000001,0.0711300000000001,4.72195,5.08991,0.10065,0.00577,0.00816999999999994,-15.42674,-35.41436
"35","2021_Q1",9.46016393442623,"Up",177920000,-119658000,58262000,-44148000,-40871000,14114000,-111000,14003000,14003000,-5132000,8871000,8871000,8871000,8871000,141139000,76184000,64955000,8724000,55698000,6170000,6170000,211731000,52639000,243086000,231137000,295725000,507456000,65564000,24983000,40581000,68627000,13492000,134191000,212643000,212643000,212643000,346834000,155467000,5135000,20000,160622000,160622000,507456000,8871000,4484000,-3271000,7780000,17864000,-2076000,-38937000,-41013000,24000,-23125000,-23125000,-23125000,18598000,0,29434000,0.32746,0.07933,0.04986,0.05523,0.01748,3.318,1.57783,2.15932,0,0.29876,0.29876,5.99198,5.40942,0.99128,0.02377,0.07886,-7.58893,-9.99993
"36","2021_Q2",11.9819047619048,"Up",163157000,-108318000,54839000,-39965000,-39832000,14874000,-115000,14759000,14759000,-3800000,10959000,10959000,10959000,10959000,157648000,81015000,76633000,9701000,65341000,4591000,4591000,237281000,54139000,235104000,223440000,289243000,526524000,79459000,35860000,43599000,67309000,12913000,146768000,205155000,205155000,205155000,351923000,158484000,16094000,23000,174601000,174601000,526524000,10959000,4324000,801000,3193000,19277000,-5482000,-11644000,-17097000,2651000,4831000,4831000,4831000,19198000,4.65661287307739e-10,20709000,0.33611,0.09116,0.06717,0.06277,0.02081,1.88968,1.61671,2.01558,0,0.36301,0.35538,5.40452,5.7836,0.68598,0.02886,0.05453,-8.21169,-10.5989
"37","2021_Q3",14.2684375,"Up",201952000,-127225000,74727000,-48300000,-48167000,26427000,-102000,26325000,26325000,-5927000,20398000,20398000,20398000,20398000,148538000,81894000,66644000,13143000,86853000,7506000,7506000,256040000,51172000,227951000,217464000,279123000,535163000,99518000,59053000,40465000,67010000,13040000,166528000,197403000,197403000,197403000,363931000,165438000,5782000,12000,171232000,171232000,535163000,20398000,4485000,1798000,-8516000,18165000,-3019000,10019000,7e+06,-24286000,879000,879000,879000,30912000,0,25304000,0.37002,0.13086,0.101,0.11912,0.03812,1.24051,1.53752,2.12537,0,0.67568,0.66148,6.68959,5.672,0.83819,0.13864,0.06864,-4.80519,-5.62069
"38","2021_Q4",14.43046875,"Up",206096000,-129357000,76739000,-47742000,-47609000,28997000,-1000,28996000,28996000,-8162000,20834000,20834000,20834000,20834000,155629000,59392000,96237000,8881000,86692000,9682000,9682000,260884000,49392000,239961000,228067000,289353000,550237000,83568000,46378000,37190000,68594000,13568000,152162000,205437000,205437000,205437000,357599000,166014000,26616000,8000,192638000,192638000,550237000,20834000,4314000,-921000,-14819000,9408000,-2393000,-29571000,-31964000,54000,-22502000,-22502000,-22502000,33311000,0,24261000,0.37235,0.1407,0.10109,0.10815,0.03786,1.16449,1.71451,1.85633,0,0.69012,0.67562,6.82686,6.38107,0.80364,0.05234,0.06095,-4.672,-5.36707
"39","2022_Q1",12.3193548387097,"Down",204489000,-134131000,70358000,-53061000,-49967000,17297000,-376000,16921000,16921000,-4863000,12058000,12058000,12058000,12058000,139228000,42201000,97027000,6705000,65645000,16400000,16400000,227978000,47530000,229315000,217869000,276845000,504823000,64273000,28144000,36129000,71894000,17096000,136167000,193943000,193943000,193943000,330110000,166960000,7754000,-1000,174713000,174713000,504823000,12058000,3713000,940000,-159000,16552000,-2494000,-773000,-3267000,-30476000,-17191000,-17191000,-17191000,21010000,0,23220000,0.34407,0.08459,0.05897,0.06902,0.02389,1.92569,1.67425,1.88944,0,0.40603,0.40603,6.88585,5.88319,0.7819,0.11658,0.06299,-6.62675,-8.04926
"40","2022_Q2",8.34709677419355,"Down",145775000,-101960000,43815000,-42707000,-42574000,1108000,4000,1112000,1112000,-299000,813000,813000,813000,813000,110951000,59954000,50997000,8209000,74112000,14769000,14769000,208041000,46606000,231010000,219416000,277616000,485657000,52641000,27193000,25448000,69544000,15150000,122185000,195537000,195537000,195537000,317722000,167542000,391000,2000,167935000,167935000,485657000,813000,3508000,443000,-22317000,-17553000,-2598000,46061000,43463000,-8157000.00000001,17753000,17753000,17753000,4616000,3.63797880709171e-12,-2e+07,0.30057,0.0076,0.00558,0.00484,0.00167,-24.60025,1.70267,1.89193,6.7762635780344e-21,0.02643,0.02619,4.7388,5.45917,-0.65015,0.00224000000000001,-0.05502,-24.03618,-100.13628
"41","2022_Q3",7.5903125,"Down",168308000,-116326000,51982000,-46830000,-46697000,5152000,183000,5335000,5335000,-1516000,3819000,3819000,3819000,3819000,116384000,85510000,30874000,14635000,89295000,13775000,13775000,234089000,49178000,234221000,222695000,283399000,517488000,78893000,47942000,30951000,68751000,14312000,147644000,198276000,198276000,198276000,345920000,168150000,3372000,46000,171568000,171568000,517488000,3819000,3495000,625000,2499000,10438000,-4296000,20232000,15936000,-818000,25556000,25556000,25556000,8647000,0,8366000,0.30885,0.03061,0.02269,0.02226,0.00738,2.19063,1.5855,2.01623,0,0.12721,0.12652,5.60634,5.71493,0.27867,0.01033,0.02262,-13.45947,-22.59006
