"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"15","2014_Q2",31.414126984127,"Down",14535000,-13526000,1009000,1009000,663000,198000,438000,27000,1672000,1672000,-541000,1131000,1131000,-18000,1113000,1113000,57095000,4176000,52919000,5567000,5567000,6314000,8649000,8011000,77625000,149918000,118828000,69467000,47769000,268746000,346371000,8682000,5544000,3138000,236000,1816000,1816000,10734000,4399000,9655000,2248000,6322000,14054000,24788000,221264000,63898000,-3202000,281960000,39623000,321583000,346371000,1131000,1146000,1015000,1491000,4783000,-5419000,2326000,-5972000,-9065000,-58000,-515000,-573000,-4855000,-4855000,-4855000,2155000,4635000,-1232000,0.06942,0.06942,0.07657,0.00346,0.00321,-1.10692,7.23169,0.07708,0.01338,0.05411,0.05401,0.70667,13.70849,-0.0599,0.00331,-0.00367,-24.34339,-51.99207
"16","2014_Q3",28.976875,"Down",8321000,-8347000,-26000.0000000005,-26000.0000000005,1353000,185000,1148000,20000,1327000,1327000,-479000,848000,848000,26000,874000,874000,54742000,1898000,52844000,4958000,4958000,8570000,8312000,7675000,76582000,154373000,123059000,73722000,47746000,277432000,354014000,5244000,2699000,2545000,10439000,792000,792000,16475000,4338000,9812000,2248000,6511000,14150000,30625000,222223000,64772000,-3203000,283792000,39597000,323389000,354014000,848000,1303000,204000,-5010000,-2655000,-6060000,-598000,-3107000,-9765000,10142000,4.65661287307739e-10,10142000,-2278000,-2278000,-2278000,1277000,14777000,-9314000,-0.00312000000000003,-0.00312000000000003,0.10504,0.0027,0.00247,-10.65675,4.64838,0.0947,0.04174,0.04246,0.04238,0.4042,13.78555,-0.45244,0.00251,-0.02677,-31.29601,1537.11538
"17","2014_Q4",29.0453125,"Up",13654000,-13465000,189000,189000,2109000,138000,1707000,264000,2298000,2298000,-627000,1671000,1671000,81000,1752000,1752000,50866000,2036000,48830000,9063000,9063000,6735000,7315000,6625000,73979000,274791000,79630000,30580000,47458000,354421000,428400000,6477000,2198000,4279000,20441000,994000,994000,27912000,64277000,10439000,2873000,6545000,74716000,102628000,223014000,66523000,-3281000,286256000,39516000,325772000,428400000,1671000,1208000,-357000,107000,2629000,-5474000,3679000,-10476000,-12271000,9934000,-154000,9780000,138000,138000,138000,1397000,84718000,-3343000,0.01384,0.01384,0.12831,0.00538,0.00409,-1.90811,2.65044,0.31503,0.19775,0.08508,0.08495,0.66309,13.90164,-0.16235,0.00416,-0.00794,24.23193,179.11111
"18","2015_Q1",25.69,"Down",14559000,-13788000,771000,771000,2391000,175000,2001000,215000,3162000,3162000,-1050000,2112000,2112000,-196000,1916000,1916000,47778000,5638000,42140000,8506000,8506000,4098000,4456000,4456000,64838000,43094000,104337000,32604000,67157000,367085000,431923000,7824000,3347000,2774000,244000,8014000,1164000,16082000,74023000,17485000,3683000,13802000,91508000,107590000,223081000,68439000,-6899000,284621000,39712000,324333000,431923000,2112000,1214000,-1577000,6712000,8461000,-7822000,6432000,-60101000,-61491000,-13412000,44000,56632000,3602000,3602000,3602000,1985000,74267000,1925000,0.05296,0.05296,0.1316,0.00591,0.00444,1.0047,4.03171,0.33173,0.17194,0.09285,0.09266,0.70552,13.79265,0.09328,0.0046,0.00463,13.34458,34.3566800000003
"19","2015_Q2",25.2655555555556,"Down",16633000,-15513000,1120000,1120000,1343000,155000,1150000,38000,2463000,2463000,-862000,1601000,1601000,16000,1617000,1617000,45612000,1672000,43940000,6072000,6072000,6331000,8351000,6728000,66366000,43453000,102858000,32666000,66705000,367123000,433489000,8904000,5127000,3312000,247000,5481000,1821000,14632000,74153000,19499000,3904000,15595000,93652000,108284000,223151000,70056000,-7698000,285509000,39696000,325205000,433489000,1601000,1098000,-203000,-752000,1744000,-6117000,-1897000,6071000,-1943000,-3252000,-515000,-3767000,-3966000,-3966000,-3966000,2218000,74400000,-3789000,0.06734,0.06734,0.09722,0.00497,0.00373,-2.34323,4.53568,0.33297,0.17163,0.07832,0.07809,0.80563,13.82888,-0.18352,0.00386,-0.00904,12.97926,25.70357
"20","2015_Q3",24.1884375,"Down",7e+06,-8402000,-1402000,-1402000,1815000,142000,1656000,17000,413000,413000,-36000,377000,377000,29000,406000,406000,39400000,111000,39289000,3825000,3825000,9986000,7230000,6278000,60441000,44764000,104219000,34362000,66370000,373716000,434157000,9485000,5582000,3402000,249000,5170000,1210000,14904000,74089000,16143000,3816000,12327000,90232000,105136000,225585000,70462000,-6693000,289354000,39667000,329021000,434157000,377000,1333000,133000,-1954000,-111000,-5996000,4362000,-38000.0000000075,-1672000,236000,-14000,221999.999999993,-1561000,-1561000,-1561000,-69000,74338000,-7983000,-0.20029,-0.20029,0.058,0.00123,0.00094,-19.66256,4.05535,0.31954,0.17122,0.01965,0.01958,0.33881,14.00498,-0.38638,0.00097,-0.01903,-506.34783,-24.92011
"21","2015_Q4",21.5984375,"Down",11946000,-15487000,-3541000,-3541000,2296000,116000,2055000,125000,-1245000,-1245000,434000,-811000,-811000,23000,-788000,-788000,37218000,3512000,33706000,7131000,7131000,6288000,7573000,5818000,58210000,46607000,106884000,36418000,68047000,380616000,438826000,7747000,2774000,4973000,252000,10579000,1639000,18578000,74025000,18188000,3816000,14372000,92213000,110791000,226652000,69674000,-7935000,288391000,39644000,328035000,438826000,-811000,1241000,297000,-819000,-92000,-6855000,5467000,-35000,-1423000,4916000,0,4916000,3401000,3401000,3401000,-2300000,74277000,-10408000,-0.29642,-0.29642,-0.06596,-0.0024,-0.0018,13.20812,3.13328,0.33774,0.16926,-0.03812,-0.03798,0.57796,13.95259,-0.50355,-0.00187,-0.02475,-16.11261,-10.46569
"22","2016_Q1",18.9511475409836,"Down",15568000,-14941000,627000,627000,1779000,115000,1463000,201000,2406000,2406000,-661000,1745000,1745000,-30000,1715000,1715000,34745000,1930000,32815000,6511000,6511000,3517000,4120000,4120000,48893000,44469000,103091000,30680000,67752000,383026000,431919000,7981000,3252000,3492000,815000,1525000,1525000,10321000,73223000,17067000,3816000,13251000,90290000,100611000,227147000,71389000,-6902000,291634000,39674000,331308000,431919000,1745000,1418000,5743000,6521000,15427000,-9080000,651000,806000,-7623000,-8994000,-392000,-9386000,-1582000,-1582000,-1582000,2045000,74038000,147000,0.04027,0.04027,0.11016,0.00518,0.00397,0.0857099999999971,4.73723,0.30368,0.17142,0.0829,0.08259,0.75254,14.09733,0.00710999999999995,0.00406,0.000350000000000003,19.2141800000001,62.66826
"23","2016_Q2",22.09203125,"Up",12953000,-12770000,183000,183000,1624000,118000,1455000,51000,1807000,1807000,-612000,1195000,1195000,14000,1209000,1209000,34026000,1307000,32719000,3570000,3570000,6601000,5365000,5365000,49562000,45008000,107423000,32155000,69878000,386666000,436228000,6791000,3126000,3166000,1659000,4131000,2131000,12581000,72320000,19463000,3816000,15647000,91783000,104364000,227866000,72598000,-8260000,292204000,39660000,331864000,436228000,1195000,1366000,-131000,-3461000,-1031000,-5667000,161000,4287000,-1219000,1937000,-310000,1627000,-623000,-623000,-623000,1549000,73979000,-6967000,0.01413,0.01413,0.09334,0.00364,0.00277,-5.76261,3.93943,0.31448,0.16959,0.0584,0.0582,0.62569,14.1147,-0.33654,0.00284,-0.01638,25.79277,218.3224
"24","2016_Q3",24.724375,"Up",6849000,-9956000,-3107000,-3107000,1999000,120000,1842000,37000,-1108000,-1108000,380000,-728000,-728000,40000,-688000,-688000,33523000,862000,32661000,3066000,3066000,9466000,6261000,6261000,52316000,45819000,107931000,33432000,68767000,393682000,445998000,6988000,4135000,2853000,2503000,12698000,1698000,22189000,71417000,20654000,3811000,16843000,92071000,114260000,229103000,71910000,-8895000,292118000,39620000,331738000,445998000,-728000,1444000,-297000,-3085000,-2666000,-7599000,-21000.0000000005,908000,-6712000,8937000,-4000,8933000,-445000,-445000,-445000,-1663000,73920000,-12727000,-0.45364,-0.45364,-0.10045,-0.00207,-0.00154,18.49855,2.35774,0.34443,0.16574,-0.0332,-0.03301,0.33048,14.09517,-0.6141,-0.00161,-0.02985,-24.29164,-13.00193
"25","2016_Q4",25.0220634920635,"Up",13079000,-14988000,-1909000,-1909000,2497000,112000,2353000,32000,588000,588000,-271000,317000,317000,7000,324000,324000,27933000,1258000,26675000,8740000,8740000,3084000,3107000,3107000,42864000,46034000,102538000,33803000,66453000,396837000,439701000,5603000,2415000,3188000,3853000,9229000,1529000,18685000,69853000,16696000,3662000,13034000,86549000,105234000,240167000,71947000,-6239000,305875000,28592000,334467000,439701000,317000,1360000,4441000,-1008000,5110000,-6494000,4856000,-845000,-2483000,-64000,0,-64000,2563000,2563000,2563000,-549000,73706000,-7780000,-0.14596,-0.14596,0.02477,0.00097,0.00074,-24.01235,2.29403,0.31463,0.16763,0.01563,0.01553,0.63084,14.75322,-0.37525,0.00076,-0.01831,-83.37523,-23.97748
"26","2017_Q1",23.2725806451613,"Down",13098000,-15030000,-1932000,-1932000,854000,107000,1448000,-701000,-1078000,-34000,7000,-27000,-27000,-18000,-45000.0000000002,-45000.0000000002,27933000,1258000,26675000,8740000,8740000,3084000,3107000,3107000,42864000,46034000,102538000,33803000,66453000,396837000,439701000,5603000,2415000,3188000,3853000,9229000,1529000,18685000,69853000,16696000,3662000,13034000,86549000,105234000,240167000,71947000,-6239000,305875000,28592000,334467000,439701000,-27000,1487000,370000,2342000,4172000,-6620000,770999.999999999,6021000,172000,-3925000,-2586000,-6511000,-2167000,-2167000,-2167000,-445000,73706000,-4730000,-0.1475,-0.1475,-0.00344000000000001,-0.00013,-1e-04,105.11111,2.29403,0.31463,0.16763,-0.00215999999999998,-0.00218,0.62995,14.71115,-0.22749,-0.00011,-0.01113,-102.86067,-23.69203
"27","2017_Q2",21.6077777777778,"Down",5702000,-9264000,-3562000,-3562000,317000,103000,228000,-14000,-3245000,-3245000,1332000,-1913000,-1913000,11000,-1902000,-1902000,30079891.0006569,1452700.83485059,28627190.1658063,5063180.42101636,5063180.42101636,7401004.15651993,3702593.4032751,3705196.83249654,46246668.9814683,46106631.0926158,106423049.674534,35593372.1937355,68684389.0970636,404347359.710032,450594028.6915,5857296.22420728,3066575.14874867,2794258.10331488,3821936.01032763,15538250.2185932,1716717.39725434,25217482.4531281,69145241.9380779,16007030.0200904,3390621.72000832,12616415.1601918,85152271.9581683,110369754.411296,245866593.518921,70984413.6807144,-5923647.78687319,310927359.412763,29296914.8674409,340224274.280204,450594028.6915,-1913000,1150000,1066000,-873000,-570000,-4247000,-1860000,2067000,-4040000,7362000,-514000,6848000,2238000,2238000,2238000,-2412000,0,-8864000,-0.62469,-0.62469,-0.33357,-0.00103554273622742,-0.000780767626999704,4.66036,2.32572063414776,0.326395436011454,0.162257460219076,-0.09132,-0.09111,0.27377,14.7703232459531,-0.42558,-0.000824258243909412,-0.0207437216228913,-53.278303436324,-18.9412513896649
"28","2017_Q3",20.6433333333333,"Down",5963000,-8018000,-2055000,-2055000,1380000,95000,1560000,-275000,-675000,-675000,472000,-203000,-203000,27000,-176000,-176000,23229000,522000,22707000,3761000,3761000,9320000,3410000,3410000,39720000,45960000,106387000,34505000,70379000,410258000,449978000,6646000,3427000,3219000,3969000,21889000,1889000,32504000,67849000,14611000,3187000,11424000,82460000,114964000,241556000,70071000,-5167000,306460000,28554000,335014000,449978000,-203000,1132000,-440000,-1561000,-1072000,-6696000,1252000,529000.000000001,-4915000,3039000,-25999.9999999995,3013000,-2974000,-2974000,-2974000,-923000,71818000,-9652000,-0.34463,-0.34463,-0.02952,-0.00053,-0.00039,54.84091,1.222,0.34316,0.1596,-0.00844,-0.00842999999999999,0.28593,14.69472,-0.46281,-0.00042,-0.0229,-52.64247,-23.64428
"29","2017_Q4",20.6206349206349,"Down",11908000,-13411000,-1503000,-1503000,1813000,91000,1724000,-2000,310000,310000,-336000,-26000,-26000,4000,-22000,-22000,24152000,2658000,21494000,7330000,7330000,5399000,2576000,2576000,39457000,45455000,100131000,28911000,69756000,408082000,447539000,7407000,3361000,4046000,4016000,18668000,1668000,30091000,66806000,14538000,3373000,11165000,81344000,111435000,242599000,70049000,-5094000,307554000,28550000,336104000,447539000,-26000,1140000,6555000,1875000,9544000,-4636000,1060000,170000,-3406000,-4002000,0,-4002000,2136000,2136000,2136000,-363000,70822000,-2788000,-0.12622,-0.12622,-0.00185,-7e-05,-5e-05,126.72727,1.31126,0.33155,0.15825,-0.00105,-0.00105,0.57073,14.74056,-0.13362,-5e-05,-0.00662,-128.56749,-31.05123
