"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",40.666875,"Up",138439000,-77468000,60971000,-13851000,-5774000,-8077000,47120000,-249000,46871000,46871000,-5079000,41792000,41792000,41792000,41792000,305553000,305553000,36809000,36809000,32323000,7957000,4425000,382642000,6793000,3109000,4000,3105000,9902000,392544000,49688000,49688000,0,17781000,16883000,73111000,68006000,16397000,13380000,84403000,157514000,235030000,235030000,392544000,41792000,625000,1938000,-16731000,27624000,-1502000,-1502000,-1250000,371000,371000,0,581000,-298000,25824000,25824000,25824000,47745000,73648000,34591000,0.44042,0.34037,0.30188,0.17782,0.10646,0.82769,5.23371,0.67019,0.18762,0.47675,0.46615,1.57925,2.68112,0.3946,0.12856,0.10641,-4.85716,-4.92158
"12","2014_Q4",30.63671875,"Down",148331000,-82719000,65612000,-15477000,-6064000,-9413000,50135000,-283000,49852000,49852000,-4653000,45199000,45199000,45199000,45199000,291670000,291670000,49530000,49530000,66004000,17533000,11578000,424737000,7174000,2662000,0,2662000,9836000,434573000,46375000,46375000,0,15219000,14093000,67863000,66139000,16682000,14012000,82821000,150684000,283889000,283889000,434573000,45199000,708000,-216000,-59661000,-13970000,-1282000,-1282000,-1250000,781000,781000,0,1838000,1369000,-13883000,-13883000,-13883000,50843000,72408000,-5446999.99999999,0.44234,0.33799,0.30472,0.15921,0.10401,-0.12051,6.25874,0.53078,0.16662,0.5142,0.50347,1.68748,3.22964,-0.06197,0.12118,-0.0146,-4.31253,-4.37343
"13","2015_Q1",28.4832786885246,"Down",156007000,-87146000,68861000,-16067000,-5912000,-10155000,52794000,-556000,52238000,52238000,-2820000,49418000,49418000,49418000,49418000,347097000,347097000,54871000,54871000,46349000,17407000,13267000,465724000,7260000,3167000,1255000,1912000,10427000,476151000,36432000,33933000,2499000,15883000,15883000,52315000,72254000,16318000,15346000,88572000,140887000,335264000,335264000,476151000,49418000,781000,2453000,3141000,55793000,-801000,-801000,-246000,307000,307000,2.3283064365387e-10,374000,435000,55427000,55427000,55427000,53575000,72254000,58735000,0.4414,0.33841,0.31677,0.1474,0.10379,1.18853,8.9023,0.42023,0.15175,0.56084,0.54934,1.77049,3.80485,0.66657,0.1166,0.13858,-5.13006,-5.20595
"14","2015_Q2",29.6009523809524,"Up",150087000,-89036000,61051000,-17417000,-5696000,-11721000,43634000,-58000,43576000,43576000,-5833000,37743000,37743000,37743000,37743000,391016000,391016000,65875000,65875000,38747000,22628000,21744000,518266000,9995000,3059000,1255000,1804000,13054000,531320000,57496000,39085000,3411000,24535000,19026000,82031000,72254000,17218000,16226000,89472000,171503000,359817000,359817000,531320000,37743000,880000,6891000,1428000,46942000,-3461000,-3461000,0,456000,456000,0,-18000,438000,43919000,43919000,43919000,44514000,72254000,48314000,0.40677,0.29072,0.25147,0.10489,0.07104,1.28008,6.31793,0.47664,0.13599,0.42773,0.41977,1.7009,4.07771,0.54753,0.08401,0.10753,-7.16094,-7.30536
"15","2015_Q3",32.244375,"Up",153137000,-84116000,69021000,-18298000,-5362000,-12936000,50723000,17000,50740000,50740000,-4475000,46265000,46265000,46265000,46265000,388603000,388603000,72569000,72569000,37509000,37913000,32517000,536594000,13759000,3020000,1255000,1765000,16779000,553373000,55913000,54941000,972000,14377000,11429000,70290000,72254000,18475000,17467000,90729000,161019000,392354000,392354000,553373000,46265000,1032000,-4074000,-10547000,32676000,-4930000,-4930000,0,-14959000,41000,-1.5e+07,-180000,-30159000,-2413000,-2413000,-2413000,51755000,72254000,40753000,0.45071,0.33123,0.30212,0.11792,0.08361,0.88086,7.634,0.41039,0.13057,0.52457,0.51556,1.73633,4.44866,0.46207,0.12686,0.08436,-6.11243,-6.2368
"16","2015_Q4",31.826875,"Down",147456000,-81479000,65977000,-20746000,-5510000,-15236000,45231000,-763000,44468000,44468000,-3331000,41137000,41137000,41137000,41137000,451159000,451159000,69908000,69908000,41717000,38407000,30216000,601191000,14759000,3335000,1100000,2235000,18094000,619285000,49449000,48662000,787000,14930000,14930000,74379000,9e+07,19529000,18532000,109529000,183908000,435377000,435377000,619285000,41137000,1266000,4311000,-9988000,36726000,-2426000,-2426000,27746000,352999.999999998,353000,0,157000,28256000,62556000,62556000,62556000,46497000,1e+08,37414000,0.44744,0.30674,0.27898,0.09449,0.06643,0.909500000000001,8.08281,0.42241,0.16148,0.46798,0.46015,1.67747,4.95287,0.42562,0.07413,0.06742,-7.55229,-7.76368
"17","2016_Q1",29.8632786885246,"Down",145267000,-79129000,66138000,-19711000,-5039000,-14672000,46427000,-326000,46101000,6964000,-2446000,4518000,4518000,4518000,4518000,446401000,446401000,66104000,66104000,37031000,31810000,7711000,581346000,15602000,3624000,1515000,2109000,19226000,600572000,44964000,43856000,1108000,15170000,15170000,70134000,87500000,20784000,19810000,108284000,178418000,422154000,422154000,600572000,4518000,1793000,4515000,7377000,18203000,-1907000,-1907000,-2500000,-18876000,836000,-19712000,322000,-21054000,-4758000,-4758000,-4758000,48220000,97500000,56136000,0.45529,0.3196,0.0311,0.0107,0.00752,12.42497,8.28908,0.42264,0.16235,0.05152,0.05064,1.65656,4.81405,0.64015,0.00836000000000001,0.10387,-7.23561,-7.51505
"18","2016_Q2",35.72171875,"Up",151415000,-77911000,73504000,-21703000,-8142000,-13561000,51801000,-116000,51685000,59719000,-5960000,53759000,53759000,53759000,53759000,436080000,436080000,63585000,63585000,30694000,34228000,13641000,564587000,15755000,3558000,1538000,2020000,19313000,583900000,25194000,23129000,2065000,28101000,28101000,63295000,8.5e+07,21872000,20867000,106872000,170167000,413733000,413733000,583900000,53759000,1617000,1912000,-9561000,47727000,-1830000,-1830000,-2500000,-53517000,301000,-53818000,-201000,-56218000,-10321000,-10321000,-10321000,53418000,9.5e+07,47987000,0.48545,0.34211,0.35504,0.12994,0.09207,0.892630000000004,8.91993,0.4113,0.1627,0.61748,0.60769,1.73916,4.75217,0.55118,0.10132,0.09044,-6.38511,-6.58443
"19","2016_Q3",46.1903125,"Up",161871000,-82830000,79041000,-22862000,-7433000,-15429000,56179000,-651000,55528000,55785000,-6333000,49452000,49452000,49452000,49452000,496672000,496672000,64568000,64568000,33105000,25595000,8440000,619940000,13359000,3456000,1538000,1918000,16815000,636755000,44339000,42600000,1739000,16217000,16217000,70556000,115500000,23132000,22129000,138632000,209188000,427567000,427567000,636755000,49452000,1509000,3044000,23342000,77347000,-1192000,-1192000,30500000,-45999000,183000,-46182000,-64000,-15563000,60592000,60592000,60592000,57688000,125500000,86171000,0.4883,0.34706,0.3055,0.11566,0.07766,1.74252,8.7865,0.48925,0.19709,0.58368,0.57442,1.91057,5.04659,1.01708,0.08582,0.14955,-6.43413,-6.60695
"20","2016_Q4",52.5177777777778,"Up",167433000,-84940000,82493000,-22358000,-8538000,-13820000,60135000,-510000,59625000,59628000,-6929000,52699000,52699000,52699000,52699000,502549000,502549000,75245000,75245000,42776000,20858000,5848000,641428000,13127000,3799000,1538000,2261000,16926000,658354000,31442000,29696000,1746000,15873000,15873000,57315000,1.46e+08,23586000,22433000,169586000,226901000,431453000,431453000,658354000,52699000,1559000,818000,-28206000,26870000,-1798000,-1798000,30500000,-49709000,294000,-50003000,14000,-19195000,5877000,5877000,5877000,61694000,1.56e+08,38619000,0.49269,0.35916,0.31475,0.12214,0.08005,0.73282,11.19128,0.5259,0.23695,0.63227,0.62229,2.00882,5.17646,0.46334,0.08624,0.0632,-5.61722,-5.76285
"21","2017_Q1",52.5864516129032,"Up",185676000,-95919000,89757000,-24111000,-9156000,-14955000,65646000,-838000,64808000,64808000,-7102000,57706000,57706000,57706000,57706000,551031000,551031000,82790000,82790000,57113000,37450000,6896000,728384000,12953000,5771000,4195000,1576000,18724000,747108000,52998000,51510000,1488000,26672000,26672000,90663000,191564000,24505000,23202000,216069000,306732000,440376000,440376000,747108000,57706000,1352000,-845000,-12649000,45564000,-1428000,-1428000,47500000,-43186000,328000,-43514000,32000,4346000,48482000,48482000,48482000,66998000,202557000,60023000,0.48341,0.35355,0.31079,0.13104,0.07724,1.04015,8.03397,0.69652,0.27112,0.6997,0.68784,2.25135,5.33964,0.72779,0.08646,0.08993,-5.20126,-5.30838
"22","2017_Q2",47.6326984126984,"Down",204757000,-106453000,98304000,-23402000,-8863000,-14539000,74902000,-1099000,73803000,73803000,-2015000,71788000,71788000,71788000,71788000,573644000,573644000,95728000,95728000,79841000,36389000,5987000,785602000,12520000,5851000,4195000,1656000,18371000,803973000,44578000,42540000,2038000,20300000,20300000,77121000,187879000,25992000,24494000,213871000,290992000,512981000,512981000,803973000,71788000,1541000,466000,-41026000,32769000,-1064000,-1064000,-2500000,-5801000,682000,-6483000,-791000,-9092000,22613000,22613000,22613000,76443000,200122000,36368000,0.4801,0.36581,0.3506,0.13994,0.08929,0.5066,10.18662,0.56726,0.24892,0.87748,0.85611,2.50277,6.27024,0.44453,0.09713,0.04921,-4.88628,-4.98681
"23","2017_Q3",55.4174603174603,"Up",213536000,-118397000,95139000,-25339000,-9001000,-16338000,69800000,-1170000,68630000,68630000,-8022000,60608000,60608000,60608000,60608000,612725000,612725000,115816000,115816000,104417000,53634000,11188000,886592000,12622000,6224000,4195000,2029000,18846000,905438000,79147000,77571000,1576000,26638000,26638000,119278000,184194000,27360000,25289000,211554000,330832000,574606000,574606000,905438000,60608000,1822000,2491000,-22019000,42902000,-1772000,-1772000,-2500000,605000,605000,0,-154000,-2049000,39081000,39081000,39081000,71622000,197687000,55853000,0.44554,0.32688,0.28383,0.10548,0.06694,0.92155,7.43299,0.57575,0.21833,0.7376,0.72249,2.59874,6.99298,0.67973,0.07579,0.06985,-5.79484,-5.9461
"24","2017_Q4",61.6498412698413,"Up",218359000,-119273000,99086000,-25677000,-9074000,-16603000,73409000,-1038000,72371000,72371000,-7939000,64432000,64432000,64432000,64432000,533944000,533944000,125341000,125341000,132512000,70914000,10233000,862711000,13345000,5975000,4038000,1937000,19320000,882031000,54679000,53411000,1268000,29681000,29681000,99103000,210507000,29383000,26846000,239890000,338993000,543038000,543038000,882031000,64432000,1775000,910000,-76893000,-9776000,-2868000,-2868000,27500000,-93196000,109000,-93305000,-441000,-66137000,-78781000,-78781000,-78781000,75184000,225250000,3361999.99999999,0.45378,0.33618,0.29507,0.11865,0.07305,0.0521800000000001,8.7052,0.62425,0.25538,0.7891,0.77334,2.67426,6.65064,0.04117,0.08078,0.00421,-4.10585,-4.20512
"25","2018_Q1",68.7206557377049,"Up",228616000,-125437000,103179000,-31529000,-9915000,-21614000,71650000,-1430000,70220000,70220000,-9542000,60678000,60678000,60678000,60678000,604198000,604198000,140561000,140561000,142048000,65527000,9026000,952334000,12916000,7461000,5133000,2328000,20377000,972711000,50715000,49008000,1707000,33030000,33030000,98488000,241821000,30638000,30638000,272459000,370947000,601764000,601764000,972711000,60678000,1965000,7e+05,-17202000,46141000,-1528000,-1528000,31250000,-5401000,40000,-5440999.99999997,-208000,25641000,70254000,70254000,70254000,73615000,256564000,64427000,0.45132,0.31341,0.26541,0.10083,0.06238,1.06179,9.66954,0.61643,0.26376,0.75584,0.74044,2.84777,7.49591,0.80254,0.06826,0.07247,-4.72233,-4.85184
"26","2018_Q2",75.45328125,"Up",245868000,-134212000,111656000,-24593000,-7665000,-16928000,87063000,-1361000,85702000,85702000,-10777000,74925000,74925000,74925000,74925000,631810000,631810000,128589000,128589000,122263000,79996000,8039000,962658000,13946000,7139000,5133000,2006000,21085000,983743000,33327000,26319000,7008000,58857000,58857000,106927000,283135000,32470000,29783000,315605000,422532000,561211000,561211000,983743000,74925000,1591000,1779000,18625000,96920000,-2932000,-2932000,41250000,-107275000,722000,-107997000,-351000,-66376000,27612000,27612000,27612000,88654000,297878000,115124000,0.45413,0.3541,0.30474,0.13351,0.07616,1.53652,9.00295,0.75289,0.3028,0.93498,0.91654,3.06817,7.00332,1.43663,0.08404,0.12913,-3.76669,-3.83552
"27","2018_Q3",85.0274603174603,"Up",250811000,-153911000,96900000,-30820000,-10352000,-20468000,66080000,-2492000,63588000,63588000,-115047000,-51459000,-51459000,-51459000,-51459000,823776000,823776000,159153000,159153000,98893000,65818000,11295000,1147640000,15657000,5031000,2880000,2151000,20688000,1168328000,24535000,11947000,12588000,65600000,65600000,104878000,452950000,134470000,134470000,587420000,692298000,476030000,476030000,1168328000,-51459000,1824000,21914000,96467000,68746000,-3263000,-3263000,169750000,-43131000,127000,-43258000,-136000,126483000,191966000,191966000,191966000,67904000,467693000,276155000,0.38635,0.26347,-0.20517,-0.1081,-0.04404,-5.36651,10.94262,1.45432,0.40031,-0.66267,-0.66267,3.22985,6.13014,3.55622,-0.04773,0.25613,-5.24392,-5.38867
"28","2018_Q4",95.5895238095238,"Up",250404000,-135929000,114475000,-29606000,-12186000,-17420000,84869000,-4681000,80188000,80188000,22550000,102738000,102738000,102738000,102738000,690806000,690806000,158439000,158439000,92772000,77476000,16585000,1019493000,14791000,6536000,2833000,3703000,21327000,1040820000,71871000,71743000,128000,56180000,56180000,152476000,466453000,135982000,135982000,602435000,754911000,285909000,285909000,1040820000,102738000,1654000,-363000,15414000,119443000,-1123000,-1123000,20314000,-230359000,269000,-230628000,-41245000,-251290000,-132970000,-132970000,-132970000,86523000,490878000,78264000,0.45716,0.33893,0.41029,0.35934,0.09871,0.761780000000001,6.68625,2.64039,0.47163,1.33805,1.31795,3.26123,3.72365,1.0193,0.11256,0.08574,-2.31069,-2.35572
"29","2019_Q1",122.205245901639,"Up",269778000,-149237000,120541000,-32426000,-12918000,-19508000,88115000,-3451000,84664000,84664000,-14578000,70086000,70086000,70086000,70086000,666681000,666681000,174521000,174521000,102220000,57930000,18901000,1001352000,14328000,6897000,3106000,3791000,21225000,1022577000,19878000,14098000,5780000,68613000,68613000,112916000,460352000,133561000,133561000,593913000,706829000,315748000,315748000,1022577000,70086000,2241000,-477000,-24912000,46938000,-1797000,-1797000,-6250000,-62710000,421000,-63131000,-306000,-69266000,-24125000,-24125000,-24125000,90356000,484777000,78225000,0.44682,0.32662,0.25979,0.22197,0.06854,1.11613,8.86811,2.23859,0.47407,0.94526,0.92256,3.63852,4.25852,1.05503,0.07503,0.08374,-2.01319,-2.06439
"30","2019_Q2",140.493015873016,"Up",282905000,-151299000,131606000,-31988000,-13766000,-18222000,99618000,-2527000,97091000,97091000,-11388000,85703000,85703000,85703000,85703000,577078000,480812000,165294000,165294000,139926000,49448000,16403000,931746000,13471000,9835000,3106000,6729000,71751000,1003497000,67053000,43071000,23982000,60682000,60682000,152160000,454253000,126445000,126445000,580698000,732858000,270639000,270639000,1003497000,85703000,1794000,305000.000000001,6139000,93941000,-4035000,-148119000,-6250000,-106570000,194000,-106764000,-364999.999999993,-131691000,-185869000,-185869000,-185869000,101412000,478678000,114904000,0.4652,0.35213,0.30294,0.31667,0.0854,1.34072,6.12346,2.70788,0.47701,1.1617,1.15873,3.83475,3.66849,1.55751,0.11899,0.1312,-0.9703,-0.98777
"31","2019_Q3",117.49625,"Down",307276000,-167045000,140231000,-30574000,-10597000,-19977000,109657000,-3212000,106445000,88445000,-10649000,77796000,77796000,77796000,77796000,396823000,293334000,174327000,174327000,255778000,38989000,14236000,865917000,13243000,14856000,3106000,11750000,70395000,936312000,142978000,136454000,6524000,64694000,64694000,232097000,448154000,130725000,130725000,578879000,810976000,125336000,125336000,936312000,77796000,1756000,1818000,-30728000,50642000,-1575000,-7994000,-6250000,-206129000,186000,-206315000,-114000,-230126000,-187478000,-187478000,-187478000,111413000,472579000,89759000,0.45637,0.35687,0.25318,0.6207,0.08309,1.15377,3.73084,6.47042,0.50472,1.09227,1.08944,4.31422,1.75974,1.26024,0.13097,0.12319,0.67996,0.69085
"32","2019_Q4",157.18015625,"Up",284911000,-152081000,132830000,-30693000,-9352000,-21341000,102137000,-3447000,98690000,98690000,-10390000,88300000,88300000,88300000,88300000,371589000,310264000,159867000,159867000,279924000,49767000,22513000,861147000,13412000,15322000,3106000,12216000,69402000,930549000,106188000,91437000,14751000,37331000,37331000,171069000,438926000,132454000,132454000,571380000,742449000,188100000,188100000,930549000,88300000,1924000,5393000,-81946000,13671000,-2091000,42122000,-6250000,-14569000,430000,-14999000,-413000,-38863000.0000001,16930000,16930000,16930000,104061000,466476000,30414000,0.46622,0.35849,0.30992,0.46943,0.09489,0.34444,5.03392,3.9471,0.50129,1.25124,1.2483,4.03728,2.66544,0.43098,0.1346,0.03864,0.91184,0.92902
