"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2016_Q4",15.6003174603175,"Up",243100000,-148200000,94900000,-66300000,-4.3e+07,-23300000,28600000,-5600000,-5600000,0,2.3e+07,-2100000,20900000,0,20900000,-7600000,-7600000,-7600000,6e+07,6e+07,150900000,150900000,125900000,12100000,12100000,348900000,199700000,1033200000,917100000,33400000,1232900000,1581800000,129800000,73200000,56600000,5400000,5400000,141300000,68300000,40300000,413800000,555100000,1495600000,-379400000,-89500000,1026700000,1026700000,1581800000,-7600000,18900000,3500000,14800000,1300000,43900000,-45300000,-6e+05,-45900000,12800000,12800000,0,12800000,351600000,0.39037,0.11765,-0.03126,-0.0074,-0.0048,2.46921,0.54066,0.22228,-0.08566,-0.08463,2.74003,11.57213,-0.00525,10.1958
"12","2017_Q1",18.2809677419355,"Up",1.37e+08,-75900000,61100000,-35400000,-18600000,-16800000,25700000,-3500000,-5300000,1800000,22200000,5e+05,22700000,-4500000,18200000,19300000,19300000,19300000,63400000,63400000,126400000,126400000,90800000,10300000,10300000,290900000,172900000,1051200000,871600000,25700000,1224100000,1.515e+09,119300000,65500000,53800000,3200000,3200000,132200000,85900000,40600000,374400000,506600000,1500700000,-360200000,-132100000,1008400000,1008400000,1.515e+09,19300000,78100000,43900000,141300000,-38700000,-79300000,-55400000,0,-55400000,6600000,6600000,-4e+05,6200000,298200000,0.44599,0.18759,0.14088,0.01914,0.01274,2.20045,0.50238,0.19683,0.21745,0.21506,1.54353,11.36131,0.01386,9.13619000000001
"13","2017_Q2",17.987619047619,"Down",168300000,-1.09e+08,59300000,-57400000,-33400000,-2.4e+07,1900000,-6800000,-5200000,-1600000,-4900000,-6e+05,-5500000,5e+05,-5e+06,-3200000,-3200000,-3200000,63300000,63300000,131700000,131700000,117500000,11800000,11800000,324300000,1.95e+08,1.011e+09,906100000,26400000,1.206e+09,1530300000,126600000,72400000,54200000,7800000,7800000,147600000,68700000,4.3e+07,355300000,502900000,1506200000,-363400000,-115400000,1027400000,1027400000,1530300000,-3200000,8e+06,13100000,17900000,-17700000,-20200000,-4e+05,-3400000,-1e+06,-3300000,-3300000,4e+05,-2900000,299800000,0.35235,0.01129,-0.01901,-0.00311,-0.00209,2.19715,0.48949,0.19591,-0.03597,-0.03597,1.89157,11.54726,-0.00229,124.47368
"14","2017_Q3",15.3626984126984,"Down",164400000,-101200000,63200000,-58600000,-33900000,-24700000,4600000,-6200000,-5100000,-1100000,-1600000,-22600000,-24200000,-6700000,-30900000,-29700000,-29700000,-29700000,48600000,48600000,129700000,129700000,142700000,13800000,13800000,334800000,191500000,990200000,907800000,22500000,1181700000,1516500000,138100000,7.9e+07,59100000,5400000,5400000,156800000,6.5e+07,40800000,349800000,506600000,1511700000,-393100000,-108700000,1009900000,1009900000,1516500000,-29700000,30500000,2700000,3500000,-13600000,-13600000,-3900000,-1100000,-4700000,-14800000,-14800000,1e+05,-14700000,298100000,0.38443,0.02798,-0.18066,-0.02941,-0.01958,2.1352,0.50163,0.19657,-0.33235,-0.33235,1.83968,11.30104,-0.02163,54.23913
"15","2017_Q4",15.6279365079365,"Up",1.96e+08,-121900000,74100000,-53900000,-3.2e+07,-21900000,20200000,-4400000,-5100000,7e+05,15800000,-9e+05,14900000,-4400000,10500000,15700000,15700000,15700000,57700000,57700000,152400000,152400000,148300000,12700000,12700000,371100000,193800000,9.89e+08,907700000,23800000,1182800000,1553900000,137400000,75300000,62100000,4700000,4700000,155400000,63700000,41400000,361600000,5.17e+08,1517700000,-377400000,-103400000,1036900000,1036900000,1553900000,15700000,8e+06,-1.4e+07,9700000,-11600000,-11600000,10900000,-4e+05,10700000,8800000,8800000,3e+05,9100000,311200000,0.37806,0.10306,0.0801,0.01514,0.0101,2.38803,0.4986,0.20027,0.17547,0.17547,2.1906,11.58893,0.01112,12.5495
"16","2018_Q1",14.574262295082,"Down",215500000,-126100000,89400000,-50100000,-27300000,-22800000,39300000,-3100000,-5200000,2100000,36200000,-2e+06,34200000,-2300000,31900000,85500000,85500000,85500000,111700000,111700000,137700000,137700000,125600000,19900000,19900000,394900000,1.83e+08,971900000,884900000,31800000,1154900000,1549800000,1.45e+08,85600000,59400000,6600000,6600000,151600000,73500000,67900000,266100000,417700000,1.524e+09,-291900000,-1e+08,1132100000,1132100000,1549800000,85500000,44400000,5.5e+07,184900000,-8200000,-8200000,-1.21e+08,-1900000,-122900000,53800000,53800000,2e+05,5.4e+07,192600000,0.41485,0.18237,0.39675,0.07552,0.05517,2.60488,0.36896,0.12427,0.95521,0.90813,2.40758,12.64791,0.06115,2.05852
"17","2018_Q2",13.804375,"Down",178500000,-113200000,65300000,-60600000,-35800000,-24800000,4700000,-3900000,-4e+06,1e+05,8e+05,-4e+05,4e+05,-8e+05,-4e+05,-3e+05,-3e+05,-3e+05,62700000,62700000,125600000,125600000,1.44e+08,23900000,23900000,356200000,203400000,986700000,887800000,35400000,1190100000,1546300000,135400000,86700000,48700000,3800000,3800000,139200000,7.2e+07,69700000,266300000,405500000,1527800000,-292200000,-94800000,1140800000,1140800000,1546300000,-3e+05,5500000,-10700000,-5500000,-23500000,-40400000,-4e+05,-3400000,-3600000,-49500000,-49500000,5e+05,-4.9e+07,194300000,0.36583,0.02633,-0.00168,-0.00026,-0.00019,2.55891,0.35545,0.12565,-0.00334,-0.00334,1.98956,12.71535,-0.00021,28
"18","2018_Q3",16.8301587301587,"Up",188400000,-115200000,73200000,-62500000,-37100000,-25400000,10700000,-4400000,-4100000,-3e+05,6300000,-5e+05,5800000,-1400000,4400000,4600000.00000001,4600000.00000001,4600000.00000001,50800000,50800000,130100000,130100000,160600000,23300000,23300000,364800000,205100000,982800000,887900000,34700000,1187900000,1552700000,141200000,89900000,51300000,1200000,1200000,142400000,71600000,69700000,267700000,410100000,1534500000,-287600000,-104300000,1142600000,1142600000,1552700000,4600000,3700000,6500000,14800000,-24500000,-25100000,-5e+05,-9e+05,-1300000,-11600000,-11600000,-3e+05,-11900000,196100000,0.38854,0.05679,0.0244200000000001,0.00402999999999999,0.00296000000000001,2.5618,0.35892,0.1263,0.05107,0.05015,2.09173,12.68586,0.00326,13.57944
"19","2018_Q4",14.6501587301587,"Down",236200000,-146400000,89800000,-59700000,-34500000,-25200000,30100000,-4300000,-4e+06,-3e+05,25800000,-5e+05,25300000,-43100000,-17800000,-16200000,-16200000,-16200000,68600000,68600000,148400000,148400000,154100000,12200000,12200000,383300000,201300000,980500000,887900000,34100000,1181800000,1565100000,142900000,82700000,60200000,4600000,4600000,147500000,104800000,104600000,292700000,440200000,1540800000,-303800000,-112100000,1124900000,1124900000,1565100000,-16200000,5.6e+07,2e+05,4e+07,-1e+07,-10500000,-10400000,-1200000,-11400000,18100000,18100000,-3e+05,17800000,187900000,0.38019,0.12743,-0.06859,-0.0144,-0.01035,2.59864,0.39132,0.12006,-0.17965,-0.18299,2.61927,12.47427,-0.01143,3.96346
"20","2019_Q1",15.4709836065574,"Up",223800000,-129500000,94300000,-60300000,-35100000,-25200000,3.4e+07,-4100000,-3900000,-2e+05,29900000,-3e+05,29600000,49800000,79400000,79600000,79600000,79600000,73500000,73500000,140300000,140300000,140100000,11100000,11100000,3.65e+08,211700000,971200000,887900000,26600000,1182900000,1547900000,137500000,77200000,60300000,4300000,4300000,141800000,36400000,34300000,194500000,336300000,1546800000,-224200000,-1.11e+08,1211600000,1211600000,1547900000,79600000,-26100000,-56700000,49200000,-2.2e+07,-1.2e+07,-30400000,-1900000,-32300000,4900000,4900000,0,4900000,158100000,0.42136,0.15192,0.35567,0.0657,0.05142,2.57405,0.27757,0.10214,0.88214,0.83954,2.48018,13.4271,0.05661,2.48824
"21","2019_Q2",17.6407936507937,"Up",179800000,-111300000,68500000,-62300000,-37600000,-24700000,6200000,-4500000,-3500000,-1e+06,1700000,-1800000,-1e+05,-2600000,-2700000,-2700000,-2700000,-2700000,41300000,41300000,130500000,130500000,159300000,13800000,13800000,344900000,216100000,1.014e+09,891100000,64600000,1230100000,1.575e+09,114900000,71700000,43200000,12500000,12500000,127400000,61100000,5.9e+07,231100000,358500000,1549600000,-226900000,-106200000,1216500000,1216500000,1.575e+09,-2700000,3500000,-1.2e+07,-11200000,-15100000,-26500000,9600000,-5e+06,5300000,-32400000,-32400000,2e+05,-32200000,1.7e+08,0.38098,0.03448,-0.01502,-0.00222,-0.00171,2.70722,0.2947,0.10794,-0.02982,-0.02982,1.98597,13.43676,-0.00187,20.75806
"22","2019_Q3",19.6140625,"Up",205200000,-128800000,76400000,-63900000,-38900000,-2.5e+07,12500000,-3100000,-3600000,5e+05,9400000,-1e+05,9300000.00000001,-3400000,5900000,5899999.99999999,5899999.99999999,5899999.99999999,53600000,53600000,135800000,135800000,159700000,13800000,13800000,362900000,211900000,1.011e+09,891100000,63300000,1222900000,1585800000,113800000,65200000,48600000,13700000,13700000,127500000,59200000,57100000,231100000,358600000,1557100000,-2.21e+08,-108900000,1227200000,1227200000,1585800000,5899999.99999999,15800000,4e+05,22100000,-9400000,-9400000,-500000.000000007,-700000.000000001,-3e+05,12400000,12400000,-1e+05,12300000,171900000,0.37232,0.06092,0.02875,0.00481,0.00372,2.84627,0.29221,0.1084,0.06482,0.0628799999999999,2.25433,13.48203,0.00405,9.464
"23","2019_Q4",21.4803125,"Up",235900000,-142400000,93500000,-5.8e+07,-34600000,-23400000,35500000,-3200000,-3800000,6e+05,32300000,-1900000,30400000,-5e+06,25400000,25400000,25400000,25400000,69700000,69700000,162400000,162400000,151200000,1.1e+07,1.1e+07,394300000,207500000,1005700000,891100000,59800000,1213200000,1607500000,124300000,73900000,50400000,1.5e+07,1.5e+07,139300000,56100000,5.4e+07,210900000,350200000,1567500000,-195600000,-114600000,1257300000,1257300000,1607500000,25400000,6900000,7400000,39700000,-8100000,-8100000,-18100000,-2900000,-15300000,16300000,16300000,-2e+05,16100000,154800000,0.39635,0.15049,0.10767,0.0202,0.0158,2.83058,0.27853,0.0963,0.27788,0.27137,2.58081,13.75521,0.0173,2.39718
"24","2020_Q1",17.3775806451613,"Down",233900000,-142600000,91300000,-58300000,-34600000,-23700000,3.3e+07,-4100000,-3600000,-5e+05,28900000,-2200000,26700000,-5600000,21100000,20500000,20500000,20500000,78400000,78400000,159600000,159600000,141800000,8600000,8600000,388400000,206500000,1059700000,909900000,58100000,1266200000,1654600000,136300000,87700000,48600000,15200000,15200000,151500000,57800000,5.5e+07,214600000,366100000,1575600000,-175100000,-1.12e+08,1288500000,1288500000,1654600000,20500000,7900000,-9500000,73300000,-8600000,-66500000,0,-7e+05,1800000,8600000,8600000,1e+05,8700000,156800000,0.39034,0.14109,0.08764,0.01591,0.01239,2.5637,0.28413,0.09477,0.22365,0.21401,2.55185,14.05753,0.01364,2.37576
"25","2020_Q2",14.9107936507937,"Down",163100000,-106900000,56200000,-61900000,-36200000,-25700000,-5700000,-1e+06,-3700000,2700000,-6700000,-3900000,-10600000,-2200000,-12800000,-9100000,-9100000,-9100000,147800000,147800000,120600000,120600000,161200000,13400000,13400000,4.43e+08,198400000,1055400000,909900000,57100000,1253800000,1696800000,117700000,79500000,38200000,15200000,15200000,132900000,51300000,48500000,310100000,4.43e+08,1573700000,-184200000,-120700000,1253800000,1253800000,1696800000,-9100000,2400001,-10100000,-1499999,-7800000,-7800000,99500000,-5800000,78900000,69600001,69600001,-2e+05,69400001,258800000,0.34457,-0.03495,-0.05579,-0.00726,-0.00536,3.33333,0.35333,0.15252,-0.09913,-0.09913,1.77677,13.65855,-0.00582,-19.47368
"26","2020_Q3",15.1590625,"Up",152200000,-104400000,47800000,-53700000,-31100000,-22600000,-5900000,-6e+06,-4100000,-1900000,-11900000,-6500000,-18400000,-1100000,-19500000,-19500000,-19500000,-19500000,168300000,168300000,101600000,101600000,162500000,10600000,10600000,4.43e+08,192800000,1051900000,909900000,56800000,1244700000,1687700000,116200000,7.5e+07,41200000,15600000,15600000,231800000,51200000,48400000,212100000,443900000,1578900000,-203700000,-116400000,1243800000,1243800000,1687700000,-19500000,7999999,22800000,26499999,-6800000,-6800000,-400000.000000015,-2e+05,700000.000000015,20399999,20399999,99999.9999999999,20499999,260900000,0.31406,-0.03876,-0.12812,-0.01568,-0.01155,1.91113,0.35689,0.15459,-0.21277,-0.21277,1.66072,13.57165,-0.01253,-15.69492
"27","2020_Q4",16.71640625,"Up",205800000,-128300000,77500000,-53900000,-3.2e+07,-21900000,23600000,-5700000,-4700000,-1e+06,17900000,-1e+07,7900000,-2300000,5600000,5600000,5600000,5600000,139100000,139100000,125200000,125200000,160100000,10500000,10500000,434900000,188600000,1044200000,909900000,52400000,1232800000,1667700000,119500000,68900000,50600000,18500000,18500000,1.38e+08,52100000,49800000,265100000,403100000,1583700000,-198100000,-1.06e+08,1264600000,1264600000,1667700000,5600000,16900000,-10100000,27600000,-5700000,-5700000,-50500000,-1e+06,-51400000,-29500000,-29500000,3e+05,-29200000,2.13e+08,0.37658,0.11467,0.02721,0.00443,0.00336,3.15145,0.31876,0.12772,0.06108,0.06108,2.24476,13.7936,0.00366,3.13136
"28","2021_Q1",20.3524590163934,"Up",243200000,-151200000,9.2e+07,-54900000,-32200000,-22700000,37100000,-5200000,-3900000,-1300000,31900000,5e+05,32400000,-2800000,29600000,29600000,29600000,29600000,147800000,147800000,131400000,131400000,130100000,10300000,10300000,419600000,191500000,1043800000,9.1e+08,55100000,1235300000,1654900000,119300000,70300000,4.9e+07,12900000,12900000,297300000,54099999,51499999,54099999.0000001,351399999,1588700000,-168500000,-100500000,1303500000,1303500000,1654899999,29600000,10900000,20100000,75500000,-11300000,-14800000,-48600000,-2500000,-52100000,8600000,8600000,1e+05,8700000,165100000,0.37829,0.15255,0.12171,0.02271,0.01789,1.41137,0.26958,0.09976,0.32286,0.30702,2.65268,14.21779,0.01944,0.466310000000001
"29","2021_Q2",20.3793650793651,"Up",2.01e+08,-1.23e+08,7.8e+07,-59500000,-36200000,-23300000,18500000,-3100000,-4e+06,9e+05,15400000,-2e+05,15200000,-2700000,12500000,12500000,12500000,12500000,181600000,181600000,114700000,114700000,142300000,1.2e+07,1.2e+07,450600000,183600000,1041100000,9.1e+08,55700000,1224700000,1675300000,122700000,8.1e+07,41700000,12200000,12200000,302200000,49400000,47100000,49400000,351600000,1601600000,-1.56e+08,-105700000,1323700000,1323700000,1675300000,12500000,11600000,5e+05,39700000,-4900000,-7e+06,-6e+05,-6600000,1200000,33900000,33900000,-1e+05,33800000,167300000,0.38806,0.09204,0.06219,0.00944,0.00746,1.49107,0.26562,0.09986,0.13548,0.1316,2.17854,14.34692,0.00811,-0.77297
"30","2021_Q3",19.5571875,"Down",199800000,-116100000,83700000,-61300000,-36700000,-24600000,22400000,-3500000,-4100000,6e+05,18900000,-99999.9999999998,18800000,-1399999,17400001,17600001,17600001,17600001,94200000,94200000,116800000,116800000,162400000,11600000,11600000,3.85e+08,190200000,1106700000,941400000,59300000,1296900000,1681900000,121200000,72700000,48500000,11100000,11100000,301800000,4.8e+07,4.6e+07,4.8e+07,349800000,1611100000,-138400000,-104400000,1332100000,1332100000,1681900000,17600000,9600000,-21600000,21300000,-10700000,-90300000,-6e+05,0,-18500000,-87500000,-87500000,1e+05,-87400000,169500000,0.41892,0.11211,0.08809,0.01321,0.01046,1.27568,0.26259,0.10078,0.19076,0.1853,2.16553,14.43796,0.01136,3.36161
"31","2021_Q4",21.10828125,"Up",2.33e+08,-136100000,96900000,-58300000,-3.6e+07,-22300000,38600000,-2300000,-4200000,1900000,36300000,-4e+06,32300000,-4600000,27700000,27700000,27700000,27700000,1.4e+08,1.4e+08,129800000,129800000,155700000,9900000,9900000,435400000,190600000,1097200000,941300000,54200000,1287800000,1723200000,130400000,72900000,57500000,11300000,11300000,313500000,43600000,41600000,43600000,357100000,1621100000,-110700000,-108100000,1366100000,1366100000,1723200000,27700000,11300000,8e+05,55600000,-12200000,-12100000,-5e+05,-1e+06,2400000,45900000,45900000,-1e+05,45800000,171800000,0.41588,0.16567,0.11888,0.02028,0.01607,1.38884,0.2614,0.0997,0.30047,0.29423,2.52741,14.81842,0.01752,0.82383
"32","2022_Q1",21.8779032258065,"Up",234300000,-133400000,100900000,-60100000,-37500000,-22600000,40800000,-2300000,-1900000,-4e+05,38500000,-2e+05,38300000,54299999,92599999,92599999,92599999,92599999,68900000,68900000,146600000,146600000,153100000,11700000,11700000,380300000,200800000,1150500000,941300000,111900000,1351300000,1731600000,153100000,90900000,62200000,13100000,11400000,166200000,35900000,35300000,105900000,272100000,1640400000,-18100000,-100400000,1459500000,1459500000,1731600000,92600000,-49600000,6600000,65500000,-20200000,-20200000,-100800000,-2400000,-116500000,-71200000,-71200000,1e+05,-71099999.9999999,7e+07,0.43064,0.17414,0.39522,0.06345,0.05348,2.28821,0.18643,0.04043,1.00445,0.98361,2.54151,15.83155,0.05915,0.0269599999999998
