"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2018_Q1",10.3772131147541,"Up",3.21e+08,-3.37e+08,-2.12e+08,-5.2e+07,-7.3e+07,-1.6e+07,-8e+06,-7e+06,-1e+06,-2.4e+07,-1.808e+09,2.5e+08,-1.558e+09,-1.558e+09,1.189e+09,-3.69e+08,-3.69e+08,6.95e+08,6.95e+08,1.2e+08,1.2e+08,1.045e+09,1.65e+08,4.274e+09,1.654e+09,2.445e+09,1.75e+08,4.439e+09,5.484e+09,2.3e+08,6e+07,3.72e+08,7.04e+08,6.55e+08,3.32e+08,3.23e+08,1.359e+09,1.731e+09,2.5e+08,1.96e+08,-2.3e+07,4.23e+08,3.329e+09,3.752e+09,5.483e+09,-1.558e+09,5.2e+07,1.512e+09,12000000.0000001,1.8e+07,-1.4e+07,-5.4e+07,-3.5e+07,-3e+06,-3.7e+07,-7.3e+07,-7.3e+07,-7.3e+07,3.6e+07,7.11e+08,-2.16e+08,-0.04984,-1.14953,-0.09835,-0.06729,0.585369999999999,2.80914,0.46135,0.12965,-4.92,-4.92,4.28,5.64,-2.88,-0.07208,-0.0422,0.44444,-1
"15","2018_Q2",12.953125,"Up",3.78e+08,-3.69e+08,-2.43e+08,-3.9e+07,-8.7e+07,9e+06,-5e+06,-6e+06,1e+06,4e+06,-1.9e+07,-1.6e+07,-3.5e+07,-3.5e+07,4e+06,-3.1e+07,-3.1e+07,6.56e+08,6.56e+08,6.8e+07,6.8e+07,1.005e+09,1.62e+08,4.225e+09,1.644e+09,2.45e+09,1.31e+08,4.387e+09,5.392e+09,3.83e+08,1.01e+08,5.35e+08,4.77e+08,6.32e+08,3.33e+08,2.99e+08,1.109e+09,1.644e+09,2.4e+08,1.66e+08,-2e+07,3.86e+08,3.361e+09,3.747e+09,5.391e+09,-3.5e+07,3.9e+07,5.3e+07,1.16e+08,1.73e+08,-1.5e+07,2.8e+07,-2.3e+08,-1.2e+07,-2.46e+08,-4.5e+07,-4.5e+07,-3.9e+07,4.8e+07,4.84e+08,1.65e+08,0.02381,-0.08201,-0.00827,-0.00575,-5.32258,1.8785,0.43875,0.08976,-0.41333,-0.41333,5.04,5.14667,2.2,-0.00637,0.03392,-3.58333,-19.11111
"16","2018_Q3",15.8336507936508,"Up",4.33e+08,-3.99e+08,-2.66e+08,-4.1e+07,-9.2e+07,3.4e+07,-6e+06,-6e+06,0,2.8e+07,-14000000.0000002,-8e+06,-21999999.9999998,-21999999.9999998,-1.7e+07,-3.9e+07,-3.9e+07,6.85e+08,6.85e+08,7.5e+07,7.5e+07,1.06e+09,1.59e+08,4.174e+09,1.627e+09,2.45e+09,9.7e+07,4.333e+09,5.393e+09,4.73e+08,1.04e+08,8.45e+08,2.66e+08,6.36e+08,3.3e+08,3.06e+08,9.02e+08,1.747e+09,2.24e+08,1.27e+08,-2.5e+07,3.26e+08,3.319e+09,3.645e+09,5.392e+09,-21999999.9999998,4.1e+07,59000000.0000002,1.06e+08,1.84e+08,-1.6e+07,-3.3e+07,-8e+06,-3e+06,-1.07e+08,4.4e+07,4.4e+07,2.9e+07,7.5e+07,4.8e+08,1.73e+08,0.07852,-0.0900699999999998,-0.0107,-0.00723,-4.4359,1.25444,0.47929,0.089,-0.519999999999999,-0.52,5.77333,4.34667,2.30667,-0.00819000000000002,0.03633,-2.73333,-6.02941
"17","2018_Q4",16.0239682539683,"Up",4.58e+08,-3.82e+08,-2.49e+08,-3.8e+07,-9.5e+07,7.6e+07,-7e+06,-8e+06,1e+06,6.9e+07,7.8e+07,-2.1e+07,5.7e+07,5.7e+07,-4.3e+07,1.4e+07,1.4e+07,6.81e+08,6.81e+08,2.7e+07,2.7e+07,9.45e+08,1.56e+08,4.164e+09,1.602e+09,2.447e+09,1.15e+08,4.32e+09,5.265e+09,3.14e+08,7.3e+07,6.71e+08,2.67e+08,6.02e+08,3.25e+08,2.77e+08,8.69e+08,1.54e+09,2.31e+08,1.41e+08,-2.7e+07,3.45e+08,3.379e+09,3.724e+09,5.264e+09,5.7e+07,3.8e+07,3.7e+07,-1.19e+08,1.3e+07,-1.4e+07,-1.3e+07,0,-1e+06,-1e+06,-1e+06,-1e+06,-4e+06,1.14e+08,4.84e+08,2e+06,0.16594,0.03057,0.00376,0.00266,0.14286,1.40835,0.41353,0.09193,0.18667,0.18667,6.10667,4.6,0.02667,0.00291,0.00042,-1.72807,-2.59211
"18","2019_Q1",15.76,"Down",3.46e+08,-3.37e+08,-2.08e+08,-4.2e+07,-8.7e+07,9e+06,-3e+06,-6e+06,3e+06,6e+06,3e+06,-1.2e+07,-9e+06,-9e+06,999999.999999985,-8e+06,-8e+06,6.72e+08,6.72e+08,4.8e+07,4.8e+07,9.32e+08,1.54e+08,4.138e+09,1.577e+09,2.443e+09,1.18e+08,4.292e+09,5.224e+09,2.49e+08,6.3e+07,6.13e+08,2.67e+08,6.08e+08,3.25e+08,2.83e+08,8.75e+08,1.488e+09,2.31e+08,1.33e+08,-2.9e+07,3.35e+08,3.4e+09,3.735e+09,5.223e+09,-9e+06,4.2e+07,3.5e+07,-3.8e+07,3e+07,-1.6e+07,-3.1e+07,-1e+08,-4e+06,-4e+06,-5000000.00000001,-5000000.00000001,-9e+06,5.1e+07,4.87e+08,9e+06,0.02601,-0.02312,-0.00214,-0.00153,-1.125,1.52039,0.39839,0.09322,-0.11268,-0.11268,4.87324,4.71831,0.12676,-0.00166,0.00186,-3.62745,-20.55556
"19","2019_Q2",13.1134920634921,"Down",3.76e+08,-3.6e+08,-2.24e+08,-4.2e+07,-9.4e+07,1.6e+07,-1e+06,-5e+06,4e+06,1.5e+07,1.6e+07,-5e+06,1.1e+07,1.1e+07,-1.3e+07,-2e+06,-2e+06,7.87e+08,7.87e+08,7.7e+07,7.7e+07,1.1e+09,1.57e+08,4.197e+09,1.561e+09,2.441e+09,1.95e+08,4.354e+09,5.454e+09,4.05e+08,1.01e+08,7.54e+08,2.68e+08,6.69e+08,3.32e+08,3.37e+08,9.37e+08,1.691e+09,2.16e+08,1.32e+08,-2.9e+07,3.19e+08,3.443e+09,3.762e+09,5.453e+09,1.1e+07,4.2e+07,4.1e+07,8.7e+07,1.81e+08,-1.7e+07,-4.2e+07,-79848845.2159844,-2.4e+07,-2.4e+07,1.15e+08,1.15e+08,1.15e+08,5.8e+07,4.9e+08,1.33e+08,0.04255,-0.00532,-0.00053,-0.00037,-66.5,1.45889,0.44949,0.08984,-0.02667,-0.02667,5.01333,4.25333,1.77333,-0.00041,0.02702,-5.12069,-18.5625
"20","2019_Q3",10.43140625,"Down",4.22e+08,-3.71e+08,-2.28e+08,-4.1e+07,-1.02e+08,5.1e+07,-2e+06,-6e+06,4e+06,4.9e+07,5.4e+07,-3.1e+07,2.3e+07,2.3e+07,-2e+07,3e+06,3e+06,9.15e+08,9.15e+08,1.27e+08,1.27e+08,1.312e+09,1.56e+08,4.165e+09,1.547e+09,2.441e+09,1.77e+08,4.321e+09,5.633e+09,6.41e+08,9.8e+07,9.1e+08,2.24e+08,6.81e+08,3.38e+08,3.43e+08,9.05e+08,1.815e+09,2.15e+08,1.35e+08,-3e+07,3.2e+08,3.497e+09,3.817e+09,5.632e+09,2.3e+07,4.1e+07,3e+07,7.2e+07,1.66e+08,-2.1e+07,-4.5e+07,1.4e+07,-5e+06,9000000.00000001,1.3e+08,1.3e+08,1.28e+08,9.2e+07,4.93e+08,1.74e+08,0.12085,0.00711,0.00079,0.00053,58,1.44176,0.4755,0.08752,0.04,0.04,5.62667,4.26667,2.32,6e-04,0.03486,-4.58696,-8.27451
"21","2019_Q4",8.04703125,"Down",4.27e+08,-3.72e+08,-2.3e+08,-4.2e+07,-1e+08,5.5e+07,2e+07,-5e+06,2.5e+07,7.5e+07,6.9e+07,-2.1e+07,4.8e+07,4.8e+07,-3.2e+07,1.6e+07,1.6e+07,8.49e+08,8.49e+08,1.68e+08,1.68e+08,1.235e+09,1.56e+08,4.14e+09,1.524e+09,2.433e+09,1.83e+08,4.296e+09,5.531e+09,4.73e+08,7.2e+07,7.43e+08,2.27e+08,6.74e+08,3.31e+08,3.43e+08,9.01e+08,1.644e+09,2.23e+08,1.51e+08,-3.3e+07,3.41e+08,3.545e+09,3.886e+09,5.53e+09,4.8e+07,4.2e+07,2e+07,-1.12e+08,-2e+06,-2.2e+07,-5.3e+07,0,-2e+06,-2e+06,-5.7e+07,-5.7e+07,-6.6e+07,9.7e+07,4.97e+08,-1.6e+07,0.12881,0.03747,0.00412,0.00289,-1,1.66218,0.42306,0.08986,0.21333,0.21333,5.69333,4.54667,-0.21333,0.00316,-0.00316,-3.62887,-6.4
"22","2020_Q1",5.01435483870968,"Down",3.35e+08,-3.27e+08,-1.92e+08,-4.4e+07,-9.1e+07,8e+06,-2.6e+07,-6e+06,-2e+07,-1.8e+07,-2.71e+08,7.3e+07,-1.98e+08,-1.98e+08,1.59e+08,-3.9e+07,-3.9e+07,3.41e+08,3.41e+08,3.3e+07,2.9e+07,5.57e+08,1.55e+08,4.014e+09,1.257e+09,2.527e+09,2.3e+08,4.169e+09,4.726e+09,2.32e+08,2.32e+08,4.37e+08,3.53e+08,6.35e+08,2.54e+08,3.81e+08,9.88e+08,1.425e+09,2.38e+08,1.11e+08,-2.9e+07,3.2e+08,2.981e+09,3.301e+09,4.726e+09,-1.98e+08,4.4e+07,1.95e+08,5000000.00000001,4.6e+07,-2.3e+07,-3.6e+07,-1.38e+08,-7e+06,-5.25e+08,-5.15e+08,-5.15e+08,-5.08e+08,5.2e+07,3.53e+08,-3.9e+07,0.02388,-0.11642,-0.01181,-0.00825,1,1.2746,0.43169,0.07469,-0.52,-0.52,4.46667,4.26667,-0.52,0.07951,-0.00909,0.230770000000001,1.5
"23","2020_Q2",2.27920634920635,"Down",2.78e+08,-3.13e+08,-1.82e+08,-4.3e+07,-8.8e+07,-3.5e+07,-1e+07,-7e+06,-3e+06,-4.5e+07,-5.2e+07,1.4e+07,-3.8e+07,-3.8e+07,1.9e+07,-1.9e+07,-2.5e+07,8.12e+08,8.12e+08,5.6e+07,5.6e+07,1.027e+09,1.49e+08,3.971e+09,1.232e+09,2.513e+09,2.26e+08,4.12e+09,5.147e+09,3.16e+08,6e+07,3.16e+08,7.4e+08,6.32e+08,2.59e+08,3.73e+08,1.372e+09,1.688e+09,2.42e+08,8.5e+07,-3.5e+07,6.2e+08,2.838e+09,3.458e+09,5.146e+09,-3.8e+07,4.3e+07,3.3e+07,-1.2e+08,-8.2e+07,-2e+07,-2e+07,3.88e+08,3.01e+08,5.74e+08,4.72e+08,4.72e+08,4.71e+08,8e+06,7.4e+08,-1.46e+08,-0.1259,-0.08993,-0.00723,-0.00486,5.84,3.25,0.48814,0.14377,-0.33333,-0.33333,3.70667,3.89333,-1.94667,-0.00517,-0.03022,-9,2.05714
