"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",13.3562903225806,"Up",230873000,-189186000,41687000,-15966000,-11702000,-4264000,25721000,-8521000,-8962000,441000,17200000,17200000,-5714000,11486000,11486000,11486000,7788000,326655000,326655000,37626000,37626000,118368000,36859000,36859000,519508000,801039000,101392000,51246000,50146000,902431000,1421939000,103605000,36379000,67226000,9593000,13781000,13781000,126979000,773689000,309522000,161729000,147793000,1083211000,1210190000,242835000,78977000,-110080000,211749000,211749000,1421939000,11486000,24241000,17945000,-2647000,51025000,-30245000,-30245000,-4200000,387000,387000,-13791000,6989000,6989000,6989000,49962000,783282000,22784000,0.18056,0.11141,0.03373,0.03678,0.00548,2.92553,4.09129,5.71521,0.55085,0.18401,0.14291,5.45494,5.00268,0.53833,0.0133,0.01746,9.13949,17.75308
"12","2017_Q2",13.6525396825397,"Up",201415000,-164046000,37369000,-10288000,-9363000,-925000,27081000,-8347000,-8828000,481000,18734000,17618000,-7976000,9642000,9642000,9642000,6466000,345108000,345108000,50582000,50582000,121595000,29775000,29775000,547060000,787367000,94446000,45001000,49445000,881813000,1428873000,103785000,43738000,53631000,10296000,20625000,20625000,134706000,771169000,307491000,160563000,146928000,1078660000,1213366000,244967000,78573000,-108050000,215507000,215507000,1428873000,9642000,21533000,10632000,-4061000,37746000,-13537000,-13537000,-2165000,-141000,-141000,-5755999.99999999,18453000,18453000,18453000,48614000,781465000,38992000,0.18553,0.13445,0.0321,0.03,0.00453,6.03031,4.06114,5.63029,0.54691,0.15269,0.15004,4.75617,5.08853,0.92075,0.0076,0.02989,8.97595,16.11303
"13","2017_Q3",13.6873015873016,"Up",201226000,-166930000,34296000,-19826000,-18300000,-1526000,14470000,-8555000,-9209000,654000,5915000,6861000,-2288000,4573000,4573000,4573000,1133000,368698000,368698000,39223000,39223000,113625000,48896000,48896000,570442000,786652000,91416000,42656000,48760000,878068000,1448510000,118017000,57883000,57164000,13100000,21233000,21233000,152350000,768645000,305821000,159262000,146559000,1074466000,1226816000,247700000,79996000,-106019000,221694000,221694000,1448510000,4573000,20965000,5493000,17879000,48910000,-18832000,-18832000,-66000,-6000,-6000,-6488000,23590000,23590000,23590000,35435000,781745000,36770000,0.17044,0.07191,0.00563,0.00511,0.00078,32.45366,3.74429,5.53383,0.53969,0.02673,0.02621,4.74729,5.22976,0.86747,0.00577,0.02808,11.65647,28.54506
"14","2017_Q4",16.2173015873016,"Up",209717000,-177597000,32120000,-13346000,-12475000,-871000,18774000,-8350000,-9337000,987000,10424000,23394000,-7722000,15672000,15672000,15672000,12231000,379179000,379179000,42870000,42870000,106572000,61115000,61115000,589736000,775035000,77829000,29394000,48435000,852864000,1442600000,112502000,45229000,64303000,267028000,24092000,24092000,403622000,512893000,291825000,147871000,143954000,804718000,1208340000,249171000,89059000,-103987000,234260000,234260000,1442600000,15672000,21386000,-7454999.99999999,1365000,30968000,-11706000,-11706000,-2167000,-6000,-6000,-8781000,10481000,10481000,10481000,40160000,779921000,37541000,0.15316,0.08952,0.05832,0.05221,0.00848,3.06933,1.46111,5.15811,0.54064,0.28828,0.21828,4.94296,5.52103,0.88483,0.01442,0.02874,9.97864,21.34558
"15","2018_Q1",18.957868852459,"Up",348975000,-313515000,35460000,-38769000,-39878000,1109000,-3309000,-11404000,-13073000,1669000,-14713000,296822000,-1745000,295077000,295077000,295077000,291334000,96235000,96235000,181298000,181298000,302086000,66918000,66918000,646537000,1407762000,588312000,402846000,125597000,1996074000,2642611000,284965000,157925000,127040000,9425000,13181000,13181000,307571000,1232179000,409105000,212810000,163688000,1641284000,1948855000,392870000,377020000,-76151000,693756000,693756000,2642611000,295077000,33079000,-285060000,-30948000,12148000,-30967000,-233351000,-45560000,167000,153000,-62594000,-283797000,-283797000,-282944000,29770000,1241604000,-30400000,0.10161,-0.00948,0.83483,0.41994,0.11024,-0.10435,2.10207,2.80914,0.46984,6.26467,3.58542,7.50414,14.91774,-0.6537,0.12854,-0.01297,38.47393,-346.1375
"16","2018_Q2",18.70984375,"Down",521992000,-441640000,80352000,-34095000,-23192000,-10903000,46257000,-14152000,-14994000,842000,32105000,34298999.9999999,-9844000,24454999.9999999,24455000,24455000,21052000,89076000,89076000,180270000,180270000,358149000,77415000,77415000,704910000,1408984000,580155000,392638000,129800000,1989139000,2694049000,317428000,194389000,123039000,11274000,13453000,13453000,342155000,1226381000,403519000,208278000,161967000,1629900000,1972055000,392421000,394289000,-64733000,721994000,721994000,2694049000,24454999.9999999,36742000,7737000,-36418000,32516000,-29002000,-29002000,-1661000.00000001,-2929000,-3050000,-11978000,-8464000,-8464000,-7159000.00000006,82999000,1237655000,27423000,0.15393,0.08862,0.0403299999999999,0.0291600000000001,0.00781,1.30263,2.06021,2.7314,0.4594,0.411749999999998,0.329049999999999,10.20957,14.12105,0.53636,0.01203,0.0116,13.83847,24.83038
"17","2018_Q3",19.1679365079365,"Up",541719000,-440240000,101479000,-35256000,-24734000,-10522000,66223000,-10605000,-15169000,4564000,55618000,72478000,-19089000,53389000,53389000,53389000,49949000,79809000,79809000,189362000,189362000,327339000,99802000,99802000,696312000,1398236000,575901000,388956000,130980000,1974137000,2670449000,299099000,183614000,115485000,9553000,12817000,12817000,321469000,1214560000,395481000,203292000,161214000,1610041000,1931510000,395838000,429753000,-86669000,738939000,738939000,2670449000,53389000,33791000,4200000,-34671000,56709000,-34619000,-34619000,-10707000,-11258000,-11479000,-28976000,-6886000,-6886000,-9267000,100014000,1224113000,49813000,0.18733,0.12225,0.0922,0.0676,0.0187,0.99728,2.16603,2.6139,0.45839,0.97086,0.78014,10.52936,14.36238,0.96821,0.02415,0.02112,11.44144,17.27956
"18","2018_Q4",13.3211111111111,"Down",544340000,-448427000,95913000,-39763000,-31001000,-8762000,56150000,-15367000,-14974000,-393000,40783000,49118000,-11181000,37937000,37937000,37937000,34496000,105976000,105976000,197931000,197931000,332058000,87074000,87074000,723039000,1378379000,566352000,377047000,135093000,1944731000,2667770000,284258000,147992000,136266000,12425000,14534000,14534000,311217000,1191979000,387718000,201460000,157536000,1579697000,1890914000,399370000,457628000,-80159000,776856000,776856000,2667770000,37937000,36988000,5004000,-8792000,71137000,-12827000,-12822000,-21773000,-3145000,-3255000,-31899000,26416000,26416000,26167000,93138000,1204404000,82700000,0.1762,0.10315,0.06337,0.0444,0.01293,2.39738,2.32326,2.43406,0.45146,0.68169,0.54543,10.75696,15.35149,1.63427,0.01751,0.03491,11.79355,19.56239
"19","2019_Q1",13.344262295082,"Up",348943000,-335540000,13403000,-34218000,-26062000,-8156000,-20815000,-10780000,-10786000,6000,-31595000,-29404000,13074000,-16330000,12635000,12635000,9119000,108966000,108966000,222377000,222377000,321377000,63372000,63372000,716092000,1381039000,581955000,406957000,122538000,1962994000,2679086000,344096000,192740000,151356000,15012000,11310000,11310000,370418000,1173157000,428640000,238958000,161666000,1601797000,1972215000,399983000,462568000,-155697000,706871000,706871000,2679086000,-16330000,38436000,-7779000,47388000,86582000,-52338000,-39523000,-11129000,-24997000,-24996000,-43604000,3455000,3455000,2990000,17621000,1188169000,-403000,0.03841,-0.05965,0.02613,0.0129,0.0034,-0.04419,1.9332,2.79006,0.4435,0.18523,0.12964,7.08798,14.35812,-0.00819,0.00714,-0.00017,61.24528,-51.84737
"20","2019_Q2",10.315873015873,"Down",482780000,-465585000,17195000,-35664000,-28560000,-7104000,-18469000,-14123000,-14774000,651000,-32592000,-31125000,9075000,-22050000,-22050000,-22050000,-25415000,67991000,67991000,201734000,201734000,346831000,68337000,68337000,684893000,1365826000,604692000,413211000,140773000,1970518000,2655411000,302219000,167861000,134358000,15263000,11368000,11368000,328850000,1207667000,438803000,238805000,172507000,1646470000,1975320000,398104000,433256000,-151286000,680091000,680091000,2655411000,-22050000,36358000,-4246000,-36936000,-26874000,-31378000,-31378000,32660000,-5810000,-5810000,18305000,-39947000,-39947000,-40975000,17889000,1222930000,-59500000,0.03562,-0.03826,-0.05264,-0.03737,-0.00957,2.34114,2.08269,2.90449,0.46054,-0.51882,-0.51882,9.85541,13.88295,-1.21463,-0.0072,-0.02541,64.56141,-62.53392
"21","2019_Q3",4.27109375,"Down",487817000,-462370000,25447000,-33742000,-20904000,-12838000,-8295000,-16350000,-15600000,-750000,-24645000,-23469000,8552000,-14917000,-14917000,-14917000,-18357000,90104000,90104000,180014000,180014000,298902000,90623000,90623000,659643000,1370307000,620560000,420105000,151500000,1990867000,2650510000,297144000,182458000,114686000,21633000,11483000,11483000,330260000,1215059000,438625000,238387000,174167000,1653684000,1983944000,397613000,411306000,-142370000,666566000,666566000,2650510000,-14917000,35998000,-8588000,32677000,45170000,-28519000,-28519000,11778000,-16000,-16000,4839000,21490000,21490000,22113000,27703000,1236692000,23309000,0.05217,-0.017,-0.03763,-0.02754,-0.00693,-1.26976,1.99734,2.97637,0.46659,-0.37026,-0.37026,9.83927,13.4443,0.47014,-0.00488,0.00995,41.38859,-138.2264
"22","2019_Q4",4.0825,"Down",336825000,-337262000,-437000.000000007,-21402000,-22562000,1160000,-21839000,-8784000,-12224000,3440000,-30623000,-32833000,8186000,-24647000,-14216000,-14216000,-15993000,62762000,62762000,162107000,162107000,291425000,156126000,71828000,672420000,1327052000,597222000,393224000,156795000,1924274000,2596694000,261395000,144677000,116718000,21357000,30219000,11445000,312971000,1212432000,432283000,231388000,177053000,1644715000,1957686000,399866000,393640000,-154498000,639008000,639008000,2596694000,-24647000,39339000,-2878000,-25489000,5762000,-20909000,-23515000,-1740000.00000001,-3999.99999999988,-4000.00000000012,-5194999.99999999,-22948000,-22948000,-27342000,17500000,1233789000,-37084000,-0.00129999999999999,-0.06484,-0.04748,-0.02503,-0.00616,2.31876,2.14851,3.06363,0.47514,-0.28476,-0.28476,5.99722,11.37763,-0.66029,-0.00544,-0.01609,66.91583,-53.62091
"23","2020_Q1",2.60709677419355,"Down",123526000,-112266000,11260000,-11931000,-8749000,-3182000,-671000,-12569000,-9403000,-3166000,-13240000,-16906000,-5427000,-22333000,28733000,28733000,28733000,64025000,64025000,181658000,181658000,251180000,76964000,60846000,573827000,1316055000,590265000,384513000,160301000,1906320000,2480147000,255359000,153181000,102178000,19448000,11339000,11339000,286146000,1062695000,448508000,236625000,187036000,1511203000,1797349000,399652000,422373000,-139227000,682798000,682798000,2480147000,-22333000,30457000,39119000,6563000,17846000,-7064000,135914000,-151871000,-1048000,-1048000,-156433000,-2673000,-2673000,1263000,29786000,1082143000,34712000,0.09115,-0.00543,0.23261,0.04208,0.01159,1.20809,2.00536,2.63233,0.43632,0.45378,0.45378,1.95085,10.78345,0.54821,0.01298,0.01568,34.18109,-1517.31446
"24","2020_Q2",1.91730158730159,"Down",409808000,-399347000,10461000,-28266000,-20247000,-8019000,-17805000,-14802000,-15225000,423000,-32607000,-26457000,1622000,-24835000,-24127000,-24127000,-24127000,42672000,42672000,190483000,190483000,275446000,83110000,83110000,591711000,1283874000,575259000,371373000,160188000,1859133000,2450844000,290030000,144005000,146025000,11982000,11200000,11200000,313212000,1063421000,434593000,223375000,187445000,1498014000,1811226000,401157000,398246000,-159785000,639618000,639618000,2450844000,-24835000,37842000,17700000,-43657000,-12746000,-12582000,-12582000,5806000,-438000,-438000,5368000,-19960000,-19960000,-21353000,20037000,1075403000,-37824000,0.02553,-0.04345,-0.05887,-0.03772,-0.00984,1.5677,1.88917,2.83173,0.43879,-0.38307,-0.38307,6.50667,10.15545,-0.60055,-0.01122,-0.0176,51.5412,-58.0023000000001
"25","2020_Q3",3.22375,"Up",238837000,-218480000,20357000,-16037000,-18821000,2784000,4320000,-12576000,-11590000,-986000,-8256000,-13855000,17197000,3342000,-12863000,-12863000,-12863000,48739000,48739000,173427000,173427000,249383000,123624000,69954000,595173000,1267288000,582831000,380146000,160739000,1850119000,2445292000,279985000,157656000,122329000,14399000,11109000,11109000,305493000,1061251000,429822000,221432000,186083000,1491073000,1796566000,404370000,385383000,-141027000,648726000,648726000,2445292000,3342000,29393000,-7385000,10194000,23817000,-6587000,-10015000,-5604000,0,0,-8982000,4820000,4820000,6067000,33713000,1075650000,20123000,0.08523,0.01809,-0.05386,-0.01983,-0.00526,-1.56441,1.94824,2.76938,0.43989,-0.2034,-0.2034,3.77671,10.25826,0.3182,-0.00597,0.00934,30.46039,237.71088
"26","2020_Q4",5.30078125,"Up",323483000,-301914000,21569000,-21600000,-18321000,-3279000,-30999.9999999963,-16439000,-13739000,-2700000,-16470000,-15649000,28271000,12622000,28860000,28860000,28860000,82889000,82889000,161662000,161662000,256999000,139574000,81524000,641124000,1263125000,586194000,370561000,175440000,1849319000,2490443000,273887000,151609000,122278000,15640000,11141000,11141000,300668000,1061903000,427728000,218703000,186130000,1489631000,1790299000,406034000,414243000,-120133000,700144000,700144000,2490443000,12622000,34050000,18879000,-31533000,52004000,-16247000,-20222000,1475999.99999999,-18000,-18000,1458000,33240000,33240000,34150000,34019000,1077543000,-42032000,0.06668,-9.99999999999925e-05,0.08922,0.04122,0.01159,-1.45641,2.13233,2.55704,0.43267,0.45583,0.45583,5.10927,11.05847,-0.66388,0.01309,-0.01906,29.23819,-32085.6129
"27","2021_Q1",8.60081967213115,"Up",371706000,-360664000,11042000,-22214000,-20553000,-1661000,-11172000,-18764000,-14963000,-3801000,-29936000,-42267000,13800000,-29198000,8685000,8685000,8685000,93653000,93653000,179208000,179208000,170647000,190064000,58845000,633572000,1177791000,718502000,382959000,156399000,1896293000,2529865000,266436000,156721000,109715000,17100000,9464000,9464000,2.93e+08,1066837000,474942000,249847000,188819000,1541779000,1834779000,405794000,422928000,-133635000,695087000,695087000,2529866000,-29198000,37086000,1038000,-11253000,61395000,-26452000,-35002000,-1838000,-1000,-1000,-17234000,9159000,9159000,10764000,25914000,1083937000,-25591000,0.02971,-0.03006,0.02337,0.01249,0.00343,-2.94657,2.16236,2.63964,0.42846,0.13692,0.13692,5.86012,10.95837,-0.40345,0.00385,-0.01135,38.21425,-88.63981
"28","2021_Q2",8.14746031746032,"Down",318678000,-298254000,20424000,-20896000,-15840000,-5056000,-471999.999999998,-16144000,-15349000,-795000,-16616000,-15808000,-93000,-16210000,-27027000,-27027000,-27027000,106750000,106750000,182639000,182639000,295544000,114457000,61148000,699390000,1249390000,566495000,330012000,199794000,1815885000,2515275000,283707000,145857000,137850000,17446000,8694000,8694000,309847000,1065163000,481511000,258195000,193180000,1546674000,1856521000,403722000,395901000,-140869000,658754000,658754000,2515275000,-16210000,33316000,13999.9999999944,5318000,38215000,-16094000,-20512000,-2069000,-1420000,-1420000,-3489000,14214000,14214000,13097000,32844000,1082609000,22161000,0.06409,-0.00148,-0.08481,-0.04103,-0.01075,-0.81996,2.25721,2.81823,0.43041,-0.42609,-0.42609,5.02404,10.38543,0.34937,-0.01216,0.00997,29.71194,-2067.49788
"29","2021_Q3",6.8815625,"Down",341019000,-318740000,22279000,-18171000,-18235000,64000,4108000,-17408000,-16470000,-938000,-13300000,-16099000,24657000,8297000,122228000,122228000,122228000,214739000,214739000,187882000,187882000,195171000,362810000,68504000,960602000,1161012000,526688000,342749000,149002000,1687700000,2648302000,294655000,157166000,137489000,17013000,22625000,8712000,334293000,1063739000,463429000,246681000,192926000,1527168000,1861461000,404757000,518129000,-136045000,786841000,786841000,2648302000,8297000,32412000,-16618000,-743000,148204000,-30954000,-36307000,-2582000,-3000,-3000,-4330000,107567000,107567000,107989000,36520000,1080752000,-19834000,0.06533,0.01205,0.35842,0.15534,0.04615,-0.16227,2.87353,2.36574,0.40809,1.92696,1.92696,5.37625,12.40475,-0.31269,0.05244,-0.00851,23.71339,210.81134
"30","2021_Q4",6.50140625,"Down",374014000,-354678000,19336000,-19825000,-17473000,-2352000,-489000,-11757000,-17185000,2113000,-12246000,-17072000,4100999.99999999,-13394000,-4758000.00000006,-4758000.00000006,-4758000,313360000,279156000,203932000,203932000,206209000,83076000,54155000,806577000,1133277000,534683000,340736000,160763000,1667960000,2474537000,282007000,143889000,138118000,22482000,8685000,8685000,313174000,924040000,452079000,239733000,190543000,1376119000,1689293000,405991000,513371000,-134118000,785244000,785244000,2474537000,-13395000,35556000,3146000,-26424000,20480000,-13981000,174338000,-131012000,1000,1000,-129902000,64916000,64916000,65611000,35067000,946522000,-9438999.99999999,0.0517,-0.00131,-0.01272,-0.00606000000000001,-0.00192,1.98382,2.57549,2.1513,0.3825,-0.0748,-0.0747999999999995,5.87973,12.34453,-0.14839,-0.00218,-0.00432,18.05578,-1294.80982
