"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",13.5944444444444,"Down",189904000,-79862000,110042000,-74839000,-49655000,-3366000,-21818000,35203000,-16950000,-17012000,62000,18253000,18253000,-6380000,11873000,11873000,11873000,11873000,46209000,46209000,46209000,44329000,911331000,4865000,267012000,639454000,955660000,1001869000,62799000,62799000,62799000,638749000,25753000,25753000,0,664502000,727301000,23753000,261180000,-9069000,274568000,274568000,1001869000,11873000,11873000,3366000,78030000,-27076000,66193000,-333442000,213628000,-122959000,6539000,4606000,-52160000,-52160000,2365000,-49795000,38569000,638749000,0.57946,0.18537,0.06252,0.04324,0.01185,0.73582,2.64889,0.63756,0.35386,0.34793,5.65982,8.18311,0.01264,15.36312,16.83209
"12","2017_Q4",14.6809523809524,"Up",217878000,-107341000,110537000,-82860000,-52164000,-3533000,-27163000,27677000,-18227000,-18292000,65000,9450000,-5477000,2109000,-3368000,-3368000,-3368000,-3368000,110054000,110054000,110054000,46557000,983167000,4593000,267015000,711559000,1029724000,1139778000,78897000,78897000,78897000,765395000,20681000,20681000,0,786076000,864973000,26749000,257812000,-7017000,274805000,274805000,1139778000,-3368000,-3368000,3533000,106741000,18333000,125239000,-390901000,230089000,-166315000,118211000,109001000,67925000,67925000,-850000,67075000,31210000,765395000,0.50733,0.12703,-0.01546,-0.01226,-0.00295,1.39491,3.14759,0.67153,-0.10003,-0.10003,6.47098,8.16172,-0.00317,20.99779,23.67818
"13","2018_Q1",20.1188524590164,"Up",243696000,-127545000,116151000,-82689000,-56054000,-3992000,-22643000,33462000,-21447000,-21477000,30000,12015000,4047000,2836000,6883000,6883000,6883000,6883000,68684000,68684000,68684000,48525000,1042251000,4325000,267015000,770911000,1090776000,1159460000,77123000,77123000,77123000,788542000,12108000,12108000,0,800650000,877773000,29781000,264695000,-7086000,281687000,281687000,1159460000,6883000,6883000,3992000,126133000,-1132000,135876000,-421066000,237087000,-189703000,19515000,11481000,-42346000,-42346000,570000,-41776000,37454000,788542000,0.47662,0.13731,0.02824,0.02443,0.00594,0.89058,3.11613,0.68009,0.20548,0.19837,7.27516,8.40932,0.00636,19.21979,21.5127
"14","2018_Q2",30.41875,"Up",254298000,-108553000,145745000,-84033000,-54657000,-3838000,-25538000,61712000,-21761000,-19673000,-2088000,39951000,35241000,-7343000,27898000,27898000,27898000,27898000,69900000,69900000,69900000,47698000,1040602000,4058000,267013000,769531000,1088300000,1158200000,70473000,70473000,70473000,754650000,17344000,17087000,257000,771994000,842467000,32671000,294215000,-4322000,315733000,315733000,1158200000,27898000,27898000,3838000,123026000,-1760000,153002000,-378099000,270042000,-111406000,-39937000,-40608000,988000,988000,5533000,6520999.99999997,65550000,754650000,0.57313,0.24268,0.10971,0.08836,0.02409,0.99187,2.66829,0.65157,0.8286,0.80695,7.55288,9.37756,0.02565,10.44622,11.0959
"15","2018_Q3",34.065873015873,"Up",253301000,-121494000,131807000,-88713000,-57681000,-3837000,-27195000,43094000,-19559000,-19355000,-204000,23535000,23535000,-5310000,18225000,18225000,18225000,18225000,47414000,47414000,47414000,47752000,1088038000,3790000,267013000,817235000,1135790000,1183204000,72406000,72406000,72406000,762831000,14322000,14322000,0,777153000,849559000,39335000,312440000,-10905000,333645000,333645000,1183204000,18225000,18225000,3837000,119638000,1014000,142714000,-408689000,240238000,-172167000,3933000,7009000.00000001,-22444000,-22444000,-5944000,-28388000,46931000,762831000,0.52036,0.17013,0.07195,0.05462,0.0154,0.65484,2.5463,0.64472,0.53628,0.51525,7.45354,9.81771,0.01641,15.24402,16.60131
"16","2018_Q4",22.7746031746032,"Down",293879000,-163763000,130116000,-92319000,-60371000,-3688000,-28260000,37797000,-20217000,-20244000,26999.9999999998,17580000,5111000,10193000,15304000,15304000,15304000,15304000,164122000,164122000,164122000,48514000,1213632000,3523000,267013000,943096000,1262146000,1426268000,76188000,76188000,76188000,951091000,46321000,46321000,4.65661287307739e-10,997412000,1073600000,44657000,327744000,-12468000,352668000,352668000,1426268000,15304000,15304000,3688000,191484000,-38032000,172444000,-491170000,261833000,-233575000,181229000,174833000,113702000,113702000,-4960000,108742000,41485000,951091000,0.44275,0.12861,0.05208,0.04339,0.01073,2.15417,3.04422,0.66684,0.4479,0.4291,8.601,10.32159,0.01134,18.96997,20.82094
"17","2019_Q1",23.5467213114754,"Up",171143000,-109595000,61548000,-28605000,-28394000,-2837000,2626000,32943000,-20145000,-20092000,-53000,12798000,4986000,-2841000,2145000,8671000,8671000,8671000,52917000,52917000,52917000,49553000,1225715000,3255000,267013000,955447000,1275268000,1328185000,89317000,89317000,89317000,857929000,33171000,33171000,0,891100000,980417000,48175000,336415000,-13805000,347768000,347768000,1328185000,2145000,8671000,2837000,135171000,-4829000,216680000,-175304000,47456000,-203785000,-96156000,-118755000,-105860000,-105860000,-1900000,-107760000,35780000,857929000,0.35963,0.19249,0.05067,0.02493,0.00653,0.59246,2.81917,0.64594,0.2539,0.24707,5.01136,10.18325,0.007,22.49894,24.43651
"18","2019_Q2",23.9577777777778,"Up",293183000,-139045000,154138000,-87019000,-53235000,-4184000,-29600000,67119000,-19643000,-19500000,-143000,47476000,45155000,-10138000,35017000,35017000,35017000,35017000,92829000,92829000,92829000,50522000,1195068000,2987000,267013000,925068000,1245590000,1338419000,87434000,87434000,87434000,791908000,79863000,41132000,38731000,871771000,959205000,51638000,371086000,-12251000,379214000,379214000,1338419000,35017000,35017000,4184000,156375000,25504000,221080000,-371126000,271855000,-104155000,-69682000,-77913000,39012000,39012000,1949000,40961000,71303000,791908000,0.52574,0.22893,0.11944,0.09234,0.02616,1.0617,2.52946,0.59167,1.04588,1.01732,8.7567,11.32624,0.02799,9.80434,10.41552
"19","2019_Q3",23.6334375,"Down",285700000,-138297000,147403000,-97133000,-60780000,-3942000,-32411000,50270000,-18153000,-18115000,-38000,32117000,32117000,-7054000,25063000,25063000,25063000,25063000,65503000,65503000,65503000,52878000,1265086000,2720000,267013000,995353000,1317964000,1383467000,118195000,118195000,118195000,785504000,73315000,35619000,37696000,858819000,977014000,56910000,396149000,-14774000,406453000,406453000,1383467000,25063000,25063000,3942000,130706000,33968000,193679000,-483080000,274122000,-214981000,-7328000,-5913000,-27215000,-27215000,-2540000,-29755000,54212000,785504000,0.51594,0.17595,0.08772,0.06166,0.01812,0.55419,2.40376,0.56778,0.74065,0.72686,8.44292,12.01138,0.01981,13.28121,14.32268
"20","2019_Q4",22.504375,"Down",250612000,-127135000,123477000,-52238000,-49974000,-2922000,657999.999999996,71239000,-18247000,-18238000,-9000,52992000,52992000,-14584000,38408000,27085000,27085000,27085000,28864000,28864000,979052000,50563000,477346000,2452000,267013000,95161000,527909000,1506961000,111901000,111901000,111901000,873744000,87345000,40264000,36490000,961089000,1072990000,61477000,423234000,-17158000,433971000,433971000,1506961000,38408000,27085000,2922000,110814000,1703000,191146000,-402008000,158177000,-267851000,87375000,86442000,9737000,9737000,-7538000,2198999.99999999,74161000,873744000,0.4927,0.28426,0.10808,0.06241,0.01797,8.74927,2.47249,0.57981,0.79685,0.78339,7.37311,12.76761,0.01941,11.39251,11.8598
"21","2020_Q1",19.8179032258065,"Down",345262000,-198417000,146845000,-87263000,-60347000,-4007000,-22909000,59582000,-22098000,-19751000,-26000,37484000,39805000,-10277000,29528000,-50553000,-50553000,-50553000,35895000,35895000,1208116000,54540000,311696000,2185000,267013000,42498000,366236000,1574352000,122163000,122163000,122163000,991181000,84395000,48683000,35712000,1075576000,1197739000,63791000,372681000,-3066000,376613000,376613000,1574352000,29528000,-50553000,4007000,228850000,-26383000,242734000,1256214000,-1555183000,-354410000,118840000,92868000,-18808000,-18808000,9108000,-9700000,63589000,991181000,0.42531,0.17257,-0.14642,-0.13423,-0.03211,9.88938,3.18029,0.62958,-1.5068,-1.4818,10.29097,11.22542,-0.03481,15.02282,16.03313
"22","2020_Q2",13.8992063492063,"Down",362252000,-235719000,126533000,-97445000,-62509000,-3670000,-31266000,29088000,-20340000,-20381000,41000,8748000,8748000.00000001,-3e+06,5748000,5460000,5460000,5460000,161076000,161076000,1366042000,56216000,311043000,1918000,267868000,41257000,367259000,1733301000,95893000,95893000,95893000,1091732000,107462000,71679000,35783000,1199194000,1295087000,67440000,477082000,-7807000,438214000,438214000,1733301000,5748000,5460000,3670000,237270000,6114000,252514000,-401057000,219332000,-186881000,99226000,57335000,122968000,122968000,-113999.999999998,122854000,32758000,1091732000,0.3493,0.0803,0.01507,0.01246,0.00315,14.24548,2.95538,0.62986,0.16885,0.1663,11.2024,13.55147,0.00333,28.41004,31.9945
"23","2020_Q3",16.050625,"Up",253061000,-120672000,132389000,-45832000,-25324000,-4004000,-16504000,86557000,-20390000,-20372000,-18000,66167000,66167000,-18141000,48026000,48026000,48026000,48026000,321472000,321472000,1203732000,60030000,315211000,1650000,267868000,45693000,375241000,1578973000,87691000,87691000,87691000,906588000,108474000,72869000,35605000,1015062000,1102753000,71100000,525108000,-8599000,476220000,476220000,1578973000,48026000,48026000,4004000,126782000,52120000,230932000,-70008000,207101000,129533000,-186323000,-199227000,161238000,161238000,-37000,161201000,90561000,906588000,0.52315,0.34204,0.18978,0.10085,0.03042,13.72697,2.31564,0.57416,1.59011,1.58235,8.37867,15.76731,0.0322,6.46102,6.75989
"24","2020_Q4",20.48046875,"Up",204545000,-22777000,181768000,-59757000,-38285000,-3770000,-17702000,122011000,-18664000,-18634000,-30000,103347000,103347000,-9671000,93676000,93667000,93667000,93667000,490033000,490033000,1228420000,63403000,342341000,1623000,267868000,72850000,405744000,1634164000,76526000,76526000,76526000,863472000,120471000,69874000,50597000,983943000,1060469000,74868000,618775000,-8547000,573695000,573695000,1634164000,93676000,93667000,3770000,25182000,17168000,139787000,-117047000,198644000,74478000,-44199000,-44211000,170054000,170054000,-23000,170031000,125781000,863472000,0.88865,0.5965,0.45793,0.16327,0.05732,16.05232,1.84849,0.52839,3.11186,3.08562,6.79551,19.05963,0.06013,2.96896,3.0607
"25","2021_Q1",29.9329508196721,"Up",263852000,-20349000,243503000,-123362000,-84262000,-8288000,-30812000,120141000,-26982000,-27304000,521000,93159000,257158000,-26379000,230779000,230776000,230691000,230691000,297273000,297273000,1610706000,79417000,417952000,26008000,267974000,123970000,497369000,2108075000,124071000,124071000,124071000,946461000,118709000,48129000,70580000,1065170000,1189241000,187981000,849466000,-6898000,917348000,918834000,2108075000,230779000,230776000,8288000,-120923000,-503000,117638000,698032000,-621923000,66453000,-348071000,-349871000,-165780000,-165780000,-70000,-165850000,128429000,946461000,0.92288,0.45533,0.87432,0.25107,0.10943,12.98213,1.29429,0.44897,6.60098,6.46773,7.54985,26.24894,0.11628,5.05484,5.40355
"26","2021_Q2",35.2120634920635,"Up",259444000,-21078000,238366000,-114911000,-72657000,-6627000,-35627000,123455000,-19768000,-19914000,-34000,103687000,103687000,-27716000,75971000,75971000,75920000,75920000,324328000,324328000,1604918000,78899000,449825000,41155000,279275000,129395000,528724000,2133642000,108982000,108982000,108982000,874514000,144538000,61070000,83468000,1019052000,1128034000,203765000,925386000,-8498000,1004866000,1005608000,2133642000,75971000,75971000,6627000,41716000,-7286000,117028000,-28358000,-16096000.0000001,-44454000,-73978000,-67656000,4918000,4918000,89000,5007000.00000006,130082000,874514000,0.91876,0.47584,0.29263,0.0755,0.03558,14.72645,1.12174,0.40987,2.10252,2.02524,7.18502,27.82869,0.0375,4.22953,4.45657
"27","2021_Q3",32.62765625,"Down",264720000,-5587000,259133000,-136424000,-93929000,-7460000,-35035000,122709000,-18935000,-19416000,-240000,103774000,103774000,-23224000,80550000,80550000,80177000,80177000,394353000,394353000,1856199000,80430000,458160000,39472000,279275000,139413000,538590000,2394789000,140571000,140571000,140571000,1028488000,130973000,66740000,64233000,1159461000,1300032000,211548000,1005563000,-6011000,1093661000,1094757000,2394789000,80550000,80550000,7460000,15565000,-673000,102902000,0,-182487000,-182487000,155113000,152250000,72665000,72665000,287000,72952000,130169000,1028488000,0.97889,0.46354,0.30287,0.07324,0.03348,13.20471,1.18751,0.42947,2.22042,2.13879,7.33114,30.28777,0.03557,4.87163,5.1678
"28","2021_Q4",37.9309375,"Up",246382000,-23862078.7675379,274361193.692867,-160163000,-113283000,-8914000,-37966000,86219000,-17743000,-18163000,-109000,68476000,68476000,-16667000,51809000,51809000,51548000,51548000,229088000,229088000,1928222000,81149000,458128000,37458000,279275000,141395000,539277000,2467499000,124584000,124584000,186569000,1075380000,71297000,71297000,34119290.6818732,1146677000,1333246000,217051000,1057111000,-8185000,1132936000,1134253000,2467499000,51809000,98537488.2549612,8914000,84077000,-39573000,105227000,-795000.00000003,-293839000,-294634000,48121000,30839000,-158568000,-158568000,-450000,-159018000,95133000,1075380000,0.939179928919307,0.34994,0.20922,0.04545,0.02089,10.33517,1.17544,0.43582,1.41019,1.36104,6.74022,30.99349,0.0226,8.89588,9.81561
"29","2022_Q1",40.1606451612903,"Up",437386000,-69260641.0338877,274588450.531824,-199699000,-148253000,-12374000,-39072000,80680000,-19462000,-19016000,1000,61218000,61218000,-12480000,48738000,48738000,48650000,48650000,165477000,165477000,2241677000,78402000,441404000,35444000,279275000,126685000,519806000,2761483000,156102000,156102000,197089000,1384399000,86943000,86943000,18226790.6818732,1471342000,1668431000,225689000,1105761000,-8540000,1093052000,1093052000,2761483000,48738000,77736447.071339,12374000,96876000,-11277000,146711000,1928000,-431047000,-458793000,343324000,249716000,-62366000,-62366000,108000,-62258000,93054000,1384399000,0.818746500221377,0.18446,0.11123,0.04451,0.01762,11.37393,1.5264,0.50132,1.3038,1.26977,11.72177,29.29335,0.01897,13.09908,15.10811
"30","2022_Q2",33.0817741935484,"Down",385731000,-117042000,268689000,-177943000,-127699000,-9514000,-40730000,90746000,-22469000,-22483000,-314000,68277000,68277000,-15834000,52443000,52443000,52443000,52443000,131692000,131692000,2516298000,81031000,449815000,33431000,279275000,137109000,530846000,3047144000,136944000,136944000,136944000,1696751000,135499000,96414000,39085000,1832250000,1969194000,233437000,1158204000,-5074000,1077950000,1077950000,3047144000,52443000,52443000,9514000,129225000,-37643000,153539000,158790702.267875,-386495000,-386495000,311576000,234529000,1573000.00000003,1573000.00000003,386000,1959000,100260000,1696751000,0.69657,0.23526,0.13596,0.04865,0.01721,18.37465,1.8268,0.55683,1.46694,1.40485,10.78968,30.15245,0.01802,15.61,17.24659
"31","2022_Q3",33.55078125,"Up",407990000,-143418000,264572000,-175087000,-125241000,-7584000,-42262000,89485000,-19697000,-24950000,21000,69788000,69788000,-17387000,52401000,52401000,52401000,52401000,24144208.1416502,24144208.1416502,2412997243.04902,98372805.4548257,528204518.690091,31697433.2694925,279623782.60933,216877197.242121,626577324.144916,3039574567.19394,-46028155.6320365,-46028155.6320365,-28842468.2692976,1703777543.1095,163720284.347908,81009139.9454951,119223418.636254,1867497827.4574,1838655359.18811,234977083.414896,1217790758.86634,3648845.76992788,1196531190.5935,1200919208.00583,3039574567.19394,52401000,52401000,7584000,154873000,23777000,238635000,502464106.803625,-364839000,-364839000,143137000,112533000,-13671000,-13671000,-417000,-14088000,97069000,0,0.64848,0.21933,0.12844,0.0246307533989226,0.00859670769009214,33.2267037792094,1.60341022983501,0.522742373833192,1.61249,1.56496,12.5547,38.7658846020976,0.00823574198441267,14.6952642832645,12.4723799931028
