"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"19","2014_Q4",8.80984375,"Down",3220539,-994847,2225692,-1738324,-1377356,-266950,487368,-368172,119196,119196,-43022,76174,76174,76174,76174,3549653,3549653,1753146,1753146,658881,633038,5961680,4429452,3322474,50105,4651960,10613640,1473388,413333,1060055,1095011,1095011,3952808,1758912,122466,1758912,5711720,4572463,392387,4901920,4901920,10613640,76174,266547,505482,512677,1360880,-16738,-16738,9477,48892,1393034,1393034,1393034,753915,1384409,1292876,0.69109,0.15133,0.02365,0.01554,0.00718,16.97267,1.50821,1.1652,0.13044,0.03718,0.03624,1.57184,2.39247,0.63101,5,0.00947,0.1607,-2.872,-4.44273
"20","2015_Q1",9.36229508196721,"Up",3276520,-973812,2302708,-2071614,-1614130,-329059,231094,-619099,-388005,-388005,322876,-65129,-65129,-65129,-65129,1721343,1721343,2013464,2013464,318956,311666,4053763,6003792,3733634,28286,6149176,10202939,1496270,255615,1105122,877120,877120,3504666,690511,56733,690511,4195177,5727787,327258,6007762,6007762,10202939,-65129,328479,-217236,-211812,-165698,-1707605,-1707605,43639,63288,-1810015,-1810015,-1810015,559573,1131276,-1682720,0.70279,0.07053,-0.01988,-0.01084,-0.00638,25.83672,1.15668,0.69829,0.11088,-0.02956,-0.02995,1.48708,2.72668,-0.76372,2,-0.00832,-0.21492,-1.0545,-2.55336
"21","2015_Q2",7.20031746031746,"Down",3043782,-912877,2130905,-1812811,-1445838,-268341,318094,-244850,73244,73244,163421,236665,236665,236665,236665,2775258,2775258,1638172,1638172,471432,380314,4884862,5757769,3487900,27997,5903200,10788062,1710976,383980,1193973,795012,795012,3845599,557915,49585,557915,4403514,5859630,563923,6384548,6384548,10788062,236665,268341,207339,366687,1079032,-22344,-22344,0,0,1056688,1056688,1056688,586435,1339611,767357,0.70008,0.10451,0.07775,0.03707,0.02194,3.24238,1.27025,0.68971,0.12418,0.10214,0.10026,1.31361,2.75539,0.33117,5,0.02858,0.09265,-2.44809,-4.51328
"22","2015_Q3",6.69765625,"Down",3106389,-899541,2206848,-1909768,-1551905,-263399,297080,-241025,56055,56055,8973,65028.0000000001,65028.0000000001,65028.0000000001,65028.0000000001,3449020,3449020,1562072,1562072,506888,415770,5517980,5512434,3242198,28364,5927618,11445598,1658556,344536,1149932,995892,995892,4202393,549380,42436,549380,4751773,6110779,628951,6693825,6693825,11445598,65028.0000000001,263399,372640,136076,837143,-3273.99999999977,-205681,7025.00000000001,23216,654678,654678,654678,560479,1547945,684308,0.71042,0.09564,0.02093,0.00971,0.00568,10.52328,1.31306,0.70987,0.13524,0.02799,0.02754,1.3369,2.88083,0.29451,5,0.0074,0.07784,-3.39188,-6.3992
"23","2015_Q4",6.64078125,"Down",2787105,-843007,1944098,-1611741,-1279669,-268775,332357,-137150,195207,195207,-58477,136730,136730,136730,136730,3691580,3691580,1453602,1453602,697874,206765,5843056,5267093,2996480,28741,5920191,11763247,1468264,377289,1000103,881678,881678,2349942,646567,35288,646567,2996509,8041253,765681,8766738,8766738,11763247,136730,268775,404051,-414536,395020,-19688,-154682,14050,16568,256906,256906,256906,601132,0,225385,0.69753,0.11925,0.04906,0.0156,0.01162,1.64839,2.48647,0.3418,0,0.05402,0.05338,1.10124,3.4639,0.08905,6,0.01453,0.02394,-6.14105,-11.10727
"24","2016_Q1",5.08885245901639,"Down",2682607,-792567,1890040,-2203335,-1307322,-278822,-313295,886,-312409,-312409,18570,-293839,-293839,-293839,-293839,4215145,4215145,1253628,1253628,252468,252468,5721241,5273405,2191296,742263,5448902,11170143,1580897,385285,995999,822481,822481,2403378,207788,113222,207788,2611166,8205390,388741,8558977,8558977,11170143,-293839,299355,184633,675222,865371,-64206,-280489,7025,-56550,528332,528332,528332,-13940,0,578506,0.70455,-0.11679,-0.10953,-0.03433,-0.02631,-1.96879,2.3805,0.30508,1.38777878078145e-17,-0.10588,-0.09729,0.96665,3.08413,0.20846,4,-0.02404,0.06599,302.37769,13.45424
"25","2016_Q2",5.66125,"Up",3277339,-770082,2507257,-1817039,-1466121,-281758,690218,992,691210,691210,-197922,493288,493288,493288,493288,4276726,4276726,1477255,1477255,284667,284667,6038648,5415379,1932971,1240536,5601573,11640221,1246496,553672,527478,875288,875288,2121784,322979,135486,322979,2444763,8422119,798478,9195458,9195458,11640221,493288,306928,258321,-557220,501317,-30628,-377992,7094,-76457,46868,46868,46868,997146,0,607220,0.76503,0.2106,0.15051,0.05364,0.04238,1.23096,2.84602,0.26587,0,0.17691,0.17082,1.17539,3.29786,0.21777,6,0.0606,0.06379,-4.28897,-6.1962
"26","2016_Q3",6.82484375,"Up",3133661,-823918,2309743,-1843961,-1471879,-282242,465782,83008,548790,548790,-192078,356712,356712,356712,356712,4990150,4990150,1285493,1285493,401586,401586,6677229,5367024,1675315,1449837,5545836,12223065,1116338,298343,536059,1009586,1009586,2125924,341423,127962,341423,2467347,8706979,1071286,9755718,9755718,12223065,356712,330072,241679,56219.9999999998,984683,-14372,-185008,24906,-58543,741132,741132,741132,795854,0,1029780,0.73707,0.14864,0.11383,0.03656,0.02918,2.88687,3.14086,0.25291,0,0.12759,0.12347,1.12089,3.48955,0.36835,6,0.04359,0.10199,-6.27018,-10.71349
"27","2016_Q4",7.82269841269841,"Up",2873000,-739000,2134000,-1839000,-1491000,-216000,295000,-6000,289000,289000,-94000,195000,195000,195000,195000,5135430,5135430,1323109,1323109,386110,386110,6844649,5441871,1484875,1715124,5612866,12457515,1171487,288488,687835,940065,940065,2111552,331562,120438,331562,2443114,8915275,1123819,10014401,10014401,12457515,195000,263000,224000,-148000,534000,-14000,-247000,1000,-141000,146000,146000,146000,558000,0,490000,0.74278,0.10268,0.06787,0.01947,0.01565,2.51282,3.24153,0.24396,0,0.06873,0.06678,1.01269,3.52993,0.17272,6,0.03257,0.04736,-9.20328,-17.40824
"28","2017_Q1",9.60435483870968,"Up",2775000,-692000,2083000,-1599000,-1357000,-129000,484000,5999.99999999999,490000,490000,20000,510000,510000,510000,510000,5339000,5339000,1300000,1300000,188000,188000,6827000,5830000,1380000,2066000,6034000,12861000,1261000,343000,806000,843000,843000,2104000,179000,112000,179000,2283000,9123000,1491000,10578000,10578000,12861000,510000,177000,-147000,201000,741000,-53000,-379000,2000,-142000,220000,220000,220000,661000,-9.09494701772928e-13,789000,0.75063,0.17441,0.18378,0.04821,0.03965,1.54706,3.24477,0.21583,0,0.17838,0.1749,0.97062,3.6999,0.27597,7,0.0608,0.07335,-8.07716,-11.03099
"29","2017_Q2",12.0574603174603,"Up",2856000,-746000,2110000,-1735000,-1504000,-106000,375000,-9000,366000,366000,-41000,325000,325000,325000,325000,5589295,5589295,1315499,1315499,259083,259083,7163877,6047915,1296810,2371998,6234649,13398526,1361705,311881,932304,859337,859337,2221042,164639,103491,164639,2385681,9371345,1670961,11012845,11012845,13398526,325000,165000,177000,-20000,647000,-2000,-292000,26000,-119000,236000,236000,236000,540000,0,559000,0.7388,0.1313,0.1138,0.02951,0.02426,1.72,3.22546,0.21663,0,0.11213,0.10904,0.98537,3.79961,0.19286,4,0.04205,0.05001,-10.35055,-14.90479
"30","2017_Q3",12.4907936507937,"Up",3442000,-909000,2533000,-1801000,-1570000,-102000,732000,-17000,715000,715000,-223000,492000,492000,492000,492000,6125000,6125000,1334000,1334000,358000,358000,7817000,6195000,1214000,2602000,6368000,14185000,1328000,643000,601000,1040000,1040000,2368000,149000,95000,149000,2517000,9653000,2017000,11668000,11668000,14185000,492000,185000,165000,-32000.0000000001,810000,-4000.00000000001,-338000,188000,42000,514000,514000,514000,917000,-1.45519152283669e-11,1104000,0.73591,0.21267,0.14294,0.04217,0.03468,2.2439,3.3011,0.21572,-4.33680868994202e-19,0.16726,0.16272,1.17012,3.96657,0.37531,5,0.05399,0.09342,-6.67939,-8.36749
"31","2017_Q4",16.5447619047619,"Up",2931000,-821000,2110000,-1629000,-1371000,-102000,481000,2000,483000,483000,-174000,309000,309000,309000,309000,6407000,6407000,1067000,1067000,396000,396000,7870000,6295000,1131000,2785000,6454000,14324000,1241000,481000,680000,958000,958000,2199000,140000,86000,140000,2339000,9779000,2177000,11985000,11985000,14324000,309000,182000,142000,5000,638000,-3000,-270000,21000,-128000,240000,240000,240000,663000,0,839000,0.71989,0.16411,0.10542,0.02578,0.02157,2.71521,3.5789,0.19516,0,0.10464,0.10181,0.99255,4.05858,0.28412,5,0.03777,0.0692,-9.66365,-13.32017
"32","2018_Q1",17.1373770491803,"Up",3399000,-919000,2480000,-2040000,-1543000,-144000,440000,-2000,438000,438000,307000,745000,745000,745000,745000,4917000,4917000,1275000,1275000,918000,193000,7110000,9695000,2858000,2767000,9840000,16950000,1344000,666000,613000,887000,887000,2519000,650000,77000,1220000,3739000,10403000,2774000,13211000,13211000,16950000,745000,203000,169000,-7e+05,417000,-2000,-1917000,154000,6000,-1494000,-1494000,-1494000,643000,858000,-366000,0.72963,0.12945,0.21918,0.05639,0.04395,-0.49128,2.82255,0.28302,0.05062,0.24875,0.24087,1.13489,4.41102,-0.1222,3,0.06067,-0.02487,-6.3126,-9.225
"33","2018_Q2",17.54953125,"Up",3530000,-1021000,2509000,-2194000,-1754000,-142000,315000,-5000,310000,310000,10000,320000,320000,320000,320000,5483000,5483000,1486000,1486000,988000,244000,7957000,9370000,2733000,2567000,9526000,17483000,1137000,513000,558000,1125000,1125000,2550000,632000,67000,1208000,3758000,10706000,2942000,13725000,13725000,17483000,320000,340000,183000,-306000,537000,-25000,-25000,160000,8000,520000,520000,520000,655000,864000,314000,0.71076,0.08924,0.09065,0.02332,0.0183,0.98125,3.12039,0.27381,0.04942,0.1054,0.10286,1.16271,4.52075,0.10343,4,0.03101,0.02063,-7.05191,-14.66349
"34","2018_Q3",17.2379365079365,"Down",3799000,-1030000,2769000,-2174000,-1747000,-142000,595000,-5000,590000,590000,-224000,366000,366000,366000,366000,6834000,6834000,1642000,1642000,723000,189000,9199000,9043000,2608000,2365000,9198000,18397000,1077000,356000,653000,1273000,1273000,2638000,621000,56000,1204000,3842000,11399000,3155000,14555000,14555000,18397000,366000,340000,192000,154000,1052000,-14000,-14000,549000,396000,1434000,1434000,1434000,935000,871000,1299000,0.72888,0.15662,0.09634,0.02515,0.01989,3.54918,3.48711,0.26396,0.04734,0.11906,0.11675,1.23585,4.73487,0.42258,4,0.03234,0.08095,-6.37754,-10.02185
"35","2018_Q4",12.7096825396825,"Down",3255000,-981000,2274000,-2155000,-1667000,-155000,119000,-1000,118000,118000,-32000,86000,86000,86000,86000,19444000,19444000,1643000,1643000,674000,163000,21761000,9994000,2926000,2200000,10145000,31906000,922000,494000,365000,1389000,1389000,2599000,614000,47000,1203000,3802000,25027000,3086000,28104000,28104000,31906000,86000,354000,268000,-144000,564000,-9000,-1153000,38000,13206000,12617000,12617000,12617000,473000,877000,352000,0.69862,0.03656,0.02642,0.00306,0.0027,4.09302,8.37284,0.13528,0.02749,0.02416,0.02375,0.91458,7.8966,0.0989,4,0.00814,0.01189,-39.2537,-156.02521
"36","2019_Q1",12.6422950819672,"Down",3648000,-1071000,2577000,-2443000,-1919000,-164000,134000,58000,192000,192000,-127000,65000,65000,65000,65000,17222000,17222000,1593000,1593000,179000,89000,18994000,9826000,2802000,1992000,9958000,28952000,1031000,371000,577000,1249000,1249000,2600000,413000,0,689000,3289000,22529000,3151000,25663000,25663000,28952000,65000,363000,34000,254000,716000,-3000,-3000,-2635000,-2923000,-2210000,-2210000,-2210000,497000,596000,875000,0.70641,0.03673,0.01782,0.00253,0.00225,13.46154,7.30538,0.12816,0.02059,0.01629,0.01631,0.91406,6.43022,0.21924,5,0.00244,0.03281,-33.45272,-124.07463
"37","2019_Q2",11.8830158730159,"Down",4179000,-1302000,2877000,-2730000,-2181000,-212000,147000,71000,218000,218000,-13000,205000,205000,205000,205000,14961000,14961000,2237000,2237000,360000,238000,17558000,12435000,4367000,2017000,12557000,30115000,1554000,625000,889000,1464000,1464000,3338000,493000,74000,775000,4113000,22666000,3356000,26002000,26002000,30115000,205000,412000,374000,-455000,536000,-6000,-2794000,0,0,-2258000,-2258000,-2261000,559000,602000,111000,0.68844,0.03518,0.04905,0.00788,0.00681,0.541460000000001,5.26004,0.15818,0.01999,0.05325,0.05299,1.08545,6.75377,0.02883,5,0.00757,0.0041,-25.68694,-97.68027
"38","2019_Q3",10.2921875,"Down",4138000,-1250000,2888000,-2758000,-2197000,-218000,130000,115000,245000,245000,-33000,212000,212000,212000,212000,15196000,15196000,2422000,2422000,413000,250000,18031000,12034000,4176000,1807000,12098000,30129000,1081000,438000,613000,1624000,1624000,3025000,481000,62000,769000,3794000,22797000,3568000,26335000,26335000,30129000,212000,419000,468000,-840000,259000,0,-20000,0,9.31322574615479e-10,239000,239000,242000,549000,608000,-258000,0.69792,0.03142,0.05123,0.00805,0.00704,-1.21698,5.96066,0.14407,0.02018,0.05495,0.05474,1.07258,6.82608,-0.06687,5,0.00773,-0.00941,-26.57195,-112.21538
