"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",18.6995161290323,"Down",36211615,-4988548,31223067,-24816572,-24292411,6406495,-10665635,-10644325,-4259140,-4259140,-4845793,-4845793,-4845793,-4845793,16896369,16896369,817158,6980520,4185920,4185920,28879967,1766609,2729078,342173,4495687,33375654,4433803,4433803,6334891,6334891,10768694,76430,76430,76430,10845124,109898,-81792667,104213299,22530530,22530530,33375654,-4845793,146063,-4212897,12535000,3622373,-728904,-744005,637539,3515907,3515907,-80278,3435629,6552558,0,0.86224,0.17692,-0.13382,-0.21508,-0.14519,2.68184,0.48135,0,-2.30423,-2.30423,17.21903,10.71352,6,-0.21435,-2.57859,-2.63738
"12","2013_Q1",16.9458333333333,"Down",44603876,-6427171,38176705,-30838483,-30205347,7338222,-52803.9999999963,-17140,7285418,7285418,4832064,4832064,4832064,4832064,24647585,24647585,333295,11352789,2494298,2494298,38827967,1996849,3703020,342105,5699869,44527836,3615697,3615697,12412085,12412085,16027782,2579940.81298058,2579940.81298058,216885,16244667,110853,-76960603,105132919,28283169,28283169,44527836,4832064,198531,-1996808,4688912,7722699,-450233,-453165,455281,7724815,7724815,26401,7751216,7536753,-5.82076609134674e-11,0.85591,0.16452,0.10833,0.17085,0.10852,2.42254,0.57436,0,2.13499,2.13499,19.70773,12.4966,5,0.169549999999998,-3.27032,-3.3588
"13","2013_Q2",15.68765625,"Down",52859000,-7807000,45052000,-38145000,-37393000,6907000,-41000,-41000,6866000,6866000,4165000,4165000,4165000,4165000,25178000,25178000,230000,13066000,3273000,3273000,41747000,3360000,4914000,1587000,8274000,50021000,2424000,2424000,13073000,13073000,15497000,2101988.85673822,2101988.85673822,405000,15902000,114000,-72796000,106801000,34119000,34119000,50021000,4165000,238000,-6937815,3449815,915000,-1567000,-1567000,1187000,535000,535000,-5000,530000,7145000,0,0.85231,0.13067,0.07879,0.12207,0.08327,2.69388,0.46607,0,1.84026,1.62206,23.35516,15.0751,3,0.12064,-3.52386,-3.64529
"14","2013_Q3",16.88078125,"Up",53438000,-14678000,38760000,-38273000,-37088000,487000,-15999.9999999995,-16000,471000,471000,209000,209000,209000,209000,28466000,28466000,728000,9552000,5592000,5592000,44338000,5671000,4819000,3339000,10490000,54828000,4778000,4778000,13959000,13384000,18737000,1058000,1058000,1058000,19795000,115000,-72826000,107744000,35033000,35033000,54828000,209000,443000,5444000,-649000,5447000,-2303000,-2303000,76000,3220000,3220000,68000,3288000,930000,-2.91038304567337e-11,0.72533,0.00911000000000002,0.00391,0.00597000000000002,0.00380999999999999,2.36633,0.56504,0,0.0902399999999999,0.08053,23.07362,15.12666,4,0.0057900000000001,-30.6086,-58.45175
"15","2013_Q4",13.768125,"Down",50370000,-6869000,43501000,-39561000,-38214000,3940000,122000,122000,4062000,4062000,3416000,3416000,3416000,3416000,27239000,27239000,1381000,8025000,7229000,7229000,43874000,5926000,4679000,3200000,10605000,54479000,4608000,4608000,13972000,13744000,18580000,1042000,1042000,1042000,19622000,116000,-74064000,108805000,34857000,34857000,54479000,3416000,499000,97000,-307000,3705000,-755000,-755000,-4090000,-1140000,-1140000,-87000,-1227000,4439000,0,0.86363,0.07822,0.06782,0.098,0.0627,2.36136,0.56293,0,1.48338,1.33883,21.87288,15.13645,5,0.09516,-6.13629,-6.91345
"16","2014_Q1",9.80114754098361,"Down",51511000,-7289000,44222000,-43979000,-42657000,243000,-489000,-489000,-246000,-246000,-182000,-182000,-182000,-182000,26299000,26299000,3939000,10524000,5179000,5179000,45941000,5692000,3851000,1374000,9543000,55484000,5171000,5171000,15395000,14850000,20566000,973000,973000,973000,21539000,121000,-76476000,110300000,33945000,33945000,55484000,-182000,479000,216999.999999998,81000,595000,-455000,-455000,-1196000,-1056000,-1056000,116000,-940000,722000,4.65661287307739e-10,0.8585,0.00472,-0.00352999999999999,-0.00536000000000011,-0.00328,2.23383,0.634529999999998,6.93889390390723e-18,-0.07775,-0.0777499999999998,22.00552,14.50132,3,-0.00521000000000001,-36.42521,-108.22634
"17","2014_Q2",9.27619047619048,"Down",51328000,-7809000,43519000,-38449000,-37643000,5070000,38000,-725455.406347093,5108000,5108000,3256000,3256000,3256000,3256000,27957000,27957000,1221000,10625000,5087000,5087000,44890000,5490000,4083000,3353000,9573000,54463000,3e+06,3e+06,15430000,15430000,18430000,950000,950000,950000,19380000,118000,-76080000,111045000,35083000,35083000,54463000,3256000,499000,13000,1085000,4853000,-295000,-295000,-2612000,1946000,1946000,-288000,1658000,5569000,0,0.84786,0.09878,0.06344,0.09281,0.05978,2.4357,0.5524,0,1.39096,1.29103,21.92734,14.98747,4,0.09036,-5.02011,-5.5142
"18","2014_Q3",8.9578125,"Down",51538000,-7944000,43594000,-38428000,-37346000,5166000,-365000,-524373.685374604,4801000,4801000,3282000,3282000,3282000,3282000,34454000,34454000,1524000,9843000,7046000,7046000,52867000,5279000,5248000,4518000,10527000,63394000,2805000,2805000,14413000,14413000,21918000,869000,869000,42024000,63942000,104000,-113087000,112435000,-548000,-548000,63394000,3282000,498000,-6206000,4489000,2063000,-364000,-364000,4908000,6607000,6607000,-110000,6497000,5664000,45855000,0.84586,0.10024,0.06368,-5.98905,0.05177,2.41204,-116.68248,0.72333,1.52,1.43044,23.86884,-0.253799999999998,6,0.07108,2.01289,2.20693
"19","2014_Q4",8.9615625,"Up",55064000,-8459000,46605000,-42138000,-40953000,4467000,-1278000,-126855.121714812,3189000,3189000,2494000,2494000,2494000,2494000,35681000,35681000,4117000,8576000,7884000,7884000,56258000,7183000,6861000,6131000,14044000,70302000,2641000,2641000,17964000,17964000,25305000,2243000,2243000,42270000,67575000,104000,-110593000,113216000,2727000,2727000,70302000,2494000,530000,233000,4000,3261000,-1012000,-1012000,-1088000,1161000,1161000,66000,1227000,4997000,44727000,0.84638,0.08112,0.04529,0.91456,0.03548,2.2232,24.77998,0.63621,1.20253,1.14629,26.55009,1.31487,4,0.05018,1.81029,2.02507
"20","2015_Q1",7.03803278688525,"Down",56038000,-8982000,47056000,-42311000,-45384000,4745000,-1188000,226000,3557000,3557000,2351000,2351000,2351000,2351000,20387000,20387000,5998000,8826000,4762000,4762000,39973000,6941000,7085000,3786000,14026000,53999000,3764000,3764000,14238000,13351000,22702000,2234000,2234000,27307000,50009000,102000,-111240000,115128000,3990000,3990000,53999000,2351000,591000,12668000,-13682000,1928000,-227000,-577000,-17012000,-15661000,-15661000,367000,-15294000,5336000,29773000,0.83972,0.08467,0.04195,0.589219999999999,0.04354,1.76077,12.53358,0.55136,1.15631,1.15631,27.56149,1.96242,4,0.06531,1.759,1.97808
"21","2015_Q2",4.51444444444444,"Down",51633000,-5679000,45954000,-38189000,-38189000,7765000,-605000,203000,7160000,7160000,4716000,4716000,4716000,4716000,22135000,22135000,4472000,11009000,6174000,6174000,43790000,6540000,6354000,5069000,12894000,56684000,4217000,4217000,14456000,14456000,23373000,2169000,2169000,26115000,49488000,101000,-108523000,115618000,7196000,7196000,56684000,4716000,585000,-3385000,3146000,5062000,-236000,-236000,-3140000,1686000,1686000,62000,1748000,8350000,28646000,0.89001,0.15039,0.09134,0.65536,0.0832,1.87353,6.87715,0.50536,2.3195,2.22429,25.39495,3.53925,6,0.12407,0.77976,0.83851
"22","2015_Q3",4.6821875,"Up",48247000,-7486000,40761000,-37671000,-37671000,3090000,-1031000,-309000,2059000,2059000,1472000,1472000,1472000,1472000,18647000,18647000,3426000,12099000,4446000,4446000,38618000,6533000,5903000,4618000,12436000,51054000,4002000,4002000,12854000,12854000,21556000,2131000,2131000,24951000,46507000,99000,-111657000,116105000,4547000,4547000,51054000,1472000,580000,4207000,-3355000,2904000,-627000,-627000,-5624000,-3347000,-3347000,-141000,-3488000,3670000,27520000,0.84484,0.06405,0.03051,0.32373,0.02883,1.79152,10.22806,0.53904,0.73808,0.71594,24.19183,2.27994,5,0.04304,2.41771,2.87152
"23","2015_Q4",7.373125,"Up",45155000,-7552000,37603000,-36118000,-36118000,1485000,-761000,-78000,724000,724000,573000,573000,573000,573000,15353000,15353000,4748000,10899000,3857000,3857000,34857000,6239000,5830000,4545000,12069000,46926000,2723000,2723000,12873000,12873000,24796000,2105000,2105000,19300000,44096000,97000,-114321000,117054000,2830000,2830000,46926000,573000,573000,6850000,-7001000,995000,-240000,-240000,-4035000,-3280000,-3280000,-14000,-3294000,2058000,26395000,0.83275,0.03289,0.01269,0.20247,0.01221,1.40575,15.58163,0.56248,0.29217,0.28722,23.02443,1.44301,5,0.01829,5.3654,7.43569
"24","2016_Q1",8.68098360655738,"Up",45301000,-7293000,38008000,-36449000,-36449000,1559000,-849000,-169000,710000,710000,226000,226000,226000,226000,13905000,13905000,3210000,9248000,4112000,4112000,30475000,5759000,4645000,2531000,10404000,40879000,3633000,3633000,11086000,10096000,25860000,2063000,2063000,11694000,37554000,98000,-114095000,117322000,3325000,3325000,40879000,226000,547000,8933000,-5446000,4260000,-56000,-56000,-5655000,-1451000,-1451000,3000,-1448000,2106000,20772000,0.83901,0.03441,0.00499,0.06797,0.00553,1.17846,11.29444,0.50813,0.11555,0.11472,23.1618,1.70003,5,0.00864,3.26068,4.40475
"25","2016_Q2",11.0978125,"Up",45352000,-6975000,38377000,-35706000,-35706000,2671000,-965000,-216000,1706000,1706000,1066000,1066000,1066000,1066000,13686000,13686000,3955000,8538000,4682000,4682000,30861000,5267000,3474000,3245000,8741000,39602000,2502000,2502000,13730000,13730000,27955000,2051000,2051000,7070000,35025000,14000,-113029000,117592000,4577000,4577000,39602000,1066000,531000,2953000,-1709000,2841000,-3000,-3000,-3135000,-297000,-297000,78000,-219000,3202000,16742000,0.8462,0.05889,0.02351,0.2329,0.02692,1.10395,7.65239,0.42276,0.54431,0.53955,23.15737,2.33708,6,0.04561,0.9544,1.14414
"26","2016_Q3",12.701875,"Up",51995000,-7842000,44153000,-41121000,-41121000,3032000,-613000,6000,2419000,2419000,1600000,1600000,1600000,1600000,15819000,15819000,3943000,10619000,6102000,6102000,36483000,5180000,3264000,3035000,8444000,44927000,5857000,5857000,16738000,16738000,34824000,2055000,2055000,3094000,37918000,14000,-111429000,118424000,7009000,7009000,44927000,1600000,452000,4860000,-1247000,5665000,-330000,-330000,-3189000,2146000,2146000,-13000,2133000,3484000,13268000,0.84918,0.05831,0.03077,0.22828,0.03561,1.04764,5.4099,0.29532,0.8162,0.79885,26.52397,3.57547,8,0.07165,-0.7322,-0.84136
"27","2016_Q4",8.35619047619048,"Down",56160000,-9714000,46446000,-42815000,-42815000,3631000,-1854000,-46000,1777000,1777000,1003000,1003000,1003000,1003000,8494000,8494000,4268000,17002000,5941000,5941000,35705000,4981000,3434000,3205000,8415000,44120000,5938000,5938000,17358000,17358000,25296000,2084000,2084000,9985000,35281000,14000,-110426000,119251000,8839000,8839000,44120000,1003000,441000,-12502000,8750000,-2308000,-166000,-166000,-4931000,-7405000,-7405000,80000,-7325000,4072000,9901000,0.82703,0.06465,0.01786,0.11347,0.02273,1.41149,3.99151,0.22441,0.51106,0.49681,28.61527,4.50375,5,0.04817,0.34553,0.3875
"28","2017_Q1",6.16790322580645,"Down",53033000,-9401000,43632000,-39552000,-39552000,4080000,-1298000,-2254000,2782000,2782000,2350000,2350000,2350000,2350000,7883000,7883000,1552000,25116000,7858000,7858000,42409000,3456000,4394000,1520000,7850000,50259000,9729000,9729000,16821000,14415000,28550000,2169000,2169000,9578000,38128000,14000,-108076000,120193000,12131000,12131000,50259000,2350000,471000,-6483000,3450000,-212000.000000001,-63000,-63000,-442000,-717000.000000002,-717000.000000002,106000,-611000,4551000,9409000,0.82273,0.07693,0.04431,0.19372,0.04676,1.48543,3.14302,0.18721,1.19531,1.1233,26.97483,6.17034,5,0.09912,0.33531,0.37402
"29","2017_Q2",4.30809523809524,"Down",54894000,-8832000,46062000,-44076000,-44076000,1986000,-308000,-174000,1678000,1678000,1180000,1180000,1180000,1180000,10225000,10225000,1567000,23917000,3863000,3863000,39572000,3163000,7061000,3155000,10224000,49796000,7730000,7730000,16978000,16978000,26708000,2090000,2090000,9006000,35714000,14000,-106896000,120964000,14082000,14082000,49796000,1180000,412000,2283000,-995000,2880000,-94000,-94000,-495000,2291000,2291000,51000,2342000,2398000,8916000,0.83911,0.03618,0.0215,0.08379,0.0237,1.48165,2.53615,0.17905,0.59751,0.57082,27.79615,7.13057,5,0.04703,-0.54587,-0.65911
"30","2017_Q3",3.82809523809524,"Down",48947000,-7500000,41447000,-40747000,-40747000,7e+05,-288000,-153000,412000,412000,283000,283000,283000,283000,11731000,11731000,1620000,21377000,1993000,1993000,36721000,2885000,6909000,3003000,9794000,46515000,5037000,5037000,16502000,16502000,23539000,2041000,2041000,8465000,32004000,14000,-106613000,121110000,14511000,14511000,46515000,283000,414000,1205000,318000,2220000,-143000,-143000,-498000,1579000,1579000,-73000,1506000,1114000,8424000,0.84677,0.0143,0.00578,0.0195,0.00608,1.56001,2.2055,0.1811,0.14309,0.14014,24.74901,7.33718,4,0.01133,-2.96858,-4.72429
"31","2017_Q4",5.12746031746032,"Up",45007000,-8233000,36774000,-36551000,-36551000,223000,-163000,-36000,60000,60000,61000,61000,61000,61000,9202000,9202000,3782000,19145000,5718000,5718000,37847000,2878000,6018000,3e+06,8896000,46743000,6493000,6493000,16418000,16418000,24911000,2005000,2005000,7937000,32848000,14000,-106552000,120433000,13895000,13895000,46743000,61000,398000,-692000,-246000,-479000,-227000,-227000,-1847000,-2553000,-2553000,24000,-2529000,621000,7932000,0.81707,0.00495,0.00136,0.00439,0.00131,1.51929,2.36402,0.16969,0.03068,0.03026,22.63417,6.98784,4,0.00256,-2.04509,-5.69507
"32","2018_Q1",4.14918032786885,"Down",50641000,-8891000,41750000,-40210000,-40210000,1540000,-780000,-618000,760000,760000,84000,84000,84000,84000,11458000,11458000,2247000,16575000,5266000,5266000,35546000,3127000,6576000,1242000,9703000,45249000,5651000,5651000,15704000,13961000,23355000,1927000,1927000,7367000,30722000,14000,-106992000,121505000,14527000,14527000,45249000,84000,419000,2218000,-745000,1976000,-591000,-591000,882000,2267000,2267000,-11000,2256000,1959000,7440000,0.82443,0.03041,0.00166,0.00578,0.00186,1.52199,2.11482,0.16442,0.04213,0.04173,25.39999,7.2863,7,0.00352,-2.05105,-2.60909
"33","2018_Q2",4.4496875,"Up",49127000,-8739000,40388000,-38990000,-38990000,1398000,-140000,19000,1258000,1258000,817000,817000,817000,817000,12288000,12288000,2133000,15360000,4253000,4253000,34034000,3990000,6769000,2559000,10759000,44793000,3154000,3154000,16980000,16980000,22134000,1939000,1939000,6887000,29021000,14000,-106175000,121933000,15772000,15772000,44793000,817000,350000,1627000,-291000,2503000,-1176000,-1176000,-5e+05,827000,827000,3000,830000,1748000,6948000,0.82211,0.02846,0.01663,0.0518,0.01824,1.53763,1.84003,0.15511,0.40946,0.40606,24.6212,7.90453,6,0.03313,-3.05492,-3.81974
"34","2018_Q3",10.4150793650794,"Up",49482000,-9117000,40365000,-38038000,-38038000,2327000,-272000,-172000,2055000,2055000,317000,317000,317000,317000,12794000,12794000,1628000,16819000,4052000,4052000,35293000,4644000,5719000,2323000,10363000,45656000,3269000,3269000,17459000,17459000,22728000,1966000,1966000,6423000,29151000,14000,-106108000,122599000,16505000,16505000,45656000,317000,322000,875000,665000,2179000,-941000,-941000,-750000,488000,488000,18000,506000,2649000,6457000,0.81575,0.04703,0.00641,0.01921,0.00694,1.55284,1.76619,0.14143,0.15895,0.15674,24.81156,8.27604,6,0.01272,-2.39222,-2.72325
"35","2018_Q4",11.6926984126984,"Up",50562000,-8921000,41641000,-39343000,-39343000,2298000,-65000,24000,2233000,2233000,1635000,1635000,1635000,1635000,13952000,13952000,1609000,15816000,7852000,7852000,39229000,5660000,6040000,2447000,11700000,50929000,4629000,4629000,19061000,19061000,25690000,1972000,1972000,5937000,31627000,1000,-104723000,124024000,19302000,19302000,50929000,1635000,270000,224000,974000,3103000,-1250000,-1250000,-720000,1133000,1133000,25000,1158000,2568000,5965000,0.82356,0.04545,0.03234,0.08471,0.0321,1.52701,1.63853,0.11712,0.8169,0.80699,25.26259,9.64397,8,0.06002,-3.1102,-3.47563
"36","2019_Q1",14.1893442622951,"Up",54033000,-8070000,45963000,-41663000,-41663000,4300000,-298000,-2e+05,4002000,4002000,2992000,2992000,2992000,2992000,16652000,16652000,2518000,13627000,6141000,6141000,38938000,6587000,5617000,1247000,12204000,51142000,3813000,3813000,17992000,16885000,23805000,1978000,1978000,5390000,29195000,1000,-102731000,124677000,21947000,21947000,51142000,2992000,383000,502000,1594000,5471000,-1282000,-1282000,-1529000,2660000,2660000,40000,2700000,4683000,5412000,0.85065,0.07958,0.05537,0.13633,0.0585,1.63571,1.33025,0.10582,1.49065,1.48001,26.91995,10.93428,8,0.10199,-2.40017,-2.61395
"37","2019_Q2",11.6150793650794,"Down",55609000,-9199000,46410000,-45086000,-45086000,1324000,-159000,-50000,1165000,1165000,911000,911000,911000,911000,17123000,17123000,3727000,13281000,6400000,6400000,40531000,6063000,5327000,2304000,11390000,51921000,3930000,3930000,17663000,17663000,23593000,1876000,1876000,4797000,28390000,1000,-101823000,125353000,23531000,23531000,51921000,911000,441000,-791000,1805000,2366000,-86000,-1486000,-328000,552000,552000,-81000,471000,1765000,4921000,0.83458,0.02381,0.01638,0.03871,0.01755,1.71792,1.20649,0.09478,0.45579,0.4211,27.822,11.7729,7,0.03004,-6.91331,-9.21601
"38","2019_Q3",11.91640625,"Up",58167000,-9794000,48373000,-47792000,-47792000,581000,-172000,-72000,409000,409000,829000,829000,829000,829000,18989000,18989000,5242000,13301000,6126000,6126000,43658000,5848000,4587000,2304000,10435000,54093000,4108000,4108000,22655000,22655000,28763000,1885000,1885000,4312000,33075000,1000,-102494000,123511000,21018000,21018000,54093000,829000,437000,5353000,-2043000,4576000,-186000,-786000,-1988000,1802000,1802000,64000,1866000,1018000,4427000,0.83162,0.00999,0.01425,0.03944,0.01533,1.51785,1.57365,0.08184,0.41604,0.38771,29.19154,10.54804,7,0.03033,-14.30452,-25.06368
