"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",22.478125,"Up",43207000,-2651000,40556000,-22708000,-22354000,-354000,17848000,-25000,-25000,17823000,-13907000,3916000,-1555000,2361000,2361000,2361000,2361000,113610000,113610000,7364000,7364000,11840000,5636000,132814000,7082000,33138000,6467000,40220000,173034000,15211000,4528000,10683000,3189000,1831000,18400000,4922000,4922000,4922000,23322000,238424000,-119998000,31104000,182000,149712000,149712000,173034000,2361000,642000,1201000,-4742000,-538000,-1539000,-1539000,-27784000,1223000,2624000,-25160000,-27237000,-27237000,-2000,-27239000,18490000,0,13764000,0.93864,0.41308,0.05464,0.01577,0.01364,5.82973,7.21815,0.15578,0,0.11477,0.11155,2.10038,7.27782,0.6691,0.01527,0.08901,-6.1444,-6.36542
"12","2013_Q3",27.55671875,"Up",39800000,-984000,38816000,-21246000,-20893000,-353000,17570000,-21000,-21000,17549000,-15539000,2010000,-864000,1146000,1146000,1146000,1146000,89713000,89713000,5334000,5334000,13575000,7141000,108622000,9482000,32970000,6257000,42452000,151074000,16539000,5446000,11093000,4159000,2613000,20698000,5978000,5978000,5978000,26676000,241979000,-149998000,32250000,167000,124398000,124398000,151074000,1146000,748000,2848000,1893000,6635000,-2282000,-2282000,-28674000,1326000,434000,-28240000,-23887000,-23887000,-10000,-23897000,18318000,0,18793000,0.97528,0.44146,0.02879,0.00921,0.00759,16.39878,5.24795,0.21444,3.94430452610506e-31,0.06052,0.05882,2.10171,6.56904,0.9924,0.00879,0.14414,-4.89753,-5.10603
"13","2013_Q4",41.68421875,"Up",42008000,-806000,41202000,-22746000,-22392000,-354000,18456000,-22000,-22000,18434000,-18053000,381000,-207000,174000,174000,174000,174000,97751000,97751000,6599000,6599000,13835000,6720000,118185000,10677000,32226000,6082000,42903000,161088000,18740000,4230000,14510000,7322000,2969000,26062000,6222000,6222000,6222000,32284000,246218000,-149998000,32424000,160000,128804000,128804000,161088000,174000,9e+05,2161000,5443000,8678000,-2914000,-2914000,2101000,2101000,178000,2279000,8043000,8043000,-5000,8038000,19356000,0,22092000,0.98081,0.43934,0.00414,0.00135,0.00108,126.96552,4.53476,0.25064,0,0.00945,0.00912,2.28032,6.99186,1.19922,0.00129,0.16361,-5.05017,-5.29643
"14","2014_Q1",52.0760655737705,"Up",54165000,-1020000,53145000,-35609000,-35256000,-353000,17536000,-24000,-24000,17512000,-20179000,-2667000,709000,-1958000,-1958000,-1958000,-1958000,107055000,107055000,4586000,4586000,12823000,8364000,124464000,10283000,31679000,5518000,41962000,166426000,22899000,4381000,18518000,4345000,2561000,27244000,6165000,6165000,6165000,33409000,252389000,-149998000,30466000,160000,133017000,133017000,166426000,-1958000,976000,5712000,1442000,6172000,-591000,-591000,4567000,4567000,-849000,3718000,9299000,9299000,5000,9304000,18512000,-3.3881317890172e-21,18654000,0.98117,0.32375,-0.03615,-0.01472,-0.01176,-9.52707000000001,4.56849,0.25116,0,-0.10499,-0.09965,2.90429,7.13228,1.00021,-0.01407,0.13403,-5.78301,-6.10487
"15","2014_Q2",39.5931746031746,"Down",50940000,-2113000,48827000,-31757000,-31403000,-354000,17070000,-39000,-39000,17031000,-20180000,-3149000,1596000,-1553000,-1553000,-1553000,-1553000,98228000,98228000,8386000,8386000,15745000,10422000,122359000,10411000,36452000,5074000,46863000,169222000,22715000,2407000,20308000,4486000,2791000,27201000,5897000,5897000,5897000,33098000,257033000,-149998000,28913000,176000,136124000,136124000,169222000,-1553000,999000,2773000,-7629000,-5410000,-5615000,-5615000,2283000,2283000,-97000,2186000,-8839000,-8839000,12000,-8827000,18069000,0,3229000,0.95852,0.3351,-0.03049,-0.01141,-0.00918,-2.0792,4.49833,0.24315,0,-0.08239,-0.08239,2.70253,7.22182,0.17131,-0.01094,0.02274,-5.43627,-5.75442
"16","2014_Q3",27.28515625,"Down",42594000,-892000,41702000,-16820000,-16466000,-354000,24882000,-29000,-29000,24853000,-18534000,6319000,-3296000,3023000,3023000,3023000,3023000,70382000,70382000,6863000,6863000,12609000,7647000,89854000,10594000,37027000,5195000,47621000,137475000,13529000,4153000,9376000,3978000,2466000,17507000,5873000,5873000,5873000,23380000,260236000,-178254000,31936000,177000,114095000,114095000,137475000,3023000,1062000,2243000,-6020000,308000,-1225000,-1225000,-27295000,961000,365000,-26930000,-27847000,-27847000,1000,-27846000,25944000,0,21995000,0.97906,0.58417,0.07097,0.0265,0.02199,7.27588,5.13246,0.20492,1.0097419586829e-28,0.15928,0.14539,2.24427,6.01164,1.15891,0.0252,0.18334,-2.71284,-2.82863
"17","2014_Q4",24.308125,"Down",41168000,-745000,40423000,-16659000,-16305000,-354000,23764000,-13000,-13000,23751000,-19998000,3753000,-2229000,1524000,1524000,1524000,1524000,58080000,58080000,5878000,5878000,8319000,6745000,72277000,10526000,37553000,6019000,48079000,120356000,13363000,2768000,10595000,5113000,2846000,18476000,6195000,6195000,6195000,24671000,262045000,-199998000,33460000,178000,95685000,95685000,120356000,1524000,1050000,6283000,2104000,10961000,-995000,-995000,-21086000,658000,-1183000,-22269000,-12303000,-12303000,1000,-12302000,24814000,0,28152000,0.9819,0.57724,0.03702,0.01593,0.01266,18.47244,3.91194,0.25784,0,0.0855,0.08291,2.30957,5.36802,1.57935,0.01496,0.27633,-2.34061,-2.44403
"18","2015_Q1",11.9444262295082,"Down",44975000,-744000,44231000,-33574000,-33107000,-467000,10657000,-17000,-17000,10640000,-24423000,-13783000,-5416000,-19199000,-19199000,-19199000,-19199000,51415000,51415000,8200000,8200000,6860000,6474000,66475000,9640000,30549000,5679000,40189000,106664000,22872000,5961000,16911000,3865000,2996000,26737000,6449000,6449000,6449000,33186000,259036000,-199998000,14261000,179000,73478000,73478000,106664000,-19199000,1081000,7905000,6133000,-4080000,-269000,-269000,210000,210000,-2528000,-2318000,-6667000,-6667000,2000,-6665000,11738000,-4.33680868994202e-19,23018000,0.98346,0.23695,-0.42688,-0.26129,-0.18,-1.19892,2.48626,0.45165,1.61558713389263e-27,-1.07769,-1.24306,2.52456,4.1245,1.29206,-0.24021,0.28799,-4.38022,-4.82453
"19","2015_Q2",12.0895238095238,"Up",61288000,-2414000,58874000,-33769000,-33424000,-345000,25105000,-14000,-14000,25091000,-27117000,-2026000,-56000,-2082000,-2082000,-2082000,-2082000,39365000,39365000,14614000,14614000,7438000,7052000,61417000,8944000,28400000,3875000,37344000,98761000,13512000,2303000,11209000,5634000,4752000,19146000,6650000,6650000,6650000,25796000,260604000,-199998000,12179000,180000,72965000,72965000,98761000,-2082000,1058000,4523000,-14671000,-11172000,-384000,-384000,5129911.86067634,717458.941985326,-499000,-499000,-12055000,-12055000,5000,-12050000,26163000,0,11164000,0.96061,0.40962,-0.03397,-0.02853,-0.02108,-5.36215,3.20782,0.35354,0,-0.11668,-0.11668,3.43466,4.08905,0.62564,-0.02615,0.14022,-1.50461,-1.56801
"20","2015_Q3",14.206875,"Up",39894000,-670000,39224000,-17089000,-16801000,-288000,22135000,-9000,-9000,22126000,-16307000,5819000,-69000,5750000,5750000,5750000,5750000,51812000,51812000,10169000,10169000,6778000,6392000,68759000,8510000,28358000,4122000,36868000,105627000,12431000,2066000,10365000,5249000,4647000,17680000,6608000,6608000,6608000,24288000,263224000,-199998000,17929000,184000,81339000,81339000,105627000,5750000,1050000,2305000,3614000,12719000,-1048000,-1048000,1049000,1049000,-277000,772000,12443000,12443000,4000,12447000,23185000,6.93889390390723e-18,25820000,0.98321,0.55485,0.14413,0.07069,0.05444,4.49043,3.88908,0.2986,0,0.32001,0.31677,2.22028,4.52688,1.437,0.06538,0.29359,-2.23472,-2.34073
"21","2015_Q4",11.91828125,"Down",38223000,-443000,37780000,-17358000,-17098000,-260000,20422000,-27000,-27000,20395000,-17498000,2897000,738000,3635000,3635000,3635000,3635000,62016000,62016000,8832000,8832000,7651000,7265000,78499000,8091000,28395000,4419000,36486000,114985000,14865000,2069000,12796000,7530000,3846000,22395000,5817000,5817000,5817000,28212000,265013000,-199998000,21564000,194000,86773000,86773000,114985000,3635000,1014000,2126000,4150000,10925000,-903000,-903000,277000,277000,-105000,172000,10194000,10194000,10000,10204000,21436000,0,23945000,0.98841,0.53429,0.0951,0.04189,0.03161,6.58735,3.5052,0.32512,0,0.20088,0.19928,2.11235,4.79541,1.32329,0.03926,0.25861,-2.89308,-3.03673
"22","2016_Q1",9.93245901639344,"Down",50136000,-651000,49485000,-38747000,-38487000,-260000,10738000,95000,95000,10833000,-23129000,-12296000,230000,-12066000,-12066000,-12066000,-12066000,62710000,62710000,9647000,9647000,5185000,5185000,77542000,7364000,28413000,4697000,35777000,113319000,28096000,3012000,25084000,3840000,3448000,31936000,4962000,4962000,4962000,36898000,266728000,-199998000,9498000,193000,76421000,76421000,113319000,-12066000,1026000,2041000,10223000,1224000,-661000,-661000,246000,246000,-114000,132000,695000,695000,-999.999999999998,694000,11764000,-1.11022302462516e-16,21096000,0.98702,0.21418,-0.24067,-0.15789,-0.10648,-1.74838,2.42804,0.48283,0,-0.66571,-0.67806,2.76612,4.21633,1.16392,-0.14826,0.25922,-5.33067,-5.84001
"23","2016_Q2",12.13953125,"Up",73844000,-2184000,71660000,-29070000,-28810000,-260000,42590000,-11000,-11000,42579000,-18907000,23672000,-5638000,18034000,18034000,18034000,18034000,66689000,66689000,19625000,19625000,4947000,4947000,91261000,6733000,27080000,3624000,33813000,125074000,13750000,2057000,11693000,10436000,10104000,24186000,4888000,4888000,4888000,29074000,268284000,-199998000,27532000,182000,9.6e+07,9.6e+07,125074000,18034000,1005000,3872000,-18214000,4697000,-411000,-411000,138424.833875728,214494.847579162,-296000,-296000,3990000,3990000,-11000,3979000,43595000,0,30608000,0.97042,0.57676,0.24422,0.18785,0.14419,1.69724,3.7733,0.30285,0,0.99344,0.98995,4.06787,5.28838,1.68611,0.17875,0.30339,-1.52974,-1.56584
"24","2016_Q3",11.7603125,"Down",37277000,-533000,36744000,-23811000,-23551000,-260000,12933000,-21000,-21000,12912000,-18742000,-5830000.00000001,5354000,-476000,-476000,-476000,-476000,66714000,66714000,13931000,13931000,5401000,5401000,86046000,6687000,27220000,4024000,33907000,119953000,12587000,2344000,10243000,5565000,5058000,18152000,4704000,4704000,4704000,22856000,269853000,-199998000,27056000,186000,97097000,97097000,119953000,-476000,929000,2642000,-536000,2559000,-1907000,-1907000,60000.0000000001,60000,-691000,-631000,21000,21000,4000,25000.0000000009,13862000,-1.77635683940025e-15,6065000.00000001,0.9857,0.34694,-0.0127699999999999,-0.00489999999999993,-0.00397,-12.7416,4.7403,0.23539,3.30872245021211e-24,-0.0260699999999999,-0.0259000000000001,2.04157,5.31776,0.33216,-0.00467999999999999,0.05958,-4.81273,-5.15843
"25","2016_Q4",10.2073015873016,"Down",32079000,-30000,32049000,-19391000,-19131000,-260000,12658000,7000,7000,12665000,-19574000,-6909000,1173000,-5736000,-5736000,-5736000,-5736000,67268000,67268000,7613000,7613000,5964000,5964000,80845000,6104000,27284000,4348000,33388000,114233000,13018000,2332000,10686000,5338000,3922000,18356000,3275000,3275000,3275000,21631000,271099000,-199998000,21320000,181000,92602000,92602000,114233000,-5736000,815000,1799000,4649000,1527000,-847000,-847000,0,0,-121000,-121000,559000,559000,-5000,554000,13473000,0,16102000,0.99906,0.39459,-0.17881,-0.06194,-0.05021,-2.80718,4.40428,0.23359,0,-0.31295,-0.31213,1.75018,5.05221,0.8785,-0.05983,0.16794,-4.9928,-5.31427
"26","2017_Q1",11.5685483870968,"Up",50124000,1885000,52009000,-36197000,-35937000,-260000,15812000,1174000,1174000,16986000,-23947000,-6961000,-4557000,-11518000,-11518000,-11518000,-11518000,61781000,61781000,9213000,9213000,5148000,5148000,76142000,5608000,27149000,4473000,32757000,108899000,23190000,5112000,18078000,4734000,3775000,27924000,3374000,3374000,3374000,31298000,272807000,-199998000,4616000,176000,77601000,77601000,108899000,-11518000,790000,5438000,589999.999999999,-4700000,1276000,-561000,2000,2000,-223000,-221000,-5482000,-5482000,-5000,-5487000,16602000,0,23025000,1.03761,0.31546,-0.22979,-0.14843,-0.10577,-1.99904,2.72676,0.40332,5.29395592033938e-23,-0.62779,-0.62985,2.732,4.22963,1.25497,-0.14224,0.28435,-3.7213,-3.90722
"27","2017_Q2",15.9634920634921,"Up",41556000,-181000,41375000,-25307000,-25047000,-260000,16068000,277000,277000,16345000,-20181000,-3836000,4916000,1080000,1080000,1080000,1080000,68228000,68228000,27902000,27902000,4452000,4452000,100582000,5703000,26832000,4416000,32535000,133117000,12842000,1699000,11143000,5989000,5259000,18831000,1425000,1425000,1425000,20256000,274640000,-199998000,38037000,182000,112861000,112861000,133117000,1080000,762000,-718000,7304000,8428000,-862000,-1664000,0,0,-332000,-332000,6432000,6432000,15000,6447000,16830000,0,18356000,0.99564,0.38666,0.02599,0.00957,0.00811,16.9963,5.3413,0.17948,0,0.05879,0.05819,2.26217,6.14377,0.99924,0.00945,0.16061,-4.05395,-4.2462
"28","2017_Q3",20.3598412698413,"Up",34566000,-56000,34510000,-25034000,-24774000,-260000,9476000,298000,298000,9774000,-19944000,-10170000,8664000,-1506000,-1506000,-1506000,-1506000,66080000,66080000,18614000,18614000,4699000,4699000,89393000,5220000,27019000,4863000,32239000,121632000,17074000,2344000,14730000,4997000,4605000,22071000,1430000,1430000,1430000,23501000,277162000,-199998000,20777000,190000,98131000,98131000,121632000,-1506000,751000,-5592000,5379000,-968000,-243000,-1106000,49000,49000,-126000,-77000,-2151000,-2151000,3000,-2148000,10227000,0,6699000,0.99838,0.27414,-0.04357,-0.01535,-0.01238,-4.44821,4.05025,0.23949,0,-0.0815,-0.0823499999999999,1.87066,5.31069,0.36254,-0.01513,0.06729,-6.46133,-6.97341
"29","2017_Q4",22.3698412698413,"Up",31466000,9000,31475000,-22996000,-22736000,-260000,8479000,3e+05,3e+05,8779000,-24152000,-15373000,13197000,-2176000,-2176000,-2176000,-2176000,51377000,51377000,13020000,13020000,7644000,7644000,72041000,4961000,27161000,5265000,32122000,104163000,16652000,3560000,13092000,7017000,3946000,23669000,1313000,1313000,1313000,24982000,278833000,-199998000,161000,185000,79181000,79181000,104163000,-2176000,699000,-10334000,-1062000,-12873000,-378000,-1218000,130000,130000,-723000,-593000,-14684000,-14684000,-19000,-14703000,9178000,0,-5459000,1.00029,0.26947,-0.06915,-0.02748,-0.02089,2.50873,3.04369,0.3155,0,-0.11717,-0.11717,1.69436,4.26369,-0.29395,-0.02703,-0.06782,-5.59784,-6.05932
"30","2018_Q1",16.4595081967213,"Down",83118000,-354000,82764000,-33546000,-33286000,-260000,49218000,307000,307000,49525000,-28416000,21109000,6919000,28028000,28028000,28028000,28028000,40293000,40293000,1475000,1475000,113971000,4305000,155739000,4705000,28923000,7287000,203379000,359118000,23437000,3246000,20191000,2008000,2008000,25445000,47009000,1920000,47009000,72454000,281736000,-199998000,204724000,202000,286664000,286664000,359118000,28028000,625000,-1600000,-37181000,-10128000,-385000,-1090000,858000,858000,-726000,132000,-11086000,-11086000,2000,-11084000,49843000,0,5358000,0.99574,0.59215,0.33721,0.09777,0.07805,0.19117,6.12061,0.25275,6.7762635780344e-21,1.50454,1.34951,4.46175,15.38805,0.28762,0.084,0.01606,-0.8084,-0.818660000000001
"31","2018_Q2",19.29,"Up",43070000,-152000,42918000,-26144000,-25693000,-451000,16774000,184000,184000,16958000,-23494000,-6536000,1691000,-4845000,-4845000,-4845000,-4845000,34742000,34742000,668000,668000,104776000,6008000,140186000,4616000,62022000,7900000,240352000,380538000,15362000,2789000,12573000,16365000,16365000,31727000,58708000,15355000,58708000,90435000,289955000,-199998000,199880000,266000,290103000,290103000,380538000,-4845000,619000,2382000,12581000,10737000,-217000,-16135000,109000,109000,-312000,-203000,-5601000,-5601000,50000,-5551000,17393000,0,28066000,0.99647,0.38946,-0.11249,-0.0167,-0.01273,-5.79278,4.41851,0.31173,0,-0.25672,-0.25672,2.2821,15.37132,1.4871,-0.01389,0.08046,-1.99747,-2.07118
