"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",14.04515625,"Up",252120000,-179113000,73007000,-56897000,-53607000,-3290000,16110000,-2859000,-2859000,13251000,13251000,-5688000,7563000,7563000,7563000,7563000,1939000,1939000,176082000,176082000,39193000,21399000,217214000,15336000,298615000,135304000,123324000,39987000,313951000,531165000,106114000,56721000,49393000,8056000,8056000,114170000,158246000,67279000,67279000,225525000,339695000,426452000,-234632000,-350000,191470000,191470000,531165000,7563000,3290000,3426000,-16497000,-2218000,-2215000,-421000,-2636000,1007000,-699000,1019000,-3835000,-3835000,93000,-3742000,19400000,158246000,6376000,0.28957,0.0639,0.03,0.0395,0.01424,0.84305,1.90255,1.77414,0.29792,0.16508,0.15862,5.50324,4.17938,0.13917,0.01814,0.01529,8.05706,9.70248
"12","2013_Q3",14.69640625,"Up",253943000,-179530000,74413000,-57791000,-54551000,-3240000,16622000,-3130000,-3130000,13492000,13492000,-5093000,8399000,8399000,8399000,8399000,10519000,10519000,165526000,165526000,34185000,15502000,210230000,16826000,300528000,133708000,123324000,43496000,317354000,527584000,99245000,52374000,46871000,6924000,6924000,111169000,148524000,69967000,69967000,218491000,329660000,427581000,-226233000,-378000,197924000,197924000,527584000,8399000,3240000,-199000,11081000,22521000,-3133000,-263000,-3396000,-6185000,-4388000,-10517000,8608000,8608000,-28000,8580000,19862000,153524000,32903000,0.29303,0.06546,0.03307,0.04244,0.01592,3.91749,1.89108,1.66559,0.29099,0.18243,0.17557,5.51582,4.29905,0.71468,0.01993,0.07808,7.19993,8.60336
"13","2013_Q4",13.5334375,"Down",257095000,-181428000,75667000,-58922000,-55605000,-3317000,16745000,-1840000,-1840000,14905000,14905000,-6290000,8615000,8615000,8615000,8615000,31653000,31653000,163802000,163802000,30825000,13183000,226280000,17405000,300492000,132127000,123324000,45041000,317897000,544177000,109062000,54842000,54220000,6251000,6251000,115313000,148616000,71976000,71976000,220592000,335905000,428365000,-219631000,-462000,208272000,208272000,544177000,8615000,3317000,2813000,12347000,27092000,-499000,-519000,-1018000,-5236000,-27000,-4856000,21218000,21218000,-84000,21134000,20062000,148616000,38200000,0.29432,0.06513,0.03351,0.04136,0.01583,4.43413,1.96231,1.61282,0.2731,0.18734,0.18019,5.59072,4.52903,0.83069,0.02009,0.08907,5.83008,6.98495
"14","2014_Q1",14.393606557377,"Up",248658000,-174465000,74193000,-58168000,-54470000,-3698000,16025000,-1836000,-1836000,14189000,14189000,-5833000,8356000,8356000,8356000,8356000,15580000,15580000,165748000,165748000,51569000,26631000,232897000,21158000,350233000,150197000,144642000,55394000,371391000,604288000,127263000,71314000,55949000,15827000,14454000,143090000,148672000,94784000,77020000,243456000,386546000,429515000,-211275000,-498000,217742000,217742000,604288000,8356000,3698000,3706000,60000,15820000,-2600000,-48000,-42148000,9733000,555000,10291000,-16037000,-16037000,-36000,-16073000,19723000,148672000,23016000,0.29837,0.06445,0.0336,0.03838,0.01383,2.75443,1.62763,1.77525,0.24603,0.1816,0.17474,5.40396,4.73208,0.5002,0.01812,0.0499,6.74806,8.30527
"15","2014_Q2",11.9592063492063,"Down",240881000,-166925000,73956000,-58487000,-54667000,-3820000,15469000,-1846000,-1846000,13623000,13623000,-5993000,7630000,7630000,7630000,7630000,9269000,9269000,169520000,169520000,49685000,24818000,228474000,24400000,341562000,148317000,144937000,48308000,365962000,594436000,118518000,62685000,55833000,15212000,15212000,141230000,141227000,87098000,87098000,228325000,369555000,429033000,-203645000,-507000,224881000,224881000,594436000,7630000,3820000,22000,-10608000,864000,-5843000,3134000,-4709000,-156000,-2359000,-2457000,-6302000,-6302000,-9000,-6311000,19289000,148727000,8831000,0.30702,0.06422,0.03168,0.03393,0.01284,1.1574,1.61774,1.64334,0.2502,0.1646,0.15923,5.19655,4.85138,0.19051,0.01656,0.01917,7.22992,9.01532
"16","2014_Q3",14.25265625,"Up",250913000,-173754000,77159000,-59577000,-55567000,-4010000,17582000,-4629000,-4629000,12953000,12953000,-5760000,7193000,7193000,7193000,7193000,5501000,5501000,174017000,174017000,55645000,27662000,235163000,27066000,349463000,146418000,144937000,58108000,376529000,611692000,121176000,65130000,56046000,10597000,10597000,139273000,140625000,98188000,98188000,238813000,378086000,430602000,-196452000,-544000,233606000,233606000,611692000,7193000,4010000,747000,-5773000,6177000,-4033000,3933000,-1100000,-5152000,-3656000,-8808000,-3731000,-3731000,-37000,-3768000,21592000,148125000,17546000,0.30751,0.07007,0.02867,0.03079,0.01176,2.43932,1.6885,1.61848,0.24216,0.15476,0.15037,5.39842,5.02605,0.3775,0.01499,0.03656,6.60541,8.11193
"17","2014_Q4",17.17140625,"Up",264584000,-184278000,80306000,-64405000,-60319000,-4086000,15901000,-1433000,-1433000,14468000,14468000,-5969000,8499000,8499000,8499000,8499000,9663000,9663000,185647000,185647000,53814000,28844000,249124000,29202000,350492000,144498000,144937000,61057000,379694000,628818000,131523000,66949000,64574000,8746000,8746000,147769000,138750000,96881000,96881000,235631000,383400000,433839000,-187953000,-468000,245418000,245418000,628818000,8499000,4086000,2724000,143000,15452000,-4411000,1900000,-4511000,-8534000,-54000,-6854000,4087000,4087000,75000,4162000,19987000,146250000,21688000,0.30352,0.0601,0.03212,0.03463,0.01352,2.55183,1.6859,1.56223,0.23258,0.18259,0.17661,5.68436,5.27259,0.46595,0.0174,0.04439,6.83379,8.58984
"18","2015_Q1",20.6908196721311,"Up",279649000,-194953000,84696000,-65745000,-61668000,-4077000,18951000,-1329000,-1329000,17622000,17622000,-7727000,9895000,9895000,9895000,9895000,13073000,13073000,214717000,214717000,54880000,10350000,282670000,32880000,365181000,152517000,154387000,58277000,398061000,680731000,146988000,78993000,67995000,23807000,20630000,178295000,135690000,110165000,77674000,245855000,424150000,434995000,-178058000,-356000,256581000,256581000,680731000,9895000,4077000,13580000,-22367000,5185000,-4847000,1409000,-17908000,16068000,-47999.9999999995,16020000,3297000,3297000,113000,3410000,23028000,143190000,3541000,0.30287,0.06777,0.03538,0.03856,0.01454,0.35786,1.58541,1.65308,0.21035,0.21217,0.20415,5.99629,5.50166,0.07593,0.0194,0.00694,5.65038,6.86597
"19","2015_Q2",26.1155555555556,"Up",327510000,-226078000,101432000,-76647000,-71552000,-5095000,24785000,-1807000,-1807000,22978000,22978000,-10769000,12209000,12209000,12209000,12209000,11633000,11633000,255192000,255192000,55531000,29065000,322356000,36674000,441020000,179877000,197254000,63889000,477694000,800050000,164318000,92081000,72237000,35799000,32662000,207617000,200500000,121170000,83972000,321670000,529287000,436900000,-165849000,-288000,270763000,270763000,800050000,12209000,5095000,5149000,-13766000,8687000,-6370000,-2035000,-85350000,75621000,-3665000,75155000,-1508000,-1508000,68000,-1440000,29880000,2.08e+08,20513000,0.30971,0.07568,0.03728,0.04509,0.01526,1.68015,1.55265,1.9548,0.25998,0.25896,0.25244,6.94672,5.74307,0.4351,0.02035,0.03419,6.57185,7.92282
"20","2015_Q3",33.00078125,"Up",350144000,-240026000,110118000,-79959000,-74727000,-5232000,30159000,-1977000,-1977000,28182000,28182000,-12312000,15870000,15870000,15870000,15870000,14474000,14474000,266908000,266908000,61986000,34624000,343368000,41621000,441163000,176930000,197325000,66908000,482784000,826152000,178159000,101578000,76581000,45971000,40466000,231630000,188625000,117859000,80638000,306484000,538114000,438349000,-149979000,-332000,288038000,288038000,826152000,15870000,5232000,1734000,2164000,2.5e+07,-8234000,-1282000,-9516000,-11875000,-842000,-12563000,2921000,2921000,-80000,2841000,35391000,196125000,41633000,0.31449,0.08613,0.04532,0.0551,0.01921,2.62338,1.4824,1.8682,0.2374,0.33359,0.32479,7.36014,6.05465,0.87514,0.02636,0.06916,5.13269,6.02311
"21","2015_Q4",29.605625,"Down",382859000,-256850000,126009000,-88402000,-83098000,-5304000,37607000,-2013000,-2013000,35594000,35594000,-1947000,33647000,33647000,33647000,33647000,14408000,14408000,298300000,298300000,56273000,12818000,368981000,45407000,450850000,177347000,201444000,72059000,496257000,865238000,201644000,113152000,88492000,40970000,36026000,250114000,176750000,114409000,75409000,291159000,541273000,440942000,-116332000,-645000,323965000,323965000,865238000,33647000,5304000,10687000,-27688000,21950000,-6518000,902000,-10768000,-11875000,263000,-11302000,-120000,-120000,54000,-66000,42911000,184250000,10652000,0.32913,0.09823,0.08788,0.10386,0.03889,0.31658,1.47525,1.67078,0.21295,0.70577,0.68698,8.03077,6.79542,0.22343,0.05404,0.01711,3.95801,4.51623
"22","2016_Q1",28.5952459016393,"Down",402552000,-270748000,131804000,-95476000,-90154000,-5322000,36328000,-1993000,-1993000,34335000,34335000,-14170000,20165000,20165000,20165000,20165000,9576000,9576000,328803000,328803000,37249000,13526000,375628000,50134000,454670000,174970000,204779000,74921000,504804000,880432000,202523000,118822000,83701000,40994000,35374000,251017000,180990000,100565000,78134000,281555000,532572000,444210000,-96167000,-183000,347860000,347860000,880432000,20165000,5322000,-1550000,-23261000,676000,-5888000,-1579000,-10451000,5125000.00000001,-215000,4909999.99999999,-4865000,-4865000,33000,-4832000,41650000,188490000,26671000,0.32742,0.09024,0.05009,0.05797,0.0229,1.32264,1.49642,1.531,0.21409,0.42268,0.41013,8.43801,7.29159,0.55906,0.03166,0.04188,4.29565,4.92496
"23","2016_Q2",36.9915625,"Up",468002000,-316104000,151898000,-104588000,-97823000,-6765000,47310000,-3249000,-3249000,44061000,44061000,-18192000,25869000,25869000,25869000,25869000,23106000,23106000,352200000,352200000,37656000,16008000,412962000,53731000,627808000,240478000,307161000,80169000,681539000,1094501000,207170000,109121000,98049000,72434000,63998000,290854000,324246000,105590000,83076000,429836000,720690000,444716000,-70298000,-607000,373811000,373811000,1094501000,25869000,6765000,3396000,-803000,35227000,-6618000,-2855000,-174703000,157187000,-4220000,152967000,13491000,13491000,39000,13530000,54075000,335496000,64846000,0.32457,0.10109,0.05528,0.0692,0.02364,2.50671,1.41983,1.92795,0.30653,0.54013,0.52683,9.77162,7.80497,1.35395,0.03175,0.07958,5.77698,6.60304
"24","2016_Q3",37.99046875,"Up",473729000,-318976000,154753000,-106875000,-99541000,-7334000,47878000,-2800000,-2800000,45078000,45078000,-18756000,26322000,26322000,26322000,26322000,21062000,21062000,377179000,377179000,44332000,15746000,442573000,56575000,681290000,255214000,342827000,83249000,737865000,1180438000,234481000,131965000,102516000,55873000,49728000,301604000,360519000,115416000,84495000,475935000,777539000,447508000,-43976000,-633000,402899000,402899000,1180438000,26322000,7334000,4788000,-18391000,20053000,-6276000,-1055000,-58451000,36186000,82000,36268000,-2130000.00000001,-2130000.00000001,86000,-2044000,55212000,371769000,49301000,0.32667,0.10107,0.05556,0.06533,0.0223,1.873,1.4674,1.92986,0.31494,0.54799,0.5334,9.86237,8.38779,1.02638,0.02957,0.05539,6.35201,7.32501
"25","2016_Q4",34.1639682539683,"Down",472636000,-318169000,154467000,-107784000,-99995000,-7789000,46683000,-3016000,-3016000,43667000,43667000,-16371000,27296000,27296000,27296000,27296000,15708000,15708000,373314000,373314000,44635000,13928000,433657000,57965000,678147000,250455000,342174000,85518000,736112000,1169769000,217918000,118289000,99629000,18408000,9962000,240076000,381293000,115227000,86949000,496520000,736596000,450213000,-16679000,-361000,433173000,433173000,1169769000,27296000,7789000,1651000,-7196000,29540000,-4811000,-3103000,-8117000,-26817000,0,-26817000,-5394000,-5394000,40000,-5354000,54472000,385043000,58836000,0.32682,0.09877,0.05775,0.06301,0.02333,2.15548,1.80633,1.70047,0.32916,0.56809,0.55244,9.83654,9.01523,1.2245,0.02924,0.06303,6.78027,7.91155
"26","2017_Q1",39.1661290322581,"Up",487858000,-329252000,158606000,-108845000,-101113000,-7732000,49761000,-6400000,-6400000,43361000,43361000,-17010000,26351000,26351000,26351000,26351000,10622000,10622000,391210000,391210000,48796000,14189000,450628000,59954000,676299000,245724000,341754000,88821000,736253000,1186881000,245505000,137512000,107993000,25535000,16611000,274790000,359192000,103516000,82096000,462708000,737498000,452972000,9671000,1000,449383000,449383000,1186881000,26351000,7732000,3258000,11748000,49089000,-4251000,-1746000,-17090000,-16876000,-5991000,-36128000,-4129000,-4129000,102000,-4027000,57493000,362942000,8.2e+07,0.32511,0.102,0.05401,0.05864,0.0222,3.11184,1.6399,1.64113,0.30579,0.5512,0.53551,10.20474,9.39994,1.71523,0.02877,0.08954,6.12805,7.08024
"27","2017_Q2",38.3507936507936,"Down",495169000,-333393000,161776000,-109741000,-102073000,-7668000,52035000,-5130000,-5130000,46905000,46905000,-14897000,32008000,32008000,32008000,32008000,37711000,37711000,383620000,383620000,50893000,19498000,472224000,62620000,676203000,241130000,340564000,94509000,738823000,1211047000,235670000,136028000,99642000,38268000,29428000,277688000,358512000,98042000,81494000,456554000,734242000,448340000,41679000,47000,476805000,476805000,1211047000,32008000,7668000,3856000,1152000,44684000,-5498000,-4998000,-13300000,-938000,-10990000,-11928000,19456000,19456000,4000,19460000,59703000,362262000,70254000,0.32671,0.10509,0.06464,0.06713,0.02643,2.19489,1.70056,1.53992,0.29913,0.66988,0.64637,10.36309,9.97876,1.4703,0.03416,0.07497,5.43609,6.23717
"28","2017_Q3",38.2150793650794,"Down",489803000,-328791000,161012000,-104632000,-96673000,-7959000,56380000,-4928000,-4928000,51452000,51452000,-20197000,31255000,31255000,31255000,31255000,22878000,22878000,371228000,371228000,46938000,17153000,441044000,65368000,682558000,236486000,340596000,105476000,747926000,1188970000,226226000,118943000,107283000,22031000,12387000,266328000,319462000,94688000,82301000,414150000,680478000,449200000,72934000,-52000,508492000,508492000,1188970000,31255000,7959000,1235000,-15090000,25359000,-6243000,-1826000,-6316000,-2.5e+07,-1616000,-26945000,-7902000,-7902000,-42000,-7944000,64339000,337533000,63203000,0.32873,0.11511,0.06381,0.06147,0.02629,2.02217,1.65602,1.33823,0.28389,0.65229,0.63173,10.22212,10.61215,1.31904,0.03322,0.06719,4.89058,5.58097
"29","2017_Q4",45.5785714285714,"Up",494406000,-334867000,159539000,-108711000,-100579000,-8132000,50828000,-4837000,-4837000,45991000,45991000,-17863000,28128000,28128000,28128000,28128000,19625000,19625000,380796000,380796000,42052000,15832000,442473000,68188000,680729000,231791000,340596000,108342000,748917000,1191390000,229918000,117934000,111984000,15049000,5440000,244967000,319652000,94572000,82673000,414224000,659191000,451620000,101062000,-125000,532199000,532199000,1191390000,28128000,8132000,3939000,-8146000,32053000,-5427000,-4232000,-4429000,-18125000,-58000,-24951000,2673000,2673000,-73000,2600000,58960000,319652000,63250000,0.32269,0.10281,0.05689,0.05285,0.02361,2.24865,1.80626,1.23862,0.2683,0.58708,0.56887,10.31904,11.10784,1.32013,0.02972,0.06683,5.08865,5.90279
"30","2018_Q1",54.366393442623,"Up",509076000,-346984000,162092000,-108895000,-100375000,-8520000,53197000,-4782000,-4782000,48415000,48415000,-7248000,41167000,41167000,41167000,41167000,15147000,15147000,391508000,391508000,67498000,16505000,474153000,73431000,706373000,227096000,340596000,138681000,779804000,1253957000,251742000,130319000,121423000,13530000,5146000,265272000,319843000,106315000,79279000,426158000,691430000,453835000,142229000,-112000,562527000,562527000,1253957000,41167000,8520000,19668000,-10933000,58422000,-9361000,-981000.000000001,-11316000,-3.72529029846191e-09,-301999.999999999,-13369000,33737000,33737000,13000,33750000,61717000,319843000,48671000,0.3184,0.1045,0.08087,0.07318,0.03283,1.18228,1.78742,1.22915,0.25507,0.86453,0.83537,10.69083,11.81333,1.02211,0.04164,0.04923,4.93699,5.72769
