"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",38.0559677419355,"Up",345321000,-134221000,211100000,-130941000,-106209000,-55206000,-51003000,-19351000,-5381000,80159000,1369000,1610000,1610000,-241000,81528000,-17000,81511000,-33280000,48231000,48231000,48231000,48231000,465229000,182650000,282579000,236232000,236232000,52228000,45784000,753689000,331218000,331218000,593105000,861442000,82375000,721601000,42101000,15365000,1785765000,2539454000,184365000,52749000,131616000,28555000,27927000,628000,212920000,66596000,2097000,64499000,66596000,279516000,5148092000,2e+06,5146092000,-2293994000,483000,2259938000,2259938000,2539454000,48231000,53457000,20718000,22635000,-2743000,12846000,-27974000,39008000,1812000,135252000,-46496000,-46496000,-46496000,-39242000,98567000,-137809000,-14392000,-14392000,-12679000,-112809000,-25332000,11191000,-36523000,170000,-25162000,-2719000,-2719000,2373000,-346000,133616000,0,133246000,0.61132,0.23213,0.13967,0.02134,0.01899,2.76266,3.53978,0.12368,-1.35525271560688e-20,0.27179,0.26639,1.94596,12.73527,0.75087,6,0.02073,0.05727,-3.48184,-5.80383
"12","2013_Q1",37.9293333333333,"Down",377872000,-139494000,238378000,-142248000,-116526000,-62667000,-53859000,-20371000,-5351000,96130000,1790000,1590000,1590000,2e+05,97920000,-392000,97528000,-29236000,68292000,68292000,68292000,68292000,437581000,201989000,235592000,218777000,218777000,72026000,51604000,728384000,345091000,345091000,657659000,869493000,84554000,723701000,21427000,39811000,1872243000,2600627000,176378000,43291000,133087000,26566000,26291000,275000,202944000,51929000,2565000,49364000,51929000,254873000,5197558000,2015000,5195543000,-2225702000,-1640000,2345754000,2345754000,2600627000,68292000,54960000,9144000,21405000,-5616000,20317000,19479000,9523000,-8685000,152713000,-47657000,-47657000,-47657000,-18126000,179913000,-198039000,-30650000,-30650000,-14450000,-110883000,-18465000,11354000,-29819000,-2698000,-21163000,20667000,20667000,-1328000,19339000,151090000,1.16415321826935e-10,152986000,0.63084,0.2544,0.18073,0.02911,0.02626,2.24017,3.58909,0.10865,0,0.38479,0.37568,2.12912,13.21715,0.862,7,0.02848,0.06381,-2.89616,-4.55197
"13","2013_Q2",41.83265625,"Up",368046000,-120392000,247654000,-146035000,-118070000,-62690000,-55380000,-21905000,-6060000,101619000,1476000,1608000,1608000,-132000,103095000,-431000,102664000,-31177000,71487000,71487000,71487000,71487000,513226000,165275000,347951000,232328000,232328000,86099000,65677000,831653000,369555000,369555000,569208000,876251000,74297000,729467000,13712000,58775000,1815014000,2646667000,177372000,57574000,119798000,34537000,33919000,618000,211909000,49981000,2761000,47220000,49981000,261890000,5209316000,2031000,5207285000,-2154215000,-5583000,2384777000,2384777000,2646667000,71487000,42375000,17873000,22931000,-5058000,-38511000,-28355000,-4528000,-5628000,93224000,-43571000,-43831000,-43831000,-23670000,121680000,-145350000,0,0,-16998000,-84239000,-29914000,10364000,-40278000,-13196000,-43110000,-34125000,-34125000,-2589000,-36714000,143994000,0,93089000,0.67289,0.2761,0.19423,0.02998,0.02701,1.30218,3.92458,0.10982,1.0842021724855e-19,0.40184,0.39373,2.06885,13.40523,0.52327,7,0.02936,0.03823,-3.56422,-5.05049
"14","2013_Q3",47.15625,"Up",378106000,-124705000,253401000,-155507000,-129176000,-67825000,-61351000,-20597000,-5734000,97894000,1818000,1477000,1477000,341000,99712000,-391000,99321000,-37426000,61895000,61895000,61895000,61895000,530942000,204865000,326077000,237286000,237286000,91156000,70734000,859384000,405653000,405653000,587470000,872763000,68562000,729386000,14527000,60288000,1865886000,2725270000,194022000,50370000,143652000,32552000,32019000,533000,226574000,50823000,2895000,47928000,50823000,277397000,5258393000,2045000,5256348000,-2092320000,-10955000,2447873000,2447873000,2725270000,61895000,44126000,19464000,24801000,-5337000,15579000,-6848000.00000001,28223000,-5796000,141064000,-58225000,-58391000,-58391000,987999.999999993,165513000,-164525000,80000,80000,-18491000,-75648000,-24607000,17897000,-42504000,1693000,-22914000,42502000,42502000,-2912000,39590000,142020000,0,136800000,0.67019,0.25891,0.1637,0.02529,0.02271,2.21019,3.79295,0.11332,0,0.34794,0.34123,2.12549,13.76052,0.76901,7,0.02477,0.05475,-3.7385,-5.42364
"15","2013_Q4",47.1915625,"Up",395790000,-132039000,263751000,-164161000,-134445000,-67811000,-66634000,-24857000,-4859000,99590000,1153000,1458000,1458000,-305000,100743000,-69000,100674000,-20918000,79756000,79756000,79756000,79756000,566315000,235015000,331300000,256453000,256453000,87874000,67452000,910642000,424605000,424605000,620204000,929674000,79803000,751271000,20672000,77928000,1974483000,2885125000,220600000,49073000,171527000,64824000,37025000,27799000,285424000,56571000,2643000,53928000,56571000,341995000,5297998000,2059000,5295939000,-2012564000,-5434000,2543130000,2543130000,2885125000,79756000,47954000,16408000,24479000,-8071000,13770000,-16118000,20035000,9853000,157888000,-40010000,-40345000,-40345000,-36172000,57509000,-93681000,-27500000,-27500000,-23002000,-126684000,-3469000,26157000,-29626000,1096000,-2373000,28831000,28831000,1319000,30150000,147544000,0,142222000,0.66639,0.25162,0.20151,0.03136,0.02764,1.78321,3.19049,0.13448,-1.73472347597681e-18,0.44748,0.43841,2.22062,14.26849,0.79795,6,0.03068,0.05471,-3.83828,-5.68646
"16","2014_Q1",55.2234426229508,"Up",435980000,-133951000,302029000,-185321000,-153907000,-82054000,-71853000,-26520000,-4894000,116708000,1139000,1534000,1534000,-395000,117847000,-952000,116895000,-36546000,80349000,80349000,80349000,80349000,673896000,333891000,340005000,271988000,271988000,83830000,62096000,1029714000,450287000,450287000,573026000,904658000,77429000,757368000,2325000,67536000,1927971000,2957685000,224095000,73710000,150385000,39071000,36952000,2119000,263166000,65088000,3199000,57152000,65088000,328254000,4563737000,1808000,4561929000,-1932215000,-2091000,2629431000,2629431000,2957685000,80349000,49976000,47857000,23673000,-3159000,-6450000,-15863000,-3197000,12610000,171732000,-46158000,-45397000,-45397000,39104000,130433000,-91329000,-3237000,-3237000,-16246000,-26537000,-38722000,9289000,-48011000,-8124000,-46846000,98349000,98349000,527000,98876000,166684000,1.49011611938477e-08,150622000,0.69276,0.26769,0.1843,0.03056,0.02717,1.8746,3.91279,0.12484,0,0.44948,0.44084,2.43891,14.70928,0.84259,7,0.02982,0.0559,-4.04296,-5.77421
"17","2014_Q2",55.6134920634921,"Up",453502000,-139612000,313890000,-192308000,-157226000,-81065000,-76161000,-28234000,-6848000,121582000,-1183000,-302000,1639000,-881000,120399000,-735000,119664000,-46864000,72800000,72800000,72800000,72800000,698130000,248726000,449404000,301954000,301954000,127216000,89198000,1127300000,503601000,503601000,721271000,1299320000,157621000,1050780000,2476000,88443000,2524192000,3651492000,192154000,61707000,130447000,52032000,48359000,3673000,244186000,104447000,4181000,71821000,695161000,939347000,4689344000,1832000,4687512000,-1859415000,-1637000,2712145000,2712145000,3651492000,72800000,53516000,13839000,25114000,-12935000,-51132000,-18137000,-22511000,-10484000,89023000,-52011000,-52011000,-52011000,-258973000,399970000,-658943000,-386647000,-386647000,-32827000,-730458000,-71818000,44329000,-116147000,-11093000,555508000,-85927000,-85927000,762000,-85165000,175098000,590714000,118819000,0.69215,0.2681,0.16053,0.02684,0.01994,1.63213,4.61656,0.34635,0.16177,0.40738,0.39992,2.53771,15.17666,0.66489,5,0.02137,0.03487,-0.61346,-0.88349
"18","2014_Q3",60.106875,"Up",476035000,-149318000,326717000,-213797000,-173342000,-91462000,-81880000,-32052000,-8403000,112920000,-3675000,-2776000,1740000,-899000,109245000,-569000,108676000,-35790000,72886000,72886000,72886000,72886000,756773000,254165000,502608000,325385000,325385000,117509000,88047000,1199667000,536637000,536637000,735629000,1296724000,149218000,1049047000,2317000,96142000,2568990000,3768657000,229180000,70534000,158646000,54112000,48182000,5930000,283292000,117236000,4056000,72795000,712621000,995913000,4744267000,1844000,4742423000,-1786529000,2497000,2772744000,2772744000,3768657000,72886000,58712000,52784000,31678000,926000,15842000,-23117000,43970000,-5011000,200224000,-45981000,-45981000,-45981000,-66496000,138152000,-204648000,115000,115000,-21678000,-134040000,-57674000,13670000,-71344000,-3494000,-62036000,4148000.00000003,4148000.00000003,1291000,5439000,171632000,595385000,177283000,0.68633,0.23721,0.15311,0.02629,0.01934,2.43233,4.23474,0.35918,0.15798,0.40929,0.40304,2.67314,15.57013,0.99552,7,0.02091,0.05086,-0.94031,-1.42922
"19","2014_Q4",60.28375,"Up",498042000,-158812000,339230000,-219106000,-178120000,-96215000,-81905000,-32583000,-8403000,120124000,-2660000,-2472000,2010000,-188000,117464000,115000,117579000,-26424000,91155000,91155000,91155000,91155000,710912000,214339000,496573000,326747000,326747000,115017000,90173000,1152676000,559194000,559194000,850847000,1291574000,140815000,1049047000,2530000,99182000,2701615000,3854291000,248786000,74801000,173985000,52815000,50582000,2233000,301601000,104212000,3647000,75466000,704310000,1005911000,4779812000,1851000,4777961000,-1695374000,-9545000,2848380000,2848380000,3854291000,91155000,67415000,18315000,28008000,1525000,-3603000,-8959000,15417000,-10061000,173282000,-44474000,-44474000,-44474000,-111307000,93300000,-204607000,0,-5.96046447753906e-08,-22114000,-177895000,-21660000,17362000,-39022000,-6235000,-27895000,-32508000,-32508000,-7318000,-39826000,187539000,600098000,165886000,0.68113,0.24119,0.18303,0.032,0.02365,1.81982,3.82186,0.35315,0.1557,0.51157,0.50374,2.79507,15.98543,0.93097,7,0.02566,0.04669,-0.59089,-0.9225
"20","2015_Q1",66.1009836065574,"Up",536295000,-163201000,373094000,-237012000,-196192000,-110293000,-85899000,-32417000,-8403000,136082000,-2225000,-2233000,2291000,8000,133857000,-5.82076609134674e-11,133857000,-36750000,97107000,97107000,97107000,97107000,758292000,238650000,519642000,329578000,329578000,174685000,128981000,1262555000,601591000,601591000,869992000,1267408000,132412000,1051294000,1955000,81747000,2738991000,4001546000,282098000,77412000,204686000,51913000,49679000,2234000,334011000,117349000,3829000,74221000,722200000,1056211000,4561213000,1783000,4559430000,-1598267000,-17611000,2945335000,2945335000,4001546000,97107000,67763000,-13032000,27196000,-3726000,43703000,-8184000,57822000,-5935000,195541000,-64693000,-64693000,-64693000,-42616000,114595000,-157211000,0,0,-29104000,-136413000,-30386000,11748000,-42134000,836000.000000002,-29550000,29578000,29578000,-5267000,24311000,203845000,604851000,219605000,0.69569,0.25374,0.18107,0.03297,0.02427,2.26147,3.77998,0.3586,0.15115,0.5451,0.53677,3.01046,16.53345,1.23274,5,0.02648,0.05988,-0.75273,-1.12756
"21","2015_Q2",74.2093650793651,"Up",526536000,-169294000,357242000,-235679000,-193071000,-103479000,-89592000,-35828000,-6780000,121563000,-1876000,-1575000,3001000,-301000,119687000,-42000,119645000,-41899000,77746000,77746000,77746000,77746000,713285000,332557000,380728000,356629000,356629000,171665000,130041000,1241579000,666093000,666093000,801854000,1277387000,130532000,1064149000,1892000,80814000,2745334000,3986913000,211754000,67637000,144117000,57577000,55301000,2276000,269331000,126253000,4182000,77491000,735900000,1005231000,4588796000,1796000,4.587e+09,-1520521000,-23913000,2981682000,2981682000,3986913000,77746000,70460000,29865000,29669000,-8109000,-78342000,-32552000,-52703000,6913000,99729000,-91924000,-91924000,-91924000,210351000,307655000,-97304000,-16062000,-16062000,-45227000,57138000,-38240000,24440000,-62680000,-17973000,-56213000,100654000,100654000,-6747000,93907000,192023000,609647000,63656000,0.67848,0.23087,0.14766,0.02607,0.0195,0.81877,4.60986,0.33714,0.15291,0.43544,0.42995,2.94904,16.69989,0.35653,5,0.02091,0.01712,-0.53972,-0.85255
"22","2015_Q3",72.12,"Down",540723000,-179910000,360813000,-254098000,-210653000,-111501000,-99152000,-36693000,-6752000,106715000,-3742000,-2137000,2541000,-1605000,102973000,-455000,102518000,-35318000,67200000,67200000,67200000,67200000,643503000,257448000,386055000,342930000,342930000,165043000,119365000,1151476000,704571000,704571000,881452000,1393606000,165730000,1135947000,1890000,90039000,2979629000,4131105000,290684000,85311000,205373000,57558000,56271000,1287000,348242000,123067000,4488000,79746000,737551000,1085793000,4649080000,1805000,4647275000,-1453321000,-24379000,3045312000,3045312000,4131105000,67200000,73989000,3442000,32251000,-4229000,119392000,18260000,84376000,16756000,264023000,-67571000,-67571000,-67571000,-86655000,222030000,-308685000,-106883000,-106883000,-30269000,-291378000,-51316000,12072000,-63388000,106000,-51210000,-78565000,-78565000,3456000,-75109000,180704000,614484000,267843000,0.66728,0.19736,0.12428,0.02207,0.01627,3.98576,3.30654,0.35655,0.14875,0.37609,0.37181,3.02617,17.04319,1.49899,5,0.01776,0.0708,-0.16059,-0.27193
