"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",26.1066129032258,"Down",2474549000,-847653000,1626896000,-1126643000,-567459000,-559184000,500253000,-375380000,-376497000,-378258000,1117000,124873000,-132797000,-7924000,9255000,1331000,1331000,-1002000,329000,329000,701898000,701898000,457118000,457118000,222340000,215304000,7036000,1381356000,5753401000,26973365000,16501190000,8142309000,2304659000,32726766000,34108122000,1296610000,799618000,385655000,111337000,170682000,511187000,124777000,386410000,1978479000,24249603000,5492227000,4762595000,255666000,416776000,29741830000,31720309000,2154903000,390766000,-3250000,2378515000,9298000,2387813000,34108122000,1331000,567459000,156556000,-5164000,720182000,-323310000,-318826000,-322728000,40922000,88633000,129555000,527009000,527009000,526808000,1067712000,24420285000,729983000,0.65745,0.20216,0.00013,0.00014,1e-05,2218.79331,0.69819,13.28425,0.71597,0.00052,0.00051,3.89847,3.74717,1.15003,1e-05,0.0226,22.21422,47.41278
"12","2020_Q2",24.5252380952381,"Down",2450256000,-864514000,1585742000,-1129878000,-547569000,-582309000,455864000,-362629000,-363552000,-365211000,923000,93235000,-77738000,15497000,-17035000,-1538000.00000001,-1538000.00000001,680000,-858000,-858000,244491000,244491000,441696000,441696000,241427000,237228000,4199000.00000001,927614000,5781005000,26687861000,16300177000,8142309000,1867002000,32468866000,33396480000,1212646000,855053000,252851000,104742000,179515000,489419000,126026000,363393000,1881580000,24267820000,5590853000,4811850000,291439000,487564000,29858673000,31740253000,1434771000,389908000,-13177000,1647609000,8618000,1656227000,33396480000,-1538000.00000001,547569000,130930000,-83396000,593565000,-299082000,-299082000,-297743000,-23882999.9999999,-2914999.99999999,-752803000,-456981000,-456981000,-457405000,1003433000,24447335000,637990000,0.64717,0.18605,-0.000350000000000005,-0.000520000000000001,-3.00000000000005e-05,-743.57809,0.493,19.16419,0.73203,-0.00138000000000001,-0.00138,3.94303,2.65139,1.02667,-3.00000000000005e-05,0.02013,24.12004,53.09225
"13","2020_Q3",25.96703125,"Up",2474979000,-860875000,1614104000,-1064431000,-521794000,-542637000,549673000,-350205000,-350874000,-351025000,669000,199468000,-29165000,170303000,-58826000,111477000,111477000,-213000,111264000,111264000,1952142000,1952142000,387739000,387739000,213632000,209916000,3716000,2553513000,5723109000,26537224000,16117297000,8142309000,2051827000,32260333000,34813846000,1322827000,832011000,381482000,109334000,1859290000,510859000,117925000,392934000,3692976000,24326397000,5621299000,4833305000,312916000,475078000,29947696000,33640672000,839158000,501172000,-12118000,1164343000,8831000,1173174000,34813846000,111477000,521794000,67605000,235100000,935976000,-228723000,-228723000,-228137000,1659834000,-4276000,1000328000,1708167000,1708167000,1707651000,1071467000,26185687000,1136670000,0.65217,0.22209,0.04496,0.09484,0.0032,10.21597,0.69145,28.67492,0.75216,0.18936,0.18802,4.21211,1.98157,1.93447,0.00337,0.03447,22.61716,44.0872
"14","2020_Q4",31.3234375,"Up",2433986000,-783934000,1650052000,-1060340000,-502248000,-558092000,589712000,-320769000,-322454000,-322618000,1685000,268943000,-238486000,30457000,-33186000,-2729000.00000003,-2729000.00000003,-1966000,-4695000.00000003,-4695000.00000003,119055000,119055000,405005000,405005000,1082826000,215973000,866853000,1606886000,5760704000,26532422000,16029776000,8160501000,2314347000,32293126000,33900012000,1186523000,837506000,223965000,125052000,226032000,549152000,127501000,421651000,1961707000,25476051000,5700901000,4850241000,366814000,483846000,31176952000,33138659000,426752000,496477000,-8806000,750556000,10797000,761353000,33900012000,-2729000.00000003,502248000,318330000,-158729000,659120000,-201572000,-201572000,-348785000,-838119000,-6260000.00000006,-1277833000,-967498000,-967498000,-968081000,1091960000,25702083000,764845000,0.67792,0.24228,-0.00192999999999999,-0.00617,-0.00014,-162.90628,0.81913,43.52601,0.75817,-0.00822999999999993,-0.00819,4.26427,1.31495,1.33999,-0.000150000000000001,0.02378,23.42854,43.38224
"15","2021_Q1",34.8288524590164,"Up",2535421000,-831119000,1704302000,-1093189000,-511754000,-581435000,611113000,-311161000,-313461000,-313681000,2300000,299952000,67018000,366970000,-30701000,336269000,336269000,-5797000,330472000,330472000,278422000,278422000,442581000,442581000,255563000,255299000,264000,976566000,5805996000,26594098000,15849133000,8160566000,2584399000,32400094000,33376660000,1189752000,795576000,252060000,142116000,1245713000,662638000,109798000,552840000,3098103000,25476629000,5979304000,5006167000,523150000,449987000,31455933000,34554036000,30594000,-985641000,3646000,-1115267000,-62109000,-1177376000,33376660000,336269000,511754000,29592000,-86112000,791503000,-344578000,-344578000,-345761000,983929000,867024000,-1150737000,-704995000,-704995000,-705639000,1122867000,26722342000,722878000,0.6722,0.24103,0.13034,-0.28069,0.0099,2.18741,0.31521,-29.34834,0.80063,0.60699,0.6027,4.65692,-2.04846,1.32774,0.01048,0.02293,23.55036,43.27174
"16","2021_Q2",34.9957142857143,"Up",2478821000,-851864000,1626957000,-1015290000,-434857000,-580433000,611667000,-313453000,-316312000,-316312000,2859000,298214000,92332000,390546000,-112007000,278539000,278539000,-4403000,274136000,274136000,220571000,220571000,376155000,376155000,234130000,221819000,4059000,830856000,5843572000,26495403000,15684034000,8160566000,2650803000,32338975000,33169831000,1217220000,879032000,233968000,104220000,1258055000,715993000,153032000,562961000,3191268000,25431481000,5931551000,5037625000,472402000,421524000,31363032000,34554300000,7784000,-1185610000,10621000,-1331065000,-53404000,-1384469000,33169831000,278539000,434857000,83620000,-47394000,749622000,-212791000,-212791000,-210648000,-94193000,392999.999999881,-597445000,-58471000,-58471000,-57851000,1046524000,26689536000,898346000,0.65634,0.24676,0.11059,-0.19801,0.00826,3.27700999999999,0.26035,-24.95852,0.80463,0.58422,0.57658,5.28271,-2.83668,1.9145,0.00878,0.02876,25.29227,43.27349
"17","2021_Q3",29.1325,"Down",2516008000,-849872000,1666136000,-1033507000,-444327000,-589180000,632629000,-316904000,-319371000,-323097528.818084,2467000,315725000,-52971000,262754000,-61820000,200934000,200934000,-3274000,197660000,197660000,221319000,221319000,404150000,404150000,175098000,167198000,3933000,800567000,6023087000,26708304000,15733057000,8206420000,2768827000,32731391000,33531958000,1289797000,927254000,253945000,108598000,1296745000,508689000,129979000,378710000,3095231000,25692323000,6093398000,5107632000,580251000,405515000,31785721000,34880952000,4571000,-1315080000,11569000,-1298940000,-50054000,-1348994000,33531958000,200934000,444327000,176827000,-92545000,729543000,-323104000,43529174.3166425,-665552000,-25941000,184712000,-63102000,889000,889000,748000,1076956000,26989068000,723127000,0.66221,0.25144,0.07856,-0.14652,0.00589,3.65844,0.25865,-25.85701,0.80488,0.42124,0.41573,5.36196,-2.76822,1.54108,0.00623,0.02279,24.85501,42.31192
"18","2021_Q4",16.9540625,"Down",2574882000,-843909000,1730973000,-1038477000,-447958000,-590519000,692496000,-316721000,-319001000,-327839505.090778,2280000,375775000,199999.999999985,375975000,-105226000,270749000,270749000,-3896000,266853000,266853000,232452000,232452000,434011000,434011000,178266000,170555000,4156000,844729000,6092271000,26495700000,15577862000,8206365000,2711473000,32587971000,33432700000,1255254000,892694000,237068000,125492000,1889730000,523911000,109522000,414389000,3668895000,24881833000,6014659000,5105353000,518246000,391060000,30896492000,34565387000,4547000,-1100497000,9421000,-1086529000,-46158000,-1132687000,33432700000,270749000,447958000,75709000,-96102000,698314000,-309172000,214194499.088857,-126491000,-298254000,-182407000,-560071000,11752000,11752000,11133000,1140454000,26771563000,840406000,0.67225,0.26894,0.10364,-0.23559,0.00798,3.14932,0.23024,-30.51627,0.80076,0.58009,0.57345,5.59729,-2.3619,1.82688,0.00843,0.02655,23.27065,38.32385
"19","2022_Q1",13.363064516129,"Down",2521138000,-836484000,1684654000,-1079643000,-460010000,-619633000,605011000,-309678000,-311907000,-323580228.818084,2229000,295333000,-18701000,276632000,-15922000,260710000,260710000,-9048000,251662000,251662000,195711000,195711000,406952000,406952000,186971000,183714000,264000,789634000,6340467000,26084933000,15418356000,8205863000,2460714000,32425400000,33215034000,1392920000,1023045000,244934000,124941000,2107639363.08081,424886000,94943000,329943000,1817806000,26546760000,5721370000,5048129000,276933000,396308000,32268130000,34085936000,22551000,-848836000,6497000,-819788000,-51114000,-870902000,33215034000,260710000,460010000,66323000,-110444000,676599000,-386648000,126472074.316643,-570912000,-312774000,170868000,-141906000,-36219000,-36219000,-36741000,1065021000,26546760000,583851000,0.66821,0.23998,0.09982,-0.28897,0.00758,2.31998,0.43439,-39.13866,0.79924,0.57704,0.58174,5.78074,-1.8797,1.33872,0.00802,0.0186,24.74228,43.55466
"20","2022_Q2",10.4691935483871,"Down",2421897000,-828793000,1593104000,-1077255000,-435349000,-641906000,515849000,-300932000,-303362000,-303362000,2430000,214917000,70070000,284987000,-82846000,202141000,202141000,-5590000,196551000,196551000,195648000,195648000,383103000,383103000,204227000,203963000,263999.99999997,782978000,6513910000,25847215000,15271383000,8205863000,2369969000,32361125000,33144103000,1323919000,999501000,213641000,110777000,969413000,484048000,110882000,373166000,2777380000,25471418000,5521871000,5032641000,90952000,398278000,30993289000,33770669000,63073000,-652285000,8170000,-581042000,-45524000,-626566000,33144103000,202141000,435349000,119829000,-157100000,600219000,-392371000,-392371000,-391483000,-208629000,2771883865.21921,-208629000,107000.000000007,107000.000000007,-63000,951198000,26440831000,484573000,0.65779,0.21299,0.08116,-0.3137,0.00593,2.46538,0.28191,-53.89802,0.79775,0.43367,0.43367,5.34366,-1.28201,1.06916,0.00627,0.01546,27.59171,50.87765
"21","2022_Q3",9.57734375,"Down",2463014000,-819011000,1644003000,-1119589000,-446125000,-673464000,524414000,-307692000,-310213000,-260227118.636527,2521000,216722000,-69292000,147430000,-33890000,113540000,113540000,-7366000,106174000,106174000,232966000,232966000,370903000,370903000,2018939000,333112000,1685827000,2622808000,6780006000,23716737000,15127197000,8205863000,383677000,30496743000,33119551000,1416881000,1041996000,249974000,124911000,-2467242089.24242,413807000,92886000,320921000,1830688000,26373100000,5390397000,4990046000,200263278.730934,400351000,31763497000,33594185000,104759000,-546111000,4876000,-436476000,-38158000,-474634000,33119551000,113540000,446125000,155505000,-38835000,676335000,-485126000,-1515067623.86107,-486624000,-152453000,8892472595.65764,-152453000,37258000,37258000,37318000,970539000,26373100000,480468000,0.66748,0.21292,0.04311,-0.2237,0.00321,4.52529,1.43269,-70.77914,0.7963,0.23426,0.23426,5.43436,-0.96303,1.0601,0.00339,0.01536,26.93363,49.84637
