"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"18","2016_Q3",6641.45,"Down",1556000,-1022000,534000,-5078000,-2615000,-2463000,-4544000,-772000,-765000,-7000,-5316000,-5316000,-5316000,-5316000,-5316000,-5316000,19931000,19931000,589000,589000,845000,1204000,1204000,22569000,356000,139000,139000,495000,23064000,3944000,1854000,2090000,3944000,9560000,13504000,67493000,-57933000,9560000,9560000,23064000,-5316000,588000,476000,-4252000,-101000,-101000,19278000,14925000,14925000,14925000,9560000,0.34319,-2.92031,-3.41645,-0.55607,-0.23049,5.72236,1.41255,0.4145,-657.85834,-657.85834,192.55598,1183.05601,-0.27803,2.28235
"19","2016_Q4",5951.27142857143,"Down",1849000,-1158000,691000,-5326000,-3272000,-2054000,-4635000,-234000,-221000,-13000,-4869000,-4869000,-4869000,-4869000,-4869000,-4869000,14011000,14011000,1807000,1807000,1413000,1298000,1298000,18529000,445000,133000,133000,578000,19107000,4455000,2477000,1978000,5320000,8730000,14050000,67859000,-62802000,5057000,5057000,19107000,-4869000,340000,-1364000,-5893000,-87000,-87000,60000,-5920000,-5920000,-5920000,9595000,0.37372,-2.50676,-2.63332,-0.96282,-0.25483,3.48289,2.77833,0.50217,-457.1306,-457.1306,173.59509,474.78116,-0.33231,0.95275
"20","2017_Q1",4864.43387096774,"Down",2452000,-1496000,956000,-6485000,-4433000,-2052000,-5529000,-291000,-276000,-15000,-5820000,-5820000,-5820000,-5820000,-5820000,-5820000,8086000,8086000,2091000,2091000,2687000,1066000,1066000,13930000,483000,136000,136000,619000,14549000,5272000,3086000,2186000,7139000,7815000,14954000,68217000,-68622000,-405000.000000001,-405000.000000001,14549000,-5820000,425000,-498000,-5893000,-32000,-32000,0,-5925000,-5925000,-5925000,9629000,0.38989,-2.25489,-2.37357,14.37037,-0.40003,1.95125,-36.92346,0.66183,-545.74143,-545.74143,229.92405,-37.9768500000001,-0.62736,-0.27907
"21","2017_Q2",7453.96825396825,"Up",3041000,-1619000,1422000,-7838000,-5450000,-2388000,-6416000,-279000,-263000,-16000,-6695000,-6695000,-6695000,-6695000,-6695000,-6695000,31389000,31389000,4020000,4020000,2383000,1240000,1240000,39032000,791000,152000,152000,943000,39975000,5446000,3359000,2087000,8316000,6884000,15200000,100092000,-75317000,24775000,24775000,39975000,-6695000,514000,-1868000,-8049000,-151000,-151000,31503000,23303000,23303000,23303000,9664000,0.46761,-2.10983,-2.20158,-0.27023,-0.16748,4.6936,0.61352,0.24175,-573.9999,-573.9999,260.72199,2124.09972,-0.19389,3.38607
"22","2017_Q3",6165.2380952381,"Down",3076000,-1837000,1239000,-10302000,-6862000,-3440000,-9063000,-1362000,-1345000,-17000,-10425000,-10425000,-10425000,-10425000,-10425000,-10425000,31060000,31060000,3800000,3800000,2043000,1888000,1888000,38791000,987000,132000,132000,1119000,39910000,5525000,3344000,2181000,5525000,18392000,23917000,101735000,-85742000,15993000,15993000,39910000,-10425000,1250000,-107000,-9282000,-249000,-249000,9202000,-329000.000000004,-329000.000000004,-329000.000000004,18392000,0.4028,-2.94636,-3.38914,-0.651850000000002,-0.26121,7.021,1.49547,0.46084,-536.93066,-536.93066,158.42673,823.70571,-0.30318,1.39777
"23","2017_Q4",5204.92063492064,"Down",4070000,-2059000,2011000,-10833000,-7369000,-3464000,-8822000,-793000,-777000,-16000,-9615000,-9615000,-9615000,-9615000,-9615000,-9615000,19207000,19207000,4833000,4833000,1903000,3217000,3217000,29160000,1337000,112000,112000,3949000,33109000,7502000,3569000,3933000,7502000,18742000,26244000,102222000,-95357000,6865000,6865000,33109000,-9615000,890000,-218000,-8943000,-410000,-2910000,0,-11853000,-11853000,-11853000,18665000,0.4941,-2.16757,-2.36241,-1.40058,-0.2904,3.88696,3.82287,0.56374,-494.30793,-494.30793,209.23903,352.9302,-0.37548,0.06144
"24","2018_Q1",4349.4262295082,"Down",5101000,-2329000,2772000,-12201000,-9150000,-3051000,-9429000,-795000,-784000,-11000,-10224000,-10224000,-10224000,-10224000,-10224000,-10224000,20730000,20730000,6213000,6213000,2390000,2741000,2741000,32074000,1303000,202000,202000,4005000,36079000,9404000,4799000,4605000,9404000,29275000,38679000,102981000,-105581000,-2600000,-2600000,36079000,-10224000,755000,890000,-8579000,-94999.9999999999,-95000,10197000,1523000,1523000,1523000,28948000,0.54342,-1.84846,-2.00431,3.93231,-0.28338,3.41068,-14.87654,0.80235,-525.47587,-525.47587,262.17257,-133.6304,-0.38328,-0.87157
"25","2018_Q2",2881.015625,"Down",3699000,-2352000,1347000,-12687000,-8931000,-3756000,-11340000,-1080000,-1070000,-10000,-12420000,-12420000,-12420000,-12420000,-12669000,-12669000,38378000,38378000,6999000,6999000,3828000,3302000,3302000,52507000,1674000,204000,204000,4129000,56636000,8122000,3865000,4257000,8122000,29552000,37674000,137035000,-118073000,18962000,18962000,56636000,-12669000,1331000,-3853000,-15191000,-462000,-462000,33301000,17648000,17648000,17648000,29334000,0.36415,-3.06569,-3.42498,-0.66813,-0.22369,6.46479,1.98682,0.51794,-490.15883,-490.15883,143.11291,733.63263,-0.26114,0.79753
"26","2018_Q3",2833.49206349206,"Down",5525000,-2711000,2814000,-13109000,-9437000,-3672000,-10295000,-1063000,-1063000,0,-11358000,-11358000,-11358000,-11358000,-11516000,-11516000,30213000,30213000,7241000,7241000,4161000,3024000,3024000,44639000,1931000,188000,188000,4212000,48851000,10125000,4867000,5258000,10125000,30029000,40154000,138286000,-129589000,8697000,8697000,48851000,-11516000,1596000,1877000,-8043000,-341000,-341000,219000,-8165000,-8165000,-8165000,29724000,0.50932,-1.86335,-2.08434,-1.32413,-0.23574,4.40879,4.61699,0.60846,-367.50599,-367.50599,176.31735,277.54425,-0.29737,0.0475000000000002
"27","2018_Q4",2400.87301587301,"Down",4821000,-3327000,1494000,-12556000,-9114000,-3442000,-11062000,-1110000,-1106000,-4000,-12172000,-12172000,-12172000,-12172000,-12304000,-12304000,20097000,20097000,4991000,4991000,4497000,2680000,2680000,32265000,2011000,201000,201000,4173000,36438000,8687000,3562000,5125000,8687000,30518000,39205000,139126000,-141893000,-2767000,-2767000,36438000,-12304000,1447000,846000,-10011000,-180000,-180000,75000,-10116000,-10116000,-10116000,30124000,0.30989,-2.29454,-2.55217,4.44669,-0.33767,3.71417,-14.16877,0.82672,-390.32511,-390.32511,152.93867,-87.77874,-0.44337,-0.90644
"28","2019_Q1",1060.32786885246,"Down",4472000,-2807000,1665000,-13933000,-11087000,-2846000,-12268000,-1106000,-1133000,27000,-13374000,-13374000,-13374000,-13374000,-13492000,-13492000,29523000,29523000,5704000,5704000,4119000,2558000,2558000,41904000,2916000,171000,171000,4930000,46834000,10760000,3994000,6766000,10760000,31162000,41922000,160297000,-155385000,4912000,4912000,46834000,-13492000,1462000,2185000,-9845000,-1159000,-1159000,20430000,9426000,9426000,9426000,30528000,0.37232,-2.74329,-3.01699,-2.74674,-0.28808,3.89442,8.53461,0.65183,-379.70098,-379.70098,125.85405,138.23682,-0.37401,-0.0819200000000002
"29","2019_Q2",542.426984126984,"Down",3012000,-1941000,1071000,-9106000,-6626000,-2480000,-8035000,-1127000,-1116000,-11000,-9162000,-9904000,-9904000,-9904000,-10029000,-10029000,17821000,17821000,4778000,4778000,3867000,3117000,3117000,29583000,2832000,719000,719000,5269000,34852000,7488000,2686000,4802000,7488000,31950000,39438000,160828000,-165414000,-4586000,-4586000,34852000,-10029000,1327000,-2856000,-11558000,-179000,-179000,35000,-11702000,-11702000,-11702000,30927000,0.35558,-2.66766,-3.32968,2.18687,-0.28776,3.95072,-8.59965,0.88738,-216.27326,-216.27326,64.95314,-98.89612,-0.3665,-1.63111
"30","2019_Q3",180.35390625,"Down",1052000,-941000,111000,-8432000,-5530000,-2902000,-8321000,-1265000,-1194000,-71000,-9586000,-9586000,-9586000,-9586000,-9724000,-9724000,9506000,9506000,3556000,3556000,4714000,2768000,2768000,20544000,2726000,646000,646000,4952000,25496000,6884000,1606000,5278000,6884000,32281000,39165000,161469000,-175138000,-13669000,-13669000,25496000,-9724000,1370000,658000.000000001,-7696000,-539000,-539000,-79999.9999999981,-8315000,-8315000,-8315000,31271000,0.10551,-7.9097,-9.24335,0.71139,-0.38139,2.98431,-2.86524,1.22651,-209.14099,-209.14099,22.62611,-293.98891,-0.52246,-2.61567
"31","2019_Q4",28.43296875,"Down",1052000,-1099000,-47000,-6481000,-5032000,-1449000,-6528000,-1260000,-1209000,-51000,-7788000,-7788000,-7788000,-7788000,-7956000,-7956000,9086000,9086000,2806000,2806000,4141000,3051000,3051000,19084000,3066000,587000,587000,5065000,24149000,6248000,1791000,4457000,6248000,32691000,38939000,168304000,-183094000,-14790000,-14790000,24149000,-7956000,1810000,-462000,-6608000,-130000,-130000,6318000,-420000,-420000,-420000,31694000,-0.04468,-6.20532,-7.56274,0.53793,-0.32945,3.05442,-2.63279,1.31244,-134.77468,-134.77468,17.82089,-250.54268,-0.44444,-3.46324
"32","2020_Q1",9.94774193548387,"Down",1451000,-1570000,-119000,-6934000,-5175000,-1759000,-7053000,-863000,-835000,-28000,-7916000,-14621000,-14621000,-14621000,-14817000,-15197000,13308000,13308000,1573000,1573000,4861000,2447000,2447000,22189000,3046000,1742000,526000,4788000,26977000,6306000,1608000,4698000,6306000,4150000,10456000,214432000,-197911000,16521000,16521000,26977000,-14817000,7943000,323000,-5374000,-239000,-239000,9835000,4222000,4222000,4222000,3983000,-0.08201,-4.86079,-10.47347,-0.91986,-0.56333,3.51871,0.63289,0.14764,-43.76909,-43.76909,4.17905,47.58236,-0.73518,1.32213
"33","2020_Q2",6.27761904761905,"Down",1304000,-1129000,175000,-6002000,-4365000,-1637000,-5827000,-301000,-210000,-91000,-6128000,-6128000,-6128000,-6128000,-6310000,-7299000,9042000,9042000,1279000,1279000,4459000,2204000,2204000,16984000,2973000,441000,441000,4448000,21432000,4585000,2262000,2323000,4585000,4296000,8881000,216772000,-204221000,12551000,12551000,21432000,-6310000,1098000,-847000,-5736000,-161000,-161000,1631000,-4266000,-4266000,-4266000,4110000,0.1342,-4.46856,-5.59739,-0.58155,-0.34057,3.70425,0.70759,0.19177,-8.17289,-8.17289,1.46012,14.0537,-0.43325,0.8464
"34","2020_Q3",5.77171875,"Down",704000,-1071000,-367000,-4575000,-3350000,-1225000,-4942000,-249000,-223000,-26000,-5191000,-7029000,-7029000,-7029000,-7115000,-8137000,8500000,8500000,1017000,1017000,4917000,1921000,1921000,16355000,2853000,376000,376000,4177000,20532000,4092000,1257000,2835000,4651000,5254000,9905000,221963000,-211336000,10627000,10627000,20532000,-7115000,2867000,-533000,-4453000,-131000,-131000,4042000,-542000.000000001,-542000.000000001,-542000.000000001,5025000,-0.52131,-7.01989,-11.55824,-0.76569,-0.39631,3.51645,0.93206,0.24474,-5.73586,-5.73586,0.49626,7.49108,-0.51237,0.70316
"35","2020_Q4",5.03296875,"Down",1524000,-1283000,241000,-3644000,-2761000,-883000,-3403000,-277000,-235000,-42000,-3680000,-3680000,-3680000,-3680000,-3735000,-4788000,9200000,9200000,689000,689000,4591000,1764000,1764000,16244000,2507000,282000,282000,3682000,19926000,2685000,695000,1990000,3349000,5488000,8837000,226160000,-215071000,11089000,11089000,19926000,-3735000,951000,-277000,-2747000,-111000,-111000,3558000,7e+05,7e+05,7e+05,5056000,0.15814,-2.23294,-3.14173,-0.43178,-0.24029,4.8504,0.79692,0.25374,-2.64139,-2.64139,0.84074,6.11746,-0.28883,1.21775
"36","2021_Q1",3.67262295081967,"Down",1947000,-1700000,247000,-4570000,-3190000,-1380000,-4323000,-372000,-242000,-130000,-4695000,-4695000,-4695000,-4695000,-4755000,-5840000,6523000,6523000,770000,770000,3254000,1031000,1031000,11578000,2759000,2293000,1460000,5052000,16630000,3297000,881000,2416000,4215000,5441000,9656000,226800000,-219826000,6974000,6974000,16630000,-4755000,965000,1160000,-2300000,-378000,-378000,-1000,-2679000,-2679000,-2679000,5861000,0.12686,-2.22034,-2.99949,-0.8374,-0.35117,2.74686,1.38457,0.35244,-2.69157,-2.69157,0.89734,3.21421,-0.43801,0.15313
"37","2021_Q2",2.81222222222222,"Down",1450000,-1068000,382000,-5511000,-3581000,-1930000,-5129000,-299000,-234000,-65000,-5428000,-5715000,-5791000,-5791000,-5791000,-6910000,28446000,28446000,336000,336000,3049000,2043000,2043000,33874000,2316000,1480000,723000,3796000,37670000,3030000,1157000,1873000,4276000,5854000,10130000,253157000,-225617000,27540000,27540000,37670000,-5791000,1389000,821000,-3253000,-85000,-85000,25261000,21923000,21923000,21923000,6003000,0.26345,-3.53724,-4.76552,-0.25091,-0.18344,7.92189,0.36783,0.15936,-0.80013,-0.80013,0.1679,3.18893,-0.19948,4.37571
"38","2021_Q3",2.51484375,"Down",1654000,-1489000,165000,-5110000,-2930000,-2180000,-4945000,-298000,-245000,-53000,-5243000,-4126000,-4050000,-4050000,-4050000,-5204000,25391000,25391000,696000,696000,2632000,1988000,1988000,30707000,1959000,1362000,684000,3321000,34028000,2954000,662000,2292000,2954000,5959000,8913000,254781000,-229667000,25115000,25115000,34028000,-4050000,-136000,143000,-3735000,6999.99999999994,7000,673000.000000004,-3055000,-3055000,-3055000,4809000,0.09976,-2.98972,-3.14631,-0.20721,-0.15293,10.39506,0.35489,0.14132,-0.60259,-0.60259,0.19152,2.90802,-0.16747,4.16218
"39","2021_Q4",1.83546875,"Down",1616000,-1502000,114000,-5606000,-2911000,-2695000,-5492000,-333000,-255000,-78000,-5825000,-5858000,-5858000,-5858000,-5858000,-7048000,22665000,22665000,514000,514000,2150000,2083000,2083000,27412000,1678000,649000,649000,2972000,30384000,3849000,1292000,2557000,3849000,6170000,10019000,255889000,-235525000,20365000,20365000,30384000,-5858000,1320000,1627000,-2663000,-84000,-84000,21000,-2726000,-2726000,-2726000,4964000,0.07054,-3.39851,-4.36139,-0.34608,-0.23196,7.12185,0.49197,0.16338,-0.71071,-0.71071,0.16296,2.05348,-0.26561,3.22305
"40","2022_Q1",1.00145161290323,"Down",1706000,-1747000,-41000,-5946000,-3086000,-2860000,-5987000,-273000,-266000,-7000,-6260000,-6072000,-6072000,-6072000,-6328000,-7556000,19162000,19162000,549000,549000,1472000,1055000,1055000,22238000,1554000,2121000,1544000,3675000,25913000,4533000,1480000,3053000,4533000,6314000,10847000,256919000,-241853000,15066000,15066000,25913000,-6328000,1321000,1541000,-3227000,-294000,-294000,17999.9999999991,-3503000,-3503000,-3503000,5124000,-0.02403,-3.50938,-4.42907,-0.50153,-0.29159,4.9058,0.71997,0.19774,-0.61663,-0.61663,0.13922,1.2295,-0.35341,2.34475
