"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",18.3177419354839,"Down",71300000,-36900000,34400000,-25900000,-14400000,-8900000,-2600000,8500000,-4500000,-4400000,-1e+05,4e+06,5e+05,0,5e+05,5e+05,5e+05,5e+05,9500000,9500000,32800000,32800000,4600000,60100000,4300000,55800000,1.07e+08,585400000,149500000,149500000,734900000,841900000,29400000,19200000,24600000,4.1e+07,35100000,9.5e+07,287500000,206500000,88900000,45800000,71800000,4.94e+08,5.89e+08,2e+06,250900000,252900000,252900000,841900000,5e+05,8900000,4800000,-5200000,9e+06,-23500000,-23500000,-23500000,-4800000,1.9e+07,5e+05,5e+05,2500000,17200000,2700000,2700000,2700000,17400000,312100000,-11300000,0.48247,0.11921,0.00701,0.00198,0.00059,-22.6,1.12632,2.32898,0.37071,0.03648,0.03647,5.2021,18.30585,-0.82446,0.35021,0.00687,-0.01465,9.6,17.3908,35.6
"12","2013_Q1",19.1718333333333,"Up",98800000,-59900000,38900000,-30700000,-13400000,-10100000,-7200000,8200000,-4200000,-4200000,-1.45519152283669e-11,4e+06,14700000,-5600000,9100000,9100000,9100000,9100000,9800000,9800000,47700000,47700000,5200000,7.7e+07,4200000,72800000,139700000,601200000,151400000,151400000,752600000,892300000,35800000,32700000,49900000,45400000,3.2e+07,131100000,287300000,213300000,103700000,38700000,70900000,500600000,631700000,2e+05,2.3e+08,260600000,260600000,892300000,9e+06,10100000,2e+06,-16300000,4800000,-21100000,-21100000,-21100000,-4800000,24200000,3e+05,3e+05,-3100000,16600000,299999.999999999,299999.999999999,299999.999999999,18300000,337200000,-13500000,0.39372,0.083,0.09211,0.03492,0.0102,-1.48352,1.0656,2.42402,0.3779,0.65723,0.65766,7.13563,18.80688,-0.97501,0.34667,0.01714,-0.01664,0.527469999999997,17.89071,39.92683
"13","2013_Q2",20.88359375,"Up",118200000,-67800000,50400000,-28500000,-15200000,-9500000,-3800000,21900000,-4700000,-4600000,-1e+05,17200000,17200000,-6400000,10800000,10800000,10800000,10800000,7500000,7500000,6.2e+07,6.2e+07,5100000,54400000,5300000,49100000,1.29e+08,608300000,148200000,148200000,756500000,885500000,37300000,27100000,33100000,33500000,28600000,103900000,287200000,231900000,107200000,52500000,72200000,519100000,6.23e+08,2e+05,230700000,262500000,262500000,885500000,10800000,9500000,8300000,12200000,40800000,-14400000,-14400000,-14400000,-4800000,-16900000,3e+05,3e+05,-7300000,-28700000,-2300000,-2300000,-2300000,31400000,320300000,35600000,0.4264,0.18528,0.09137,0.04114,0.0122,3.2963,1.24158,2.37333,0.36172,0.78832,0.78832,8.62774,19.14599,2.59854,0.35036,0.01915,0.0437,0.44444,9.96178,14.28311
"14","2013_Q3",21.38140625,"Up",66400000,-33700000,32700000,-28200000,-15100000,-9500000,-3600000,4500000,-4700000,-4600000,-1e+05,-2e+05,-2e+05,1e+05,-1e+05,-1e+05,-1e+05,-1e+05,7100000,7100000,40800000,40800000,6200000,51500000,5600000,45900000,105600000,625400000,143200000,143200000,768600000,874200000,29600000,21700000,25100000,35900000,32800000,90600000,287400000,238200000,110600000,54400000,73200000,525600000,616200000,2e+05,2.31e+08,2.58e+08,2.58e+08,874200000,-1e+05,9500000,5100000,1.5e+07,29500000,-22600000,-22600000,-22600000,-4700000,-8600000,3e+05,3e+05,5700000,-7299999.99999999,-4e+05,-4e+05,-4e+05,1.4e+07,312500000,6300000,0.49247,0.06777,-0.00151000000000001,-0.000390000000000008,-0.000110000000000001,-63,1.16556,2.38837,0.35747,-0.00719000000000014,-0.00719000000000014,4.77698,18.54676,0.453240000000001,0.33813,0.00569,0.00779,-47,21.81429,67.86667
"15","2013_Q4",22.07609375,"Up",72500000,-37800000,34700000,-29100000,-15500000,-9800000,-3800000,5600000,-4900000,-4800000,-1e+05,7e+05,7e+05,-1e+05,6e+05,6e+05,6e+05,6e+05,12300000,12300000,35200000,35200000,6500000,57500000,4500000,5.3e+07,111500000,6.47e+08,136700000,136700000,783700000,895200000,31700000,21500000,44200000,39600000,37300000,115500000,287200000,238400000,107900000,55400000,75100000,525600000,641100000,2e+05,231300000,254100000,254100000,895200000,6e+05,9800000,6600000,-3200000,13800000,-27600000,-27600000,-27600000,-4800000,18800000,3e+05,3e+05,4700000,1.9e+07,5200000,5200000,5200000,15400000,331400000,-15300000,0.47862,0.07724,0.00828,0.00236,0.00067,-25.5,0.96537,2.52302,0.3702,0.04348,0.04348,5.25362,18.39855,-1.1087,0.34783,0.00655,-0.01857,8,20.72078,56.98214
"16","2014_Q1",22.9593442622951,"Up",109800000,-60400000,49400000,-27900000,-14400000,-9700000,-3800000,21500000,-4900000,-4800000,-1e+05,16600000,16600000,-6300000,10300000,10300000,10300000,10300000,9400000,9400000,52200000,52200000,6200000,72200000,4800000,67400000,1.4e+08,665600000,1.15e+08,1.15e+08,780600000,920600000,41200000,38100000,62700000,40800000,34100000,144700000,2.85e+08,225700000,77300000,73200000,75200000,510700000,655400000,2e+05,232100000,265200000,265200000,920600000,10300000,9700000,7300000,-15100000,12200000,-24900000,-24900000,-24900000,-4800000,16300000,2e+05,2e+05,-1900000,9800000,-2900000,-2900000,-2900000,31200000,347700000,-2500000,0.44991,0.19581,0.09381,0.03884,0.01119,-0.242719999999998,0.96752,2.47134,0.37769,0.75226,0.74638,8.01928,19.35437,-0.18259,0.35057,0.01801,-0.00298,0.46602,10.84295,15.73488
"17","2014_Q2",24.8106349206349,"Up",156100000,-98800000,57300000,-31900000,-17100000,-10200000,-4600000,25400000,-5300000,-5200000,-1e+05,20100000,20100000,-7500000,12600000,12600000,12600000,12600000,14300000,14300000,69500000,69500000,5700000,56100000,5200000,50900000,145600000,666800000,115600000,115600000,782400000,9.28e+08,37200000,31800000,61700000,32800000,29400000,131700000,284800000,237500000,79100000,82500000,75900000,522300000,6.54e+08,2e+05,233100000,2.74e+08,2.74e+08,9.28e+08,12600000,10200000,5100000,8e+05,28700000,-9200000,-9200000,-9200000,-4800000,-1200000,3e+05,3e+05,-8900000,-14600000,4900000,4900000,4900000,35600000,346500000,34700000,0.36707,0.16272,0.08072,0.04599,0.01358,2.75397,1.10554,2.38686,0.37338,0.91304,0.91304,11.31159,19.84058,2.51449,0.34783,0.02028,0.04044,0.38095,9.33146,13.07874
"18","2014_Q3",24.42828125,"Down",73300000,-36700000,36600000,-29500000,-15300000,-10200000,-4e+06,7100000,-5400000,-5300000,-1e+05,1700000,1700000,-600000.000000001,1100000,1100000,1100000,1100000,1.2e+07,1.2e+07,44900000,44900000,6900000,50100000,6900000,41700000,113900000,681700000,1.05e+08,1.05e+08,786700000,900600000,23700000,20500000,37500000,41400000,41400000,102600000,290200000,2.37e+08,80800000,87800000,68400000,527200000,629800000,2e+05,233600000,270800000,270800000,900600000,1100000,10200000,2300000,21300000,34900000,-19900000,-19900000,-19900000,-4800000,-19500000,3e+05,3e+05,6700000,-17300000,-2300000,-2300000,-2300000,17300000,327700000,19300000,0.49932,0.09686,0.01501,0.00406,0.00122,17.54545,1.11014,2.3257,0.36387,0.0797100000000001,0.0797100000000001,5.31159,19.6087,1.39855,0.34783,0.00706,0.0231,4.36364,18.24855,44.46479
"19","2014_Q4",26.6328125,"Up",76600000,-37300000,39300000,-31900000,-16900000,-10800000,-4200000,7400000,-5100000,-5e+06,-1e+05,2300000,2300000,-7e+05,1600000,1600000,1600000,1600000,10100000,10100000,41600000,41600000,7600000,53100000,5100000,45900000,112400000,7.06e+08,98100000,98100000,804100000,916500000,24800000,19300000,3900000,47300000,47300000,7.6e+07,333200000,239400000,81800000,88300000,69300000,572600000,648600000,2e+05,233900000,267900000,267900000,916500000,1600000,10800000,5900000,7e+05,1.9e+07,-31600000,-31600000,-31600000,-4800000,9400000,3e+05,3e+05,5800000,10700000,-1900000,-1900000,-1900000,18200000,337100000,-1.2e+07,0.51305,0.09661,0.02089,0.00597,0.00175,-7.5,1.47895,2.42105,0.36781,0.11594,0.11594,5.55072,19.39855,-0.86957,0.34783,0.00758,-0.01421,3,17.96703,44.18919
"20","2015_Q1",27.1926229508197,"Up",119800000,-69100000,50700000,-30600000,-15300000,-10900000,-4400000,20100000,-5500000,-5400000,-1e+05,14600000,14600000,-5200000,9400000,9400000,9400000,9400000,8400000,8400000,60700000,60700000,1100000,7.5e+07,11500000,63500000,145200000,733700000,121300000,121300000,8.55e+08,1000200000,44300000,44200000,33800000,51300000,48200000,129400000,336400000,261070000,118600000,72870000,69600000,597470000,726870000,2e+05,234700000,273300000,273300000,1000170000,9400000,10900000,-3e+05,-18600000,1400000,-31900000,-31900000,-31900000,-4800000,32500000,3e+05,3e+05,8e+05,28800000,-1700000,-1700000,-1700000,3.1e+07,370200000,-14300000,0.42321,0.16778,0.07846,0.03439,0.0094,-1.52128,1.1221,2.6596,0.37013,0.67277,0.672,8.57429,19.54624,-1.02348,0.34354,0.0157,-0.01581,0.51064,11.67097,18
"21","2015_Q2",26.3112698412698,"Down",172200000,-110600000,61600000,-33200000,-16900000,-11400000,-4900000,28400000,-5900000,-5800000,-1e+05,22500000,22500000,-8900000,13600000,13600000,13600000,13600000,11200000,11200000,85900000,85900000,4e+05,8e+07,11800000,68200000,177500000,738200000,119400000,119400000,857600000,1035100000,41100000,34800000,36200000,62800000,62800000,140100000,334100000,277600000,121400000,84700000,71500000,611700000,751800000,2e+05,2.36e+08,283300000,283300000,1035100000,13600000,11400000,5700000,-3e+06,27700000,-1.3e+07,-1.3e+07,-1.3e+07,-4900000,3200000,3e+05,3e+05,-10500000,-11900000,2800000,2800000,2800000,39800000,370300000,32700000,0.35772,0.16492,0.07898,0.04801,0.01314,2.40441,1.26695,2.65372,0.35774,0.97842,0.97842,12.38849,20.36691,2.35252,0.35252,0.01987,0.03512,0.36029,9.02261,12.64437
"22","2015_Q3",27.78859375,"Up",77500000,-37400000,40100000,-31200000,-16300000,-11300000,-3600000,8900000,-6100000,-6e+06,-1e+05,2800000,2800000,-1100000,1700000,1700000,1700000,1700000,16100000,16100000,52300000,52300000,5e+05,49800000,1.4e+07,35800000,118700000,7.57e+08,118200000,118200000,875200000,993900000,31600000,1.9e+07,4200000,58400000,58400000,94200000,335400000,283800000,124200000,7.5e+07,84600000,619200000,713400000,2e+05,236400000,280500000,280500000,993900000,1700000,11300000,599999.999999998,49100000,62700000,-25400000,-25400000,-25400000,-4900000,-30800000,3e+05,3e+05,3e+06,-32400000,4900000,4900000,4900000,20200000,339600000,4.5e+07,0.51742,0.11484,0.02194,0.00606,0.00171,26.47059,1.26008,2.54332,0.34168,0.1223,0.1223,5.57554,20.16547,3.23741,0.35252,0.0073,0.04978,2.88235,16.01485,36.34831
"23","2015_Q4",28.53609375,"Up",74700000,-34700000,4e+07,-32700000,-16800000,-11400000,-4500000,7300000,-5500000,-5500000,0,1800000,1800000,-1e+05,1700000,1700000,1700000,1700000,8900000,8900000,45400000,45400000,6e+05,51600000,12200000,39400000,106500000,782400000,113600000,113600000,8.96e+08,1002500000,32400000,21200000,8400000,60100000,60100000,100900000,337800000,286100000,1.22e+08,79200000,84900000,623900000,724800000,2e+05,236800000,277700000,277700000,1002500000,1700000,11400000,5700000,1400000,20200000,-32200000,-32200000,-32200000,-4900000,6100000,4e+05,4e+05,3200000,4800000,-7200000,-7200000,-7200000,18700000,346200000,-1.2e+07,0.53548,0.09772,0.02276,0.00612,0.0017,-7.05882,1.0555,2.61001,0.34534,0.1223,0.1223,5.3741,19.96403,-0.86331,0.35252,0.00725,-0.01319,2.88235,18.03743,46.20548
"24","2016_Q1",31.3286885245902,"Up",102400000,-50500000,51900000,-33400000,-17100000,-11600000,-4700000,18500000,-3900000,-4600000,7e+05,14600000,14600000,-5300000,9300000,9300000,9300000,9300000,8700000,8700000,49800000,49800000,8e+05,61200000,11700000,49500000,120500000,808900000,109400000,109400000,918300000,1038800000,33300000,33300000,62200000,48800000,48800000,144300000,316500000,295200000,124400000,87500000,83300000,611700000,7.56e+08,2e+05,237500000,282800000,282800000,1038800000,9300000,11600000,8100000,-24500000,4500000,-33300000,-33300000,-33300000,-4900000,32900000,3e+05,3e+05,3e+05,28600000,-199999.999999998,-199999.999999998,-199999.999999998,30100000,378700000,-22400000,0.50684,0.18066,0.09082,0.03289,0.00895,-2.4086,0.83507,2.67327,0.36456,0.66581,0.66524,7.33104,20.23196,-1.60367,0.3508,0.01484,-0.02341,0.52688,12.29236,20
"25","2016_Q2",32.8884375,"Up",125800000,-68200000,57600000,-34200000,-17400000,-11800000,-5e+06,23400000,-5500000,-5500000,0,17900000,17900000,-7e+06,10900000,10900000,10900000,10900000,8100000,8100000,5.8e+07,5.8e+07,4e+05,61600000,12700000,48900000,128100000,813100000,111700000,111700000,924800000,1052900000,33100000,2.7e+07,68100000,44800000,44800000,1.46e+08,315800000,3.01e+08,126800000,93100000,81100000,616800000,762800000,2e+05,238900000,290100000,290100000,1052900000,10900000,11800000,-2700000,-5800000,14200000,-11300000,-11300000,-11300000,-5e+06,5100000,3e+05,3e+05,-3900000,-3500000,-6e+05,-6e+05,-6e+05,35200000,383900000,25100000,0.45787,0.18601,0.08665,0.03757,0.01035,2.30275,0.8774,2.62944,0.36461,0.77857,0.77857,8.98571,20.70714,1.79286,0.35714,0.01631,0.02574,0.45872,10.67614,16.05983
"26","2016_Q3",33.693125,"Up",74500000,-32800000,41700000,-32200000,-15700000,-11700000,-4800000,9500000,-5800000,-5700000,-1e+05,3700000,3700000,-1200000,2500000,2500000,2500000,2500000,7900000,7900000,42900000,42900000,4e+05,54500000,14600000,39900000,105700000,834600000,111400000,111400000,9.46e+08,1051700000,24900000,21400000,74500000,39600000,39600000,1.39e+08,314900000,309700000,128300000,95600000,85800000,624600000,763600000,2e+05,239400000,288100000,288100000,1051700000,2500000,11700000,3900000,7900000,2.6e+07,-28300000,-28300000,-28300000,-5e+06,5500000,4e+05,4e+05,1200000,2100000,-2e+05,-2e+05,-2e+05,21200000,389400000,1999999.99999999,0.55973,0.12752,0.03356,0.00868,0.00238,0.8,0.76043,2.65047,0.37026,0.17857,0.17857,5.32143,20.56429,0.14286,0.35714,0.0076,0.00203000000000001,2,17.99528,40.15789
"27","2016_Q4",34.3765079365079,"Up",78800000,-35700000,43100000,-3.2e+07,-15500000,-11600000,-4900000,11100000,-5600000,-5500000,-1e+05,5500000,5500000,-2e+06,3500000,3500000,3500000,3500000,4400000,4400000,43100000,43100000,7500000,52600000,6e+06,45300000,107600000,8.61e+08,103800000,103800000,964800000,1072400000,29400000,23100000,5.7e+07,39900000,39900000,126300000,3.44e+08,3.15e+08,127800000,99600000,87600000,6.59e+08,785300000,2e+05,239900000,287100000,287100000,1072400000,3500000,11600000,9e+06,-1600000,22500000,-34800000,-34800000,-34800000,-5e+06,11800000,3e+05,3e+05,1700000,8800000,-3500000,-3500000,-3500000,22700000,4.01e+08,-11700000,0.54695,0.14086,0.04442,0.01219,0.00326,-3.34286,0.85194,2.73528,0.37393,0.25,0.25,5.62857,20.49286,-0.83571,0.35714,0.00847,-0.01166,1.42857,17.47137,35.72973
