"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"19","2014_Q4",40.94609375,"Up",77622000,-33923000,43699000,-28358000,-9286000,-19072000,15341000,-3167000,-3167000,12174000,12174000,461000,12635000,12635000,13512000,13512000,732692000,368799000,363893000,134176000,134176000,93125000,47768000,959993000,9314000,328087000,57609000,270478000,337401000,1297394000,89943000,31661000,58282000,127746000,127746000,217689000,215502000,333961000,332269000,1692000,549463000,767152000,611949000,-839097000,750923000,-168000,523607000,530242000,1297394000,12635000,12350000,-63073000,193836000,155748000,-2755000,-80953000,-83708000,-8032000,-79552000,16000,-79568000,1297000,-86287000,-14247000,-14247000,-14247000,27691000,215502000,218311000,0.56297,0.19764,0.17407,0.02548,0.01041,16.15682,4.40993,1.4468,0.1661,0.34104,0.33619,1.95916,13.21572,5.51012,0.20273,0.01995,0.2022,0.59443,-18.67719,-33.7129299999998
"20","2015_Q1",44.2619672131148,"Up",86121000,-34919000,51202000,-25914000,-8474000,-17440000,25288000,-4699000,-4699000,20589000,20589000,-7361000,13228000,13228000,13790000,13790000,703928000,428567000,275361000,51702000,51702000,32227000,32227000,787857000,12546000,392559000,125802000,266757000,405105000,1192962000,80474000,34654000,45820000,124695000,124695000,205169000,216206000,295910000,293342000,2568000,512116000,717285000,614860000,-903700000,757050000,118000,468328000,475677000,1192962000,13228000,11524000,-59430000,90662000,55984000,-3899000,79804000,75905000,-7609000,-64570000,33000,-64603000,58000.0000000009,-72121000,59768000,59768000,59768000,36812000,216206000,130936000,0.59454,0.29363,0.16012,0.02899,0.01156,9.495,3.84004,1.50792,0.18123,0.37097,0.36233,2.31676,12.59861,3.52234,0.20469,0.02166,0.13255,0.55178,-13.24899,-19.2867
"21","2015_Q2",47.7979365079365,"Up",110378000,-31625000,78753000,-27509000,-9518000,-17991000,51244000,-5236000,-5236000,46008000,46008000,-17676000,28332000,28332000,29065000,29065000,911181000,687200000,223981000,103069000,103069000,102866000,36701000,1117116000,10836000,329821000,66196000,263625000,340657000,1457773000,53553000,9319000,44234000,113245000,113245000,385664000,250674000,337098000,333138000,3960000,587772000,973436000,652045000,-954431000,778719000,113000,476446000,484337000,1457773000,28332000,11640000,-43558000,5357000,1771000,-20838000,42948000,22110000,-7433000,-50731000,35825.5857725765,-50731000,-23084000,234752000,258633000,258633000,258633000,62884000,469540000,65079000,0.71348,0.46426,0.26332,0.06001,0.01994,2.23908,2.8966,2.00983,0.32209,0.78652,0.77862,2.9869,12.89295,1.76108,0.20114,0.02827,0.05041,0.25574,-7.02311,-8.61838999999998
"22","2015_Q3",44.38109375,"Down",118551000,-31212000,87339000,-28761000,-10435000,-18326000,58578000,-7746000,-7746000,50832000,50832000,-18877000,31955000,31955000,32602000,32602000,907595000,507036000,400559000,108717000,108717000,100882000,32473000,1117194000,11479000,332449000,71940000,260509000,343928000,1461122000,66548000,12201000,54347000,110198000,110198000,398353000,253593000,316345000,312592000,3753000,569938000,968291000,654593000,-974272000,803864000,126000,484311000,492831000,1461122000,31955000,11783000,-40781000,22338000,25295000,-490999.999999996,-184321000,-184812000,-7232000,-19815000,26000,-19841000,6400000,-20647000,-180164000,-180164000,-180164000,70361000,475200000,111085000,0.73672,0.49412,0.275,0.06615,0.02231,3.40731,2.80453,1.96475,0.32523,0.90506,0.89463,3.29107,13.44487,3.08381,0.20077,0.03101,0.08649,0.22183,-6.14538,-7.38153
"23","2015_Q4",43.80265625,"Down",100408000,-28363000,72045000,-26658000,-10040000,-16618000,45387000,-8108000,-8108000,37279000,37279000,-13491000,23788000,23788000,24520000,24520000,867444000,477643000,389801000,116079000,116079000,102757000,33884000,1086280000,11072000,351340000,65492000,285848000,362412000,1448692000,65882000,14716000,51166000,116352000,116352000,406582000,256560000,293940000,290100000,3840000,550500000,957082000,658023000,-992752000,821058000,-6000,486323000,491610000,1448692000,23788000,11891000,-25397000,-9626000,656000,-506000,-3849000,-4355000,-7179000,-18477000,3000,-18480000,-38000,-25694000,-29393000,-29393000,-29393000,57278000,480908000,60637000,0.71752,0.45203,0.2442,0.04988,0.01693,2.47296,2.67174,1.94683,0.33196,0.68495,0.67725,2.80485,13.5852,1.69387,0.20054,0.02503,0.04788,0.29278,-6.74842,-8.51644999999999
"24","2016_Q1",41.8465573770492,"Down",112098000,-29201000,82897000,-29557000,-9790000,-19767000,53340000,-6444000,-6444000,46896000,46896000,-14577000,32319000,32319000,33038000,33038000,933708000,510207000,423501000,53868000,53868000,23391000,23391000,1010967000,12148000,451370000,160572000,290798000,463518000,1474485000,66570000,19002000,47568000,106229000,106229000,399973000,259595000,293022000,289039000,3983000,552617000,952590000,663774000,-1000110000,847033000,-178000,510519000,521895000,1474485000,32319000,12479000,-51944000,103772000,96626000,-1865000,-45053000,-46918000,-7093000,-7341000,17000,-7358000,-2710000,-17144000,32564000,32564000,32564000,65819000,486769000,182303000,0.7395,0.47583,0.29472,0.0633,0.02241,5.51798,2.52759,1.82525,0.33013,0.9328,0.92089,3.165,14.41411,5.14719,0.20027,0.03083,0.14005,0.21469,-6.79043,-8.37906
"25","2016_Q2",49.1709375,"Up",107764000,-27167000,80597000,-32241000,-11972000,-20269000,48356000,-7137000,-7137000,41219000,41219000,-14068000,27151000,27151000,28071000,28071000,658694000,524307000,134387000,114608000,114608000,24794000,24794000,798096000,12802000,463763000,171863000,291900000,476565000,1274661000,61274000,18293000,42981000,109951000,109951000,171225000,262635000,335633000,331162000,4471000,598268000,769493000,667129000,-1040509000,868018000,74000,494712000,505168000,1274661000,27151000,12876000,-33563000,13174000,19638000,-6094000,281428000,275334000,-7068000,-40399000,0,-40399000,-3405000,-280872000,14100000,14100000,14100000,61232000,262635000,82380000,0.7479,0.44872,0.26049,0.05557,0.02202,2.9347,4.6611,1.52324,0.20604,0.801,0.79348,3.07502,14.11648,2.35069,0.20168,0.03185,0.07466,0.25179,-6.46817,-8.19048
"26","2016_Q3",58.291875,"Up",75915000,-28285000,47630000,-24547000,-9938000,-14609000,23083000,-705999.999999999,-706000.000000001,22377000,22377000,16652000,39029000,39029000,39994000,39994000,813898000,601388000,212510000,104181000,104181000,48402000,48402000,966481000,11583000,491647000,201572000,290075000,503230000,1469711000,62035000,19013000,43022000,309340000,309340000,371375000,265728000,309450000,298675000,10775000,575178000,946553000,671596000,-1059105000,900966000,210000,513667000,523158000,1469711000,39029000,13066000,-53926000,193185000,191354000,-672000,-88390000,-89062000.0000001,-6923000,-18368000,228000,-18596000,80000,-25211000.0000001,77081000,77081000,77081000,36149000,265728000,212010000,0.62741,0.30406,0.52683,0.07645,0.02721,5.30105,2.60244,1.80931,0.1808,1.15928,1.14448,2.2005,14.88933,6.1454,0.20067,0.04272,0.19303,0.1731,-15.16418,-23.74778
"27","2016_Q4",70.2912698412698,"Up",208307000,-26149000,182158000,-25440000,-9880000,-15560000,156718000,-3798000,-3798000,152920000,152920000,-49397000,103523000,103523000,104466000,104466000,781549000,187162000,594387000,146883000,146883000,46306000,46306000,974738000,11282000,456830000,162352000,294478000,468112000,1442850000,62570000,12488000,50082000,175673000,175673000,238243000,268847000,320488000,309513000,10975000,589335000,827578000,676528000,-1064795000,994967000,24000,606724000,615272000,1442850000,103523000,13208000,-125759000,-1100000,-10128000,-1511000,-390070000,-391581000,-6858000,-5616000,74000,-5690000,-43000,-12517000,-414226000,-414226000,-414226000,169926000,268847000,216712000,0.87447,0.75234,0.5015,0.16979,0.0724,2.07447,4.09136,1.34506,0.18633,3.04743,2.98876,6.07663,17.69907,6.32182,0.20006,0.09242,0.1799,0.06565,-3.01721,-3.27149
"28","2017_Q1",79.0261290322581,"Up",273868000,-21762000,252106000,-42957000,-20277000,-22680000,209149000,-3394000,-3394000,205755000,205755000,-69978000,135777000,135777000,136470000,136470000,952761000,404074000,548687000,228464000,228464000,39894000,39894000,1221119000,12626000,494108000,149532000,344576000,506734000,1727853000,65288000,14050000,51238000,360192000,360192000,425480000,272021000,275984000,261013000,14971000,548005000,973485000,684252000,-1064795000,1120766000,-514000,739709000,754368000,1727853000,135777000,13603000,260218000,-176303000,233295000,-2505000,36808999.9999999,-13695999.9999999,-10286000,183000,183000,0,7416000,-2687000,216912000,216912000,216912000,222752000,272021000,113922000,0.92054,0.76369,0.49831,0.18091,0.07898,0.83478,2.86998,1.29046,0.15743,3.98104,3.84628,7.98915,21.57844,3.32328,0.30006,0.11268,0.08747,0.07537,-3.05604,-3.25481
