"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",17.04015625,"Down",27452731,-17676804,9775927,-9405150,-9405150,370777,57905,-29386,87291,428682,-47262,381420,242359,242359,242359,242359,21503977,10824540,10679437,18358611,18358611,36980325,7082093,922561,83925006,14403000,6537602,739931,27144594,111069600,14516479,7990304,1453035,5073140,14981799,1749269,325810,3116770,18098569,37513189,56606937,-1149095,92971031,92971031,111069600,242359,485793,162559,-8373619,-7482908,-454158,728271,43940,43940,-228582,-6983219,-6983219,-7045172,856570,1832821,0.3561,0.01351,0.00883,0.00261,0.00218,5.6018,0.19467,0.0165,0.11423,0.1141,12.93943,43.8205,0.00251,-22.96503,-53.05387
"12","2013_Q3",19.16890625,"Up",31936602,-20408285,11528317,-8961466,-8961466,2566851,8394,-26457,34851,2575245,2585,2577830,1638557,1638557,1638557,1638557,18348996,11530222,6818774,21200305,21200305,39280036,4575756,561565,83405093,14674298,6511920,711094,26606726,110011819,13334854,6203127,1430111,5432223,13808165,1791385,326220,3002350,16810515,37461355,56904289,-1164340,93201304,93201304,110011819,1638557,572861,-442162,-3565287,-1796031,-816239,3809438,162473,162473,-1300868,712539,712539,705681.999999998,3139712,1684276,0.36098,0.08037,0.05131,0.01758,0.01489,6.04027,0.18037,0.01531,0.76769,0.76746,14.96271,43.66603,0.03105,-5.30772,-6.49227999999998
"13","2013_Q4",19.45859375,"Up",44616873,-30993687,13623186,-9468972,-9468972,4154214,-26716,-26644,-72,4127498,-5883241,-1755743,-2035934,-2035934,-2035934,-2035934,16217565,8103878,8113687,36731208,36731208,28551690,4897230,693804,86397693,14764093,712998,712998,18453833,104851526,12076271,4993242,1442951,5593017,12557710,1032058,154095,2019234,14576944,37560585,53488776,-774779,90274582,90274582,104851526,-2035934,569150,5155641,-6241882,-2553025,-650267,510779,40765,40765,-1441296,-3483542,-3483542,-3426344,4723364,1468615,0.30534,0.09311,-0.04563,-0.02255,-0.01942,6.88005,0.16147,0.01401,-0.95271,-0.95175,20.87839,42.24384,-0.00721,-3.12255,-3.55036
"14","2014_Q1",21.707868852459,"Up",27313304,-17342206,9971098,-8907281,-8907281,1063817,-19699,-23614,3915,1044118,-1144500,-100382,-802870,-802870,-802870,-802870,25801434,20059120,5742314,22902323,22902323,29111656,5857036,716784,83672449,14941492,997822,997822,19860292,103532741,12583144,4894869,1436318,6251957,13072850,809179,0,1837848,14910698,37538337,51323718,-240012,88622043,88622043,103532741,-802870,557026,588146,12262985,12605287,-696605,726922,63679,63679,-1419724,11912485,11912485,11955242,1620843,1518375,0.36506,0.03895,-0.02939,-0.00906,-0.00775,6.40047,0.16825,0.01467,-0.37552,-0.37644,12.77493,41.45015,-0.03885,-14.98175,-22.8263499999999
"15","2014_Q2",22.1949206349206,"Up",25198406,-16210390,8988016,-9002112,-9002112,-14096,-18695,-24655,5960,-32791,-232098,-264889,-140583,-140583,-140583,-140583,23209723,17887316,5322407,16219261,16219261,29854972,5955142,708943,75239098,15471049,885271,885271,25834104,101073202,11439630,5751527,1454417,4233686,11937745,780792,0,1687138,13624883,37975510,49796504,-323695,87448319,87448319,101073202,-140583,560622,142972,5260377,5823388,-817893,-5977682,35686,35686,-2026878,-2181172,-2181172,-2171804,546526,1404461,0.35669,-0.00056,-0.00558,-0.00161,-0.00139,6.30262,0.1558,0.0139,-0.06565,-0.06565,11.7675,40.83781,0.0137,-39.89794,1546.91132
"16","2014_Q3",21.32265625,"Down",33208977,-21115208,12093769,-9688246,-9688246,2405523,11673,-16391,28064,2417196,-141871,2275325,1437483,1437483,1437483,1437483,20828983,14952432,5876551,19166945,19166945,31080110,5105066,637897,76181104,16255766,737615,737615,27617598,103798702,13907935,7031207,1419807,5456921,14414604,811768,-3.63797880709171e-12,1503611,15918215,38396054,49835300,-350867,87880487,87880487,103798702,1437483,582650,436820,-727214,1729739,-1661577,-3353874,142547,144708,-1326323,-2950458,-2950458,-2934884,2988173,1198512,0.36417,0.07244,0.04329,0.01636,0.01385,5.28499,0.18113,0.01155,0.66691,0.66333,15.40717,40.77179,0.03192,-6.56938999999999,-8.16057999999998
"17","2014_Q4",20.91265625,"Down",33433924,-21421424,12012500,-9354599,-9354599,2657901,45376,-17467,62843,2703277,30332,2733609,1694902,1694902,1694902,1694902,20955690,16330933,4624757,16624831,16624831,31078862,5070724,839365,73730107,17178956,595707,595707,28846483,102576590,12483199,6036438,1433115,5013646,12998569,882756,0,1439847,14438416,38701493,50121569,-684888,88138174,88138174,102576590,1694902,613520,515830,793081,3617333,-1460132,-687939,26384,40898,-1491534,1437860,1437860,1378501,3271421,1072461,0.35929,0.0795,0.05069,0.01923,0.01652,5.67217,0.16382,0.01046,0.78446,0.78266,15.4744,40.79346,0.0342,-6.07786,-7.4808
"18","2015_Q1",20.6811475409836,"Down",27230132,-18165859,9064273,-10582844,-10582844,-1518571,-37803,-21328,-16475,-1556374,-6442.99999999998,-1562817,-1029929,-1029929,-1029929,-1029929,18339574,13736857,4602717,13839662,13839662,31109653,6616852,1050000,69905741,18153152,687081,687081,30380494,100286235,12470641,5180631,1446498,5843512,12994861,1089994,0,1270876,14265737,39025968,47689688,-695158,86020498,86020498,100286235,-1029929,725508,511405,794633,1001617,-1586364,-2028822,41502,24827,-1455769,-2482974,-2482974,-2594076,-793063,705102,0.33288,-0.05577,-0.03782,-0.01197,-0.01027,5.37949,0.16584,0.00703,-0.47579,-0.4754,12.57943,39.73865,0.00404000000000001,22.2359,11.6125400000001
"19","2015_Q2",21.3387301587302,"Up",19544936,-14657998,4886938,-10578176,-10578176,-5691238,49745,-13218,62963,-5641493,4285,-5637208,-4163476,-4163476,-4163476,-4163476,14027945,9149624,4878321,10877375,10877375,32478501,8383512,1318797,65767333,18437556,1009804,1009804,30032599,95799932,13252404,6462791,1463075,5326538,13752500,1001688,0,1079511,14832011,39667430,42083492,-783001,80967921,80967921,95799932,-4163476,780477,150528,355764,-2876707,-830221,-95684,-7541,-7541,-1536180,-4508571,-4508571,-4587233,-4910761,577919,0.25004,-0.29119,-0.21302,-0.05142,-0.04346,4.78221,0.18318,0.00603,-1.9229,-1.9229,9.02683,37.39504,-0.03354,2.73889,2.36329
"20","2015_Q3",18.360625,"Down",28197661,-19658791,8538870,-10256538,-10256538,-1717668,-57150,-61044,3893.99999999999,-1774818,88.0000000000291,-1774730,-1028168,-1028168,-1028168,-1028168,10857199,7972407,2884792,17353120,17353120,29320866,8862566,873443,66393751,18218327,2382561,926777,31177281,97571032,13969263,6570684,1455216,5943363,17439438,1039587,-1.81898940354586e-12,1117959,18557397,40146292,39565581,-698238,79013635,79013635,97571032,-1028168,852783,281947,-3351425,-3244863,-801798,278020,53607,53607,1690213,-1276630,-1276630,-1177217,-864885,3548547,0.30282,-0.06092,-0.03646,-0.01301,-0.01054,3.8071,0.23486,0.03637,-0.4723,-0.4723,12.95279,36.29547,0.00474,8.45043,4.25499
"21","2015_Q4",16.09953125,"Down",32246166,-21822332,10423834,-9992444,-9992444,431390,77870,-27828,105698,509260,5035,514295,1283952,1283952,1283952,1283952,10713332,8027641,2685691,23027072,23027072,25920573,8561438,1676224,68222415,17577043,2754516,1292013,30388555,98610970,14700711,7208659,1464332,6027720,18838735,631819,0,767749,19606484,40408802,39437485,-841801,79004486,79004486,98610970,1283952,842984,-168519,-1753828,204589,-94227,623262,46541,46541,-684099,143752,143752,55234,1274374,4273954,0.32326,0.01338,0.03982,0.01625,0.01302,3.62139,0.24817,0.04334,0.58979,0.58979,14.81251,36.29128,0.032,-5.05297,-14.92705
"22","2016_Q1",14.445737704918,"Down",27680761,-19984241,7696520,-10002597,-10002597,-2306077,25591.0000000001,-18345,43936,-2280486,-1223594,-3504080,-5740616,-5740616,-5740616,-5740616,15041405,9812737,5228668,17849207,17849207,24985560,4013574,1041303,61889746,17468420,2264559,802056,26026484,87916230,15337849,8373292,1474892,5489665,15441452,187454,126001,290087,15731539,40567012,32284061,-666382,72184691,72184691,87916230,-5740616,836343,2832413,8829133,6757273,-610091,589667,52909,52909,-5476015,1870925,1870925,1785096,-1469734,206236,0.27805,-0.08331,-0.20739,-0.07953,-0.0653,4.00803,0.21793,0.00235,-2.60806,-2.60806,12.57582,32.79468,-0.05979,10.09378,6.43308
"23","2016_Q2",14.08484375,"Down",24666444,-17897426,6769018,-9637061,-9637061,-2868043,-4219916,-9071,27652,-7087959,4956158,-2131801,-2466667,-2466667,-2466667,-2466667,15390833,7459316,7931517,18479882,18479882,24923332,4012408,1218296,62806455,17131316,2405914,943411,21907565,84714020,13786729,7132645,1495544,5158540,15286729,31482,0,179870,15466599,41328705,28370965,-452249,69247421,69247421,84714020,-2466667,890411,-535778,-1363348,-3475382,162144,1419468,29529,29529,-315689,-2371603,-2371603,-2353421,-1977632,1648388,0.27442,-0.11627,-0.1,-0.03562,-0.02912,4.10856,0.22335,0.01946,-1.11364,-1.11364,11.13626,31.26342,-0.01477,6.94894,4.79158
"24","2016_Q3",13.22734375,"Down",26311442,-18935699,7375743,-10047201,-10047201,-2671458,31409,-41075,72484,-2640049,9.31322574615479e-10,-2640049,-2544499,-2544499,-2544499,-2544499,16860281,8254456,8605825,17195626,17195626,26776642,4761596,1764435,65594145,16615954,2286495,823992,20352239,85946384,17351820,9942953,1503034,5905833,20451820,40926,0,224211,20676031,41501142,24392000,-622789,65270353,65270353,85946384,-2544499,943437,186239,2388398,973575,-464220,-216682,27839,27839,175106,931998.999999999,931998.999999999,795140,-1728021,3283285,0.28032,-0.10153,-0.09671,-0.03898,-0.02961,3.20725,0.31678,0.0382,-1.1387,-1.1387,11.77477,29.20946,-0.01631,7.85696,5.08224
"25","2016_Q4",9.72587301587302,"Down",25616640,-18926042,6690598,-7866009,-7866009,-1175411,-24970,-44229,19259,-1200381,-60088,-1260469,-1263770,-1263770,-1263770,-1263770,12049350,3233390,8815960,16372514,16372514,24560477,4280766,1166929,57263107,16294720,2185924,723421,19208408,76471515,12529786,6998059,413966,5117761,12529786,50371,0,181619,12711405,41577942,22792222,-610054,63760110,63760110,76471515,-1263770,920341,23516,-120285,-440198,-614612,-105451,34823,34823,-4503584,-5049233,-5049233,-5021066,-255070,131248,0.26118,-0.04588,-0.04933,-0.01982,-0.01653,4.57016,0.19936,0.00172,-0.5844,-0.5844,11.84583,29.4844,0.00252,46.72483,10.13952
"26","2017_Q1",10.0609677419355,"Up",22758408,-17012226,5746182,-7635653,-7635653,-1889471,63917.0000000001,-25252,89169,-1825554,1275,-1824279,-1838612,-1838612,-1838612,-1838612,16248550,10443274,5805276,14552191,14552191,22204902,2367450,967332,55373093,15719403,2084520,622017,17803923,73177016,11368163,6953710,412542,4001911,11368163,52998,-9.09494701772928e-13,176161,11544324,41723150,20596203,-686661,61632692,61632692,73177016,-1838612,928820,57699,5009459,4157366,-394479,3338131,40556,40556,-255091.000000001,7240406,7240406,7209884,-960651,123163,0.25249,-0.08302,-0.08079,-0.02983,-0.02513,4.87089,0.18731,0.00168,-0.8283,-0.8283,10.25269,27.76559,-0.02394,16.7859,8.53434
"27","2017_Q2",9.70698412698413,"Down",20800079,-14835014,5965065,-7037255,-7037255,-1072190,32127,-9559,41686,-1040063,-405438,-1445501,-1515512,-1515512,-1515512,-1515512,17539600,15171261,2368339,13776287,13776287,19910543,2415532,1048716,53641962,14872364,1995540,533037,16867904,70509866,10219174,5553682,398467,4267025,10219174,62414,0,200822,10419996,42056327,18726976,-693433,60089870,60089870,70509866,-1515512,873357,120233,2216136,1694214,-38082,3397072,21999,21999,-346389,4744897,4744897,4727987,-198833,138408,0.28678,-0.05155,-0.07286,-0.02522,-0.02149,5.24915,0.17341,0.00196,-0.68157,-0.68157,9.35445,27.02431,-0.01903,87.51662,16.22958
"28","2017_Q3",8.8831746031746,"Down",22068462,-16057822,6010640,-7318047,-7318047,-1307407,-11148,-9481,-1666.99999999999,-1318555,-2799827,-4118382,-4090697,-4090697,-4090697,-4090697,20556642,19112086,1444556,12750055,12750055,18274381,1573355,978082,53154433,14197023,290735,290735,14487758,67642191,11633335,6483710,397768,4751857,11633335,7.27595761418343e-12,-1.13686837721616e-13,164880,11798215,42233835,14267533,-657392,55843976,55843976,67642191,-4090697,849025,1748669,4867304,3374301,-26892,895728,24260,24260,-345185,3924844,3924844,3940825,-458382,164880,0.27236,-0.05924,-0.18536,-0.07325,-0.06048,4.56915,0.21127,0.00244,-1.82878,-1.82878,9.86591,24.96556,-0.06644,44.48639,15.5971
"29","2017_Q4",8.76253968253968,"Down",20412439,-17108532,3303907,-7161323,-7161323,-3857416,-3930,-42799,38869,-3861346,-770009,-4631355,-4522015,-4522015,-4522015,-4522015,17791597,17066485,725112,13807564,13807564,15017656,1659996,1047320,48276813,12963718,19803,19803,12983521,61260334,10119546,5391519,398210,4329817,10119546,0,0,37936,10157482,42342602,9386374,-626124,51102852,51102852,61260334,-4522015,767279,560220,854366,-2340150,-104276,614928,27963,27963,-330930,-2056152,-2056152,-2045601,-3090137,37936,0.16186,-0.18897,-0.22153,-0.08849,-0.07382,4.77065,0.19877,0.00062,-2.0185,-2.0185,9.11153,22.81085,-0.08141,5.74527,4.60248
"30","2018_Q1",7.86852459016393,"Down",19041638,-13485011,5556627,-7182513,-7182513,-1625886,-35485,-9589,-25896,-1661371,-3526,-1664897,-1697408,-1697408,-1697408,-1697408,17994407,12453663,5540744,12183217,12183217,13984428,1304366,810532,45466418,12624730,55113,16977,12679843,58146261,8960390,4554683,397151,4008556,8960390,-1.81898940354586e-12,5.6843418860808e-14,15144,8975534,42455435,7328671,-613379,49170727,49170727,58146261,-1697408,696797,96939,1825227,921554.999999999,-384229,-5201241,22823,22823,-338749,-4618435,-4618435,-4612822,-929089,15144,0.29181,-0.08539,-0.08914,-0.03452,-0.02919,5.07416,0.18254,0.00026,-0.75715,-0.75715,8.49373,21.93313,-0.02716,19.3515,11.05813
"31","2018_Q2",8.40421875,"Up",16773685,-11595066,5178619,-7152840,-7152840,-1974221,94415,-9706,104121,-1879806,27531,-1852275,-1859845,-1859845,-1859845,-1859845,17610613,11592110,6018503,11761183,11761183,14229052,1848821,1407051,45449669,12233152,52693,14557,12285845,57735514,10218892,4965069,371545,4882278,10218892,0,0,31401,10250293,42957919,5113019,-585717,47485221,47485221,57735514,-1859845,631512,57046,1410801,239514,-234854,-719045,1342,1342,-389396,-868927,-868927,-861553,-1342709,31401,0.30873,-0.1177,-0.11088,-0.03917,-0.03221,4.44761,0.21586,0.00054,-0.82658,-0.82658,7.45482,21.10411,-0.03092,13.09235,8.90438
"32","2018_Q3",7.88190476190476,"Down",15038159,-11053074,3985085,-6707288,-6707288,-2722203,79649,-9482,89131,-2642554,-10480,-2653034,-2641509,-2641509,-2641509,-2641509,14171930,8066304,6105626,11473993,11473993,15565210,1705725,1245903,42916858,11972989,48897,10761,12021886,54938744,10514668,5257225,368222,4889221,10514668,0,0,0,10514668,43005944,2104414,-686282,44424076,44424076,54938744,-2641509,541044,35686,-655738,-2720517,-338156,-420844.999999999,22819,22819,-347600,-3488962,-3488962,-3525806,-2181159,0,0.265,-0.18102,-0.17565,-0.05946,-0.04808,4.08162,0.23669,0,-1.15683,-1.15683,6.58587,19.45526,-0.05112,6.49742999999999,5.20605
"33","2018_Q4",6.00904761904762,"Down",15291993,-10051419,5240574,-6842348,-6842348,-1601774,61052,-9586,70638,-1540722,-6147,-1546869,-1544732,-1544732,-1544732,-1544732,11251116,8632794,2618322,11448146,11448146,16130318,1828310,1363851,40657890,11552470,45920,7784,11598390,52256280,9682165,3590288,368783,5723094,9682165,0,0,0,9682165,43079943,193408,-699236,42574115,42574115,52256280,-1544732,522895,52578,-1516028,-2485287,-93045,3396662,27568,27568,-338145,573230,573230,566490,-1078879,0,0.3427,-0.10475,-0.10102,-0.03628,-0.02956,4.19926,0.22742,0,-0.67551,-0.67551,6.68718,18.61763,-0.02769,10.42852,7.02416
"34","2019_Q1",5.88065573770492,"Down",18659109,-11756138,6902971,-6799215,-6799215,103756,26084,-9581,35665,129840,-464130,-334290,-745649,-745649,-745649,-745649,11056426,11056426,0,13401042,13401042,16175616,1702008,1553972,42335092,10962239,23833,4765.00000000006,10986072,53321164,11639770,5394981,184541,6060248,11639770,1.45519152283669e-11,0,28267,11668037,43138421,-734001,-751293,41653127,41653127,53321164,1115081,-434216,90924,-4589481,243558,-21204,2555169,23971,23971,-342030,2456697,2456697,2423632,-330460,28267,0.36995,0.00556,-0.03996,-0.0179,-0.01398,3.63711,0.28012,0.00053,-0.32581,-0.32581,8.15317,18.2005,-0.00911,33.37214,-106.28936
"35","2019_Q2",6.69587301587302,"Up",16723294,-10296329,6426965,-6246330,-6246330,180635,35446,-9444,44890,216081,-935,215146,240113,240113,240113,240113,9490706,9490706,1411649.1585969,13272257,13272257,15353018,2818280,1643156,40934261,9933199,1323661,1304593,11256860,52191121,9611850,4253169,185482,5173199,9701285,348020,348020,388571,10089856,43501759,-677819,-722675,42101265,42101265,52191121,-791896,279248,79622,-1632068,-1190912,-209875,-217302,25509,25509,-158975,-1567189,-1567189,-1565720,459883,40551,0.38431,0.0108,0.01436,0.0057,0.0046,4.21947,0.23966,0.00078,0.10467,0.10467,7.28994,18.35259,0.00999,-20.54904,-52.3163
