"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",32.7522580645161,"Up",1.609e+09,-1.281e+09,3.28e+08,-1.46e+08,-1.13e+08,-2.3e+07,-1.2e+07,2e+06,1.82e+08,1e+07,-4.4e+07,1e+06,5e+07,3e+06,1.92e+08,-6e+06,1.86e+08,-5.7e+07,1.29e+08,-2e+06,-2e+06,1.27e+08,0,1.27e+08,1.27e+08,9.84e+08,9.28e+08,5.6e+07,9.32e+08,9.32e+08,7.11e+08,3.41e+08,2.35e+08,2.968e+09,3.295e+09,2.702e+09,1.74e+08,7.68e+08,5.39e+08,7.75e+08,4.46e+08,5.997e+09,8.965e+09,7.28e+08,6.85e+08,4.3e+07,1.41e+08,5.26e+08,5.07e+08,1.395e+09,2.839e+09,2.816e+09,1.354e+09,1.31e+08,1.331e+09,5.655e+09,7.05e+09,7.31e+08,-8.97e+08,2.903e+09,-8.22e+08,1.915e+09,0,1.915e+09,8.965e+09,1.27e+08,8.1e+07,-3.3e+07,8.5e+07,-1e+06,2.59e+08,-9.5e+07,0,-1.9e+07,-1.14e+08,-1.2e+07,-6e+06,-6e+06,-9e+06,-1e+06,-2.5e+07,1.2e+08,1.2e+08,8e+06,1.28e+08,2.63e+08,2.98e+09,3.1e+08,0.20385,0.11311,0.07893,0.06632,0.01417,2.44094,2.1276,3.68146,0.3324,0.79795,0.79304,10.10943,12.03205,1.94775,0.0754,5,0.01803,0.0402,0.09449,7.58935,10.96703
"12","2013_Q1",38.4848333333333,"Up",1.501e+09,-1.257e+09,2.44e+08,-5.33e+08,-4.76e+08,-3.1e+07,-1.3e+07,-1.3e+07,-2.89e+08,3e+07,-5e+07,0,7.9e+07,1e+06,-2.59e+08,-3e+06,-2.62e+08,9.6e+07,-1.66e+08,-2e+06,-2e+06,-1.68e+08,1.13686837721616e-13,-1.68e+08,-1.68e+08,1.012e+09,9.59e+08,5.3e+07,8.27e+08,8.27e+08,7.11e+08,2.89e+08,2.4e+08,2.839e+09,3.35e+09,2.811e+09,1.65e+08,7.77e+08,6.06e+08,8e+08,4.63e+08,6.161e+09,9e+09,6.87e+08,6.49e+08,3.8e+07,1.68e+08,5e+08,4.75e+08,1.355e+09,2.93e+09,2.985e+09,1.602e+09,5e+07,1.333e+09,5.915e+09,7.27e+09,7.31e+08,-9.05e+08,1.993e+09,-8.9e+07,1.73e+09,0,1.73e+09,9e+09,-1.69e+08,8.4e+07,1.58e+08,-1.4e+07,2e+06,6.1e+07,-9.7e+07,0,-6e+06,-1.03e+08,-1.2e+07,1.02e+08,-4e+06,-8e+06,-1.6e+07,7e+07,2.8e+07,2.8e+07,3e+06,3.1e+07,-2.05e+08,3.098e+09,-4.12e+08,0.16256,-0.19254,-0.11193,-0.09711,-0.01867,2.45238,2.0952,4.20231,0.34422,-1.05302,-1.04812,9.40823,10.8436,-2.58241,0.07522,5,-0.01997,-0.05273,-0.07143,-10.17561,-7.21799
"13","2013_Q2",38.7240625,"Up",1.605e+09,-1.272e+09,3.33e+08,-1.47e+08,-1.06e+08,-2.6e+07,-1.1e+07,-4e+06,1.86e+08,3.4e+07,-4.3e+07,2.4e+07,5.4e+07,-1e+06,2.2e+08,-2e+06,2.18e+08,-7.7e+07,1.41e+08,1e+06,1e+06,1.42e+08,0,1.42e+08,1.42e+08,1.027e+09,9.78e+08,4.9e+07,9.16e+08,9.16e+08,7.58e+08,2.85e+08,2.35e+08,2.986e+09,3.286e+09,2.796e+09,1.55e+08,7.62e+08,6.03e+08,7.96e+08,4.8e+08,6.082e+09,9.068e+09,7.55e+08,6.59e+08,9.6e+07,1.12e+08,4.84e+08,4.59e+08,1.351e+09,2.959e+09,2.923e+09,1.576e+09,4.4e+07,1.303e+09,5.882e+09,7.233e+09,7.36e+08,-9.05e+08,2.123e+09,-1.19e+08,1.835e+09,0,1.835e+09,9.068e+09,1.42e+08,8e+07,-3.3e+07,-4.3e+07,1e+06,1.47e+08,-7.7e+07,0,-1e+07,-8.7e+07,-1.2e+07,-2.4e+07,1e+06,0,0,-3.5e+07,2.5e+07,2.5e+07,-6e+06,1.9e+07,2.66e+08,3.071e+09,2.23e+08,0.20748,0.11589,0.08847,0.07738,0.01566,1.57042,2.21021,3.94169,0.33866,0.88927,0.88638,10.0512,11.49156,1.39652,0.07515,5,0.01967,0.02848,0.08451,7.68421,10.98925
"14","2013_Q3",40.459375,"Up",1.653e+09,-1.334e+09,3.19e+08,-1.48e+08,-1.13e+08,-2.3e+07,-9e+06,-3e+06,1.71e+08,3.9e+07,-4.3e+07,2.3e+07,5.5e+07,4e+06,2.1e+08,-2000000.00000001,2.08e+08,-7.5e+07,1.33e+08,0,0,1.33e+08,0,1.33e+08,1.33e+08,1.152e+09,1.107e+09,4.5e+07,9.29e+08,9.29e+08,7.38e+08,3.61e+08,3.11e+08,3.18e+09,3.325e+09,2.817e+09,1.52e+08,7.72e+08,6.02e+08,8.08e+08,4.83e+08,6.142e+09,9.322e+09,8.56e+08,7.16e+08,1.4e+08,2.24e+08,4.64e+08,4.39e+08,1.544e+09,2.86e+09,2.933e+09,1.56e+09,4.7e+07,1.326e+09,5.793e+09,7.337e+09,7.45e+08,-9.11e+08,2.242e+09,-9.1e+07,1.985e+09,-2.3283064365387e-10,1.985e+09,9.322e+09,1.33e+08,7.8e+07,-2.4e+07,4.8e+07,-6e+06,2.29e+08,-6.6e+07,0,-2.4e+07,-9e+07,-1.4e+07,4e+06,-4e+06,-6e+06,0,-1.4e+07,1.25e+08,1.25e+08,4e+06,1.29e+08,2.49e+08,3.084e+09,3.06e+08,0.19298,0.10345,0.08046,0.067,0.01427,2.30075,2.05959,3.69622,0.33083,0.83293,0.83051,10.35218,12.43139,1.91638,0.08768,4,0.01837,0.03824,0.10526,7.75904,11.29825
"15","2013_Q4",45.94390625,"Up",1.636e+09,-1.29e+09,3.46e+08,-1.31e+08,-9.7e+07,-2.4e+07,-6e+06,-4e+06,2.15e+08,1.8e+07,-4.3e+07,2.2e+07,4.1e+07,-2e+06,2.33e+08,-3e+06,2.3e+08,-5.7e+07,1.73e+08,1e+06,1e+06,1.74e+08,0,1.74e+08,1.74e+08,1.144e+09,1.1e+09,4.4e+07,9.49e+08,9.49e+08,7.53e+08,3.82e+08,3.32e+08,3.228e+09,3.391e+09,2.893e+09,1.47e+08,7.87e+08,6.04e+08,8.57e+08,4.98e+08,6.284e+09,9.512e+09,8.91e+08,7.39e+08,1.52e+08,2.24e+08,4.82e+08,4.57e+08,1.597e+09,2.87e+09,2.961e+09,1.546e+09,6.1e+07,1.354e+09,5.831e+09,7.428e+09,7.53e+08,-1.007e+09,2.385e+09,-4.7e+07,2.084e+09,0,2.084e+09,9.512e+09,1.72e+08,8e+07,-1.9e+07,-1e+06,0,2.32e+08,-1.09e+08,0,-4e+06,-1.13e+08,-2.9e+07,-7e+06,-9.6e+07,-9.6e+07,-2e+06,-1.34e+08,-1.5e+07,-1.5e+07,8e+06,-7e+06,2.95e+08,3.094e+09,2.42e+08,0.21149,0.13142,0.10636,0.08349,0.01829,1.3908,2.02129,3.5643,0.32527,1.09778,1.09368,10.3217,13.14818,1.5268,0.18296,7,0.02494,0.02973,0.16667,6.61017,9.06977
"16","2014_Q1",44.2852459016393,"Down",1.616e+09,-1.249e+09,3.67e+08,-1.6e+08,5e+06,-1.2e+07,-6e+06,-1.47e+08,2.07e+08,1.1e+07,-4.2e+07,2.4e+07,3e+07,-1e+06,2.18e+08,7.35e+08,9.53e+08,-2.99e+08,6.54e+08,-2e+06,-2e+06,6.52e+08,-2.91038304567337e-11,6.52e+08,6.52e+08,1.025e+09,9.84e+08,4.1e+07,8.67e+08,8.67e+08,8.04e+08,4.86e+08,3.71e+08,3.182e+09,3.425e+09,2.411e+09,1.42e+08,7.98e+08,2.89e+08,8.41e+08,3.41e+08,5.836e+09,9.018e+09,8.17e+08,7.99e+08,1.8e+07,1.77e+08,5.51e+08,5.41e+08,1.545e+09,2.887e+09,1.887e+09,1.175e+09,2.25e+08,4.87e+08,4.774e+09,6.319e+09,5.3e+07,-3.61e+08,3.011e+09,-4e+06,2.699e+09,3.72529029846191e-09,2.699e+09,9.018e+09,6.54e+08,8.1e+07,-5.25e+08,-5.7e+07,1e+06,1.54e+08,-1.12e+08,1.45519152283669e-11,-2e+07,-1.32e+08,-2.8e+07,-5.4e+07,-5.6e+07,-6.2e+07,-5e+06,-1.43e+08,-1.21e+08,-1.21e+08,5e+06,-1.16e+08,2.88e+08,3.064e+09,4.18e+08,0.2271,0.12809,0.40347,0.24157,0.0723,0.6411,2.05955,2.34124,0.33976,4.14377,4.12926,10.27045,17.15342,2.65659,0.17795,7,0.08889,0.05464,0.04294,7.07986,9.85024
"17","2014_Q2",50.657619047619,"Up",1.705e+09,-1.327e+09,3.78e+08,-1.33e+08,-1.04e+08,-2.2e+07,-6e+06,-1e+06,2.45e+08,3e+07,-3.9e+07,2.9e+07,4e+07,0,2.75e+08,-2e+06,2.73e+08,-7.8e+07,1.95e+08,0,0,1.95e+08,1e+06,1.96e+08,1.96e+08,1.041e+09,9.98e+08,4.3e+07,9.86e+08,9.86e+08,8.16e+08,4.03e+08,2.88e+08,3.246e+09,3.519e+09,2.364e+09,1.45e+08,7.98e+08,2.61e+08,8.28e+08,3.32e+08,5.883e+09,9.129e+09,8.64e+08,7.9e+08,7.4e+07,1.57e+08,4.89e+08,4.79e+08,1.51e+09,2.881e+09,1.818e+09,1.147e+09,2.2e+08,4.51e+08,4.699e+09,6.209e+09,6.1e+07,-4.14e+08,3.179e+09,-1.4e+07,2.812e+09,1.08e+08,2.92e+09,9.129e+09,1.95e+08,7.6e+07,-4.5e+07,-6.2e+07,0,1.64e+08,-1.48e+08,0,-3e+06,-1.51e+08,-2.8e+07,-2.4e+07,-5.3e+07,-5.3e+07,1.09e+08,4e+06,1.7e+07,1.7e+07,-3e+06,1.4e+07,3.21e+08,3.038e+09,1.89e+08,0.2217,0.1437,0.11496,0.06712,0.02147,0.96429,2.14967,2.12637,0.33279,1.25238,1.2499,10.89444,17.96785,1.20765,0.17891,7,0.02881,0.02431,0.14286,6.22118,8.15102
"18","2014_Q3",51.61421875,"Up",1.769e+09,-1.361e+09,4.08e+08,-1.46e+08,-1.19e+08,-2.4e+07,-5e+06,2e+06,2.62e+08,9.3e+07,-3.8e+07,2.9e+07,1.01e+08,1e+06,3.55e+08,-3e+06,3.52e+08,-9.4e+07,2.58e+08,4.65661287307739e-10,4.65661287307739e-10,2.58e+08,1e+06,2.59e+08,2.59e+08,1.103e+09,1.064e+09,3.9e+07,1.045e+09,1.045e+09,8.16e+08,3.75e+08,2.6e+08,3.339e+09,3.577e+09,2.417e+09,1.4e+08,7.94e+08,2.71e+08,8.8e+08,3.32e+08,5.994e+09,9.333e+09,9.03e+08,8.39e+08,6.4e+07,1.58e+08,4.82e+08,4.72e+08,1.543e+09,2.88e+09,1.809e+09,1.125e+09,2.28e+08,4.56e+08,4.689e+09,6.232e+09,7.3e+07,-4.64e+08,3.399e+09,-5.3e+07,2.955e+09,1.46e+08,3.101e+09,9.333e+09,2.58e+08,7.5e+07,-81999999.9999999,3e+06,-1e+06,2.53e+08,-1.25e+08,1.16415321826935e-10,-7e+06,-1.32e+08,-3.9e+07,-6e+06,-4.7e+07,-5e+07,3.8e+07,-54000000.0000001,6.7e+07,6.7e+07,-1e+06,6.6e+07,3.37e+08,3.038e+09,3.09e+08,0.23064,0.14811,0.14641,0.08352,0.02775,1.19305,2.16397,2.00967,0.32551,1.6629,1.65968,11.35782,18.9725,1.98393,0.2504,7,0.03749,0.03888,0.15058,5.74184,7.3855
"19","2014_Q4",49.22828125,"Down",1.769e+09,-1.333e+09,4.36e+08,-1.25e+08,-1.18e+08,-2.2e+07,-5e+06,2e+07,3.11e+08,4.1e+07,-3.8e+07,2.9e+07,5.2e+07,-2e+06,3.52e+08,-5e+06,3.47e+08,-9e+07,2.57e+08,-5e+06,-5e+06,2.52e+08,1e+06,2.53e+08,2.53e+08,1.546e+09,1.51e+09,3.6e+07,1.016e+09,1.016e+09,7.71e+08,3.54e+08,2.43e+08,3.687e+09,3.618e+09,2.405e+09,1.31e+08,7.56e+08,2.96e+08,8.57e+08,3.65e+08,6.023e+09,9.71e+09,9.31e+08,8.16e+08,1.15e+08,7.65e+08,4.93e+08,4.83e+08,2.189e+09,2.639e+09,1.747e+09,1.077e+09,2.25e+08,4.45e+08,4.386e+09,6.575e+09,8.3e+07,-5.62e+08,3.613e+09,-1.9e+08,2.944e+09,1.91e+08,3.135e+09,9.71e+09,2.52e+08,7.5e+07,-5.4e+07,1e+08,6e+06,3.79e+08,-1.91e+08,0,-3e+06,-1.94e+08,-3.9e+07,3.87e+08,-9.7e+07,-9.8e+07,3.6e+07,2.87e+08,4.72e+08,4.72e+08,-2.6e+07,4.46e+08,3.86e+08,3.404e+09,3.85e+08,0.24647,0.17581,0.14302,0.0807,0.02606,1.52174,1.68433,2.09729,0.35057,1.63831,1.63042,11.45521,19.06396,2.49308,0.25255,8,0.03524,0.04646,0.15415,4.81347,5.97428
"20","2015_Q1",47.8383606557377,"Down",1.559e+09,-1.165e+09,3.94e+08,-4.45e+08,-4.17e+08,-1.8e+07,-4e+06,-6e+06,-5.1e+07,4.8e+07,-3.1e+07,2.9e+07,5.3e+07,-3e+06,-2999999.99999994,-2.8e+07,-3.1e+07,-5.2e+07,-8.3e+07,-2e+06,-2e+06,-8.5e+07,1e+06,-8.4e+07,-8.4e+07,8.12e+08,7.8e+08,3.2e+07,8.01e+08,8.01e+08,7.82e+08,3.03e+08,2.74e+08,2.698e+09,3.733e+09,2.365e+09,1.32e+08,7.49e+08,2.53e+08,8.76e+08,3.55e+08,6.098e+09,8.796e+09,7.62e+08,7.57e+08,5e+06,1.37e+08,4.39e+08,4.32e+08,1.338e+09,2.586e+09,1.794e+09,1.211e+09,1.41e+08,4.42e+08,4.38e+09,5.718e+09,1.03e+08,-6.11e+08,3.491e+09,-1.65e+08,2.818e+09,2.6e+08,3.078e+09,8.796e+09,-8.5e+07,7.2e+07,2.21e+08,-3.2e+07,-1e+07,1.66e+08,-2.14e+08,-1e+07,-4e+06,-2.28e+08,-3.8e+07,-6.34e+08,-4.8e+07,-4.9e+07,6.8e+07,-6.52e+08,-7.14e+08,-7.14e+08,-1.6e+07,-7.3e+08,2.1e+07,2.723e+09,-1.73e+08,0.25273,-0.03271,-0.05388,-0.02729,-0.00955,2.05952,2.01644,1.8577,0.30957,-0.5477,-0.53631,10.16507,18.37406,-1.128,0.24777,5,-0.00606,-0.02278,-0.45238,91,-37.47059
"21","2015_Q2",56.5493650793651,"Up",1.45e+09,-1.069e+09,3.81e+08,-1.26e+08,-9.8e+07,-2e+07,-3e+06,-5e+06,2.55e+08,4.9e+07,-2.7e+07,2.8e+07,4.8e+07,0,3.04e+08,2e+06,3.06e+08,-7.2e+07,2.34e+08,0,0,2.34e+08,2e+06,2.36e+08,2.36e+08,8.8e+08,8.51e+08,2.9e+07,8.04e+08,8.04e+08,7.44e+08,2.68e+08,2.53e+08,2.696e+09,3.685e+09,2.245e+09,1.23e+08,7e+08,2.75e+08,8.04e+08,3.43e+08,5.93e+09,8.626e+09,7.19e+08,6.64e+08,5.5e+07,1.28e+08,3.48e+08,3.42e+08,1.195e+09,2.536e+09,1.696e+09,1.144e+09,1.3e+08,4.22e+08,4.232e+09,5.427e+09,1.05e+08,-6.11e+08,3.689e+09,-3.22e+08,2.861e+09,3.38e+08,3.199e+09,8.626e+09,2.34e+08,6.8e+07,1.9e+07,-5e+07,-1e+06,2.7e+08,-1.62e+08,0,-1.1e+07,-1.73e+08,-3.8e+07,-1.5e+07,0,0,7e+07,1.7e+07,1.14e+08,1.14e+08,-4.3e+07,7.1e+07,3.23e+08,2.664e+09,1.83e+08,0.26276,0.17586,0.16276,0.07377,0.02736,0.77542,2.25607,1.69647,0.30883,1.5403,1.53345,9.46373,18.67292,1.19439,0.24802,8,0.03625,0.02421,0.16102,5.52322,6.99608
"22","2015_Q3",54.12359375,"Down",1.477e+09,-1.102e+09,3.75e+08,-1.78e+08,-1.06e+08,-5.9e+07,-3e+06,-1e+07,1.97e+08,3.9e+07,-2.9e+07,2.6e+07,4e+07,2e+06,2.36e+08,-9e+06,2.27e+08,-2.4e+07,2.03e+08,-2e+06,-2e+06,2.01e+08,4e+06,2.05e+08,2.05e+08,1.017e+09,9.88e+08,2.9e+07,8.73e+08,8.73e+08,7.62e+08,2.71e+08,2.56e+08,2.923e+09,3.771e+09,2.294e+09,1.25e+08,7.16e+08,2.6e+08,8.21e+08,3.72e+08,6.065e+09,8.988e+09,8.41e+08,7.36e+08,1.05e+08,1.23e+08,3.04e+08,2.98e+08,1.268e+09,2.552e+09,1.683e+09,1.13e+09,1.27e+08,4.26e+08,4.235e+09,5.503e+09,1.2e+08,-6.11e+08,3.848e+09,-2.81e+08,3.076e+09,4.09e+08,3.485e+09,8.988e+09,2.01e+08,1.07e+08,-7999999.99999997,-2.2e+07,5e+06,2.83e+08,-1.65e+08,-3e+06,-1.3e+07,-1.81e+08,-4.6e+07,-1.2e+07,2000000.00000001,-1.49011611938477e-08,7.4e+07,17999999.9999999,1.2e+08,1.2e+08,1.7e+07,1.37e+08,3.04e+08,2.675e+09,1.41e+08,0.25389,0.13338,0.13879,0.05882,0.02281,0.6878,2.30521,1.57905,0.29762,1.33568,1.33125,9.62339,20.04168,0.91869,0.29971,7,0.032,0.01798,0.22439,5.45394999999998,8.41624000000001
"23","2015_Q4",58.241875,"Up",1.413e+09,-1.11e+09,3.03e+08,-1.19e+08,-9.3e+07,-1.9e+07,-3e+06,-4e+06,1.84e+08,3.9e+07,-2.9e+07,2.6e+07,5e+07,-8e+06,2.23e+08,2e+06,2.25e+08,-7.4e+07,1.51e+08,0,0,1.51e+08,1e+07,1.61e+08,1.61e+08,9.82e+08,9.52e+08,3e+07,7.93e+08,7.93e+08,7.38e+08,2.83e+08,2.68e+08,2.796e+09,3.778e+09,2.334e+09,1.22e+08,7.16e+08,2.78e+08,8.68e+08,3.5e+08,6.112e+09,8.908e+09,7.15e+08,6.08e+08,1.07e+08,4.63e+08,3.38e+08,3.31e+08,1.516e+09,2.541e+09,1.654e+09,1.103e+09,1.22e+08,4.29e+08,4.195e+09,5.711e+09,1.27e+08,-1.031e+09,3.962e+09,-2.92e+08,2.766e+09,4.31e+08,3.197e+09,8.908e+09,1.51e+08,8.2e+07,-6.7e+07,8e+06,-1e+06,1.73e+08,-1.04e+08,0,-3e+06,-1.07e+08,-4.7e+07,3.35e+08,-4.2e+08,-4.2e+08,3.3e+07,-9.9e+07,-3.3e+07,-3.3e+07,-3e+06,-3.6e+07,2.66e+08,3.004e+09,2.44e+08,0.21444,0.13022,0.11394,0.05036,0.01807,1.51553,1.84433,1.78636,0.33722,1.07477,1.0662,9.43257,18.46462,1.62884,0.31375,5,0.02648,0.03106,0.29193,7.6015,10.98913
"24","2016_Q1",53.4027868852459,"Down",1.334e+09,-1.075e+09,2.59e+08,-5.64e+08,-2.09e+08,-2.1e+07,-2e+06,-3.32e+08,-3.05e+08,3.5e+07,-3.3e+07,2.7e+07,4.3e+07,-2e+06,-2.7e+08,-1.86264514923096e-09,-2.7e+08,-3.1e+07,-3.01e+08,0,0,-3.01e+08,3e+06,-2.98e+08,-2.98e+08,9.97e+08,9.67e+08,3e+07,7.06e+08,7.06e+08,6.82e+08,4.02e+08,3.34e+08,2.787e+09,3.609e+09,2.19e+09,1.25e+08,7.05e+08,2.22e+08,8.38e+08,3e+08,5.799e+09,8.586e+09,6.77e+08,5.87e+08,9e+07,5.13e+08,3.6e+08,3.3e+08,1.55e+09,2.468e+09,1.739e+09,1.189e+09,1.36e+08,4.14e+08,4.207e+09,5.757e+09,1.36e+08,-1.031e+09,3.621e+09,-3.48e+08,2.378e+09,4.51e+08,2.829e+09,8.586e+09,-3.01e+08,1.06e+08,2.83e+08,5.3e+07,-5e+06,1.36e+08,-8.5e+07,-3e+06,-9e+06,-9.7e+07,-4.3e+07,15000000.0000001,1e+06,0,2.5e+07,-2e+06,3.7e+07,3.7e+07,-2.2e+07,1.5e+07,-1.99e+08,2.981e+09,-2e+08,0.19415,-0.22864,-0.22339,-0.10534,-0.03471,0.67114,1.79806,2.03499,0.34719,-2.02921,-1.98329,9.08376,16.19279,-1.36188,0.2928,4,-0.03378,-0.02649,-0.1443,-9.96985,-6.50492
"25","2016_Q2",60.1790625,"Up",1.404e+09,-1.014e+09,3.9e+08,-1.06e+08,-8e+07,-1.9e+07,-2e+06,-5e+06,2.84e+08,3.3e+07,-3.2e+07,2.7e+07,3.8e+07,0,3.17e+08,1e+06,3.18e+08,-6e+07,2.58e+08,1e+06,1e+06,2.59e+08,-2e+06,2.57e+08,2.57e+08,7.47e+08,7.16e+08,3.1e+07,8.3e+08,8.3e+08,6.67e+08,2.59e+08,2.59e+08,2.503e+09,3.64e+09,2.249e+09,1.25e+08,7.22e+08,2.36e+08,8.7e+08,2.96e+08,5.889e+09,8.392e+09,6.99e+08,5.74e+08,1.25e+08,1.16e+08,2.8e+08,2.8e+08,1.095e+09,2.487e+09,1.712e+09,1.176e+09,1.16e+08,4.2e+08,4.199e+09,5.294e+09,1.25e+08,-1.031e+09,3.834e+09,-2.83e+08,2.645e+09,4.53e+08,3.098e+09,8.392e+09,2.59e+08,7.4e+07,-1.6e+07,-2.9e+07,-1e+06,2.87e+08,-7e+07,0,-5e+06,-7.5e+07,-4.4e+07,-4.06e+08,1e+06,0,-2.4e+07,-4.73e+08,-2.61e+08,-2.61e+08,1e+07,-2.51e+08,3.58e+08,2.603e+09,3.19e+08,0.27778,0.20228,0.18305,0.08296,0.03062,1.24125,2.28584,1.70884,0.31018,1.7434,1.73495,9.52425,17.94276,2.16398,0.29848,8,0.0406,0.04303,0.17121,5.18436,6.53521
"26","2016_Q3",56.918125,"Down",1.351e+09,-1.013e+09,3.38e+08,-9.6e+07,-7.1e+07,-1.9e+07,-2e+06,-3999999.99999994,2.42e+08,3.2e+07,-3e+07,2.9e+07,3.5e+07,-2e+06,2.74e+08,1e+06,2.75e+08,-5.2e+07,2.23e+08,0,0,2.23e+08,-2e+06,2.21e+08,2.21e+08,7.7e+08,7.35e+08,3.5e+07,7.92e+08,7.92e+08,6.36e+08,2.58e+08,2.58e+08,2.456e+09,3.588e+09,2.204e+09,1.21e+08,7.11e+08,2.37e+08,8.42e+08,2.93e+08,5.792e+09,8.248e+09,6.67e+08,5.51e+08,1.16e+08,1.19e+08,3.01e+08,3.01e+08,1.087e+09,2.464e+09,1.646e+09,1.147e+09,1.16e+08,3.83e+08,4.11e+09,5.197e+09,1.33e+08,-1.231e+09,4.001e+09,-3.01e+08,2.602e+09,4.49e+08,3.051e+09,8.248e+09,2.23e+08,7.5e+07,24999999.9999999,2.9e+07,-3e+06,3.49e+08,-5.6e+07,-1.86264514923096e-09,-7e+06,-6.3e+07,-5.4e+07,-1000000.00000006,-1.98e+08,-2e+08,-6e+06,-2.59e+08,2.7e+07,2.7e+07,-8000000.00000001,1.9e+07,3.17e+08,2.583e+09,3.42e+08,0.25019,0.17913,0.16358,0.07244,0.02679,1.54751,2.25943,1.70338,0.31317,1.50871,1.50273,9.22294,17.7632,2.33475,0.36864,5,0.03777,0.04698,0.24434,5.71924,7.49174
"27","2016_Q4",65.7660317460317,"Up",1.323e+09,-9.68e+08,3.55e+08,-1.07e+08,-8.1e+07,-2e+07,-3e+06,-3e+06,2.48e+08,3.9e+07,-2.8e+07,2.6e+07,4.1e+07,0,2.87e+08,-6e+06,2.81e+08,-1.5e+07,2.66e+08,-3e+06,-3e+06,2.63e+08,-1e+06,2.62e+08,2.62e+08,1.286e+09,1.252e+09,3.4e+07,7.91e+08,7.91e+08,6.52e+08,2.49e+08,2.49e+08,2.978e+09,3.578e+09,2.201e+09,1.19e+08,7.12e+08,2.16e+08,8.64e+08,2.9e+08,5.779e+09,8.757e+09,7.07e+08,5.91e+08,1.16e+08,9.2e+07,2.99e+08,2.99e+08,1.098e+09,2.923e+09,1.585e+09,1.124e+09,1.39e+08,3.22e+08,4.508e+09,5.606e+09,1.4e+08,-1.331e+09,4.211e+09,-3.1e+08,2.71e+09,4.41e+08,3.151e+09,8.757e+09,2.63e+08,7.4e+07,-1e+07,-2.7e+07,4e+06,3.04e+08,-5.2e+07,0,-2e+06,-5.4e+07,-5.2e+07,4.37e+08,-1e+08,-1e+08,-2e+07,2.65e+08,5.15e+08,5.15e+08,2e+06,5.17e+08,3.22e+08,3.015e+09,2.58e+08,0.26833,0.18745,0.19803,0.08315,0.02992,0.98473,2.7122,1.77912,0.3443,1.81938,1.81188,9.18717,18.81878,1.7916,0.3611,7,0.04051,0.03329,0.19847,5.36957,6.97177
