"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",8.551875,"Up",-2768000,-1225000,-1543000,-2768000,15000,15000,-2753000,-2753000,-2753000,-2753000,-2753000,-2753000,24167000,24167000,260000,260000,24427000,41000,520000,24947000,1782000,528000,1254000,1782000,0,0,0,1782000,116247000,-93082000,23165000,23165000,24947000,-2753000,14000,186000,-78000,-2631000,-23999.9999999999,-2710000,-2710000,-2710000,-2754000,0,-0.11884,-0.11035,13.70763,0.07693,0,-0.18515,-0.18515,1.55795,-0.11884,8.77524,8.73085
"12","2014_Q1",9.01950819672131,"Up",-3232000,-1581000,-1651000,-3232000,17000,17000,-3215000,-3215000,-3215000,-3215000,-3215000,-3215000,35573000,35573000,456000,456000,36029000,48000,518000,36547000,1675000,537000,1138000,1675000,0,0,0,1675000,131169000,-96297000,34872000,34872000,36547000,-3215000,12000,740000,-303000,-2766000,-10000,11406000,11406000,11406000,-3220000,0,-0.09219,-0.08797,21.50985,0.04803,0,-0.19115,-0.19115,2.07331,-0.09219,11.04752,11.0065
"13","2014_Q2",7.32190476190476,"Down",-4913000,-1811000,-3102000,-4913000,18000,18000,-4895000,-4895000,-4894000,-4894000,-4894000,-4894000,31504000,31504000,602000,602000,32106000,50000,511000,32617000,1465000,557000,908000,1465000,0,5.42101086242752e-20,0,1465000,132345000,-101193000,31152000,31152000,32617000,-4896000,13000,1176000,-356000,-4063000,-5999.99999999907,-4069000,-4069000,-4069000,-4900000,0,-0.1571,-0.15004,21.91536,0.04703,0,-0.28592,-0.28592,1.81999,-0.1571,6.42939,6.41238
"14","2014_Q3",6.789375,"Down",-6349000,-1949000,-4400000,-6349000,25000,25000,-6324000,-6324000,-6324000,-6324000,-6324000,-6324000,59763000,39762000,893000,893000,60656000,46000,499000,61155000,2428000,809000,1619000,2428000,0,0,0,2428000,166244000,-107517000,58727000,58727000,61155000,-6324000,11000,1174000,672000,-4467000,-2e+07,8258000,8258000,8258000,-6338000,0,-0.10768,-0.10341,24.98188,0.04134,0,-0.31514,-0.31514,2.92651,-0.10768,9.42932,9.41298
"15","2014_Q4",6.58203125,"Down",-7407000,-1991000,-5416000,-7407000,19000,19000,-7388000,-7388000,-7389000,-7389000,-7389000,-7389000,54677000,19670000,861000,861000,55538000,61000,505000,56043000,3518000,7e+05,2818000,3518000,-4.44089209850063e-16,1.73472347597681e-18,-4.44089209850063e-16,3518000,167429000,-114904000,52525000,52525000,56043000,-7387000,10000,1184000,1122000,-5071000,-15022000,-20092000,-20092000,-20092000,-7397000,0,-0.14068,-0.13185,15.78681,0.06698,0,-0.34431,-0.34431,2.44757,-0.14068,7.39178,7.3818
"16","2015_Q1",4.4755737704918,"Down",-8559000,-2146000,-6413000,-8559000,19000,19000,-8540000,-8540000,-8539000,-8539000,-8539000,-8539000,48793000,13777000,497000,497000,49290000,83000,518000,49808000,4616000,1708000,2908000,4616000,0,0,0,4616000,168637000,-123445000,45192000,45192000,49808000,-8541000,16000,1213000,1462000,-5850000,-38000,-5893000,-5893000,-5893000,-8543000,0,-0.18895,-0.17144,10.67808,0.10214,0,-0.39529,-0.39529,2.09206,-0.18895,5.71146,5.70078
"17","2015_Q2",1.94698412698413,"Down",-9005000,-2439000,-6566000,-9005000,12000,12000,-8993000,-8993000,-8993000,-8993000,-8993000,-8993000,42062000,17041000,353000,353000,42415000,75000,502000,42917000,5308000,1111000,4197000,5308000,-7.105427357601e-15,-1.38777878078145e-17,-7.105427357601e-15,5308000,170047000,-132438000,37609000,37609000,42917000,-8993000,16000,1410000,836000,-6731000,9995000,3264000,3264000,3264000,-8989000,0,-0.23912,-0.20954,7.99077,0.14114,0,-0.41534,-0.41534,1.73696,-0.23912,4.67927,4.67096
"18","2015_Q3",1.71390625,"Down",-9118000,-2415000,-6703000,-9118000,10000,10000,-9108000,-9108000,-9107000,-9107000,-9107000,-9107000,78708000,23657000,533000,533000,79241000,79000,497000,79738000,6882000,2152000,4730000,6882000,0,0,0,6882000,214403000,-141547000,72856000,72856000,79738000,-9109000,15000,1252000,1394000,-6448000,-30040000,6616000,6616000,6616000,-9103000,0,-0.125,-0.11421,11.51424,0.09446,0,-0.38614,-0.38614,3.08913,-0.125,8.64638,8.63216
"19","2015_Q4",1.7153125,"Up",-8960000,-2185000,-6775000,-8960000,30000,30000,-8930000,-8930000,-8930000,-8930000,-8930000,-8930000,70520000,20465000,592000,592000,71112000,77000,486000,71598000,6638000,2711000,3927000,6638000,-1.13686837721616e-13,-2.22044604925031e-16,-1.13686837721616e-13,6638000,215437000,-150477000,64960000,64960000,71598000,-8930000,17000,1068000,-303000,-8148000,4990000,-3192000,-3192000,-3192000,-8943000,0,-0.13747,-0.12472,10.71287,0.10219,0,-0.26806,-0.26806,1.94996,-0.13747,7.8855,7.87054
"20","2016_Q1",1.24688524590164,"Down",-5688000,-1909000,-3779000,-5688000,26000,26000,-5662000,-5662000,-5662000,-5662000,-5662000,-5662000,63779000,18722000,502000,502000,64281000,68000,469000,64750000,4959000,863000,4096000,4959000,0,0,0,4959000,215930000,-156139000,59791000,59791000,64750000,-5662000,16000,493000,-1589000,-6742000,4999000,-1743000,-1743000,-1743000,-5672000,0,-0.0947,-0.08744,12.96249,0.08294,0,-0.16524,-0.16524,1.74492,-0.0947,11.24453,11.2129
"21","2016_Q2",1.4015625,"Up",-4646000,-1830000,-2816000,-4646000,27000,27000,-4619000,-4619000,-4618000,-4618000,-4618000,-4618000,58018000,17876000,596000,596000,58614000,62000,454000,59068000,3127000,253000,2874000,3127000,9.09494701772928e-13,3.5527136788005e-15,9.09494701772928e-13,3127000,216700000,-160759000,55941000,55941000,59068000,-4620000,15000,770000,-1926000,-5761000,4915000,-846000,-846000,-846000,-4631000,0,-0.08255,-0.07818,18.74448,0.0559,0,-0.1345,-0.1345,1.62931,-0.08255,12.52818,12.48773
"22","2016_Q3",1.68203125,"Up",-5127000,-1945000,-3182000,-5127000,26000,26000,-5101000,-5101000,-5101000,-5101000,-5101000,-5101000,53790000,13674000,787000,787000,54577000,56000,439000,55016000,3378000,448000,2930000,3378000,0,0,0,3378000,217498000,-165860000,51638000,51638000,55016000,-5101000,15000,798000,60000,-4228000,26000,-4202000,-4202000,-4202000,-5112000,0,-0.09878,-0.09272,16.1566,0.06542,0,-0.14819,-0.14819,1.50012,-0.09878,10.5223,10.49152
"23","2016_Q4",1.57190476190476,"Down",-5410000,-1990000,-3420000,-5410000,39000,39000,-5371000,-5371000,-5371000,-5371000,-5371000,-5371000,49402000,14291000,1102000,1102000,50504000,53000,427000,50931000,4025000,466000,3559000,4025000,0,5.6843418860808e-14,0,4025000,218137000,-171231000,46906000,46906000,50931000,-5371000,15000,639000,332000,-4385000,5002000,617000,617000,617000,-5395000,0,-0.11451,-0.10546,12.54758,0.08581,0,-0.15603,-0.15603,1.36266,-0.11451,9.157,9.13161
"24","2017_Q1",1.60596774193548,"Up",-5821000,-1836000,-3985000,-5821000,51000,51000,-5770000,-5770000,-5770000,-5770000,-5770000,-5770000,45918000,10837000,831000,831000,46749000,49000,415000,47164000,5512000,1079000,4433000,5512000,0,0,0,5512000,218653000,-177001000,41652000,41652000,47164000,-5770000,13000,516000,1758000,-3483000,29000,-3454000,-3454000,-3454000,-5808000,0,-0.13853,-0.12234,8.48131,0.13233,0,-0.16763,-0.16763,1.21008,-0.13853,7.90599,7.88834
"25","2017_Q2",1.80809523809524,"Up",-4326000,-2680000,-1646000,-4324000,55000,55000,-4269000,-4269000,-4268000,-4268000,-4268000,-4268000,58901000,13789000,1741000,1741000,60642000,46000,403000,61045000,3177000,749000,2428000,17220000,1494000,-4.54747350886464e-13,1494000,18714000,223602000,-181271000,42331000,42331000,61045000,-4270000,14000,737000,12292000,8773000,-10033000,2952000,2952000,2952000,-4310000,0,-0.10082,-0.06992,3.5216,0.44209,0,-0.11939,-0.11939,1.18418,-0.09739,13.66613,13.62188
"26","2017_Q3",2.77206349206349,"Up",-3612000,-1970000,-1642000,11816000,69000,69000,11885000,11885000,11885000,11885000,11885000,11885000,55154000,15050000,2668000,2668000,57822000,40000,388000,58210000,3320000,382000,2938000,3320000,0,0,0,3320000,224276000,-169386000,54890000,54890000,58210000,11885000,15000,674000,-16321000,-3747000,5008000,1261000,1261000,1261000,11831000,0,0.21652,0.20417,17.41627,0.06048,0,0.31972,0.31902,1.47662,0.21652,-4.66182,-4.66774
"27","2017_Q4",2.35142857142857,"Down",-4028000,-2152000,-1876000,-670000,68000,68000,-602000,-602000,-602000,-602000,-602000,-602000,56760000,11644000,2756000,2756000,59516000,35000,375000,59891000,3953000,242000,3711000,4989000,2.3283064365387e-10,-7.27595761418343e-12,2.3283064365387e-10,4989000,224890000,-169988000,54902000,54902000,59891000,-602000,13000,614000,1581000,1606000,-5012000,-3406000,-3406000,-3406000,-657000,0,-0.01096,-0.0100500000000001,11.92944,0.0908700000000001,0,-0.0162,-0.01615,1.47737,-0.0109600000000001,86.39269,84.71642
"28","2018_Q1",2.17754098360656,"Down",-3899000,-1826000,-2073000,-4438000,95000,95000,-4343000,-4343000,-4343000,-4343000,-4343000,-4343000,53565000,8458000,1758000,1758000,55323000,50000,381000,55704000,3870000,585000,3285000,4866000,0,0,0,4866000,225169000,-174331000,50838000,50838000,55704000,-4343000,43000,279000,874999.999999996,-3146000,-40000,-3186000,-3186000,-3186000,-4395000,0,-0.08543,-0.07797,11.3693,0.09572,0,-0.11684,-0.11591,1.36771,-0.08543,12.18771,12.06963
"29","2018_Q2",3.06546875,"Up",-8552000,-2488000,-6064000,-8887000,1e+05,1e+05,-8787000,-8787000,-8786000,-8786000,-8786000,-8786000,47023000,6958000,641000,641000,47664000,45000,367000,48031000,3518000,751000,2767000,4465000,-1.16415321826935e-10,-1.16415321826935e-10,-1.16415321826935e-10,4465000,226685000,-183119000,43566000,43566000,48031000,-8788000,14000,996000,1216000,-6562000,5042000,-1500000,-1500000,-1500000,-8873000,0,-0.20167,-0.18292,10.67503,0.10249,0,-0.2359,-0.2359,1.16971,-0.20167,5.29956,5.29121
"30","2018_Q3",4.09142857142857,"Up",-5802000,-2358000,-3444000,-6172000,93000,93000,-6079000,-6079000,-6079000,-6079000,-6079000,-6079000,42441000,7339000,772000,772000,43213000,40000,354000,43567000,4319000,1089000,3230000,5209000,0,0,0,5209000,227556000,-189198000,38358000,38358000,43567000,-6079000,13000,702000,613000,-4751000,4963000,381000,381000,381000,-6159000,0,-0.15848,-0.13953,8.29583,0.1358,0,-0.16196,-0.16196,1.02193,-0.15848,6.89089,6.87638
"31","2018_Q4",3.08269841269841,"Down",-5557000,-2486000,-3071000,-6054000,106000,106000,-5948000,-5948000,-5948000,-5948000,-5948000,-5948000,36202000,6198000,854000,854000,37056000,36000,341000,37397000,3641000,1259000,2382000,4484000,-1.86264514923096e-09,-1.86264514923096e-09,-1.86264514923096e-09,4484000,228059000,-195146000,32913000,32913000,37397000,-5948000,13000,770000,-1074000,-6239000,5098000,-1141000,-1141000,-1141000,-6041000,0,-0.18072,-0.15905,8.26405,0.13624,0,-0.15935,-0.15935,0.88175,-0.18072,5.99272,5.97985
"32","2019_Q1",2.8644262295082,"Down",-6914000,-2455000,-4459000,-7473000,292000,292000,-7181000,-19253000,-19253000,-19253000,-19253000,-19253000,102743000,13309000,1586000,1586000,104329000,32000,328000,104657000,7097000,3643000,3454000,7885000,46313000,46313000,46313000,54198000,264858000,-214399000,50459000,50459000,104657000,-19253000,13000,10454000,2669000,-6117000,-59430000,7111000,7111000,7111000,-7460000,0,-0.38156,-0.18396,13.23133,1.0741,0,-0.35908,-0.35908,0.9411,-0.19895,13.77252,13.74856
"33","2019_Q2",2.93365079365079,"Up",-9532000,-3401000,-6131000,-10033000,454000,454000,-9579000,-14541000,-14540000,-14540000,-14540000,-14540000,90764000,6118000,3671000,3671000,94435000,28000,315000,94750000,4044000,1555000,2489000,4784000,50207000,50207000,50207000,54991000,268700000,-228941000,39759000,39759000,94750000,-14542000,13000,6899000,-5186000,-12816000,4788000,-7191000,-7191000,-7191000,-10020000,0,-0.3657,-0.15346,19.73976,1.38311,0,-0.20512,-0.20512,0.56089,-0.16162,9.05828,9.04655
"34","2019_Q3",1.82171875,"Down",-12887000,-3821000,-9066000,-11848000,436000,436000,-11412000,12025000,12025000,12025000,12025000,12025000,93415000,8748000,2418000,2418000,95833000,193000,472000,96305000,6924000,2158000,4766000,10904000,31931000,26770000,31931000,42835000,270387000,-216917000,53470000,53470000,96305000,12025000,15000,-21774000,12533000,2799000,-193000,2630000,2630000,2630000,-11833000,0,0.22489,0.12486,8.78879,0.8011,0,0.16907,0.16261,0.75178,0.14081,7.89445,7.88445
"35","2019_Q4",1.85859375,"Up",-12702000,-3631000,-9071000,-12616000,462000,462000,-12154000,-17355000,-17355000,-17355000,-17355000,-17355000,82290000,7426000,3153000,3153000,85443000,213000,483000,85926000,7654000,1969000,5685000,11851000,36193000,31971000,36193000,48044000,272153000,-234271000,37882000,37882000,85926000,-17355000,24000,6715000,-726000,-11342000,9768000,-1322000,-1322000,-1322000,-12592000,0,-0.45813,-0.20198,7.20977,1.26825,0,-0.24376,-0.24376,0.53207,-0.23429,6.5351,6.52267
"36","2020_Q1",1.99967741935484,"Up",-11776000,-3744000,-8032000,-11748000,443000,443000,-11305000,3053000,3050999.99999999,3050999.99999999,3050999.99999999,3050999.99999999,74489000,9590000,7709000,2435000,82198000,204000,465000,82663000,9346000,4787000,4559000,14301000,20432000,17613000,20432000,34733000,279148000,-231218000,47930000,47930000,82663000,3053000,28000,-12910000,1765000,-8064000,9955000,2164000,2164000,2164000,-11720000,0,0.06366,0.03691,5.74771,0.72466,0,0.0427599999999999,0.04151,0.67177,0.04463,6.35572,6.34057
"37","2020_Q2",3.0315873015873,"Up",-13092000,-4130000,-8962000,-12623000,360000,374000,-12263000,-2994000,-2994000,-2994000,-2994000,-2994000,65916000,5984000,2135000,2135000,68051000,619000,872000,68923000,6393000,3098000,3295000,10068000,11575000,8344000,11575000,21643000,281492000,-234212000,47280000,47280000,68923000,-2994000,31000,-7156000,-3959000,-14078000,4967000,-3606000,-3606000,-3606000,-12592000,0,-0.0633199999999999,-0.04344,6.75914,0.45776,0,-0.04066,-0.04066,0.64215,-0.05087,5.23475,5.2219
"38","2020_Q3",3.01296875,"Down",-12476000,-4195000,-8281000,-12109000,331000,318000,-11778000,-20217000,-20217000,-20217000,-20217000,-20217000,103881000,8638000,2564000,2564000,106445000,416000,660000,107105000,6873000,3038000,3835000,9929000,19891000,16783000,19891000,29820000,331714000,-254429000,77285000,77285000,107105000,-20217000,29000,10210000,-503000,-10481000,-35316000,2654000,2654000,2654000,-12080000,0,-0.26159,-0.18876,10.72062,0.38584,0,-0.25729,-0.25729,0.98355,-0.20805,8.59942,8.57883
"39","2020_Q4",2.88453125,"Down",-12827000,-3864000,-8963000,-12443000,382000,382000,-12061000,-4329000,-4329000,-4329000,-4329000,-4329000,92798000,7438000,2604000,2604000,95402000,986000,1221000,96623000,7779000,2492000,5287000,10257000,11868000,9051000,11868000,22125000,333256000,-258758000,74498000,74498000,96623000,-4329000,30000,-6182000,186000,-10295000,9103000.00000001,-1200000,-1200000,-1200000,-12413000,0,-0.05811,-0.0448,9.30116,0.29699,0,-0.04092,-0.04092,0.70428,-0.05012,7.47587,7.45785
"40","2021_Q1",3.49540983606557,"Up",-12387000,-4528000,-7859000,11478000,322000,321000,11800000,-19632000,-19633000,-19633000,-19633000,-19633000,182630000,12331000,26014000,2736000,208644000,1084000,1084000,209728000,8527000,2437000,6090000,23304000,108206000,40483000,108206000,131510000,355452000,-277234000,78218000,78218000,209728000,-19633000,19000,33026000,55700000,69112000,-85048000,4893000,4893000,4893000,11497000,0,-0.251,-0.09361,8.95314,1.68133,0,-0.18463,-0.18463,0.73558,-0.10531,-15.88501,-15.91131
"41","2021_Q2",3.21095238095238,"Down",-18911000,-5915000,-12996000,-15586000,270000,275000,-15316000,-2092000,-2092000,-2092000,-2092000,-2092000,176135000,10956000,27795000,7375000,203930000,1659000,10079000,214009000,11912000,6375000,5537000,31486000,100195000,35331000,100195000,131681000,361654000,-279326000,82328000,82328000,214009000,-2092000,69000,-10013000,2925000,-9111000,4476000,-1375000,-1375000,-1375000,-15517000,0,-0.02541,-0.00978,6.47685,1.59947,0,-0.01861,-0.0182,0.73223,-0.01146,11.3511,11.30085
"42","2021_Q3",2.7525,"Down",-27874000,-5650000,-22224000,-12969000,664000,164000,-12305000,-5222000,-5222000,-5222000,-5222000,-5222000,180144000,9877000,13888000,13888000,194032000,1641000,9848000,203880000,16657000,5555000,11102000,37012000,93370000,28018000,93370000,130382000,364278000,-290780000,73498000,73498000,203880000,-5222000,74000,-4261000,13459000,4049999.99999999,-5144000,-1079000,-1079000,-1079000,-12895000,0,-0.07105,-0.02561,5.24241,1.77395,0,-0.04641,-0.04562,0.65317,-0.03129,13.97007,13.89035
"43","2021_Q4",2.7890625,"Up",-24099000,-6215000,-17884000,-16395000,45000,58000,-16350000,-25622000,-25622000,-25622000,-25622000,-25622000,164624000,9745000,11937000,11937000,176561000,1569000,9561000,186122000,13333000,5571000,7762000,33376000,107784000,37050000,107784000,141160000,367055000,-322093000,44962000,44962000,186122000,-25622000,72000,12132000,-2228000,-15646000,15388000,-132000,-132000,-132000,-16323000,0,-0.56986,-0.13766,5.29006,3.13954,0,-0.22764,-0.22764,0.39947,-0.16774,10.0854,10.04111
"44","2022_Q1",1.96322580645161,"Down",-22928000,-6634000,-16294000,-15474000,17000.0000000001,13000,-15457000,-8370000,-8378000,-8378000,-8378000,-8378000,153426000,8543000,11391000,3809000,164817000,1507000,9281000,174098000,14757000,6355000,8402000,20211000,104421000,29725000,104421000,124632000,369171000,-319705000,49466000,49466000,174098000,-8378000,70000,-5735000,2786000,-11257000,9988000,-1202000,-1202000,-1202000,-15404000,0,-0.16937,-0.04812,8.15482,2.51955,0,-0.07441,-0.07225,0.43933,-0.05444,9.96014,9.91508
"45","2022_Q2",0.544677419354839,"Down",-27862000,-7909000,-19953000,-20105000,8000,8000,-20097000,-17510000,-17510000,-17510000,-17510000,-17510000,145503000,15621000,11859000,3739000,167362000,1438000,8989000,176351000,14571000,8472000,6099000,30365000,114159000,26883000,114159000,144524000,371516000,-339689000,31827000,31827000,176351000,-17510000,77000,-48000,9760000,-7721000,14993000,7078000,7078000,7078000,-20028000,0,-0.55016,-0.09929,5.51167,4.54092,0,-0.1554,-0.15371,0.28246,-0.11994,7.26498,7.23715
"46","2022_Q3",0.51609375,"Down",-29457000,-7926000,-21531000,-17625000,11000,11000,-17614000,-12156000,-12156000,-12156000,-12156000,-12156000,185751000,12551000,14974000,4823000,200725000,1414000,8739000,209464000,16021000,6256000,9765000,30523000,101691000,21164000,101691000,132214000,422705000,-345455000,77250000,77250000,209464000,-12156000,75000,-2686000,6201000,-8566000,-43369000,-3070000,-3070000,-3070000,-17550000,0,-0.15736,-0.05803,6.57619,1.71151,0,-0.10788,-0.10671,0.68559,-0.06793,10.5841,10.53906
