"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",112.624426229508,"Up",204302000,-96288000,108014000,-152001000,-100370000,-59035000,-41335000,-51631000,-43987000,-2751000,-2751000,-46738000,-46738000,-420000,-47158000,-47158000,-47158000,-47158000,748343000,487215000,97712000,97712000,26893000,26893000,872948000,63534000,92228000,27558000,38165000,26505000,155762000,1028710000,114838000,18495000,96343000,22972000,22972000,137810000,18169000,18169000,452665000,590475000,808627000,-371674000,438235000,438235000,1028710000,-47158000,7849000,44640000,-10181000,-4850000,-1681000,-912000,-4270000,8983000,12827000,12827000,-998000,11829000,15962000,15962000,16020000,-36138000,434496000,-47580000,0.5287,-0.2153,-0.23082,-0.10761,-0.04584,1.00895,6.33443,1.34739,0.42237,-0.47422,-0.47422,2.05446,4.40689,-0.47846,-0.05293,-0.05341,8.68468,7.13499
"12","2019_Q2",133.153174603175,"Up",233139000,-107089000,126050000,-213638000,-135783000,-71607000,-64176000,-77855000,-87588000,-636000,-636000,-88224000,-88224000,51721000,-36503000,-36503000,-36503000,-36503000,918897000,377730000,105149000,105149000,39081000,39081000,1063127000,105158000,2951788000,503947000,2277220000,170621000,3056946000,4120073000,129713000,22418000,107295000,50539000,50539000,182339000,167111000,167111000,610221000,792560000,3733367000,-408177000,3327513000,3327513000,4120073000,-36503000,21248000,16942000,-10800000,-9113000,-2653000,156783000,-5351000,-130201000,15328000,15328000,-1062000.00000003,12811000,-126503000,-126503000,-126503000,-66340000,445197000,-131514000,0.54066,-0.37569,-0.15657,-0.01097,-0.00886,3.60283,5.8305,0.23818,0.10806,-0.31309,-0.31309,1.99964,28.54017,-1.128,-0.00927000000000001,-0.03338,7.14049,5.40828
"13","2019_Q3",129.66546875,"Down",275039000,-125024000,150015000,-243747000,-144964000,-90421000,-54543000,-98783000,-93732000,-880000,-880000,-94612000,-94612000,2033000,-92579000,-92579000,-92579000,-92579000,1882282000,535911000,126780000,126780000,50451000,50451000,2059513000,106480000,2943112000,485410000,2283578000,174124000,3049592000,5109105000,146986000,29361000,117625000,52676000,52676000,201781000,162050000,162050000,610464000,812245000,4794313000,-500756000,4296860000,4296860000,5109105000,-92579000,28362000,80420000,-20909000,-4706000,-5229000,-9826000,-5169000,-831663000,18181000,18181000,978135000,994311000,157942000,157942000,157942000,-65370000,450533000,-93541000,0.54543,-0.3408,-0.3366,-0.02155,-0.01812,1.01039,10.20667,0.18903,0.08818,-0.71555,-0.71555,2.12581,33.21093,-0.72299,-0.01886,-0.01905,21.90223,15.27492
"14","2019_Q4",102.12546875,"Down",295066000,-136904000,158162000,-252828000,-148347000,-100657000,-47690000,-104481000,-94666000,4377000,4377000,-90289000,-90289000,2555000.00000001,-87734000,-87734000,-87734000,-87734000,1881776000,330601000,131193000,131193000,55455000,55455000,2068424000,118481000,2923263000,465255000,2283387000,174621000,3041744000,5110168000,161493000,25949000,135544000,54735000,54735000,216228000,157270000,157270000,609454000,825682000,4868398000,-588490000,4284486000,4284486000,5110168000,-87734000,29685000,78210000,-4318000,15843000,-11112000,0,-6289000,-220847000,6845000,6845000,-2071000,-1093000.00000024,-206097000,-206097000,-206097000,-64981000,452184000,-82966000,0.53602,-0.32083,-0.29734,-0.02048,-0.01717,0.94565,9.56594,0.19271,0.08849,-0.64251,-0.64251,2.16089,31.37711,-0.6076,-0.01793,-0.01695,22.00015,15.10143
"15","2020_Q1",109.795322580645,"Up",331224000,-156534000,174690000,-268489000,-158253000,-106394000,-51859000,-110236000,-93799000,4708000,4708000,-89091000,-89091000,-1156000,-90247000,-90247000,-90247000,-90247000,1852693000,253660000,154067000,154067000,54571000,54571000,2061331000,141256000,2947929000,460849000,2296784000,190296000,3089185000,5150516000,186780000,39099000,147681000,60442000,60442000,247222000,165693000,165693000,623883000,871105000,4953137000,-678812000,4279411000,4279411000,5150516000,-90247000,31135000,83065000,-11929000,12024000,-26374000,-24208000,-5113000,-103081000,17126000,17126000,-980414000,14116000,-76941000,-76941000,-76941000,-62664000,458190000,-99811000,0.52741,-0.28319,-0.27247,-0.02109,-0.01752,1.10598,8.33798,0.20356,0.08896,-0.65485,-0.65485,2.40344,31.05239,-0.72425,-0.01841,-0.02036,22.25365,14.86693
"16","2020_Q2",160.564126984127,"Up",364868000,-171333000,193535000,-286231000,-171892000,-116722000,-55170000,-114339000,-92696000,-1118000,-1118000,-93814000,-93814000,-977000,-94791000,-94791000,-94791000,-94791000,1843387000,345518000,172865000,172865000,61405000,61405000,2077657000,150944000,2937664000,445153000,2291637000,200874000,3088608000,5166265000,213843000,18450000,195393000,63194000,63194000,277037000,168336000,168336000,632703000,909740000,5034417000,-773603000,4256525000,4256525000,5166265000,-94791000,32239000,94287000,-16200000,15535000,-6319000,-2377000,-8626000,71645000,8231000,8231000,-1674000.00000024,4603000,91783000,91783000,91783000,-60457000,464367000,-81999000,0.53042,-0.25405,-0.2598,-0.02227,-0.01835,0.86505,7.49957,0.21373,0.08988,-0.68082,-0.68082,2.62058,30.57155,-0.58894,-0.01939,-0.01677,22.80993,14.8768
"17","2020_Q3",246.5409375,"Up",400849000,-191718000,209131000,-311775000,-191074000,-129823000,-61251000,-120701000,-102644000,3015000,3015000,-99629000,-99629000,-294000,-99923000,-99923000,-99923000,-99923000,1903319000,475700000,194563000,194563000,62800000,62800000,2160682000,161413000,2968474000,424739000,2291616000,252119000,3129887000,5290569000,224834000,27531000,197303000,71532000,71532000,296366000,202068000,202068000,672613000,968979000,5181510000,-873526000,4321590000,4321590000,5290569000,-99923000,32533000,104573000,-38807000,-1624000,-6478000,-348000,-9025000,73120000,61705000,61705000,-1144000,58686000,130182000,130182000,130182000,-70111000,470545000,-115102000,0.52172,-0.25607,-0.24928,-0.02312,-0.01889,1.15191,7.29059,0.22422,0.08894,-0.70471,-0.70471,2.827,30.47814,-0.81176,-0.02001,-0.02305,20.43579,13.95867
"18","2020_Q4",312.47765625,"Up",447969000,-217095000,230874000,-343144000,-206492000,-140875000,-65617000,-136652000,-112270000,-3996000,-3996000,-116266000,-116266000,-648000,-116914000,-116914000,-116914000,-116914000,3298704000,1127102000,203835000,203835000,66481000,66481000,3569020000,173279000,2981403000,404422000,2291616000,285365000,3154682000,6723702000,245702000,39880000,205822000,80645000,80645000,326347000,202390000,202390000,635087000,961434000,6742123000,-990440000,5762268000,5762268000,6723702000,-116914000,33298000,119243000,-31785000,3842000,-6455000,-60999.9999999851,-8463000,-765710000,9221000,9221000,-1842000,1413270000,651402000,651402000,651402000,-78972000,432697000,-116564000,0.51538,-0.25062,-0.26099,-0.02029,-0.01739,0.99701,10.93627,0.16685,0.06435,-0.79279,-0.79279,3.03767,39.07381,-0.79042,-0.01828,-0.01822,36.29143,25.52781
"19","2021_Q1",374.555409836066,"Up",548090000,-265969000,282121000,-467412000,-308556000,-179987000,-128569000,-158856000,-185291000,-9426000,-9426000,-194717000,-194717000,15366000,-179351000,-179351000,-179351000,-179351000,3039791000,933885000,251167000,251167000,81377000,81377000,3372335000,183239000,5931859000,966573000,4595394000,369892000,6115098000,9487433000,312937000,60042000,252895000,135369000,135369000,448306000,284394000,284394000,586462000,1034768000,9613410000,-1169791000,8452665000,8452665000,9487433000,-179351000,51590000,153257000,-10595000,14901000,-6553000,-330805000,-7214000,-224910000,25603000,25603000,-4118000,16752000,-193257000,-193257000,-193217000,-133701000,302068000,-166215000,0.51473,-0.33807,-0.32723,-0.02122,-0.0189,0.92676,7.5224,0.12242,0.03184,-1.13271,-1.13271,3.46151,53.38348,-1.04974,-0.01984,-0.01839,20.47646,14.77526
"20","2021_Q2",347.156349206349,"Down",589988000,-291684000,298304000,-495643000,-320843000,-210590000,-110253000,-174800000,-197339000,-8313000,-8313000,-205652000,-205652000,-890000,-206542000,-206542000,-206542000,-206542000,5707058000,2331774000,257854000,257854000,129063000,129063000,6093975000,195885000,5952321000,951884000,4635177000,365260000,6148206000,12242181000,360169000,66511000,293658000,139755000,139755000,499924000,277013000,277013000,1495061000,1994985000,11618869000,-1376333000,10247196000,10247196000,12242181000,-206542000,59592000,184190000,-32735000,4505000,-4986000,-66926000,-10434000,-1366021000,11564000,11564000,-3264000,2759449000,1397933000,1397933000,1397889000,-137747000,1218048000,-174578000,0.50561,-0.33448,-0.35008,-0.02016,-0.01687,0.84524,12.1898,0.19469,0.0995,-1.23559,-1.23559,3.52947,61.30155,-1.04437,-0.01759,-0.01487,32.5888,22.74771
"21","2021_Q3",364.14,"Up",668931000,-337684000,331247000,-533521000,-352241000,-238058000,-114183000,-181280000,-202274000,-24293000,-24293000,-226567000,-226567000,-1286000,-227853000,-227853000,-227853000,-227853000,5925185000,1799602000,301548000,301548000,146955000,146955000,6373688000,206354000,5953543000,913308000,4664185000,376050000,6159897000,12533585000,437802000,105998000,331804000,145483000,145483000,583285000,270969000,270969000,1256188000,1839473000,12297591000,-1604186000,10694112000,10694112000,12533585000,-227853000,59813000,205135000,-15378000,21717000,-7154000,-27252000,-11405000,-815468000,44050000,44050000,225264000,265407000,-528344000,-528344000,-528443000,-142461000,985219000,-163707000,0.49519,-0.30238,-0.34062,-0.02131,-0.01818,0.71848,10.92723,0.17201,0.07861,-1.36308,-1.36308,4.00173,63.97513,-0.97934,-0.01907,-0.0137,34.67592,24.42215
"22","2021_Q4",299.07203125,"Down",740176000,-375561000,364615000,-596960000,-387070000,-253759350.085429,-115683233.550715,-209890000,-232345000,-6613000,-6613000,-238958000,-238958000,14849000,-224109000,-224109000,-224109000,-224109000,5394252000,1497498000,345793000,345793000,165760000,165760000,5905805000,237241000,6833801000,1102599000,5263051000,468151000,7071042000,12976847000,444976000,76293000,368683000,172097000,172097000,617073000,292478000,292478000,1278025000,1895098000,12910449000,-1828295000,11081749000,11081749000,12976847000,-224109000,70264000,201401000,-93727000,-46171000,-21435000,-396702000,-14087000,-270247000,15993000,15993000,-604000,14444000,-301974000,-301974000,-301988000,-162081000,985547000,-292092000,0.49261,-0.31391,-0.30278,-0.02022,-0.01727,1.30335,9.57067,0.17101,0.07595,-1.29839,-1.29839,4.28826,64.20281,-1.69225,-0.01813,-0.02363,27.20063,18.97482
"23","2022_Q1",182.226290322581,"Down",842744000,-446197000,396547000,-680173000,-456924000,-265549477.327091,-110382584.986819,-223249000,-283626000,-6126000,-6126000,-289752000,-289752000,-1644000,-291396000,-291396000,-291396000,-291396000,5357882000,1479452000,388215000,388215000,186131000,186131000,5932228000,255316000,6811054000,1050012000,5263166000,497876000,7066370000,12998598000,510836000,93333000,417503000,192714000,52325000,703550000,277675000,277675000,1263582000,1967132000,13169298000,-2119691000,11031466000,11031466000,12998598000,-291396000,68709000,227717000,-43273000,-38243000,-12473000,-642000,-8047000,-38260000,64553000,64553000,-6149000,57025000,-19478000,-19478000,-19512000,-214917000,985907000,-269019000,0.47054,-0.33655,-0.34577,-0.02641,-0.02242,0.92321,8.43185,0.17832,0.07585,-1.52476,-1.52476,4.40976,57.72342,-1.40767,-0.0237,-0.02188,20.34262,15.41458
"24","2022_Q2",111.870806451613,"Down",875363000,-450292000,425071000,-642879000,-402268000,-287906000,-114362000,-240611000,-217808000,-6677000,-6677000,-224485000,-224485000,2858000,-221627000,-221627000,-221627000,-221627000,5223312000,1617022000,406736000,406736000,201142000,201142000,5831190000,259003000,6800609000,1006692000,5286683000,507234000,7059612000,12890802000,527057000,93389000,433668000,192765000,192765000,719822000,267304000,267304000,1253547000,1973369000,13343735000,-2341318000,10917433000,10917433000,12890802000,-221627000,68103000,196678000,-60729000,-17575000,-6980000,-27681999.9999999,-10250000,150967000,11727000,11727000,-1100000,4106999.99999999,137499000,137499000,137526000,-149705000,986243000,-220272000,0.48559,-0.24882,-0.25318,-0.0203,-0.01719,0.99389,8.10088,0.18075,0.07651,-1.23859,-1.23859,4.89208,61.01351,-1.23102,-0.01821,-0.0181,28.30279,19.45323
"25","2022_Q3",79.9071875,"Down",943354000,-498065000,445289000,-757225000,-477584000,-334958000,-142626000,-279641000,-311936000,-8239000,-8239000,-320175000,-320175000,-2594000,-322769000,-322769000,-322769000,-322769000,4392284000,798625000,471915000,471915000,240192000,240192000,5104391000,264767000,6750071000,953522000,5285563000,510986000,7764838000,12869229000,606849000,102039000,504810000,188471000,188471000,795320000,245295000,245295000,1231914000,2027234000,13623483000,-2664087000,10841995000,10841995000,12869229000,-322769000,69641000,289822000,-99260000,-62566000,-3799000,-4015000,-12111000,-786596000,29967000,29967000,-4000,30295000,-818867000,-818867000,-818581000,-242295000,986619000,-342760000,0.47203,-0.33067,-0.34215,-0.02977,-0.02508,1.06194,6.41803,0.18698,0.07666,-1.77007,-1.77007,5.17338,59.45776,-1.8797,-0.02673,-0.02839,14.05586,10.91783
