"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",18.9379365079365,"Up",428066000,-348971000,79095000,-61560000,-17306000,-10912000,17535000,-1899000,-2135000,236000,15636000,18141000,-6957000,11184000,11184000,-29000,11155000,11155000,47925000,40414000,7511000,232465000,232465000,28360000,18569000,308750000,350255000,194410000,42975000,67100000,19086000,21427000,43822000,544665000,853415000,189209000,38005000,151204000,8141000,199059000,162474000,54262000,54262000,216736000,415795000,248837000,-31117000,218887000,436607000,1013000,437620000,853415000,11184000,10912000,7427000,4833000,34356000,-15810000,-15830000,5020000,-12567000,-2034000,-13165000,1427000,1427000,-1122000,-14894000,6895000,6895000,6895000,28447000,170615000,24427000,0.18477,0.04096,0.02606,0.02549,0.01307,2.18978,1.55105,0.95013,0.19992,0.20646,0.20053,7.92283,8.08092,0.45211,0.03765,0.01991,0.03687,0.18234,4.31293,6.99686
"12","2017_Q1",17.5743548387097,"Down",433048000,-355997000,77051000,-58022000,-14814000,-9701000,19029000,-1827000,-2185000,358000,17202000,33857000,-12851000,21006000,21006000,-2669000,18337000,18337000,69256000,57706000,11550000,244433000,244433000,20173000,19871000,333862000,484498000,182665000,35076000,67100000,19586000,23073000,37830000,667163000,1001025000,203799000,38991000,164808000,8129000,211928000,275486000,53116000,53116000,328602000,540530000,252545000,-31117000,235021000,456449000,4046000,460495000,1001025000,21006000,9701000,-7131000,-20872000,2704000,-134361000,-134361000,1090000,-98212000,-2042000,112967000,1026000,1026000,849000,112800000,17292000,17292000,17292000,28730000,283615000,-113652000,0.17793,0.04394,0.04234,0.03982,0.01832,-6.19796,1.57536,1.1738,0.28332,0.33816,0.32845,7.98597,8.41752,-2.09589,0.03766,0.02556,-0.14256,0.11136,7.46116,11.26486
"13","2017_Q2",17.7514285714286,"Up",441739000,-355486000,86253000,-63684000,-21270000,-10514000,22569000,-3155000,-3445000,290000,19414000,4397000,-1441000,2956000,2956000,-116000,2840000,2840000,41336000,31507000,9829000,242863000,242863000,21424000,21374000,305623000,490582000,188264000,34524000,68926000,20990000,23013000,40811000,678846000,984469000,190719000,33828000,156891000,8155000,209874000,258478000,57807000,57807000,316285000,526159000,255355000,-37185000,235689000,453859000,4451000,458310000,984469000,2956000,10514000,2.1e+07,-14884000,19586000,-11699000,-12307000,-1005000,-21397000,-2179000,-17015000,-5111000,957000,-83000,-24388000,-26199000,-26199000,-26199000,33083000,266633000,7941000,0.19526,0.05109,0.00643,0.0062,0.00288,2.79613,1.45622,1.14804,0.27084,0.05233,0.05048,8.13967,8.36299,0.14632,0.04015,0.00641,0.01015,0.76725,6.81005,9.98259
"14","2017_Q3",19.2203174603175,"Up",448280000,-366947000,81333000,-60588000,-17253000,-10750000,20745000,-2765000,-3053000,288000,17980000,19266000,-6885000,12381000,12381000,-163000,12218000,12218000,47119000,33476000,13643000,243248000,243248000,33478000,23135000,323845000,490386000,217953000,34184000,73159000,24444000,23013000,63153000,708339000,1032184000,185413000,32915000,152498000,8165000,204578000,284465000,72180000,59777000,356645000,561223000,258685000,-38405000,244049000,464329000,6632000,470961000,1032184000,12381000,10750000,9836000,-27633000,5334000,-10607000,-11016000,16330000,-27229000,-2171000,25963000,72000,1292000,2.3283064365387e-10,23864000,1968999.99999999,1969000,1969000,31495000,292630000,140000,0.18143,0.04628,0.02726,0.02594,0.01184,0.0114599999999996,1.58299,1.19165,0.28351,0.22541,0.21748,8.27029,8.56638,0.00258000000000047,0.04005,0.01722,0.00017,0.17769,7.79524,11.83471
"15","2017_Q4",21.0338095238095,"Up",471593000,-381543000,90050000,-64491000,-19261000,-11448000,25559000,-3124000,-3519000,395000,22435000,22435000,-8161000,14274000,14274000,-63000,14211000,14211000,49163000,40055000,9108000,255119000,255119000,35563000,21441000,339845000,531079000,199924000,33568000,77663000,24653000,22499000,41541000,731003000,1070848000,203318000,39443000,163875000,8170000,222488000,287456000,73741000,61502000,361197000,583685000,262456000,-38405000,255903000,479954000,7209000,487163000,1070848000,14274000,11448000,9979000,2628000,38329000,-17779000,-16762000,25639000,-34440000,-2178000,2963000,1963000,1963000,-58000,2690000,6579000,6579000,6579000,37007000,295626000,30017000,0.19095,0.0542,0.03013,0.02917,0.01327,2.11224,1.52748,1.19813,0.27607,0.26111,0.2516,8.66485,8.81847,0.55152,0.04002,0.01913,0.03504,0.15326,6.6599,9.6429
"16","2018_Q1",23.3603278688525,"Up",236714000,-209475000,27239000,-39605000,-16336000,-9556000,-12366000,-2963000,-3599000,636000,-15329000,-14919000,2281000,-12638000,11222000,-16000,11206000,11206000,55429000,42337000,13092000,265068000,265068000,47579000,28132000,368076000,537084000,197273000,32803000,81062000,25249000,12745000,45414000,734357000,1102433000,215882000,39043000,176839000,9939000,225821000,302990000,73563000,61488000,376553000,602374000,266111000,-38405000,264691000,492397000,7662000,500059000,1102433000,-12638000,9556000,5071000,-16878000,16294000,-11542000,-14189000,-2333000,-30118000,-2189000,19950000,1062000,1062000,-2717000,16106000,2282000,2282000,2282000,-2810000,312929000,-33511000,0.11507,-0.05224,0.04734,0.02241,0.01016,-2.99045,1.62995,1.20461,0.28385,0.20417,0.26435,4.31286,8.97132,-0.61056,0.03988,0.01511,-0.0378,0.19534,-91.63701,-20.82322
"17","2018_Q2",30.3103125,"Up",492134000,-390243000,101891000,-70576000,-25104000,-11622000,31315000,-3165000,-3613000,448000,28150000,29814000,-6521000,23293000,23293000,-161000,23132000,23132000,48688000,35057000,13631000,258509000,258509000,37529000,24735000,344726000,541019000,206964000,32236000,80963000,25249000,12731000,55785000,747983000,1092709000,201246000,31977000,169269000,10035000,211281000,280449000,75036000,63126000,355485000,566766000,271002000,-38405000,285398000,517995000,7948000,525943000,1092709000,23293000,11622000,2683000,2797000,40395000,-15465000,-15529000,-9998000,-25463000,-2328000,-22421000,2920000,2920000,-383000,-22212000,-7280000,-7280000,-7280000,42937000,290484000,36790000,0.20704,0.06363,0.047,0.04398,0.02117,1.59044,1.6316,1.07762,0.26584,0.41948,0.40433,8.92447,9.39343,0.66716,0.04222,0.02856,0.04127,0.10064,5.63140999999999,7.72141000000001
"18","2018_Q3",34.3139682539683,"Up",496386000,-396132000,100254000,-68479000,-22386000,-11621000,31775000,-3307000,-3869000,562000,28468000,28468000,-6142000,22326000,22326000,-315000,22011000,22011000,40136000,27184000,12952000,251042000,251042000,36391000,27801000,327569000,591580000,206698000,32605000,81019000,25249000,12731000,55094000,798278000,1125847000,220278000,39018000,181260000,10058000,230336000,268066000,77166000,65420000,345232000,575568000,275036000,-38405000,303157000,539788000,10491000,550279000,1125847000,22326000,11621000,4237000,22661000,60845000,-62766000,-64312000,6985000,-55781000,-2367000,-12501000,1858000,1858000,73000,-12937000,-7873000,-7873000,-7873000,43396000,278124000,9433000.00000001,0.20197,0.06401,0.04434,0.04,0.01955,0.428559999999999,1.42214,1.04596,0.24704,0.39687,0.37919,8.95022,9.73279,0.17008,0.04268,0.02692,0.01042,0.10754,5.4841,7.48979
"19","2018_Q4",38.3861904761905,"Up",514364000,-413723000,100641000,-71354000,-24601000,-11902000,29287000,-3522000,-3989000,467000,25765000,25765000,-5415000,20350000,20350000,511000,20861000,20861000,55345000,45657000,9688000,261454000,261454000,31614000,25105000,348413000,593088000,202074000,31620000,78612000,26201000,12035000,53606000,795162000,1143575000,237780000,41323000,196457000,10080000,247860000,245604000,77735000,66154000,323339000,571199000,278856000,-38405000,321448000,561899000,10477000,572376000,1143575000,20350000,11902000,9118000,14667000,56037000,-14289000,-15650000,1889000,-12053000,-2347000,-22505000,-615000,1357000,-44000,-25511000,18473000,18473000,18473000,41189000,255684000,46982000,0.19566,0.05694,0.04056,0.03645,0.01824,2.25215,1.40568,0.99794,0.22358,0.37424,0.44131,9.22759,10.08036,0.84285,0.0421,0.02562,0.05187,0.11251,4.8639,6.84054
"20","2019_Q1",43.1298360655738,"Up",251717000,-218151000,33566000,-42694000,-18472000,-9719000,-9128000,-3172000,-3711000,539000,-12300000,-12300000,5393000,-6907000,26559000,-199000,26360000,26360000,39724000,31042000,8682000,251915000,251915000,56433000,19576000,348072000,608416000,225470000,30922000,49585000,2466000,11749000,61898000,833886000,1181958000,228873000,39846000,189027000,10105000,269227000,233135000,77256000,62523000,310391000,579618000,284439000,-38405000,344901000,590935000,11405000,602340000,1181958000,-6907000,9719000,7351000,2712000,53025000,-38323000,-40124000,-6299000,-57914000,-2377000,-12512000,5206000,3234000,-1999.99999999994,-9685000,-14574000,-14574000,-14574000,591000,243240000,-40413000,0.13335,-0.03626,0.10472,0.04376,0.0223,-1.53312,1.29286,0.96228,0.20579,0.4701,0.47875,4.48907,10.53861,-0.72072,0.04239,0.03114,-0.04379,0.09017,344.35871,-22.29579
"21","2019_Q2",49.341746031746,"Up",471308000,-371989000,99319000,-69370000,-27260000,-11929000,29949000,-3109000,-3672000,563000,26840000,26840000,-5275000,21565000,27607000,-235000,27372000,27372000,41861000,37824000,4037000,291701000,291701000,24167000,24019000,357729000,627400000,1233230000,4131000,87062000,28118000,8603000,1105316000,1860630000,2218359000,243094000,44595000,198499000,10129000,311443000,240660000,1021253000,1021253000,1261913000,1573356000,292667000,-38405000,378443000,632705000,12298000,645003000,2218359000,21565000,11929000,2930000,-20670000,19806000,-16043000,-18564000,6822000,-20357000,-2525000,7483000,2334000,2334000,1764157.87563113,7292000,6741000,6741000,6741000,41878000,250789000,10440000,0.21073,0.06354,0.05808,0.04244,0.01234,0.38141,1.14862,2.4393,0.11305,0.48238,0.49144,8.30593,11.15025,0.18399,0.0445,0.0156,0.00545000000000002,0.09225,4.98897,6.97613000000001
"22","2019_Q3",48.92984375,"Down",492916000,-394741000,98175000,-69436000,-25848000,-12366000,28739000,-3379000,-3941000,562000,25360000,25360000,-4576000,20784000,28925000,-316000,28609000,28609000,47045000,39042000,8003000,296935000,296935000,31566000,25632000,375546000,674892000,1271083000,3829000,97408000,30922000,8603000,1130321000,1945975000,2321521000,257509000,44694000,212815000,10153000,327348000,268179000,1048687000,1048687000,1316866000,1644214000,298946000,-38890000,401996000,662052000,15255000,677307000,2321521000,20784000,12366000,3521000,4e+05,47252000,-56636000,-56690000,-9000,-72679000,-2543000,26552000,3213000,3213000,-577000,26645000,1218000,1218000,1218000,41105000,278332000,-10555000,0.19917,0.0583,0.05804,0.04224,0.01232,-0.36894,1.14724,2.42758,0.11989,0.50107,0.51002,8.63305,11.59535,-0.18486,0.04454,0.01554,-0.00527,0.08889,5.62674,8.04784
"23","2019_Q4",41.758125,"Down",512109000,-410516000,101593000,-70794000,-25514000,-13405000,30799000,-3168000,-3900000,732000,27631000,27631000,-5093000,22538000,27828000,-669000,27159000,27159000,57422000,44396000,13026000,308093000,308093000,27686000,25150000,393201000,708224000,1258124000,3541000,96199000,36098000,8105000,1114181000,1966348000,2359549000,283635000,40019000,243616000,10177000,354629000,265692000,1037422000,1037422000,1303114000,1657743000,303735000,-43890000,426414000,686259000,15547000,701806000,2359549000,22538000,13405000,2846000,17463000,65315000,-44648000,-49908000,-1478000,-51132000,-2558000,-2529000,-3171000,1829000,-177000,-8435000,5748000,5354000,5354000,44204000,275869000,22112000,0.19838,0.06014,0.05303,0.0387,0.01151,0.81417,1.10877,2.36211,0.11692,0.58319,0.4818,10.99653,14.73606,0.47481,0.05493,0.01475,0.01097,0.09419,4.94179000000001,7.09267
"24","2020_Q1",43.456935483871,"Up",560191000,-568171000,-7980000.00000001,47673000,-32251000,-13354000,39693000,-3357000,-4149000,792000,36336000,36336000,-9010000,27326000,27326000,68000.0000000002,27394000,27394000,76929000,59175000,17754000,308985000,308985000,25167000,24428000,411081000,767565000,1183263000,3382000,54469000,3068000,4615000,1117729000,1950828000,2361909000,295507000,44973000,250534000,2702000,343173000,325217000,1037375000,1037375000,1362592000,1705765000,307970000,-45296000,391523000,654197000,1947000,656144000,2361909000,27326000,13354000,12413000,6757000,59850000,-88402000,-87974000,-13706000,-102847000,-2564000,51840000,-279000.000000002,1127000,8779000,57776000,14779000,14779000,14779000,53047000,327919000,-19588000,-0.01425,0.07086,0.0489,0.04175,0.0116,-0.71505,1.19788,2.59968,0.13884,0.51302,0.49127,10.49086,12.25134,-0.36683,0.04802,0.01482,-0.00969,0.0936,4.73146,6.32328
"25","2020_Q2",39.3490476190476,"Down",589613000,-454521000,135092000,-78299000,-32249000,-13720000,56793000,-2967000,-3665000,698000,53826000,53826000,-12625000,41201000,41201000,-352000,40849000,40849000,78238000,63217000,15021000,329518000,329518000,25565000,25565000,433321000,783291000,1171394000,3131000,54469000,3068000,3612000,1107114000,1954685000,2388006000,281361000,40917000,240444000,2727000,330143000,344558000,1036490000,1036490000,1381048000,1711191000,315843000,-70296000,429689000,675236000,1579000,676815000,2388006000,41201000,13720000,2274000,-30072000,27123000,-29743000,-29864000,13813000,-15542000,-2705000,19334000,-23448000,1552000,-720000,-7539000,4042000,4042000,4042000,70513000,347285000,23323000,0.22912,0.09632,0.06928,0.06035,0.01711,0.57096,1.31253,2.5283,0.14543,0.76389,0.73211,11.02596,12.62713,0.43615,0.05058,0.02114,0.01132,0.06622,3.81557,4.73733
"26","2020_Q3",51.31015625,"Up",584699000,-516563000,68136000,-12702000,-31427000,-13605000,55434000,-1211000,-2293000,1082000,54223000,54223000,-13534000,40689000,40689000,-441000,40248000,40248000,218095000,201738000,16357000,302061000,302061000,27150000,27150000,547306000,780439000,1160412000,3004000,54469000,3068000,3612000,1096259000,1940851000,2488157000,323121000,42694000,280427000,3292000,581038000,143893000,1045450000,1045450000,1189343000,1770381000,319827000,-71049000,467219000,715997000,1779000,717776000,2488157000,40689000,13605000,7815000,84906000,147015000,-11142000,-11260000,-722000,-12784000,-2683000,-200132000,455999.999999996,456000,206649000,4289999.99999999,138521000,138521000,138521000,69039000,147185000,156337000,0.11653,0.09481,0.06884,0.05607,0.01618,3.88434,0.94195,2.46648,0.05915,0.75804,0.72937,11.01232,13.48521,2.94448,0.05053,0.02247,0.08183,0.06666,-1.0271,-1.27918
