"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",26.0093548387097,"Up",839147000,-600431000,238716000,-131671000,-75102000,-32372000,107045000,3716000,-2902000,3000,3210000,110761000,110761000,-22844000,87917000,87917000,87917000,87917000,716994000,614699000,102295000,866585000,866585000,662579000,463878000,216196000,160800000,2710036000,1549689000,1722004000,65444000,328263000,1328297000,3271693000,5981729000,817882000,235744000,6982000,575156000,61398000,260547000,260013000,1139827000,468294000,915454000,915454000,1383748000,2523575000,2084344000,1375555000,-1745000,3458154000,3458154000,5981729000,22315000,22315000,-57241000,11094000,3122000,-43025000,7084000,-5405000,1679000,-19031000,-19031000,3490000,-15541000,529692000,0.28447,0.12756,0.10477,0.02542,0.0147,2.37759,0.72975,0.08855,1.01063,1.00173,9.64625,39.75255,3,0.01793,-1.74975
"12","2013_Q1",29.8683333333333,"Up",1075011000,-781464000,293547000,-121532000,-65054000,-31639000,172015000,-1441000,-2694000,-2156000,280000,170574000,170574000,-16396000,154178000,154178000,154178000,154178000,1003872000,901294000,102578000,954554000,954554000,533824000,340074000,207368000,39115000,2832324000,1525382000,1990986000,65444000,317473000,1608069000,3516368000,6348692000,910137000,350230000,5474000,554433000,62349000,128888000,128888000,1101374000,500223000,1141569000,1141569000,1641792000,2743166000,2065614000,1529733000,10179000,3605526000,3605526000,6348692000,327559000,327559000,-34932000,-552000,-3920000,-39404000,29370000,-34428000,-4882000,283273000,283273000,3322000,286595000,562572000,0.27306,0.16001,0.14342,0.04276,0.02429,2.57163,0.76082,0.08861,1.77041,1.80294,12.34425,41.4019,7,0.02904,-2.56547
"13","2013_Q2",44.50265625,"Up",755205000,-585879000,169326000,-108119000,-75841000,-29931000,61207000,4982000,-750000,1618000,-833000,66189000,66189000,-7047000,59142000,59142000,59142000,59142000,1011746000,842753000,168993000,759262000,759262000,523883000,815035000,106518000,617540000,3109926000,1553205000,1631294000,68833000,321420000,1241041000,3184499000,6294425000,641590000,209019000,2068000,430503000,61106000,830745000,828131000,1533441000,501111000,585891000,585891000,1087002000,2620443000,2094192000,1588875000,-9085000,3673982000,3673982000,6294425000,66455000,66455000,-71667000,-66816000,4817000,-141600000,4723000,16632000,21355000,-53790000,-53790000,-4751000,-58541000,562217000,0.22421,0.08105,0.07831,0.0161,0.0094,2.02807,0.71324,0.08932,0.67819,0.66171,8.66001,42.12992,7,0.01226,-7.34441
"14","2013_Q3",42.27765625,"Down",519760000,-379662000,140098000,-101002000,-67657000,-30964000,39096000,1966000,-875000,-1068000,504000,41062000,41062000,-7464000,33598000,33598000,33598000,33598000,1285272000,928657000,356615000,653018000,653018000,462645000,1200344000,117167000,1004778000,3601279000,1560908000,1705939000,74930000,332688000,1298321000,3266847000,6868126000,614100000,217587000,4749000,391764000,61194000,1179501000,1177819000,1854795000,194570000,662023000,662023000,856593000,2711388000,2555970000,1622473000,-21705000,4156738000,4156738000,6868126000,222373000,222373000,-85189000,-188703000,683000,-296020000,-305870000,31368000,155866000,82219000,82219000,3685000,85903999.9999999,255764000,0.26954,0.07522,0.06464,0.00808,0.00489,1.9416,0.65229,0.03724,0.37665,0.36863,5.82684,46.59968,5,0.00662,-26.33282
"15","2013_Q4",54.6765625,"Up",1265587000,-901553000,364034000,-156130000,-63870000,-34984000,207904000,784000,-275000,-705000,-2433000,208688000,208688000,-13650000,195038000,195038000,195038000,195038000,1531884000,1192648000,339236000,584514000,584514000,451637000,1028531000,87283000,752241000,3596566000,1397784000,1868360000,84985000,324275000,1459100000,3266144000,6862710000,555719000,184837000,6337000,364545000,60329000,1020138000,1020138000,1636186000,168885000,638264000,638264000,807149000,2443335000,2629236000,1817511000,-27372000,4419375000,4419375000,6862710000,375092000,375092000,-69504000,16117000,-2737000,-56124000,-30691000,-25471000,-58340000,260628000,260628000,3363000,263991000,229214000,0.28764,0.16427,0.15411,0.04413,0.02842,2.19814,0.55287,0.0334,1.97567,1.94976,12.81997,44.76676,7,0.03689,-6.26573
"16","2014_Q1",55.763606557377,"Up",769064000,-577890000,191174000,-128974000,-65661000,-38421000,62200000,2840000,16000.0000000001,1048000,-2427000,65040000,65040000,-1937000,62940000,62940000,62940000,62940000,1764174000,1325072000,439102000,657706000,657706000,522682000,848202000,94720000,556957000,3792764000,1385084000,1705654000,84985000,296603000,1189329000,3090738000,6883502000,588117000,261333000,6707000,320077000,60543000,939401000,939401000,1588061000,162780000,629544000,629544000,792324000,2380385000,2646122000,1882771000,-25776000,4503117000,4503117000,6883502000,-583385000,192206000,60187000,-101629000,-1920000,-43362000,-3115999.99999997,-14601000,-17717000,131127000,131127000,1297000,132424000,223323000,0.24858,0.08088,0.08184,0.01398,0.00914000000000001,2.3883,0.52861,0.03244,0.63154,0.62119,7.7168,45.18434,4,0.01175,-24.77252
"17","2014_Q2",66.1934920634921,"Up",950158000,-713447000,236711000,-97437000,-58664000,-38773000,139274000,1558000,-410000,-579000,-1774000,140832000,140832000,-28853000,112007000,112007000,112007000,112007000,1379227000,975194000,404033000,765912000,765912000,469613000,421285000,102840000,233075000,3036037000,1370537000,1969779000,84985000,233172000,1534505000,3340316000,6376353000,514255000,186278000,6638000,321339000,60656000,423023000,423023000,997934000,138229000,606801000,606801000,745030000,1742964000,2646495000,1994779000,-7885000,4633389000,4633389000,6376353000,21575000,-318176000,-50813000,33700000,-3268000,-20381000,-25110000,11232000,-13878000,-352435000,-352435000,2557000,-349878000,198885000,0.24913,0.14658,0.11788,0.02417,0.01757,3.04232,0.37617,0.03119,1.12467,1.10003,9.5406,46.52417,6,0.02059,-8.47496
"18","2014_Q3",67.68875,"Up",544353000,-451628000,92725000,-90817000,-58158000,-32659000,1908000,2458000,-930000,21000.0000000002,-1166000,4366000,4366000,2166000,4528000,4528000,4528000,4528000,1348867000,851346000,497521000,802811000,802811000,444063000,574528000,134470000,312065000,3170269000,1369659000,2072087000,84985000,245080000,1625087000,3441746000,6612015000,522906000,187530000,40708000,294668000,60838000,627499000,627499000,1211243000,133836000,598981000,598981000,732817000,1944060000,2661220000,1999306000,7429000,4667955000,4667955000,6612015000,-25510000,118380000,-62408000,-95528000,-71527000,-229463000,-5651000,-7125000,-12776000,-123859000,-123859000,11000.0000000009,-123848000,194674000,0.17034,0.00351000000000001,0.00831999999999999,0.000969999999999999,0.000679999999999997,2.61737,0.41647,0.02944,0.04521,0.0444699999999998,5.43549,46.61057,5,0.000830000000000001,-604.92296
"19","2014_Q4",50.94796875,"Down",888683000,-701560000,187123000,-105527000,-67934000,-37593000,81596000,2816000,-89000,366000,-1758000,84412000,84412000,6044000,86111000,86111000,86111000,86111000,1115398000,622523000,492875000,821696000,821696000,546321000,769611000,132273000,554238000,3253026000,1384429000,1802499000,84985000,228661000,1369405000,3186928000,6439954000,573945000,219997000,5346000,348602000,54607000,290120000,290120000,918672000,163646000,564419000,564419000,728065000,1646737000,2682299000,2087731000,23187000,4793217000,4793217000,6439954000,66913000,-47211000,-71028000,2550000,-130476000,-198954000,29059000,1185000,30244000,-215921000,-215921000,-12902000,-228823000,218253000,0.21056,0.09182,0.0969,0.01797,0.01337,3.54101,0.34356,0.03389,0.85942,0.8491,8.86936,47.83793,2,0.01544,-10.99496
"20","2015_Q1",51.3485245901639,"Up",1007993000,-699611000,308382000,-109161000,-74217000,-34944000,199221000,3270000,-553000,-1269000,213000,202491000,202491000,-10545000,193318000,193318000,193318000,193318000,1991086000,1482054000,509032000,212405000,212405000,630171000,243992000,202151000,41841000.0000001,3077654000,1419988000,2223349000,84985000,313891000,1450208000,3643337000,6720991000,604539000,214656000,1727000,388156000,51399000,344601000,344601000,1000539000,162074000,566891000,566891000,728965000,1729504000,2697658000,2243689000,50140000,4991487000,4991487000,6720991000,14334000,982523000,-73300000,-18218000,156804000,60980000,7202000,-57699000,-50497000,993006000,993006000,-9153000,983853000,213473000,0.30594,0.19764,0.19179,0.03873,0.02876,3.076,0.34649,0.03176,1.92824,1.90422,10.05419,49.78741,7,0.03349,-8.92281999999995
"21","2015_Q2",55.8626984126984,"Up",469209000,-430228000,38981000,-109094000,-74338000,-34756000,-70113000,3390000,-194000,-221000,-1259000,-66723000,-66723000,5980000,-60917000,-60917000,-60917000,-60917000,1484582000,779908000,704674000,335804000,335804000,616558000,712759000,263284000,355328000,3149703000,1368443000,2156528000,84985000,210536000,1485322000,3524971000,6674674000,642550000,202755000,2882000,436913000,42123000,300233000,300233000,984906000,200386000,502276000,502276000,702662000,1687568000,2698235000,2217397000,71474000,4987106000,4987106000,6674674000,40580000,-424617000,-55342000,-197369000,-37922000,-290633000,36967000,-9711000,27256000,-687994000,-687994000,-14152000,-702146000,242509000,0.08308,-0.14943,-0.12983,-0.01221,-0.00913,3.19797,0.33839,0.03633,-0.60689,-0.60689,4.67456,49.68474,2,-0.01063,17.7153
"22","2015_Q3",46.26015625,"Down",896217000,-731734000,164483000,-107350000,-77871000,-29479000,57133000.0000001,1483000,-826000,-2957000,-792000,58616000.0000001,58616000,33340000,93885000,93885000,93885000,93885000,1775161000,1075144000,700017000,347186000,347186000,576335000,457524000,262731000,117084000,3156206000,1356231000,2291368000,84985000,262389000,1675032000,3647599000,6803805000,645405000,273280000,4771000,367354000,41898000,226804000,226804000,914107000,257787000,590441000,590441000,848228000,1762335000,2716594000,2311888000,12988000,5041470000,5041470000,6803805000,-48877000,-10401000.0000002,-38769000,2515000,224109000,187855000,58496000,57821000,116317000,293771000,293771000,1465000,295236000,299685000,0.18353,0.06375,0.10476,0.01862,0.0138,3.45278,0.34957,0.04405,0.93092,0.924,8.88646,49.9888,6,0.01583,-25.82528
"23","2015_Q4",56.06421875,"Up",1271245000,-786880000,484365000,-86544000,-56914000,-29630000,397821000,66000,-1775000,-1803000,-1678000,397887000,397887000,-48454000,349318000,349318000,349318000,349318000,1809517000,1189703000,619814000,570046000,570046000,483575000,388191000,210399000,99700000,3251329000,1330054000,2479259000,84985000,264200000,1718501000,3809313000,7060642000,717788000,303593000,2028000,412167000,38663000,139836000,139836000,896287000,246814000,528813000,528813000,775627000,1671914000,2734262000,2625975000,28491000,5388728000,5388728000,7060642000,7859000,21002000,-45159000,78861000,66671000,100373000,-1864000,786000,-1078000,120297000,120297000,-5738000,114559000,285477000,0.38102,0.31294,0.27478,0.06482,0.04947,3.62755,0.31026,0.04043,3.46182,3.41468,12.59831,53.40344,6,0.05631,-3.83097
"24","2016_Q1",67.0280327868852,"Up",1475979000,-1031046000,444933000,-99615000,-62887000,-36728000,345318000,-1768000,-4180000,-1887000,-1773000,343550000,343550000,-23195000,211120000,211120000,211120000,211120000,1830280000,1126826000,703454000,559800000,559800000,517313000,438193000,248977000,189216000,3345586000,1284136000,2686609000,84985000,357693000,1734124000,3970745000,7316331000,748450000,337668000,1330000,409452000,38090000,174260000,174260000,960800000,251325000,555719000,555719000,807044000,1767844000,2742897000,2790110000,15480000,5548487000,5548487000,7316331000,-287898000,88807000,-27168000,-87127000,-39477000,-153772000,12848000,-54136000,-41288000,-106253000,-106253000,-847000,-107100000,289415000,0.30145,0.23396,0.14304,0.03805,0.02886,3.48208,0.31862,0.03956,2.08183,2.05013,14.55443,54.71287,5,0.03302,-4.46216
"25","2016_Q2",53.2784375,"Down",876068000,-598457000,277611000,-97690000,-67503000,-30187000,179921000,34077000,-4642000,-3240000,35553000,213998000,213998000,-28031000,195636000,195636000,195636000,195636000,1880500000,1086280000,794220000,436342000,436342000,599010000,358305000,226667000,131638000,3274157000,1278386000,3025246000,84985000,359959000,2081113000,4303632000,7577789000,634270000,274991000,7414000,351865000,94080000,335779000,335779000,1064129000,205262000,569453000,569453000,774715000,1838844000,2751176000,2960675000,27094000,5738945000,5738945000,7577789000,-29996000,84218000,-51754000,-89663000,-3657000,-145074000,-421000,-17529000,-17950000,-78806000,-78806000,6423000,-72383000,299342000,0.31688,0.20537,0.22331,0.03409,0.02582,3.07684,0.32041,0.0395,1.92077,1.90409,8.6013,56.34537,6,0.02961,-8.78807
"26","2016_Q3",41.41171875,"Down",1016424000,-834373000,182051000,-182294000,-63831000,-32931000,-243000,3408000,-7151000,-2723000,6753000,3164999.99999997,3165000,-7288000,-11415000,-11415000,-11415000,-11415000,1667439000,916660000,750779000,542027000,542027000,477300000,389855000,276971000,112884000,3076621000,1268267000,3199132000,78888000,351714000,2273069000,4467399000,7544020000,619105000,263062000,1518000,354525000,71591000,261333000,261333000,952029000,161839000,625507000,625507000,787346000,1739375000,2773923000,2974083000,56639000,5804645000,5804645000,7544020000,77917000,-61668000,-78385000,43364000,-4317000,-39338000,-69082000,-1491000.00000001,-70573000,-171579000,-171579000,-1154000,-172733000,233430000,0.17911,-0.000240000000000073,-0.0112299999999999,-0.00196999999999999,-0.00151,3.23165,0.29965,0.03094,-0.1116,-0.10989,9.93698,56.74861,2,-0.00171,5901.2716
"27","2016_Q4",35.0998412698413,"Down",681276000,-510368000,170908000,-97584000,-61097000,-32173000,73324000,4454000,-5563000,-2296000,6419000,77778000,77778000,68205000,150457000,150457000,150457000,150457000,2090204000,1414219000,675985000,568831000,568831000,447028000,359355000,264806000,94549000,3465418000,1266337000,3355905000,78888000,347081000,2408587000,4622242000,8087660000,541290000,201835000,10486000,328969000,626026000,240008000,240008000,1407324000,161131000,573446000,573446000,734577000,2141901000,2767666000,3128229000,49864000,5945759000,5945759000,8087660000,-9868000,-84223000,-45729000,72046000,-5679000,20638000,552320000,-1527000,550793000,487208000,487208000,1473000,488681000,787157000,0.25086,0.10763,0.22085,0.0253,0.0186,2.46242,0.36024,0.09733,1.45596,1.45043,6.59263,57.53645,2,0.02059,-17.77108
"28","2017_Q1",32.7940322580645,"Down",330795000,-322947000,7848000,-829001000,-70584000,-29471000,-821153000,-11039000,-3182000,-5748000,-8473000,-832192000,-832192000,-56053000,-750790000,-750790000,-750790000,-750790000,1955146000,1347155000,607991000,473426000,473426000,425995000,933262000,217462000,715800000,3787829000,629142000,2407397000,14462000,255152000,1815203000,3036539000,6824368000,424269000,148730000,12562000,262977000,27966000,455646000,146942000,907881000,160422000,537716000,537716000,698138000,1606019000,2765414000,2462842000,-9907000.00000001,5218349000,5218349000,6824368000,751519000,268426000,-53584000,77159000,284719000,308294000,-598644000,-19000,-598663000,-21943000,-21943000,-13048000,-34990999.9999999,188388000,0.02372,-2.48236,-2.26965,-0.14388,-0.11002,4.17216,0.30776,0.02761,-7.22018,-7.4254,3.18118,50.18367,5,-0.1263,2.15155999999977
"29","2017_Q2",33.9842857142857,"Up",891791000,-807607000,84184000,-92179000,-49349000,-22799000,-7995000,23355000,-9169000,246000,25861000,15360000,15360000,-5679000,9129000,9129000,9129000,9129000,2445687000,1656245000,789442000,221722000,221722000,465871000,196958000,177358000,19600000,3330238000,691767000,2582498000,14462000,251453000,2002212000,3274265000,6604503000,333794000,143455000,5002000,185337000,11540000,181717000,156963000,527051000,265823000,583823000,583823000,849646000,1376697000,2768045000,2471971000,-12210000,5227806000,5227806000,6604503000,30041000,493144000,-112993000,-181605000,1408000,-293190000,115647000,-13483000,102164000,302118000,302118000,-7307000,294811000,277363000,0.0944,-0.00897,0.01024,0.00175,0.00138,6.31863,0.26334,0.042,0.08769,0.08743,8.56643,50.21763,5,0.0015,271.21001
"30","2017_Q3",46.372380952381,"Up",623326000,-512433000,110893000,-96965000,-57338000,-21341000,13928000,-3962000.00000001,-6374000,-2444000,-2699000,9965999.99999988,9966000.00000012,40028000,51963000,51963000,51963000,51963000,2229085000,1509516000,719569000,608914000,608914000,370620000,228293000,172701000,55591999.9999999,3436912000,784937000,2458437000,14462000,262879000,1871295000,3243374000,6680286000,310082000,118075000,1554000,190453000,13574000,180192000,148689000,503848000,307459000,577670000,577670000,885129000,1388977000,2779398000,2523934000,-12023000,5291309000,5291309000,6680286000,-3854000,-167804000,-104509000,70137000,1120000,-33252000.0000001,42168000,-7414000,34753999.9999998,-166302000,-166302000,10379000,-155923000,321033000,0.17791,0.02234,0.0833600000000001,0.00981999999999999,0.00777999999999999,6.82133,0.2625,0.04806,0.49803,0.496729999999999,5.9741,50.71315,3,0.00839000000000001,-136.99397
