"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"15","2017_Q4",239.344603174603,"Down",-1529880,-1196656,-290447,-1177585,-68,3127,-1177653,-1177653,-1177653,-1177653,-1177653,-1177653,145311,135133,10178,121227,3539642,1683782,510338,1925830,5465472,1657792,1637547,1670292,1670292,104628437,-100824469,3795180,3795180,5465472,-1177653,-10996,65537,-1061627,999585,999585,0,-62042,-62042,-62042,0,-0.3103,-0.21547,2.11918,0.44011,0,-50.65541,-50.65541,163.24538,-0.3103,0.1234
"16","2018_Q1",183.099180327869,"Down",-2658876,-2308445,-307654,-3253390,-3056,1457,-3256446,-4021378,-4021378,-4021378,-4021378,-4021378,5450039,438432,5011607,162078,7524400,1578377,447710,1813490,9337890,1785037,1745216,1785037,1785037,110647169,-104845847,7552853,7552853,9337890,-4021378,2643736,-114940,-1425554,-5000165,-5017481,6746334,303299,303299,303299,5.55111512312578e-17,-0.53243,-0.43065,4.21526,0.23634,0,-117.12846,-117.12846,168.87087,-0.53243,1.67519
"17","2018_Q2",191.898125,"Up",-1898432,-1415685,-439970,-1893457,33466,36341,-1859991,-1859991,-1859991,-1859991,-1859991,-1859991,9326277,647267,8679010,297723,11014845,1522673,434783,1781938,12796783,1379538,1360533,1379538,1379538,118139926,-106705838,11417245,11417245,12796783,-1859991,34406,-31239,-1800372,-3670291,-3708118,5717325,208835,208835,208835,0,-0.16291,-0.14535,7.98444,0.12083,0,-10.00717,-10.00717,61.42732,-0.16291,4.92553
"18","2018_Q3",112.547777777778,"Down",-2336970,-2035069,-259124,-2113195,45742,48772,-2067453,-2067453,-2067453,-2067453,-2067453,-2067453,8253538,275963,7977575,754163,10434873,1966355,921242,2211817,12646690,1851881,1835180,1851881,1851881,119580543,-108773291,10794809,10794809,12646690,-2067453,105188,-111706,-2017520,708212,708341,1437875,128696,128696,128696,0,-0.19152,-0.16348,5.63474,0.17155,-1.6940658945086e-21,-8.49491,-8.49490999999999,44.35452,-0.19152,3.90572
"19","2018_Q4",101.343650793651,"Down",-3204938,-2071294,-160867,-3124302,40352,35546,-3083950,-3083950,-3083950,-3083950,-3083950,-3083950,6167451,1301418,4866033,574017,7832671,1929340,927004,2187951,10020622,2301386,2254199,2301386,2301386,119582020,-111857241,7719236,7719236,10020622,-3083950,193692,773342,-2056772,3112743,3082227,0,1025455,1025455,1025455,0,-0.39951,-0.30776,3.40346,0.29814,0,-12.50483,-12.50483,31.30004,-0.39951,1.97403
"20","2019_Q1",53.1495081967213,"Down",-2747354,-1926285,-203292,-2929455,43726,45181,-2885729,-3837640,-3837640,-3837640,-3837640,-3837640,5454753,181755,5272998,453782,6670128,1053669,810258,1137125,7807253,1973500,1973500,1973500,1973500,121554547,-115694881,5833753,5833753,7807253,-3837640,1078947,54548,-2642706,-426956.999999999,-426957,1950000,-1119663,-1119663,-1119663,1.4210854715202e-14,-0.65783,-0.49155,3.37985,0.33829,0,-16.03324,-16.03324,24.37278,-0.65783,1.86204
"21","2019_Q2",33.8249206349206,"Down",-1306188,-1132794,-88391,-940002,26762,31421,-913240,-916958,-916958,-916958,-916958,-916958,4753047,275522,4477525,283435,5962306,1002012,768603,1080033,7042339,2076421,2076421,2076421,2076421,121574327,-116611839,4965918,4965918,7042339,-916958,22103,130683,-748735,822502,822502,0,73767,73767,73767,0,-0.18465,-0.13021,2.87143,0.41813,0,-3.52304,-3.52304,19.07951,-0.18465,5.05642
"22","2019_Q3",21.5778125,"Down",-1066360,-995450,-60909,-821713,27362,27581,-794351,-794891,-794891,-794891,-794891,-794891,4268937,248439,4020498,169591,5249629,613742,390335,682223,5931852,1617718,1617718,1617718,1617718,121699375,-117406730,4314134,4314134,5931852,-794891,134744,-221012,-861617,469628,469628,-2.3283064365387e-10,-391989,-391989,-391989,0,-0.18425,-0.134,3.24508,0.37498,-4.33680868994202e-19,-3.04969,-3.04969,16.55168,-0.18425,5.19517
"23","2019_Q4",14.1153125,"Down",-408883,-578187,149300,-1019716,22047,22015,-997669,-991256,-991256,-837026,-837026,-837026,3208544,363294,2845250,463869,4315372,596846,383441,655786,4971158,1372963,1372963,1372963,1372963,121822267,-118243756,3598195,3598195,4971158,-991256,500984,-491497,-962226,1177081,1077081,0,114855,114855,114855,0,-0.23262,-0.16838,3.14311,0.38157,0,-3.20829,-3.20829,13.79175,-0.23262,3.14651
"24","2020_Q1",5.80435483870968,"Down",-615672,-690672,-2394863.6573072,-615672,20261,20466,-595411,-678190,-678190,-1339374,-1339374,-1339374,9681717,517444,9164273,629097,10310814,574121,117816,574121,10884935,891883,891883,1529765,1529765,128920414,-119583130,9355170,9355170,10884935,-1185144,261622,402275,-501705,-6316088,-6309838,6965693,154150,154150,154150,-3.63797880709171e-12,-0.14317,-0.12305,6.74013,0.16352,-3.46944695195361e-18,-3.01982,-3.01982,21.09262,-0.14317,15.72545
"25","2020_Q2",7.22047619047619,"Up",-3544455,-1061398,-2483057,-3544455,46703,46703,-3497752,-3534466,-3534466,-3538536,-3538536,-3538536,7441873,812439,6629434,339486,8296430,798691,640094,825369,9121799,2033883,2033883,2179953,2304348,129743689,-123121666,6817451,6817451,9121799,-3538536,1273678,622844,-1966983,2261901,2261901,77,294995,294995,294995,0,-0.51904,-0.38792,3.80578,0.33801,0,-3.17807,-3.17807,5.74711,-0.50974,2.09958
"26","2020_Q3",7.8990625,"Up",1846818,-99495.0000000001,1955480,1846818,-410924,-410924,1435894,1457608,1457608,1461678,1461678,1461678,18303522,11446717,6856805,172096,18477919,195036,195036,199819,18677738,2625572,2625572,2705590,2705590,142330116,-126749797,15972148,15972148,18677738,1461678,-891745,-1067173,-163104,-2261901,-2261901,2053272,-371733,-371733,-371733,2.91038304567337e-11,0.0915099999999999,0.0782600000000001,6.82953,0.16939,-1.11022302462516e-16,0.5566,0.5566,5.92481,0.0915100000000002,-9.91084
"27","2020_Q4",4.0903125,"Down",-1959618,-759216,-908119,-1959618,-1297228,-1297228,-3256846,-3241846,-3241846,-3241846,-3241846,-3241846,23119007,16189651,6929356,446507,23565514,155563,155563,159301,23724815,1057469,1057469,2555646,2555646,154901639,-133876994,21169169,21169169,23724815,-3241846,1242592,709394,-1285277,-5900795.99587857,70600,1203900,-10777,-10777,-10777,0,-0.15314,-0.13664,9.22096,0.12072,0,-0.84697,-0.04029,5.49294,-0.15314,11.79771
"28","2021_Q1",6.18540983606557,"Up",-4638851,-1026594,-1031228,-4638851,1661590,1661590,-2977261,-4169120,-4169120,-4169120,-4169120,-4169120,148284,148284.000000002,21011486.0729671,1218,149502,527195,527195,527195,676697.000000004,1801727,1104801,2399745,5933729,4004,-48672523,-5257032,-5257032,676697,-4169120,2609035,307319,-1248182,-4113605.34743838,-9.31322574615479e-10,1349482,101300,101300,101300,3604584,0.79306,-6.16098,0.0623000000000005,-1.12872,5.32673,-0.63765,-1.18228,-0.80404,2.523,-0.745079999999996
"29","2021_Q2",4.89650793650794,"Down",-2429139,-1078163,-1350976,-2429139,-660564,-660564,-3089703,-3089703,-3089703,-3089703,-3089703,-3089703,31049903,569366,30480537,3247948,34297851,1500000,1500000,1500000,35797851,2335751,2335751,2374059,2374059,171925670,-138646402,33423792,33423792,35797851,-3089703,660564,923957,-1505182,788275.724721012,1579427.68556435,1794182,289000,289000,289000,0,-0.09244,-0.08631,14.44692,0.07103,0,-0.87618,-0.87618,9.43733,-0.09244,12.78227
"30","2021_Q3",5.980625,"Up",-18237709,-1540392,-1661266,-18237709,-34885,-34884.9999999995,-18272594,-18092337,-18092337,-18092337,-18092337,-18092337,21630373,2127372,19503001,744561,22374934,10573411,74872,12073411,34448345,3298637,3298637,3348159,3374010,100784376,-69854565,31074335,31074335,34448345,-7758076,217042,1606790,-5934244,6493452.00000001,6493452,-736775.871261824,559208,559208,559208,4.65661287307739e-10,-0.58223,-0.525200000000001,6.68276,0.10858,0,-0.561,-0.561,0.959049999999998,-0.58174,1.18602
"31","2021_Q4",7.5346875,"Up",-4408203,-1428795,-2979408,-4408203,1714,1714,-4406489,-5467281,-5467281,-5467281,-5467281,-5467281,15377781,1375014,14002767,569825,15947606,10562770,64231,12062770,28010376,2053542,2053542,2092474,2118452,101069246,-75321846,25891924,25891924,28010376,-15801542,14683852,-6146892,-7264582,8977873,10358725,-2715621,378522,378522,378522,0,-0.21116,-0.19519,7.62141,0.08182,0,-0.14504,-0.14504,0.68307,-0.21095,3.48845
"32","2022_Q1",4.22532258064516,"Down",-3126196,-2372742,-753454,-3126196,702642,702642,-2423554,-3239724,-3239724,-3239724,-3239724,-3239724,11559038,555967,11003071,1106347,12665385,12147548,149009,12147548,24812933,986626,986626,1069848,1165759,102208742,-78561568,23647174,23647174,24812933,-3239724,-7031,-1565712,-4812467,2998448,2998448,994972,-819047,-819047,-819047,2.91038304567337e-11,-0.137,-0.13057,11.83849,0.0493,-5.55111512312578e-17,-0.45936,-0.45936,3.35293,-0.13645,3.69748
"33","2022_Q2",3.05306451612903,"Down",-4024853,-1395112,-2629741,-4024853,120,120,-4024733,-4122033,-4122033,-4122033,-4122033,-4122033,9188114,1189223,7998891,884121,10072235,12131289,132750,12131289,22203524,2418113,2418113,2466782,2581383,102161218,-82683601,19622141,19622141,22203524,-4122033,101742,1654109,-2366182,2999438,2999438,14888506.6059811,633256,633256,633256,0,-0.21007,-0.18565,4.08315,0.13155,0,-0.58446,-0.58446,2.76173,-0.20885,2.28284
"34","2022_Q3",3.668125,"Up",-3739978,-1346763,-2163970,-3739978,5986,5986,-3733992,-3636044,-3636044,-3636044,-3636044,-3636044,5620999,1115174,4505825,1371407,6992406,12168766,1670227,12168766,19161172,2841535,2841535,3012846,3042828,102437988,-86319645,16118343,16118343,19161171,-56071391.3706013,64852793.6220113,-12602114.1860892,-3822032.66269603,24551420.1569747,30650595.2885143,43297530.8179433,8641288.61741221,8641288.61741221,8641288.61741221,3.63797880709171e-12,-0.22558,-0.18976,2.32086,0.18878,0,-0.09487,-0.09487,0.42057,-0.22517,1.50295
