"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",17.340625,"Up",2676000,-1878000,798000,-736000,-678000,-58000,62000,62000,62000,19000,81000,81000,81000,81000,14708,14708,14708,94514,17814,17814,112328,127036,327,327,17316,17316,17643,19012,19012,19012,36655,5471,95876,-10966,90381,90381,127036,0,0.29821,0.02317,0.03027,0.89621,0.63761,0.83365,0.40556,0,0.0439,0.0439,1.45041,0.04899,0.74045,-0.23723
"12","2013_Q3",18.4696875,"Up",1386000,-1871000,-485000,644000,702000,-58000,159000,159000,159000,-5000.00000000012,154000,154000,154000,154000,13951.9999999981,13952,13952,93238,18706.0000000019,18706.0000000019,111944,125895.999999985,450,450,15699.0000000019,15699.0000000019,16149,19090,19090,19090,35239,5471.00000000047,96030.0000000149,-10844,90657,90657,125895.999999985,0,-0.34993,0.11472,0.11111,1.69871,1.22323,0.86395,0.38871,0,0.08347,0.08347,0.75122,0.049140000000005,1.40323,-0.0877499999999888
"13","2013_Q4",21.4203125,"Up",508000,-662000,-154000,-584000,-526000,-58000,-738000,-738000,-738000,5000,-733000,-733000,-733000,-733000,11654,11654,11654,93739,19367,19367,113106,124760,558,558,14988,14988,15546,19168,19168,19168,34714,5471,95297,-10722,90046,90046,124760,0,-0.30315,-1.45276,-1.44291,-8.14028,-5.87528,0.74965,0.38551,0,-0.39729,-0.39729,0.27534,0.04881,-6.71159,0.01579
"14","2014_Q1",22.2108196721311,"Up",4261000,-3242000,1019000,-3903000,-3845000,-58000,-2884000,-2884000,-2884000,567000,-2317000,-2317000,-2466000,-2466000,13140000,13140000,14012000,90792000,26815000,26815000,117607000,131619000,399000,399000,16668000,16668000,17067000,21612000,21612000,21612000,38679000,5471000,93191000,-6069000,92593000,92940000,131619000,0,0.23915,-0.67684,-0.57874,-0.0265299999999993,-0.0187399999999993,0.821,0.41617,0,-1.33659,-1.33659,2.30949,50.18591,-0.0215300000000012,4.55617
"15","2014_Q2",25.3593650793651,"Up",2522000,-2052000,470000,-741000,-692000,-49000,-271000,-271000,-271000,-9000,-280000,-280000,-291000,-291000,13662000,13662000,14509000,89451000,27253000,27253000,116704000,131213000,382000,382000,16372000,16372000,16754000,21671000,21671000,21671000,38425000,5471000,92863000,-5976000,92358000,92788000,131213000,0,0.18636,-0.10745,-0.11538,-0.00314,-0.00222,0.866,0.41412,0,-0.15772,-0.15772,1.36694,50.05854,-0.00254,50.41328
"16","2014_Q3",28.2109375,"Up",7528000,-7136000,392000,-521000,-473000,-48000,-129000,-129000,-129000,-1000,-130000,-130000,-220000,-220000,18710000,18710000,19557000,83166000,28404000,28404000,111570000,131127000,556000,556000,16044000,16044000,16600000,21730000,21730000,21730000,38330000,5471000,92521000,-5885000,92107000,92797000,131127000,0,0.05207,-0.01714,-0.02922,-0.00237000000000006,-0.00167999999999957,1.17813,0.41305,0,-0.11924,-0.11924,4.08022,49.92249,-0.00191999999999994,145.03876
"17","2014_Q4",24.96390625,"Down",4187000,-4363000,-176000,-373000,-324000,-49000,-549000,-549000,-549000,0,-549000,-549000,-487000,-487000,21368000,21368000,21890000,81005000,28913000,28913000,109918000,131808000,537000,537000,17247000,17247000,17784000,21789000,21789000,21789000,39573000,5471000,91987000,-5792000,91666000,92235000,131808000,0,-0.04203,-0.13112,-0.11631,-0.00528,-0.00369,1.23088,0.42905,0,-0.26396,-0.26396,2.26938,49.68347,-0.00427,38.92168
"18","2015_Q1",27.0655737704918,"Up",4851000,-4275000,576000,-1195000,-1146000,-49000,-619000,-619000,-619000,192000,-427000,-427000,-519000,-519000,23608000,23608000,24300000,77977000,23846000,23846000,101823000,126123000,382000,382000,17289000,17289000,17671000,19643000,19643000,19643000,37314000,5471000,91430000,-8850000,88051000,88809000,126123000,0,0.11874,-0.1276,-0.10699,-0.00584,-0.00412,1.37513,0.42016,0,-0.2813,-0.2813,2.62927,47.72412,-0.00479000000000001,38.13893
"19","2015_Q2",28.1631746031746,"Up",2853000,-2703000,150000,-698000,-648000,-50000,-548000,-548000,-548000,-15000,-563000,-563000,-579000,-579000,24346000,24346000,25141000,76319000,24421000,24421000,100740000,125881000,456000,456000,17192000,17192000,17648000,19751000,19751000,19751000,37399000,5471000,90825000,-8680000,87616000,88482000,125881000,0,0.05258,-0.19208,-0.20294,-0.00654,-0.0046,1.42458,0.42267,0,-0.31382,-0.31382,1.54634,47.48835,-0.00535,44.42701
"20","2015_Q3",26.109375,"Down",1501000,-1690000,-189000,-643000,-593000,-50000,-832000,-832000,-832000,0,-832000,-832000,-747000,-747000,24064000,24064000,24852000,75707000,24521000,24521000,100228000,125080000,645000,645000,16688000,16688000,17333000,19860000,19860000,19860000,37193000,5471000,90074000,-8510000,87035000,87887000,125080000,0,-0.12592,-0.5543,-0.49767,-0.0085,-0.00597,1.4338,0.42319,0,-0.40488,-0.40488,0.81355,47.17344,-0.00693,28.92308
"21","2015_Q4",24.96015625,"Down",1758000,-1427000,331000,-759000,-709000,-50000,-428000,-428000,-428000,0,-428000,-428000,-443000,-443000,23323000,23323000,24285000,75102000,24936000,24936000,100038000,124323000,670000,670000,15986000,15986000,16656000,19968000,19968000,19968000,36624000,5471000,89628000,-8340000,86759000,87699000,124323000,0,0.18828,-0.24346,-0.25199,-0.00505,-0.00356,1.45803,0.41761,0,-0.24011,-0.24011,0.95285,47.02385,-0.00411,54.49299
"22","2016_Q1",32.4111475409836,"Up",730000,-978000,-248000,-962000,-912000,-50000,-1210000,-1210000,-1210000,-768000,-1978000,-1978000,-1753000,-1753000,22112000,22112000,22561000,75214000,21602000,21602000,96816000,119377000,566000,566000,15983000,15983000,16549000,19402000,19402000,19402000,35951000,5471000,87817000,-10450000,82838000,83426000,119377000,0,-0.33973,-1.65753,-2.40137,-0.02101,-0.01468,1.36328,0.43093,0,-0.95014,-0.95014,0.39566,44.89864,-0.01705,18.27438
"23","2016_Q2",32.6115625,"Up",3323000,-3019000,304000,-975000,-912000,-63000,-671000,-671000,-671000,1000,-670000,-670000,-706000,-706000,23318000,23318000,23946000,73078000,21720000,21720000,94798000,118744000,501000,501000,15744000,15744000,16245000,19498000,19498000,19498000,35743000,5471000,87085000,-10301000,82255000,83001000,118744000,0,0.09148,-0.20193,-0.21246,-0.00851,-0.00595,1.47405,0.43063,0,-0.38266,-0.38266,1.80108,44.58266,-0.00689,34.75112
"24","2016_Q3",29.58234375,"Down",1909000,-1703000,206000,-699000,-635000,-64000,-493000,-493000,-493000,0,-493000,-493000,-457000,-457000,22384000,22384000,23175000,72407000,22120000,22120000,94527000,117702000,387000,387000,15006000,15006000,15393000,19593000,19593000,19593000,34986000,5471000,86623000,-10153000,81941000,82716000,117702000,0,0.10791,-0.25825,-0.23939,-0.00552,-0.00388,1.50555,0.42297,0,-0.2477,-0.2477,1.03469,44.41247,-0.00447,45.40365
"25","2016_Q4",28.6569841269841,"Down",2438000,-2357000,81000,-494000,-432000,-62000,-413000,-413000,-413000,0,-413000,-413000,-391000,-391000,22164000,22164000,22955000,71105000,23043000,23043000,94148000,117103000,401000,401000,14501000,14501000,14902000,19688000,19688000,19688000,34590000,5471000,86203000,-10003000,81671000,82513000,117103000,0,0.03322,-0.1694,-0.16038,-0.00474,-0.00334,1.5404,0.41921,0,-0.21192,-0.21192,1.32141,44.26612,-0.00383,53.66586
"26","2017_Q1",30.3970967741935,"Up",723000,-911000,-188000,-1958000,-1899000,-59000,-2146000,-2146000,-22956000,7747000,-15209000,-15209000,-15097000,-15097000,21049000,21049000,21598000,71170000,16419000,16419000,87589000,109187000,382000,382000,15211000,15211000,15593000,17558000,17558000,17558000,33151000,5471000,71094000,-1216000,75349000,76036000,109187000,0,-0.26003,-2.96819,-20.88105,-0.19855,-0.13827,1.38511,0.43599,0,-8.18266,-8.18266,0.39187,40.83957,-0.1613,9.80848000000001
"27","2017_Q2",35.5353968253968,"Up",1253000,-977000,276000,-720000,-671000,-49000,-444000,-444000,-444000,0,-444000,-444000,-458000,-458000,20309000,20309000,21067000,71219000,16545000,16545000,87764000,108831000,416000,416000,15151000,15151000,15567000,17566000,17566000,17566000,33133000,5471000,70655000,-1205000,74921000,75698000,108831000,0,0.22027,-0.35435,-0.36552,-0.00605,-0.00421,1.35331,0.4377,0,-0.24824,-0.24824,0.67913,40.60759,-0.00491,45.74099
"28","2017_Q3",36.2661290322581,"Up",1822000,-1858000,-35999.9999999995,-867000,-818000,-49000,-903000,-903000,-903000,0,-903000,-903000,-848999.999999998,-848999.999999998,20706000,20706000,21574000,70479000,16171000,16171000,86650000,108224000,582000,582000,15174000,15174000,15756000,17574000,17574000,17574000,33330000,5471000,69802000,-1192000,74081000,74894000,108224000,0,-0.0197599999999999,-0.49561,-0.465969999999995,-0.01134,-0.00784,1.36926,0.44503,0,-0.46016,-0.46016,0.98753,40.1523,-0.00918,22.93023
"29","2017_Q4",35.5733870967742,"Down",9700000,-5617000,4083000,-355000,-306000,-49000,3728000,3728000,3728000,0,3728000,3728000,3765000,3765000,29090000,29090000,29755000,66309000,15528000,15528000,81837000,111592000,7e+05,7e+05,14600000,14600000,15300000,17581000,17581000,17581000,32881000,5471000,73560000,-1181000,77850000,78711000,111592000,0,0.42093,0.38433,0.38814,0.04783,0.03374,1.94477,0.41774,0,2.04065,2.04065,5.25745,42.19512,0.0391,-7.80311
"30","2018_Q1",32.1437704918033,"Down",3184000,-3345000,-161000,-1337000,-1284000,-53000,-1498000,-1498000,-1498000,9440000,7942000,7942000,8252000,8252000,30565000,30565000,31157000,64283000,17468000,17468000,81751000,112908000,528000,528000,14885000,14885000,15413000,11007000,11007000,11007000,26420000,5471000,81754000,-1367000,85858000,86488000,112908000,0,-0.0505699999999998,-0.47048,2.59171,0.09541,0.07309,2.02148,0.30548,0,4.47263,4.47263,1.72575,46.5355,0.08464,20.40387
"31","2018_Q2",33.698125,"Up",1820000,-1611000,209000,-961000,-905000,-56000,-752000,-752000,-752000,0,-752000,-752000,-778000,-778000,30912000,30912000,31627000,63495000,17522000,17522000,81017000,112644000,915000,915000,14834000,14834000,15749000,11025000,11025000,11025000,26774000,5471000,80969000,-1315000,85125000,85870000,112644000,0,0.11484,-0.41319,-0.42747,-0.00906,-0.00691,2.00819,0.3118,0,-0.42168,-0.42168,0.98645,46.13821,-0.00803,41.10638
"32","2018_Q3",33.7396825396825,"Up",2526000,-2266000,260000,-562000,-504000,-58000,-302000,-302000,-302000,0,-302000.000000002,-302000.000000002,-475000,-475000,30650000,30650000,31762000,62446000,17662000,17662000,80108000,111870000,485000,485000,14614000,14614000,15099000,11046000,11046000,11046000,26145000,5471000,80466000,-1262000,84675000,85725000,111870000,0,0.10293,-0.11956,-0.18804,-0.00554000000000002,-0.00425,2.10358,0.30499,0,-0.25745,-0.25745,1.36911,45.89431,-0.00490999999999999,101.49007
"33","2018_Q4",33.4875,"Down",650000,-860000,-210000,-546000,-487000,-59000,-756000,-756000,-756000,0,-756000,-756000,-719000,-719000,29602000,29602000,30683000,62443000,17779000,17779000,80222000,110905000,351000,351000,14361000,14361000,14712000,11064000,11064000,11064000,25776000,5471000,79751000,-1210000,84012000,85129000,110905000,0,-0.32308,-1.16308,-1.10615,-0.00845,-0.00648,2.08558,0.30279,0,-0.3897,-0.3897,0.3523,45.53496,-0.00747,39.15608
"34","2019_Q1",33.0293103448276,"Down",1422000,-1915000,-493000,-1450000,-1386000,-64000,-1943000,-1943000,-1943000,762000,-1181000,-1181000,-936000,-936000,28745000,28745000,29408000,61758000,17740000,17740000,79498000,108906000,565000,565000,14625000,14625000,15190000,10162000,10162000,10162000,25352000,5471000,78792000,-1603000,82660000,83554000,108906000,0,-0.34669,-1.36639,-0.65823,-0.0112,-0.00859,1.93601,0.30342,0,-0.50732,-0.50732,0.77073,44.80217,-0.00999,14.79413
"35","2019_Q2",32.8777049180328,"Down",736000,-916000,-180000,-836000,-789000,-47000,-1016000,-1016000,-1016000,0,-1016000,-1016000,-945000,-945000,27762000,27762000,28554000,61760000,17837000,17837000,79597000,108151000,803000,803000,14482000,14482000,15285000,10178000,10178000,10178000,25463000,5471000,77849000,-1557000,81763000,82688000,108151000,0,-0.24457,-1.38043,-1.28397,-0.01143,-0.00874,1.86811,0.30794,0,-0.5122,-0.5122,0.39892,44.31599,-0.01018,27.3248
"36","2019_Q3",32.075873015873,"Down",1957000,-1065000,892000,-973000,-922000,-51000,-81000,-81000,-81000,354000,273000,273000,-60999.9999999999,-60999.9999999999,26653000,26653000,28067000,61924000,17839000,17839000,79763000,107830000,474000,474000,14405000,14405000,14879000,9841000,9841000,9841000,24720000,5471000,77790000,-1512000,81749000,83110000,107830000,0,0.4558,-0.0413899999999998,-0.0311699999999999,-0.00073,-0.000569999999999999,1.88635,0.29744,0,-0.0330600000000001,-0.0330600000000001,1.0607,44.3084,-0.000659999999999999,329.04938
"37","2019_Q4",31.8609375,"Down",770000,-1118000,-348000,-1618000,-1567000,-51000,-1966000,-1966000,-1966000,485000,-1481000,-1481000,-1380000,-1380000,24728000,24728000,26120000,62076000,18098000,18098000,80174000,106294000,836000,836000,14306000,14306000,15142000,9373000,9373000,9373000,24515000,5471000,76412000,-1467000,80416000,81779000,106294000,0,-0.45195,-2.55325,-1.79221,-0.01687,-0.01298,1.725,0.29977,0,-0.74797,-0.74797,0.41734,43.58591,-0.01514,12.57782
"38","2020_Q1",31.4449180327869,"Down",721000,-1372000,-651000,-1338000,-1286000,-52000,-1989000,-1989000,-1989000,343000,-1646000,-1646000,-1241000,-1241000,23183000,23183000,24348000,62198000,19612000,19612000,81810000,106158000,812000,812000,14237000,14237000,15049000,9643000,9643000,9643000,24692000,5471000,75173000,-239000,80405000,81466000,106158000,0,-0.90291,-2.75867,-1.72122,-0.01523,-0.01169,1.61791,0.3031,0,-0.67263,-0.67263,0.39079,43.57995,-0.01362,11.65561
"39","2020_Q2",29.965873015873,"Down",1e+06,-927000,73000,-1101000,-1048000,-53000,-1028000,-1028000,-1028000,252000,-776000,-776000,-718000,-718000,22015000,22015000,23006000,62359000,19453000,19453000,81812000,104818000,592000,592000,14122000,14122000,14714000,9397000,9397000,9397000,24111000,5471000,74455000,-226000,79700000,80707000,104818000,0,0.073,-1.028,-0.718,-0.0089,-0.00685,1.56354,0.29875,0,-0.38916,-0.38916,0.54201,43.19783,-0.00797,21.41537
"40","2020_Q3",27.8515625,"Down",771000,-1078000,-307000,-1179000,-1126000,-53000,-1486000,-1486000,-1486000,351000,-1135000,-1135000,-999000,-999000,20664000,20664000,21580000,62531000,19608000,19608000,82139000,103719000,717000,717000,14260000,14260000,14977000,9050000,9050000,9050000,24027000,5471000,73458000,-214000,78715000,79692000,103719000,0,-0.39818,-1.92737,-1.29572,-0.01254,-0.00963,1.44088,0.3015,0,-0.54146,-0.54146,0.41789,42.66396,-0.01126,13.90579
"41","2020_Q4",25.378125,"Down",534000,-1088000,-554000,-732000,-676000,-56000,-1286000,-1286000,-1286000,251000,-1035000,-1035000,-711000,-711000,18761000,18761000,19637000,62521000,19901000,19901000,82422000,102059000,560000,560000,13920000,13920000,14480000,8803000,8803000,8803000,23283000,5471000,72749000,-203000,78017000,78776000,102059000,0,-1.03745,-2.40824,-1.33146,-0.00903,-0.00697,1.35615,0.29556,0,-0.38537,-0.38537,0.28943,42.28564,-0.00812,14.58865
"42","2021_Q1",24.836393442623,"Down",1048000,-1368000,-320000,-1338000,-1282000,-56000,-1658000,-1658000,-1658000,105000,-1553000,-1553000,-1312000,-1312000,17715000,17715000,18617000,62660000,20871000,20871000,83531000,102148000,742000,742000,13786000,13786000,14528000,9101000,9101000,9101000,23629000,5471000,71440000,946000,77857000,78519000,102148000,0,-0.30534,-1.58206,-1.25191,-0.01671,-0.01284,1.28146,0.30093,0,-0.71111,-0.71111,0.56802,42.19892,-0.01497,10.68456
"43","2021_Q2",20.5093650793651,"Down",810000,-1053000,-243000,-4711000,-4647000,-64000,-4954000,-4954000,-4954000,1250000,-3704000,-3704000,-3557000,-3557000,17735000,17735000,18623000,62738000,19571000,19571000,82309000,100932000,659000,659000,17449000,17449000,18108000,7854000,7854000,7854000,25962000,5471000,67886000,954000,74311000,74970000,100932000,0,-0.3,-6.11605,-4.39136,-0.04745,-0.03524,1.02844,0.3463,0,-1.92791,-1.92791,0.43902,40.27696,-0.04295,3.57994
"44","2021_Q3",21.6984375,"Up",988000,-1118000,-130000,-534000,-466000,-68000,-664000,-664000,-664000,146000,-518000,-518000,-417000,-417000,16764000,16764000,17632000,62843000,19731000,19731000,82574000,100206000,636000,636000,17253000,17253000,17889000,7711000,7711000,7711000,25600000,5471000,67472000,961000,73904000,74606000,100206000,0,-0.13158,-0.67206,-0.422060000000001,-0.00558999999999999,-0.00416,0.98563,0.34314,0,-0.22602,-0.22602,0.5355,40.05637,-0.00507,25.24699
"45","2021_Q4",23.01625,"Up",884000,-1250000,-366000,-658000,-589000,-69000,-1024000,-1024000,-1024000,214000,-810000,-810000,-608000,-608000,16852000,16852000,17730000,62857000,18701000,18701000,81558000,99288000,615000,615000,17209000,17209000,17824000,7500000,7500000,7500000,25324000,5471000,66867000,968000,73306000,73964000,99288000,0,-0.41403,-1.15837,-0.68778,-0.00822,-0.00612,0.99473,0.34238,0,-0.32954,-0.32954,0.47913,39.73225,-0.00746,16.45703
"46","2022_Q1",20.4112903225806,"Down",2071000,-1796000,275000,6411000,6479000,-68000,6686000,6686000,6686000,-1960000,4726000,4726000,4827000,4827000,16997000,16997000,17837000,62091000,27268000,27268000,89359000,107196000,365000,365000,1737000,1737000,2102000,24885000,9927000,24885000,26987000,5471000,71698000,2298000,79467000,80209000,107196000,0,0.13279,3.22839,2.33076,0.06018,0.04503,8.48573,0.33646,0,2.61626,2.61626,1.12249,43.07154,0.04593,-2.54218
"47","2022_Q2",23.5725806451613,"Up",6023000,-4200000,1823000,1341000,1406000,-65000,3164000,3164000,3164000,-846000,2318000,2318000,2407000,2407000,20340000,20340000,21267000,59109000,22765000,22765000,81874000,103141000,521000,521000,9144000,9144000,9665000,10770000,10770000,10770000,20435000,5471000,74090000,2285000,81846000,82706000,103141000,0,0.30267,0.52532,0.39963,0.0291,0.02334,2.20041,0.24708,0,1.30461,1.30461,3.2645,44.36098,0.02575,-6.42857
"48","2022_Q3",23,"Down",1262000,-1084000,178000,-1366000,-1297000,-69000,-1188000,-1188000,-1188000,317000,-871000,-871000,-902000,-902000,21921000,21921000,23099000,59125000,20362000,20362000,79487000,102586000,1029000,1029000,9078000,9078000,10107000,10452000,10452000,10452000,20559000,5471000,73188000,2284000,80943000,82027000,102586000,0,0.14105,-0.94136,-0.71474,-0.011,-0.00879,2.28545,0.25064,0,-0.48889,-0.48889,0.684009999999999,43.87154,-0.00975,18.45202
