"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",206.513387096774,"Up",551187000,-390918000,160269000,-67303000,-37095000,-30208000,92966000,-1223000,-1304000,81000,91743000,91743000,-27920000,63823000,64715000,64715000,64715000,79707000,79707000,307448000,307448000,334721000,40653000,34307000,762529000,353534000,151151000,32423000,14538000,67124000,504685000,1267214000,212571000,116494000,15845000,8580000,71652000,6633000,6633000,225446000,1.38e+08,186481000,186481000,324481000,549927000,404000,804620000,-87737000,717287000,717287000,1267214000,64715000,10829000,11579000,737000,87860000,-8477000,-8477000,-8477000,-3958000,-10064000,-45356000,0,0,0,-55420000,28482000,28482000,1870000,30352000,103795000,144242000,123975000,0.29077,0.16867,0.11741,0.09022,0.05107,1.91571,3.38231,0.76668,0.11383,4.82768,4.82768,41.11802,53.50891,9.24841,0.75076,7,0.07135,0.1183,0.15551,0.62175,0.69418
"12","2013_Q1",220.040333333333,"Up",513322000,-374461000,138861000,-70782000,-39506000,-31276000,68079000,-1588000,-1990000,402000,66491000,66491000,-14252000,52239000,53063000,53063000,53063000,89129000,89129000,297055000,297055000,322674000,26637000,18185000,735495000,358371000,170382000,30542000,12710000,72007000,528753000,1264248000,208383000,119298000,10024000,-1.86264514923096e-09,79061000,8288000,8288000,216671000,424407000,220965000,220965000,645372000,862043000,721000,512173000,-110689000,402205000,402205000,1264248000,53063000,10940000,45671000,-22192000,87482000,-13309000,-13309000,-13309000,-13082000,-345510000,284545000,0,9.31322574615479e-10,-4116000,-65081000,9318999.99999999,9318999.99999999,103000,9421999.99999999,79019000,424407000,57770000,0.27051,0.13262,0.10337,0.13193,0.04197,1.08871,3.39452,2.14329,0.3357,3.95845,3.95845,38.29332,30.0041,4.30959,25.77471,7,0.38047,0.05515,6.51132,4.243,4.92484
"13","2013_Q2",227.409375,"Up",559750000,-391343000,168407000,-71962000,-40941000,-31021000,96445000,-4035000,-4782000,747000,92410000,92410000,-25469000,66941000,67835000,67835000,67835000,64013000,64013000,331155000,331155000,321339000,41707000,34256000,758214000,360594000,162581000,28378000,12800000,67443000,523175000,1281389000,216800000,115675000,25294000,10282000,65549000,5149000,5149000,227142000,425422000,210256000,210256000,635678000,862820000,0,545950000,-127381000,418569000,418569000,1281389000,67835000,11796000,-44472000,-8031000,27128000,-16109000,-16109000,-16109000,-14776000,-11998000,1811000,-22508000,-22508000,-1115000,-33810000,-21458000,-21458000,-3658000,-25116000,108241000,430615000,109570000,0.30086,0.1723,0.12119,0.16206,0.05294,1.61524,3.33806,2.06136,0.33605,5.0714,5.0714,41.84734,31.29254,8.19154,0.89698,4,0.07535,0.10342,0.17687,3.38691,3.80115
"14","2013_Q3",234.52671875,"Up",583779000,-414351000,169428000,-76350000,-39921000,-36429000,93078000,801000,-4573000,5374000,93879000,93879000,-29495000,64384000,64010000,64010000,64010000,73545000,73545000,327670000,327670000,312179000,143224000,33059000,856618000,272531000,147730000,26487000,14411000,53382000,420261000,1276879000,228222000,132184000,14289000,10778000,70971000,9414000,8748000,245422000,364437000,200575000,200575000,565012000,810434000,139000,594301000,-127995000,466445000,466445000,1276879000,64010000,14088000,26206000,-8526000,95778000,-15740000,-15740000,-15740000,-10189000,-11982000,-58407000.0000001,-4290000,-4290000,-30000,-74709000,10880000,10880000,-1348000,9532000,107166000,372223000,112395000,0.29023,0.15944,0.10965,0.13723,0.05013,1.7559,3.49039,1.73747,0.29151,4.81133,4.81133,43.87996,35.06051,8.44821,0.900629999999997,7,0.07312,0.10815,0.18719,2.78706,3.2089
"15","2013_Q4",266.673125,"Up",580455000,-416632000,163823000,-76751000,-40886000,-35865000,87072000,-4872000,-4259000,-613000,82200000,82200000,-25179000,57021000,78896000,78896000,78896000,247265000,247265000,323669000,323669000,312773000,42370000,33538000,926077000,282339000,136822000,24789000,17371000,44612000,419161000,1345238000,250671000,126874000,33377000,10740000,79680000,5275000,5275000,263416000,349452000,193284000,193284000,542736000,806152000,0,647468000,-108382000,539086000,539086000,1345238000,78896000,10042000,345000,-3790000,85493000,-15314000,-15314000,-15314000,123748000,-11934000,-15316000,-14358000,-14358000,0,-41608000,167633000,167633000,6087000,173720000,97114000,356922000,103189000,0.28223,0.15001,0.13592,0.14635,0.05865,1.30791,3.51564,1.49541,0.26532,5.94231,5.94231,43.71884,40.603,7.77201,0.89885,6,0.08338,0.09473,0.15126,1.12916,1.25938
"16","2014_Q1",301.435245901639,"Up",556371000,-404733000,151638000,-76388000,-43130000,-33258000,75250000,-2428000,-4182000,1754000,72822000,72822000,-18821000,54001000,54001000,54001000,54001000,238703000,238703000,309847000,309847000,307518000,41251000,32984000,897319000,285036000,144919000,23319000,55087000,43552000,429955000,1327274000,236539000,134132000,11419000,12996000,77992000,11075000,11075000,247614000,349467000,157745000,157745000,507212000,754826000,-2.91038304567337e-11,632534000,-60086000,572448000,572448000,1327274000,54001000,10218000,12541000,-7225000,69535000,-11313000,-11313000,-11313000,-10319000,-14454000,-3088000,-51039000,-51039000,-1135000,-69716000,-10500000,-10500000,1938000,-8561999.99999997,85468000,349467000,85751000,0.27255,0.13525,0.09706,0.09433,0.04069,1.58795,3.62386,1.31859,0.2633,4.09502,4.09502,42.19087,43.41003,6.50269,1.09608,8,0.0634,0.07942,0.26766,1.29597,1.47195
"17","2014_Q2",328.66873015873,"Up",576422000,-414492000,161930000,-71755000,-39548000,-32207000,90175000,-6380000,-4164000,-2216000,83795000,83795000,-26272000,57523000,57523000,57523000,57523000,146657000,146657000,340407000,340407000,324519000,42212000,37320000,853795000,285788000,143645000,21787000,58254000,42832000,429433000,1283228000,223179000,128083000,16284000,12765000,66047000,7854000,7854000,231033000,355482000,160228000,160228000,515710000,746743000,0,594840000,-58355000,536485000,536485000,1283228000,57523000,10258000,-58198000,-5202000,4381000,-9251000,-9251000,-9251000,-11539000,-14200000,6e+06,-77061000,-77061000,-161000,-85422000,-92580000,-92580000,534000,-92046000,100433000,355482000,112252000,0.28092,0.15644,0.09979,0.10722,0.04483,1.95143,3.69555,1.39192,0.27702,4.4409,4.4409,44.50104,41.41782,8.6661,1.09627,6,0.06817,0.10668,0.24686,2.07925,2.31577
"18","2014_Q3",339.19703125,"Up",620438000,-439692000,180746000,-76280000,-40913000,-35367000,104466000,-6549000,-4346000,-2203000,97917000,97917000,-31153000,66764000,66764000,66764000,66764000,113644000,113644000,347630000,347630000,329383000,42375000,36029000,833032000,290447000,148871000,20338000,61882000,44921000,439318000,1272350000,235035000,137479000,11972000,12578000,73006000,11023000,11023000,246058000,353497000,159298000,159298000,512795000,758853000,0,562304000,-48807000,513497000,513497000,1272350000,66764000,10461000,8115000,-5205000,80135000,-11403000,-11403000,-11403000,-13531000,-13955000,-2e+06,-85806000,-85806000,9999.99999999953,-101751000,-35147000,-35147000,2134000,-33013000,114927000,353497000,129472000,0.29132,0.16837,0.10761,0.13002,0.05247,1.93925,3.38551,1.47781,0.27783,5.24421,5.24421,48.73443,40.33438,10.16982,1.09614,8,0.07865,0.12616,0.20902,2.087,2.29599
"19","2014_Q4",330.82078125,"Down",589667000,-424448000,165219000,-77175000,-41376000,-35799000,88044000,-3783000,-4168000,385000,84261000,84261000,-27348000,56913000,56913000,56913000,56913000,141536000,141536000,327641000,327641000,333596000,41369000,34871000,844142000,297447000,146729000,18538000,65812000,41466000,444176000,1288318000,237484000,128834000,8339000,12446000,87865000,13097000,13097000,250581000,384512000,158708000,158708000,543220000,793801000,0,561449000,-66932000,494517000,494517000,1288318000,56913000,10525000,11616000,-1892000,77162000,-18295000,-18295000,-18295000,-18150000,-13807000,3.1e+07,-46469000,-46469000,4583000,-24693000,34319000,34319000,-6427000,27892000,98569000,384512000,105730000,0.28019,0.14931,0.09652,0.11509,0.04418,1.85775,3.36874,1.6052,0.29846,4.53454,4.53454,46.98167,39.40061,8.42403,1.10007,5,0.06815,0.10189,0.2426,2.46503,2.75971
"20","2015_Q1",388.334262295082,"Up",548878000,-391350000,157528000,-77493000,-41683000,-35810000,80035000,-6909000,-3889000,-3020000,73126000,73126000,-21071000,52055000,52055000,52055000,52055000,103003000,103003000,302803000,302803000,348420000,42965000,35128000,797191000,307859000,126875000,16859000,16082000,45435000,434734000,1231925000,246410000,137688000,6462000,15721000,86539000,13264000,13264000,259674000,363526000,187684000,187684000,551210000,810884000,0,560201000,-139160000,421041000,421041000,1231925000,52055000,10294000,67609000,-56678000,73280000,-20767000,-20767000,-20767000,-23386000,-17438000,-2.1e+07,-39173000,-39173000,-5893000,-83504000,-33610000,-33610000,-4923000,-38533000,90329000,363526000,33955000,0.287,0.14582,0.09484,0.12363,0.04226,0.65229,3.06997,1.9259,0.29509,4.18146,4.18146,44.09013,33.82127,2.72753,1.40076,6,0.07148,0.03492,0.33499,2.88416,3.25511
"21","2015_Q2",397.15253968254,"Up",559566000,-378294000,181272000,-81494000,-41809000,-39685000,99778000,-6141000,-3816000,-2325000,93637000,93637000,-29690000,63947000,63947000,63947000,63947000,119243000,119243000,303334000,303334000,345414000,43360000,37873000,811351000,318570000,127749000,15260000,16693000,45252000,446319000,1257670000,251961000,136325000,21237000,15738000,78661000,5173000,5173000,257134000,373541000,184105000,184105000,557646000,814780000,426000,605931000,-163467000,442890000,442890000,1257670000,63947000,10186000,-10851000,-6730000,56552000,-20424000,-20424000,-20424000,-23295000,-17421000,1e+07,-1042000,-1042000,-3022000,-11485000,21772000,21772000,-5532000,16240000,109964000,373541000,112500000,0.32395,0.17831,0.11428,0.14439,0.05085,1.75927,3.15536,1.83969,0.29701,5.15162,5.15162,45.07903,35.67953,9.06308,1.40345,5,0.08132,0.11244,0.27243,2.31256,2.54864
"22","2015_Q3",350.7675,"Down",560709000,-391001000,169708000,-80773000,-40655000,-40118000,88935000,-1899000,-3582000,1683000,87036000,87036000,-28303000,58733000,58733000,58733000,58733000,126172000,126172000,312433000,312433000,335798000,43042000,36329000,817445000,348258000,125414000,14035000,19355000,42809000,473672000,1291117000,247539000,132204000,9561000,16013000,89761000,5715000,5715000,253254000,361556000,179918000,179918000,541474000,794728000,0,639987000,-143598000,496389000,496389000,1291117000,58733000,10380000,4140000,-6623999.99999999,66629000,-29623000,-29623000,-29623000,-27290000,-17403000,-1.2e+07,-6957999.99999999,-6958000,0,-36361000,2977999.99999999,2977999.99999999,3951000,6929000,99315000,361556000,91371000,0.30267,0.15861,0.10475,0.11832,0.04549,1.5557,3.22777,1.60102,0.28003,4.73386,4.73386,45.19296,40.00879,7.36447,1.40268,5,0.07336,0.08804,0.29631,2.37008,2.6467
"23","2015_Q4",337.29734375,"Down",540933000,-366162000,174771000,-77147000,-38298000,-38849000,97624000,-6938000,-3538000,-3400000,90686000,90686000,-28677000,62009000,62009000,62009000,62009000,110327000,110327000,311087000,311087000,340494000,42133000,35236000,804041000,370431000,114508000,12411000,21009000,43694000,484939000,1288980000,247297000,126266000,11553000,15396000,94082000,10460000,10460000,257757000,507571000,147471000,147471000,655042000,912799000,0,514047000,-137866000,376181000,376181000,1288980000,62009000,10812000,-5948000,-1706000,65167000,-34159000,-34159000,-34159000,-38044000,-16781000,1.46e+08,-172609000,-172609000,3826000,-39564000,-12441000,-12441000,-3404000,-15845000,108436000,507571000,101248000,0.32309,0.18047,0.11463,0.16484,0.04811,1.6328,3.11938,2.42649,0.39378,5.08771,5.08771,44.38243,30.86487,8.30719,1.37685,6,0.0764,0.09818,0.27062,3.6634,4.06912
"24","2016_Q1",320.462295081967,"Down",479622000,-326317000,153305000,-82922000,-43320000,-39602000,70383000,-2771000,-3716000,944999.999999999,67612000,67612000,-13698000,53914000,53914000,53914000,53914000,93424000,93424000,287967000,287967000,351631000,35370000,35370000,768392000,402446000,115411000,10907000,20430000,39345000,517857000,1286249000,258623000,128745000,12773000,17594000,99511000,5057000,5057000,263680000,490920000,144085000,144085000,635005000,898685000,2.91038304567337e-11,532090000,-144526000,387564000,387564000,1286249000,53914000,10887000,45016000,-30138000,79679000,-42293000,-42293000,-42293000,-41094000,-19158000,-1.3e+07,-14315000,-14315000,-1595000,-48068000,-9483000,-9483000,-7420000,-16903000,81270000,490920000,22537000,0.31964,0.14675,0.11241,0.13911,0.04192,0.41802,2.91411,2.3188,0.38167,4.50937,4.50937,40.11559,32.41586,1.88499,1.60238,5,0.07146,0.02204,0.35534,4.89105,5.64761
"25","2016_Q2",353.37796875,"Up",509927000,-334377000,175550000,-80156000,-40940000,-39216000,95394000,-6448000,-4188000,-2260000,88946000,88946000,-27015000,61931000,61931000,61931000,61931000,122256000,122256000,314171000,314171000,302871000,34493000,34493000,773791000,431813000,111836000,9762000,23025000,37891000,543649000,1317440000,234940000,112966000,15678000,17389000,88907000,5165000,5165000,240105000,541124000,145063000,145063000,686187000,926292000,428000,539507000,-148787000,391148000,391148000,1317440000,61931000,10680000,8039000,-6383000,74267000,-28446000,-28446000,-28446000,-32133000,-18959000,4.5e+07,-35815000,-35815000,-3066000,-12840000,29294000,29294000,-462000,28832000,106074000,541124000,98260000,0.34426,0.18707,0.12145,0.15833,0.04701,1.5866,3.22272,2.36814,0.41074,5.2311,5.2311,43.0718,33.03894,8.29969,1.6014,6,0.07508,0.09121,0.30613,3.94883,4.39093
"26","2016_Q3",374.52859375,"Up",521807000,-343407000,178400000,-81108000,-40388000,-40720000,97292000,-5220000,-3954000,-1266000,92072000,92072000,-27683000,64389000,64389000,64389000,64389000,158136000,158136000,303899000,303899000,303475000,31142000,31142000,796652000,445661000,115969000,9242000,26538000,39448000,561630000,1358282000,250987000,135639000,17596000,17449000,80303000,7024000,7024000,258011000,521264000,146793000,146793000,668057000,926068000,1109000,584943000,-153838000,432214000,432214000,1358282000,64389000,10402000,45598000,-6675000,113714000,-35843000,-35843000,-35843000,-37937000,-18958000,-2e+07,0,-7.45058059692383e-09,-7000,-38965000,36812000,36812000,-932000,35880000,107694000,521264000,92859000,0.34189,0.18645,0.1234,0.14897,0.0474,1.44216,3.08767,2.14261,0.38377,5.44608,5.44608,44.13491,36.55705,7.8541,1.60348,6,0.07575,0.0844,0.29443,3.37185,3.73235
"27","2016_Q4",364.414285714286,"Down",516090000,-338689000,177401000,-75563000,-38848000,-36715000,101838000,-3622000,-4320000,698000,98216000,98216000,-26767000,71449000,71449000,71449000,71449000,187908000,187908000,302931000,302931000,328523000,29785000,29785000,849147000,474719000,79519000,8835000,29135000,9465000,554238000,1403385000,256422000,127953000,17388000,17460000,93621000,11671000,11671000,268093000,531404000,126925000,126925000,658329000,926422000,2096000,637438000,-162571000,476963000,476963000,1403385000,71449000,11657000,-10048000,-1549000,71509000,-37417000,-37417000,-37417000,-32123000,-18958000,1e+07,0,0,-6000,-8964000,30422000,30422000,-650000,29772000,113495000,531404000,101296000,0.34374,0.19733,0.13844,0.1498,0.05091,1.41774,3.16736,1.94234,0.37866,6.0422,6.0422,43.64397,40.33514,8.56626,1.60321,8,0.07963,0.08922,0.26534,3.02653,3.37296
