"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",9.02671875,"Down",50435000,-5118000,45317000,-33815000,-25024000,-5433000,-3358000,11502000,-366000,-375000,11136000,-47000,11089000,-4014000,7075000,7075000,7075000,7075000,45649000,43934000,26231000,26231000,5687000,4344000,77567000,12300000,260957000,60693000,198921000,1343000,273257000,350824000,19697000,15736000,82182000,77232000,101879000,3.4e+07,21979000,13674000,8305000,55979000,157858000,300710000,-117329000,23661000,-14076000,192966000,192966000,350824000,7075000,3358000,1663000,9849000,21945000,-2504000,-2504000,-1.2e+07,38000,-14855000,4586000,4586000,-665000,3921000,14860000,3.4e+07,26219000,0.89852,0.22806,0.14028,0.03666,0.02017,3.70587,0.76136,0.81806,0.09691,0.12298,0.1158,0.87669,3.35424,0.45575,0.02842,0.10532,-0.78392,-1.01278
"12","2013_Q3",8.81765625,"Down",52013000,-5636000,46377000,-33627000,-24987000,-5223000,-3417000,12750000,-97000.0000000001,-344000,12653000,-49000,12604000,-4631000,7973000,7973000,7973000,7973000,40599000,40599000,22042000,22042000,4506000,3416000,67147000,13469000,259368000,59045000,198950000,1373000,272837000,339984000,19090000,17900000,78131000,73157000,97221000,2.6e+07,21484000,13026000,8458000,47484000,144705000,303500000,-125504000,31634000,-14351000,195279000,195279000,339984000,7973000,3417000,1880000,-520000.000000002,12750000,-1050000,-1053000,-8e+06,224000,-14642000,-2945000,-2945000,-390000,-3335000,16167000,2.6e+07,19228000,0.89164,0.24513,0.15329,0.04083,0.02345,2.41164,0.69066,0.74102,0.07647,0.13786,0.1309,0.89933,3.37648,0.33246,0.03284,0.0792,-0.90301,-1.14502
"13","2013_Q4",7.66640625,"Down",52616000,-6099000,46517000,-34951000,-25135000,-5597000,-4219000,11566000,-373000,-378000,11193000,-50000,11143000,-4085000,7058000,7058000,7058000,7058000,44697000,44697000,24945000,24945000,4473000,3036000,74115000,14949000,282055000,68197000,212506000,1352000,297004000,371119000,20774000,20774000,75196000,69389000,95970000,6e+07,27177000,14739000,12438000,87177000,183147000,307203000,-147985000,38692000,-9938000,187972000,187972000,371119000,7058000,4219000,1206000,-6394000,6089000,-2412000,-14671000,3.4e+07,1089000,12951000,4369000,4369000,-271000,4098000,15785000,6e+07,11064000,0.88408,0.21982,0.13414,0.03755,0.01902,1.56758,0.77227,0.97433,0.16167,0.12469,0.11865,0.92951,3.32071,0.19546,0.02565,0.04021,0.96946,1.3231
"14","2014_Q1",7.18901639344262,"Down",58418000,-6576000,51842000,-42373000,-29782000,-6184000,-6407000,9469000,-1075000,-779000,8394000,-15935000,-7541000,1681000,-5860000,-5860000,-5860000,-5860000,39351000,39351000,37760000,37760000,7537000,3739000,84648000,18612000,317381000,84905000,230190000,2286000,335993000,420641000,27868000,27468000,83268000,77394000,113636000,116500000,22693000,13641000,9052000,139193000,252829000,309821000,-168727000,32832000,-6114000,167812000,167812000,420641000,-5860000,6407000,12564000,-4530000,8581000,-2395000,-48739000,5.9e+07,-5559000,32985000,-7173000,-7173000,1827000,-5346000,15876000,1.19e+08,7270000,0.88743,0.16209,-0.10031,-0.03492,-0.01393,-1.24061,0.7449,1.50662,0.2829,-0.10868,-0.10388,1.08338,3.11212,0.13482,-0.01893,0.02349,5.01694,8.41155
"15","2014_Q2",7.12047619047619,"Down",60690000,-8854000,51836000,-43915000,-30380000,-6403000,-7132000,7921000,-901000,-893000,7020000,-45000,6975000,-2580000,4395000,4395000,4395000,4395000,18041000,18041000,44082000,44082000,8022000,6273000,70145000,17959000,342242000,94942000,244833000,2467000,360201000,430346000,23013000,21869000,97328000,88161000,122841000,118875000,21011000,15721000,5290000,139886000,262727000,314349000,-176757000,37227000,-7200000,167619000,167619000,430346000,4395000,7132000,1032000,-539000,12020000,-2569000,-29293000,2375000,-1681000,-3664000,-20937000,-20937000,-373000,-21310000,15053000,121375000,14525000,0.85411,0.13052,0.07242,0.02622,0.01021,3.30489,0.57102,1.56741,0.28204,0.08276,0.07937,1.14283,3.15637,0.27351,0.01418,0.04685,6.86468,13.04558
"16","2014_Q3",8.27453125,"Up",66544000,-9531000,57013000,-43980000,-30277000,-6364000,-7339000,13033000,-1184000,-1055000,11849000,-45000,11804000,-4596000,7208000,7208000,7208000,7208000,20050000,20050000,38896000,38896000,7926000,4917000,66872000,17506000,340821000,90809000,247690000,2322000,358327000,425199000,25350000,22634000,95122000,85728000,122972000,114250000,20050000,14626000,5424000,134300000,257272000,317333000,-188023000,44435000,-5818000,167927000,167927000,425199000,7208000,7339000,705000,6093000,21345000,-2377000,-2654000,-4625000,381000,-15113000,3578000,3578000,-1569000,2009000,20372000,116750000,28684000,0.85677,0.19586,0.10832,0.04292,0.01695,3.97947,0.5438,1.53205,0.27458,0.13789,0.13301,1.27296,3.21238,0.54871,0.02365,0.09413,4.74671,7.41963
"17","2014_Q4",9.85609375,"Up",67615000,-9418000,58197000,-44721000,-31506000,-6487000,-6728000,13476000,-919000,-927000,12557000,-44000,12513000,-3020000,9493000,9493000,9493000,9493000,27018000,27018000,40022000,40022000,10280000,4159000,77320000,16290000,332650000,85936000,243198000,2281000,348940000,426260000,28486000,27300000,91056000,81906000,122042000,110625000,21425000,14901000,6524000,132050000,254092000,324629000,-196812000,53928000,-9577000,172168000,172168000,426260000,9493000,6728000,244000,-2186000,14279000,-1838000,-1838000,-3625000,757000,-6576000,5865000,5865000,1103000,6968000,20204000,113125000,19200000,0.86071,0.1993,0.1404,0.05514,0.02227,2.02254,0.63355,1.47584,0.26539,0.18225,0.17545,1.29807,3.30527,0.3686,0.03095,0.0626,4.26188,6.38966
"18","2015_Q1",9.07770491803279,"Down",67766000,-9409000,58357000,-46030000,-33195000,-6833000,-6002000,12327000,-751000,-869000,11576000,-18999.9999999998,11557000,-5041000,6516000,6516000,6516000,6516000,26777000,26777000,49048000,49048000,8737000,4764000,84562000,16066000,323328000,81345000,239256000,2246000,339394000,423956000,26919000,25714000,90327000,86444000,119746000,1.08e+08,18412000,12190000,6222000,126412000,246158000,333759000,-202499000,60444000,-13906000,177798000,177798000,423956000,6516000,6002000,2359000,-6978000,7899000,-1926000,-1926000,-2625000,-3476000,-6060000,-87000,-87000,-154000,-241000,18329000,110500000,14466000,0.86115,0.18191,0.09615,0.03665,0.01537,2.22007,0.70618,1.38448,0.26064,0.12569,0.12074,1.30714,3.42955,0.27903,0.02124,0.04717,4.56779,6.79184
"19","2015_Q2",8.68380952380952,"Down",63770000,-9625000,54145000,-44985000,-31950000,-7089000,-5946000,9160000,-835000,-808000,8325000,0,8325000,-3233000,5092000,5092000,5092000,5092000,27965000,27965000,45970000,45970000,10132000,5348000,84067000,16233000,313287000,76282000,234751000,2005000,329520000,413587000,23305000,21691000,90776000,90771000,117206000,101750000,20840000,14599000,6241000,122590000,239796000,339775000,-213107000,65536000,-18413000,173791000,173791000,413587000,5092000,5946000,2021000,6061000,19120000,-2476000,-2476000,-5625000,-4985000,-16039000,605000,605000,583000,1188000,15106000,104875000,21924000,0.84907,0.14364,0.07985,0.0293,0.01231,4.30558,0.71726,1.3798,0.25357,0.09742,0.09379,1.22008,3.32506,0.41946,0.017,0.0732,5.09135,8.39629
"20","2015_Q3",8.05296875,"Down",65802000,-9865000,55937000,-45421000,-32356000,-7055000,-6010000,10516000,-815000,-833000,9701000,0,9701000,-4023000,5678000,5678000,5678000,5678000,32661000,32661000,40098000,40098000,12579000,3711000,85338000,16001000,314381000,73075000,239185000,1815000,330382000,415720000,25427000,20766000,89067000,86363000,118244000,100500000,20105000,13618000,6487000,120605000,238849000,345156000,-225395000,71214000,-14104000,176871000,176871000,415720000,5678000,6010000,1440000,4741000,17869000,-2452000,-2452000,-625000.000000001,1031000,-10405000,5012000,5012000,-316000,4696000,16526000,104250000,22838000,0.85008,0.15981,0.08629,0.0321,0.01366,4.02219,0.72171,1.35041,0.25077,0.10971,0.1072,1.27146,3.4176,0.44129,0.01885,0.07582,4.3319,6.80763
"21","2015_Q4",8.9146875,"Up",65138000,-9765000,55373000,-44415000,-30737000,-7938000,-5740000,10958000,-824000,-831000,10134000,0,10134000,-3623000,6511000,6511000,6511000,6511000,33911000,33911000,40567000,40567000,12222000,3308000,86700000,15495000,306116000,68675000,235445000,1652000,321611000,408311000,27361000,23042000,84251000,81872000,115987000,97250000,21252000,14703000,6549000,118502000,234489000,349002000,-234826000,77725000,-18079000,173822000,173822000,408311000,6511000,5740000,3969000,-3840000,12380000,-1782000,-1782000,-2625000,574000,-9475000,1123000,1123000,127000,1250000,16698000,101625000,14699000,0.85009,0.16823,0.09996,0.03746,0.01595,2.25756,0.7475,1.34902,0.24889,0.1271,0.12466,1.27153,3.39311,0.28693,0.02194,0.04954,4.05522,6.17941
"22","2016_Q1",8.21704918032787,"Down",65059000,-9892000,55167000,-44628000,-31351000,-7781000,-5496000,10539000,-840000,-817000,9699000,-34818000,-25119000,-3130000,-28249000,-28249000,-28249000,-28249000,34050000,34050000,46380000,46380000,8253000,3072000,88683000,15255000,264997000,65292000,198598000,785000,280252000,368935000,27889000,23883000,85650000,83316000,113539000,99436000,17347000,10849000,6498000,116783000,230322000,353015000,-243410000,49476000,-20468000,138613000,138613000,368935000,-28249000,5496000,36986000,-442999.999999999,13790000,-2368000,-2368000,-625000,-2930000,-11093000,329000,329000,-190000,139000,16035000,99436000,16354000,0.84795,0.16199,-0.43421,-0.2038,-0.07657,-0.57892,0.78108,1.66162,0.26952,-0.56094,-0.6125,1.29188,2.75244,0.32474,-0.11061,0.06403,4.07771,6.20419
"23","2016_Q2",7.17234375,"Down",58286000,-8535000,49751000,-43839000,-31715000,-7060000,-5064000,5912000,-887000,-872000,5025000,-3270000,1755000,-644000,1111000,1111000,1111000,1111000,32454000,32454000,44080000,44080000,5508000,3706000,82042000,15108000,260198000,62756000,196486000,649000,275306000,357348000,23946000,22274000,88839000,88839000,112785000,99517000,17427000,10929000,6498000,116944000,229729000,357831000,-258912000,50587000,-21887000,127619000,127619000,357348000,1111000,5064000,4176000,2389000,12740000,110000,110000,0,-2452000,-15141000,-2291000,-2291000,695000,-1596000,10976000,99517000,14119000,0.85357,0.10143,0.01906,0.00871,0.00311,12.70837,0.72742,1.80012,0.27849,0.02247,0.02202,1.17866,2.58072,0.28551,0.00454,0.05773,6.10997,11.34354
"24","2016_Q3",7.296875,"Up",57673000,-8079000,49594000,-41032000,-30154000,-6245000,-4633000,8562000,-837000,-820000,7725000,-77000,7648000,-2794000,4854000,4854000,4854000,4854000,29461000,29461000,41161000,41161000,5361000,3362000,75983000,15258000,253539000,60647000,191964000,650000,268797000,344780000,23132000,19571000,85940000,85940000,109072000,97598000,17665000,11248000,6417000,115263000,224335000,360607000,-268499000,55441000,-27104000,120445000,120445000,344780000,4854000,4633000,3277000,-579000,12185000,-3187000,-3187000,-2e+06,-68000,-10983000,-1985000,-1985000,-1008000,-2993000,13195000,97598000,12223000,0.85992,0.14846,0.08416,0.0403,0.01408,2.51813,0.69663,1.86255,0.28307,0.09986,0.0985,1.18652,2.47794,0.25147,0.02059,0.05186,5.16385,7.95807
"25","2016_Q4",6.4231746031746,"Down",56073000,-7943000,48130000,-39592000,-29526000,-6018000,-4048000,8538000,-902000,-901000,7636000,-24621000,-16985000,144000,-16841000,-16841000,-16841000,-16841000,29421000,29421000,37863000,37863000,5464000,3810000,72748000,15663000,225374000,49812000,174640000,646000,241037000,313785000,22741000,19979000,82384000,82384000,105125000,90679000,15645000,9096000,6549000,106324000,211449000,364564000,-271503000,38600000,-29325000,102336000,102336000,313785000,-16841000,4048000,24823000,57000,12087000,-2955000,-2955000,-7e+06,-259000,-9170000,-38000,-38000,-2000,-40000,12586000,90679000,9544000,0.85835,0.15227,-0.30034,-0.16457,-0.05367,-0.56671,0.69201,2.06622,0.28898,-0.35292,-0.35292,1.17507,2.14455,0.2,-0.08071,0.04574,4.86715,7.17475
"26","2017_Q1",5.16516129032258,"Down",54938000,-7569000,47369000,-39022000,-29740000,-6391000,-2891000,8347000,-884000,-888000,7463000,0,7463000,-1985000,5478000,5478000,5478000,5478000,22987000,22987000,43148000,43148000,4043000,3312000,70178000,16610000,223307000,49120000,171745000,2136000,239917000,310095000,23687000,20220000,84615000,84615000,108302000,84760000,13150000,7901000,5249000,97910000,206212000,367067000,-274986000,44078000,-32276000,103883000,103883000,310095000,5478000,2891000,1185000,-1569000,7985000,-3238000,-4738000,-6e+06,-89000.0000000001,-9340000,-6093000,-6093000,-341000,-6434000,11238000,84760000,8416000,0.86223,0.15193,0.09971,0.0527300000000001,0.01767,1.53633,0.64798,1.98504,0.27334,0.11533,0.11956,1.15661,2.18706,0.17718,0.02715,0.04171,5.4968,7.40062
"27","2017_Q2",3.29206349206349,"Down",52190000,-7397000,44793000,-40498000,-31178000,-6451000,-2869000,4295000,-806000,-790000,3489000,0,3489000,-2149000,1340000,1340000,1340000,1340000,24665000,24665000,38321000,38321000,5634000,4880000,68620000,18459000,223365000,48561000,172406000,2080000,241824000,310444000,22805000,17877000,89710000,89710000,112515000,76841000,13437000,8129000,5308000,90278000,202793000,370262000,-276078000,45138000,-31671000,107651000,107651000,310444000,1340000,2869000,2805000,7505000,14519000,-4195000,-4195000,-8e+06,-1092000,-8689000,1635000,1635000,43000,1678000,7164000,76841000,12623000,0.85827,0.0823,0.02568,0.01245,0.00432,9.42015,0.60987,1.8838,0.24752,0.02815,0.02784,1.09652,2.26177,0.26521,0.00677,0.06378,7.28308,12.14808
"28","2017_Q3",2.28333333333333,"Down",52400000,-7668000,44732000,-39543000,-29797000,-6356000,-3390000,5189000,-805000,-814000,4384000,-1187000,3197000,-1375000,1822000,1822000,1822000,1822000,23456000,23456000,32335000,32335000,5245000,4508000,61036000,19346000,225226000,48002000,174790000,2073000,244572000,305608000,21529000,19500000,86380000,86380000,107909000,69922000,13970000,8586000,5384000,83892000,191801000,372347000,-276095000,46960000,-29405000,113807000,113807000,305608000,1822000,3390000,2593000,1388000,9193000,-3535000,-3535000,-7e+06,-17000,-7017000,-1359000,-1359000,150000,-1209000,8579000,69922000,7807000,0.85366,0.09903,0.03477,0.01601,0.00596,4.28485,0.56562,1.68532,0.2288,0.038,0.03775,1.09274,2.3733,0.16281,0.00921999999999999,0.03949,5.41625,8.95471
"29","2017_Q4",2.07301587301587,"Down",52424000,-7616000,44808000,-38995000,-29442000,-6423000,-3130000,5813000,-1176000,-1173000,4637000,-3275000,1362000,-304000,1058000,1058000,1058000,1058000,22086000,22086000,33146000,33146000,6623000,4482000,61855000,17119000,227030000,47440000,176641000,2584000,244149000,306004000,21874000,20572000,81823000,81823000,103697000,68402000,15589000,7909000,7680000,83991000,187688000,374032000,-276111000,48018000,-27623000,118316000,118316000,306004000,1058000,3130000,3722000,-4443000,3467000,-2430000,-2930000,-2e+06,-16000,-2016000,-1479000,-1479000,109000,-1370000,8943000,68402000,2374000,0.85472,0.11088,0.02018,0.00894,0.00346,2.24386,0.5965,1.58633,0.22353,0.02203,0.02181,1.09169,2.46384,0.04944,0.00523,0.01173,5.17902,7.96766
"30","2018_Q1",1.76901639344262,"Down",50936000,-7293000,43643000,-39095000,-30840000,-5754000,-2501000,4548000,-681000,-668000,3867000,7482000,11349000,409000,11758000,11758000,11758000,11758000,12068000,12068000,38769000,38769000,7703000,5086000,58540000,16147000,221031000,45737000,170791000,4034000,237178000,295718000,23325000,22196000,83646000,83646000,106971000,41450000,14656000,8245000,6411000,56106000,163077000,376368000,-276173000,59776000,-27330000,132641000,132641000,295718000,11758000,2501000,-4083000,-2946000,7230000,9885000,9885000,-2.7e+07,-58999.9999999999,-27059000,-9944000,-9944000,-74000,-10018000,7049000,41450000,13579000,0.85682,0.08929,0.23084,0.08865,0.03976,1.15487,0.54725,1.22946,0.14017,0.24464,0.24489,1.0598,2.75979,0.28253,0.0623,0.07194,4.16825,6.46042
