"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q2",36.3166666666667,"Up",153727000,-106566000,47161000,-40140000,-40140000,7021000,-9000,-9000,7012000,7012000,-2734000,4278000,4278000,4278000,4278000,52391000,52391000,119820000,23677000,16736000,6941000,195888000,98134000,8826000,293000,106960000,302848000,77452000,42146000,253000,35053000,0,0,77452000,43659000,43659000,43659000,121111000,297726000,-115989000,181737000,181737000,302848000,4278000,4740000,1826000,-11628000,-784000,-10738000,-10738000,0,0,727000,-10795000,-10795000,-10795000,11761000,0,-7871000,0.30678,0.04567,0.02783,0.02354,0.01413,-1.83988,2.52915,0.66641,0,0.07857,0.07818,2.82334,3.33777,-0.14456,0.01898,-0.03492,-4.45464,-7.46204
"12","2015_Q3",36.33625,"Up",182191000,-122365000,59826000,-48269000,-48269000,11557000,-327000,-2000,11230000,11230000,-4169000,7061000,7061000,7061000,7061000,60916000,60916000,123847000,31043000,24349000,6694000,215806000,113196000,10299000,316000,123495000,339301000,99442000,66562000,478000.000000002,32402000,-4.44089209850063e-16,0,99442000,47422000,47422000,47422000,146864000,301365000,-108928000,192437000,192437000,339301000,7061000,5492000,1560000,12925000,27038000,-19163000,-19163000,1.16415321826935e-10,5.82076609134674e-11,650000,8525000,8525000,8525000,17049000,0,14980000,0.32837,0.06343,0.03876,0.03669,0.02081,2.12151,2.17017,0.76318,0,0.12956,0.12888,3.34288,3.53087,0.27486,0.02944,0.06245,-3.573,-5.27092
"13","2015_Q4",32.0315625,"Down",169685000,-116920000,52765000,-45768000,-45768000,6997000,23000,23000,7020000,7020000,-2683000,4337000,4337000,4337000,4337000,18083000,18083000,213635000,35026000,24698000,10328000,266744000,119974000,10667000,318000,130641000,397385000,151048000,110135000,239000,40674000,0,0,151048000,46850000,46850000,46850000,197898000,304078000,-104591000,199487000,199487000,397385000,4337000,5894000,2593000,-40584000,-27760000,-14848000,-14848000,-322000,-322000,-225000,-42833000,-42833000,-42833000,12891000,0,-39858000,0.31096,0.04124,0.02556,0.02174,0.01091,-9.19022,1.76596,0.99203,0,0.07954,0.07909,3.11181,3.65834,-0.73095,0.01761,-0.1618,-1.40276,-2.58439
"14","2016_Q1",36.5413114754098,"Up",326351000,-194169000,132182000,-64816000,-64816000,67366000,28000,28000,67394000,67394000,-25390000,42004000,42004000,42004000,42004000,99416000,53081000,148370000,16959000,15618000,1341000,264745000,119784000,8765000,258000,128549000,393294000,102196000,58225000,11942000,32029000,-5.55111512312578e-17,-2.77555756156289e-17,102196000,46617000,46617000,46617000,148813000,307068000,-62587000,244481000,244481000,393294000,42004000,6101000,4626000,36688000,89419000,-8310000,-54645000,912000,-4.65661287307739e-10,224000,34998000,34998000,34998000,73467000,-9.09494701772928e-13,127235000,0.40503,0.20642,0.12871,0.17181,0.1068,3.02912,2.59056,0.60869,3.3881317890172e-21,0.76965,0.76598,5.97984,4.47971,2.33137,0.1443,0.43709,-1.35321,-1.47576
"15","2016_Q2",41.8,"Up",192715000,-132448000,60267000,-49515000,-49515000,10752000,74000,74000,10826000,10826000,-4068000,6758000,6758000,6758000,6758000,81625000,25774000,156300000,26031000,21620000,4411000,263956000,123765000,8998000,278000,132763000,396719000,93035000,57784000,802000,34449000,0,0,93035000,49367000,49367000,49367000,142402000,310146000,-55829000,254317000,254317000,396719000,6758000,6125000,2697000,-26030000,-10450000,-7536000,-2016000,-16335000,-16335000,-14841000,-27307000,-27307000,-27307000,16877000,0,-12621000,0.31273,0.05579,0.03507,0.02657,0.01703,-1.86756,2.83717,0.55994,0,0.12359,0.12295,3.52431,4.65087,-0.23081,0.02225,-0.04156,-4.83646,-7.59161
"16","2016_Q3",46.27703125,"Up",220130000,-146780000,73350000,-57636000,-57636000,15714000,73000,73000,15787000,15787000,-5940000,9847000.00000001,9847000.00000001,9847000.00000001,9847000,96042000,67109000,154809000,28084000,24907000,3177000,278935000,132500000,9633000,795000,142133000,421068000,100105000,59565000,670000.000000002,39870000,0,-4.44089209850063e-16,100105000,51266000,51266000,51266000,151371000,315679000,-45982000,269697000,269697000,421068000,9846999.99999999,6555000,3014000,7425000.00000001,26841000,-14836000,32677000,-21104000,-21104000,-18183000,41335000,41335000,41335000,22269000,5.6843418860808e-14,20798000,0.33321,0.07139,0.04473,0.03651,0.02339,2.11212,2.78642,0.56126,0,0.1797,0.17878,4.01728,4.92186,0.37955,0.03068,0.0648,-4.31281,-6.11187
"17","2016_Q4",39.3628571428571,"Down",199475000,-135472000,64003000,-55372000,-55372000,8631000,64000,64000,8695000,8695000,-3248000,5447000,5447000,5447000,5447000,63449000,53537000,228175000,38989000,33200000,5789000,330613000,135939000,10357000,1312000,146296000,476909000,145538000,104684000,126000,40728000,0,0,145538000,53220000,53220000,53220000,198758000,318686000,-40535000,278151000,278151000,476909000,5447000,6769000,2818000,-34295000,-19261000,-13342000,5904000,-236000,-236000,-215000,-13572000,-13572000,-13572000,15400000,0,-28989000,0.32086,0.04327,0.02731,0.01958,0.01142,-5.32201,2.27166,0.71457,0,0.09927,0.09873,3.63533,5.06916,-0.52831,0.01644,-0.08748,-4.12006,-7.35129
"18","2017_Q1",39.7425806451613,"Up",388090000,-228673000,159417000,-80552000,-80552000,78865000,88000,88000,78953000,78953000,-29165000,49788000,49788000,49788000,49788000,153879000,76088000,154448000,31462000,29910000,1552000,339789000,138376000,11857000,818000,160747000,500536000,116563000,51178000,23939000,41446000,7.105427357601e-15,0,116563000,52568000,52568000,52568000,169131000,322152000,9253000,331405000,331405000,500536000,49788000,7182000,1001000,51521000,109492000,-9080000,-123329000,39061000,35771000,36388000,22551000,22551000,22551000,86047000,0,157653000,0.41077,0.20321,0.12829,0.15023,0.09947,3.16649,2.91507,0.51035,0,0.90467,0.90029,7.05179,6.02179,2.86463,0.12967,0.41058,-1.78831,-1.95117
"19","2017_Q2",49.2353968253968,"Up",232881000,-159095000,73786000,-61004000,-61004000,12782000,309000,309000,13091000,13091000,-4700000,8391000,8391000,8391000,8391000,179012000,65237000,180002000,30571000,29328000,1243000,389585000,148561000,12114000,1628000,167344000,556929000,154980000,77987000,27653000,49340000,0,0,154980000,57763000,57763000,57763000,212743000,326542000,17644000,344186000,344186000,556929000,8391000,7290000,4600000,13452000,33733000,-12820000,-7464000,-38261000,-38261000,-37120000,-10851000,-10851000,-10851000,20072000,0,25404000,0.31684,0.05489,0.03603,0.02438,0.01507,3.02753,2.51378,0.6181,0,0.15248,0.15172,4.23184,6.25444,0.46163,0.02088,0.0632,-8.91849,-14.00501
"20","2017_Q3",48.9534920634921,"Down",283320000,-184814000,98506000,-72205000,-72205000,26301000,259000,259000,26560000,26560000,-9756000,16804000,16804000,16804000,16804000,167480000,74759000,184517000,38574000,34876000,3698000,390571000,159717000,11291000,1638000,171008000,561579000,133473000,76880000,3271000,53322000,-1.13686837721616e-13,1.13686837721616e-13,133473000,61591000,61591000,61591000,195064000,332067000,34448000,366515000,366515000,561579000,16804000,8189000,4844000,-32468000,-2631000,-17129000,45902000,-35453000,-35588000,-33749000,9522000,9522000,9522000,34490000,-2.22044604925031e-16,-5350999.99999999,0.34768,0.09283,0.05931,0.04585,0.02992,-0.31844,2.92622,0.53221,0,0.3047,0.30267,5.13725,6.64577,-0.0970300000000002,0.03925,-0.0125,-4.8559,-6.36782
"21","2017_Q4",60.0525396825397,"Up",257175000,-173544000,83631000,-68818000,-68818000,14813000,334000,334000,15147000,15147000,-5268000,9879000,9879000,9879000,9879000,111595000,54917000,271685000,46785000,41894000,4891000,430065000,177903000,12171000,1659000,213251000,643316000,194166000,124187000,55000,69924000,0,0,194166000,67839000,67839000,67839000,262005000,336984000,44327000,381311000,381311000,643316000,9879000,8714000,3127000,-35795000,-14075000,-19569000,44899000,-51620000,-51620000,-50666000,-19842000,-19842000,-19842000,23527000,0,-26569000,0.32519,0.0576,0.03841,0.02591,0.01536,-2.68944,2.21493,0.68712,0,0.17892,0.17765,4.65763,6.90583,-0.48118,0.02199,-0.05915,-4.74327,-7.53359
"22","2018_Q1",67.3745901639344,"Up",504832000,-297342000,207490000,-103995000,-103995000,103495000,556000,556000,104051000,104051000,-36674000,67377000,67377000,67377000,67377000,244627000,112669000,187037000,47698000,45434000,2264000,479362000,180349000,8295000,1619000,216346000,695708000,164460000,73033000,25275000,66152000,0,0,164460000,72690000,72690000,72690000,237150000,346854000,111704000,458558000,458558000,695708000,67377000,9048000,8303000,65626000,150354000,-18277000,-222487000,133433000,123965000,129885000,57752000,57752000,57752000,112543000,0,196566000,0.41101,0.20501,0.13346,0.14693,0.09685,2.91741,2.91476,0.51716,0,1.21539,1.20717,9.10652,8.27179,3.5458,0.12683,0.37001,-2.17363,-2.36366
"23","2018_Q2",80.30359375,"Up",296322000,-199084000,97238000,-72532000,-72532000,24706000,1079000,1079000,25785000,25785000,-3981000,21804000,21804000,21804000,21804000,274203000,84399000,215376000,39546000,37378000,2168000,529125000,195885000,7100000,1645000,205915000,735040000,180663000,95081000,28146000,57436000,0,0,180663000,76459000,76459000,76459000,257122000,343924000,133994000,477918000,477918000,735040000,21804000,9304000,3990000,-2097000,33001000,-22513000,-6336000,-56159000,-56159000,-54935000,-28270000,-28270000,-28270000,34010000,0,13381000,0.32815,0.08338,0.07358,0.04562,0.02966,0.61369,2.9288,0.538,0,0.39226,0.38934,5.33087,8.59781,0.24073,0.03933,0.02414,-8.06242,-11.09864
"24","2018_Q3",111.278095238095,"Up",347734000,-225982000,121752000,-91330000,-91330000,30422000,983000,983000,31405000,31405000,-6342000,25063000,25063000,25063000,25063000,264697000,133256000,228109000,57568000,50210000,7358000,550374000,214923000,5636000,1687000,221963000,772337000,184740000,103891000,407000,80442000,1.45519152283669e-11,1.45519152283669e-11,184740000,79639000,79639000,79639000,264379000,348901000,159057000,507958000,507958000,772337000,25063000,10063000,4937000,-28675000,11388000,-24009000,46198000,-10872000,-11040000,-8729000.00000003,48857000,48857000,48857000,40485000,0,-5857000,0.35013,0.08749,0.07208,0.04934,0.03245,-0.23369,2.97918,0.52047,-6.46234853557053e-27,0.44972,0.44602,6.23955,9.11452,-0.10509,0.04265,-0.00996999999999997,-6.53815,-8.70084
"25","2018_Q4",110.507936507937,"Down",312823000,-210733000,102090000,-86542000,-86542000,15548000,1058000,1058000,16606000,16606000,-3090000,13516000,13516000,13516000,13516000,188291000,103262000,339898000,70943000,59500000,11443000,599132000,245631000,4973000,1730000,250604000,849736000,239425000,155986000,281000,83158000,0,0,239425000,85240000,85240000,85240000,324665000,352498000,172573000,525071000,525071000,849736000,13516000,10900000,3846000,-71032000,-42770000,-35505000,44117000,-31993000,-31993000,-31341000,-29994000,-29994000,-29994000,26448000,0,-76999000,0.32635,0.0497,0.04321,0.02574,0.01591,-5.69688,2.50238,0.61833,0,0.24247,0.24038,5.61189,9.41952,-1.38133,0.02215,-0.12616,-7.11929,-12.1103
"26","2019_Q1",121.087049180328,"Up",602684000,-358679000,244005000,-127497000,-127497000,116508000,1503000,1503000,118011000,118011000,-28749000,89262000,89262000,89262000,89262000,337160000,251748000,243636000,61461000,60124000,1337000,642257000,301297000,8710000.00000003,2583999.99999997,310007000,952264000,253105000,103692000,20626000,128787000,-2.3283064365387e-10,2.3283064365387e-10,253105000,84065000,84065000,84065000,337170000,353259000,261835000,615094000,615094000,952264000,89262000,11184000,-161000,82229000,182514000,-31693000,-123451000,101432000,97205000,89423000,148486000,148486000,148486000,127692000,0,206977000,0.40486,0.19332,0.14811,0.14512,0.09374,2.31876,2.53751,0.54816,-4.03896783473158e-28,1.59417,1.58094,10.76363,10.98527,3.6965,0.12767,0.29604,-2.64042,-2.89388
"27","2019_Q2",131.613015873016,"Up",364762000,-244777000,119985000,-95516000,-95516000,24469000,1687000,1687000,26156000,26156000,-494000,25662000,25662000,25662000,25662000,288653000,220778000,268437000,48684000,47167000,1517000,605774000,319221000,667281000,662485000,986502000,1592276000,320875000,112460000,19263000,189152000,0,0,320875000,635402000,635402000,635402000,956277000,348502000,287497000,635999000,635999000,1592276000,25662000,11861000,4203000,-20896000,20830000,-61713000,-44176000,-7624000,-9873000,-7624000,-30970000,-30970000,-30970000,36330000,0,-45785000,0.32894,0.06708,0.07035,0.04035,0.01612,-1.78416,1.88788,1.50358,0,0.45908,0.45606,6.52534,11.37758,-0.81906,0.02018,-0.03601,-7.94531,-11.79668
"28","2019_Q3",121.44546875,"Down",417400000,-271229000,146171000,-110142000,-110142000,36029000,1512000,1512000,37541000,37541000,-8710000,28831000,28831000,28831000,28831000,269125000,178800000,272689000,63289000,52436000,10853000,605103000,337193000,716079000,713155000,1054315000,1659418000,305861000,108667000,593000,196601000,-3.72529029846191e-09,0,305861000,701621000,701621000,701621000,1007482000,335608000,316328000,651936000,651936000,1659418000,28831000,13598000,4927000,-21142000,26214000,-38426000,-61919000,-6272999.99999999,-7153000.00000003,-6273000,-41978000,-41978000,-41978000,49627000,0,-1231000,0.35019,0.08632,0.06907,0.04422,0.01737,-0.0426999999999991,1.97836,1.54537,-2.52435489670724e-29,0.5152,0.51205,7.45873,11.64976,-0.0219999999999995,0.0213,-0.000909999999999953,-5.42296,-7.46968
"29","2019_Q4",125.26484375,"Up",377438000,-258756000,118682000,-105997000,-105997000,12685000,753000,753000,13438000,13438000,-3249000,10189000,10189000,10189000,10189000,131568000,77496000,419340000,75062000,58666000,16396000,625970000,400129000,807652000,805369000,1207781000,1833751000,291969000,188061000,831000,103077000,105834000,105834000,397803000,790557000,790557000,790557000,1188360000,318874000,326517000,645391000,645391000,1833751000,10189000,14435000,4234000,-74047000,-45189000,-56211000,-26217000,-19607000,-19859000,-29898000,-101304000,-101304000,-101304000,27120000,0,-99889000,0.31444,0.03361,0.027,0.01579,0.00556,-9.80361,1.57357,1.8413,0,0.18291,0.18177,6.77554,11.58567,-1.79315,0.0071,-0.06956,-4.85133,-10.37194
"30","2020_Q1",101.76,"Down",687130000,-398002000,289128000,-145027000,-145027000,144101000,333000,333000,144434000,144434000,-34060000,110374000,110374000,110374000,110374000,261719000,202490000,324028000,79966000,75903000,4063000,665713000,439086000,853862000,853862000,1292948000,1958661000,240875000,130242000,9505000,101128000,110470000,110470000,351345000,847538000,838822000,847538000,1198883000,322887000,436891000,759778000,759778000,1958661000,110374000,15085000,13978000,45737000,185174000,-55947000,-61268000,-2946000,0,1088000,124994000,124994000,124994000,159186000,0,183036000,0.42078,0.20971,0.16063,0.14527,0.05635,1.65833,1.89476,1.57794,1.57772181044202e-30,1.9806,1.96961,12.33016,13.63379,3.28448,0.06867,0.11388,-1.64411,-1.81622
"31","2020_Q2",93.7534920634921,"Down",200899000,-180438000,20461000,-92657000,-92657000,-72196000,143000,143000,-72053000,-72053000,21471000,-50582000,-50582000,-50582000,-50582000,138980000,69760000,367516000,66534000,54560000,11974000,573030000,475646000,884049000,879658000,1359695000,1932725000,237119000,137480000,9050000,90589000,126668000,126668000,363787000,879173000,879173000,879173000,1242960000,303456000,386309000,689765000,689765000,1932725000,-50582000,16188000,-16408000,-14451000,-65253000,-40028000,-50019000,-12596000,-12663000,-17458000,-132730000,-132730000,-132730000,-56008000,0,-131958000,0.10185,-0.35936,-0.25178,-0.07333,-0.02617,2.60879,1.57518,1.80201,0,-0.90774,-0.90774,3.60531,12.37845,-2.3681,-0.03224,-0.08411,2.48143,1.92504
"32","2020_Q3",113.8109375,"Up",426110000,-286271000,139839000,-106697000,-106697000,33142000,-5e+05,-5e+05,32642000,32642000,-3060999.99999999,29581000,29581000,29581000,29581000,202008000,160338000,294057000,74461000,58965000,15496000,570526000,505299000,924422000,924422000,1429721000,2000247000,231256000,121372000,775000.000000001,109109000,134937000,134937000,366193000,910099000,910094000,910099000,1276292000,308065000,415890000,723955000,723955000,2000247000,29581000,17012000,7942000,72180000,126715000,-60624000,-38074000,161999.999999998,-3.72529029846191e-09,1937000,90578000,90578000,90578000,50154000,0,64771000,0.32818,0.07778,0.06942,0.04086,0.01479,2.18961,1.55799,1.76294,0,0.52856,0.52856,7.61376,12.93567,1.15733,0.0181,0.03964,-4.02775,-6.09523
"33","2020_Q4",148.08578125,"Up",476614000,-325514000,151100000,-126851000,-126851000,24249000,-660000,-660000,23589000,23589000,-3164000,20425000,20425000,20425000,20425000,213794000,117045000,430200000,68284000,50194000,18090000,712278000,522214000,941004000,941004000,1463218000,2175496000,360331000,237647000,1031000,121653000,136513000,136513000,496844000,929110000,924702000,929110000,1425954000,313227000,436315000,749542000,749542000,2175496000,20425000,17719000,9383000,12317000,59844000,-48618000,-103697000,0,0,560000,-43293000,-43293000,-43293000,41968000,0,8831000,0.31703,0.05088,0.04285,0.02725,0.00939,0.43236,1.4336,1.90243,0,0.36264,0.36264,8.4621,13.30783,0.15679,0.01217,0.00526,-5.09421,-8.81661
"34","2021_Q1",188.448852459016,"Up",858514000,-517584000,340930000,-171322000,-171322000,169608000,-719000,-719000,168889000,168889000,-44952000,123937000,123937000,123937000,123937000,409711000,268783000,281267000,64435000,58085000,6350000,755413000,565351000,994006000,994006000,1559357000,2314770000,292596000,138622000,2025000,151949000,143074000,143074000,435670000,997214000,968303000,997214000,1432884000,321634000,560252000,881886000,881886000,2314770000,123937000,18426000,31401000,70896000,244660000,-50919000,-95099000,248000,0,2177000,151738000,151738000,151738000,188034000,-3.30872245021211e-24,252963000,0.39712,0.19756,0.14436,0.14054,0.05354,2.04106,1.73391,1.6248,0,2.24305,2.20419,15.53764,15.96064,4.5782,0.06596,0.13462,-2.17892,-2.41563
