"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",0.15984375,"Down",2125000,-1339000,786000,-1148000,-1085000,-63000,-362000,-61000,-61000,0,-423000,-423000,-1000,-424000,-424000,-424000,-424000,1000,1000,907000,907000,2478000,159000,159000,3545000,1175000,438000,415000,1613000,5158000,1103000,698000,405000,1348000,1176000,1176000,3627000,269000,269000,269000,3896000,0,20031000,-18769000,1262000,1262000,5158000,-424000,29000,128000,-473000,-740000,855000,663000,-88000,-88000,-88000,-333000,1348000,0.36988,-0.17035,-0.19953,-0.33597,-0.0822,0.97739,3.08716,0.26134,-0.01913,-0.01913,0.09587,0.05693,-0.14727,-4.04505,-3.72099
"12","2013_Q3",0.1434375,"Down",2380000,-1411000,969000,-1180000,-1065000,-115000,-211000,-82000,-82000,0,-293000,-293000,-1000,-294000,-294000,-294000,-294000,55000,55000,1054000,1054000,2481000,103000,103000,3693000,1190000,383000,360000,1573000,5266000,1102000,648000,454000,1318000,1583000,1583000,4003000,270000,270000,270000,4273000,0,20055000,-19062000,993000,993000,5266000,-294000,30000,142000,-147000,-269000,407000,369000,54000,54000,54000,-181000,1318000,0.40714,-0.08866,-0.12353,-0.29607,-0.05583,0.92256,4.30312,0.25028,-0.01333,-0.01333,0.10792,0.04503,-0.11391,-6.9779,-5.98578
"13","2013_Q4",0.13484375,"Down",2257000,-1351000,906000,-1193000,-878000,-315000,-287000,68000,-82000,150000,-219000,-219000,4000,-215000,-215000,-215000,-215000,63000,63000,952000,952000,2176000,63000,63000,3254000,1135000,136000,109000,1271000,4525000,1307000,762000,545000,1288000,863000,863000,3458000,271000,271000,271000,3729000,0,20073000,-19277000,796000,796000,4525000,-215000,28000,78000,613000,504000,-503000,-520000,8000,8000,8000,-259000,1288000,0.40142,-0.12716,-0.09526,-0.2701,-0.04751,0.94101,4.68467,0.28464,-0.0097,-0.0097,0.10182,0.03591,-0.0913,-4.72973,-4.26829
"14","2014_Q1",0.126885245901639,"Down",2132000,-1221000,911000,-1182000,-1030000,-152000,-271000,420000,-83000,503000,149000,149000,-4000,145000,145000,145000,145000,646000,646000,875000,875000,2071000,147000,96000,3739000,1090000,137000,94000,1227000,4966000,1144000,597000,547000,1226000,987000,987000,3357000,271000,271000,271000,3628000,0,20470000,-19132000,1338000,1338000,4966000,145000,29000,310000,30000.0000000001,514000,213000,70000.0000000001,583000,583000,583000,-242000,1226000,0.4273,-0.12711,0.06801,0.10837,0.0292,1.11379,2.71151,0.24688,0.00639,0.00639,0.09393,0.05895,0.05115,-2.39669,-2.14022
"15","2014_Q2",0.121587301587302,"Down",2043000,-1166000,877000,-815000,-769000,-46000,62000,-52000,-63000,11000,10000,10000,-1000,9000,9000,9000,9000,521000,521000,909000,909000,1966000,196000,124000,3592000,1062000,89000,45000,1151000,4743000,1140000,633000,507000,1136000,814000,814000,3090000,272000,272000,272000,3362000,0,20504000,-19123000,1381000,1381000,4743000,9000,28000,76000,74000,187000,-311000,-311000,-125000,-125000,-125000,90000,1136000,0.42927,0.03035,0.00441,0.00652,0.0019,1.16246,2.43447,0.23951,0.00039,0.00039,0.08818,0.05961,0.00323,6.83333,9.91935
"16","2014_Q3",0.12015625,"Down",1811000,-1020000,791000,-768000,-723000,-45000,23000,-64000,-63000,-1000.00000000006,-41000,-41000,0,-41000,-41000,-41000,-41000,447000,447000,742000,742000,1929000,151000,95000,3269000,1040000,81000,34000,1121000,4390000,936000,462000,474000,886000,769000,769000,2591000,192000,192000,449000,3040000,0,20514000,-19164000,1350000,1350000,4390000,-41000,30000,99000,-62000,26000,-89000.0000000001,-89000.0000000001,-74000,-74000,-74000,53000,1143000,0.43678,0.0127,-0.02264,-0.03037,-0.00934,1.26168,2.25185,0.26036,-0.00177,-0.00178,0.07817,0.05827,-0.01527,13.13208,30.26087
"17","2014_Q4",0.12140625,"Up",1750000,-1027000,723000,-847000,-755000,-92000,-124000,-55000,-61000,6000,-179000,-220000,0,-220000,-220000,-220000,-220000,433000,433000,782000,782000,1852000,218000,168000,3285000,976000,77000,24000,1053000,4338000,992000,510000,482000,855000,854000,854000,2701000,192000,192000,439000,3140000,0,20582000,-19384000,1198000,1198000,4338000,-220000,27000,130000,54000,-9000,12000,5000,-14000,-14000,-14000,-97000,1102000,0.41314,-0.07086,-0.12571,-0.18364,-0.05071,1.21622,2.62104,0.25403,-0.00937,-0.00937,0.07456,0.05104,-0.08828,-6.89691,-5.39516
"18","2015_Q1",0.127213114754098,"Up",1681000,-1010000,671000,-849000,-804000,-45000,-178000,-59000,-57000,-2000,-237000,-237000,-1000,-238000,-238000,-238000,-238000,352000,352000,814000,814000,1722000,128000,85000,3016000,983000,79000,14000,1062000,4078000,866000,410000,456000,858000,979000,979000,2703000,192000,192000,405000,3108000,0,20592000,-19622000,970000,970000,4078000,-238000,26000,160000,-54000,-106000,68000,68000,-81000,-81000,-81000,-152000,1071000,0.39917,-0.10589,-0.14158,-0.24536,-0.05836,1.1158,3.20412,0.26263,-0.01011,-0.01011,0.07141,0.0412,-0.10658,-4.73026,-4.03933000000001
"19","2015_Q2",0.119047619047619,"Down",1502000,-802000,7e+05,-753000,-724000,-29000,-53000,8000,-64000,72000,-45000,-45000,0,-45000,-45000,-45000,-45000,487000,487000,648000,648000,1812000,160000,103000,3107000,957000,187000,120000,1144000,4251000,9e+05,423000,477000,32000,945000,945000,1877000,192000,192000,1148000,3025000,0,20893000,-19667000,1226000,1226000,4251000,-45000,25000,75000,122000,177000,71000,-40000,135000,135000,135000,-28000,988000,0.46605,-0.03529,-0.02996,-0.0367,-0.01059,1.6553,2.46737,0.23242,-0.00183,-0.00183,0.06108,0.04986,-0.0187,-17.89286,-9.45283
"20","2015_Q3",0.1296875,"Up",1693000,-919000,774000,-861000,-810000,-51000,-87000,4000.00000000001,-71000,75000,-83000,-83000,-2.27373675443232e-13,-83000,-83000,-83000,-83000,433000,433000,859000,859000,1824000,96000,96000,3212000,942000,275000,207000,1217000,4429000,1016000,508000,508000,75000.0000000001,1072000,1072000,2163000,192000,192000,1115000,3278000,0,20901000,-19750000,1151000,1151000,4429000,-83000,20000,153000,-176000,-86000,56000,37000,-54000,-54000,-54000,-67000,998000,0.45718,-0.05139,-0.04903,-0.07211,-0.01874,1.48497,2.84796,0.22533,-0.00302,-0.00302,0.06162,0.04189,-0.03545,-8.43284,-6.49425
"21","2015_Q4",0.13046875,"Up",1590000,-822000,768000,-708000,-663000,-45000,60000,-60000,-60000,0,0,0,0,0,0,0,0,224000,224000,802000,802000,1848000,80000,80000,2954000,923000,339000,270000,1262000,4216000,927000,429000,498000,75000,931000,931000,1933000,192000,192000,1126000,3059000,0,20909000,-19752000,1157000,1157000,4216000,-2000,25000,48000,-57000,14000,-141000,-216000,-209000,-209000,-209000,85000,1009000,0.48302,0.03774,0,0,0,1.52819,2.64391,0.23933,0,0,0.06462,0.04702,0,9.23529,13.08333
"22","2016_Q1",0.114754098360656,"Down",1532000,-919000,613000,-546000,-523000,-23000,67000,-270000,-225000,-45000,-203000,-203000,-2000,-205000,-205000,-205000,-205000,158000,158000,672000,672000,1746000,40000,40000,2616000,910000,160000,93000,1070000,3686000,877000,373000,504000,75000,777000,777000,1729000,162000,162000,996000,2725000,0,20916000,-19955000,961000,961000,3686000,-203000,21000,133000,174000,125000,-239000,-184000,-66000,-66000,-66000,88000,909000,0.40013,0.04373,-0.13381,-0.21332,-0.05562,1.51301,2.83559,0.24661,-0.00787,-0.00787,0.05884,0.03691,-0.10089,8.53409,11.20896
"23","2016_Q2",0.12703125,"Up",1470000,-840000,630000,-711000,-657000,-54000,-81000,83000,-67000,150000,2000,2000,-1000,1000,1000,1000,1000,97000,97000,789000,789000,1621000,90000,90000,2597000,887000,154000,85000,1041000,3638000,972000,470000,502000,75000,621000,621000,1668000,162000,162000,845000,2513000,0,21079000,-19954000,1125000,1125000,3638000,1000,23000,67000,80000,171000,-231000,-231000,-63000,-63000,-63000,-58000,758000,0.42857,-0.0551,0.00068,0.00089,0.00027,1.55695,2.23378,0.20836,4e-05,4e-05,0.05524,0.04228,0.00049,-11.39655,-8.16049
"24","2016_Q3",0.13359375,"Up",1505000,-796000,709000,-687000,-632000,-55000,22000,-66000.0000000001,-71000,5000,-44000,-44000,0,-44000,-44000,-44000,-44000,178000,178000,720000,720000,1610000,63000,63000,2571000,866000,155000,84000,1021000,3592000,858000,376000,482000,75000,693000,693000,1626000,162000,162000,868000,2494000,0,21097000,-19999000,1098000,1098000,3592000,-44000,23000,70000,-35000,14000,72000,72000,83000,83000,83000,45000,781000,0.4711,0.01462,-0.02924,-0.04007,-0.01225,1.58118,2.2714,0.21743,-0.00161,-0.00162,0.05519,0.04026,-0.02156,13.4,27.40909
"25","2016_Q4",0.116031746031746,"Down",1417000,-805000,612000,-671000,-644000,-27000,-59000,-27000,-72000,45000,-86000,-86000,-1000,-87000,-87000,-87000,-87000,221000,221000,721000,721000,1556000,61000,61000,2559000,844000,146000,76000,990000,3549000,811000,305000,506000,75000,736000,736000,1622000,19000,19000,749000,2371000,0,21264000,-20086000,1178000,1178000,3549000,-87000,23000,65000,-1000,0,43000,43000,43000,43000,43000,-36000,805000,0.4319,-0.04164,-0.0614,-0.07385,-0.02451,1.57768,2.01273,0.22682,-0.00319,-0.00319,0.05193,0.04317,-0.04346,-16.22222,-9.89831
"26","2017_Q1",0.120967741935484,"Up",1217000,-678000,539000,-678000,-630000,-48000,-139000,-74000,-74000,-1.45519152283669e-11,-213000,-213000,-2000,-215000,-215000,-215000,-215000,156000,156000,556000,556000,1582000,92000,92000,2386000,824000,161000,68000,985000,3371000,879000,304000,575000,75000,639000,639000,1593000,-1.45519152283669e-11,0,753000,2346000,0,21325000,-20300000,1025000,1025000,3371000,-215000,22000,-3000,252000,56000,-97000,-97000,-65000,-65000,-65000,-117000,828000,0.44289,-0.11422,-0.17666,-0.20976,-0.06378,1.4978,2.28878,0.24562,-0.0075,-0.0075,0.04243,0.03573,-0.11603,-5.74359,-4.83452999999999
"27","2017_Q2",0.112222222222222,"Down",1316000,-751000,565000,-632000,-586000,-46000,-67000,-65000,-65000,0,-132000,-132000,0,-132000,-132000,-132000,-132000,136000,136000,611000,611000,1503000,63000,63000,2313000,805000,160000,60000,965000,3278000,847000,304000,543000,75000,750000,750000,1672000,0,0,701000,2373000,0,21336000,-20431000,905000,905000,3278000,-132000,22000,63000,0,-47000,36000,36000,-20000,-20000,-20000,-45000,776000,0.42933,-0.05091,-0.1003,-0.14586,-0.04027,1.38337,2.6221,0.23673,-0.00458,-0.00458,0.04563,0.03138,-0.07852,-14.22222,-9.55224
"28","2017_Q3",0.112258064516129,"Up",1305000,-740000,565000,-586000,-564000,-22000,-21000,-49000,-69000,20000,-70000,-70000,-1000,-71000,-71000,-71000,-71000,138000,138000,482000,482000,1450000,88000,88000,2158000,823000,154000,52000,977000,3135000,809000,278000,531000,87000,594000,594000,1490000,25000,25000,750000,2240000,0,21398000,-20503000,895000,895000,3135000,-71000,21000,42000,171000,163000,-119000,-119000,1999.99999999999,1999.99999999999,1999.99999999999,0,812000,0.43295,-0.01609,-0.05441,-0.07933,-0.02265,1.44832,2.50279,0.25901,-0.00243,-0.00243,0.04462,0.0306,-0.04099,10.2574872263861,-32.09524
"29","2017_Q4",0.114193548387097,"Up",1354000,-788000,566000,-561000,-535000,-26000,5000,-56000,-70000,14000,-51000,-51000,2000,-49000,-49000,-49000,-49000,150000,150000,521000,521000,1462000,49000,49000,2182000,810000,151000,44000,961000,3143000,850000,306000,544000,87000,580000,580000,1517000,22000,22000,770000,2287000,0,21408000,-20552000,856000,856000,3143000,-49000,21000,26000,44000,42000,-17000,-17000,12000,12000,12000,26000,835000,0.41802,0.00369,-0.03619,-0.05724,-0.01559,1.43837,2.67173,0.26567,-0.00167,-0.00167,0.04621,0.02921,-0.0286,26.34615,137
"30","2018_Q1",0.119180327868852,"Up",939000,-638000,301000,-529000,-506000,-23000,-228000,-64000,-68000,4000,-292000,-292000,-1000,-293000,-293000,-293000,-293000,36000,36000,348000,348000,1473000,97000,97000,1954000,792000,145000,36000,937000,2891000,944000,374000,570000,87000,446000,446000,1477000,19000,19000,791000,2268000,0,21468000,-20845000,623000,623000,2891000,-293000,16000,92000,208000,23000,-137000,-137000,-114000,-114000,-114000,-212000,859000,0.32055,-0.24281,-0.31203,-0.4703,-0.10135,1.32295,3.64045,0.29713,-0.00995,-0.00995,0.03188,0.02115,-0.1952,-3.88208,-3.60964999999996
"31","2018_Q2",0.09546875,"Down",1041000,-669000,372000,-578000,-553000,-25000,-206000,-61000,-71000,10000,-267000,-267000,0,-267000,-267000,-267000,-267000,92000,92000,421000,421000,1388000,61000,61000,1962000,774000,141000,28000,915000,2877000,1050000,430000,620000,237000,492000,492000,1779000,16000,16000,720000,2499000,0,21490000,-21112000,378000,378000,2877000,-267000,20000,57000,134000,-56000,118000,118000,56000,56000,56000,-186000,941000,0.35735,-0.19789,-0.25648,-0.70635,-0.09281,1.10287,6.61111,0.32708,-0.00895,-0.00895,0.03491,0.01267,-0.2,-4.56452,-4.12136
"32","2018_Q3",0.0888888888888889,"Down",1069000,-632000,437000,-512000,-493000,-19000,-75000,-71000,-76000,5000,-146000,-146000,-2000,-148000,-148000,-148000,-148000,76000,76000,512000,512000,1261000,33000,33000,1882000,754000,140000,21000,894000,2776000,959000,349000,610000,237000,596000,596000,1792000,13000,13000,746000,2538000,0,21496000,-21258000,238000,238000,2776000,-146000,22000,65000,-51000,-110000,101000,101000,-16000,-16000,-16000,-53000,970000,0.40879,-0.07016,-0.13845,-0.62185,-0.05331,1.05022,10.66387,0.34942,-0.00494,-0.00494,0.03571,0.00795,-0.12121,-16.86792,-11.92
"33","2018_Q4",0.0922033898305085,"Up",878000,-514000,364000,-496000,-476000,-20000,-132000,-72000,-72000,0,-204000,-204000,4000,-2e+05,-2e+05,-2e+05,-2e+05,59000,59000,546000,546000,1250000,71000,71000,1926000,736000,146000,21000,882000,2808000,1143000,459000,684000,237000,595000,595000,1975000,10000,10000,771000,2746000,0,21522000,-21460000,62000,62000,2808000,-202000,19000,4000,174000,-5000,-4000,-4000,-17000,-17000,-17000,-113000,998000,0.41458,-0.15034,-0.22779,-3.22581,-0.07123,0.97519,44.29032,0.35541,-0.00661,-0.00661,0.02903,0.00205,-0.18692,-8.30973,-7.11364
"34","2019_Q1",0.0837931034482759,"Down",884000,-769000,115000,-464000,-435000,-29000,-349000,-62000,-66000,4000,-411000,-411000,-4000,-415000,-415000,-415000,-415000,113000,113000,452000,452000,1019000,29000,29000,1613000,718000,144000,21000,862000,2475000,1086000,359000,727000,237000,502000,502000,1825000,796000,796000,796000,2621000,0,21727000,-21873000,-146000,-146000,2475000,-413000,20000,134000,210000,-49000,104000,104000,54000,54000,54000,-329000,237000,0.13009,-0.3948,-0.46946,2.84247,-0.16768,0.88384,-17.95205,0.09576,-0.01363,-0.01363,0.02903,-0.00479,-0.46787,-0.3769,-0.3553
"35","2019_Q2",0.0743333333333333,"Down",923000,-617000,306000,-480000,-461000,-19000,-174000,-66000,-67000,1000,-240000,-240000,0,-240000,-240000,-240000,-240000,54000,54000,392000,392000,973000,48000,48000,1467000,699000,150000,29000,849000,2316000,1237000,521000,716000,1013000,421000,421000,2671000,12000,12000,12000,2683000,0,21746000,-22113000,-367000,-367000,2316000,-240000,20000,55000,217000,52000,-33000,-111000,-59000,-59000,-59000,-154000,1013000,0.33153,-0.18852,-0.26002,0.65395,-0.10363,0.54923,-7.31063,0.43739,-0.00741,-0.00741,0.02852,-0.01134,-0.36474,-6.22727,-5.51149
"36","2019_Q3",0.0703174603174603,"Down",957000,-652000,305000,-460000,-440000,-20000,-155000,101000,-67000,168000,-54000,-54000,-2000,-56000,-56000,-56000,-56000,99000,99000,393000,393000,825000,20000,1000.00000000001,1337000,681000,147000,28000,828000,2165000,1139000,555000,584000,1040000,397000,397000,2576000,8000,8000,8000,2584000,0,21750000,-22169000,-419000,-419000,2165000,-56000,22000,50000,76000,92000,-44000,-47000,45000,45000,45000,-133000,1040000,0.3187,-0.16196,-0.05852,0.13365,-0.02587,0.51902,-6.16706,0.48037,-0.00172,-0.00172,0.02943,-0.01288,-0.08903,-7.07519,-6.07097
"37","2019_Q4",0.071875,"Up",895000,-536000,359000,-440000,-417000,-23000,-81000,-63000,-66000,3000,-144000,-144000,0,-144000,-144000,-144000,-144000,15000,15000,492000,492000,890000,36000,24000,1433000,663000,150000,32000,813000,2246000,1276000,606000,670000,1079000,443000,443000,2798000,11000,11000,11000,2809000,0,21750000,-22313000,-563000,-563000,2246000,-144000,19000,-16000,-8000,-149000,-16000,65000,-84000,-84000,-84000,-62000,1079000,0.40112,-0.0905,-0.16089,0.25577,-0.06411,0.51215,-4.98934,0.48041,-0.00442,-0.00442,0.0275,-0.0173,-0.27324,-17.16129,-13.1358
"38","2020_Q1",0.0862295081967213,"Up",880000,-666000,214000,-397000,-377000,-20000,-183000,-65000,-65000,2.91038304567337e-11,-248000,-248000,7000,-241000,-241000,-241000,-241000,4000,4000,370000,370000,810000,40000,5999.99999999999,1224000,644000,210000,210000,854000,2078000,1274000,652000,622000,41999.9999999998,371000,371000,1687000,1181000,1181000,1181000,2868000,0,21764000,-22554000,-790000,-790000,2078000,-241000,20000,136000,148000,62999.9999999999,-74000,-74000,-11000,-11000,-11000,-163000,42000.0000000002,0.24318,-0.20795,-0.27386,0.30506,-0.11598,0.72555,-3.63038,0.02021,-0.00738,-0.00738,0.02694,-0.02418,-0.55658,-0.23313,-0.207649999999999
