"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",22.4729508196721,"Up",136268000,-44220000,92048000,-70596000,-52808000,-17788000,21452000,-24000,21428000,18266000,26484000,44750000,44750000,44750000,44750000,340550000,315442000,25108000,33677000,33677000,65037000,20379000,44658000,439264000,117617000,48702000,4100000,38541000,6061000,166319000,605583000,87023000,13622000,73401000,5798000,9656000,6262000,102477000,4115000,102097000,23786000,78311000,106212000,208689000,499563000,-96290000,-6379000,396894000,396894000,605583000,44750000,6577000,4269000,-20498000,35098000,-76000,25260000,-1166000,24018000,-1960000,81000,11902000,-1553000,-3432000,55684000,55684000,-530000,55154000,28029000,9913000,-19029000,0.67549,0.15743,0.3284,0.11275,0.0739,-0.42523,4.28646,0.52581,0.01637,0.39079,0.34576,1.19001,3.46601,-0.16618,0.08793,-0.03739,-11.79625,-15.41288
"12","2018_Q2",32.54921875,"Up",120912000,-41295000,79617000,-65819000,-45098000,-20721000,13798000,-817000,12981000,12981000,-14000,12967000,12967000,12967000,12967000,601381000,533855000,67526000,31292000,31292000,72324000,23738000,48586000,704997000,116385000,48783000,3500000,39228000,6055000,165168000,870165000,92064000,8094000,83970000,4861000,9631000,6464000,106556000,268646000,110476000,32303000,78173000,379122000,485678000,542674000,-151906000,-6281000,384487000,384487000,870165000,12967000,6320000,6631000,503000,26421000,-192000,-42364000,-3097000,-45653000,334023000,-60117000,10249000,-37346000,236560000,217328000,217328000,1085000,218413000,20118000,273507000,20443000,0.65847,0.11412,0.10724,0.03373,0.0149,1.57654,6.61621,1.26318,0.31432,0.10693,0.1031,0.99707,3.17058,0.16858,0.01687,0.0266,-16.29754,-23.76243
"13","2018_Q3",46.0369841269841,"Up",132387000,-45409000,86978000,-74216000,-50648000,-23568000,12762000,-8137000,4625000,4625000,-1246000,3379000,3379000,3379000,3379000,567509000,357820000,209689000,30615000,30615000,68109000,18558000,49551000,666233000,117024000,82053000,38077000,37959000,6017000,199077000,865310000,99758000,14760000,84998000,4376000,9365000,6440000,113499000,271939000,109781000,32292000,77489000,381720000,495219000,546241000,-169602000,-6548000,370091000,370091000,865310000,3379000,6357000,16915000,13440000,40091000,-112000,-141313000,-5049000,-146474000,-37328000,-26717000,476000,-2347000,-66392000,-172775000,-172775000,-3260000,-176035000,19119000,276315000,33693000,0.657,0.0964,0.02552,0.00913,0.0039,9.97129,5.86995,1.3381,0.31932,0.02829,0.02691,1.1083,3.09829,0.28207,0.00447,0.04456,-15.23061,-22.81727
"14","2018_Q4",47.0633333333333,"Up",150366000,-46947000,103419000,-84682000,-60264000,-24418000,18737000,-4141000,14596000,14596000,5298000,19894000,19894000,19894000,19894000,584136000,362727000,221409000,36385000,36385000,87428000,23958000,63470000,707949000,119243000,80176000,36360000,37802000,6014000,199419000,907368000,114791000,14130000,100661000,4284000,9856000,7180000,128931000,275581000,108237000,30851000,77386000,383818000,512749000,551413000,-149707000,-7087000,394619000,394619000,907368000,19894000,6439000,13945000,-9658000.00000001,30620000,-138000,-11062000,-5528000,-16728000,-1728000.00000012,-4390000,4848000,-2348000,-8465999.99999997,5426000.00000012,5426000.00000012,-519000,4907000.00000006,25176000,279865000,10082000,0.68778,0.12461,0.1323,0.05041,0.02192,0.50679,5.49091,1.29935,0.30844,0.16596,0.15411,1.2544,3.29204,0.08411,0.02542,0.01288,-12.08576,-16.23905
"15","2019_Q1",59.6904918032787,"Up",200028000,-57111000,142917000,-113428000,-84886000,-28542000,29489000,-6613000,22876000,22876000,18375000,41251000,41251000,41251000,41251000,624287000,366985000,257302000,12244000,12244000,43758000,22686000,21072000,680289000,120179000,101383000,34589000,37482000,29312000,221562000,901851000,96775000,26545000,70230000,3884000,11403000,7478000,112062000,278581000,110310000,30455000,79855000,388891000,500953000,562153000,-153442000,-7813000,400898000,400898000,901851000,41251000,7626000,-2145000,55061000,101793000,-577000,-34604000,-5863000,-76538000,19911000,-25170000,2680000,-12437000,-17696000,7559000,7559000,-3301000,4258000,37115000,282465000,73224000,0.71448,0.14742,0.20623,0.1029,0.04574,1.77508,6.07065,1.24958,0.31321,0.34377,0.32245,1.66695,3.34092,0.61022,0.05197,0.09226,-9.20981,-11.59151
"16","2019_Q2",65.2753968253968,"Up",169339000,-52658000,116681000,-85038000,-60091000,-24947000,31643000,-206000.000000001,31437000,31437000,142000,31579000,31579000,31579000,31579000,622106000,345674000,276432000,10789000,10789000,91106000,26859000,64247000,724001000,131650000,125517000,33839000,37034000,54644000,257167000,981168000,121695000,17325000,104370000,9927000,17053000,7787000,148675000,339836000,72644000,32637000,40007000,412480000,561155000,571026000,-142238000,-8775000,420013000,420013000,981168000,31579000,10142000,11879000,-22142000,31458000,-683000,-17931000,-3390000,-22004000,-8417000.00000001,-21562000,5930000,672000,-29307000,-19853000,-19853000,-1458000,-21311000,41785000,349763000,18818000,0.68904,0.18686,0.18648,0.07519,0.03219,0.5959,4.86969,1.33604,0.35648,0.26386,0.24247,1.41494,3.50949,0.15724,0.03749,0.02234,-6.51772,-8.60674
"17","2019_Q3",58.80453125,"Down",181095000,-58605000,122490000,-104642000,-75877000,-28765000,17848000,-1479000,16369000,16369000,1854000,18223000,18223000,18223000,18223000,633832000,359159000,274673000,10585000,10585000,99236000,34647000,64589000,743653000,128409000,124275000,33142000,37342000,53791000,278122000,1021775000,140780000,20504000,120276000,9306000,16424000,8011000,166510000,341420000,71544000,32642000,38902000,412964000,579474000,573731000,-124015000,-7415000,442301000,442301000,1021775000,18223000,9810000,14264000,7539000,49836000,-3064000,-21608000,-1279000,-25951000,-13215000,1910000,1910000,8000,-11297000,12588000,12588000,897000,13485000,27658000,350726000,30279000,0.67639,0.09856,0.10063,0.0412,0.01783,1.66158,4.46612,1.31013,0.34325,0.15184,0.13944,1.50891,3.68531,0.25229,0.02108,0.03502,-10.23595,-15.86206
"18","2019_Q4",47.63765625,"Down",197947000,-68949000,128998000,-114766000,-82301000,-32465000,14232000,-4143000,10089000,10089000,4712000,14801000,14801000,14801000,14801000,851939000,671769000,180170000,12494000,12494000,81407000,43934000,37473000,945840000,153262000,395331000,202102000,138474000,54755000,553358000,1499198000,131214000,23416000,107798000,8770000,14723000,7434000,154707000,831703000,123526000,83130000,40396000,955229000,1109936000,637295000,-236510000,-11523000,389262000,389262000,1499198000,14801000,12808000,15530000,3906000.00000001,47045000,-2142000,116666000,-1573000,-160300000,639850000,-126204000,1094000,-84854000,428792000,315537000,315537000,-2927000,312610000,27040000,840473000,24092000,0.65168,0.0719,0.07477,0.03802,0.00987,1.62773,6.11375,2.85139,0.56062,0.12275,0.12492,1.6417,3.2284,0.19981,0.01094,0.0178,-0.424039999999998,-0.80565
"19","2020_Q1",48.846935483871,"Up",269998000,-90824000,179174000,-154136000,-118435000,-35701000,25038000,-2287000,22751000,22751000,8540000,31291000,31291000,31291000,31291000,817252000,443293000,373959000,15386000,15386000,88400000,38614000,49786000,921038000,144864000,387107000,199236000,138731000,34883000,621314000,1542352000,164455000,26324000,138131000,8275000,15798000,7617000,188528000,838737000,108453000,64497000,43956000,947190000,1135718000,642747000,-227414000,-8699000,406634000,406634000,1542352000,31291000,15271000,11328000,20691000,78581000,-1639000,-277850000,-1508000,-280118000,-11598000,-21338000,857000,4355000,-28581000,-230118000,-230118000,1642000,-228476000,40309000,847012000,50821000,0.66361,0.09273,0.11589,0.07695,0.02029,1.62414,4.88542,2.79297,0.54917,0.2643,0.25344,2.28058,3.4347,0.42927,0.02297,0.03731,0.7383,1.18859
"20","2020_Q2",73.9787301587302,"Up",228055000,-82416000,145639000,-120274000,-82492000,-37782000,25365000,-15672000,9693000,9692999.99999999,2829000,12522000,12522000,12522000,12522000,803994000,442354000,361640000,11712000,11712000,91246000,36074000,55172000,906952000,134519000,382091000,194874000,138305000,48912000,610690000,1517642000,134614000,10557000,124057000,8e+06,16235000,8250000,158849000,845587000,106359000,63126000,43233000,951946000,1110795000,657429000,-239883000,-10699000,406847000,406847000,1517642000,12522000,15163000,31923000,-29944000,29664000,-567000,7921000.00000012,-1261000,6093000,-6764000,-20096000,4896000,-5818000,-32678000.0000001,3079000,3079000,-4018000,-939000,40528000,853587000,7188000,0.63861,0.11122,0.05491,0.03078,0.00825,0.57403,5.70952,2.73025,0.56244,0.10599,0.10171,1.93041,3.44382,0.06084,0.00916,0.00526,1.22367,1.95517
"21","2020_Q3",117.06609375,"Up",428737000,-111381000,317356000,-198216000,-152983000,-45233000,119140000,-6824000,112316000,112316000,-15891000,96425000,96425000,96425000,96425000,1043183000,677524000,365659000,16527000,16527000,134625000,30768000,103857000,1194335000,126187000,368366000,191685000,138757000,37924000,567696000,1762031000,253851000,15978000,237873000,8073000,17655000,9181000,279579000,852485000,105792000,66301000,39491000,958277000,1237856000,675332000,-143458000,-7699000,524175000,524175000,1762031000,96425000,14171000,41171000,68664000,220431000,358000,17063000,-782000,16639000,-8714000,7281000,7281000,-4392000.00000001,-5825000,231245000,231245000,3925000,235170000,133311000,860558000,218224000,0.74021,0.27789,0.2249,0.18396,0.05472,2.26315,4.27191,2.36153,0.48839,0.81146,0.67262,3.60801,4.41116,1.83645,0.06469,0.14641,-1.36992,-1.53286
"22","2020_Q4",150.38203125,"Up",451478000,-120168000,331310000,-213141000,-167233000,-45908000,118169000,-10921000,107248000,90393000,1368000,91761000,91761000,91761000,91761000,1524560000,1144974000,379586000,16311000,16311000,156960000,43590000,113370000,1697831000,118141000,361854000,189120000,139740000,32994000,516674000,2214505000,309706000,22130000,287576000,8345000,22891000,10508000,340942000,1101751000,105145000,63448000,41697000,1206896000,1547838000,886421000,-217866000,-1888000,666667000,666667000,2214505000,91761000,15754000,44868000,32811000,185194000,-179000,20732000,-1642000,18911000,638611000,-159861000,6309000,-219673000,259077000,463182000,463182000,4268000,467450000,133923000,1110096000,165187000,0.73383,0.26174,0.20325,0.13764,0.04144,1.80019,4.97982,2.32176,0.50128,0.75194,0.67149,3.69964,5.463,1.35362,0.04876,0.08778,-3.09479,-3.50738
"23","2021_Q1",209.308852459016,"Up",617355000,-150780000,466575000,-305240000,-254083000,-51157000,161335000,-8028000,153307000,153307000,-4769000,148538000,148538000,148538000,148538000,1669218000,1244099000,425119000,22605000,22605000,202958000,56152000,146806000,1894781000,112495000,358119000,187449000,140810000,29745000,509708000,2404489000,420041000,40883000,379158000,8537000,26086000,11264000,454664000,1107278000,100123000,58481000,41642000,1207401000,1662065000,883292000,-146819000,5951000,742424000,742424000,2404489000,148538000,13101000,29362000,52666000,243667000,-1057000,-49105000,-1980000,-53022000,-30060000,-70658000,6833000,-574000,-101292000,89353000,89353000,9772000,99125000,174436000,1115815000,230814000,0.75576,0.26133,0.2406,0.20007,0.06178,1.55391,4.16743,2.2387,0.46405,1.17882,1.04217,4.89942,5.89198,1.83177,0.07585,0.11786,-3.17253,-3.43015
"24","2021_Q2",185.073650793651,"Down",550646000,-142917000,407729000,-257092000,-203386000,-53706000,150637000,7091000,157728000,157728000,-13962000,143766000,143766000,143766000,143766000,1666247000,1163678000,502569000,22991000,22991000,204381000,46277000,158104000,1893619000,107960000,358177000,182312000,139745000,28397000,603792000,2497411000,392647000,16386000,376261000,8639000,25759000,12260000,427045000,1345387000,41205000,33000,41172000,1386592000,1813637000,664367000,24775000,-5368000,683774000,683774000,2497411000,143766000,13080000,18944000,-27325000,148465000,-526000,-177258000,-3226000,-181010000,-17223000,3930000.00000003,3930000,-26085000,-39378000,-71923000.0000001,-71923000.0000001,-8498000,-80421000.0000001,163717000,1354026000,149828000,0.74046,0.27356,0.26109,0.21025,0.05757,1.04217,4.43424,2.65239,0.54217,1.13906,0.99344,4.36277,5.41754,1.18709,0.06915,0.07207,-1.90708,-2.07267
"25","2021_Q3",202.77796875,"Up",528900000,-148969000,379931000,-290826000,-229073000,-61753000,89105000,-3351000,85754000,85754000,12500000,98254000,98254000,98254000,98254000,2484609000,2053882000,430727000,20283000,20283000,186088000,49693000,136395000,2690980000,105814000,390821000,178854000,140045000,25816000,599436000,3290416000,372970000,26752000,346218000,8691000,25339000,12312000,4.07e+08,2314300000,38363000,33000,38330000,2352663000,2759663000,590359000,-56970000,-2636000,530753000,530753000,3290416000,98254000,12985000,17196000,-6738000,121697000,-1391000,106056000,-3858000,100807000,955843000,-175893000,4107000,-115262000,664688000,887192000,887192000,3012000,890204000,102090000,2322991000,81461000,0.71834,0.16847,0.18577,0.18512,0.02986,0.82909,6.61174,5.19952,0.70599,0.77847,0.67895,4.19048,4.20516,0.64542,0.03397,0.02817,-1.58309,-1.81379
"26","2021_Q4",240.88984375,"Up",532429000,-153660000,378769000,-295028000,-221507000,-73521000,83741000,57999.9999999963,83799000,83799000,6131000.00000001,89930000,89930000,89930000,89930000,816832000,619402000,197430000,23884000,23884000,236618000,68936000,167682000,1077334000,198902000,2135552000,613104000,1385214000,33425000,2424804000,3502138000,426349000,13367000,412982000,8757000,35901000,12518000,471007000,2313051000,184458000,94158000,90300000,2497509000,2968516000,624501000,-21467000,-69412000,533622000,533622000,3502138000,89930000,23211000,-13280000,-8931000,90930000,-5685000,246285000,-4435000,-1454658000,-15088000.0000001,-51597000,2830000,-458000,-67142999.9999999,-1430871000,-1430871000,-3609000,-1434480000,106952000,2321808000,86205000,0.7114,0.15728,0.16891,0.16853,0.02568,0.95858,2.2873,5.56296,0.66297,0.70949,0.61652,4.2005,4.20991,0.6801,0.02958,0.02836,14.07151,17.97179
"27","2022_Q1",148.663548387097,"Down",717139000,-208966000,508173000,-365924000,-283369000,-82555000,142249000,2124000,144373000,144373000,17184000,161557000,161557000,161557000,161557000,984612000,780196000,204416000,27266000,27266000,329623000,109417000,220206000,1341501000,259437235.092555,2405274000,882232000,1371064000,56115000,2490308000,3831809000,576331000,28007000,548324000,2418000,36839000,12339000,615588000,2385701000,201901000,79484000,122417000,2587602000,3203190000,631889000,71744000,-75014000,628619000,628619000,3831809000,161557000,24991000,37034000,66877000,290459000,-3646000,-2971000,-5403000,-23108000,-50563000,-56508000,11839000,1652999.99999999,-105418000,161933000,161933000,-1139000,160794000,167240000,2388119000,213287000,0.70861,0.19836,0.22528,0.257,0.04216,1.3202,2.17922,5.0956,0.62324,1.27941,1.06249,5.67922,4.9782,1.68908,0.05019,0.06627,8.39217,9.86655
"28","2022_Q2",91.2961290322581,"Down",579266000,-172995000,406271000,-321956000,-232480000,-89476000,84315000,1672000,85987000,85987000,122000,86109000,86109000,86109000,86109000,982220000,756237000,225983000,20645000,20645000,292272000,101123000,191149000,1295137000,271333000,2117093000,595305000,1364414000,54383000,2450038000,3745175000,448232000,15734000,432498000,2455000,32518000,12503000,483205000,2385337000,199766000,77027000,122739000,2585103000,3068308000,672613000,95285000,-91031000,676867000,676867000,3745175000,86109000,24754000,39617000,-90936000,59544000,-3212000,-938000,-6005000,-10155000,-13886000,-59174000,3394000,777000,-72283000,-22894000.0000002,-22894000.0000002,-1065000,-23959000.0000002,109069000,2387792000,14799000,0.70135,0.14555,0.14865,0.12722,0.02299,0.17186,2.68031,4.5331,0.63756,0.67727,0.58327,4.55607,5.32373,0.1164,0.02638,0.00453,12.887,16.67049
"29","2022_Q3",102.05703125,"Up",585135000,-171421000,413714000,-341153000,-239058000,-102095000,72561000,601000,73162000,73162000,-39000,73123000,73123000,73123000,73123000,1006690000,758874000,247816000,20133000,20133000,293399000,112855000,180544000,1320222000,261697000,1978237000,550925000,1269155000,52826000,2286878000,3607100000,416502000,17929000,398573000,3709000,29691000,11873000,449902000,2384806000,191097000,68639000,122458000,2575903000,3025805000,712180000,106241000,-237126000,581295000,581295000,3607100000,73123000,25027000,58973000,-31369000,125754000,-2421000,-8334000,-5562000,-16317000,-29089000,-60104000,2064000,-5169000,-94362000,15075000,15075000,-12438000,2637000,97588000,2388515000,63837000,0.70704,0.12401,0.12497,0.12579,0.02027,0.87301,2.93447,5.20528,0.66217,0.57537,0.50193,4.60417,4.57395,0.50231,0.02313,0.0202,14.15978,19.04363
