"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.14967741935484,"Up",369116000,-317514000,-26428000,-22944000,-268142000,51602000,-18954000,-18954000,32648000,24186000,-10125000,474000,14535000,14727000,890000,15617000,15617000,69085000,69085000,251459000,251459000,78103000,25046000,15530000,398647000,1709628000,859294000,186229000,508078000,163276000,2568922000,2967569000,238665000,53643000,185022000,47840000,286824000,1450230000,178676000,119470000,59206000,1628906000,1915730000,715817000,547602000,1569000,1051279000,560000,1051839000,2967569000,15617000,22944000,10072000,63174000,100597000,-15221000,40522000,-9491000,-64849000,1775000,1823000,-15223000,-90601000,505000,505000,58000,563000,74546000,1498070000,132624000,0.1398,0.04231,0.01485,0.00526,8.49228,1.38987,1.82131,0.50481,0.17094,0.16997,4.04028,11.50712,1.45168,0.01023,0.04861,19.16917,27.69243
"12","2013_Q1",11.1578333333333,"Up",378731000,-339418000,-34649000,-23540000,-281229000,39313000,-18663000,-18663000,20650000,20650000,72837000,1926000,95413000,81636000,-29000,81607000,81607000,31755000,31755000,246635000,246635000,58793000,24849000,15654000,337183000,1687159000,814852000,178318000,490308000,143694000,2502011000,2839194000,205989000,50110000,155879000,53882000,259871000,1434291000,97728000,15703000,82025000,1532019000,1791890000,833090000,264667000,2670000,1046812000,492000,1047304000,2839194000,81607000,23540000,-58854000,-19845000,36677000,-17614000,10114000,25167000,-9354000,-1101000,7517000,-102000,-100688000,-38844000,-38844000,1720000,-37124000,62853000,1488173000,-47443000,0.1038,0.21547,0.07792,0.02874,-0.581359999999998,1.2975,1.71095,0.52415,0.88862,0.88018,4.12399,11.39871,-0.51661,0.06522,-0.01802,23.17181,37.04673
"13","2013_Q2",12.37,"Up",377031000,-335772000,-32040000,-22935000,-280797000,41259000,-18157000,-18157000,23102000,23102000,-881000,1217000,23438000,23438000,-18000,23420000,23420000,83724000,83724000,254917000,254917000,59719000,25649000,15780000,398360000,1680165000,809557000,174473000,490312000,142240000,2489722000,2888082000,210643000,52152000,158491000,59627000,270270000,1479809000,98225000,15703000,82522000,1578034000,1848304000,839010000,252376000,1531000,1039309000,469000,1039778000,2888082000,23420000,22935000,936000,-1854000,45437000,-9796000,2330000,-7466000,51562000,3115000,3115000,-4523000,14443000,52414000,52414000,-445000,51969000,64194000,1539436000,53425000,0.10943,0.06212,0.02252,0.00811,2.28117,1.47393,1.77759,0.53303,0.22037,0.21864,3.54769,9.77943,0.50271,0.02208,0.01995,22.67676,35.28229
"14","2013_Q3",11.53359375,"Down",381653000,-330266000,-27363000,-23657000,-279246000,51387000,-19938000,-19938000,31449000,25922000,7268000,1029000,34219000,34219000,-12000,34207000,34207000,38511000,38511000,239001000,239001000,59078000,25142000,15646000,336590000,1739986000,811626000,170743000,490216000,148135000,2551612000,2888202000,190884000,47391000,143493000,22341000,213225000,1549253000,89840000,15703000,74137000,1639093000,1852318000,841962000,250767000,-3698000,1035434000,450000,1035884000,2888202000,34207000,23657000,8157999.99999999,-10145000,55877000,-78106000,-9236000,-87342000,35690000,1122000,1122000,-11186000,-10190000,-41655000,-41655000,-3558000,-45213000,75044000,1571594000,-20475000,0.13464,0.08963,0.03302,0.01184,-0.598559999999999,1.57857,1.78815,0.54414,0.32082,0.31847,3.57941,9.71103,-0.19203,0.02596,-0.00759,20.42912,29.83406
"15","2013_Q4",11.73046875,"Up",379842000,-335013000,-27222000,-23888000,-283903000,44829000,-20485000,-20485000,24344000,22893000,7755000,1526000,32174000,29909000,-12000,29897000,29897000,53161000,53161000,244558000,244558000,76108000,48481000,9337000,373827000,1729407000,792171000,167085000,490230000,132324000,2521578000,2895405000,211762000,46057000,165705000,17120000,231147000,1539958000,89927000,15703000,74224000,1629885000,1861032000,845885000,244665000,-3041000,1033919000,454000,1034373000,2895405000,29897000,23888000,3595000,-3139000,56506000,-11376000,19886000,8510000,-14608000,932000,932000,-1725000,-51400000,13616000,13616000,1034000,14650000,68717000,1557078000,46447000,0.11802,0.07871,0.0289,0.01033,1.55357,1.61727,1.79919,0.53778,0.27991,0.27817,3.55632,9.68021,0.43487,0.02458,0.01732,21.88566,33.54786
"16","2014_Q1",11.4870491803279,"Down",383548000,-335539000,-30436000,-24184000,-280919000,48009000,-21100000,-21100000,26909000,13230000,11908000,2493000,27631000,27631000,-20000,27611000,27611000,52125000,52125000,250530000,250530000,81690000,49236000,11518000,384345000,1727798000,777221000,163400000,490196000,118804000,2505019000,2889364000,200962000,47286000,153676000,22163000,223125000,1562613000,79650000,14689000,64961000,1642263000,1865388000,848884000,232646000,-4429000,1023522000,454000,1023976000,2889364000,27611000,24184000,12611000,-27772000,34369000,-16114000,3436000,-12678000,30812000,575000,575000,-13650000,-21893000,-202000.000000007,-202000.000000007,-834000.000000001,-1036000,72193000,1584776000,16399000,0.12517,0.07199,0.02696,0.00956,0.59393,1.72255,1.82171,0.54849,0.25807,0.25655,3.58493,9.56661,0.15328,0.02501,0.0061,21.22991,31.92424
"17","2014_Q2",12.197619047619,"Up",393137000,-344567000,-28502000,-24142000,-291923000,48570000,-19920000,-19920000,28650000,28650000,-2138000,1484000,27996000,27996000,-6000,27990000,27990000,38063000,38063000,275764000,275764000,74907000,39877000,14094000,388734000,1726869000,785185000,167133000,493911000,119320000,2512054000,2900788000,218030000,52397000,165633000,22527000,240557000,1555830000,86139000,14689000,71450000,1641969000,1882526000,855256000,219497000,-3379000,1017806000,456000,1018262000,2900788000,27990000,24142000,2418000,8602000,63152000,-17366000,-3273000,-33639000,-7393000,3359000,3359000,558000,-44615000,-15102000,-15102000,1040000,-14062000,72712000,1578357000,66086000,0.12354,0.0712,0.02749,0.00965,2.36106,1.61597,1.84876,0.54411,0.26117,0.25955,3.66823,9.49681,0.61663,0.02577,0.02463,21.18349,31.71287
"18","2014_Q3",13.40203125,"Up",412843000,-351954000,-28148000,-23748000,-300058000,60889000,-19778000,-19778000,41111000,41111000,-3387000,1174000,38898000,38898000,-1.81898940354586e-12,38898000,38898000,37360000,37360000,270965000,270965000,75382000,39998000,14448000,383707000,1737357000,784319000,162991000,494095000,122412000,2521676000,2905383000,224113000,56467000,167646000,22837000,246950000,1553322000,85031000,14689000,70342000,1638353000,1885303000,805488000,216878000,-2742000,1019624000,456000,1020080000,2905383000,38898000,23748000,2073000,4273000,68992000,-23242000,-5663000,-28905000,-786000,2357000,2357000,-623000,-40569000,-482000,-482000,-221000,-702999.999999998,84637000,1576159000,69055000,0.14749,0.09422,0.03813,0.01339,1.77528,1.55378,1.84819,0.5425,0.36143,0.3602,3.83599,9.47399,0.64163,0.02999,0.02575,18.18116,25.2722
"19","2014_Q4",14.574375,"Up",457900000,-394582000,-28287000,-24079000,-342216000,63318000,-20360000,-20360000,42958000,42958000,-5537000,1544000,38965000,38965000,26000,38991000,38991000,52680000,52680000,266768000,266768000,73827000,38443000,14448000,393275000,1757062000,847630000,159113000,494075000,189621000,2604692000,2997967000,241174000,61568000,179606000,22475000,263649000,1578758000,88808000,14689000,74119000,1667566000,1931215000,862607000,214441000,-10699000,1066349000,403000,1066752000,2997967000,38991000,24079000,2901000,-33490000,32481000,-36590000,2884000,-33731000,28111000,55669000,55669000,-23789000,18563000,17313000,17313000,-1993000,15320000,87397000,1601233000,22854000,0.13828,0.08515,0.03655,0.01301,0.58614,1.49166,1.81037,0.53411,0.35913,0.35786,4.21756,9.82176,0.2105,0.02917,0.00829,17.71861,24.45676
"20","2015_Q1",16.1786885245902,"Up",427740000,-365786000,-30081000,-24202000,-311503000,61954000,-22563000,-22563000,39391000,39391000,-3031000,1621000,37981000,37981000,70000,38051000,38051000,41337000,41337000,269038000,269038000,67031000,36806000,4341000,377406000,1772166000,852636000,155275000,493890000,197598000,2624802000,3002208000,237323000,58155000,179168000,16752000,254075000,1604643000,97497000,10068000,87429000,1702140000,1956215000,866798000,206342000,-27461000,1045679000,314000,1045993000,3002208000,38051000,24202000,-5615000,-19843000,36795000,-36327000,11432000,-24895000,25238000,1007999.99999999,1008000,-1254000,-21158000,-9258000,-9258000,-2085000,-11343000,86156000,1621395000,33017000,0.14484,0.08896,0.03638,0.01267,0.8677,1.48541,1.8702,0.54007,0.34512,0.34437,3.87962,9.48436,0.29947,0.03045,0.01194,18.3395,25.50373
"21","2015_Q2",14.8569841269841,"Down",427369000,-374697000,-31848000,-24940000,-317909000,52672000,-22573000,-22573000,30099000,30099000,-2828000,1485000,28756000,28756000,21000,28777000,28777000,68981000,68981000,261280000,261280000,78793000,44420000,8489000,409054000,1907063000,1051804000,224171000,601205000,220555000,2958867000,3367921000,252207000,60535000,191672000,16648000,268855000,1962901000,109734000,10068000,99666000,2072635000,2341490000,870178000,189142000,-33166000,1026154000,277000,1026431000,3367921000,28777000,24940000,2040000,4988000,60745000,-34178000,-7408000,-348989000,363624000,1313000,1313000,-1799000,317161000,28917000,28917000,-1273000,27644000,77612000,1979549000,51250000,0.12325,0.06734,0.02804,0.00854,1.78094,1.52147,2.2812,0.58777,0.26084,0.25966,3.87378,9.30132,0.46454,0.02399,0.01645,24.61691,36.27293
"22","2015_Q3",12.95140625,"Down",445945000,-392665000,-32174000,-26561000,-333930000,53280000,-23783000,-23783000,29497000,29497000,-2368000,1125000,28254000,28254000,37000,28291000,28291000,47044000,47044000,270131000,270131000,66539000,32672000,7946000,383714000,1919266000,1098471000,234525000,616180000,241893000,3017737000,3401451000,239463000,59567000,179896000,16822000,256285000,2026901000,101688000,15769000,85919000,2128589000,2384874000,873500000,171156000,-28312000,1016344000,233000,1016577000,3401451000,28291000,26561000,3071000,-38870000,19053000,-37393000,2892000,-58902999.9999999,64850000,941999.999999998,942000,-1772000,17743000.0000001,-22107000,-22107000,170000,-21937000,79841000,2043723000,5946000.00000001,0.11948,0.06344,0.02783,0.00832,0.21017,1.49722,2.34598,0.60084,0.25603,0.25521,4.03579,9.19789,0.0538099999999999,0.02358,0.00188,25.00819,37.47521
"23","2015_Q4",11.9584375,"Down",469867000,-406842000,-33742000,-27127000,-345973000,63025000,-24321000,-24321000,38704000,38704000,-1758000,1339000,38285000,38285000,21000,38306000,38306000,47131000,47131000,289044000,289044000,67566000,33256000,8389000,403741000,1921461000,1109414000,229327000,615937000,258277000,3030875000,3434616000,239790000,72567000,167223000,16428000,256218000,2068764000,104175000,15769000,88406000,2172939000,2429157000,876738000,163262000,-34710000,1005290000,169000,1005459000,3434616000,38306000,27127000,2664000,-36731000,31366000,-29224000,-5350000,-34574000,54602000,579000,579000,-3142000,5839000,2631000,2631000,-2544000,87000,90152000,2085192000,25955000,0.13413,0.08153,0.0381,0.01115,0.67757,1.57577,2.41597,0.60711,0.34624,0.34548,4.24698,9.0865,0.2346,0.02645,0.00812,22.60694,32.33734
"24","2016_Q1",11.9822950819672,"Up",500126000,-433374000,-39276000,-28128000,-365970000,66752000,-23881000,-23881000,42871000,42871000,-435000,1584000,44020000,44020000,44000,44064000,44064000,59638000,59638000,314097000,314097000,64611000,28208000,8489000,438346000,1916386000,1107495000,224148000,615438000,260510000,3023881000,3462227000,261483000,77523000,183960000,17141000,278624000,2077601000,99165000,11471000,87694000,2176766000,2455390000,880346000,158796000,-32404000,1006738000,99000,1006837000,3462227000,44064000,28128000,9673000,-50872000,30993000,-16744000,6331000,-10414000,41389000,381000,381000,-1733000,-8493000,12086000,12086000,421000,12507000,94880000,2094742000,27699000,0.13347,0.08811,0.04376,0.01273,0.62861,1.57325,2.43872,0.60503,0.39798,0.39551,4.51705,9.09269,0.25017,0.02893,0.00865,21.44924,30.48754
"25","2016_Q2",13.86515625,"Up",510185000,-451018000,-34061000,-28451000,-388506000,59167000,-24809000,-24809000,34358000,34358000,-3151000,1119000,32326000,32326000,24000,32350000,32350000,23225000,23225000,341596000,341596000,80657000,32351000,48306000,445478000,1919594000,1177955000,219098000,615459000,319244000,3097549000,3543027000,257016000,83509000,173507000,17586000,274602000,2185907000,90789000,0,90789000,2276696000,2551298000,882317000,142639000,-33310000,991646000,83000,991729000,3543027000,32350000,28451000,4980000,-83308000,-17527000,-28411000,-41037000,-69448000,97873000,3336000,3336000,-4040000,48660000,-38315000,-38315000,1902000,-36413000,87618000,2203493000,-20950000,0.11597,0.06341,0.03262,0.00913,-0.6476,1.62227,2.57258,0.62192,0.29193,0.29066,4.60402,8.94882,-0.18906,0.02461,-0.00638,24.88379,36.84939
"26","2016_Q3",12.0784375,"Down",548350000,-482393000,-36904000,-28652000,-416837000,65957000,-25187000,-25187000,40770000,24904000,-3879000,2131000,23156000,23156000,53000,23209000,23209000,38865000,38865000,297253000,297253000,101525000,29072000,72453000,437643000,1913670000,1249133000,214023000,615446000,395510000,3162803000,3600446000,271718000,92636000,179082000,17150000,288868000,2251790000,92291000,0,92291000,2344081000,2632949000,886247000,117108000,-35889000,967466000,31000,967497000,3600446000,23209000,28652000,21285000,-17367000,55779000,-17560000,-24268000,-41828000,71645000,-1055000,-1055000,-18505000,3347000.00000001,17298000,17298000,-1658000,15640000,94609000,2268940000,63561000,0.12028,0.04233,0.02399,0.00645,2.73864,1.51503,2.7214,0.63018,0.20897,0.20819,4.93715,8.71073,0.57228,0.02161,0.01909,23.57149,33.81104
"27","2016_Q4",12.8126984126984,"Up",554376000,-481925000,-37483000,-28783000,-415659000,72451000,-25481000,-25481000,46970000,46951000,-4970000,1693000,43674000,43674000,46000,43720000,43720000,30123000,30123000,341454000,341454000,136095000,33443000,102652000,507672000,1908053000,1326670000,208970000,615457000,478089000,3234723000,3742395000,273237000,81906000,191331000,15638000,288875000,2395040000,92081000,-2.3283064365387e-10,92081000,2487121000,2775996000,889725000,112085000,-35406000,966404000,-4999.99999999999,966399000,3742395000,43720000,28783000,7684000,-130197000,-50010000,-21976000,-27678000,-49654000,139512000,424000,424000,-1125000,90067000,-9597000,-9597000,855000,-8742000,101234000,2410678000,-45969000,0.13069,0.07886,0.04524,0.01168,-1.05144,1.75741,2.87252,0.64415,0.3933,0.39209,4.9871,8.69365,-0.41353,0.02665,-0.01325,23.51537,32.85745
"28","2017_Q1",19.2058064516129,"Up",566579000,-498570000,-40261000,-29030000,-429279000,68009000,-24745000,-24745000,43264000,43264000,4096000,1982000,49342000,49342000,94000,49436000,49436000,68038000,68038000,356255000,356255000,273376000,32210000,241166000,697669000,1897241000,1154499000,203884000,615433000,305143000,3051740000,3749409000,265993000,79637000,186356000,238065000,504058000,2181738000,88656000,639438.294451874,88656000,2270394000,2774452000,893118000,112763000,-30825000,975056000,-99000,974957000,3749409000,49436000,29030000,255000,-94991000,-16270000,-11588000,88158000,76570000,26680000,1078000,1078000.00000001,-1407000,-22406000,37894000,37894000,21000.0000000005,37915000,97039000,2419803000,-13636000,0.12003,0.08725,0.05071,0.01319,-0.27583,1.3841,2.84572,0.64538,0.4445,0.44276,5.09436,8.76715,-0.12261,0.02819,-0.00391,24.23526,34.5802
"29","2017_Q2",21.3331746031746,"Up",550614000,-486242000,-42586000,-28949000,-414707000,64372000,-23023000,-23023000,41349000,41349000,-2470000,1487000,40366000,40366000,37000,40403000,40403000,434559000,434559000,307491000,307491000,283480000,28992000,254488000,1025530000,1909698000,1231787000,198810000,615458000,387480000,3141485000,4167015000,256048000,84858000,171190000,255123000,511171000,2320888000,89308000,2649902.78718499,89308000,2410196000,2921367000,1174687000,100662000,-29567000,1245782000,-134000,1245648000,4167015000,40403000,28949000,10129000,-31599000,47882000,-33732000,-2058000,-35790000,133497000,280040000,280040000,-10805000,350228000,362320000,362320000,2679000,364999000,93321000,2576011000,30460000,0.11691,0.07338,0.03244,0.0097,0.7539,2.00624,2.34526,0.61819,0.35566,0.35293,4.847,10.96649,0.26814,0.02376,0.00779,22.94716,33.26682
