"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",45.7609677419355,"Up",728861000,-601938000,126923000,-68803000,-65441000,-3362000,58120000,-51238000,-53043000,1805000,6882000,-2253000,4629000,10993000,15622000,-1362000,-1362000,14260000,14260000,14260000,243126000,243126000,397414000,336978000,71737000,34507369.9106612,1049255000,3212952000,42226000,3921483000,3086716000,693308000,141459000,7176661000,8225916000,346944000,133209000,285153000,285153000,632097000,2527450000,1299172000,680880000,618292000,3826622000,4458719000,2697455000,129596000,2567859000,1274465000,-204723000,3767197000,3767197000,8225916000,14260000,84108000,-11695000,96820000,-12973000,-1137000,914000,-13196000,-1295000,-15000,2643000,-132000,1201000,84825000,84825000,84825000,142228000,2812603000,0.17414,0.07974,0.01956,0.00379,0.00173,1.65996,1.18356,0.34192,0.1099,0.1099,5.61725,29.03338,0.00998,5,0.00197,0.09081,18.0659,44.20986
"12","2013_Q1",50.6473333333333,"Up",608431000,-529225000,79206000,-69854000,-66873000,-2981000,9352000,-50398000,-52929000,2531000,-41046000,46180000,5134000,-646000,4488000,-1005000,-1005000,3483000,3483000,3483000,275478000,275478000,277539000,335022000,96933000,19441000,984972000,3159185000,42081000,3940361000,3086716000,692532000,161113000,7141627000,8126599000,285008000,113337000,150602000,150602000,436411000,2526401000,1402725000,657367000,243849000,3929126000,4365537000,2709930000,129721000,2580209000,1276649000,-225517000,3761062000,3761062000,8126599000,3483000,78568000,32401000,144716000,7960000.00000001,10476000,798000,19234000,-1298000,-134660000,4295000,65000.0000000001,-131598000,32352000,32352000,32352000,87920000,2677003000,0.13018,0.01537,0.00571999999999999,0.00093,0.00043,2.25698,1.16072,0.32941,0.0268,0.0268,4.68175,28.9406,0.00999,8,0.00061,0.37267,27.31489,256.79266
"13","2013_Q2",47.89078125,"Down",538162000,-520507000,17655000,-70314000,-64655000,-5659000,-52659000,-50379000,-52752000,2373000,-103038000,2601000,-100437000,38818000,-61619000,6783000,6783000,-54836000,-54836000,-54836000,188081000,188081000,322172000,340574000,76535000,0,927362000,3168175000,41707000,3941231000,3086043000,694659000,160529000,7151113000,8078475000,329249000,116677000,140604000,140604000,469853000,2525420000,1368273000,614405000,680476000,3893693000,4363546000,2715648000,129952000,2585696000,1220512000,-221231000,3714929000,3714929000,8078475000,-54836000,75597000,-55977000,-12867000,-25228000,-42048000,2000,-67274000,-1299000,-10016000,3203000,856000,-7256000,-87397000,-87397000,-87397000,22938000,2666024000,0.03281,-0.09785,-0.10189,-0.01476,-0.00679,1.97373,1.1746,0.33002,-0.42121,-0.42121,4.13379,28.53555,0.00998,4,-0.00691,-0.02369,108.02786,-47.0564
"14","2013_Q3",46.18375,"Down",738733000,-605838000,132895000,-69439000,-64902000,-4537000,63456000,-50586000,-50871000,285000,12870000,23410000,36280000,-6152000,30128000,-1356000,-1356000,28772000,28772000,28772000,86979000,86979000,404682000,340487000,79501000,-1.86264514923096e-09,911649000,3215341000,43194000,3950040000,3081521000,698471000,170048000,7208575000,8120224000,291608000,128142000,100161000,161000,391769000,2524420000,1390515000,664967000,652480000,3914935000,4306704000,2722202000,129963000,2592239000,1247984000,-156666000,3813520000,3813520000,8120224000,28772000,76960000,-7566000,-32478000,-32296000,5005000,0,-27291000,-1299000,-40461000,395000,32000,-41333000,-101102000,-101102000,-101102000,140416000,2624581000,0.1799,0.0859,0.03895,0.00754,0.00354,2.32701,1.12933,0.32322,0.22089,0.22089,5.67157,29.27801,0.00997,5,0.00384,0.04515,18.07203,39.98995
"15","2013_Q4",51.53703125,"Up",813568000,-654585000,158983000,-68565000,-65854000,-2711000,90418000,-46824000,-49134000,2310000,43594000,9349000,52943000,-10792000,42151000,-787000,-787000,41364000,41364000,41364000,245813000,245813000,445230000,328179000,81739000,-2138578.69109457,1100961000,3214460000,43275000,3951360000,3081521000,697655000,172184000,7209095000,8310056000,358480000,154451000,163000,163000,358643000,2523389000,1565113000,673135000,666115000,4088502000,4447145000,2728733000,129989000,2598744000,1288054000,-153876000,3862911000,3862911000,8310056000,41364000,78320000,156325000,305357000,-44812000,-1304000,0,-46116000,-1292000,-100016000,893000,8000,-100407000,158834000,158834000,158834000,168738000,2523552000,0.19541,0.11114,0.05084,0.01071,0.00498,3.0698,1.15124,0.30367,0.31754,0.30946,6.24553,29.65448,0.00992,8,0.00536,0.03123,13.49867,25.19121
"16","2014_Q1",59.6449180327869,"Up",680246000,-562899000,117347000,-65899000,-64016000,-1883000,51448000,-46318000,-48888000,2570000,5130000.00000001,2380999.99999999,7511000.00000001,2585000,10096000,-1014000,-1014000,9082000.00000001,9082000.00000001,9082000.00000001,193738000,193738000,323369000,344606000,89783000,16252000,951496000,3312017000,42387000,3953243000,3081521000,697578000,174144000,7307647000,8259143000,298965000,139345000,170000,170000,299135000,2522243000,1499659000,701075000,324993000,4021902000,4321037000,2741903000,130200000,2611703000,1295834000,-99631000,3938106000,3938106000,8259143000,9082000.00000001,76231000,-7368000,96487000,-155468000,-2.98023223876953e-08,-41000,-155509000,-1301000,-108999.99999997,9092000,-735000,6947000,-52075000,-52075000,-52075000,127679000,2522413000,0.17251,0.07563,0.01335,0.00231,0.0011,3.18082,1.09724,0.30541,0.06965,0.06893,5.21717,30.20344,0.00998,8,0.0013,0.14325,18.23851,45.26269
"17","2014_Q2",59.1631746031746,"Down",574420000,-540328000,34092000,-75787000,-66119000,-9668000,-41695000,-117264000,-120089000,2825000,-158959000,236364000,77405000,-22900000,54505000,-510000,-510000,53995000,53995000,53995000,268773000,268773000,348337000,305833000,130799000,63024000,1053742000,2893290000,42137000,3883066000,3081521000,633870000,167675000,6818493000,7872235000,340697000,150628000,171000,171000,340868000,2006782000,1493466000,693234000,581286000,3500248000,3841116000,2782751000,130802000,2651949000,1343294000,-94926000,4031119000,4031119000,7872235000,53995000,69378000,-168472000,-4972000,-28221000,720056000,-63024000,628811000,-6531000,-579676000,34407000,2996000,-548804000,75035000,75035000,75035000,27683000,2006953000,0.05935,-0.07259,0.094,0.01339,0.00686,3.09135,0.95287,0.25494,0.41277,0.40808,4.39125,30.8166,0.04993,6,0.00804,0.12096,62.78872,-41.68797
"18","2014_Q3",59.025,"Down",791143000,-616354000,174789000,-72704000,-67614000,-5090000,102085000,-38753000,-40550000,1797000,63332000,1162000,64494000,-17982000,46512000,-544000,-544000,45968000,45968000,45968000,227684000,227684000,434332000,309714000,130254000,62087000,1101984000,2901762000,42128000,3864964000,3081521000,633442000,150001000,6808854000,7910838000,349247000,178239000,158000,157999.999999999,349405000,1983319000,1491927000,704544000,569794000,3475246000,3824651000,2796703000,130910000,2665793000,1382711000,-93227000,4086187000,4086187000,7910838000,45968000,68324000,13600000.0000001,27872000,-67637000,-1173999.99999988,937000,-67874000,-6543000,-18000,5227000,246999.999999999,-1087000,-41089000,-41089000,-41089000,170409000,1983477000,0.22093,0.12903,0.0581,0.01125,0.00581,3.15389,0.936,0.25073,0.3505,0.34661,6.03235,31.15659,0.04989,7,0.00694,0.14234,10.30341,17.19932
"19","2014_Q4",59.1184375,"Up",873579000,-664538000,209041000,-68962000,-66075000,-2887000,140079000,-41484000,-40892000,-592000,98595000,251000,98846000,-31065000,67781000,-842000,-842000,66939000,66939000,66939000,91868000,91868000,479748000,306584000,76418000,42182157.5758388,954618000,3068570000,42117000,4004340000,3095317000,758863000,150160000,7115027000,8069645000,364667000,167837000,145000,145000,364812000,1984075000,1519659000,733613000,569841000,3503734000,3868546000,2850872000,131703000,2719169000,1441742000,-91515000,4201099000,4201099000,8069645000,66939000,71156000,18726000,126826000,-52042000,-268397000,62087000,-258352000,-7899000,-17000,3499000,127000,-4290000,-135816000,-135816000,-135816000,211235000,1984220000,0.23929,0.16035,0.07663,0.01593,0.0083,2.61674,0.92084,0.24589,0.50785,0.50201,6.62766,31.87287,0.05993,8,0.00971,0.118,8.95852,13.50918
"20","2015_Q1",72.402131147541,"Up",755027000,-585367000,169660000,-73118000,-72480000,-638000,96542000,-41799000,-40876000,-923000,54743000,3350000,58093000,-19745000,38348000,-327000,-327000,38021000,38021000,38021000,141273000,141273000,354935000,321804000,102457000,18907000,920469000,3071630000,41650000,4007348000,3094824000,758243000,154281000,7120628000,8041097000,301221000,145148000,150137000,150137000,451878000,1834642000,1577878000,691137000,321449000,3412520000,3864398000,2866568000,131907000,2734661000,1471845000,-161714000,4176699000,4176699000,8041097000,38021000,70639000,6053000,111281000,-50924000,-13363000,32999.9999999925,-64254000,-7911000,-118000,10989000,-582000,2378000,49405000,49405000,49405000,167181000,1984779000,0.22471,0.12787,0.05036,0.0091,0.00473,2.03699,0.92523,0.24683,0.28787,0.2844,5.71661,31.62345,0.0599,7,0.00593,0.20807,11.02701,19.09538
"21","2015_Q2",81.8503174603175,"Up",631293000,-553428000,77865000,-70663000,-66763000,-3900000,7202000,-61501000,-62480000,979000,-54299000,3557000,-50742000,14075000,-36667000,-3011000,-3011000,-39678000,-39678000,-39678000,392657000,392657000,369952000,333692000,98364000,0,1194665000,3084093000,41613000,4006154000,3094824000,764072000,147258000,7131860000,8326525000,337895000,157829000,365441000,365441000,703336000,1888365000,1574657000,682849000,678821000,3463022000,4166358000,2898051000,132660000,2765391000,1418901000,-156785000,4160167000,4160167000,8326525000,-39678000,66723000,-12466000,19154000,-47257000,0,-334000,-47591000,-13253000,254082000,31416000,7576000,279821000,251384000,251384000,251384000,73925000,2253806000,0.12334,0.01141,-0.06285,-0.00954,-0.00477,1.69857,1.00149,0.27068,-0.2991,-0.2991,4.75876,31.35985,0.0999,5,-0.00331,-0.33401,25.17618,258.42113
"22","2015_Q3",87.49890625,"Up",895143000,-660694000,234449000,-74453000,-69197000,-5256000,159996000,-84089000,-83652000,-437000,75907000,-6221000,69686000,-19866000,49820000,-1658000,-1658000,48162000,48162000,48162000,74736000.0000001,74736000,490411000,341828000,115225000,1.86264514923096e-09,1022200000,3115524000,41603000,4016556000,3094824000,767995000,153737000,7173683000,8195883000,354016000,190904000,152624000,14124000,506640000,1893737000,1568549000,686171000,670949000,3462286000,3968926000,2924216000,132984000,2791232000,1453752000,-151011000,4226957000,4226957000,8195883000,48162000,68385000,43301000,45483000,-98045000,-21387000,1.86264514923096e-09,-119432000,-13296000,-246527000,19353000,-3502000,-243972000,-317921000,-317921000,-317921000,228381000,2046361000,0.26191,0.17874,0.0538,0.01139,0.00588,2.01761,0.93896,0.24968,0.36183,0.35227,6.72509,31.75656,0.09989,6,0.00784,0.27607,8.63305,12.3229599999999
"23","2015_Q4",91.18046875,"Up",1038460000,-747170000,291290000,-79435000,-71390000,-8045000,211855000,-40618000,-37799000,-2819000,171237000,351000,171588000,-45386000,126202000,-2397000,-2397000,123805000,123805000,123805000,168681000,168681000,552985000,326706000,95318000,0,1143690000,3119627000,40516000,4013033000,3094824000,766695000,151514000,7173176000,8316866000,411947000,195536000,130000,130000,412077000,1979493000,1562019000,692643000,659725000,3541512000,3953589000,2945908000,133315000,2812593000,1564215000,-146846000,4363277000,4363277000,8316866000,123805000,69662000,-7557000,216700000,-65049000,586000,33000,-64430000,-13329000,-67611000,17119000,5496000,-58325000,93945000,93945000,93945000,281517000,1979623000,0.2805,0.20401,0.11922,0.02837,0.01489,2.77543,0.90611,0.23803,0.9275,0.91404,7.77978,32.68813,0.09986,8,0.01735,0.10766,6.4328,8.54803
"24","2016_Q1",89.2903278688525,"Down",857285000,-603356000,253929000,-87941000,-79494000,-8447000,165988000,-35713000,-36312000,599000,130275000,7050000,137325000,-43766000,93559000,-4671000,-4671000,88888000,88888000,88888000,284060000,284060000,418024000,347073000,35434000,1150000,1084591000,3156290000,40558000,4020193000,3094824000,766579000,158790000,7217041000,8301632000,353349000,175729000,130000.000000007,130000.000000015,353479000,1980334000,1513631000,681096000,624875000,3493965000,3847444000,2955750000,133172000,2822578000,1618507000,-120069000,4454188000,4454188000,8301632000,88888000,70053000,23380000,238201000,-70693000,-6397000,-1199000,-78289000,-13336000,-4000,-16392000,-14801000,-44533000,115379000,115379000,115379000,236041000,1980464000,0.2962,0.19362,0.10369,0.01996,0.01071,3.06833,0.86378,0.23856,0.66536,0.65578,6.41709,33.34123,0.09982,7,0.01286,0.15003,7.1869,10.22004
"25","2016_Q2",106.87890625,"Up",754728000,-590010000,164718000,-90706000,-76468000,-14238000,74012000,-34426000,-33732000,-694000,39586000,-9091000,30495000,11470000,41965000,-1807000,-1807000,40158000,40158000,40158000,191886000,191886000,443763000,337758000,34096000,0,1007503000,3197827000,38895000,4002800000,3094824000,753372000,154604000,7239522000,8247025000,356354000,185653000,131000,131000,356485000,1981425000,1488062000,663364000,618806000,3469487000,3825972000,2935230000,133348000,2801882000,1605578000,-119755000,4421053000,4421053000,8247025000,40158000,69406000,-19270000,88728000,-107198000,-1611000,2699000,-106110000,-26718000,-5000,-23433000,-24636000,-74792000,-92174000,-92174000,-92174000,143418000,1981556000,0.21825,0.09806,0.05321,0.00908,0.00487,2.82621,0.8654,0.24028,0.30009,0.29647,5.63983,33.03706,0.19965,7,0.00848,0.66532,12.4787,24.18081
"26","2016_Q3",111.45515625,"Up",956824000,-664639000,292185000,-88857000,-82681000,-6176000,203328000,-33305000,-33333000,27999.9999999998,170023000,10458000,180481000,-53242000,127239000,-2531000,-2531000,124708000,124708000,124708000,91902000,91902000,532795000,347866000,50844000,0,1023407000,3217371000,38924000,4010411000,3094824000,754341000,161246000,7266706000,8290113000,332547000,176476000,131000,131000.000000001,332678000,1982527000,1495577000,683999000,607778000,3478104000,3810782000,2937306000,133027000,2804279000,1661459000,-119434000,4479331000,4479331000,8290113000,124708000,71908000,25308000,66274000,-90139000,9.31322574615479e-10,313000,-89826000,-26620000,-3999.99999999907,-45723000,-4085000,-76432000,-99984000,-99984000,-99984000,275236000,1982658000,0.30537,0.2125,0.13034,0.02784,0.01504,3.07627,0.85075,0.23916,0.93472,0.9218,7.17168,33.57391,0.19952,7,0.01902,0.21346,6.86958,9.29904
"27","2016_Q4",114.565396825397,"Up",1008141000,-703932000,304209000,-79846000,-76311000,-3535000,224363000,-32136000,-33127000,991000,192227000,2713000,194940000,-49803000,145137000,-3113000,-3113000,142024000,142024000,142024000,135365000,135365000,531982000,338042000,71370000,0,1076759000,3228293000,38914000,4014119000,3094824000,753314000,165981000,7281326000,8358085000,360781000,163139000,131000,131000,360912000,1983639000,1509564000,706715000,601117000,3493203000,3854115000,2937664000,132309000,2805355000,1685412000,-119106000,4503970000,4503970000,8358085000,142024000,72048000,23867000,249607000,-84238000,0,626000,-83612000,-26527000,-5000,-92307000,-3693000,-122532000,43463000,43463000,43463000,296411000,1983770000,0.30175,0.22255,0.14088,0.03153,0.01699,2.98344,0.85572,0.23735,1.06772,1.05331,7.5791,33.86036,0.19943,8,0.02108,0.18678,6.23595,8.23846
