"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",1.47063492063492,"Up",8220074,-10365304,-3342174,-280849,-6742281,-2145230,-237973,-276004,38031,-2383203,-264440,-2647643,-60302,-2707945,-2707945,-2707945,-2910524,1249850,1249850,3917773,3917773,544386,531186,13200,5712009,1526952,17133298,4569773,12178868,384657,18660250,24372259,4974991,1756410,3016002,8154388,2595393,26207,2569186,15724772,842982,27027,416425,4415054,20139826,25965065,-20652175,-418752,4232433,4232433,24372259,-2707945,1519545,345604,-24653,-867449,-212117,-212117,-788441,-1117237,-2196803,-2196803,-30227,-2227030,-625685,11726460,-802153,-0.26097,-0.35408,-0.68767,-0.11942,0.2756,0.36325,4.75845,0.48114,-0.28613,-0.28613,0.8081,0.41605,-0.07886,-0.16117,-0.04774,-16.74422,-4.88368
"12","2017_Q3",1.39714285714286,"Down",7784750,-9005138,-3040769,-313400,-5650969,-1220388,-243574,-280413,36839,-1463962,-162611,-1626573,-67030,-1693603,-1693603,-1693603,-2121478,5810486,5810486,3479372,3479372,554615,529412,25203,9844473,1478780,15602371,3330399,12178868,93104,17081151,26925624,4045815,1482713,2140896,7519147,2594191,39840,2554351,14159153,880169,29158,395481,1483651,15642804,34696925,-22345778,-406941,11282820,11282820,26925624,-1693603,1453145,403728,15294.0000000001,178564,-133098,1866902,-3532179,2508647,4554113,4554113,6523.00000000001,4560636,232757,8122629,181983,-0.15677,-0.27252,-0.18803,-0.07879,-0.08578,0.69527,1.38643,0.30167,-0.19577,-0.19577,0.71837,1.04111,0.01679,-0.09431,0.00897,9.93372,-1.8946
"13","2017_Q4",2.85142857142857,"Up",7513592,-7788548,-2703130,-249045,-4836373,-274956,-640163,-672657,32494,-915119,0,-915119,-65000,-980119,-980119,-980119,-1632816,2789382,2789382,3535673,3535673,783988,758785,25203,7109043,1424732,15413866,2997211,12263943,152712,16838598,23947641,3280221,1017774,1623542,378560,2669031,52145,2616886,6327812,911804,30001,371273,1049354,7377166,40998264,-23325897,-440821,16570475,16570475,23947641,-980119,664441,728309,-1031383,-618752,-154773,-359773,-3385071,-1990525,-2969050,-2969050,-52054,-3021104,389485,516110,-731671,-0.03659,-0.21731,-0.09854,-0.06818,0.4481,1.12346,0.4452,0.02155,-0.14203,-0.14203,0.65355,1.44126,-0.06364,-0.0665,-0.04065,-5.83661,8.26777
"14","2018_Q1",3.4644262295082,"Up",8292219,-8746754,-3758826,-238538,-4749390,-454535,146519,-78201,224720,-308016,0,-308016,124527,-183489,-183489,-183489,-930633,4362232,4362232,3879463,3879463,688025,662822,25203,8929720,1385743,15210200,2509544,12263943,436713,16595943,25525663,3503810,991859,1764804,266572.000000001,649487,62104,587383,4419869,734475,28615,333788,855374,5275243,45141789,-23509386,-721070,20250420,20250420,25525663,-183489,662812,888558,221398,1589279,-197223,-225158,-2159714,471029.000000001,1835150,1835150,-262300,1572850,208277,387470.999999999,107925,-0.05481,-0.11223,-0.04596,-0.03646,-0.11597,2.02036,0.2605,0.01518,-0.08067,-0.08067,0.71879,1.75527,0.00936000000000001,-0.01365,0.00505000000000001,-19.08401,8.74468
"15","2018_Q2",3.45140625,"Down",8307325,-8236454,-2905748,-255880,-5074826,70871,82578,-68796,151374,153449,-31749,121700,-46664,75036,75036,75036,-700296,3541070,3541070,3776959,3776959,2136356,721390,1414966,9454385,1339675,14825737,2091878,12263943,469916,16165412,25619797,3297666,730239,1799964,174618,630048,41191,588857,4102332,733618,27639,295907,840526,4942858,44252268,-21990229,-924216,20676939,20676939,25619797,75036,590771,119460,-111886,673381,-174242,-174242,-139672,-1114037,-614898,-614898,-206264,-821162,661642,281526,422178,0.00853,-0.0843,-0.03387,-0.02733,-0.60286,2.30464,0.23905,0.01099,-0.06028,-0.06028,0.7151,1.7798,0.03634,0.00252,0.01946,-4.92645,-45.99263
"16","2018_Q3",4.58412698412698,"Up",8682937,-8599451,-3457262,-248920,-4893269,83486,174361,-44228,218589,257847,-11031,246816,-51536,195280,195280,195280,-1053437,11722619,11722619,3437850,3437850,3425147,1730621,1694526,18585616,1388173,14390908,1702240,12263943,424725,15779081,34364697,3613335,590266,1966852,81295.0000000001,679838,27675,652163,4374468,733752,28212,255468,874365,5248833,52722751,-21794949,-1151474,29115864,29115864,34364697,195280,559696,327470,211778,1294224,-202188,-1202188,-82538,8318083,8410119,8410119,-228570,8181549,643182,221908,704308,0.00961,-0.12132,-0.03618,-0.03065,-0.66858,4.24866,0.18027,0.00646,-0.0903,-0.0903,0.74433,2.49578,0.06038,-0.00311,0.02342,-17.88096,-137.75616
"17","2018_Q4",4.82603174603175,"Up",17044526,-18802529,-5592807,-263717,-12946005,-1758003,-299049,-80328,-218721,-2057052,-25473,-2082525,250072,-1832453,-1832453,-1832453,-2888667,1259574,1259574,8443857,8443857,3617816,1112134,2505682,13777383,1869513,20414546,7180153,12681055,553338,22284059,36061442,7034113,2711580,3266315,375503,684731,30214,654517,8094347,435668,19632,231036,700522,8794869,52530881,-23627402,-976442,27266573,27266573,36061442,-1832453,822098,1141295,2649957,2780897,-366685,-11966685,-218711,-1427406,-10613194,-10613194,150149,-10463045,-935905,640357,1097295,-0.10314,-0.16948,-0.10594,-0.0801,-0.37986,1.7021,0.32255,0.01776,-0.24539,-0.24539,1.44794,2.31617,0.09322,-0.06465,0.03872,0.66162,0.35223
"18","2019_Q1",4.41295081967213,"Down",16510993,-17373893,-5920638,-260993,-11192262,-862900,286062,-57028,343090,-576838,-5018,-581856,5513,-576343,-576343,-576343,-2320067,14472483,14472483,7331474,7331474,3825279,1191445,2633834,26073673,1832187,19717501,6634003,12593795,489703,21549688,47623361,7237726,2438267,3330735,277776,661393,44304,617089,8176895,576112,12915.4302189612,411766,576112,8753007,65155031,-24203745,-1421068,38870354,38870354,47623361,-576343,941301,1040045,658969,2063972,-285134,-285134.000000002,22644070,11879897,13658735,13658735,-445826,13212909,78401.0000000002,277776,446723,-0.05226,-0.14052,-0.05969,-0.04872,-0.19255,3.1887,0.22518,0.00583,-0.1961,-0.1961,1.39558,3.2853,0.03776,-0.02489,0.01125,-181.05263,16.45
"19","2019_Q2",4.94047619047619,"Up",15080211,-15382411,-4523475,-254656,-10604280,-302200,-98226,-17196,-81030,-400426,64203,-336223,40532,-295691,-295691,-295691,-1788391,12526647,12526647,7807867,7807867,3276634,907120,2369514,23975367,2148604,23177637,6083516,12593795,4500326,25326241,49301608,7278812,2066091,3726012,185944,2029018,40569,1988449,9493774,2793241,12283.5673555561,2684427,2793241,12287015,63385590,-24499436,-1211723,37014593,37014593,49301608,-295691,773933,1433038,-973771,937509,-510938,-510938,-239473,-2586271,-2159700,-2159700,213864,-1945836,471733,185944,-1053508,-0.02004,-0.11859,-0.04832,-0.03627,0.58908,2.52538,0.33195,0.00377,-0.14971,-0.14971,1.26236,3.09831,-0.08819,-0.00784,-0.02634,-26.16036,40.83621
"20","2019_Q3",4.5715625,"Down",16749499,-17977275,-5526311,-218408,-12232556,-1227776,512156,-33065,545221,-715620,0,-715620,-55352,-770972,-770972,-770972,-2257678,10583026,10583026,7518940,7518940,3330299,843428,2486871,21834835,2031246,24413726,6507149,12633696,5272881,26444972,48279807,8142322,2442211,4213403,152830,2372820,16225,2356595,10667972,3202632,18360,3035106,3202632,13870604,62313735,-25270408,-1974286,34409203,34409203,48279807,-770972,853363,1064375,1228654,2375420,-393282,-1993282,-124648,-1671737,-1289599,-1289599,-654022,-1943621,-374413,152830,516311,-0.0733,-0.13479,-0.06561,-0.04676,-0.22869,2.04677,0.40311,0.00317,-0.18779,-0.18779,1.39317,2.86187,0.04295,-0.02042,0.01367,27.85746,8.49519
"21","2019_Q4",3.95390625,"Down",16851328,-16325140,-4799543,-175758,-11349839,526188,-719995,-31653,-688342,-193807,143233,-50574,-86970,-137544,-137544,-137544,-1740377,13987197,13987197,7900078,7900078,3802009,1092616,2709393,26064584,2039777,23453320,6165273,12633696,4654351,25493097,51557681,8940896,2904181,4450187,383691,1978503,16439,1962064,11303090,2837862,16308,2622623,2837862,14140952,64756667,-25407952,-1272294,37416729,37416729,51557681,-137544,829887,1815698,-1067169,1440872,-422430,-422430,-108707,1719201,2737643,2737643,666528,3404171,1356075,383691,-46554,0.03123,-0.10328,-0.04651,-0.03376,0.02675,2.30597,0.37793,0.00744,-0.14327,-0.14327,1.38718,3.07991,-0.00383,-0.00584,-0.00115,-10.03153,-25.85294
"22","2020_Q1",5.23209677419355,"Up",15757962,26373826,-4584671,-222178,31180675,945788,-439935,-39086,-400849,505853,-82436,423417,-91210,332207,332207,332207,-1471554,19994000,19994000,6995000,6995000,3521000,1123000,2398000,31001000,2908000,22493000,5977000,12634000,3882000,25401000,56402000,9185000,3491000,3948000,284000,1709000,20000,1689000,11178000,2304000,19000,2041000,2387000,13565000,69416000,-25076000,-843000,42837000,42837000,56402000,332207,613817,1926889,-8714.00000000047,2864199,-693350,-1231350,42828,3960807,5593656,5593656,413630,6007286,1559605,367000,948751,0.06002,-0.09338,-0.03435,-0.02609,-0.64473,2.77339,0.31667,0.00651,-0.12027,-0.12027,1.28791,3.50093,0.0775399999999999,0.0038,0.02085,-12.5846,-20.75201
"23","2020_Q2",6.77365079365079,"Up",21867000,-11137000,-7174000,-2333000,-1630000,-2837000,365000,-80000,445000,-2472000,-444208.183922366,-2472000,-30000,-2502000,-2502000,-2502000,-5145000,8395321,8395321,9315411,9315411,5208839,2310902,2897937,23405685,3447181,62979779,17337093,38351775,7290911,66426960,89832645,14095703,6762423,4925975,183152,3898516,23787,3874729,18177371,4708315,195789,4253014,14458315,32635686,86866246,-27577315,-1433300,57196959,57196959,89832645,-2502000,1504000,1944000,-4830000,-3884000,-539000,-14033000,9611000,6810000,-11107000,-11107000,-492000,-11599000,-1333000,9933152,-6672000,-0.12974,-0.23529,-0.08995,-0.05727,1.29679,1.28763,0.57058,0.11057,-0.41793,-0.41793,1.77624,4.6458,-0.54196,-0.04404,-0.09288,-1.15366,-0.54206
"24","2020_Q3",10.09875,"Up",19579000,-11633000,-7018000,-2146000,-2469000,-4610000,-256000,-142000,-114000,-4866000,-582167.031909391,-4866000,74000,-4792000,-4792000,-4792000,-8069000,12532436,12532436,11205854,11205854,6951651,3510619,3441032,30999471,3830274,91084977,31793037,49708210,9583730,94915251,125914722,21460925,9075637,9191351,1128891,5699351,1009561,4689790,28289167,8508936,206721,8157703,18258936,46548103,113811351,-32369820,-1417273,79366619,79366619,125914722,-4792000,2139000,2766000,842999.999999999,956000,-278000,-13122000,-47000.0000000019,16248000,4082000,4082000,55000,4137000,-2471000,10878891,-1980000,-0.23546,-0.41213,-0.10167,-0.06408,0.24538,1.09581,0.58649,0.0864,-0.65098,-0.65098,1.57956,6.40266,-0.15974,-0.05648,-0.02005,0.66918,0.358689999999996
"25","2020_Q4",9.215,"Down",31639000,-12974000,-7762000,-2367000,-2845000,-1054000,-377000,-130000,-247000,-1431000,-181000,-1612000,-62000,-1674000,-1674000,-1674000,-5904000,22839886,22839886,13765301,13765301,7680866,3589350,4091516,44591291,3946768,88816389,31119576,48950323,8746490,92763157,137354448,19719681,7302785,8319763,1132809,5851180,1215161,4636019,26703670,8315561,160007,8004077,8315561,35019231,138170606,-34043410,-1135449,102335217,102335217,137354448,-1674000,3173000,2684000,-5588000,-1405000,-472000,-1617000,-6999000,13081000,10059000,10059000,249000,10308000,2119000,1132809,-3879000,-0.03331,-0.18661,-0.05769,-0.04298,0.65701,1.66986,0.3422,0.00825,-0.46218,-0.46218,2.47676,8.01056,-0.30366,-0.02306,-0.0347,-10.24402,20.59495
"26","2021_Q1",9.8883606557377,"Up",32037000,-12865000,-7439000,-2465000,-2961000,193000,-171000,-94000,-77000,21999.9999999995,218000,240000,-85000,155000,155000,155000,-3572000,20925000,20925000,12089000,12089000,11406000,7288000,4118000,44819000,4921000,88259000,29978000,49291000,8990000,93180000,137999000,21794000,6461000,11092000,401000,6829000,1173000,5656000,29024000,7689000,305000,7224000,7730000,36754000,136786000,-33889000,-1004000,101245000,101245000,137999000,155000,3318000,2203000,-2235000,3441000,-1300000,-2697000,1219000,-2717000,-1973000,-1973000,58000,-1915000,3511000,442000.000000001,61000,0.00602,-0.1115,-0.03528,-0.02588,-0.01708,1.5442,0.36302,0.0032,-0.26989,-0.26989,2.42063,7.64873,0.00461000000000006,0.000109999999999999,0.000559999999999991,-5.83395,-106.12953
"27","2021_Q2",8.30746031746032,"Down",29768000,-12371000,-7514000,-2026000,-2831000,-663000,-284000,-64000,-220000,-947000,-1018000,-1965000,1000,-1964000,-1964000,-1964000,-5092000,20995000,20995000,12419000,12419000,11455000,7067000,4388000,45248000,5323000,86855000,29166000,49291000,8398000,92178000,137426000,20767000,4734000,12256000,167000,6388000,1225000,5163000,27322000,6556000,285000,6147000,6591000,33913000,140672000,-35853000,-659000,103513000,103513000,137426000,-1964000,2945000,2465000,-2488000,958000,-695000,-2219000,6194000,1157000,-104000,-104000,174000,70000,2282000,202000,-902000,-0.02227,-0.17106,-0.04919,-0.03705,0.17714,1.6561,0.32762,0.00147,-0.36153,-0.36153,2.11349,7.34823,-0.06404,-0.0136,-0.00818,-9.11174,31.36199
"28","2021_Q3",8.10375,"Down",34066000,-13414000,-8473000,-1813000,-3128000,117000,92000,-113000,205000,209000,-223000,-14000,-213000,-227000,-227000,-227000,-3866000,8002000,8002000,16224000,16224000,10262000,3279000,6983000,34929000,5544000,102885000,33267000,60661000,8957000,108429000,143358000,19139000,4758000,10571000,22000,7777000,1181000,6596000,26938000,13624000,184000,13154000,18655000,45593000,135556000,-36080000,-1064000,97765000,97765000,143358000,-227000,3240000,2507000,-4397000,1123000,-789000,-14780000,4807000,2434000,-11223000,-11223000,-270000,-11493000,3357000,5053000,-1616000,0.00343,-0.11349,-0.03954,-0.02697,0.418,1.29664,0.46635,0.03525,-0.26786,-0.26786,2.36032,6.77277,-0.11197,-0.00223,-0.01388,-0.878460000000002,-25.20513
"29","2021_Q4",7.0859375,"Down",38304000,-12331000,-8296000,-488000,-3547000,1849000,-152000,-87000,-65000,1697000,-424000,1273000,232000,1505000,1505000,1505000,-2137000,8313000,8313000,18094000,18094000,9491000,3817000,5674000,36398000,5108000,101003000,32143000,60661000,8199000,106111000,142509000,19930000,5803000,10284000,590000,5945000,1089000,4856000,26465000,12969000,216000,12453000,18993000,45458000,133811000,-34575000,-1539000,97051000,97051000,142509000,1505000,3668000,2185000,-2229000,5129000,-508000,-2852000,688000,-2319000,-42000,-42000,-147000,-189000,5517000,6614000,2548000,0.04827,-0.05579,-0.02202,-0.015,-1.19233,1.37533,0.46839,0.04641,-0.14496,-0.14496,2.59823,6.58205,0.17284,0.01261,0.02185,-0.30796,-0.91888
"30","2022_Q1",5.48016129032258,"Down",37461000,-11546000,-8776000,-81000.0000000001,-2689000,1716000,-192000,-176000,-16000.0000000001,1524000,2175000,3699000,-177000,3522000,3522000,3522000,-121000,9340000,9340000,17006000,17006000,8710000,2972000,5738000,35559000,5404000,99885000,30778000,61186000,7921000,105289000,140848000,20146000,5948000,10342000,344000,9072000,1085000,7987000,29562000,5335000,341000,4545000,13355000,42917000,131400000,-31053000,-1754000,97931000,97931000,140848000,-1505000,-3668000,-2185000,2229000,-5129000,508000,2852000,-645000,2319000,42000,42000,147000,189000,-1952000,8364000,962000,0.04581,-0.00322999999999999,-0.00124,-0.00086,-7.95041,1.20286,0.43824,0.05938,-0.00771,-0.00771,2.3878,6.24221,0.06132,-0.0334,0.00862,0.5,-0.568760000000003
"31","2022_Q2",3.96564516129032,"Down",35341000,-11894000,-7969000,-985000,-2940000,774000,-12000,-95000,83000,762000,442000,1204000,-64000,1140000,1140000,1140000,-2897000,9136000,9136000,18493000,18493000,8711000,3050000,5661000,36757000,5396000,99062000,30487000,61186000,7389000,104458000,141215000,19638000,5833000,9855000,95000,8367000,1140000,7227000,28100000,4804000,390000,3929000,10822000,38922000,134871000,-29913000,-2009000,102293000,102293000,141215000,1140000,3080000,1500000,-2633000,3087000,-544000,-2797000,-22251000,-342000,-52000,-52000,-152000,-204000,3854000,6113000,741000,0.0219,-0.08197,-0.02832,-0.02051,-0.25578,1.30808,0.3805,0.04329,-0.19442,-0.19442,2.37182,6.86472,0.04973,0.00924,0.00655,-0.78438,-3.90568
