"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2017_Q3",17.0803174603175,"Down",112400000,-67300000,-15300000,-11300000,-40700000,45100000,46600000,-7500000,-7500000,44700000,91700000,91700000,91700000,91700000,-26200000,65500000,65500000,135400000,135400000,40700000,17700000,12800000,4500000,8300000,188900000,614300000,255700000,909800000,1098700000,34700000,1.5e+07,19700000,57200000,1351200000,1984100000,-2257500000,-273400000,20900000,-252500000,1098700000,91700000,11300000,-2200000,3200000,1.04e+08,-15300000,-15300000,-15300000,3700000,-221400000,-4.83e+08,-2100000,9.8e+07,-19400000,-19400000,-19400000,56400000,0,0.40125,0.58274,-0.25941,0.05962,3.30245,-5.35129,0,0.16654,0.14749,0.28579,-0.69514,1.22807,0.52664,7.37405,-3.00222
"12","2017_Q4",16.7411111111111,"Down",121800000,-69400000,-13600000,-10700000,-45100000,52400000,47100000,-9700000,-9700000,49100000,99500000,99500000,99500000,99500000,-26900000,72600000,72600000,171900000,171900000,29100000,12900000,11900000,1200000,10700000,212900000,608900000,255100000,903800000,1116700000,36100000,1.3e+07,23100000,63400000,1092500000,2260200000,-2256800000,3400000,20800000,24199999.9999999,1116700000,99500000,10700000,-4900000,20800000,126100000,-16600000,-16600000,-16600000,2700000,-4e+06,-78100000,-16900000,-8.5e+07,37100000,37100000,37100000,63100000,1.86264514923096e-09,0.43021,0.59606,3,0.06501,3.35804,45.14463,3.46944695195361e-18,0.18459,0.16348,0.30969,0.00863999999999998,0.19858,0.14307,1.07576,-3.28053
"13","2018_Q1",16.437868852459,"Down",126700000,-70300000,-1.5e+07,-11700000,-43600000,56400000,46300000,-1e+07,-1e+07,46500000,102700000,102700000,102700000,102700000,-16600000,86100000,86100000,137700000,137700000,4.1e+07,17200000,24900000,12500000,12400000,203600000,736500000,364300000,1162900000,1366500000,35500000,15600000,19900000,54900000,1932400000,2266300000,-2855500000,-589200000,23300000,-565900000,1366500000,102700000,11700000,-1e+06,-27600000,85800000,-15600000,-15600000,-15600000,-7600000,-280300000,-683300000,-2900000,158900000,-35600000,-35600000,-35600000,68100000,0,0.44515,0.67956,-0.15215,0.06301,3.70856,-3.41474,0,0.21892,0.19388,0.32215,-1.49809,1.73735,0.58661,7.93612,-2.44149
"14","2018_Q2",14.08015625,"Down",1e+08,-8.8e+07,-1.5e+07,-1.1e+07,-6.2e+07,5000000.00000001,6e+07,-1.1e+07,-1.1e+07,4e+07,6.5e+07,6.5e+07,6.5e+07,6.5e+07,-1e+06,6.4e+07,6.4e+07,184700000,184700000,31300000,8e+06,21600000,8800000,12800000,237600000,739900000,348100000,1150100000,1387700000,6e+07,20800000,39200000,72800000,977400000,3213700000,-2825900000,387800000,22500000,410300000,1387700000,6.5e+07,1.1e+07,-1e+06,3.4e+07,1.09e+08,-9e+06,-9e+06,-9e+06,1.1e+07,2e+06,-8.3e+07,1.9e+07,-6.4e+07,4.7e+07,4.7e+07,4.7e+07,1.6e+07,0,0.0499999999999999,0.64,0.15598,0.04612,3.26374,2.38216,-2.16840434497101e-19,0.16273,0.14411,0.25426,0.98602,0.21103,0.1118,1.29688,-36.94
"15","2018_Q3",14.5,"Up",1.29e+08,-7e+07,-1.6e+07,-1.2e+07,-4.2e+07,5.7e+07,5.8e+07,-1.3e+07,-1.3e+07,4.8e+07,1.15e+08,1.15e+08,1.15e+08,1.15e+08,-4e+06,1.11e+08,1.11e+08,174900000,174900000,44600000,19800000,24100000,5200000,18900000,243600000,741200000,823500000,1626800000,1870400000,5.5e+07,1.7e+07,3.8e+07,66500000,2191200000,3214900000,-3558200000,-343300000,22500000,-320800000,1870400000,1.15e+08,1.2e+07,-7e+06,-1.6e+07,1.04e+08,-1.6e+07,-1.6e+07,-1.6e+07,8e+06,-4.9e+08,-8.44e+08,-3.72529029846191e-09,3.76e+08,-1e+07,-1e+07,-1e+07,6.9e+07,0,0.44186,0.86047,-0.34601,0.05935,3.66316,-6.83042,0,0.28223,0.24994,0.32799,-0.87287,2.14594,0.52941,7.6036,-3.06842
"16","2018_Q4",12.9411111111111,"Down",1.53e+08,-6.1e+07,-1.3e+07,-1.1e+07,-3.7e+07,7.8e+07,7.7e+07,-1.9e+07,-1.9e+07,7.3e+07,1.55e+08,1.55e+08,1.55e+08,1.55e+08,-6e+06,1.49e+08,1.49e+08,199500000,199500000,5.4e+07,18400000,17200000,1500000,15700000,270700000,743700000,822200000,1.628e+09,1898700000,47700000,14800000,32900000,58300000,2181900000,3245500000,-3552600000,-307100000,23900000,-283200000,1898700000,1.55e+08,1.1e+07,3e+06,-1.4e+07,1.55e+08,-1.3e+07,-1.3e+07,-1.3e+07,1e+06,-1.2e+07,-1.14e+08,-4e+06,-1.18e+08,2.5e+07,2.5e+07,2.5e+07,8.9e+07,9.31322574615479e-10,0.5098,0.97386,-0.52613,0.07847,4.64322,-7.70445,-4.33680868994202e-19,0.37885,0.33551,0.38902,-0.78083,0.28986,0.1429,0.7651,-2.55769
"17","2019_Q1",12.8303278688525,"Down",1.43e+08,-6.5e+07,-1.6e+07,-1.2e+07,-3.7e+07,6.9e+07,7.6e+07,-1.9e+07,-2.1e+07,7.4e+07,1.45e+08,1.48e+08,1.47e+08,1.47e+08,-7e+06,1.4e+08,1.4e+08,2.08e+08,2.08e+08,4.8e+07,1.9e+07,2.8e+07,1.5e+07,1.3e+07,2.84e+08,7.42e+08,8.26e+08,1.63e+09,1.914e+09,4.2e+07,1.3e+07,2.9e+07,5.3e+07,2.171e+09,3.261e+09,-3.543e+09,-2.82e+08,2.5e+07,-2.57e+08,1.914e+09,1.47e+08,1.2e+07,-4e+06,-1.6e+07,1.39e+08,-1.1e+07,-1.1e+07,-1.1e+07,0,-1.1e+07,-1.2e+08,0,-1.2e+08,7999999.99999999,7999999.99999999,7999999.99999999,8.1e+07,2.5e+07,0.48252,0.97902,-0.54475,0.07315,5.35849,-8.44747,0.01306,0.35596,0.31524,0.36359,-0.71701,0.30511,0.13971,0.85714,-2.65217
"18","2019_Q2",14.0090476190476,"Up",1.31e+08,-5.5e+07,-1.2e+07,-1.2e+07,-3.1e+07,6.7e+07,7.2e+07,-2e+07,-2e+07,7e+07,1.39e+08,1.37e+08,1.37e+08,1.37e+08,-5e+06,1.32e+08,1.32e+08,2.26e+08,2.26e+08,4.3e+07,1.4e+07,2.2e+07,1.1e+07,1.1e+07,2.91e+08,7.4e+08,8.22e+08,1.624e+09,1.915e+09,4.3e+07,1.6e+07,2.7e+07,4.5e+07,2.169e+09,3.268e+09,-3.549e+09,-2.81e+08,2.7e+07,-2.54e+08,1.915e+09,1.37e+08,1.2e+07,1e+06,0,1.5e+08,-1e+07,-1e+07,-1e+07,3e+06,-7e+06,-1.29e+08,4e+06,-1.25e+08,1.8e+07,1.8e+07,1.8e+07,7.9e+07,2.5e+07,0.51145,1.00763,-0.51969,0.06893,6.46667,-8.53937,0.01305,0.33562,0.29723,0.33308,-0.71447,0.32799,0.13957,0.97727,-3
"19","2019_Q3",14.36296875,"Up",1.21e+08,-6.6e+07,-1.7e+07,-1.2e+07,-3.7e+07,4.8e+07,7.1e+07,-2.1e+07,-2.1e+07,8e+07,1.19e+08,1.19e+08,1.19e+08,1.19e+08,-4e+06,1.15e+08,1.15e+08,2.57e+08,2.57e+08,5.1e+07,1.2e+07,1.9e+07,6e+06,1.3e+07,3.27e+08,7.38e+08,9.37e+08,1.677e+09,2.004e+09,4.8e+07,1.3e+07,3.5e+07,4.8e+07,2.771e+09,3.26e+09,-4.052e+09,-7.92e+08,2.5e+07,-7.67e+08,2.004e+09,1.19e+08,1.2e+07,-2e+06,4e+06,1.33e+08,-1.4e+07,-1.4e+07,-1.4e+07,3.4e+07,-7e+07,-6.29e+08,-3e+06,-3.2e+07,3.1e+07,3.1e+07,3.1e+07,6e+07,2.5e+07,0.39669,0.95041,-0.14993,0.05739,6.8125,-3.61278,0.01248,0.2924,0.25895,0.30765,-2.01373,1.59929,0.38037,5.46957,-4.83333
"20","2019_Q4",14.41890625,"Up",1.25e+08,-6.6e+07,-1.6e+07,-1.2e+07,-3.8e+07,4.9e+07,9.7e+07,-2.6e+07,-2.8e+07,1.15e+08,1.46e+08,1.46e+08,1.46e+08,1.46e+08,-5e+06,1.41e+08,1.41e+08,2.94e+08,2.94e+08,4.2e+07,1.2e+07,1.5e+07,2e+06,1.3e+07,3.51e+08,7.33e+08,9.33e+08,1.668e+09,2.019e+09,5.4e+07,1.3e+07,4.1e+07,5.4e+07,2.776e+09,3.265e+09,-4.048e+09,-7.83e+08,2.6e+07,-7.57e+08,2.019e+09,1.46e+08,1.2e+07,-1e+06,1.8e+07,1.75e+08,-7e+06,-7e+06,-7e+06,6e+06,-1e+06,-1.31e+08,-5e+06,-1.37e+08,3.7e+07,3.7e+07,3.7e+07,6.1e+07,2.5e+07,0.392,1.128,-0.18626,0.06984,6.5,-3.66711,0.01238,0.3585,0.3175,0.31782,-1.99085,0.33308,0.13842,0.92908,-5.4898
"21","2020_Q1",12.4017741935484,"Down",1.26e+08,-6.3e+07,-1.5e+07,-1.3e+07,-3.5e+07,5.3e+07,9.1e+07,-2.5e+07,-2.7e+07,1.08e+08,1.44e+08,1.44e+08,1.44e+08,1.44e+08,-4e+06,1.4e+08,1.4e+08,2.9e+08,2.9e+08,4.1e+07,1.2e+07,2.8e+07,1.6e+07,1.2e+07,3.59e+08,7.26e+08,9.32e+08,1.66e+09,2.019e+09,4.6e+07,1.5e+07,3.1e+07,4.6e+07,2.768e+09,3.247e+09,-4.022e+09,-7.75e+08,2.6e+07,-7.49e+08,2.019e+09,1.44e+08,1.3e+07,0,-1.8e+07,1.39e+08,-7e+06,-7e+06,-7e+06,-2e+06,-9000000.00000001,-1.4e+08,6e+06,-1.34e+08,-4e+06,-4e+06,-4e+06,6.6e+07,2.4e+07,0.42063,1.11111,-0.18692,0.06934,7.80435,-3.69559,0.01189,0.35596,0.31524,0.32037,-1.97051,0.35596,0.14192,1,-5.01887
"22","2020_Q2",9.65761904761905,"Down",1.21e+08,-6.1e+07,-1.5e+07,-1.3e+07,-3.3e+07,4.5e+07,9.7e+07,-2.4e+07,-2.5e+07,1.12e+08,1.42e+08,1.42e+08,1.42e+08,1.42e+08,-4e+06,1.38e+08,1.38e+08,2.92e+08,2.92e+08,4.2e+07,1e+07,1.7e+07,1.3e+07,4e+06,3.51e+08,7.17e+08,9.18e+08,1.637e+09,1.988e+09,3.8e+07,9e+06,2.9e+07,4e+07,2.762e+09,3.223e+09,-4.022e+09,-7.99e+08,2.5e+07,-7.74e+08,1.988e+09,1.42e+08,1.3e+07,8e+06,-1e+06,1.62e+08,-7e+06,-7e+06,-7e+06,1.4e+07,7e+06,-1.62e+08,-5e+06,-1.67e+08,2e+06,2e+06,2e+06,5.8e+07,2.4e+07,0.3719,1.1405,-0.17829,0.06942,8.775,-3.56848,0.01207,0.35088,0.31074,0.30765,-2.03153,0.4119,0.154,1.17391,-5.95556
"23","2020_Q3",8.525,"Down",1.2e+08,-7.7e+07,-1.6e+07,-1.3e+07,-4.8e+07,4.1e+07,1.03e+08,-1.7e+07,-2.4e+07,1.09e+08,1.44e+08,1.44e+08,1.44e+08,1.44e+08,-3e+06,1.41e+08,1.29e+08,313191236.831345,313191236.831345,53072760.8184225,6632844.05704589,4723816.87706401,5939813.94999301,-1215997.072929,370987814.526831,712207357.49346,1356813223.34985,1822027803.95887,2193015618.4857,51078520.2612611,18106822.3496567,32971697.9116043,61287342.9878168,2781273331.20849,2031899769.36187,-2139708132.9494,-612407225.019049,24149512.2962523,-588257712.722796,2193015618.4857,1.44e+08,1.3e+07,2e+06,3.3e+07,1.92e+08,-2e+06,-2e+06,-2e+06,1.8e+07,1.6e+07,-1.63e+08,-5e+06,-1.68e+08,4e+07,4e+07,4e+07,5.4e+07,0,0.34167,1.075,-0.251933717343367,0.0620608292687352,6.89581747633874,-5.30705241386576,-0.267731550010258,0.32799,0.29048,0.30511,-0.274672134323478,0.41444,0.138986550293057,1.26357,-22.7713362772518
"24","2020_Q4",7.9865625,"Down",1.1e+08,-7.2e+07,-1.6e+07,-1.3e+07,-4.3e+07,3.5e+07,1.02e+08,-1.4e+07,-2.2e+07,1.09e+08,1.37e+08,1.37e+08,1.37e+08,1.37e+08,-2e+06,1.35e+08,1.23e+08,3.29e+08,3.29e+08,5e+07,1e+07,1.7e+07,1e+07,7e+06,3.96e+08,7.08e+08,1.288e+09,1.998e+09,2.394e+09,6.6e+07,2.8e+07,3.8e+07,8.5e+07,2.808e+09,9.28e+08,-3.06e+08,-4.37e+08,2.3e+07,-4.14e+08,2.394e+09,1.37e+08,1.3e+07,-3e+06,2e+06,1.49e+08,-8e+06,-8e+06,-8e+06,3e+07,2.2e+07,-1.72e+08,-1e+06,-1.74e+08,-3e+06,-3e+06,-3e+06,4.8e+07,23999999.9999999,0.31818,1.11818,-0.2971,0.05138,4.65882,-6.78261,0.01003,0.31274,0.27696,0.27968,1.58149,0.43733,0.12776,1.39837,-8.71429000000001
"25","2021_Q1",10.1680327868852,"Up",1.3e+08,-7.8e+07,-9e+06,-1.1e+07,-5.8e+07,4.8e+07,8.5e+07,-1.5e+07,-2.2e+07,8.7e+07,1.33e+08,1.33e+08,1.33e+08,1.33e+08,-4e+06,1.29e+08,1.17e+08,3.2e+08,3.2e+08,2e+07,2e+07,5.4e+07,2.4e+07,3e+07,3.94e+08,6.99e+08,2.39e+08,1.953e+09,2.347e+09,5.9e+07,2.1e+07,3.8e+07,8.2e+07,2.805e+09,8.85e+08,-3.07e+08,-4.81e+08,2.3e+07,-4.58e+08,2.347e+09,1.33e+08,1.1e+07,3e+06,0,1.47e+08,-1e+07,-1e+07,-1e+07,2.9e+07,1.9e+07,-1.73e+08,-2e+06,-1.75e+08,-9e+06,-9e+06,-9e+06,5.9e+07,2.692e+09,0.36923,0.9,-0.25546,0.04985,4.80488,-6.12445,1.147,0.29748,0.26345,0.33054,1.46962,0.43987,0.12804,1.47863,49.41667
"26","2021_Q2",13.2960317460317,"Up",1.39e+08,-6.8e+07,-1.2e+07,-1.3e+07,-4.3e+07,6.7e+07,1.03e+08,-1.3e+07,-2.1e+07,1.02e+08,1.7e+08,1.67e+08,1.67e+08,1.67e+08,-4e+06,1.63e+08,1.51e+08,3.17e+08,3.17e+08,1.4e+07,1.4e+07,6.1e+07,1.6e+07,4.5e+07,3.92e+08,6.86e+08,2.35e+08,1.93e+09,2.322e+09,4.3e+07,1.5e+07,2.8e+07,6.7e+07,2.789e+09,8.75e+08,-3.06e+08,-4.9e+08,2.3e+07,-4.67e+08,2.322e+09,1.67e+08,1.3e+07,-3e+06,-1.1e+07,1.66e+08,-1e+06,-1e+06,-1e+06,1e+07,9e+06,-1.73e+08,-3e+06,-1.78e+08,-3e+06,-3e+06,-3e+06,8e+07,2.691e+09,0.48201,1.08633,-0.32334,0.06503,5.85075,-5.97216,1.15891,0.38393,0.34001,0.35342,1.44673,0.43987,0.14368,1.1457,35.43284
"27","2021_Q3",11.553125,"Down",1.48e+08,-7.6e+07,-1.3e+07,-1.2e+07,-5.1e+07,6.5e+07,1.01e+08,-1.4e+07,-2.1e+07,1.05e+08,1.66e+08,1.66e+08,1.66e+08,1.66e+08,-4e+06,1.62e+08,1.5e+08,3.53e+08,3.53e+08,1.3e+07,1.3e+07,5.9e+07,8e+06,5.1e+07,4.25e+08,6.73e+08,2.31e+08,1.902e+09,2.327e+09,5.5e+07,2.1e+07,3.4e+07,7.3e+07,2.794e+09,3.363e+09,-1.364e+09,-4.69e+08,2e+06,-4.67e+08,2.327e+09,1.66e+08,1.2e+07,-5e+06,1.2e+07,1.85e+08,-3e+06,-3e+06,-3e+06,2.7e+07,2.4e+07,-1.73e+08,0,-1.73e+08,3.6e+07,3.6e+07,3.6e+07,7.7e+07,2.691e+09,0.43919,1.01351,-0.3212,0.06446,5.82192,-5.98287,1.15642,0.38139,0.33776,0.3763,5.08263,0.43987,0.1433,1.15333,35.96923
"28","2021_Q4",10.97578125,"Down",1.28e+08,-7e+07,-1.3e+07,-1.2e+07,-4.5e+07,4.9e+07,8e+07,-1.4e+07,-2.2e+07,8.6e+07,1.29e+08,1.29e+08,1.29e+08,1.29e+08,-2e+06,1.27e+08,1.15e+08,3.65e+08,3.65e+08,7e+06,7e+06,5.8e+07,1e+07,4.8e+07,4.3e+08,6.62e+08,2.27e+08,1.899e+09,2.329e+09,5.2e+07,1.7e+07,3.5e+07,7.8e+07,2.798e+09,2.303e+09,-3.03e+08,-4.7e+08,1e+06,-4.69e+08,2.329e+09,1.29e+08,1.2e+07,-1.6e+07,1.3e+07,1.38e+08,-3e+06,-3e+06,-3e+06,8e+06,5e+06,-1.3e+08,-1e+06,-1.31e+08,1.2e+07,1.2e+07,1.2e+07,6.1e+07,2.691e+09,0.38281,0.89844,-0.2452,0.04938,5.51282,-5.96588,1.15543,0.2924,0.25895,0.32545,5.08518,0.33054,0.10884,1.13043,47.46939
