"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",7.2453125,"Up",121119000,-95101000,26018000,-2503000,-866000,-1637000,23515000,1326000,1364000,-6000,1370000,24841000,-198000,24643000,-9346000,15297000,15297000,15297000,15297000,201359000,97442000,103917000,28166000,28166000,47692000,8488000,342000,8146000,285705000,126141000,2452000,2452000,128593000,414298000,38281000,25235000,13046000,14986000,6715000,53267000,44713000,29370000,15343000,44713000,97980000,276377000,33894000,6047000,316318000,316318000,414298000,15297000,2666000,17124000,-7335000,27752000,-7643000,-5702000,617000,-12728000,-4767000,-4727000,10297000,10297000,10297000,26181000,0,20549000,0.21481,0.19415,0.1263,0.04836,0.03692,1.34334,5.36364,0.30975,0,0.35296,0.35251,2.79469,7.29869,0.47415,0.10999,0.05557,0.05692,0.31163,-7.69104,-8.563
"12","2014_Q1",7.52311475409836,"Up",125572000,-100432000,25140000,-2326000,-871000,-1455000,22814000,1329000,1657000,-6000,1663000,24143000,-245000,23898000,2633000,26531000,26531000,26531000,26531000,190734000,86463000,104271000,28620000,28620000,42164000,21770000,1843000,5195000,283288000,128671000,2488000,2488000,131159000,414447000,23589000,14927000,8662000,16807000,8020000,40396000,45461000,29249000,16212000,45461000,85857000,276332000,44822000,7436000,328590000,328590000,414447000,26531000,2266000,-1241000,-22382000,5174000,-5109000,1658000,2946000,-505000.000000002,-15603000,-15648000,-10979000,-10979000,-10979000,25080000,0,-5044000,0.2002,0.18168,0.21128,0.08074,0.06402,-0.190120000000001,7.01277,0.26129,0,0.61204,0.61129,2.8968,7.58019,-0.11636,0.35994,0.11264,-0.01348,0.5881,-7.60502,-8.36039
"13","2014_Q2",7.9952380952381,"Up",82197000,-72595000,9602000,-2151000,-702000,-1449000,7451000,2594000,2364000,-6000,2370000,10045000,-49000,9996000,-3722000,6274000,6274000,6274000,6274000,211574000,101304000,110270000,17373000,17373000,42483000,16524000,1497000,5535000,287954000,128988000,2667000,2667000,131655000,419609000,28649000,12395000,16254000,16814000,9404000,45463000,45257000,28425000,16832000,45257000,90720000,276322000,45895000,6672000,328889000,328889000,419609000,6274000,2360000,-1260000,24084000,31458000,-2682000,-7289000,-1435000,-11406000,-5201000,-5211000,14841000,14841000,14841000,9811000,0,34935000,0.11682,0.09065,0.07633,0.01908,0.01495,5.56822,6.33381,0.27584,0,0.14475,0.14458,1.89641,7.58797,0.806,0.11999,0.03067,0.09337,0.82898,-21.56498,-28.39538
"14","2014_Q3",6.5,"Down",68039000,-61461000,6578000,-2407000,-869000,-1538000,4171000,1496000,1560000,-7000,1567000,5667000,2949000,8616000,-3269000,5347000,5347000,5347000,5347000,179860000,84552000,95308000,21031000,21031000,67341000,21165000,1005000,4399000,289397000,129608000,2598000,2598000,132206000,421603000,26506000,12025000,14481000,17712000,8457000,44218000,45622000,28400000,17222000,45622000,89840000,276571000,46009000,9183000,331763000,331763000,421603000,5347000,2167000,-675000,-35455000,-28616000,-3033000,21987000,-1902000,17052000,-5233000,-5188000,-16752000,-16752000,-16752000,6338000,0,-28881000,0.09668,0.0613,0.07859,0.01612,0.01268,-5.40135,6.54478,0.2708,0,0.12334,0.12278,1.56942,7.65263,-0.66618,0.12071,0.02804,-0.07653,0.97868,-28.37804,-43.12155
"15","2014_Q4",5.5075,"Down",103135000,-82263000,20872000,-2697000,-728000,-1969000,18175000,1410000,1426000,-6000,1432000,19585000,0,19585000,-8134000,11451000,11451000,11451000,11451000,194878000,88632000,106246000,33490000,33490000,59184000,17419000,449000,5774000,304971000,128375000,2627000,2627000,131002000,435973000,35730000,20356000,15374000,15016000,2993000,50746000,47330000,28801000,18529000,47330000,98076000,277196000,52213000,8488000,337897000,337897000,435973000,11451000,2195000,4351000,5647000,23644000,-973000,-12065000,-1128000,-14166000,-5247000,-5398000,4080000,4080000,4080000,20370000,0,33178000,0.20238,0.17623,0.11103,0.03389,0.02627,2.89739,6.00975,0.29025,0,0.26408,0.26393,2.37851,7.79263,0.76516,0.12101,0.04335,0.08613,0.45821,-9.56691,-10.72231
"16","2015_Q1",5.38245901639344,"Down",88467000,-59546000,28921000,-2590000,-869000,-1721000,26331000,1382000,1502000,-6000,1508000,27713000,1435000,29148000,980000,30128000,30128000,30128000,30128000,211799000,124079000,87720000,50135000,50135000,45353000,24178000,1670000,2792000,331465000,127371000,2652000,2652000,130023000,461488000,37993000,30386000,7607000,14094000,3091000,52087000,50392000,30441000,19951000,50392000,102479000,277656000,77094000,4259000,359009000,359009000,461488000,30128000,2259000,61000.0000000009,-6982000,25466000,-1348000,13096000,3480000,15228000,-5247000,-5247000,35447000,35447000,35447000,28590000,0,19280000,0.32691,0.29764,0.34056,0.08392,0.06528,0.639939999999998,6.36368,0.28545,0,0.69463,0.69681,2.03968,8.27726,0.44452,0.12097,0.08641,0.04709,0.17416,-7.40815,-8.04371
"17","2015_Q2",5.3252380952381,"Down",54087000,-40773000,13314000,-2537000,-715000,-1822000,10777000,1217000,1261000,-6000,1267000,11994000,1020000,13014000,-4883000,8131000,8131000,8131000,8131000,242825000,160444000,82381000,16426000,16426000,64440000,13215000,1320000,2051000,336906000,127565000,2982000,2982000,130547000,467453000,41912000,34143000,7769000,10651000,5907000,52563000,50519000,30494000,20025000,50519000,103082000,278111000,82602000,3658000,364371000,364371000,467453000,8131000,2301000,-1672000,32342000,41102000,-2539000,5384000,-4937000,-2092000,-2623000,-2645000,36365000,36365000,36365000,13078000,0,47764000,0.24616,0.19925,0.15033,0.02232,0.01739,5.87431,6.40957,0.2829,0,0.18747,0.18743,1.24704,8.40099,1.10125,0.06048,0.02592,0.11512,0.32259,-18.56744,-22.53178
"18","2015_Q3",4.9240625,"Down",104598000,-99054000,5544000,-2367000,-670000,-1697000,3177000,1284000,1362000,-43000,1405000,4461000,451000,4912000,-1119000,3793000,3793000,3793000,3793000,228302000,142359000,85943000,19651000,19651000,55988000,25255000,946000,6580000,329196000,126735000,4810000,3402000,131545000,460741000,39084000,30211000,8873000,7231000,3336000,46315000,49691000,29917000,19774000,49691000,96006000,278588000,83771000,2376000,364735000,364735000,460741000,3793000,2571000,291000,-12897000,-6242000,-3229000,-5193000,-76000,-8498000,-2624000,-3345000,-18085000,-18085000,-18085000,5748000,0,-9258999.99999999,0.053,0.03037,0.03626,0.0104,0.00823,-2.44108,7.10776,0.26322,0,0.0873500000000001,0.08734,2.40893,8.39998,-0.21324,0.06043,0.01548,-0.02234,0.6918,-39.71851,-71.86088
"19","2015_Q4",6.4253125,"Up",107054000,-98379000,8675000,-2742000,-738000,-2004000,5933000,1246000,1294000,-42000,1336000,7179000,-269000,6910000,-2060000,4850000,4850000,4850000,4850000,247434000,176547000,70887000,19768000,19768000,34372000,13566000,391000,3894000,315140000,125756000,4875000,3467000,130631000,445771000,25562000,18689000,6873000,7285000,3447000,32847000,47236000,29064000,18172000,47236000,80083000,278596000,85998000,1094000,365688000,365688000,445771000,4850000,2604000,-2944000,20552000,25062000,-1669000,12706000,1181000,12218000,-2623000,-3092000,34188000,34188000,34188000,8537000,0,29480000,0.08103,0.05542,0.0453,0.01326,0.01088,6.07835,9.59418,0.21899,0,0.1116,0.11159,2.46325,8.41427,0.67832,0.06035,0.0181,0.07139,0.54082,-28.98372,-41.7047
"20","2016_Q1",5.63672131147541,"Down",33872000,-4359000.00000001,29513000,-2429000,-618000,-1811000,27084000,1044000,1055000,-43000,1098000,28128000,-1095000,27033000,2614000,29647000,29647000,29647000,29647000,228716000,154049000,74667000,46319000,46319000,64957000,19832000,1642000,4076000,359824000,124330000,4955000,3547000,129285000,489109000,37662000,34442000,3220000,10891000,3831000,48553000,46244000,29117000,17127000,46244000,94797000,279235000,113022000,2055000,394312000,394312000,489109000,29647000,2711000,-551000,-52106000,-20299000,-1187000,-3487000,5071000,397000.000000004,-2623000,-2596000,-22498000,-22498000,-22498000,29795000,0,-26112000,0.87131,0.7996,0.87527,0.07519,0.06061,-0.880760000000002,7.41095,0.24041,0,0.68193,0.68137,0.77912,9.06989,-0.60062,0.06033,0.07325,-0.05927,0.08847,-7.67632,-8.44469
"21","2016_Q2",5.0665625,"Down",46635000,-35582000,11053000,-2524000,-687000,-1837000,8529000,1186000,1302000,-43000,1345000,9715000,-1018000,8697000,1872000,10569000,10569000,10569000,10569000,224515000,148312000,76203000,54472000,54472000,69907000,18772000,1536000,4350000,367666000,122490000,5046000,3638000,127536000,495202000,35930000,31225000,4705000,8794000,4426000,44724000,47492000,28225000,19267000,47492000,92216000,279523000,120968000,2495000,402986000,402986000,495202000,10569000,2622000,1229000,-13223000,1197000,-897000,-1876000,-1349000,-4122000,-2623000,-2812000,-5737000,-5737000,-5737000,11151000,0,-4841000,0.23701,0.18289,0.22663,0.02623,0.02134,-0.45804,8.22078,0.22883,0,0.2431,0.24304,1.07267,9.26924,-0.11135,0.06033,0.02928,-0.01075,0.24818,-20.13407,-26.32372
"22","2016_Q3",5.2928125,"Up",67879000,-59907000,7972000,-2596000,-738000,-1858000,5376000,1318000,1422000,-42000,1464000,6694000,613000,7307000,6917000,14224000,14224000,14224000,14224000,265664000,173600000,92064000,24611000,24611000,58717000,20089000,1053000,2104000,369081000,121012000,5445000,4037000,126457000,495538000,23768000,16494000,7274000,9827000,5294000,33595000,46004000,27790000,18214000,46004000,79599000,279998000,132569000,3372000,415939000,415939000,495538000,14224000,2635000,439000,27533000,44831000,-1357000,-13899000,-1662000,-16918000,-2623000,-2625000,25288000,25288000,25288000,8011000,0,27270000,0.11744,0.0792,0.20955,0.0342,0.0287,1.91718,10.98619,0.19137,0,0.32678,0.32677,1.55944,9.5557,0.6265,0.06026,0.03647,0.05903,0.18441,-33.1624,-49.41667
"23","2016_Q4",6.26111111111111,"Up",69306000,-58987000,10319000,-2478000,-688000,-1790000,7841000,1481000,1592000,-45000,1637000,9322000,-322000,9e+06,3868000,12868000,12868000,12868000,12868000,293382000,182373000,111009000,29986000,29986000,47948000,17064000,538000,1227000,388380000,119152000,5502000,4094000,124654000,513034000,31593000,24589000,7004000,9702000,5622000,41295000,44247000,24396000,19851000,44247000,85542000,280424000,142814000,4254000,427492000,427492000,513034000,12868000,2703000,-1614000,16894000,30851000,-853000,-17553000,-998000,-19404000,-2623000,-2674000,8773000,8773000,8773000,10544000,0,22717000,0.14889,0.11314,0.18567,0.0301,0.02508,1.76539,9.40501,0.2001,0,0.29534,0.29532,1.59065,9.81145,0.52138,0.0602,0.03284,0.04816,0.20384,-27.82454,-37.4164
"24","2017_Q1",7.38403225806452,"Up",69373000,-51859000,17514000,-2737000,-602000,-2135000,14777000,1638000,1663000,-43000,1706000,16415000,-613000,15802000,2878000,18680000,18680000,18680000,18680000,305418000,199272000,106146000,24359000,24359000,52093000,23412000,1694000,1210000,405282000,118152000,5609000,4201000,123761000,529043000,137368000,22799000,3881000,6681000,6681000,144049000,52181000,32064000,20117000,52181000,196230000,281091000,48182000,3540000,332813000,332813000,529043000,18680000,2859000,2041000,-9484000,14096000,-1388000,3151000,3474000,5237000,-2624000,-2434000,16899000,16899000,16899000,17636000,0,3886000,0.25246,0.21301,0.26927,0.05613,0.03531,0.20803,2.8135,0.58961,0,0.42847,0.42842,1.59124,7.63387,0.0891299999999999,0.0601899999999999,0.05534,0.01009,0.140469999999998,-17.31787,-20.66847
"25","2017_Q2",8.11,"Up",54111000,-47981000,6130000,-2655000,-755000,-1900000,3475000,1649000,1680000,-43000,1723000,5124000,-131000,4993000,-1597000,3396000,3396000,3396000,3396000,211521000,94686000,116835000,19848000,19848000,51875000,22125000,1543000,3480000,305369000,116047000,5581000,4173000,121628000,426997000,30751000,17381000,5495000,7214000,7214000,37965000,50471000,31314000,19157000,50471000,88436000,281568000,51578000,5415000,338561000,338561000,426997000,3396000,2896000,122000,1868000,8282000,-898000,-7934000,-1223000,-10055000,-102813000,-102813000,-104586000,-104586000,-104586000,6371000,0,8938000,0.11329,0.06422,0.06276,0.01003,0.00795,2.63192,8.04343,0.26121,0,0.07786,0.07785,1.2406,7.7622,0.20492,2.3572,0.27301,0.02297,30.27473,-33.2006,-60.86935
"26","2017_Q3",8.01031746031746,"Down",68048000,-66250000,1798000,-2424000,-845000,-1579000,-626000.000000001,1946000,1948000,-43000,1991000,1320000,-438000,882000,-47999.9999999995,833999.999999998,833999.999999998,833999.999999998,833999.999999998,231738000,111010000,120728000,18746000,18746000,36889000,20830000,1068000,3516000,308203000,113868000,5518000,4110000,119386000,427589000,28533000,17649000,5634000,7212000,7212000,35745000,50101000,32438000,17663000,50101000,85846000,281832000,52412000,7499000,341743000,341743000,427589000,834000,2912000,-77000,16008000,19677000,-788000,-1120000,1189000,-719000,-2625000,-2634000,16324000,16324000,16324000,2286000,0,17554000,0.02642,-0.00920000000000003,0.01226,0.00244,0.00195,21.04796,8.62227,0.2512,0,0.0191,0.0191,1.5584,7.82644,0.40201,0.06012,0.00883,0.0448,3.14748,-101.3727,370.1885
"27","2017_Q4",8.31142857142857,"Up",77606000,-72080000,5526000,-2326000,-935000,-1391000,3200000,1838000,1922000,-43000,1965000,5038000,26000,5064000,-1730000,3334000,3334000,3334000,3334000,236833000,113245000,123588000,21278000,21278000,43523000,18697000,542000,3193000,320331000,111777000,5463000,4055000,117240000,437571000,34955000,24224000,8106000,7251000,7251000,42206000,49650000,33252000,16398000,49650000,91856000,281817000,55746000,8152000,345715000,345715000,437571000,3334000,2927000,315000,1905000,8481000,-924000,-1828000,-726000,-3478000,-2625000,-2768000,2235000,2235000,2235000,6127000,0,8838000,0.07121,0.04123,0.04296,0.00964,0.00762,2.65087,7.5897,0.2657,0,0.07628,0.07627,1.77567,7.91015,0.20222,0.06006,0.01507,0.02235,0.78734,-38.65399,-74.01031
"28","2018_Q1",7.39131147540984,"Down",75261000,-68454000,6807000,-2969000,-1124000,-1845000,3838000,2016000,2087000,-43000,2130000,5854000,-144000,5710000,10237000,15947000,15947000,15947000,15947000,235326000,114627000,120699000,21973000,21973000,43754000,9305000,1660000,708000,310358000,109735000,5470000,4062000,115205000,425563000,32545000,18396000,3651000,2736000,2736000,35281000,38686000,21049000,17637000,38686000,73967000,281968000,61195000,8433000,351596000,351596000,425563000,15947000,2882000,-9767000,-6155000,2907000,-967000,3177000,-1141000,1069000,-2625000,-2594000,1382000,1382000,1382000,6720000,0,-10639000,0.09045,0.051,0.21189,0.04536,0.03747,-0.667149999999997,8.79675,0.21037,0,0.36477,0.36468,1.72152,8.04243,-0.24336,0.06004,0.04759,-0.02726,0.16461,-35.01875,-61.31475
"29","2018_Q2",7.279375,"Down",55747000,-18240000,37507000,-2940000,-1182000,-1758000,34567000,1949000,1949000,-43000,1992000,36516000,-4369000,32147000,3679000,35826000,35826000,35826000,35826000,232572000,135393000,97179000,62840000,62840000,59525000,10194000,1406000,3645000,365131000,107395000,5505000,4097000,112900000,478031000,52959000,35040000,10045000,5858000,5858000,58817000,36921000,17429000,19492000,36921000,95738000,282075000,96371000,3847000,382293000,382293000,478031000,40354000,2756000,-5397000,-33873000,3840000,-428000,19077000,901000,19550000,-2624000,-2624000,20766000,20766000,20766000,37323000,0,-657000,0.67281,0.62007,0.64265,0.09371,0.07494,-0.01834,6.20792,0.25043,0,0.8195,0.8194,1.27519,8.74479,-0.01503,0.06002,0.09172,-0.00157,0.07324,-6.23133,-6.72815000000001
"30","2018_Q3",8.39809523809524,"Up",88336000,-80065000,8271000.00000001,-2431000,-784000,-1647000,5840000,1933000,2110000,-43000,2153000,7773000,281000,8054000,-2003000,6051000,6051000,6051000,6051000,291485000,199921000,91564000,22390000,22390000,47521000,5556000,954000,1121000,366952000,105098000,5361000,3953000,110459000,477411000,47795000,34712000,7833000,5692000,5692000,53487000,35431000,17160000,18271000,35431000,88918000,282182000,106166000,145000,388493000,388493000,477411000,1523000,2756000,4549000,52692000,61520000,-655000,5951000,336000,5632000,-2624000,-2624000,64528000,64528000,64528000,8596000,0,62636000,0.0936300000000001,0.0661100000000002,0.0684999999999999,0.01558,0.01267,10.35135,6.86058,0.22888,0,0.13841,0.1384,2.02065,8.8866,1.43277,0.06002,0.02046,0.14775,0.43365,-33.90938,-49.91182
