"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",11.9196774193548,"Up",156108000,-46805000,109303000,-43629000,-8353000,-35276000,65674000,-30169000,-30417000,35505000,-10573000,24932000,-43000,25004000,25746000,25746000,25645000,20985000,20985000,11377000,11377000,32362000,4372441000,5091665000,-719224000,241492000,106943000,134549000,4613933000,4646295000,22018000,22018000,70851000,70851000,1906180000,69304000,69304000,1975484000,1666951000,999185000,2670811000,2670811000,4646295000,25645000,35880000,4639000,26319000,92483000,-141532000,-140491000,-67061000,-159511000,-11892000,48588000,580000,580000,580000,101554000,1882615000,-13616000,0.70018,0.4207,0.16428,0.0096,0.00552,-0.53094,0.01698,0.73966,0.40519,0.1468,0.1468,0.89363,15.28886,-0.07794,0.38389,0.02036,-0.00299,2.61497,18.33143,28.34653
"12","2013_Q1",13.4351666666667,"Up",191703000,-72587000,119116000,-43780000,-7411000,-36369000,75336000,-29654000,-29814000,45682000,-2101000,43581000,-85000,43576000,44636000,44636000,44636000,42382000,42382000,9432000,9432000,51814000,4304928000,5019615000,-714687000,366083000,113986000,252097000,4696188000,4748002000,15757000,15757000,54138000,54138000,1886425000,203482000,215009000,2101434000,1598185000,1043821000,2646568000,2646568000,4748002000,44636000,36969000,-2476000,-34839000,44290000,-81486000,-81486000,-68857000,127872000,-421999.999999998,58593000,21397000,21397000,21397000,112305000,2020012000,-3935000,0.62136,0.39298,0.23284,0.01687,0.0094,-0.08816,0.02747,0.79402,0.42544,0.25073,0.25073,1.07683,14.86627,-0.0221,0.38678,0.02426,-0.00084,1.54263,17.60946,26.2508
"13","2013_Q2",15.00765625,"Up",186908000,-73679000,113229000,-46351000,-8648000,-37703000,66878000,-29391000,-29564000,37487000,-3207000,34280000,-140000,34216000,35235000,35235000,35235000,38989000,38989000,11876000,11876000,50865000,4479229000,5261340000,-782111000,281175000,120732000,160443000,4760404000,4811269000,21595000,21595000,63807000,63807000,1912003000,15121000,15121000,1927124000,1791771000,1079056000,2884145000,2884145000,4811269000,35235000,38302000,1455000,-1296000,73696000,-76671000,-76671000,-68857000,-193199000,-221000,-418000,-3393000,-3393000,-3393000,105180000,1841722000,27353000,0.6058,0.35781,0.18852,0.01222,0.00732,0.7763,0.0266,0.66818,0.38279,0.19087,0.19087,1.01248,15.62333,0.14817,0.373,0.02203,0.00579,1.95422,17.1395,26.95555
"14","2013_Q3",13.57828125,"Down",186929000,-74484000,112445000,-46464000,-8168000,-38296000,65981000,-29170000,-29567000,36811000,-4760000,32051000,-140000,31990000,5598000,5598000,5598000,37336000,37336000,12405000,12405000,49741000,4390563000,5201745000,-811182000,308327000,111924000,196403000,4698890000,4748631000,15694000,15694000,63629000,63629000,1892249000,44165000,44165000,1936414000,1718722000,1084654000,2812217000,2812217000,4748631000,5598000,38496000,32371000,770999.999999996,77236000,-22004000,-22004000,-73349000,16536999.9999999,-26999.9999999998,-56885000,-1653000,-1653000,-1653000,104477000,1857091000,83384000,0.60154,0.35297,0.02995,0.00199,0.00118,14.89532,0.02629,0.68857,0.39108,0.02976,0.02976,0.99387,14.95216,0.44334,0.38999,0.01691,0.01786,13.10272,17.41776,27.57999
"15","2013_Q4",13.19515625,"Down",187265000,-74730000,112535000,-46272000,-7799000,-38473000,66263000,-29363000,-29405000,36900000,-1095000,35805000,-125000,35744000,36983000,36983000,38124000,52258000,52258000,10046000,10046000,62304000,4389735000,5197999000,-808264000,355291000,105705000,249586000,4745026000,4807330000,21763000,21763000,74751000,74751000,1892588000,138299000,138299000,2030887000,1646976000,1122778000,2776443000,2776443000,4807330000,38124000,38476000,1278000,19370000,97248000,-86920000,-84370000,-73353000,78401000,-3004000,2044000,14922000,14922000,14922000,104739000,1934373000,37314000,0.60094,0.35385,0.20358,0.01373,0.00793,0.97875,0.03292,0.73147,0.40238,0.20264,0.20264,0.99535,14.75732,0.19833,0.38989,0.02366,0.00792,1.92406,17.96957,28.40371
"16","2014_Q1",12.71,"Down",200336000,-76985000,123351000,-46596000,-8042000,-38554000,76755000,-29184000,-29283000,47571000,-3102000,44469000,-195000,44389000,35956000,35956000,72207000,39233000,39233000,12514000,12514000,51747000,4422865000,5263625000,-840760000,260976000,103494000,157482000,4712919000,4764666000,15839000,15839000,54670000,54670000,1863273000,112528000,124404000,1987677000,1573592000,1194985000,2776989000,2776989000,4764666000,72207000,38551000,-23816000,-28419000,58523000,-59978000,30022000,-73386000,-28110000,-74000,-101570000,-13025000,-13025000,-13025000,115306000,1905292000,27104000,0.61572,0.38313,0.36043,0.026,0.01515,0.37537,0.02777,0.71577,0.39988,0.38355,0.38355,1.06416,14.75097,0.14397,0.38982,0.03102,0.00577,1.01633,16.18354,24.31189
"17","2014_Q2",13.8074603174603,"Up",191497000,-77802000,113695000,-46645000,-8290000,-38355000,67050000,-28795000,-28900000,38255000,-122000,38133000,-191000,37845000,38424000,38424000,38580000,32967000,32967000,10502000,10502000,43469000,4410178000,5283335000,-873157000,325021000,96469000,228552000,4735199000,4778668000,21899000,21899000,69952000,69952000,1881177000,156773000,156773000,2037950000,1500645000,1233562000,2740718000,2740718000,4778668000,38580000,38355000,1257000,11925000,90117000,-67151000,-64751000,-73386000,41754000,-5073332.93390494,-31632000,-6266000,-6266000,-6266000,105405000,1946099000,50370000,0.59372,0.35014,0.20147,0.01408,0.00807,1.3056,0.02311,0.74358,0.40725,0.20518,0.20516,1.01846,14.57627,0.26789,0.3903,0.02389,0.01075,1.90218,18.1503,28.53292
"18","2014_Q3",13.5984375,"Down",206708000,-79788000,126920000,-56279000,-9576000,-46703000,70641000,-33959000,-34112000,36682000,-2513000,34169000,-155000,34132000,35260000,35260000,37656000,79392000,79392000,10960000,10960000,90352000,5258671000,6167692000,-909021000,667832000,495782000,172050000,5926503000,6016855000,20401000,20401000,73012000,73012000,2509067000,478207000,478207000,2987274000,1751187000,1271221000,3029581000,3029581000,6016855000,37656000,46703000,-4270000,8796000,88885000,-1113523000,-1098848000,-73397000,814959000,-8038000,1056388000,46425000,46425000,46425000,117344000,2893861000,-987228000,0.61401,0.34174,0.18217,0.01243,0.00626,-26.21702,0.03601,0.98604,0.48096,0.18838,0.18834,1.03407,15.15563,-4.93866,0.36717,0.01875,-0.16666,1.94914,23.98477,39.84186
"19","2014_Q4",13.38859375,"Down",216874000,-82707000,134167000,-60458000,-10384000,-50074000,73709000,-36123000,-36201000,37586000,-14000,37572000,-156000,37454000,37114000,37114000,37114000,80750000,80750000,10986000,10986000,91736000,5237502000,6184068000,-946566000,659884000,482564000,177320000,5897386000,5989122000,32555000,32555000,84576000,84576000,2529414000,475493000,475493000,3004907000,1674146000,1308333000,2984215000,2984215000,5989122000,37114000,50074000,-2696000,18029000,102521000,-19363000,-18688000,-79469000,-3103000,-1000,-82475000,1358000,1358000,1358000,123783000,2887776000,122605000,0.61864,0.33987,0.17113,0.01244,0.0062,3.30347,0.03627,1.00693,0.48217,0.18215,0.18212,1.06441,14.64638,0.60174,0.39003,0.01985,0.02088,2.14121,22.67699,38.08254
"20","2015_Q1",13.8675409836066,"Up",229808000,-84267000,145541000,-60955000,-10696000,-50259000,84586000,-35812000,-35901000,48774000,-1960000,46814000,-74000,46768000,42386000,42386000,45287000,27594000,27594000,10544000,10544000,38138000,5249155000,6222360000,-973205000,656983000,472788000,184195000,5930131000,5968269000,20046000,20046000,60611000,60611000,2451361000,552826000,564501000,3015862000,1595456000,1353622000,2952407000,2952407000,5968269000,45287000,50259000,-1127000,-25041000,69378000,-90486999.9999998,-81737000,-79515000,38872999.9999999,0,-40796999.9999999,-53156000,-53156000,-53156000,134845000,2923530000,19391000,0.63332,0.36807,0.19706,0.01534,0.00759,0.42818,0.01556,1.02149,0.48985,0.22222,0.2222,1.12763,14.487,0.0951500000000008,0.39017,0.0212,0.00329,1.7558,21.47604,34.23659
"21","2015_Q2",12.5103174603175,"Down",228577000,-85794000,142783000,-64281000,-10574000,-53707000,78502000,-35867000,-35942000,42635000,-2567000,40068000,-110000,40030000,39789000,39789000,39789000,77794000,77794000,7685000,7685000,85479000,5694103000,6717946000,-1023843000,757513000,543776000,213737000,6451616000,6537095000,31984000,31984000,87769000,87769000,2488867000,473435000,473435000,2962302000,2176560000,1393410000,3574793000,3574793000,6537095000,39789000,53707000,-1825000,13875000,105546000,-521384000,-521134000,-79530000,-113849000,-583000,465788000,50200000,50200000,50200000,132209000,2842549000,-375190000,0.62466,0.34344,0.17407,0.01113,0.00609,-9.42949,0.03434,0.82866,0.43483,0.17974,0.17972,1.03253,16.14813,-1.69482,0.35925,0.01859,-0.05847,1.99879,20.912,35.21891
"22","2015_Q3",10.65875,"Down",247401000,-93592000,153809000,-74185000,-11674000,-62511000,79624000,-37764000,-37906000,41860000,-4656000,37204000,-129000,37098000,36387000,36387000,36387000,52231000,52231000,9121000,9121000,61352000,6325535000,7392221000,-1066686000,961139000,650020000,311119000,7286674000,7348026000,21258000,21258000,200263000,200263000,2696073000,1085732000,1085732000,3781805000,2130278000,1429797000,3566221000,3566221000,7348026000,36387000,62511000,-4709000,16800000,110989000,-617670000,-626127000,-91655000,580895000,583000,489575000,-25563000,-25563000,-25563000,142135000,3560284000,-458606000,0.6217,0.32184,0.14708,0.0102,0.00495,-12.60357,0.02276,1.06045,0.48452,0.15443,0.1544,1.04997,15.13503,-1.94632,0.38898,0.01797,-0.06435,2.51889,24.68113,44.05773
"23","2015_Q4",9.8696875,"Down",255276000,-96927000,158349000,-80331000,-10315000,-70016000,78018000,-38933000,-38990000,39085000,-665000,38420000,-146000,38249000,38249000,38249000,38249000,61408000,61408000,8179000,8179000,69587000,6337654000,7439088000,-1101434000,945755000,628706000,317049000,7283409000,7352996000,33662000,33662000,194130000,194130000,2711600000,1135856000,1135856000,3847456000,2038662000,1468047000,3505540000,3505540000,7352996000,38249000,70016000,-5936000,1977000,104306000,-49689000,-48744000,-92585000,49176000,-2758000,-46385000,9177000,9177000,9177000,148034000,3619664000,100468000,0.62031,0.30562,0.14983,0.01091,0.0052,2.62668,0.02566,1.09754,0.49227,0.16121,0.16119,1.07592,14.77491,0.42345,0.39022,0.01836,0.0141,2.42059,24.03675,45.60814
"24","2016_Q1",10.5985245901639,"Up",267519000,-101266000,166253000,-81816000,-10267000,-71549000,84437000,-35165000,-38043000,49272000,-39490000,9782000,-189000,9543000,9543000,9543000,9543000,37656000,37656000,6155000,6155000,43811000,6309400000,7456940000,-1147540000,755407000,604286000,151121000,7116279000,7160090000,16974000,16974000,173849000,173849000,2348654000,1436668000,1451676000,3800330000,1914707000,1477590000,3359760000,3359760000,7160090000,9543000,71549000,35275000,-31687000,84680000,-16419000,-17090000,-92620000,1451000,-173000,-91342000,-23752000,-23752000,-23752000,155986000,3594499000,108069000,0.62146,0.31563,0.03567,0.00284,0.00133,11.32443,0.01865,1.13113,0.50202,0.04019,0.04018,1.12659,14.1488,0.45511,0.39005,0.01466,0.01551,9.70554,22.80232,42.12422
"25","2016_Q2",12.94,"Up",258375000,-97949000,160426000,-82086000,-10863000,-71223000,78340000,-39216000,-39280000,39124000,-7835000,31289000,-94000,31272000,31272000,31272000,31272000,39199000,39199000,6853000,6853000,46052000,6296566000,7490116000,-1193550000,811533000,580221000,231312000,7108099000,7154151000,33628000,33628000,185751000,185751000,2609407000,1.222e+09,1.222e+09,3831407000,1822180000,1508862000,3322744000,3322744000,7154151000,31272000,71223000,1875000,18441000,122811000,-46824000,-46180000,-92614000,26043000,-8517000,-75088000,1543000,1543000,1543000,149563000,3612028000,121274000,0.6209,0.3032,0.12103,0.00941,0.00437,3.87804,0.01765,1.15309,0.50489,0.13177,0.13177,1.08874,14.00141,0.51103,0.39026,0.01786,0.01749,2.96156,23.88846,45.6067
"26","2016_Q3",15.66859375,"Up",261367000,-97473000,163894000,-83336000,-11965000,-71371000,80558000,-40152000,-41119000,40406000,-5141000,35265000,-108000,35174000,35174000,35174000,39235000,25633000,25633000,7026000,7026000,32659000,6418923000,7655032000,-1236109000,814185000,556845000,257340000,7233108000,7265767000,18433000,18433000,185891000,185891000,2572806000,1407393000,1407393000,3980199000,1729795000,1548097000,3285568000,3285568000,7265767000,39235000,71371000,-4640000,-12606000,93360000,-188983000,-180348000,-92614000,166169000,-133000,73422000,-13566000,-13566000,-13566000,151929000,3775875000,-49552000,0.62706,0.30822,0.15011,0.01194,0.0054,-1.26295,0.01269,1.21142,0.51968,0.16532,0.16529,1.1013,13.84417,-0.20879,0.39024,0.01867,-0.00702,2.36049,24.68417,46.55332
"27","2016_Q4",13.9603174603175,"Down",263983000,-103354000,160629000,-84447000,-12103000,-72344000,76182000,-42690000,-43438000,33492000,-5487000,28005000,-116000,27902000,27902000,27902000,27902000,40773000,40773000,6325000,6325000,47098000,6387141000,7667919000,-1280778000,795859000,532205000,263654000,7.183e+09,7230098000,33130000,33130000,196108000,196108000,3120097000,871033000,871033000,3991130000,1638650000,1.576e+09,3238968000,3238968000,7230098000,27902000,72344000,-332000,26311000,126225000,-25171000,-5271000,-92618000,-9414000,-3366000,-105814000,15140000,15140000,15140000,148526000,3761892000,149782000,0.60848,0.28859,0.1057,0.00861,0.00386,5.36815,0.0151,1.23222,0.52031,0.11756,0.11753,1.11222,13.64655,0.63107,0.39022,0.01722,0.02139,3.3194,25.05365,48.84512
"28","2017_Q1",14.42,"Up",274297000,-101014000,173283000,-84521000,-11628000,-72893000,88762000,-42978000,-43737000,45784000,-2822000,42962000,-106000,42886000,42886000,42886000,42886000,31749000,31749000,3829000,3829000,35578000,6402512000,7730523000,-1328011000,789664000,514446000,275218000,7192176000,7227754000,18471000,18471000,189375000,189375000,3048253000,980096000,980096000,4028349000,1545971000,1618885000,3199405000,3199405000,7227754000,42886000,72893000,-2489000,-28879000,84411000,-65757000,-61070000,-92643000,60314000,7.45058059692383e-09,-32365000,-9024000,-9024000,-9024000,161655000,3820503000,67125000,0.63173,0.3236,0.15635,0.0134,0.00593,1.5652,0.01167,1.25909,0.52859,0.18065,0.18062,1.15546,13.47725,0.28276,0.39025,0.01931,0.00956,2.16022,23.43728,42.68441
"29","2017_Q2",15.9811111111111,"Up",264561000,-101057000,163504000,-88258000,-15083000,-73175000,75246000,-42709000,-43488000,32537000,-292000,32245000,-92000,32281000,32281000,32155000,32155000,32272000,32272000,3126000,3126000,35398000,6390858000,7767756000,-1376898000,793948000,496620000,297328000,7184806000,7220204000,33522000,33522000,181611000,181611000,3053413000,747767000,747767000,3801180000,1527283000,1651040000,3237039000,3419024000,7220204000,32281000,73175000,-4332000,13654000,114778000,-44497000,-44497000,-92642000,-232929000,255813000,-69758000,523000,523000,523000,148421000,3586047000,117670000,0.61802,0.28442,0.12154,0.0094,0.00445,3.65946,0.01159,1.11177,0.49667,0.13545,0.13544,1.11445,13.6359,0.49568,0.39025,0.01782,0.0168,2.88111,23.94388,47.22876
"30","2017_Q3",14.8796825396825,"Down",265013000,-102794000,162219000,-92591000,-22922000,-69669000,69628000,-40066000,-40801000,29562000,-12435000,17127000,-99000,17402000,17402000,16042000,16042000,27160000,27160000,13776000,13776000,40936000,6373438000,7799820000,-1426382000,769246000,476494000,292752000,7142684000,7183620000,17486000,17486000,201621000,201621000,2760400000,1082441000,1082441000,3842841000,1434974000,1667082000,3160917000,3340779000,7183620000,17402000,69669000,7706000,1942000,96719000,-27716000,-27716000,-92642000,31968000.0000001,-3482999.99999994,-64168000,4835000,4835000,4835000,139297000,3623734000,113622000,0.61212,0.26273,0.06053,0.0048,0.00223,7.08278,0.01483,1.15028,0.50444,0.06757,0.06756,1.11632,13.31479,0.47861,0.39024,0.01561,0.01631,5.77497,25.81946,51.65413
"31","2017_Q4",14.9061904761905,"Up",266611000,-104799000,161812000,-86494000,-19875000,-66619000,75318000,-39318000,-40105000,3.6e+07,-130000,35870000,-109000,35792000,35792000,34413000,34413000,28870000,28870000,14088000,14088000,42958000,6362088000,7837448000,-1475360000,782695000,463802000,318893000,7144783000,7187741000,32185000,32185000,210814000,210814000,2783435000,1116751000,1116751000,3900186000,1343613000,1701495000,3111418000,3287555000,7187741000,35792000,66619000,-4425000,25166000,123152000,-51724000,-51724000,-92648000,35512000,-11940000,-69406000,2022000,2022000,2022000,141937000,3657187000,115488000,0.60692,0.2825,0.12908,0.01047,0.00479,3.35594,0.01543,1.18635,0.50881,0.14495,0.14492,1.12295,13.10507,0.48643,0.39023,0.0183,0.01663,2.69224,25.56287,48.17331
