"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q3",46.1175,"Up",3680000,-11141000,-2477000,-8664000,-7461000,6695000,6695000,-766000,-766000,-766000,-766000,-766000,-766000,63034000,6463000,7108000,2845000,4263000,70142000,690000,1159000,1159000,14030000,84172000,5402000,2891000,2511000,21895000,7173000,27297000,85128000,15573000,85128000,112425000,331283000,-359553000,17000,-28253000,-28253000,84172000,-766000,336000,-5197000,-5183000,-10810000,-10935000,10501000,28999.9999999995,28999.9999999995,28999.9999999995,-280000,-280000,-280000,-7125000,0,0.02711,-0.0091,2.56959,-3.97922,0,-0.14199,-0.13376,0.68216,-5.23723,-0.01347,8.84688,8.44847
"17","2014_Q4",33.34203125,"Down",3680000,-11313000,-2407000,-8906000,-7633000,-314000,-314000,-7947000,-7947000,-7745000,-7745000,-7745000,-7745000,67745000,11240000,6351000,1888000,4463000,74096000,637000,1159000,1159000,2574000,76670000,6111000,3414000,2697000,18864000,4142000,24975000,72698000,6824000,72698000,97673000,346291000,-367298000,4000,-21003000,-21003000,76670000,-7745000,308000,1539000,-5260000,-11158000,-10179000,11201000,4734000,4734000,4734000,4777000,4777000,4777000,-7325000,0,0.36876,-0.10102,2.96681,-4.65043,0,-1.42374,-1.38556,0.67648,-3.86091,-0.14982,9.24846,8.87528
"18","2015_Q1",43.8890163934426,"Up",3681000,-11232000,-2623000,-8609000,-7551000,1587000,1587000,-5964000,-5964000,-5964000,-5964000,-5964000,-5964000,58600000,8391000,8080000,832000,7248000,66680000,557000,1159000,1159000,1716000,68396000,5254000,2074000,3180000,20720000,5998000,25974000,66398000,4204000,66398000,92372000,349299000,-373262000,-13000,-23976000,-23976000,68396000,-5964000,275000,-10000,-4427000,-10126000,-1648000,6865000,411999.999999998,411999.999999998,412000.000000002,-2849000,-2849000,-2849000,-7276000,0,0.24875,-0.0872,2.56718,-3.85269,0,-1.04401,-0.96839,0.64436,-4.19703,-0.14059,8.05388,7.76056
"19","2015_Q2",44.0531746031746,"Up",3681000,-13296000,-2616000,-10680000,-9615000,-1539000,-1539000,-11154000,-11154000,-11154000,-11154000,-11154000,-11154000,78885000,21063000,3219000,1226000,1993000,82104000,503000,1201000,1201000,5905000,88009000,6005000,1809000,4196000,22970000,8248000,28975000,78923000,20410000,78923000,107898000,364542000,-384416000,-15000,-19889000,-19889000,88009000,-11154000,239000,2953000,4121000,-3841000,-32937000,-12001000,28514000,28514000,28514000,12672000,12672000,12672000,-9376000,0,0.56081,-0.12674,2.83362,-5.42501,0,-1.83879,-1.83879,0.60683,-3.2788,-0.18894,8.4135,8.20437
"20","2015_Q3",47.42109375,"Up",3680000,-12621000,-2480000,-10141000,-8941000,635000,635000,-8306000,-8306000,-8306000,-8306000,-8306000,-8306000,67019000,10569000,5147000,1500000,3647000,72166000,424000,1264000,1264000,1688000,73854000,3086000,635000,2451000,22442000,7720000,25528000,74629000,19796000,74629000,100157000,366437000,-392722000,-18000,-26303000,-26303000,73854000,-8306000,264000,1351000,-9174000,-15865000,-6597000,5371000,0,0,-3.72529029846191e-09,-10494000,-10494000,-10494000,-8677000,-2.27373675443232e-13,0.31578,-0.11247,2.82694,-3.80782,1.0842021724855e-19,-1.28095,-1.25489,0.56753,-4.05644,-0.17187,7.72375,7.49569
"21","2015_Q4",32.86828125,"Down",3680000,-10453000,-2372000,-8081000,-6773000,342000,342000,-6431000,-6431000,-6431000,-6431000,-6431000,-6431000,56414000,13709000,5817000,1785000,4032000,62231000,404000,1329000,1329000,1733000,63964000,3638000,436000,3202000,20620000,5898000,24258000,70601000,19448000,70601000,94859000,368261000,-399153000,-3000,-30895000,-30895000,63964000,-6431000,250000,1161000,-5701000,-10721000,-7197000,13530000,331000,331000,331000,3140000,3140000,3140000,-6523000,0,0.20816,-0.10054,2.56538,-3.07037,0,-0.99112,-0.99112,0.567150000000001,-4.76141,-0.16197,8.64847,8.32925
"22","2016_Q1",3.93524590163934,"Down",65874000,-13617000,-2248000,-11369000,52257000,17456000,17456000,69713000,69713000,69713000,69713000,69713000,69713000,48680000,9589000,4490000,2599000,1891000,53170000,333000,166000,166000,499000,53669000,3994000,725000,3269000,6834000,6834000,10828000,1995000,1995000,1995000,12823000,370307000,-329440000,-21000,40846000,40846000,53669000,69713000,249000,-15423000,-62115000,-7576000,-10171000,3418000,38000,38000,38000,-4120000,-4120000,-4120000,52506000,0,1.70673,1.29894,4.91042,0.31394,-1.73472347597681e-18,10.72315,9.23966,10.13264,6.28287,1.62725,-0.927130000000002,-0.931550000000001
"23","2016_Q2",4.7715625,"Up",-1.49011611938477e-08,-8254000,-2249000,-6005000,-8254000,402000,402000,-7852000,-7852000,-7852000,-7852000,-7852000,-7852000,37966000,11211000,2657000,1880000,777000,40623000,261000,166000,166000,427000,41050000,2250000,1563000,687000,3325000,3325000,5575000,1603000,1603000,1603000,7178000,371163000,-337292000,1000,33872000,33872000,41050000,-7852000,185000,482000,-3442000,-10627000,-7495000,12236000,13000,13000,13000,1622000,1622000,1622000,-8069000,0,-0.23181,-0.19128,7.28664,0.21192,0,-1.20832,-1.20832,-1.77635683940025e-15,5.21247,-0.22134,4.70517,4.59971
"24","2016_Q3",9.1575,"Up",0,-5908000,-1892000,-4016000,-5908000.00000001,-956000,-956000.000000002,-6864000.00000001,-6863999.99999999,-6864000,-6864000,-6864000,-6863999.99999999,33591000,12402000,2215000,1294000,921000,35806000,208000,166000,166000,374000,36180000,3692000,3076000,616000,2097000,2097000,5789000,2577000,2577000,2577000,8366000,371965000,-344156000,5000,27814000,27814000,36180000,-6864000,120000,1738000,634000,-4372000,-5898000,5563000,5.82076609134674e-11,5.82076609134674e-11,-4.65661287307739e-10,1191000,1191000,1191000,-5787999.99999999,-5.82076609134674e-11,-0.24678,-0.18972,6.18518,0.30078,-2.77555756156289e-17,-1.05594,-1.05594,0,4.27885,-0.22586,5.80356,5.68568
"25","2016_Q4",5.0915873015873,"Down",1526000,4431000,1588000,2843000,5957000,293000,293000,6250000,6252000,6252000,6252000,6252000,5073000,28110000,15155000,1422000,1022000,4e+05,29532000,159000,0,0,159000,29691000,1811000,699000,1112000,1908000,1908000,3719000,3051000,3051000,3051000,6770000,372771000,-349852000,2000,22921000,22921000,29691000,6252000,-257000,-2126000,2933000,6802000,12997000,-18195000,-12000,-12000,5967000,-5426000,-5426000,-5426000,5700000,0,0.22133,0.17086,7.94084,0.29536,0,16.82621,16.82621,5.06146,76.02473,0.19533,-4.93158,-4.71882
"26","2017_Q1",6.23822580645161,"Up",354000,-2768000,-1929000,-839000,-2414000,-151000,-151000,-2565000,-2564000,-2564000,-2564000,-2564000,-2957000,1716000,1716000,127000,120000,7000,1843000,334000,921000,921000,1255000,3098000,2144000,934000,1210000,9221000,7351000,13765000,102000,102000,3267000,17032000,568000.00000006,-40372999.9999999,0,-13934000,-13934000,3098000,-2564000,17000,29999.9999999995,1686000,-831000,-293000,-293000.000000004,999.999999999767,999.999999999767,1208000,83999.9999999991,83999.9999999991,83999.9999999991,-2397000,5565000,0.21221,-0.95449,0.13389,-1.22233,1.79632,-13.85531,-13.85531,1.6587,-186.51017,0.35769,-1.60576,-1.59445
"27","2017_Q2",5.2468253968254,"Down",1885000,-2858000,-1791000,-1067000,-973000,-223000,-223000,-1196000,-1195000,-1195000,-1195000,-1195000,-1622000,17601000,11438000,2352000,352000,2e+06,19953000,0,11299903.685139,8743729.25715785,0,19953000,2032000,328000,1704000,178000,178000,2210000,2416000,2416000,2416000,4626000,373936000,-358608000,-1000,15327000,15327000,19953000,-1195000,18000,66000,-1543000,-2654000,-196000,-196000,0,0,4074000,1224000,1224000,1224000,-955000,0,-0.10583,-0.08129,9.02851,0.30182,0,-7.5568,-7.5568,8.78211,71.40761,-0.09142,18.43037,18.08941
"28","2017_Q3",5.75904761904762,"Up",42000,-3686000,-2446000,-1240000,-3644000,-421000,-421000,-4065000,-4063000,-4063000,-4063000,-4063000,-4456000,16768000,16468000,4093000,93000.0000000001,4e+06,20861000,0,25114804.2608522,19750337.6055242,-9.31322574615479e-10,20861000,2234000,319000,1915000,246000,246000,2480000,1494000,1494000,1494000,3974000,374350000,-357463000,0,16887000,16887000,20861000,-4063000,19000,253000,4155000,364000,-84000,-84000.0000000009,-1.86264514923096e-09,-1.86264514923096e-09,1388000,1668000,1668000,1668000,-3625000,0,-0.26387,-0.2136,8.41169,0.23533,0,-20.76025,-20.76025,0.19568,78.67556,-0.24242,4.62566,4.60154
"29","2017_Q4",8.36761904761905,"Up",648000,-6518000,-3996000,-2522000,-5870000,-106000,-106000,-5976000,-10967000,-10967000,-10967000,-10967000,-11105000,68181000,68181000,1401000,1363000,38000,69582000,963000,31992000,27357000,32955000,102537000,5323000,3823000,1500000,3636000,51000,11307000,1597000,1597000,3331000,14638000,145455000,-57556000,0,87899000,87899000,102537000,-10967000,34000,6381000,488000,-4064000,-489000,10727000,57730000,57730000,56910000,63573000,63573000,63573000,-5836000,4082000,-0.12634,-0.1083,6.15389,0.16653,0.03981,-0.61951,-0.61951,0.0361500000000007,4.90355,-0.11867,10.98338,10.91976
"30","2018_Q1",10.0352459016393,"Up",820000,-8180000,-3522000,-4658000,-7360000,-51999.9999999999,-52000,-7412000,-6915000,-6915000,-6915000,-6915000,-6915000,58910000,58910000,1504000,1485000,19000,60414000,1952000,28025000,28025000,29977000,90391000,5207000,2517000,2690000,2835000,70000,10442000,1582000,1582000,2660000,13102000,141760000,-64471000,0,77289000,77289000,90391000,-6915000,84000,-73000.0000000009,-1006000,-7910000,-732000,-732000,-20999.9999999925,-20999.9999999925,-629000,-9270999.99999997,-9270999.99999997,-9270999.99999997,-7276000,3478000,-0.08947,-0.0765,5.78567,0.16952,0.03848,-0.253769999999998,-0.253769999999998,0.03009,2.83643,-0.08397,7.61847,7.53152
"31","2018_Q2",7.5490625,"Down",482000,-9597000,-2910000,-6687000,-9115000,-213000,-213000,-9328000,-8714000,-8714000,-8714000,-8714000,-8714000,49275000,49275000,5621000,1477000,4144000,54896000,4294000,28025000,28025000,32319000,87215000,5659000,2859000,2800000,6448000,98000,12107000,1168000,1168000,4167000,16274000,144071000,-73130000,0,70941000,70941000,87215000,-8714000,72000,216000,-557000,-8983000,-1719000,-1719000,148000,148000,1067000,-9635000,-9635000,-9635000,-9043000,2999000,-0.12283,-0.09991,4.53424,0.2294,0.03439,-0.32286,-0.32286,0.01786,2.62845,-0.11602,5.11733,5.07691
"32","2018_Q3",5.11111111111111,"Down",1367000,-11380000,-3717000,-7663000,-10013000,20000,19999.9999999999,-9993000,-9695000,-9695000,-9695000,-9695000,-9695000,41647000,41647000,2507000,1653000,854000,44154000,7237000,28025000,28025000,35262000,79416000,7514000,1283000,6231000,5762000,104000,13276000,901000,901000,3964000,17240000,145002000,-82826000,-1.4210854715202e-14,62176000,62176000,79416000,-9695000,115000,574000,3853000,-5153000,-2471000,-2471000,8000,8000,-4000.00000000373,-7628000,-7628000,-7628000,-9898000,3063000,-0.15593,-0.12208,3.32585,0.27728,0.03857,-0.35825,-0.35825,0.05051,2.2975,-0.14658,3.89816,3.85339
"33","2018_Q4",4.6515873015873,"Down",6752000,-11828000,-3538000,-8290000,-5076000,-172000,-172000,-5248000,-5244000,-5244000,-5244000,-5244000,-5244000,78744000,78744000,38083000,2535000,35548000,116827000,7165000,27968000,27968000,35133000,151960000,8225000,1630000,6595000,33506000,106000,41731000,882000,882000,4037000,45768000,194262000,-88070000,0,106192000,106192000,151960000,-5244000,382000,1293000,-6154000,-9723000,-1231000,-1231000,48062000,48062000,48051000,37097000,37097000,37097000,-4694000,3155000,-0.04938,-0.03451,2.79953,0.43099,0.02076,-0.18945,-0.18945,0.24393,3.83637,-0.04757,16.10332,14.89145
"34","2019_Q1",4.88754098360656,"Up",4684000,-11479000,-3917000,-7562000,-6795000,126000,-625000,-6669000,-6634000,-6634000,-6634000,-6634000,-6634000,97955000,87721000,6908000,2244000,4664000,104863000,6851000,28444000,28444000,35295000,140158000,6137000,780000,5357000,26372000,141000,32509000,3489000,819000,6743000,39252000,195610000,-94704000,2.27373675443232e-13,100906000,100906000,140158000,-6634000,405000,1340000,24283000,19394000,-301000,-10524000,118000,118000,107000.000000007,8977000,8977000,8977000,-6390000,3254000,-0.06574,-0.04733,3.22566,0.389,0.02322,-0.18089,-0.18089,0.12772,2.75141,-0.06163,14.82019,13.93687
"35","2019_Q2",7.24380952380952,"Up",7008000,-13389000,-4935000,-8454000,-6381000,217000,-293000,-6164000,-6168000,-6168000,-6168000,-6168000,-6168000,83575000,37855000,7385000,2005000,5380000,90960000,7108000,42537000,42537000,49645000,140605000,7561000,1582000,5979000,20539000,1232000,28100000,13209000,11144000,16368000,44468000,197009000,-100872000,0,96137000,96137000,140605000,-6168000,177000,1480000,-6465000,-10976000,-625000,-35920000,38000,38000,30000,-46866000,-46866000,-46866000,-6204000,3159000,-0.06416,-0.04387,3.23701,0.46255,0.02247,-0.16789,-0.16789,0.19075,2.61676,-0.05482,12.96196,12.60241
"36","2019_Q3",6.21765625,"Down",5447000,-14848000,-4605000,-10243000,-9401000,242000,-301000,-9159000,-9153000,-9153000,-9153000,-9153000,-9153000,72324000,16795000,7516000,2258000,5258000,79840000,9151000,42156000,42156000,51307000,131147000,9697000,2577000,7120000,15996000,1435000,25693000,13119000,11455000,16194000,41887000,199260000,-110025000,25000,89260000,89260000,131147000,-9153000,124000,1567000,-4440000,-11902000,-496000,-9967000,809000,809000,809000,-21060000,-21060000,-21060000,-9277000,3075000,-0.10254,-0.06979,3.10746,0.46927,0.02345,-0.24859,-0.24859,0.14793,2.42421,-0.0868,7.46459,7.36613
"37","2019_Q4",9.58171875,"Up",3618000,-19758000,-4509000,-15249000,-16140000,43000,-353000,-16097000,-38219000,-38219000,-38219000,-38219000,-38219000,51415000,15268000,8231000,2340000,5891000,64146000,13884000,15132000,15132000,29016000,93162000,10519000,1414000,9105000,13579000,1623000,24098000,13047000,11811000,16048000,40146000,201240000,-148244000,20000,53016000,53016000,93162000,-38219000,327000,23814000,-2316000,-16394000,-5208000,14383000,453000,453000,484000,-1527000,-1527000,-1527000,-15813000,3001000,-0.7209,-0.41024,2.66188,0.75724,0.03221,-1.03463,-1.03463,0.09794,1.43521,-0.55339,3.06166,2.99963
"38","2020_Q1",14.5959677419355,"Up",6197000,-22601000,-6028000,-16573000,-16404000,523000,-351000,-15881000,-15881000,-15881000,-15881000,-15881000,-15881000,125084000,85451000,9907000,2318000,7589000,139899000,18158000,14635000,14635000,34303000,174202000,16009000,1465000,14544000,19792000,2501000,35801000,32433000,13048000,35373000,71174000,267089000,-164125000,18000,103028000,103028000,174202000,-15881000,554000,1692000,27663000,14028000,-3320000,-8220000,64366000,64366000,64375000,70183000,70183000,70183000,-15850000,2940000,-0.15414,-0.0911600000000001,3.90768,0.69082,0.01688,-0.39133,-0.39133,0.1527,2.53759,-0.11475,7.70625,7.44599
